id,army_type,armyTypes,atk,attr_1,attr_2,attr_3,attrs,be_killed_medal_proportion,be_killed_score_kingdom,be_killed_score_kingdom2,building_id,correlate_building,defendOfCity_Atk,desc,donate_medal,hp,IconName,kill_medal_proportion,kill_rank_count,kill_score_kingdom,kill_score_kingdom2,level,load,lvup_time,morale,name,power,power_free,quality,race,skin_avater,skin_ID,skins,speed,spine_skin_id,train_resource,train_time,trainCosts,trainTotalCostNum,treat_cost,treat_time,treatCosts,unit_ID
1011,[1|2|3],[1|2|3],45,[3|45],[4|850],[10057|0],{3:45|4:850|10057:0},-1,18,36,-1,125,0,troop_desc_1011,72,850,race1_106,-1,24,18,36,11,268,10000,700,troop_name_1011,265,265,5,1,race1_106,[10111|10112|10113|10114],[10111|10112|10113|10114],100,[10111],[999|4|1100|999|5|1100],900,[[999|4|1100]|[999|5|1100]],2200,[999|4|220|999|5|220],80,[[999|4|220]|[999|5|220]],22002
1012,[1|2|3],[1|2|3],50,[3|50],[4|900],[10057|0],{3:50|4:900|10057:0},-1,20,40,-1,125,0,troop_desc_1012,80,900,race1_106,-1,26,20,40,12,293,10000,800,troop_name_1012,310,310,5,1,race1_106,[10121|10122|10123|10124],[10121|10122|10123|10124],100,[10121],[999|4|1300|999|5|1300],1000,[[999|4|1300]|[999|5|1300]],2600,[999|4|260|999|5|260],100,[[999|4|260]|[999|5|260]],22002
2001,[1|2|3],[1|2|3],3,[3|3],[4|33],[10057|0],{3:3|4:33|10057:0},-1,3,6,126000,126,0,troop_desc_2001,12,33,race2_101,-1,1,3,6,1,18,5000,205,troop_name_2001,15,15,2,2,race1_101,[20011|20012|20013|20014],[20011|20012|20013|20014],100,[20011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],12,[[999|4|1]|[999|5|1]],22002
2002,[1|2|3],[1|2|3],6,[3|6],[4|69],[10057|0],{3:6|4:69|10057:0},-1,4,8,126005,126,0,troop_desc_2002,16,69,race2_101,-1,3,4,8,2,43,5500,224,troop_name_2002,30,30,2,2,race1_101,[20021|20022|20023|20024],[20021|20022|20023|20024],100,[20021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],18,[[999|4|2]|[999|5|2]],22002
2003,[1|2|3],[1|2|3],9,[3|9],[4|108],[10057|0],{3:9|4:108|10057:0},-1,5,10,126010,126,0,troop_desc_2003,20,108,race2_102,-1,6,5,10,3,68,6000,245,troop_name_2003,45,45,3,2,race1_102,[20031|20032|20033|20034],[20031|20032|20033|20034],100,[20031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],24,[[999|4|8]|[999|5|8]],22002
2004,[1|2|3],[1|2|3],12,[3|12],[4|151],[10057|0],{3:12|4:151|10057:0},-1,7,14,126015,126,0,troop_desc_2004,28,151,race2_102,-1,8,7,14,4,93,7000,268,troop_name_2004,60,60,3,2,race1_102,[20041|20042|20043|20044],[20041|20042|20043|20044],100,[20041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],30,[[999|4|20]|[999|5|20]],22002
2005,[1|2|3],[1|2|3],15,[3|15],[4|205],[10057|0],{3:15|4:205|10057:0},-1,9,18,126020,126,0,troop_desc_2005,36,205,race2_103,-1,10,9,18,5,118,8000,295,troop_name_2005,75,75,3,2,race1_103,[20051|20052|20053|20054],[20051|20052|20053|20054],100,[20051],[999|4|200|999|5|200],400,[[999|4|200]|[999|5|200]],400,[999|4|40|999|5|40],35,[[999|4|40]|[999|5|40]],22002
2006,[1|2|3],[1|2|3],18,[3|18],[4|267],[10057|0],{3:18|4:267|10057:0},-1,10,20,126025,126,0,troop_desc_2006,40,267,race2_103,-1,12,10,20,6,143,9000,325,troop_name_2006,90,90,4,2,race1_103,[20061|20062|20063|20064],[20061|20062|20063|20064],100,[20061],[999|4|400|999|5|400],500,[[999|4|400]|[999|5|400]],800,[999|4|80|999|5|80],40,[[999|4|80]|[999|5|80]],22002
2007,[1|2|3],[1|2|3],21,[3|21],[4|334],[10057|0],{3:21|4:334|10057:0},-1,11,22,126030,126,0,troop_desc_2007,44,334,race2_104,-1,13,11,22,7,168,10000,370,troop_name_2007,105,105,4,2,race1_104,[20071|20072|20073|20074],[20071|20072|20073|20074],100,[20071],[999|4|500|999|5|500],550,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],45,[[999|4|100]|[999|5|100]],22002
2008,[1|2|3],[1|2|3],26,[3|26],[4|443],[10057|0],{3:26|4:443|10057:0},-1,12,24,126035,126,0,troop_desc_2008,48,443,race2_104,-1,15,12,24,8,193,10000,425,troop_name_2008,135,135,4,2,race1_104,[20081|20082|20083|20084],[20081|20082|20083|20084],100,[20081],[999|4|600|999|5|600],600,[[999|4|600]|[999|5|600]],1200,[999|4|120|999|5|120],50,[[999|4|120]|[999|5|120]],22002
2009,[1|2|3],[1|2|3],32,[3|32],[4|580],[10057|0],{3:32|4:580|10057:0},-1,14,28,126040,126,0,troop_desc_2009,56,580,race2_105,-1,18,14,28,9,218,10000,500,troop_name_2009,175,175,5,2,race1_105,[20091|20092|20093|20094],[20091|20092|20093|20094],100,[20091],[999|4|700|999|5|700],700,[[999|4|700]|[999|5|700]],1400,[999|4|140|999|5|140],60,[[999|4|140]|[999|5|140]],22002
2010,[1|2|3],[1|2|3],40,[3|40],[4|770],[10057|0],{3:40|4:770|10057:0},-1,16,32,-1,126,0,troop_desc_2010,64,770,race2_105,-1,22,16,32,10,243,10000,600,troop_name_2010,220,220,5,2,race1_105,[20101|20102|20103|20104],[20101|20102|20103|20104],100,[20101],[999|4|900|999|5|900],800,[[999|4|900]|[999|5|900]],1800,[999|4|180|999|5|180],70,[[999|4|180]|[999|5|180]],22002
2011,[1|2|3],[1|2|3],45,[3|45],[4|850],[10057|0],{3:45|4:850|10057:0},-1,18,36,-1,126,0,troop_desc_2011,72,850,race2_106,-1,24,18,36,11,268,10000,700,troop_name_2011,265,265,5,2,race1_106,[20111|20112|20113|20114],[20111|20112|20113|20114],100,[20111],[999|4|1100|999|5|1100],900,[[999|4|1100]|[999|5|1100]],2200,[999|4|220|999|5|220],80,[[999|4|220]|[999|5|220]],22002
2012,[1|2|3],[1|2|3],50,[3|50],[4|900],[10057|0],{3:50|4:900|10057:0},-1,20,40,-1,126,0,troop_desc_2012,80,900,race2_106,-1,26,20,40,12,293,10000,800,troop_name_2012,310,310,5,2,race1_106,[20121|20122|20123|20124],[20121|20122|20123|20124],100,[20121],[999|4|1300|999|5|1300],1000,[[999|4|1300]|[999|5|1300]],2600,[999|4|260|999|5|260],100,[[999|4|260]|[999|5|260]],22002
3001,[1|2|3],[1|2|3],3,[3|3],[4|33],[10057|0],{3:3|4:33|10057:0},-1,3,6,127000,127,0,troop_desc_3001,12,33,race3_101,-1,1,3,6,1,18,5000,205,troop_name_3001,15,15,2,3,race1_101,[30011|30012|30013|30014],[30011|30012|30013|30014],100,[30011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],12,[[999|4|1]|[999|5|1]],22002
3002,[1|2|3],[1|2|3],6,[3|6],[4|69],[10057|0],{3:6|4:69|10057:0},-1,4,8,127005,127,0,troop_desc_3002,16,69,race3_101,-1,3,4,8,2,43,5500,224,troop_name_3002,30,30,2,3,race1_101,[30021|30022|30023|30024],[30021|30022|30023|30024],100,[30021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],18,[[999|4|2]|[999|5|2]],22002
3003,[1|2|3],[1|2|3],9,[3|9],[4|108],[10057|0],{3:9|4:108|10057:0},-1,5,10,127010,127,0,troop_desc_3003,20,108,race3_102,-1,6,5,10,3,68,6000,245,troop_name_3003,45,45,3,3,race1_102,[30031|30032|30033|30034],[30031|30032|30033|30034],100,[30031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],24,[[999|4|8]|[999|5|8]],22002
3004,[1|2|3],[1|2|3],12,[3|12],[4|151],[10057|0],{3:12|4:151|10057:0},-1,7,14,127015,127,0,troop_desc_3004,28,151,race3_102,-1,8,7,14,4,93,7000,268,troop_name_3004,60,60,3,3,race1_102,[30041|30042|30043|30044],[30041|30042|30043|30044],100,[30041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],30,[[999|4|20]|[999|5|20]],22002
3005,[1|2|3],[1|2|3],15,[3|15],[4|205],[10057|0],{3:15|4:205|10057:0},-1,9,18,127020,127,0,troop_desc_3005,36,205,race3_103,-1,10,9,18,5,118,8000,295,troop_name_3005,75,75,3,3,race1_103,[30051|30052|30053|30054],[30051|30052|30053|30054],100,[30051],[999|4|200|999|5|200],400,[[999|4|200]|[999|5|200]],400,[999|4|40|999|5|40],35,[[999|4|40]|[999|5|40]],22002
3006,[1|2|3],[1|2|3],18,[3|18],[4|267],[10057|0],{3:18|4:267|10057:0},-1,10,20,127025,127,0,troop_desc_3006,40,267,race3_103,-1,12,10,20,6,143,9000,325,troop_name_3006,90,90,4,3,race1_103,[30061|30062|30063|30064],[30061|30062|30063|30064],100,[30061],[999|4|400|999|5|400],500,[[999|4|400]|[999|5|400]],800,[999|4|80|999|5|80],40,[[999|4|80]|[999|5|80]],22002
3007,[1|2|3],[1|2|3],21,[3|21],[4|334],[10057|0],{3:21|4:334|10057:0},-1,11,22,127030,127,0,troop_desc_3007,44,334,race3_104,-1,13,11,22,7,168,10000,370,troop_name_3007,105,105,4,3,race1_104,[30071|30072|30073|30074],[30071|30072|30073|30074],100,[30071],[999|4|500|999|5|500],550,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],45,[[999|4|100]|[999|5|100]],22002
3008,[1|2|3],[1|2|3],26,[3|26],[4|443],[10057|0],{3:26|4:443|10057:0},-1,12,24,127035,127,0,troop_desc_3008,48,443,race3_104,-1,15,12,24,8,193,10000,425,troop_name_3008,135,135,4,3,race1_104,[30081|30082|30083|30084],[30081|30082|30083|30084],100,[30081],[999|4|600|999|5|600],600,[[999|4|600]|[999|5|600]],1200,[999|4|120|999|5|120],50,[[999|4|120]|[999|5|120]],22002
3009,[1|2|3],[1|2|3],32,[3|32],[4|580],[10057|0],{3:32|4:580|10057:0},-1,14,28,127040,127,0,troop_desc_3009,56,580,race3_105,-1,18,14,28,9,218,10000,500,troop_name_3009,175,175,5,3,race1_105,[30091|30092|30093|30094],[30091|30092|30093|30094],100,[30091],[999|4|700|999|5|700],700,[[999|4|700]|[999|5|700]],1400,[999|4|140|999|5|140],60,[[999|4|140]|[999|5|140]],22002
3010,[1|2|3],[1|2|3],40,[3|40],[4|770],[10057|0],{3:40|4:770|10057:0},-1,16,32,-1,127,0,troop_desc_3010,64,770,race3_105,-1,22,16,32,10,243,10000,600,troop_name_3010,220,220,5,3,race1_105,[30101|30102|30103|30104],[30101|30102|30103|30104],100,[30101],[999|4|900|999|5|900],800,[[999|4|900]|[999|5|900]],1800,[999|4|180|999|5|180],70,[[999|4|180]|[999|5|180]],22002
3011,[1|2|3],[1|2|3],45,[3|45],[4|850],[10057|0],{3:45|4:850|10057:0},-1,18,36,-1,127,0,troop_desc_3011,72,850,race3_106,-1,24,18,36,11,268,10000,700,troop_name_3011,265,265,5,3,race1_106,[30111|30112|30113|30114],[30111|30112|30113|30114],100,[30111],[999|4|1100|999|5|1100],900,[[999|4|1100]|[999|5|1100]],2200,[999|4|220|999|5|220],80,[[999|4|220]|[999|5|220]],22002
3012,[1|2|3],[1|2|3],50,[3|50],[4|900],[10057|0],{3:50|4:900|10057:0},-1,20,40,-1,127,0,troop_desc_3012,80,900,race3_106,-1,26,20,40,12,293,10000,800,troop_name_3012,310,310,5,3,race1_106,[30121|30122|30123|30124],[30121|30122|30123|30124],100,[30121],[999|4|1300|999|5|1300],1000,[[999|4|1300]|[999|5|1300]],2600,[999|4|260|999|5|260],100,[[999|4|260]|[999|5|260]],22002
1901,[1|2|3],[1|2|3],3,[3|3],[4|36],,{3:3|4:36},-1,-1,-1,-1,-1,0,troop_desc_1001,-1,36,race1_101,-1,1,-1,-1,1,18,5000,0,troop_name_1001,15,15,2,1,race1_101,[10011|10012|10013|10014],[10011|10012|10013|10014],100,[10011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],15,[[999|4|1]|[999|5|1]],22002
1902,[1|2|3],[1|2|3],6,[3|6],[4|60],,{3:6|4:60},-1,-1,-1,-1,-1,0,troop_desc_1002,-1,60,race1_101,-1,3,-1,-1,2,43,5500,0,troop_name_1002,30,30,2,1,race1_101,[10021|10022|10023|10024],[10021|10022|10023|10024],100,[10021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],21,[[999|4|2]|[999|5|2]],22002
1903,[1|2|3],[1|2|3],10,[3|10],[4|100],,{3:10|4:100},-1,-1,-1,-1,-1,0,troop_desc_1003,-1,100,race1_102,-1,6,-1,-1,3,68,6000,0,troop_name_1003,45,45,3,1,race1_102,[10031|10032|10033|10034],[10031|10032|10033|10034],100,[10031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],27,[[999|4|8]|[999|5|8]],22002
1904,[1|2|3],[1|2|3],20,[3|20],[4|200],,{3:20|4:200},-1,-1,-1,-1,-1,0,troop_desc_1004,-1,200,race1_102,-1,8,-1,-1,4,93,7000,0,troop_name_1004,60,60,3,1,race1_102,[10041|10042|10043|10044],[10041|10042|10043|10044],100,[10041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],36,[[999|4|20]|[999|5|20]],22002
1905,[1|2|3],[1|2|3],30,[3|30],[4|300],,{3:30|4:300},-1,-1,-1,-1,-1,0,troop_desc_1005,-1,300,race1_103,-1,10,-1,-1,5,118,8000,0,troop_name_1005,75,75,3,1,race1_103,[10051|10052|10053|10054],[10051|10052|10053|10054],100,[10051],[999|4|300|999|5|300],400,[[999|4|300]|[999|5|300]],600,[999|4|40|999|5|40],45,[[999|4|40]|[999|5|40]],22002
1906,[1|2|3],[1|2|3],40,[3|40],[4|500],,{3:40|4:500},-1,-1,-1,-1,-1,0,troop_desc_1006,-1,500,race1_103,-1,12,-1,-1,6,143,9000,0,troop_name_1006,90,90,4,1,race1_103,[10061|10062|10063|10064],[10061|10062|10063|10064],100,[10061],[999|4|500|999|5|500],500,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],50,[[999|4|100]|[999|5|100]],22002
1907,[1|2|3],[1|2|3],60,[3|60],[4|750],,{3:60|4:750},-1,-1,-1,-1,-1,0,troop_desc_1007,-1,750,race1_104,-1,13,-1,-1,7,168,10000,0,troop_name_1007,105,105,4,1,race1_104,[10071|10072|10073|10074],[10071|10072|10073|10074],100,[10071],[999|4|800|999|5|800],550,[[999|4|800]|[999|5|800]],1600,[999|4|160|999|5|160],55,[[999|4|160]|[999|5|160]],22002
1908,[1|2|3],[1|2|3],75,[3|75],[4|950],,{3:75|4:950},-1,-1,-1,-1,-1,0,troop_desc_1008,-1,950,race1_104,-1,15,-1,-1,8,193,10000,0,troop_name_1008,135,135,4,1,race1_104,[10081|10082|10083|10084],[10081|10082|10083|10084],100,[10081],[999|4|1000|999|5|1000],600,[[999|4|1000]|[999|5|1000]],2000,[999|4|200|999|5|200],60,[[999|4|200]|[999|5|200]],22002
1909,[1|2|3],[1|2|3],95,[3|95],[4|1200],,{3:95|4:1200},-1,-1,-1,-1,-1,0,troop_desc_1009,-1,1200,race1_105,-1,18,-1,-1,9,218,10000,0,troop_name_1009,175,175,5,1,race1_105,[10091|10092|10093|10094],[10091|10092|10093|10094],100,[10091],[999|4|1400|999|5|1400],700,[[999|4|1400]|[999|5|1400]],2800,[999|4|280|999|5|280],70,[[999|4|280]|[999|5|280]],22002
1910,[1|2|3],[1|2|3],113,[3|113],[4|1500],,{3:113|4:1500},-1,-1,-1,-1,-1,0,troop_desc_1010,-1,1500,race1_105,-1,22,-1,-1,10,243,10000,0,troop_name_1010,220,220,5,1,race1_105,[10101|10102|10103|10104],[10101|10102|10103|10104],100,[10101],[999|4|1800|999|5|1800],800,[[999|4|1800]|[999|5|1800]],3600,[999|4|360|999|5|360],80,[[999|4|360]|[999|5|360]],22002
2901,[1|2|3],[1|2|3],3,[3|3],[4|36],,{3:3|4:36},-1,-1,-1,-1,-1,0,troop_desc_2001,-1,36,race2_101,-1,1,-1,-1,1,18,5000,0,troop_name_2001,15,15,2,2,race1_101,[20011|20012|20013|20014],[20011|20012|20013|20014],100,[20011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],15,[[999|4|1]|[999|5|1]],22002
2902,[1|2|3],[1|2|3],6,[3|6],[4|60],,{3:6|4:60},-1,-1,-1,-1,-1,0,troop_desc_2002,-1,60,race2_101,-1,3,-1,-1,2,43,5500,0,troop_name_2002,30,30,2,2,race1_101,[20021|20022|20023|20024],[20021|20022|20023|20024],100,[20021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],21,[[999|4|2]|[999|5|2]],22002
2903,[1|2|3],[1|2|3],10,[3|10],[4|100],,{3:10|4:100},-1,-1,-1,-1,-1,0,troop_desc_2003,-1,100,race2_102,-1,6,-1,-1,3,68,6000,0,troop_name_2003,45,45,3,2,race1_102,[20031|20032|20033|20034],[20031|20032|20033|20034],100,[20031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],27,[[999|4|8]|[999|5|8]],22002
2904,[1|2|3],[1|2|3],20,[3|20],[4|200],,{3:20|4:200},-1,-1,-1,-1,-1,0,troop_desc_2004,-1,200,race2_102,-1,8,-1,-1,4,93,7000,0,troop_name_2004,60,60,3,2,race1_102,[20041|20042|20043|20044],[20041|20042|20043|20044],100,[20041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],36,[[999|4|20]|[999|5|20]],22002
2905,[1|2|3],[1|2|3],30,[3|30],[4|300],,{3:30|4:300},-1,-1,-1,-1,-1,0,troop_desc_2005,-1,300,race2_103,-1,10,-1,-1,5,118,8000,0,troop_name_2005,75,75,3,2,race1_103,[20051|20052|20053|20054],[20051|20052|20053|20054],100,[20051],[999|4|300|999|5|300],400,[[999|4|300]|[999|5|300]],600,[999|4|40|999|5|40],45,[[999|4|40]|[999|5|40]],22002
2906,[1|2|3],[1|2|3],40,[3|40],[4|500],,{3:40|4:500},-1,-1,-1,-1,-1,0,troop_desc_2006,-1,500,race2_103,-1,12,-1,-1,6,143,9000,0,troop_name_2006,90,90,4,2,race1_103,[20061|20062|20063|20064],[20061|20062|20063|20064],100,[20061],[999|4|500|999|5|500],500,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],50,[[999|4|100]|[999|5|100]],22002
2907,[1|2|3],[1|2|3],60,[3|60],[4|750],,{3:60|4:750},-1,-1,-1,-1,-1,0,troop_desc_2007,-1,750,race2_104,-1,13,-1,-1,7,168,10000,0,troop_name_2007,105,105,4,2,race1_104,[20071|20072|20073|20074],[20071|20072|20073|20074],100,[20071],[999|4|800|999|5|800],550,[[999|4|800]|[999|5|800]],1600,[999|4|160|999|5|160],55,[[999|4|160]|[999|5|160]],22002
2908,[1|2|3],[1|2|3],75,[3|75],[4|950],,{3:75|4:950},-1,-1,-1,-1,-1,0,troop_desc_2008,-1,950,race2_104,-1,15,-1,-1,8,193,10000,0,troop_name_2008,135,135,4,2,race1_104,[20081|20082|20083|20084],[20081|20082|20083|20084],100,[20081],[999|4|1000|999|5|1000],600,[[999|4|1000]|[999|5|1000]],2000,[999|4|200|999|5|200],60,[[999|4|200]|[999|5|200]],22002
2909,[1|2|3],[1|2|3],95,[3|95],[4|1200],,{3:95|4:1200},-1,-1,-1,-1,-1,0,troop_desc_2009,-1,1200,race2_105,-1,18,-1,-1,9,218,10000,0,troop_name_2009,175,175,5,2,race1_105,[20091|20092|20093|20094],[20091|20092|20093|20094],100,[20091],[999|4|1400|999|5|1400],700,[[999|4|1400]|[999|5|1400]],2800,[999|4|280|999|5|280],70,[[999|4|280]|[999|5|280]],22002
2910,[1|2|3],[1|2|3],113,[3|113],[4|1500],,{3:113|4:1500},-1,-1,-1,-1,-1,0,troop_desc_2010,-1,1500,race2_105,-1,22,-1,-1,10,243,10000,0,troop_name_2010,220,220,5,2,race1_105,[20101|20102|20103|20104],[20101|20102|20103|20104],100,[20101],[999|4|1800|999|5|1800],800,[[999|4|1800]|[999|5|1800]],3600,[999|4|360|999|5|360],80,[[999|4|360]|[999|5|360]],22002
3901,[1|2|3],[1|2|3],3,[3|3],[4|36],,{3:3|4:36},-1,-1,-1,-1,-1,0,troop_desc_3001,-1,36,race3_101,-1,1,-1,-1,1,18,5000,0,troop_name_3001,15,15,2,3,race1_101,[30011|30012|30013|30014],[30011|30012|30013|30014],100,[30011],[999|4|1|999|5|1],75,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],15,[[999|4|1]|[999|5|1]],22002
3902,[1|2|3],[1|2|3],6,[3|6],[4|60],,{3:6|4:60},-1,-1,-1,-1,-1,0,troop_desc_3002,-1,60,race3_101,-1,3,-1,-1,2,43,5500,0,troop_name_3002,30,30,2,3,race1_101,[30021|30022|30023|30024],[30021|30022|30023|30024],100,[30021],[999|4|5|999|5|5],150,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],21,[[999|4|2]|[999|5|2]],22002
3903,[1|2|3],[1|2|3],10,[3|10],[4|100],,{3:10|4:100},-1,-1,-1,-1,-1,0,troop_desc_3003,-1,100,race3_102,-1,6,-1,-1,3,68,6000,0,troop_name_3003,45,45,3,3,race1_102,[30031|30032|30033|30034],[30031|30032|30033|30034],100,[30031],[999|4|40|999|5|40],225,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],27,[[999|4|8]|[999|5|8]],22002
3904,[1|2|3],[1|2|3],20,[3|20],[4|200],,{3:20|4:200},-1,-1,-1,-1,-1,0,troop_desc_3004,-1,200,race3_102,-1,8,-1,-1,4,93,7000,0,troop_name_3004,60,60,3,3,race1_102,[30041|30042|30043|30044],[30041|30042|30043|30044],100,[30041],[999|4|100|999|5|100],300,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],36,[[999|4|20]|[999|5|20]],22002
3905,[1|2|3],[1|2|3],30,[3|30],[4|300],,{3:30|4:300},-1,-1,-1,-1,-1,0,troop_desc_3005,-1,300,race3_103,-1,10,-1,-1,5,118,8000,0,troop_name_3005,75,75,3,3,race1_103,[30051|30052|30053|30054],[30051|30052|30053|30054],100,[30051],[999|4|300|999|5|300],400,[[999|4|300]|[999|5|300]],600,[999|4|40|999|5|40],45,[[999|4|40]|[999|5|40]],22002
