id,donateNum,donateType,upgradeCondition,buff,buff_show,condition,effect_para,effect_type,effectParams,fightforce,group_id,level,max_level,res_need,res_num,techpoint_cost
10704,[1|1],[1|12],[],-1,alliance_tech_showdesc_107,,[3104|240],2,[3104|240],100000,107,4,5,[1|12],[1|1],47250
10705,[1|1],[1|13],[],-1,alliance_tech_showdesc_107,,[3104|300],2,[3104|300],150000,107,5,5,[1|13],[1|1],56700
10801,[1|1],[1|12],[50201],-1,alliance_tech_showdesc_108,[50201],[5104|60],2,[5104|60],10000,108,1,5,[1|12],[1|1],18900
10802,[1|1],[1|13],[],-1,alliance_tech_showdesc_108,,[5104|120],2,[5104|120],30000,108,2,5,[1|13],[1|1],28350
10803,[1|1],[1|12],[],-1,alliance_tech_showdesc_108,,[5104|180],2,[5104|180],60000,108,3,5,[1|12],[1|1],37800
10804,[1|1],[1|13],[],-1,alliance_tech_showdesc_108,,[5104|240],2,[5104|240],100000,108,4,5,[1|13],[1|1],47250
10805,[1|1],[1|12],[],-1,alliance_tech_showdesc_108,,[5104|300],2,[5104|300],150000,108,5,5,[1|12],[1|1],56700
10901,[1|1],[1|13],[50201],-1,alliance_tech_showdesc_109,[50201],[4104|60],2,[4104|60],10000,109,1,5,[1|13],[1|1],18900
10902,[1|1],[1|12],[],-1,alliance_tech_showdesc_109,,[4104|120],2,[4104|120],30000,109,2,5,[1|12],[1|1],28350
10903,[1|1],[1|13],[],-1,alliance_tech_showdesc_109,,[4104|180],2,[4104|180],60000,109,3,5,[1|13],[1|1],37800
10904,[1|1],[1|12],[],-1,alliance_tech_showdesc_109,,[4104|240],2,[4104|240],100000,109,4,5,[1|12],[1|1],47250
10905,[1|1],[1|13],[],-1,alliance_tech_showdesc_109,,[4104|300],2,[4104|300],150000,109,5,5,[1|13],[1|1],56700
11001,[1|1],[1|12],[10703],-1,alliance_tech_showdesc_110,[10703],[1004|100],2,[1004|100],10000,110,1,5,[1|12],[1|1],18900
11002,[1|1],[1|13],[],-1,alliance_tech_showdesc_110,,[1004|200],2,[1004|200],30000,110,2,5,[1|13],[1|1],28350
11003,[1|1],[1|12],[],-1,alliance_tech_showdesc_110,,[1004|300],2,[1004|300],60000,110,3,5,[1|12],[1|1],37800
11004,[1|1],[1|13],[],-1,alliance_tech_showdesc_110,,[1004|400],2,[1004|400],100000,110,4,5,[1|13],[1|1],47250
11005,[1|1],[1|12],[],-1,alliance_tech_showdesc_110,,[1004|500],2,[1004|500],150000,110,5,5,[1|12],[1|1],56700
11101,[1|1],[1|13],[10803],-1,alliance_tech_showdesc_111,[10803],[1005|100],2,[1005|100],10000,111,1,5,[1|13],[1|1],18900
11102,[1|1],[1|12],[],-1,alliance_tech_showdesc_111,,[1005|200],2,[1005|200],30000,111,2,5,[1|12],[1|1],28350
11103,[1|1],[1|13],[],-1,alliance_tech_showdesc_111,,[1005|300],2,[1005|300],60000,111,3,5,[1|13],[1|1],37800
11104,[1|1],[1|12],[],-1,alliance_tech_showdesc_111,,[1005|400],2,[1005|400],100000,111,4,5,[1|12],[1|1],47250
11105,[1|1],[1|13],[],-1,alliance_tech_showdesc_111,,[1005|500],2,[1005|500],150000,111,5,5,[1|13],[1|1],56700
11201,[1|1],[1|12],[10903],-1,alliance_tech_showdesc_112,[10903],[1006|100],2,[1006|100],10000,112,1,5,[1|12],[1|1],18900
11202,[1|1],[1|13],[],-1,alliance_tech_showdesc_112,,[1006|200],2,[1006|200],30000,112,2,5,[1|13],[1|1],28350
11203,[1|1],[1|12],[],-1,alliance_tech_showdesc_112,,[1006|300],2,[1006|300],60000,112,3,5,[1|12],[1|1],37800
11204,[1|1],[1|13],[],-1,alliance_tech_showdesc_112,,[1006|400],2,[1006|400],100000,112,4,5,[1|13],[1|1],47250
11205,[1|1],[1|12],[],-1,alliance_tech_showdesc_112,,[1006|500],2,[1006|500],150000,112,5,5,[1|12],[1|1],56700
11301,[1|1],[1|13],[11003|11103|11203],-1,alliance_tech_showdesc_113,[11003|11103|11203],[3],1,[3],10000,113,1,5,[1|13],[1|1],36000
11302,[1|1],[1|12],[],-1,alliance_tech_showdesc_113,,[6],1,[6],30000,113,2,5,[1|12],[1|1],79200
11303,[1|1],[1|13],[],-1,alliance_tech_showdesc_113,,[9],1,[9],60000,113,3,5,[1|13],[1|1],129600
11304,[1|1],[1|12],[],-1,alliance_tech_showdesc_113,,[12],1,[12],100000,113,4,5,[1|12],[1|1],187200
11305,[1|1],[1|13],[],-1,alliance_tech_showdesc_113,,[15],1,[15],150000,113,5,5,[1|13],[1|1],252000
50301,[1|1],[1|13],[11301],-1,alliance_tech_showdesc_503,[11301],,-1,[],80000,503,1,1,[1|13],[1|1],36000
11401,[1|1],[1|12],[50301],-1,alliance_tech_showdesc_114,[50301],[1200115|60],2,[1200115|60],10000,114,1,5,[1|12],[1|1],54000
11402,[1|1],[1|13],[],-1,alliance_tech_showdesc_114,,[1200115|120],2,[1200115|120],30000,114,2,5,[1|13],[1|1],108000
11403,[1|1],[1|12],[],-1,alliance_tech_showdesc_114,,[1200115|180],2,[1200115|180],60000,114,3,5,[1|12],[1|1],162000
11404,[1|1],[1|13],[],-1,alliance_tech_showdesc_114,,[1200115|240],2,[1200115|240],100000,114,4,5,[1|13],[1|1],216000
11405,[1|1],[1|12],[],-1,alliance_tech_showdesc_114,,[1200115|300],2,[1200115|300],150000,114,5,5,[1|12],[1|1],270000
11501,[1|1],[1|13],[50301],-1,alliance_tech_showdesc_115,[50301],[1200116|60],2,[1200116|60],10000,115,1,5,[1|13],[1|1],54000
11502,[1|1],[1|12],[],-1,alliance_tech_showdesc_115,,[1200116|120],2,[1200116|120],30000,115,2,5,[1|12],[1|1],108000
11503,[1|1],[1|13],[],-1,alliance_tech_showdesc_115,,[1200116|180],2,[1200116|180],60000,115,3,5,[1|13],[1|1],162000
11504,[1|1],[1|12],[],-1,alliance_tech_showdesc_115,,[1200116|240],2,[1200116|240],100000,115,4,5,[1|12],[1|1],216000
11505,[1|1],[1|13],[],-1,alliance_tech_showdesc_115,,[1200116|300],2,[1200116|300],150000,115,5,5,[1|13],[1|1],270000
11601,[1|1],[1|12],[11403],-1,alliance_tech_showdesc_116,[11403],[3103|60],2,[3103|60],10000,116,1,5,[1|12],[1|1],64800
11602,[1|1],[1|13],[],-1,alliance_tech_showdesc_116,,[3103|120],2,[3103|120],30000,116,2,5,[1|13],[1|1],129600
11603,[1|1],[1|12],[],-1,alliance_tech_showdesc_116,,[3103|180],2,[3103|180],60000,116,3,5,[1|12],[1|1],194400
11604,[1|1],[1|13],[],-1,alliance_tech_showdesc_116,,[3103|240],2,[3103|240],100000,116,4,5,[1|13],[1|1],259200
11605,[1|1],[1|12],[],-1,alliance_tech_showdesc_116,,[3103|300],2,[3103|300],150000,116,5,5,[1|12],[1|1],324000
11701,[1|1],[1|13],[11403|11503],-1,alliance_tech_showdesc_117,[11403|11503],[5103|60],2,[5103|60],10000,117,1,5,[1|13],[1|1],64800
11702,[1|1],[1|12],[],-1,alliance_tech_showdesc_117,,[5103|120],2,[5103|120],30000,117,2,5,[1|12],[1|1],129600
11703,[1|1],[1|13],[],-1,alliance_tech_showdesc_117,,[5103|180],2,[5103|180],60000,117,3,5,[1|13],[1|1],194400
11704,[1|1],[1|12],[],-1,alliance_tech_showdesc_117,,[5103|240],2,[5103|240],100000,117,4,5,[1|12],[1|1],259200
11705,[1|1],[1|13],[],-1,alliance_tech_showdesc_117,,[5103|300],2,[5103|300],150000,117,5,5,[1|13],[1|1],324000
11801,[1|1],[1|12],[11503],-1,alliance_tech_showdesc_118,[11503],[4103|60],2,[4103|60],10000,118,1,5,[1|12],[1|1],64800
11802,[1|1],[1|13],[],-1,alliance_tech_showdesc_118,,[4103|120],2,[4103|120],30000,118,2,5,[1|13],[1|1],129600
11803,[1|1],[1|12],[],-1,alliance_tech_showdesc_118,,[4103|180],2,[4103|180],60000,118,3,5,[1|12],[1|1],194400
11804,[1|1],[1|13],[],-1,alliance_tech_showdesc_118,,[4103|240],2,[4103|240],100000,118,4,5,[1|13],[1|1],259200
11805,[1|1],[1|12],[],-1,alliance_tech_showdesc_118,,[4103|300],2,[4103|300],150000,118,5,5,[1|12],[1|1],324000
40201,[1|1],[1|13],[11603|11703|11803],-1,alliance_tech_showdesc_401,[11603|11703|11803],[1090|1],2,[1090|1],60000,402,1,2,[1|13],[1|1],37800
40202,[1|1],[1|12],[],-1,alliance_tech_showdesc_401,,[1090|2],2,[1090|2],100000,402,2,2,[1|12],[1|1],75600
50401,[1|1],[1|13],[40201],-1,alliance_tech_showdesc_504,[40201],,-1,[],80000,504,1,1,[1|13],[1|1],37800
11901,[1|1],[1|13],[50401],-1,alliance_tech_showdesc_119,[50401],[3104|60],2,[3104|60],10000,119,1,5,[1|13],[1|1],64800
11902,[1|1],[1|12],[],-1,alliance_tech_showdesc_119,,[3104|120],2,[3104|120],30000,119,2,5,[1|12],[1|1],129600
11903,[1|1],[1|13],[],-1,alliance_tech_showdesc_119,,[3104|180],2,[3104|180],60000,119,3,5,[1|13],[1|1],194400
11904,[1|1],[1|12],[],-1,alliance_tech_showdesc_119,,[3104|240],2,[3104|240],100000,119,4,5,[1|12],[1|1],259200
11905,[1|1],[1|13],[],-1,alliance_tech_showdesc_119,,[3104|300],2,[3104|300],150000,119,5,5,[1|13],[1|1],324000
12001,[1|1],[1|12],[50401],-1,alliance_tech_showdesc_120,[50401],[5104|60],2,[5104|60],10000,120,1,5,[1|12],[1|1],64800
12002,[1|1],[1|13],[],-1,alliance_tech_showdesc_120,,[5104|120],2,[5104|120],30000,120,2,5,[1|13],[1|1],129600
12003,[1|1],[1|12],[],-1,alliance_tech_showdesc_120,,[5104|180],2,[5104|180],60000,120,3,5,[1|12],[1|1],194400
12004,[1|1],[1|13],[],-1,alliance_tech_showdesc_120,,[5104|240],2,[5104|240],100000,120,4,5,[1|13],[1|1],259200
12005,[1|1],[1|12],[],-1,alliance_tech_showdesc_120,,[5104|300],2,[5104|300],150000,120,5,5,[1|12],[1|1],324000
12101,[1|1],[1|13],[50401],-1,alliance_tech_showdesc_121,[50401],[4104|60],2,[4104|60],10000,121,1,5,[1|13],[1|1],64800
12102,[1|1],[1|12],[],-1,alliance_tech_showdesc_121,,[4104|120],2,[4104|120],30000,121,2,5,[1|12],[1|1],129600
12103,[1|1],[1|13],[],-1,alliance_tech_showdesc_121,,[4104|180],2,[4104|180],60000,121,3,5,[1|13],[1|1],194400
12104,[1|1],[1|12],[],-1,alliance_tech_showdesc_121,,[4104|240],2,[4104|240],100000,121,4,5,[1|12],[1|1],259200
12105,[1|1],[1|13],[],-1,alliance_tech_showdesc_121,,[4104|300],2,[4104|300],150000,121,5,5,[1|13],[1|1],324000
12201,[1|1],[1|12],[11903],-1,alliance_tech_showdesc_122,[11903],[1004|100],2,[1004|100],10000,122,1,5,[1|12],[1|1],64800
12202,[1|1],[1|13],[],-1,alliance_tech_showdesc_122,,[1004|200],2,[1004|200],30000,122,2,5,[1|13],[1|1],129600
12203,[1|1],[1|12],[],-1,alliance_tech_showdesc_122,,[1004|300],2,[1004|300],60000,122,3,5,[1|12],[1|1],194400
12204,[1|1],[1|13],[],-1,alliance_tech_showdesc_122,,[1004|400],2,[1004|400],100000,122,4,5,[1|13],[1|1],259200
12205,[1|1],[1|12],[],-1,alliance_tech_showdesc_122,,[1004|500],2,[1004|500],150000,122,5,5,[1|12],[1|1],324000
12301,[1|1],[1|13],[12003],-1,alliance_tech_showdesc_123,[12003],[1005|100],2,[1005|100],10000,123,1,5,[1|13],[1|1],64800
12302,[1|1],[1|12],[],-1,alliance_tech_showdesc_123,,[1005|200],2,[1005|200],30000,123,2,5,[1|12],[1|1],129600
12303,[1|1],[1|13],[],-1,alliance_tech_showdesc_123,,[1005|300],2,[1005|300],60000,123,3,5,[1|13],[1|1],194400
12304,[1|1],[1|12],[],-1,alliance_tech_showdesc_123,,[1005|400],2,[1005|400],100000,123,4,5,[1|12],[1|1],259200
12305,[1|1],[1|13],[],-1,alliance_tech_showdesc_123,,[1005|500],2,[1005|500],150000,123,5,5,[1|13],[1|1],324000
12401,[1|1],[1|12],[12103],-1,alliance_tech_showdesc_124,[12103],[1006|100],2,[1006|100],10000,124,1,5,[1|12],[1|1],64800
12402,[1|1],[1|13],[],-1,alliance_tech_showdesc_124,,[1006|200],2,[1006|200],30000,124,2,5,[1|13],[1|1],129600
12403,[1|1],[1|12],[],-1,alliance_tech_showdesc_124,,[1006|300],2,[1006|300],60000,124,3,5,[1|12],[1|1],194400
12404,[1|1],[1|13],[],-1,alliance_tech_showdesc_124,,[1006|400],2,[1006|400],100000,124,4,5,[1|13],[1|1],259200
12405,[1|1],[1|12],[],-1,alliance_tech_showdesc_124,,[1006|500],2,[1006|500],150000,124,5,5,[1|12],[1|1],324000
12501,[1|1],[1|13],[12203|12303|12403],-1,alliance_tech_showdesc_125,[12203|12303|12403],[3],1,[3],10000,125,1,5,[1|13],[1|1],189000
12502,[1|1],[1|12],[],-1,alliance_tech_showdesc_125,,[6],1,[6],30000,125,2,5,[1|12],[1|1],302400
12503,[1|1],[1|13],[],-1,alliance_tech_showdesc_125,,[9],1,[9],60000,125,3,5,[1|13],[1|1],428400
12504,[1|1],[1|12],[],-1,alliance_tech_showdesc_125,,[12],1,[12],100000,125,4,5,[1|12],[1|1],567000
12505,[1|1],[1|13],[],-1,alliance_tech_showdesc_125,,[15],1,[15],150000,125,5,5,[1|13],[1|1],718200
50501,[1|1],[1|13],[12501],-1,alliance_tech_showdesc_505,[12501],,-1,[],80000,505,1,1,[1|13],[1|1],189000
12601,[1|1],[1|12],[50501],-1,alliance_tech_showdesc_126,[50501],[1200115|60],2,[1200115|60],10000,126,1,5,[1|12],[1|1],214200
12602,[1|1],[1|13],[],-1,alliance_tech_showdesc_126,,[1200115|120],2,[1200115|120],30000,126,2,5,[1|13],[1|1],321300
12603,[1|1],[1|12],[],-1,alliance_tech_showdesc_126,,[1200115|180],2,[1200115|180],60000,126,3,5,[1|12],[1|1],428400
12604,[1|1],[1|13],[],-1,alliance_tech_showdesc_126,,[1200115|240],2,[1200115|240],100000,126,4,5,[1|13],[1|1],535500
12605,[1|1],[1|12],[],-1,alliance_tech_showdesc_126,,[1200115|300],2,[1200115|300],150000,126,5,5,[1|12],[1|1],642600
12701,[1|1],[1|13],[50501],-1,alliance_tech_showdesc_127,[50501],[1200116|60],2,[1200116|60],10000,127,1,5,[1|13],[1|1],214200
12702,[1|1],[1|12],[],-1,alliance_tech_showdesc_127,,[1200116|120],2,[1200116|120],30000,127,2,5,[1|12],[1|1],321300
12703,[1|1],[1|13],[],-1,alliance_tech_showdesc_127,,[1200116|180],2,[1200116|180],60000,127,3,5,[1|13],[1|1],428400
12704,[1|1],[1|12],[],-1,alliance_tech_showdesc_127,,[1200116|240],2,[1200116|240],100000,127,4,5,[1|12],[1|1],535500
12705,[1|1],[1|13],[],-1,alliance_tech_showdesc_127,,[1200116|300],2,[1200116|300],150000,127,5,5,[1|13],[1|1],642600
12801,[1|1],[1|12],[12603],-1,alliance_tech_showdesc_128,[12603],[3103|60],2,[3103|60],10000,128,1,5,[1|12],[1|1],214200
12802,[1|1],[1|13],[],-1,alliance_tech_showdesc_128,,[3103|120],2,[3103|120],30000,128,2,5,[1|13],[1|1],321300
12803,[1|1],[1|12],[],-1,alliance_tech_showdesc_128,,[3103|180],2,[3103|180],60000,128,3,5,[1|12],[1|1],428400
12804,[1|1],[1|13],[],-1,alliance_tech_showdesc_128,,[3103|240],2,[3103|240],100000,128,4,5,[1|13],[1|1],535500
12805,[1|1],[1|12],[],-1,alliance_tech_showdesc_128,,[3103|300],2,[3103|300],150000,128,5,5,[1|12],[1|1],642600
12901,[1|1],[1|13],[12603|12703],-1,alliance_tech_showdesc_129,[12603|12703],[5103|60],2,[5103|60],10000,129,1,5,[1|13],[1|1],214200
12902,[1|1],[1|12],[],-1,alliance_tech_showdesc_129,,[5103|120],2,[5103|120],30000,129,2,5,[1|12],[1|1],321300
12903,[1|1],[1|13],[],-1,alliance_tech_showdesc_129,,[5103|180],2,[5103|180],60000,129,3,5,[1|13],[1|1],428400
12904,[1|1],[1|12],[],-1,alliance_tech_showdesc_129,,[5103|240],2,[5103|240],100000,129,4,5,[1|12],[1|1],535500
12905,[1|1],[1|13],[],-1,alliance_tech_showdesc_129,,[5103|300],2,[5103|300],150000,129,5,5,[1|13],[1|1],642600
13001,[1|1],[1|12],[12703],-1,alliance_tech_showdesc_130,[12703],[4103|60],2,[4103|60],10000,130,1,5,[1|12],[1|1],214200
13002,[1|1],[1|13],[],-1,alliance_tech_showdesc_130,,[4103|120],2,[4103|120],30000,130,2,5,[1|13],[1|1],321300
13003,[1|1],[1|12],[],-1,alliance_tech_showdesc_130,,[4103|180],2,[4103|180],60000,130,3,5,[1|12],[1|1],428400
13004,[1|1],[1|13],[],-1,alliance_tech_showdesc_130,,[4103|240],2,[4103|240],100000,130,4,5,[1|13],[1|1],535500
13005,[1|1],[1|12],[],-1,alliance_tech_showdesc_130,,[4103|300],2,[4103|300],150000,130,5,5,[1|12],[1|1],642600
40301,[1|1],[1|13],[12803|12903|13003],-1,alliance_tech_showdesc_401,[12803|12903|13003],[1090|1],2,[1090|1],100000,403,1,2,[1|13],[1|1],75600
40302,[1|1],[1|12],[],-1,alliance_tech_showdesc_401,,[1090|2],2,[1090|2],150000,403,2,2,[1|12],[1|1],113400
13101,[1|1],[1|13],[40302],-1,alliance_tech_showdesc_131,[40302],[3104|60],2,[3104|60],10000,131,1,5,[1|13],[1|1],214200
13102,[1|1],[1|12],[],-1,alliance_tech_showdesc_131,,[3104|120],2,[3104|120],30000,131,2,5,[1|12],[1|1],321300
13103,[1|1],[1|13],[],-1,alliance_tech_showdesc_131,,[3104|180],2,[3104|180],60000,131,3,5,[1|13],[1|1],428400
13104,[1|1],[1|12],[],-1,alliance_tech_showdesc_131,,[3104|240],2,[3104|240],100000,131,4,5,[1|12],[1|1],535500
13105,[1|1],[1|13],[],-1,alliance_tech_showdesc_131,,[3104|300],2,[3104|300],150000,131,5,5,[1|13],[1|1],642600
13201,[1|1],[1|12],[40302],-1,alliance_tech_showdesc_132,[40302],[5104|60],2,[5104|60],10000,132,1,5,[1|12],[1|1],214200
13202,[1|1],[1|13],[],-1,alliance_tech_showdesc_132,,[5104|120],2,[5104|120],30000,132,2,5,[1|13],[1|1],321300
13203,[1|1],[1|12],[],-1,alliance_tech_showdesc_132,,[5104|180],2,[5104|180],60000,132,3,5,[1|12],[1|1],428400
13204,[1|1],[1|13],[],-1,alliance_tech_showdesc_132,,[5104|240],2,[5104|240],100000,132,4,5,[1|13],[1|1],535500
13205,[1|1],[1|12],[],-1,alliance_tech_showdesc_132,,[5104|300],2,[5104|300],150000,132,5,5,[1|12],[1|1],642600
13301,[1|1],[1|13],[40302],-1,alliance_tech_showdesc_133,[40302],[4104|60],2,[4104|60],10000,133,1,5,[1|13],[1|1],214200
13302,[1|1],[1|12],[],-1,alliance_tech_showdesc_133,,[4104|120],2,[4104|120],30000,133,2,5,[1|12],[1|1],321300
13303,[1|1],[1|13],[],-1,alliance_tech_showdesc_133,,[4104|180],2,[4104|180],60000,133,3,5,[1|13],[1|1],428400
13304,[1|1],[1|12],[],-1,alliance_tech_showdesc_133,,[4104|240],2,[4104|240],100000,133,4,5,[1|12],[1|1],535500
13305,[1|1],[1|13],[],-1,alliance_tech_showdesc_133,,[4104|300],2,[4104|300],150000,133,5,5,[1|13],[1|1],642600
13401,[1|1],[1|12],[13103],-1,alliance_tech_showdesc_134,[13103],[1004|100],2,[1004|100],10000,134,1,5,[1|12],[1|1],214200
13402,[1|1],[1|13],[],-1,alliance_tech_showdesc_134,,[1004|200],2,[1004|200],30000,134,2,5,[1|13],[1|1],321300
13403,[1|1],[1|12],[],-1,alliance_tech_showdesc_134,,[1004|300],2,[1004|300],60000,134,3,5,[1|12],[1|1],428400
13404,[1|1],[1|13],[],-1,alliance_tech_showdesc_134,,[1004|400],2,[1004|400],100000,134,4,5,[1|13],[1|1],535500
13405,[1|1],[1|12],[],-1,alliance_tech_showdesc_134,,[1004|500],2,[1004|500],150000,134,5,5,[1|12],[1|1],642600
13501,[1|1],[1|13],[13203],-1,alliance_tech_showdesc_135,[13203],[1005|100],2,[1005|100],10000,135,1,5,[1|13],[1|1],214200
13502,[1|1],[1|12],[],-1,alliance_tech_showdesc_135,,[1005|200],2,[1005|200],30000,135,2,5,[1|12],[1|1],321300
13503,[1|1],[1|13],[],-1,alliance_tech_showdesc_135,,[1005|300],2,[1005|300],60000,135,3,5,[1|13],[1|1],428400
13504,[1|1],[1|12],[],-1,alliance_tech_showdesc_135,,[1005|400],2,[1005|400],100000,135,4,5,[1|12],[1|1],535500
13505,[1|1],[1|13],[],-1,alliance_tech_showdesc_135,,[1005|500],2,[1005|500],150000,135,5,5,[1|13],[1|1],642600
13601,[1|1],[1|12],[13303],-1,alliance_tech_showdesc_136,[13303],[1006|100],2,[1006|100],10000,136,1,5,[1|12],[1|1],214200
13602,[1|1],[1|13],[],-1,alliance_tech_showdesc_136,,[1006|200],2,[1006|200],30000,136,2,5,[1|13],[1|1],321300
13603,[1|1],[1|12],[],-1,alliance_tech_showdesc_136,,[1006|300],2,[1006|300],60000,136,3,5,[1|12],[1|1],428400
13604,[1|1],[1|13],[],-1,alliance_tech_showdesc_136,,[1006|400],2,[1006|400],100000,136,4,5,[1|13],[1|1],535500
13605,[1|1],[1|12],[],-1,alliance_tech_showdesc_136,,[1006|500],2,[1006|500],150000,136,5,5,[1|12],[1|1],642600
13701,[1|1],[1|12],[13403|13503|13603],-1,alliance_tech_showdesc_137,[13403|13503|13603],[1198|12],2,[1198|12],10000,137,1,5,[1|12],[1|1],257000
13702,[1|1],[1|13],[],-1,alliance_tech_showdesc_137,,[1198|24],2,[1198|24],30000,137,2,5,[1|13],[1|1],385500
13703,[1|1],[1|12],[],-1,alliance_tech_showdesc_137,,[1198|36],2,[1198|36],60000,137,3,5,[1|12],[1|1],514000
13704,[1|1],[1|13],[],-1,alliance_tech_showdesc_137,,[1198|48],2,[1198|48],100000,137,4,5,[1|13],[1|1],642000
13705,[1|1],[1|12],[],-1,alliance_tech_showdesc_137,,[1198|60],2,[1198|60],150000,137,5,5,[1|12],[1|1],771000
20101,[1|1],[1|13],[],-1,alliance_tech_showdesc_201,,[103|200],2,[103|200],20000,201,1,1,[1|13],[1|1],12600
20201,[1|1],[1|12],[20101],-1,alliance_tech_showdesc_202,[20101],[1174|1],2,[1174|1],10000,202,1,1,[1|12],[1|1],6300
