id,offsetTime,assist_demand,assist_troop_toplimit,attack_demand,height,model,model2,monster_group_boss,monster_group_defeat_reward,monster_group_priority,monsterGroups,name,offset_time,pos_x,pos_y,protect_area_offset,protect_time,pvp_stage,rally_demand,ready_area_offset,ready_time,ready_time_merge,scout_demand,scramble_time,season,share_icon,share_icon2,vote_scramble_time,vote_time,water_consume,water_requirement,width,world_map_building_pic,world_map_building_pic2,world_map_building_type
1201,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1021,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,2,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1202,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1022,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,2,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1203,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1023,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,2,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1204,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1024,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,2,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1205,[-10|-4|2],0,50,5,5,throne_1021,throne_1022_1,[226001|500],30000,5,[[226001|500]],world_map_building_name_1025,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,2,chat_share_zhigaotian_s201,chat_share_zhigaotian_s202,14400,259200|173100,-1,-1,5,banner_zhigaotian_1,banner_zhigaotian_2,2
1301,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1031,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,3,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1302,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1032,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,3,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1303,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1033,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,3,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1304,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1034,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,3,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1305,[-10|-4|2],0,50,5,5,throne_1031,throne_1032,[326001|500],30000,5,[[326001|500]],world_map_building_name_1035,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,3,chat_share_Wangcheng_s302,chat_share_Wangcheng_s301,14400,259200|173100,-1,-1,5,banner_wangcheng_1,banner_wangcheng_2,2
1401,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1011,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1402,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1012,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1403,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1013,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1404,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1014,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1405,[-10|-4|2],0,50,5,5,throne_1011,throne_1012_1,[126001|10],30000,5,[[126001|10]],world_map_building_name_1015,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,wcz_build_wangcheng,wcz_build_wangcheng_2,14400,259200|173100,-1,-1,5,banner_bubble_Building_1,banner_worldtree01,2
1501,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1021,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1502,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1022,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1503,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1023,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1504,[-10|-4|2],0,50,5,1,throne_1023,throne_1024,,-1,,[],world_map_building_name_1024,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_shaota_s201,chat_share_shaota_s202,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1505,[-10|-4|2],0,50,5,5,throne_1021,throne_1022_1,[226001|10],30000,5,[[226001|10]],world_map_building_name_1025,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_zhigaotian_s201,chat_share_zhigaotian_s202,14400,259200|173100,-1,-1,5,banner_zhigaotian_1,banner_zhigaotian_2,2
1601,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1031,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1602,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1032,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1603,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1033,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1604,[-10|-4|2],0,50,5,1,throne_1033,throne_1034,,-1,,[],world_map_building_name_1034,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_tower_s302,chat_share_tower_s301,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1605,[-10|-4|2],0,50,5,5,throne_1031,throne_1032,[326001|10],30000,5,[[326001|10]],world_map_building_name_1035,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,4,chat_share_Wangcheng_s302,chat_share_Wangcheng_s301,14400,259200|173100,-1,-1,5,banner_wangcheng_1,banner_wangcheng_2,2
1701,[-10|-4|2],0,50,5,1,throne_1043,throne_1044,,-1,,[],world_map_building_name_1041,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,5,chat_share_tower_s402,chat_share_tower_s401,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1702,[-10|-4|2],0,50,5,1,throne_1043,throne_1044,,-1,,[],world_map_building_name_1042,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,5,chat_share_tower_s402,chat_share_tower_s401,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1703,[-10|-4|2],0,50,5,1,throne_1043,throne_1044,,-1,,[],world_map_building_name_1043,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,5,chat_share_tower_s402,chat_share_tower_s401,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1704,[-10|-4|2],0,50,5,1,throne_1043,throne_1044,,-1,,[],world_map_building_name_1044,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,5,chat_share_tower_s402,chat_share_tower_s401,14400,259200|173100,-1,-1,1,banner_shaota_1,banner_shaota_2,1
1705,[-10|-4|2],0,50,5,5,throne_1041,throne_1042,[326001|10],30000,5,[[326001|10]],world_map_building_name_1045,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,5,chat_share_Wangcheng_s402,chat_share_Wangcheng_s401,14400,259200|173100,-1,-1,5,banner_wangcheng_1,banner_wangcheng_2,2
