id,iconAtlas,iconBigAtlas,broadcast,buff_type,desc,effect_condition,effect_name,effect_pos,effect_scale,icon,icon_atlas,icon_big,icon_big_atlas,isShow,maxNum,name,overwrite,property_type,property_value,time_para,time_type
210001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,birthday_buff_desc_1,,Fx_shengrimao_cb,0|0,50,icon_birthdaycake_vx,,icon_effect_015,Atlas/UI_Worldskin,true,1,birthday_buff_1,1,,,600,-1
211001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_211001,,castle_face_211_buff,0|0,160,worldmap_buff_211,,worldskin_015,Atlas/UI_Worldskin,true,1,skin_name_211,1,[10103|10104],[3000|6000],600,-1
211002,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_211002,,,,-1,worldmap_buff_211,,worldskin_015,Atlas/UI_Worldskin,true,1,skin_name_211,1,[10103],[3000],600,-1
211021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_211021,,castle_face_211_buff,0|0,190,worldmap_buff_211_lv2,,worldskin_015,Atlas/UI_Worldskin,true,1,skin_name_211,1,[10103|10104],[3000|6000],900,-1
211022,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_211022,,,,-1,worldmap_buff_211_lv2,,worldskin_015_lv2,Atlas/UI_Worldskin,true,1,skin_name_211,1,[10103],[6000],900,-1
213001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_213001,,castle_face_buff,0|0,135,worldmap_buff_213,,worldskin_017,Atlas/UI_Worldskin,true,1,skin_name_213,1,[1038|45],[10000|1000],300,-1
213021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_213021,,castle_face_buff,0|0,135,worldmap_buff_213,,worldskin_017_lv2,Atlas/UI_Worldskin,true,1,skin_name_213,1,[1038|45],[15000|1500],300,-1
231001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_231001,,castle_face_buff,0|0,135,worldmap_buff_231,,worldskin_019,Atlas/UI_Worldskin,true,1,skin_name_231,1,[1039|1000104],[1500|3000],28800,-1
231021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_231021,,castle_face_buff,0|0,135,worldmap_buff_231,,worldskin_019,Atlas/UI_Worldskin,true,1,skin_name_231,1,[1039|1000104],[2000|4000],43200,-1
241001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_241001,,castle_face_241_buff,0|0,160,worldmap_buff_241,,worldskin_020,Atlas/UI_Worldskin,true,1,skin_name_241,1,[10104|1056],[12000|2000],600,-1
241002,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_241002,,,,-1,worldmap_buff_241,,worldskin_020,Atlas/UI_Worldskin,true,1,skin_name_241,1,[10104],[5000],600,-1
241021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_241021,,castle_face_241_buff,0|0,190,worldmap_buff_241_lv2,,worldskin_020_lv2,Atlas/UI_Worldskin,true,1,skin_name_241,1,[10104|1056],[12000|2000],900,-1
241022,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_241022,,,,-1,worldmap_buff_241_lv2,,worldskin_020_lv2,Atlas/UI_Worldskin,true,1,skin_name_241,1,[10104],[10000],900,-1
271001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_271001,,castle_face_buff,0|0,135,worldmap_buff_271,,worldskin_025,Atlas/UI_Worldskin,true,1,skin_name_271,1,[18|1076],[1500|1500],600,-1
271021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_271021,,castle_face_buff,0|0,135,worldmap_buff_271_lv2,,worldskin_025_lv2,Atlas/UI_Worldskin,true,1,skin_name_271,1,[18|1076],[2500|2500],900,-1
306001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_306001,,,,-1,worldmap_buff_306,,worldskin_035,Atlas/UI_Worldskin,true,1,skin_name_306,1,,,300,-1
307001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_307001,,castle_face_307_buff,0|0,135,worldmap_buff_307,,worldskin_036,Atlas/UI_Worldskin,true,1,skin_name_307,1,[10188|1076],[1000|1000],900,-1
307021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_307021,,castle_face_307_buff,0|0,135,worldmap_buff_307_lv2,,worldskin_036_lv2,Atlas/UI_Worldskin,true,1,skin_name_307,1,[10188|1076],[1500|1500],900,-1
310001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_310001,,castle_face_310_buff,0|0,135,worldmap_buff_310,,worldskin_310,Atlas/UI_Worldskin,true,1,skin_name_310,1,[1019],[100],600,-1
310021,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_310021,,castle_face_310_buff,0|0,135,worldmap_buff_310_lv2,,worldskin_310_lv2,Atlas/UI_Worldskin,true,1,skin_name_310,1,[1019],[150],900,-1
313001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_313001,,castle_face_313_buff,0|0,135,worldmap_buff_313,,worldskin_313,Atlas/UI_Worldskin,true,1,skin_name_313,1,[64],[5000],900,-1
311001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311001,,,,-1,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[18|157],[1000|8000],300,-1
311002,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311002,,castle_face_311_buff,0|0,135,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[1039|1000104],[1000|3000],-1,-1
311003,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311003,,,,-1,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[18|157],[1500|8000],300,-1
311004,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311004,,,,-1,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[18|157],[2000|8000],300,-1
311005,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311002,,castle_face_311_buff_lv5,0|0,135,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[1039|1000104],[1000|3000],-1,-1
311006,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_311005,,castle_face_311_buff_lv10,0|0,135,worldmap_buff_311,,worldskin_033,Atlas/UI_Worldskin,true,1,skin_name_311,1,[1039|1000104],[2000|5000],-1,-1
321001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_321001,,castle_face_321_buff,0|0,190,worldmap_buff_321,,worldskin_321,Atlas/UI_Worldskin,true,1,skin_name_321,1,[1000103|1000104|1000119],[3000|6000|1000],10800,-1
321002,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_321002,,,,-1,worldmap_buff_321,,worldskin_321,Atlas/UI_Worldskin,true,1,skin_name_321,1,[1000103|1000104],[2000|4000],10800,-1
323001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_323001,,Fx_castle_buff_sea,-0.38|2.75,252,worldmap_buff_323,,worldskin_406,Atlas/UI_Worldskin,true,1,skin_name_323,1,[1000105|1076|45],[3000|1500|1000],600,-1
323002,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_323002,,,,-1,worldmap_buff_323,,worldskin_406,Atlas/UI_Worldskin,true,1,skin_name_323,1,[1000105|1076],[2000|1000],600,-1
318001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_318001,,castle_face_buff,0|0,135,worldmap_buff_318,,worldskin_318,Atlas/UI_Worldskin,true,1,skin_name_318,1,[19],[1500],900,-1
318002,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_318002,,castle_face_buff,0|0,135,worldmap_buff_318,,worldskin_318_lv2,Atlas/UI_Worldskin,true,1,skin_name_318,1,[19|10104],[1500|12000],1200,-1
2011001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,skin_territory_2011,,,,-1,worldmap_buff_2011,,icon_effect_2011,Atlas/UI_Worldskin,true,1,world_effect_name_011,1,[10189|10103|10104],[500|500|1500],-1,-1
324001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_324001,,Fx_molongbaoku_buff,0|1.7,100,worldmap_buff_324,,worldskin_324,Atlas/UI_Worldskin,true,1,skin_name_324,1,[8|10],[500|3000],600,-1
324002,Atlas/UI_Common,Atlas/UI_Worldskin,-1,3,buff_global_desc_324002,,,,-1,worldmap_buff_324,,worldskin_324,Atlas/UI_Worldskin,true,1,skin_name_324,1,[10],[1500],600,-1
326001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,buff_global_desc_326001,,,,-1,worldmap_buff_326,,worldskin_326,Atlas/UI_Worldskin,true,1,skin_name_326,1,[1076|1137],[1500|1000],600,-1
2016001,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,world_skin_skill_2016,,Fx_qingrenji_2026,0|1,40,,,icon_effect_2016,Atlas/UI_Worldskin,false,1,world_effect_name_016,1,,,180,-1
2016002,Atlas/UI_Common,Atlas/UI_Worldskin,1,3,world_skin_skill_2016,,Fx_qingrenji_2026_buff,0|0,80,,,icon_effect_2016,Atlas/UI_Worldskin,false,1,world_effect_name_016,1,,,180,-1
1001,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1001,,,,-1,worldmap_buff_1101,,icon_70007,Atlas/UI_Item,true,1,buff_global_name_1001,1,[1022],[3000],-1,-1
1002,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1002,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,buff_global_name_1002,1,[1076],[1500],-1,-1
1003,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1003,,,,-1,worldmap_buff_1103,,icon_70014,Atlas/UI_Item,true,1,buff_global_name_1003,1,[10104],[3000],-1,-1
1004,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1004,,,,-1,worldmap_buff_1104,,icon_70013,Atlas/UI_Item,true,1,buff_global_name_1004,1,[10103],[1000],-1,-1
1005,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1005,,,,-1,worldmap_buff_1105,,icon_70012,Atlas/UI_Item,true,1,buff_global_name_1005,1,[1056],[1500],-1,-1
1101,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1101,,,,-1,worldmap_buff_1101_v2,,icon_70006,Atlas/UI_Item,true,1,buff_global_name_1101,1,[1016],[500],-1,-1
1102,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1102,,,,-1,worldmap_buff_1102_v2,,icon_30654,Atlas/UI_Item,true,1,buff_global_name_1102,1,[1023],[20],-1,-1
1103,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1103,,,,-1,worldmap_buff_1103_v2,,icon_30652,Atlas/UI_Item,true,1,buff_global_name_1103,1,[1024],[20],-1,-1
1104,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1104,,,,-1,worldmap_buff_1104_v2,,icon_30653,Atlas/UI_Item,true,1,buff_global_name_1104,1,[1025],[20],-1,-1
1105,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_1105,,,,-1,worldmap_buff_1101_v2,,icon_70006,Atlas/UI_Item,true,1,buff_global_name_1105,1,[1016],[500],-1,-1
2000,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_22,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1134],[100],-1,-1
2001,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_24,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,[1134],[100],-1,-1
2002,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_25,,,,-1,worldmap_buff_1005,,icon_70006,Atlas/UI_Item,true,1,goods_name_11270001,1,[1134|1034|1033],[120|500|500],-1,-1
2003,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_26,,,,-1,worldmap_buff_1006,,icon_70007,Atlas/UI_Item,true,1,goods_name_11270001,1,[1134|1034|1033],[140|550|550],-1,-1
2004,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_27,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1134|1034|1033],[160|600|600],-1,-1
2005,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[180|650|1000|650|1000],,-1
2006,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[200|700|1050|700|1050],,-1
2007,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[220|750|1100|750|1100],,-1
2008,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[240|800|1150|800|1150],,-1
2009,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[260|850|1200|850|1200],,-1
2010,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[280|900|1250|900|1250],,-1
2011,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[300|950|1300|950|1300],,-1
2012,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[330|1000|1350|1000|1350],,-1
2013,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[360|1050|1400|1050|1400],,-1
2014,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[390|1100|1450|1100|1450],,-1
2015,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[420|1150|1500|1150|1500],,-1
2016,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[450|1200|1550|1200|1550],,-1
2017,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[480|1250|1600|1250|1600],,-1
2018,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[510|1300|1650|1300|1650],,-1
2019,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[540|1350|1700|1350|1700],,-1
2020,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[570|1400|1750|1400|1750],,-1
2021,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[600|1450|1800|1450|1800],,-1
2022,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[640|1500|1850|1500|1850],,-1
2023,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[680|1600|1900|1600|1900],,-1
2024,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1072|64],[720|1700|1950|1700|1950],,-1
2025,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[760|1800|2000|2000|1800|2000|200],,-1
2026,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[800|1900|2100|2200|1900|2100|210],,-1
2027,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[850|2000|2200|2400|2000|2200|220],,-1
2028,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[900|2100|2300|2600|2100|2300|230],,-1
2029,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[950|2200|2400|2800|2200|2400|240],,-1
2030,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1000|2300|2500|3000|2300|2500|250],,-1
2031,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1100|2400|2600|3200|2400|2600|260],,-1
2032,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1200|2500|2700|3400|2500|2700|270],,-1
2033,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1300|2600|2800|3600|2600|2800|280],,-1
2034,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1400|2800|2900|3800|2800|2900|290],,-1
2035,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1500|3000|3000|4000|3000|3000|300],,-1
2036,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1600|3200|3200|4200|3200|3200|320],,-1
2037,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1700|3400|3400|4400|3400|3400|340],,-1
2038,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1800|3600|3600|4600|3600|3600|360],,-1
2039,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[1900|3800|3800|4800|3800|3800|380],,-1
2040,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1134|1034|1033|1022|1072|64|1130],[2000|4000|4000|5000|4000|4000|400],,-1
2041,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_22,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1175],[100],-1,-1
2042,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_24,,,,-1,worldmap_buff_1004,,icon_70002,Atlas/UI_Item,true,1,goods_name_11270001,1,[1175],[100],-1,-1
2043,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_25,,,,-1,worldmap_buff_1005,,icon_70006,Atlas/UI_Item,true,1,goods_name_11270001,1,[1175|1034|1033],[120|500|500],-1,-1
2044,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_26,,,,-1,worldmap_buff_1006,,icon_70007,Atlas/UI_Item,true,1,goods_name_11270001,1,[1175|1034|1033],[140|550|550],-1,-1
2045,Atlas/UI_Common,Atlas/UI_Item,-1,3,buff_global_desc_27,,,,-1,worldmap_buff_1002,,icon_70004,Atlas/UI_Item,true,1,goods_name_11270001,1,[1175|1034|1033],[160|600|600],-1,-1
2046,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[180|650|1000|650|1000],,-1
2047,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[200|700|1050|700|1050],,-1
2048,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[220|750|1100|750|1100],,-1
2049,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[240|800|1150|800|1150],,-1
2050,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[260|850|1200|850|1200],,-1
2051,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[280|900|1250|900|1250],,-1
2052,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[300|950|1300|950|1300],,-1
2053,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[330|1000|1350|1000|1350],,-1
2054,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[360|1050|1400|1050|1400],,-1
2055,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[390|1100|1450|1100|1450],,-1
2056,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[420|1150|1500|1150|1500],,-1
2057,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[450|1200|1550|1200|1550],,-1
2058,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[480|1250|1600|1250|1600],,-1
2059,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[510|1300|1650|1300|1650],,-1
2060,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[540|1350|1700|1350|1700],,-1
2061,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[570|1400|1750|1400|1750],,-1
2062,Atlas/UI_Common,Atlas/UI_Item,-1,3,,,,,-1,,,,,false,1,,1,[1175|1034|1033|1072|64],[600|1450|1800|1450|1800],,-1
