id,rank_id,reward_id,stage_first_number,stage_last_number
2701,151,18507,101,1000
2702,152,18511,1,1
2703,152,18512,2,2
2704,152,18513,3,3
2705,152,18514,4,10
2706,152,18515,11,20
2707,152,18516,21,100
2708,152,18517,101,1000
2709,153,18521,1,1
2710,153,18522,2,2
2711,153,18523,3,3
2712,153,18524,4,10
2713,153,18525,11,20
2714,153,18526,21,100
2715,153,18527,101,1000
2716,154,18581,1,1
2717,154,18582,2,2
2718,154,18583,3,3
2719,154,18584,4,10
2720,154,18585,11,20
2721,154,18586,21,50
2722,154,18587,51,200
2723,155,18551,1,1
2724,155,18552,2,2
2725,155,18553,3,3
2726,155,18554,4,10
2727,155,18555,11,20
2728,155,18556,21,100
2729,155,18557,101,1000
2730,156,18561,1,1
2731,156,18562,2,2
2732,156,18563,3,3
2733,156,18564,4,10
2734,156,18565,11,20
2735,156,18566,21,100
2736,156,18567,101,1000
2737,157,18571,1,1
2738,157,18572,2,2
2739,157,18573,3,3
2740,157,18574,4,10
2741,157,18575,11,20
2742,157,18576,21,100
2743,157,18577,101,1000
2744,999,401186001,1,1
2745,999,401186002,2,2
2746,999,401186003,3,3
2747,999,401186004,4,4
2748,999,401186005,5,5
2749,999,401186006,6,6
2750,999,401186007,7,7
2751,999,401186008,8,8
2752,999,401186009,9,1000
2753,666,402028021,1,1
2754,666,402028021,2,2
2755,666,402028021,3,3
2756,666,402028021,4,5
2757,666,402028021,6,10
2758,666,402028021,11,20
2759,666,402028021,21,50
2760,666,402028021,51,100
2761,666,402028021,101,1000
2762,667,402028031,1,1
2763,667,402028032,2,2
2764,667,402028033,3,3
2765,667,402028034,4,5
2766,667,402028035,6,10
2767,667,402028036,11,20
2768,667,402028037,21,50
2769,667,402028038,51,100
2770,667,402028039,101,1000
2771,668,402056101,1,1
2772,668,402056102,2,2
2773,668,402056103,3,3
2774,668,402056104,4,5
2775,668,402056105,6,10
2776,668,402056106,11,20
2777,668,402056107,21,50
2778,668,402056108,51,100
2779,668,402056109,101,1000
2780,669,402056201,1,1
2781,669,402056202,2,2
2782,669,402056203,3,3
2783,669,402056204,4,5
2784,669,402056205,6,10
2785,669,402056206,11,20
2786,669,402056207,21,50
2787,669,402056208,51,100
2788,669,402056209,101,1000
2789,160,18631,1,1
2790,160,18632,2,2
2791,160,18633,3,3
2792,160,18634,4,10
2793,160,18635,11,20
2794,160,18636,21,50
2795,160,18637,51,200
2796,161,18601,1,1
2797,161,18602,2,2
2798,161,18603,3,3
2799,161,18604,4,10
2800,161,18605,11,20
2801,161,18606,21,100
2802,161,18607,101,1000
2803,162,18611,1,1
2804,162,18612,2,2
2805,162,18613,3,3
2806,162,18614,4,10
2807,162,18615,11,20
2808,162,18616,21,100
2809,162,18617,101,1000
2810,163,18621,1,1
2811,163,18622,2,2
2812,163,18623,3,3
2813,163,18624,4,10
2814,163,18625,11,20
2815,163,18626,21,100
2816,163,18627,101,1000
2817,164,18681,1,1
2818,164,18682,2,2
2819,164,18683,3,3
2820,164,18684,4,10
2821,164,18685,11,20
2822,164,18686,21,50
2823,164,18687,51,200
2824,165,18651,1,1
2825,165,18652,2,2
2826,165,18653,3,3
2827,165,18654,4,10
2828,165,18655,11,20
2829,165,18656,21,100
2830,165,18657,101,1000
2831,166,18661,1,1
2832,166,18662,2,2
2833,166,18663,3,3
2834,166,18664,4,10
2835,166,18665,11,20
2836,166,18666,21,100
2837,166,18667,101,1000
2838,167,18671,1,1
2839,167,18672,2,2
2840,167,18673,3,3
2841,167,18674,4,10
2842,167,18675,11,20
2843,167,18676,21,100
2844,167,18677,101,1000
2845,170,18731,1,1
2846,170,18732,2,2
2847,170,18733,3,3
2848,170,18734,4,10
2849,170,18735,11,20
2850,170,18736,21,50
2851,170,18737,51,200
2852,171,18701,1,1
2853,171,18702,2,2
2854,171,18703,3,3
2855,171,18704,4,10
2856,171,18705,11,20
2857,171,18706,21,100
2858,171,18707,101,1000
2859,172,18711,1,1
2860,172,18712,2,2
2861,172,18713,3,3
2862,172,18714,4,10
2863,172,18715,11,20
2864,172,18716,21,100
2865,172,18717,101,1000
2866,173,18721,1,1
2867,173,18722,2,2
2868,173,18723,3,3
2869,173,18724,4,10
2870,173,18725,11,20
2871,173,18726,21,100
2872,173,18727,101,1000
2873,174,18781,1,1
2874,174,18782,2,2
2875,174,18783,3,3
2876,174,18784,4,10
2877,174,18785,11,20
2878,174,18786,21,50
2879,174,18787,51,200
2880,175,18751,1,1
2881,175,18752,2,2
2882,175,18753,3,3
2883,175,18754,4,10
2884,175,18755,11,20
2885,175,18756,21,100
2886,175,18757,101,1000
2887,176,18761,1,1
2888,176,18762,2,2
2889,176,18763,3,3
2890,176,18764,4,10
2891,176,18765,11,20
2892,176,18766,21,100
2893,176,18767,101,1000
2894,177,18771,1,1
2895,177,18772,2,2
2896,177,18773,3,3
2897,177,18774,4,10
2898,177,18775,11,20
2899,177,18776,21,100
2900,177,18777,101,1000
105000001,10500,1211101,1,1
105000002,10500,1211102,2,2
105000003,10500,1211103,3,3
105000006,10500,1211104,4,10
105000011,10500,1211105,11,50
105000051,10500,1211106,51,100
105000101,10500,1211107,101,500
105000501,10500,1211108,501,1000
105001001,10500,1211109,1001,2000
105010001,10501,1211201,1,1
105010002,10501,1211202,2,2
105010003,10501,1211203,3,3
105010004,10501,1211204,4,10
105010011,10501,1211205,11,50
105010051,10501,1211206,51,100
105010101,10501,1211207,101,500
105010501,10501,1211208,501,1000
105011001,10501,1211209,1001,2000
105020001,10502,1211111,1,1
105020002,10502,1211112,2,2
105020003,10502,1211113,3,3
105020004,10502,1211114,4,10
105020011,10502,1211115,11,50
105020051,10502,1211116,51,100
105020101,10502,1211117,101,500
105020501,10502,1211118,501,1000
105021001,10502,1211119,1001,2000
105040001,10504,1211121,1,1
105040002,10504,1211122,2,2
105040003,10504,1211123,3,3
105040004,10504,1211124,4,10
105040011,10504,1211125,11,50
105040051,10504,1211126,51,100
105040101,10504,1211127,101,500
105040501,10504,1211128,501,1000
105041001,10504,1211129,1001,2000
105050001,10505,1211131,1,1
105050002,10505,1211132,2,2
105050003,10505,1211133,3,3
105050004,10505,1211134,4,5
105050006,10505,1211135,6,10
105050011,10505,1211136,11,50
105050051,10505,1211137,51,100
105050101,10505,1211138,101,500
105050501,10505,1211139,501,1000
105051001,10505,1211140,1001,2000
105110001,10511,1212201,1,1
105110002,10511,1212202,2,2
105110003,10511,1212203,3,3
105110004,10511,1212204,4,10
105110011,10511,1212205,11,50
105110051,10511,1212206,51,100
105110101,10511,1212207,101,500
105120001,10512,1212101,1,1
105120002,10512,1212102,2,2
105120003,10512,1212103,3,3
105120004,10512,1212104,4,5
105120006,10512,1212105,6,20
105120021,10512,1212106,21,50
105120051,10512,1212107,51,100
105120101,10512,1212108,101,500
105120501,10512,1212109,501,1000
105121001,10512,1212110,1001,2000
105210001,10521,1213201,1,1
105210002,10521,1213202,2,2
105210003,10521,1213203,3,3
105210004,10521,1213204,4,10
105210011,10521,1213205,11,50
105210051,10521,1213206,51,100
105210101,10521,1213207,101,500
105220001,10522,1213101,1,1
105220002,10522,1213102,2,2
105220003,10522,1213103,3,5
105220006,10522,1213104,6,10
105220011,10522,1213105,11,50
105220051,10522,1213106,51,100
105220101,10522,1213107,101,500
105220501,10522,1213108,501,1000
105221001,10522,1213109,1001,2000
105310001,10531,1214201,1,1
105310002,10531,1214202,2,2
105310003,10531,1214203,3,3
105310004,10531,1214204,4,10
105310011,10531,1214205,11,50
105310051,10531,1214206,51,100
105310101,10531,1214207,101,500
105320001,10532,1214101,1,1
105320002,10532,1214102,2,2
105320003,10532,1214103,3,5
105320006,10532,1214104,6,10
105320011,10532,1214105,11,50
105320051,10532,1214106,51,100
105320101,10532,1214107,101,500
105320501,10532,1214108,501,1000
105321001,10532,1214109,1001,2000
105410001,10541,1215201,1,1
105410002,10541,1215202,2,2
105410003,10541,1215203,3,3
105410004,10541,1215204,4,10
105410011,10541,1215205,11,50
105410051,10541,1215206,51,100
105410101,10541,1215207,101,500
105420001,10542,1215101,1,1
105420002,10542,1215102,2,2
105420003,10542,1215103,3,5
105420006,10542,1215104,6,10
105420011,10542,1215105,11,50
105420051,10542,1215106,51,100
105420101,10542,1215107,101,500
105420501,10542,1215108,501,1000
105421001,10542,1215109,1001,2000
105510001,10551,1216201,1,1
105510002,10551,1216202,2,2
105510003,10551,1216203,3,3
105510004,10551,1216204,4,10
105510011,10551,1216205,11,50
105510051,10551,1216206,51,100
105510101,10551,1216207,101,500
105520001,10552,1216101,1,1
105520002,10552,1216102,2,2
105520003,10552,1216103,3,5
105520006,10552,1216104,6,10
105520011,10552,1216105,11,50
105520051,10552,1216106,51,100
105520101,10552,1216107,101,500
105520501,10552,1216108,501,1000
105521001,10552,1216109,1001,2000
110000001,11000,1223101,1,1
110000002,11000,1223102,2,2
110000003,11000,1223103,3,3
110000004,11000,1223104,4,10
110000011,11000,1223105,11,50
110000051,11000,1223106,51,100
110000101,11000,1223107,101,500
110000501,11000,1223108,501,2000
110010001,11001,1223301,1,1
110010002,11001,1223302,2,2
110010003,11001,1223303,3,3
110010004,11001,1223304,4,10
110010011,11001,1223305,11,20
110010021,11001,1223306,21,50
110010051,11001,1223307,51,200
110020001,11002,1223111,1,1
110020002,11002,1223112,2,2
110020003,11002,1223113,3,3
110020004,11002,1223114,4,10
110020011,11002,1223115,11,50
110020051,11002,1223116,51,100
110020101,11002,1223117,101,500
110020501,11002,1223118,501,2000
110030001,11003,1223311,1,1
110030002,11003,1223312,2,2
110030003,11003,1223313,3,3
110030004,11003,1223314,4,10
110030011,11003,1223315,11,20
110030021,11003,1223316,21,50
110030051,11003,1223317,51,200
110040001,11004,1223121,1,1
110040002,11004,1223122,2,2
110040003,11004,1223123,3,3
110040004,11004,1223124,4,10
110040011,11004,1223125,11,50
110040051,11004,1223126,51,100
110040101,11004,1223127,101,500
110040501,11004,1223128,501,1000
110041001,11004,1223129,1001,2000
110050001,11005,1223321,1,1
110050002,11005,1223322,2,2
110050003,11005,1223323,3,3
110050004,11005,1223324,4,10
110050011,11005,1223325,11,20
110050021,11005,1223326,21,50
110050051,11005,1223327,51,200
111000001,11100,1223101,1,1
111000002,11100,1223102,2,2
111000003,11100,1223103,3,3
111000004,11100,1223104,4,10
111000011,11100,1223105,11,50
111000051,11100,1223106,51,100
111000101,11100,1223107,101,500
111000501,11100,1223108,501,2000
111010001,11101,1223301,1,1
111010002,11101,1223302,2,2
111010003,11101,1223303,3,3
111010004,11101,1223304,4,10
111010011,11101,1223305,11,20
111010021,11101,1223306,21,50
111010051,11101,1223307,51,200
111020001,11102,1233111,1,1
111020002,11102,1233112,2,2
111020003,11102,1233113,3,3
111020004,11102,1233114,4,10
111020011,11102,1233115,11,50
111020051,11102,1233116,51,100
111020101,11102,1233117,101,500
111020501,11102,1233118,501,2000
111030001,11103,1223311,1,1
111030002,11103,1223312,2,2
111030003,11103,1223313,3,3
111030004,11103,1223314,4,10
111030011,11103,1223315,11,20
111030021,11103,1223316,21,50
111030051,11103,1223317,51,200
111040001,11104,1233121,1,1
111040002,11104,1233122,2,2
111040003,11104,1233123,3,3
111040004,11104,1233124,4,10
111040011,11104,1233125,11,50
111040051,11104,1233126,51,100
111040101,11104,1233127,101,500
111040501,11104,1233128,501,1000
111041001,11104,1233129,1001,2000
111050001,11105,1223321,1,1
111050002,11105,1223322,2,2
111050003,11105,1223323,3,3
111050004,11105,1223324,4,10
111050011,11105,1223325,11,20
111050021,11105,1223326,21,50
111050051,11105,1223327,51,200
110060001,11006,1240001,1,1
110060002,11006,1240002,2,2
110060003,11006,1240003,3,3
110060004,11006,1240004,4,4
112000001,11200,1243101,1,1
112000002,11200,1243102,2,2
112000003,11200,1243103,3,3
112000004,11200,1243104,4,10
112000011,11200,1243105,11,50
112000051,11200,1243106,51,100
112000101,11200,1243107,101,500
112000501,11200,1243108,501,2000
112010001,11201,1223301,1,1
112010002,11201,1223302,2,2
112010003,11201,1223303,3,3
112010004,11201,1223304,4,10
112010011,11201,1223305,11,20
112010021,11201,1223306,21,50
112010051,11201,1223307,51,200
112020001,11202,1243111,1,1
112020002,11202,1243112,2,2
112020003,11202,1243113,3,3
112020004,11202,1243114,4,10
112020011,11202,1243115,11,50
112020051,11202,1243116,51,100
112020101,11202,1243117,101,500
112020501,11202,1243118,501,2000
112030001,11203,1223311,1,1
112030002,11203,1223312,2,2
112030003,11203,1223313,3,3
112030004,11203,1223314,4,10
112030011,11203,1223315,11,20
112030021,11203,1223316,21,50
112030051,11203,1223317,51,200
112040001,11204,1243121,1,1
112040002,11204,1243122,2,2
112040003,11204,1243123,3,3
112040004,11204,1243124,4,10
112040011,11204,1243125,11,50
112040051,11204,1243126,51,100
112040101,11204,1243127,101,500
112040501,11204,1243128,501,1000
112041001,11204,1243129,1001,2000
112050001,11205,1223321,1,1
112050002,11205,1223322,2,2
112050003,11205,1223323,3,3
112050004,11205,1223324,4,10
112050011,11205,1223325,11,20
112050021,11205,1223326,21,50
112050051,11205,1223327,51,200
31160,12000,1500001,1,1
31161,12000,1500002,2,2
31162,12000,1500003,3,3
31163,12000,1500004,4,10
31164,12000,1500005,11,20
31165,12000,1500006,21,100
31166,12000,1500007,101,500
31167,12010,1501001,1,1
31168,12010,1501002,2,2
31169,12010,1501003,3,3
31170,12010,1501004,4,10
31171,12010,1501005,11,20
31172,12010,1501006,21,100
31173,12010,1501007,101,500
31174,12020,1502001,1,1
31175,12020,1502002,2,2
31176,12020,1502003,3,3
31177,12020,1502004,4,10
31178,12020,1502005,11,20
31179,12020,1502006,21,100
31180,12020,1502007,101,500
31181,12030,1503001,1,1
31182,12030,1503002,2,2
31183,12030,1503003,3,3
31184,12030,1503004,4,10
31185,12030,1503005,11,20
31186,12030,1503006,21,100
31187,12030,1503007,101,500
31188,12040,1504001,1,1
31189,12040,1504002,2,2
31190,12040,1504003,3,3
31191,12040,1504004,4,10
31192,12040,1504005,11,20
31193,12040,1504006,21,100
31194,12040,1504007,101,500
31195,12001,1500101,1,1
31196,12001,1500102,2,2
31197,12001,1500103,3,3
31198,12001,1500104,4,4
31199,12011,1501101,1,1
31200,12011,1501102,2,2
31201,12011,1501103,3,3
31202,12011,1501104,4,4
31203,12021,1502101,1,1
31204,12021,1502102,2,2
31205,12021,1502103,3,3
31206,12021,1502104,4,4
31207,12031,1503101,1,1
31208,12031,1503102,2,2
31209,12031,1503103,3,3
31210,12031,1503104,4,4
31211,12041,1504101,1,1
31212,12041,1504102,2,2
31213,12041,1504103,3,3
31214,12041,1504104,4,4
31215,12002,1500201,1,1
31216,12002,1500202,2,2
31217,12002,1500203,3,3
31218,12002,1500204,4,4
31219,12012,1501201,1,1
31220,12012,1501202,2,2
31221,12012,1501203,3,3
31222,12012,1501204,4,4
31223,12022,1502201,1,1
31224,12022,1502202,2,2
31225,12022,1502203,3,3
31226,12022,1502204,4,4
31227,12032,1503201,1,1
31228,12032,1503202,2,2
31229,12032,1503203,3,3
31230,12032,1503204,4,4
31231,12042,1504201,1,1
31232,12042,1504202,2,2
31233,12042,1504203,3,3
31234,12042,1504204,4,4
31235,12003,1500301,1,1
31236,12003,1500302,2,2
31237,12003,1500303,3,3
31238,12003,1500304,4,4
31239,12013,1501301,1,1
31240,12013,1501302,2,2
31241,12013,1501303,3,3
31242,12013,1501304,4,4
31243,12023,1502301,1,1
31244,12023,1502302,2,2
31245,12023,1502303,3,3
31246,12023,1502304,4,4
31247,12033,1503301,1,1
31248,12033,1503302,2,2
31249,12033,1503303,3,3
31250,12033,1503304,4,4
31251,12043,1504301,1,1
31252,12043,1504302,2,2
31253,12043,1504303,3,3
31254,12043,1504304,4,4
130010001,13001,926101,1,1
130010002,13001,926102,2,2
130010003,13001,926103,3,3
130010004,13001,926104,4,4
130020001,13002,926201,1,1
130020002,13002,926202,2,2
130020003,13002,926203,3,3
130020004,13002,926204,4,10
130020011,13002,926205,11,50
130020051,13002,926206,51,200
3203,3200,1351,1,1
3204,3200,1352,2,2
3205,3200,1353,3,3
3206,3200,1354,4,100
3207,3204,1355,1,1
3208,3204,1356,2,2
3209,3204,1357,3,3
3210,3204,1358,4,100
320701,3207,21101,1,1
320702,3207,21102,2,2
320703,3207,21103,3,3
320704,3207,21104,4,5
320705,3207,21105,6,10
320706,3207,21106,11,20
320707,3207,21107,21,50
320708,3207,21108,51,100
320709,3207,21109,101,1000
320801,3208,21201,1,1
320802,3208,21202,2,2
320803,3208,21203,3,3
320804,3208,21204,4,5
320805,3208,21205,6,10
320806,3208,21206,11,20
320807,3208,21207,21,50
320808,3208,21208,51,100
320809,3208,21209,101,1000
3229,3209,406211701,1,1
3230,3209,406211702,2,2
3231,3209,406211703,3,3
3232,3209,406211704,4,5
3233,3209,406211705,6,10
3234,3209,406211706,11,20
3235,3209,406211707,21,50
3236,3209,406211708,51,100
3237,3209,406211709,101,1000
3238,3210,406211601,1,1
3239,3210,406211602,2,2
3240,3210,406211603,3,3
3241,3210,406211604,4,5
3242,3210,406211605,6,10
3243,3210,406211606,11,20
3244,3210,406211607,21,50
3245,3210,406211608,51,100
3246,3210,406211609,101,1000
3247,3211,406211801,1,1
3248,3211,406211802,2,2
3249,3211,406211803,3,3
3250,3211,406211804,4,5
3251,3211,406211805,6,10
3252,3211,406211806,11,20
3253,3211,406211807,21,50
3254,3211,406211808,51,100
3255,3211,406211809,101,1000
3256,3212,406248001,1,1
3257,3212,406248002,2,2
3258,3212,406248003,3,3
3259,3212,406248004,4,4
3260,3212,406248005,5,5
3261,3212,406248006,6,6
3262,3212,406248007,7,7
3263,3212,406248008,8,8
3264,3212,406248009,9,9
3265,3212,406248010,10,10
3266,3212,406248011,11,20
3267,3212,406248012,21,40
3268,3212,406248013,41,100
3269,3212,406248014,101,500
3270,3212,406248015,501,2000
3271,3213,407045101,1,1
3272,3213,407045102,2,2
3273,3213,407045103,3,3
3274,3213,407045104,4,4
3275,3213,407045105,5,5
3276,3213,407045106,6,6
3277,3213,407045107,7,7
3278,3213,407045108,8,8
3279,3213,407045109,9,9
3280,3213,407045110,10,10
3281,3213,407045111,11,20
3282,3213,407045112,21,40
3283,3213,407045113,41,100
3284,3213,407045114,101,500
3285,3213,407045115,501,2000
3286,3214,407226001,1,1
3287,3214,407226002,2,2
