id,active_num,defeat_mail,defeat_reward,defeat_rewards,defeat_stage,defeat_stages,display_result,match_circle,match_stage,power_num,preview_reward,score,win_mail,win_reward,win_rewards,win_stage,win_stages
1111,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
1211,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
2111,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
2211,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
3111,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
3211,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
10001,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
10011,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
10021,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
10031,5,105401|105401|105401|105402|105402|105402|105403|105403|105403,[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1220111|1220112|1220113|1220114|1220115|1220116|1220117|1220118|1220119],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1],24,2,8,6,1220301,96000,105301|105301|105301|105302|105302|105302|105303|105303|105303,[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1220101|1220102|1220103|1220104|1220105|1220106|1220107|1220108|1220109],[1|1|1|2|5|10|30|50|-1],[1|1|1|2|5|10|30|50|-1]
