id,alterFX,alterFX_Location,angle,scale,scaleVector
60143001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60143101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60143201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60144001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[100|100],"(1.0, 1.0, 1.0)"
60144101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[500|500],"(5.0, 5.0, 1.0)"
60144201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60144301,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
60145101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60145102,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60145202,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[400|400],"(4.0, 4.0, 1.0)"
60145301,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1500|350],"(15.0, 3.5, 1.0)"
60197101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60197201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60197301,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[900|250],"(9.0, 2.5, 1.0)"
60209101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[700|700],"(7.0, 7.0, 1.0)"
60209201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60209301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[800|800],"(8.0, 8.0, 1.0)"
60210101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[350|350],"(3.5, 3.5, 1.0)"
60210201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60212101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[700|700],"(7.0, 7.0, 1.0)"
60212201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|400],"(8.0, 4.0, 1.0)"
60213201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60214101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60216101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1000|1000],"(10.0, 10.0, 1.0)"
60216201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[750|750],"(7.5, 7.5, 1.0)"
60224101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[450|450],"(4.5, 4.5, 1.0)"
60224201,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60226101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[450|450],"(4.5, 4.5, 1.0)"
60226201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[700|250],"(7.0, 2.5, 1.0)"
60243101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[500|150],"(5.0, 1.5, 1.0)"
60243201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60243401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60244101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[500|500],"(5.0, 5.0, 1.0)"
60244201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60244301,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60245101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60245201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60245301,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[600|250],"(6.0, 2.5, 1.0)"
60245401,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
60247201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60248101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1500|250],"(15.0, 2.5, 1.0)"
60248201,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
60248301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1000|1000],"(10.0, 10.0, 1.0)"
60260301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1200|1200],"(12.0, 12.0, 1.0)"
60266101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[550|550],"(5.5, 5.5, 1.0)"
60266201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[900|900],"(9.0, 9.0, 1.0)"
60266301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1000|1000],"(10.0, 10.0, 1.0)"
60266401,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1500|300],"(15.0, 3.0, 1.0)"
60266501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60284101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60297003,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60297101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60297201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60297401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60304201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[440|440],"(4.4, 4.4, 1.0)"
60304301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[550|550],"(5.5, 5.5, 1.0)"
60304501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60305101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[250|250],"(2.5, 2.5, 1.0)"
60305201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[450|450],"(4.5, 4.5, 1.0)"
60305301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1000|1000],"(10.0, 10.0, 1.0)"
60306101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[300|300],"(3.0, 3.0, 1.0)"
60306201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[450|450],"(4.5, 4.5, 1.0)"
60306301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60306401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60306501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[650|650],"(6.5, 6.5, 1.0)"
60312001,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[320|320],"(3.2, 3.2, 1.0)"
60312101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,-1,[600|600],"(6.0, 6.0, 1.0)"
60312201,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[240|240],"(2.4, 2.4, 1.0)"
60312202,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60312401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[550|550],"(5.5, 5.5, 1.0)"
60312402,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1000|1000],"(10.0, 10.0, 1.0)"
60312501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[200|200],"(2.0, 2.0, 1.0)"
60319101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60319102,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60319201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[420|420],"(4.2, 4.2, 1.0)"
60319406,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[700|200],"(7.0, 2.0, 1.0)"
60336201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[250|250],"(2.5, 2.5, 1.0)"
60336202,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60364101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60364201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60364401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60364501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[1000|1000],"(10.0, 10.0, 1.0)"
60365101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60366101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[800|800],"(8.0, 8.0, 1.0)"
60366201,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[500|500],"(5.0, 5.0, 1.0)"
60366401,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|350],"(8.0, 3.5, 1.0)"
60367201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[900|900],"(9.0, 9.0, 1.0)"
60368101,Effect/Battle/CommonEffect/Fx_YuJing_spread_basic,2,0,[100|100],"(1.0, 1.0, 1.0)"
60368201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60368301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60368601,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|350],"(8.0, 3.5, 1.0)"
60369201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[700|300],"(7.0, 3.0, 1.0)"
60369301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60369401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60369501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60370101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60370301,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60371301,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[350|350],"(3.5, 3.5, 1.0)"
60371401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60371501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[800|800],"(8.0, 8.0, 1.0)"
60373101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60373401,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[720|300],"(7.2, 3.0, 1.0)"
60374101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[300|400],"(3.0, 4.0, 1.0)"
60374201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60374401,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[720|300],"(7.2, 3.0, 1.0)"
60375101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60375201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[300|400],"(3.0, 4.0, 1.0)"
60375301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60376301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[500|500],"(5.0, 5.0, 1.0)"
60376401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60377101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|250],"(8.0, 2.5, 1.0)"
60377401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60377501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[700|700],"(7.0, 7.0, 1.0)"
60409101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[600|600],"(6.0, 6.0, 1.0)"
60409201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60409401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60410301,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1000|250],"(10.0, 2.5, 1.0)"
60411101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[400|100],"(4.0, 1.0, 1.0)"
60412101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|300],"(12.0, 3.0, 1.0)"
60412201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60412301,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_60_basic,1,0,[1400|1400],"(14.0, 14.0, 1.0)"
60412401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60412501,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[1000|1000],"(10.0, 10.0, 1.0)"
60415001,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_180_basic,1,0,[500|500],"(5.0, 5.0, 1.0)"
60415101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[700|700],"(7.0, 7.0, 1.0)"
60415201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[800|300],"(8.0, 3.0, 1.0)"
60418201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|300],"(12.0, 3.0, 1.0)"
60419101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[720|250],"(7.2, 2.5, 1.0)"
60419201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60419301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60419401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1000|1000],"(10.0, 10.0, 1.0)"
60422101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|300],"(12.0, 3.0, 1.0)"
60422201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1200|1200],"(12.0, 12.0, 1.0)"
60422301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[1200|1200],"(12.0, 12.0, 1.0)"
60423101,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1000|200],"(10.0, 2.0, 1.0)"
60423201,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[600|600],"(6.0, 6.0, 1.0)"
60421301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,2,0,[900|900],"(9.0, 9.0, 1.0)"
60425101,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60425201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|200],"(12.0, 2.0, 1.0)"
60427101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_120_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
60427201,Effect/Battle/CommonEffect/Fx_YuJing_JuXing_basic,1,0,[1200|300],"(12.0, 3.0, 1.0)"
60427301,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[500|500],"(5.0, 5.0, 1.0)"
60427401,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[400|400],"(4.0, 4.0, 1.0)"
60427501,Effect/Battle/CommonEffect/Fx_YuJing_Yuan_basic,0,0,[300|300],"(3.0, 3.0, 1.0)"
60428101,Effect/Battle/CommonEffect/Fx_YuJing_ShanXing_180_basic,1,0,[600|600],"(6.0, 6.0, 1.0)"
