id,AED,AUD,BRL,CAD,CHF,CNY,EUR,GBP,HKD,IDR,INR,JPY,KRW,MXN,MYR,PHP,PLN,price,RUB,SAR,SEK,SGD,THB,TWD,USD,VND,ZAR
207,184.99,79.99,249.9,69.99,50,328,49.99,45.99,388,775000,4100,7000,66000,899,239.9,2750,199.99,328,3990,199.99,549,68.98,1800,1590,49.99,1199000,999.99
208,369.99,149.99,499.9,139.99,100,648,99.99,89.99,788,1549000,8200,14500,132000,1799,469.9,5550,399.99,648,7990,399.99,1095,139.98,3600,3190,99.99,2399000,1999.99
301,7.49,2.99,9.9,2.79,2,12,1.99,1.79,15,31000,169,290,2600,39,9.9,99,7.99,12,199,7.99,20,2.98,69,60,1.99,49000,39.99
302,10.99,4.99,14.9,3.99,3,18,2.99,2.49,22,46000,249,450,4000,55,13.9,169,11.99,18,249,11.99,30,3.98,99,90,2.99,73000,59.99
303,21.99,8.99,29.9,7.99,6,40,5.99,5.49,48,93000,499,890,7900,109,29.9,349,23.99,40,499,22.99,60,7.98,209,190,5.99,149000,119.99
304,91.99,37.99,124.9,33.99,25,168,24.99,22.49,198,399000,2199,3600,33000,459,119.9,1490,99.99,168,1890,94.99,259,34.98,899,790,24.99,599000,469.99
401,3.49,1.49,4.9,1.39,1,6,0.99,0.89,8,15000,89,150,1300,19,4.9,49,3.99,6,99,3.99,10,1.48,35,30,0.99,25000,19.99
402,7.49,2.99,9.9,2.79,2,12,1.99,1.79,15,31000,169,290,2600,39,9.9,99,7.99,12,199,7.99,20,2.98,69,60,1.99,49000,39.99
403,10.99,4.99,14.9,3.99,3,18,2.99,2.49,22,46000,249,450,4000,55,13.9,169,11.99,18,249,11.99,30,3.98,99,90,2.99,73000,59.99
404,17.99,7.99,24.9,6.99,5,30,4.99,4.49,38,77000,399,700,6500,89,23.9,279,19.99,30,399,18.99,50,6.98,179,160,4.99,119000,95.99
405,21.99,8.99,29.9,7.99,6,40,5.99,5.49,48,93000,499,890,7900,109,29.9,349,23.99,40,499,22.99,60,7.98,209,190,5.99,149000,119.99
406,36.99,14.99,49.9,13.99,10,68,9.99,8.99,78,155000,829,1450,13000,189,44.9,549,39.99,68,799,37.99,99,14.98,349,310,9.99,229000,189.99
407,54.99,22.99,79.9,20.99,15,98,14.99,13.99,118,230000,1299,2200,20000,279,69.9,799,59.99,98,1190,59.99,159,21.98,549,470,14.99,329000,299.99
408,74.99,30.99,99.9,27.99,20,128,19.99,17.99,158,310000,1699,2900,26000,369,94.9,1090,79.99,128,1590,74.99,219,28.98,729,620,19.99,449000,379.99
409,114.99,47.99,149.9,39.99,30,198,29.99,26.99,238,465000,2499,4200,39000,549,144.9,1590,119.99,198,2390,119.99,319,43.98,1090,990,29.99,699000,599.99
410,184.99,79.99,249.9,69.99,50,328,49.99,45.99,388,775000,4100,7000,66000,899,239.9,2750,199.99,328,3990,199.99,549,68.98,1800,1590,49.99,1199000,999.99
411,369.99,149.99,499.9,139.99,100,648,99.99,89.99,788,1549000,8200,14500,132000,1799,469.9,5550,399.99,648,7990,399.99,1095,139.98,3600,3190,99.99,2399000,1999.99
412,91.99,37.99,124.9,33.99,25,168,24.99,22.49,198,399000,2199,3600,33000,459,119.9,1490,99.99,168,1890,94.99,259,34.98,899,790,24.99,599000,469.99
502,17.99,7.99,24.9,6.99,5,30,4.99,4.49,38,77000,399,700,6500,89,23.9,279,19.99,30,399,18.99,50,6.98,179,160,4.99,119000,95.99
601,1849.99,749.99,2499.9,699.99,500,3240,499.99,449.99,3940,7745000,41000,72500,660000,8995,2349.9,27750,1999.99,3240,39950,1999.99,5475,699.98,18000,15950,499.99,11995000,9999.99
602,3699.99,1499.99,4999,1399.99,1000,6480,999.99,899.99,7880,15490000,82000,145000,1320000,17990,4699,55500,3999.99,6480,79900,3999.99,10950,1399.98,36000,31900,999.99,23990000,19999.99
603,25.99,10.99,34.9,9.99,7,46,6.99,6.49,58,108000,599,1040,9200,128,34.9,399,27.99,46,599,26.99,70,9.98,244,220,6.99,174000,139.99
604,221.99,89.99,299.9,83.99,60,408,59.99,53.99,468,930000,4974,8700,78000,1134,269.9,3294,239.99,408,4794,227.99,594,59.98,2094,1860,59.99,1374000,1139.99
605,258.99,104.99,349.9,97.99,70,476,69.99,62.99,546,1085000,5803,10150,91000,1323,314.9,3843,279.99,476,5593,265.99,693,104.98,2443,2170,69.99,1603000,1329.99
606,295.99,119.99,399.9,111.99,80,544,79.99,71.99,624,1240000,6632,11600,104000,1512,359.9,4392,319.99,544,6392,303.99,792,119.98,2792,2480,79.99,1832000,1519.99
607,332.99,134.99,449.9,125.99,90,612,89.99,80.99,702,1395000,7461,13050,117000,1701,404.9,4941,359.99,612,7191,341.99,891,134.98,3141,2790,89.99,2061000,1709.99
