id,hero_team,pos_id,unlock_desc,unlock_item,unlock_param,unlock_param_2,unlock_type,unlock_type_2,unlockTypeArr
45,5,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
46,5,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
47,5,5,hero_team_pos_unlock_building,-1,117007,,1,-1,[1|-1|5]
48,5,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
71,7,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
72,7,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
73,7,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
74,7,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
75,7,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
76,7,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
81,8,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
82,8,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
83,8,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
84,8,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
85,8,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
86,8,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
91,9,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
92,9,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
93,9,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
94,9,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
95,9,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
96,9,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
1101,11,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1102,11,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1103,11,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1104,11,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
1105,11,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
1106,11,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
8101,14,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8102,14,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8103,14,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8104,14,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
8105,14,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
8106,14,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
8201,15,1,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
8202,15,2,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
8203,15,3,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
8204,15,4,hero_team_pos_unlock_building,-1,117014,,1,-1,[1|-1|5]
8205,15,5,hero_team_pos_unlock_building,-1,117016,,1,-1,[1|-1|5]
8206,15,6,hero_team_pos_unlock_building,-1,117018,,1,-1,[1|-1|5]
8301,16,1,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
8302,16,2,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
8303,16,3,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
8304,16,4,hero_team_pos_unlock_building,-1,117027,,1,-1,[1|-1|5]
8305,16,5,hero_team_pos_unlock_building,-1,117029,,1,-1,[1|-1|5]
8306,16,6,hero_team_pos_unlock_building,-1,117031,,1,-1,[1|-1|5]
8401,17,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8402,17,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8403,17,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8404,17,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
8405,17,5,hero_team_pos_unlock_building,-1,117007,,1,-1,[1|-1|5]
8406,17,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
8501,18,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8502,18,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8503,18,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8504,18,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
8505,18,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
8506,18,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
8601,40,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8602,40,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8603,40,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8604,40,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
8605,40,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
8606,40,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
8701,54,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8702,54,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8703,54,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
8704,54,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
8705,54,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
8706,54,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
1901,19,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1902,19,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1903,19,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
1904,19,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
1905,19,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
1906,19,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
2001,20,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2002,20,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2003,20,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2004,20,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
2005,20,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
2006,20,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
2101,21,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2102,21,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2103,21,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2104,21,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
2105,21,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
2106,21,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
2201,22,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2202,22,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2203,22,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2204,22,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
2205,22,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
2206,22,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
2207,23,1,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
2208,23,2,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
2209,23,3,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
2210,23,4,hero_team_pos_unlock_building,-1,117014,,1,-1,[1|-1|5]
2211,23,5,hero_team_pos_unlock_building,-1,117016,,1,-1,[1|-1|5]
2212,23,6,hero_team_pos_unlock_building,-1,117018,,1,-1,[1|-1|5]
2213,24,1,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
2214,24,2,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
2215,24,3,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
2216,24,4,hero_team_pos_unlock_building,-1,117027,,1,-1,[1|-1|5]
2217,24,5,hero_team_pos_unlock_building,-1,117029,,1,-1,[1|-1|5]
2218,24,6,hero_team_pos_unlock_building,-1,117031,,1,-1,[1|-1|5]
2219,25,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2220,25,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2221,25,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2222,25,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
2223,25,5,hero_team_pos_unlock_building,-1,117007,,1,-1,[1|-1|5]
2224,25,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
2225,26,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2226,26,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2227,26,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2228,26,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2229,26,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2230,26,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2901,29,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2902,29,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2903,29,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2904,29,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
2905,29,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
2906,29,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3001,30,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3002,30,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3003,30,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3004,30,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3005,30,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3006,30,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3101,31,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3102,31,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3103,31,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3104,31,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3105,31,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3106,31,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3201,32,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3202,32,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3203,32,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3204,32,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3205,32,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3206,32,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3301,33,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3302,33,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3303,33,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3304,33,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3305,33,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3306,33,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3401,34,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3402,34,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3403,34,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3404,34,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3405,34,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3406,34,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3501,35,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3502,35,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3503,35,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3504,35,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3505,35,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3506,35,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3601,36,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3602,36,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3603,36,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3604,36,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3605,36,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3606,36,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3607,37,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3608,37,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3609,37,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3610,37,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3611,37,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3612,37,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3613,38,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3614,38,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3615,38,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3616,38,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3617,38,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3618,38,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3619,39,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3620,39,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3621,39,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3622,39,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3623,39,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3624,39,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3625,41,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3626,41,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3627,41,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3628,41,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3629,41,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3630,41,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3631,42,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3632,42,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3633,42,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3634,42,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3635,42,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3636,42,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3637,43,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3638,43,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3639,43,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3640,43,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3641,43,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3642,43,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3643,44,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3644,44,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3645,44,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3646,44,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3647,44,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3648,44,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3649,45,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3650,45,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3651,45,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3652,45,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3653,45,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3654,45,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3655,46,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3656,46,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3657,46,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3658,46,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3659,46,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3660,46,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3661,47,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3662,47,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3663,47,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3664,47,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3665,47,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3666,47,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3667,48,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3668,48,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3669,48,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3670,48,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3671,48,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3672,48,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3673,49,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3674,49,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3675,49,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3676,49,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
3677,49,5,hero_team_pos_unlock_building,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
3678,49,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
3679,50,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3680,50,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3681,50,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3682,50,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3683,50,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3684,50,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3685,51,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3686,51,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3687,51,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3688,51,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3689,51,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3690,51,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3691,52,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3692,52,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3693,52,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3694,52,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3695,52,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3696,52,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3697,53,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3698,53,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3699,53,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3700,53,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3701,53,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3702,53,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3703,56,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3704,56,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3705,56,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3706,56,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3707,56,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3708,56,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3709,57,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3710,57,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3711,57,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3712,57,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3713,57,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3714,57,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3715,58,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3716,58,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3717,58,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3718,58,4,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3719,58,5,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3720,58,6,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
