id,att_pet,attr_pets,attr_role,attr_roles,discription,exp,fightforce,index,need_break,need_level,pet_id
303015,,[],,[],,20,-1,15,15,-1,830003
303016,,[],,[],,20,-1,16,16,-1,830003
303017,,[],,[],,20,-1,17,17,-1,830003
401001,,[],,[],,20,-1,1,5,-1,840001
401002,,[],,[],,20,-1,2,6,-1,840001
401003,,[],,[],,20,-1,3,7,-1,840001
401004,,[],,[],,20,-1,4,8,-1,840001
401005,,[],,[],,20,-1,5,9,-1,840001
401006,,[],,[],,20,-1,6,10,-1,840001
401007,,[],,[],,20,-1,7,11,-1,840001
401008,,[],,[],,20,-1,8,12,-1,840001
401009,,[],,[],,20,-1,9,13,-1,840001
401010,,[],,[],,20,-1,10,14,-1,840001
401011,,[],,[],,20,-1,11,15,-1,840001
401012,,[],,[],,20,-1,12,16,-1,840001
401013,,[],,[],,20,-1,13,17,-1,840001
401014,,[],,[],,30,-1,14,18,-1,840001
401015,,[],,[],,30,-1,15,19,-1,840001
401016,,[],,[],,30,-1,16,20,-1,840001
401017,,[],,[],,30,-1,17,21,-1,840001
401018,,[],,[],,30,-1,18,22,-1,840001
401019,,[],,[],,30,-1,19,23,-1,840001
402001,,[],,[],,20,-1,1,5,-1,840002
402002,,[],,[],,20,-1,2,6,-1,840002
402003,,[],,[],,20,-1,3,7,-1,840002
402004,,[],,[],,20,-1,4,8,-1,840002
402005,,[],,[],,20,-1,5,9,-1,840002
402006,,[],,[],,20,-1,6,10,-1,840002
402007,,[],,[],,20,-1,7,11,-1,840002
402008,,[],,[],,20,-1,8,12,-1,840002
402009,,[],,[],,20,-1,9,13,-1,840002
402010,,[],,[],,20,-1,10,14,-1,840002
402011,,[],,[],,20,-1,11,15,-1,840002
402012,,[],,[],,20,-1,12,16,-1,840002
402013,,[],,[],,20,-1,13,17,-1,840002
402014,,[],,[],,30,-1,14,18,-1,840002
402015,,[],,[],,30,-1,15,19,-1,840002
402016,,[],,[],,30,-1,16,20,-1,840002
402017,,[],,[],,30,-1,17,21,-1,840002
402018,,[],,[],,30,-1,18,22,-1,840002
402019,,[],,[],,30,-1,19,23,-1,840002
403001,,[],,[],,20,-1,1,5,-1,840003
403002,,[],,[],,20,-1,2,6,-1,840003
403003,,[],,[],,20,-1,3,7,-1,840003
403004,,[],,[],,20,-1,4,8,-1,840003
403005,,[],,[],,20,-1,5,9,-1,840003
403006,,[],,[],,20,-1,6,10,-1,840003
403007,,[],,[],,20,-1,7,11,-1,840003
403008,,[],,[],,20,-1,8,12,-1,840003
403009,,[],,[],,20,-1,9,13,-1,840003
403010,,[],,[],,20,-1,10,14,-1,840003
403011,,[],,[],,20,-1,11,15,-1,840003
403012,,[],,[],,20,-1,12,16,-1,840003
403013,,[],,[],,20,-1,13,17,-1,840003
403014,,[],,[],,30,-1,14,18,-1,840003
403015,,[],,[],,30,-1,15,19,-1,840003
403016,,[],,[],,30,-1,16,20,-1,840003
403017,,[],,[],,30,-1,17,21,-1,840003
403018,,[],,[],,30,-1,18,22,-1,840003
403019,,[],,[],,30,-1,19,23,-1,840003
404001,,[],,[],,20,-1,1,5,-1,840004
404002,,[],,[],,20,-1,2,6,-1,840004
404003,,[],,[],,20,-1,3,7,-1,840004
404004,,[],,[],,20,-1,4,8,-1,840004
404005,,[],,[],,20,-1,5,9,-1,840004
404006,,[],,[],,20,-1,6,10,-1,840004
404007,,[],,[],,20,-1,7,11,-1,840004
404008,,[],,[],,20,-1,8,12,-1,840004
404009,,[],,[],,20,-1,9,13,-1,840004
404010,,[],,[],,20,-1,10,14,-1,840004
404011,,[],,[],,20,-1,11,15,-1,840004
404012,,[],,[],,20,-1,12,16,-1,840004
404013,,[],,[],,20,-1,13,17,-1,840004
404014,,[],,[],,30,-1,14,18,-1,840004
404015,,[],,[],,30,-1,15,19,-1,840004
404016,,[],,[],,30,-1,16,20,-1,840004
404017,,[],,[],,30,-1,17,21,-1,840004
404018,,[],,[],,30,-1,18,22,-1,840004
404019,,[],,[],,30,-1,19,23,-1,840004
405001,,[],,[],,20,-1,1,5,-1,840005
405002,,[],,[],,20,-1,2,6,-1,840005
405003,,[],,[],,20,-1,3,7,-1,840005
405004,,[],,[],,20,-1,4,8,-1,840005
405005,,[],,[],,20,-1,5,9,-1,840005
405006,,[],,[],,20,-1,6,10,-1,840005
405007,,[],,[],,20,-1,7,11,-1,840005
405008,,[],,[],,20,-1,8,12,-1,840005
405009,,[],,[],,20,-1,9,13,-1,840005
405010,,[],,[],,20,-1,10,14,-1,840005
405011,,[],,[],,20,-1,11,15,-1,840005
405012,,[],,[],,20,-1,12,16,-1,840005
405013,,[],,[],,20,-1,13,17,-1,840005
405014,,[],,[],,30,-1,14,18,-1,840005
405015,,[],,[],,30,-1,15,19,-1,840005
405016,,[],,[],,30,-1,16,20,-1,840005
405017,,[],,[],,30,-1,17,21,-1,840005
405018,,[],,[],,30,-1,18,22,-1,840005
405019,,[],,[],,30,-1,19,23,-1,840005
406001,,[],,[],,20,-1,1,5,-1,840006
406002,,[],,[],,20,-1,2,6,-1,840006
406003,,[],,[],,20,-1,3,7,-1,840006
406004,,[],,[],,20,-1,4,8,-1,840006
406005,,[],,[],,20,-1,5,9,-1,840006
406006,,[],,[],,20,-1,6,10,-1,840006
406007,,[],,[],,20,-1,7,11,-1,840006
406008,,[],,[],,20,-1,8,12,-1,840006
406009,,[],,[],,20,-1,9,13,-1,840006
406010,,[],,[],,20,-1,10,14,-1,840006
406011,,[],,[],,20,-1,11,15,-1,840006
406012,,[],,[],,20,-1,12,16,-1,840006
406013,,[],,[],,20,-1,13,17,-1,840006
406014,,[],,[],,30,-1,14,18,-1,840006
406015,,[],,[],,30,-1,15,19,-1,840006
406016,,[],,[],,30,-1,16,20,-1,840006
406017,,[],,[],,30,-1,17,21,-1,840006
406018,,[],,[],,30,-1,18,22,-1,840006
406019,,[],,[],,30,-1,19,23,-1,840006
407001,,[],,[],,20,-1,1,5,-1,840007
407002,,[],,[],,20,-1,2,6,-1,840007
407003,,[],,[],,20,-1,3,7,-1,840007
407004,,[],,[],,20,-1,4,8,-1,840007
407005,,[],,[],,20,-1,5,9,-1,840007
407006,,[],,[],,20,-1,6,10,-1,840007
407007,,[],,[],,20,-1,7,11,-1,840007
407008,,[],,[],,20,-1,8,12,-1,840007
407009,,[],,[],,20,-1,9,13,-1,840007
407010,,[],,[],,20,-1,10,14,-1,840007
407011,,[],,[],,20,-1,11,15,-1,840007
407012,,[],,[],,20,-1,12,16,-1,840007
407013,,[],,[],,20,-1,13,17,-1,840007
407014,,[],,[],,30,-1,14,18,-1,840007
407015,,[],,[],,30,-1,15,19,-1,840007
407016,,[],,[],,30,-1,16,20,-1,840007
407017,,[],,[],,30,-1,17,21,-1,840007
407018,,[],,[],,30,-1,18,22,-1,840007
407019,,[],,[],,30,-1,19,23,-1,840007
408001,,[],,[],,20,-1,1,5,-1,840008
408002,,[],,[],,20,-1,2,6,-1,840008
408003,,[],,[],,20,-1,3,7,-1,840008
408004,,[],,[],,20,-1,4,8,-1,840008
408005,,[],,[],,20,-1,5,9,-1,840008
408006,,[],,[],,20,-1,6,10,-1,840008
408007,,[],,[],,20,-1,7,11,-1,840008
408008,,[],,[],,20,-1,8,12,-1,840008
408009,,[],,[],,20,-1,9,13,-1,840008
408010,,[],,[],,20,-1,10,14,-1,840008
408011,,[],,[],,20,-1,11,15,-1,840008
408012,,[],,[],,20,-1,12,16,-1,840008
408013,,[],,[],,20,-1,13,17,-1,840008
408014,,[],,[],,30,-1,14,18,-1,840008
408015,,[],,[],,30,-1,15,19,-1,840008
408016,,[],,[],,30,-1,16,20,-1,840008
408017,,[],,[],,30,-1,17,21,-1,840008
408018,,[],,[],,30,-1,18,22,-1,840008
408019,,[],,[],,30,-1,19,23,-1,840008
409001,,[],,[],,20,-1,1,5,-1,840009
409002,,[],,[],,20,-1,2,6,-1,840009
409003,,[],,[],,20,-1,3,7,-1,840009
409004,,[],,[],,20,-1,4,8,-1,840009
409005,,[],,[],,20,-1,5,9,-1,840009
409006,,[],,[],,20,-1,6,10,-1,840009
409007,,[],,[],,20,-1,7,11,-1,840009
409008,,[],,[],,20,-1,8,12,-1,840009
409009,,[],,[],,20,-1,9,13,-1,840009
409010,,[],,[],,20,-1,10,14,-1,840009
409011,,[],,[],,20,-1,11,15,-1,840009
409012,,[],,[],,20,-1,12,16,-1,840009
409013,,[],,[],,20,-1,13,17,-1,840009
409014,,[],,[],,30,-1,14,18,-1,840009
409015,,[],,[],,30,-1,15,19,-1,840009
409016,,[],,[],,30,-1,16,20,-1,840009
409017,,[],,[],,30,-1,17,21,-1,840009
409018,,[],,[],,30,-1,18,22,-1,840009
409019,,[],,[],,30,-1,19,23,-1,840009
410001,,[],,[],,20,-1,1,5,-1,840010
410002,,[],,[],,20,-1,2,6,-1,840010
410003,,[],,[],,20,-1,3,7,-1,840010
410004,,[],,[],,20,-1,4,8,-1,840010
410005,,[],,[],,20,-1,5,9,-1,840010
410006,,[],,[],,20,-1,6,10,-1,840010
410007,,[],,[],,20,-1,7,11,-1,840010
410008,,[],,[],,20,-1,8,12,-1,840010
410009,,[],,[],,20,-1,9,13,-1,840010
410010,,[],,[],,20,-1,10,14,-1,840010
410011,,[],,[],,20,-1,11,15,-1,840010
410012,,[],,[],,20,-1,12,16,-1,840010
410013,,[],,[],,20,-1,13,17,-1,840010
410014,,[],,[],,30,-1,14,18,-1,840010
410015,,[],,[],,30,-1,15,19,-1,840010
410016,,[],,[],,30,-1,16,20,-1,840010
410017,,[],,[],,30,-1,17,21,-1,840010
410018,,[],,[],,30,-1,18,22,-1,840010
410019,,[],,[],,30,-1,19,23,-1,840010
411001,,[],,[],,20,-1,1,5,-1,840011
411002,,[],,[],,20,-1,2,6,-1,840011
411003,,[],,[],,20,-1,3,7,-1,840011
411004,,[],,[],,20,-1,4,8,-1,840011
411005,,[],,[],,20,-1,5,9,-1,840011
411006,,[],,[],,20,-1,6,10,-1,840011
411007,,[],,[],,20,-1,7,11,-1,840011
411008,,[],,[],,20,-1,8,12,-1,840011
411009,,[],,[],,20,-1,9,13,-1,840011
411010,,[],,[],,20,-1,10,14,-1,840011
411011,,[],,[],,20,-1,11,15,-1,840011
411012,,[],,[],,20,-1,12,16,-1,840011
411013,,[],,[],,20,-1,13,17,-1,840011
411014,,[],,[],,30,-1,14,18,-1,840011
411015,,[],,[],,30,-1,15,19,-1,840011
411016,,[],,[],,30,-1,16,20,-1,840011
411017,,[],,[],,30,-1,17,21,-1,840011
411018,,[],,[],,30,-1,18,22,-1,840011
411019,,[],,[],,30,-1,19,23,-1,840011
412001,,[],,[],,20,-1,1,5,-1,840012
412002,,[],,[],,20,-1,2,6,-1,840012
412003,,[],,[],,20,-1,3,7,-1,840012
412004,,[],,[],,20,-1,4,8,-1,840012
412005,,[],,[],,20,-1,5,9,-1,840012
412006,,[],,[],,20,-1,6,10,-1,840012
412007,,[],,[],,20,-1,7,11,-1,840012
412008,,[],,[],,20,-1,8,12,-1,840012
412009,,[],,[],,20,-1,9,13,-1,840012
412010,,[],,[],,20,-1,10,14,-1,840012
412011,,[],,[],,20,-1,11,15,-1,840012
412012,,[],,[],,20,-1,12,16,-1,840012
412013,,[],,[],,20,-1,13,17,-1,840012
412014,,[],,[],,30,-1,14,18,-1,840012
412015,,[],,[],,30,-1,15,19,-1,840012
412016,,[],,[],,30,-1,16,20,-1,840012
412017,,[],,[],,30,-1,17,21,-1,840012
412018,,[],,[],,30,-1,18,22,-1,840012
412019,,[],,[],,30,-1,19,23,-1,840012
413001,,[],,[],,20,-1,1,5,-1,840013
413002,,[],,[],,20,-1,2,6,-1,840013
413003,,[],,[],,20,-1,3,7,-1,840013
413004,,[],,[],,20,-1,4,8,-1,840013
413005,,[],,[],,20,-1,5,9,-1,840013
413006,,[],,[],,20,-1,6,10,-1,840013
413007,,[],,[],,20,-1,7,11,-1,840013
413008,,[],,[],,20,-1,8,12,-1,840013
413009,,[],,[],,20,-1,9,13,-1,840013
413010,,[],,[],,20,-1,10,14,-1,840013
413011,,[],,[],,20,-1,11,15,-1,840013
413012,,[],,[],,20,-1,12,16,-1,840013
413013,,[],,[],,20,-1,13,17,-1,840013
413014,,[],,[],,30,-1,14,18,-1,840013
413015,,[],,[],,30,-1,15,19,-1,840013
413016,,[],,[],,30,-1,16,20,-1,840013
413017,,[],,[],,30,-1,17,21,-1,840013
413018,,[],,[],,30,-1,18,22,-1,840013
413019,,[],,[],,30,-1,19,23,-1,840013
414001,,[],,[],,20,-1,1,5,-1,840014
414002,,[],,[],,20,-1,2,6,-1,840014
414003,,[],,[],,20,-1,3,7,-1,840014
414004,,[],,[],,20,-1,4,8,-1,840014
414005,,[],,[],,20,-1,5,9,-1,840014
414006,,[],,[],,20,-1,6,10,-1,840014
414007,,[],,[],,20,-1,7,11,-1,840014
414008,,[],,[],,20,-1,8,12,-1,840014
414009,,[],,[],,20,-1,9,13,-1,840014
414010,,[],,[],,20,-1,10,14,-1,840014
414011,,[],,[],,20,-1,11,15,-1,840014
414012,,[],,[],,20,-1,12,16,-1,840014
414013,,[],,[],,20,-1,13,17,-1,840014
414014,,[],,[],,30,-1,14,18,-1,840014
414015,,[],,[],,30,-1,15,19,-1,840014
414016,,[],,[],,30,-1,16,20,-1,840014
414017,,[],,[],,30,-1,17,21,-1,840014
414018,,[],,[],,30,-1,18,22,-1,840014
414019,,[],,[],,30,-1,19,23,-1,840014
415001,,[],,[],,20,-1,1,5,-1,840015
415002,,[],,[],,20,-1,2,6,-1,840015
415003,,[],,[],,20,-1,3,7,-1,840015
415004,,[],,[],,20,-1,4,8,-1,840015
415005,,[],,[],,20,-1,5,9,-1,840015
415006,,[],,[],,20,-1,6,10,-1,840015
415007,,[],,[],,20,-1,7,11,-1,840015
415008,,[],,[],,20,-1,8,12,-1,840015
415009,,[],,[],,20,-1,9,13,-1,840015
415010,,[],,[],,20,-1,10,14,-1,840015
415011,,[],,[],,20,-1,11,15,-1,840015
415012,,[],,[],,20,-1,12,16,-1,840015
415013,,[],,[],,20,-1,13,17,-1,840015
415014,,[],,[],,30,-1,14,18,-1,840015
415015,,[],,[],,30,-1,15,19,-1,840015
415016,,[],,[],,30,-1,16,20,-1,840015
415017,,[],,[],,30,-1,17,21,-1,840015
415018,,[],,[],,30,-1,18,22,-1,840015
415019,,[],,[],,30,-1,19,23,-1,840015
416001,,[],,[],,20,-1,1,5,-1,840016
416002,,[],,[],,20,-1,2,6,-1,840016
416003,,[],,[],,20,-1,3,7,-1,840016
416004,,[],,[],,20,-1,4,8,-1,840016
416005,,[],,[],,20,-1,5,9,-1,840016
416006,,[],,[],,20,-1,6,10,-1,840016
416007,,[],,[],,20,-1,7,11,-1,840016
416008,,[],,[],,20,-1,8,12,-1,840016
416009,,[],,[],,20,-1,9,13,-1,840016
416010,,[],,[],,20,-1,10,14,-1,840016
416011,,[],,[],,20,-1,11,15,-1,840016
416012,,[],,[],,20,-1,12,16,-1,840016
416013,,[],,[],,20,-1,13,17,-1,840016
416014,,[],,[],,30,-1,14,18,-1,840016
416015,,[],,[],,30,-1,15,19,-1,840016
416016,,[],,[],,30,-1,16,20,-1,840016
416017,,[],,[],,30,-1,17,21,-1,840016
416018,,[],,[],,30,-1,18,22,-1,840016
416019,,[],,[],,30,-1,19,23,-1,840016
