Assembly,FullTypeName,TypeName,UsedBySuccessfulExport,GenerateMetaSignatures,GetMetaEnumeratorDeclaringType,StaticStringMembers
GameProj,ActivityRaidMeta,ActivityRaidMeta,true,"ActivityRaidMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityRaidMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityRaidMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityShowMeta,ActivityShowMeta,true,"ActivityShowMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityShowMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityShowMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivitySourceMeta,ActivitySourceMeta,false,,,
GameProj,ActivityTaskMeta,ActivityTaskMeta,true,"ActivityTaskMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityTaskMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityTaskMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActivityTaskTargetMeta,ActivityTaskTargetMeta,true,"ActivityTaskTargetMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActivityTaskTargetMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActivityTaskTargetMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ActNameMeta,ActNameMeta,true,"ActNameMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ActNameMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ActNameMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceBossDifficultyMeta,AllianceBossDifficultyMeta,true,"AllianceBossDifficultyMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceBossDifficultyMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceBossDifficultyMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceBuffMeta,AllianceBuffMeta,true,"AllianceBuffMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceBuffMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceBuffMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceBuildingMeta,AllianceBuildingMeta,true,"AllianceBuildingMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceBuildingMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceBuildingMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceDefendAllianceRewardMeta,AllianceDefendAllianceRewardMeta,true,"AllianceDefendAllianceRewardMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceDefendAllianceRewardMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceDefendAllianceRewardMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceDefendCapitalMeta,AllianceDefendCapitalMeta,true,"AllianceDefendCapitalMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceDefendCapitalMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceDefendCapitalMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceDefendMeta,AllianceDefendMeta,true,"AllianceDefendMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceDefendMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceDefendMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceDefendPersonalRewardMeta,AllianceDefendPersonalRewardMeta,true,"AllianceDefendPersonalRewardMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceDefendPersonalRewardMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceDefendPersonalRewardMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceFlagMeta,AllianceFlagMeta,true,"AllianceFlagMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceFlagMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceFlagMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceGameplayMeta,AllianceGameplayMeta,true,"AllianceGameplayMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceGameplayMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceGameplayMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceGiftLevelMeta,AllianceGiftLevelMeta,true,"AllianceGiftLevelMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceGiftLevelMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceGiftLevelMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceGiftMeta,AllianceGiftMeta,true,"AllianceGiftMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceGiftMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceGiftMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceLeaderTaskMeta,AllianceLeaderTaskMeta,true,"AllianceLeaderTaskMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceLeaderTaskMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceLeaderTaskMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceMapinfoMeta,AllianceMapinfoMeta,true,"AllianceMapinfoMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceMapinfoMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceMapinfoMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceMobilizationMeta,AllianceMobilizationMeta,true,"AllianceMobilizationMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceMobilizationMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceMobilizationMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceMobilizationRewardMeta,AllianceMobilizationRewardMeta,true,"AllianceMobilizationRewardMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceMobilizationRewardMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceMobilizationRewardMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AlliancePositionMeta,AlliancePositionMeta,false,,"MetaBase`2[[AlliancePositionMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AlliancePositionMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AlliancePowerMeta,AlliancePowerMeta,false,,"MetaBase`2[[AlliancePowerMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AlliancePowerMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceRaidMeta,AllianceRaidMeta,true,"AllianceRaidMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceRaidMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceRaidMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceRecordMeta,AllianceRecordMeta,true,"AllianceRecordMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceRecordMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceRecordMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceResourceMeta,AllianceResourceMeta,true,"AllianceResourceMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceResourceMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceResourceMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceSettingMeta,AllianceSettingMeta,false,,,
GameProj,AllianceTechGroupMeta,AllianceTechGroupMeta,true,"AllianceTechGroupMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceTechGroupMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceTechGroupMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceTechMeta,AllianceTechMeta,true,"AllianceTechMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceTechMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceTechMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceTechPageMeta,AllianceTechPageMeta,true,"AllianceTechPageMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceTechPageMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceTechPageMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AllianceTechRestypeMeta,AllianceTechRestypeMeta,true,"AllianceTechRestypeMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AllianceTechRestypeMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AllianceTechRestypeMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,Area_v3Meta,Area_v3Meta,false,"Area_v3Meta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[Area_v3Meta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[Area_v3MetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ArenaCrossRewardMeta,ArenaCrossRewardMeta,true,"ArenaCrossRewardMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ArenaCrossRewardMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ArenaCrossRewardMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ArenaRankMeta,ArenaRankMeta,true,"ArenaRankMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ArenaRankMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ArenaRankMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ArtifactMeta,ArtifactMeta,true,"ArtifactMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ArtifactMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ArtifactMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ArtifactSkillAttrMeta,ArtifactSkillAttrMeta,true,"ArtifactSkillAttrMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ArtifactSkillAttrMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ArtifactSkillAttrMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ArtifactStarUpMeta,ArtifactStarUpMeta,true,"ArtifactStarUpMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ArtifactStarUpMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ArtifactStarUpMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,AttributeMeta,AttributeMeta,true,"AttributeMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[AttributeMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[AttributeMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BattlePassMeta,BattlePassMeta,true,"BattlePassMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BattlePassMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BattlePassMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BountyPrestigeMeta,BountyPrestigeMeta,true,"BountyPrestigeMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BountyPrestigeMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BountyPrestigeMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BountyTaskMeta,BountyTaskMeta,true,"BountyTaskMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BountyTaskMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BountyTaskMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BountyWorldUiShowMeta,BountyWorldUiShowMeta,true,"BountyWorldUiShowMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BountyWorldUiShowMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BountyWorldUiShowMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BuffGlobalMeta,BuffGlobalMeta,true,"BuffGlobalMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BuffGlobalMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BuffGlobalMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BuffMeta,BuffMeta,true,"BuffMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BuffMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BuffMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BuffMeta+BuffActionMeta,BuffActionMeta,false,,,
GameProj,BulletDamageNumberMeta,BulletDamageNumberMeta,true,"BulletDamageNumberMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BulletDamageNumberMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BulletDamageNumberMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BulletMeta,BulletMeta,true,"BulletMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BulletMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BulletMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,BulletTraceMeta,BulletTraceMeta,true,"BulletTraceMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[BulletTraceMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[BulletTraceMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CardRaidMeta,CardRaidMeta,true,"CardRaidMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CardRaidMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CardRaidMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CarriageAllianceCarMeta,CarriageAllianceCarMeta,true,"CarriageAllianceCarMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CarriageAllianceCarMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CarriageAllianceCarMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CarriageAllianceTalkMeta,CarriageAllianceTalkMeta,true,"CarriageAllianceTalkMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CarriageAllianceTalkMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CarriageAllianceTalkMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CarriageCarMeta,CarriageCarMeta,true,"CarriageCarMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CarriageCarMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CarriageCarMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CarriageQualityMeta,CarriageQualityMeta,true,"CarriageQualityMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CarriageQualityMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CarriageQualityMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ChallengeArenaPveMeta,ChallengeArenaPveMeta,true,"ChallengeArenaPveMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ChallengeArenaPveMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ChallengeArenaPveMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ChallengeArenaPveSettingMeta,ChallengeArenaPveSettingMeta,true,"ChallengeArenaPveSettingMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ChallengeArenaPveSettingMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ChallengeArenaPveSettingMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ChatEmotionGroupMeta,ChatEmotionGroupMeta,true,"ChatEmotionGroupMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ChatEmotionGroupMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ChatEmotionGroupMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,ChatEmotionNewMeta,ChatEmotionNewMeta,true,"ChatEmotionNewMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[ChatEmotionNewMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[ChatEmotionNewMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CitybuildCivilizationHallMeta,CitybuildCivilizationHallMeta,true,"CitybuildCivilizationHallMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CitybuildCivilizationHallMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CitybuildCivilizationHallMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CitybuildingDIYMeta,CitybuildingDIYMeta,true,"CitybuildingDIYMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CitybuildingDIYMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CitybuildingDIYMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CitybuildingDIYPropertyMeta,CitybuildingDIYPropertyMeta,true,"CitybuildingDIYPropertyMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CitybuildingDIYPropertyMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CitybuildingDIYPropertyMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CitybuildingDIYSkillMeta,CitybuildingDIYSkillMeta,true,"CitybuildingDIYSkillMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CitybuildingDIYSkillMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CitybuildingDIYSkillMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
GameProj,CitybuildingDIYSuitMeta,CitybuildingDIYSuitMeta,true,"CitybuildingDIYSuitMeta.GenerateMeta(FibMatrix.Config.IMetaItemSet iter, System.Boolean delayMode)","MetaBase`2[[CitybuildingDIYSuitMeta, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null],[CitybuildingDIYSuitMetaBuilder, GameProj, Version=0.13.0.0, Culture=neutral, PublicKeyToken=null]]",
