id,group,hero,hero_day_need,hero_need,hero_star_need,need_building_level,need_gacha_level,type,weight
20018,2001,10018,-1,10018,,,5,1,1000
20019,2001,10019,-1,10019,,,-1,1,1000
20020,2001,10020,-1,10020,,,6,1,1000
20021,2001,10021,-1,-1,,,-1,1,1000
20022,2001,10022,-1,-1,,,-1,1,1000
20023,2001,10023,-1,10023,,,9,1,1000
20024,2001,10024,-1,10024,,,8,1,1000
20025,2001,10025,-1,10025,,,2,1,1000
20026,2001,10026,-1,10026,,,1,1,1000
20027,2001,10027,-1,10027,,,11,1,1000
20028,2001,10028,-1,10028,,,3,1,1000
20029,2001,10029,-1,-1,,,-1,1,0
20030,2001,10030,-1,-1,,,-1,1,1000
20031,2001,10031,-1,10031,,,14,1,1000
20032,2001,10032,-1,-1,[10032|8],,-1,1,1000
20033,2001,10033,-1,-1,,,-1,1,0
20034,2001,10034,-1,10034,,,12,1,1000
20035,2001,10035,-1,10035,,,4,1,1000
20036,2001,10036,-1,10036,,,13,1,1000
20037,2001,10037,-1,10037,,,16,1,1000
20038,2001,10038,-1,10038,,,15,1,1000
20039,2001,10039,-1,-1,,,-1,1,0
20040,2001,10040,-1,10040,,,-1,1,1000
20041,2001,10041,-1,-1,,,-1,1,0
20042,2001,10042,-1,-1,,,-1,1,0
21250,2004,250,-1,-1,,,-1,2,2000
22104,2004,206104,-1,-1,,,-1,2,1000
22204,2004,206204,-1,-1,,,-1,2,1000
22006,2004,206004,-1,-1,,,-1,2,1000
25032,2001,15032,-1,-1,[15032|8],,-1,1,1000
30001,3003,10001,-1,-1,,,-1,1,1000
30002,3003,10002,-1,-1,,,-1,1,1000
30003,3002,10003,-1,-1,,,-1,1,250
30004,3002,10004,-1,-1,,,-1,1,250
30005,3002,10005,-1,-1,,,-1,1,250
30006,3003,10006,-1,-1,,,-1,1,1000
30007,3003,10007,-1,-1,,,-1,1,1000
30008,3001,10008,-1,10008,,,10,1,1000
30009,3003,10009,-1,-1,,,-1,1,1000
30010,3003,10010,-1,-1,,,-1,1,1000
30011,3002,10011,-1,-1,,,-1,1,250
30012,3001,10012,4,10012,,,-1,1,1000
30013,3002,10013,-1,-1,,,-1,1,250
30014,3002,10014,-1,-1,,,-1,1,250
30015,3002,10015,-1,-1,,,-1,1,250
30016,3002,10016,-1,-1,,,-1,1,250
30017,3001,10017,-1,10017,,,4,1,1000
30018,3001,10018,-1,10018,,,5,1,1000
30019,3001,10019,-1,10019,,,-1,1,1000
30020,3001,10020,-1,10020,,,14,1,1000
30021,3001,10021,-1,-1,,,-1,1,1000
30022,3001,10022,-1,-1,,,-1,1,1000
30023,3001,10023,-1,10023,,,17,1,1000
30024,3001,10024,-1,10024,,,7,1,1000
30025,3001,10025,-1,10025,,,3,1,1000
30026,3001,10026,-1,10026,,,2,1,1000
30027,3001,10027,-1,10027,,,11,1,1000
30028,3001,10028,-1,10028,,,13,1,1000
30029,3001,10029,-1,-1,,,-1,1,0
30030,3001,10030,-1,10030,,,1,1,1000
30031,3001,10031,-1,10031,,,15,1,1000
30032,3001,10032,-1,-1,,,-1,1,0
30033,3001,10033,-1,-1,,,-1,1,0
30034,3001,10034,-1,10034,,,9,1,1000
30035,3001,10035,-1,10035,,,12,1,1000
30036,3001,10036,-1,10036,,,8,1,1000
30037,3001,10037,-1,10037,,,16,1,1000
30038,3001,10038,-1,10038,,,18,1,1000
30039,3001,10039,-1,-1,,,-1,1,0
30040,3001,10040,-1,10040,,,6,1,1000
30041,3001,10041,-1,-1,,,-1,1,0
30042,3001,10042,-1,-1,,,-1,1,0
31250,3004,250,-1,-1,,,-1,2,2000
32104,3004,206104,-1,-1,,,-1,2,1000
32204,3004,206204,-1,-1,,,-1,2,1000
32006,3004,206004,-1,-1,,,-1,2,1000
35032,3001,15032,-1,-1,[15032|8],,-1,1,1000
40001,4003,10001,-1,-1,,,-1,1,1000
40002,4003,10002,-1,-1,,,-1,1,1000
40006,4003,10006,-1,-1,,,-1,1,1000
40007,4003,10007,-1,-1,,,-1,1,1000
40009,4003,10009,-1,-1,,,-1,1,1000
40010,4003,10010,-1,-1,,,-1,1,1000
40003,4002,10003,-1,10003,,,2,1,1000
40004,4002,10004,-1,-1,,,-1,1,1000
40005,4002,10005,-1,10005,,,1,1,1000
40011,4002,10011,-1,-1,,,-1,1,1000
40013,4002,10013,-1,10013,,,1,1,1000
40014,4002,10014,-1,-1,,,-1,1,1000
40015,4002,10015,-1,-1,,,-1,1,1000
40016,4002,10016,-1,-1,,,-1,1,1000
40012,4001,10012,-1,-1,,,-1,1,0
40008,4001,10008,-1,10008,,,11,1,1000
40017,4001,10017,-1,10017,,,18,1,1000
40018,4001,10018,-1,10018,,,3,1,1000
40019,4001,10019,-1,10019,,,5,1,1000
40020,4001,10020,-1,10020,,,13,1,1000
40021,4001,10021,-1,10021,,,-1,1,1000
40022,4001,10022,-1,10022,,,-1,1,1000
40023,4001,10023,-1,10023,,,14,1,1000
40024,4001,10024,-1,10024,,,10,1,1000
40025,4001,10025,-1,10025,,,4,1,1000
40026,4001,10026,-1,10026,,,-1,1,1000
40027,4001,10027,-1,10027,,,16,1,1000
40028,4001,10028,-1,10028,,,7,1,1000
40029,4001,10029,-1,-1,,,-1,1,0
40030,4001,10030,-1,10030,,,9,1,1000
40031,4001,10031,-1,10031,,,17,1,1000
40032,4001,10032,-1,-1,,,-1,1,0
40033,4001,10033,-1,-1,,,-1,1,0
40034,4001,10034,-1,10034,,,6,1,1000
40035,4001,10035,-1,10035,,,15,1,1000
40036,4001,10036,-1,10036,,,12,1,1000
40037,4001,10037,-1,10037,,,19,1,1000
40038,4001,10038,-1,10038,,,20,1,1000
40040,4001,10040,-1,10040,,,8,1,1000
41001,4004,206001,-1,-1,,,-1,2,600
41002,4004,250,-1,-1,,,-1,2,590
41003,4004,206,-1,-1,,,-1,2,1120
1000301,10003,130001,-1,-1,,,-1,14,1000
1000302,10003,130002,-1,-1,,,-1,14,1000
1000303,10003,130003,-1,-1,,,-1,14,1000
1000201,10002,140001,-1,-1,,,-1,14,1000
1000202,10002,140002,-1,-1,,,-1,14,1000
1000203,10002,140003,-1,-1,,,-1,14,1000
1000204,10002,140004,-1,-1,,,-1,14,1000
1000205,10002,140005,-1,-1,,,-1,14,1000
1000206,10002,140006,-1,-1,,,-1,14,1000
1000207,10002,140007,-1,-1,,,-1,14,1000
1000101,10001,150001,-1,-1,,,-1,14,100
1000102,10001,150002,-1,-1,,,-1,14,100
1000103,10001,150003,-1,-1,,,-1,14,100
1000104,10001,150004,-1,-1,,,-1,14,100
1000105,10001,150005,-1,-1,,,-1,14,100
1000106,10001,150006,-1,-1,,,-1,14,100
1000107,10001,150007,-1,-1,,,-1,14,100
1000108,10001,150008,-1,-1,,,-1,14,100
1000109,10001,150009,-1,-1,,,-1,14,100
1000110,10001,150010,-1,-1,,,-1,14,100
1000111,10001,150011,-1,-1,,,-1,14,100
1000112,10001,150012,-1,-1,,,-1,14,100
1000113,10001,150013,-1,-1,,,-1,14,100
1000114,10001,150014,-1,-1,,,-1,14,100
1000115,10001,150015,-1,-1,,,-1,14,100
1000116,10001,150016,-1,-1,,,-1,14,100
1000117,10001,150017,-1,-1,,,-1,14,100
1000118,10001,150018,-1,-1,,,-1,14,100
1000119,10001,150019,-1,-1,,,-1,14,100
1000401,10004,237,-1,-1,,,-1,2,3000
1000403,10004,238,-1,-1,,,-1,2,1000
2000301,20003,130001,-1,-1,,,-1,14,1000
2000302,20003,130002,-1,-1,,,-1,14,1000
2000303,20003,130003,-1,-1,,,-1,14,1000
2000201,20002,140001,-1,-1,,,-1,14,1000
2000202,20002,140002,-1,-1,,,-1,14,1000
2000203,20002,140003,-1,-1,,,-1,14,1000
2000204,20002,140004,-1,-1,,,-1,14,1000
2000205,20002,140005,-1,-1,,,-1,14,1000
2000206,20002,140006,-1,-1,,,-1,14,1000
2000207,20002,140007,-1,-1,,,-1,14,1000
2000101,20001,150001,-1,-1,,,-1,14,100
2000102,20001,150002,-1,-1,,,-1,14,100
2000103,20001,150003,-1,-1,,,-1,14,100
2000104,20001,150004,-1,-1,,,-1,14,100
2000105,20001,150005,-1,-1,,,-1,14,100
2000106,20001,150006,-1,-1,,,-1,14,100
2000107,20001,150007,-1,-1,,,-1,14,100
2000108,20001,150008,-1,-1,,,-1,14,100
2000109,20001,150009,-1,-1,,,-1,14,100
2000110,20001,150010,-1,-1,,,-1,14,100
2000111,20001,150011,-1,-1,,,-1,14,100
2000112,20001,150012,-1,-1,,,-1,14,100
2000113,20001,150013,-1,-1,,,-1,14,100
2000114,20001,150014,-1,-1,,,-1,14,100
2000115,20001,150015,-1,-1,,,-1,14,100
2000116,20001,150016,-1,-1,,,-1,14,100
2000117,20001,150017,-1,-1,,,-1,14,100
2000118,20001,150018,-1,-1,,,-1,14,100
2000119,20001,150019,-1,-1,,,-1,14,100
2000401,20004,237,-1,-1,,,-1,2,3000
2000403,20004,238,-1,-1,,,-1,2,1000
