id,accumulated_rewards,accumulated_vip,cost_id,cost_price_one,cost_price_ten,cost_type,diamond_cost,fixed_group,limit,luck_goodsid,luckgem_alliancegift_rewardid,luckgem_goodsid,luckmax_num,must_drop,random_group,rewardsData,rewardVIPsData,turntable_reward
12,[25|10291001|50|10291002|70|10291003|100|10291004|200|10291005|300|10291006],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[25|10291001]|[50|10291002]|[70|10291003]|[100|10291004]|[200|10291005]|[300|10291006]],[],10290001
13,[20|11015401|40|11015402|80|11015403|100|11015404|150|11015405|200|11015406],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[20|11015401]|[40|11015402]|[80|11015403]|[100|11015404]|[150|11015405]|[200|11015406]],[],11015501
14,[20|11070101|30|11070102|50|11070103|100|11070104|150|11070105],,204001,1,9,2,750,-1,666,1008001,63,1008002,15,-1,,[[20|11070101]|[30|11070102]|[50|11070103]|[100|11070104]|[150|11070105]],[],11070001
15,[20|11071101|30|11071102|50|11071103|100|11071104|150|11071105],,204001,1,9,2,750,-1,666,1008001,63,1008002,15,-1,,[[20|11071101]|[30|11071102]|[50|11071103]|[100|11071104]|[150|11071105]],[],11071001
16,[30|11080101|60|11080102|90|11080103|150|11080104|300|11080105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[30|11080101]|[60|11080102]|[90|11080103]|[150|11080104]|[300|11080105]],[],11080001
17,[30|11091101|60|11091102|90|11091103|150|11091104|300|11091105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[30|11091101]|[60|11091102]|[90|11091103]|[150|11091104]|[300|11091105]],[],11091001
18,[50|11092101|100|11092102|150|11092103|220|11092104|350|11092105],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[50|11092101]|[100|11092102]|[150|11092103]|[220|11092104]|[350|11092105]],[],11092001
19,[30|11281001|60|11281002|90|11281003|150|11281004|300|11281005],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[30|11281001]|[60|11281002]|[90|11281003]|[150|11281004]|[300|11281005]],[],11281101
20,[50|11302501|100|11302502|150|11302503|200|11302504|300|11302505|600|11302506],,204001,1,9,2,750,-1,666,-1,-1,-1,-1,204002,,[[50|11302501]|[100|11302502]|[150|11302503]|[200|11302504]|[300|11302505]|[600|11302506]],[],11302102
21,[30|12015501|60|12015502|90|12015503|150|12015504|300|12015505],,204001,1,9,2,750,-1,666,1008001,63,1008002,30,-1,,[[30|12015501]|[60|12015502]|[90|12015503]|[150|12015504]|[300|12015505]],[],12015101
22,[50|12140301|100|12140302|150|12140303|250|12140304|500|12140305|800|12140306],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[50|12140301]|[100|12140302]|[150|12140303]|[250|12140304]|[500|12140305]|[800|12140306]],[],12140101
23,[30|12152101|60|12152102|100|12152103|200|12152104|400|12152105|800|12152106],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[30|12152101]|[60|12152102]|[100|12152103]|[200|12152104]|[400|12152105]|[800|12152106]],[],12152015
24,[20|12220101|60|12220102|100|12220103|200|12220104|350|12220105|550|12220106],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|12220101]|[60|12220102]|[100|12220103]|[200|12220104]|[350|12220105]|[550|12220106]],[],12220001
25,[40|12296001|60|12296002|100|12296003|200|12296004|400|12296005|800|12296006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[40|12296001]|[60|12296002]|[100|12296003]|[200|12296004]|[400|12296005]|[800|12296006]],[],12295101
26,[40|401025201|60|401025202|100|401025203|200|401025204|400|401025205|800|401025206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[40|401025201]|[60|401025202]|[100|401025203]|[200|401025204]|[400|401025205]|[800|401025206]],[],401025101
27,[25|401052101|50|401052102|100|401052103|150|401052104|250|401052105|500|401052106],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[25|401052101]|[50|401052102]|[100|401052103]|[150|401052104]|[250|401052105]|[500|401052106]],[],401052001
28,[15|401121601|40|401121602|80|401121603|150|401121604|500|401121605|1000|401121606],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|401121601]|[40|401121602]|[80|401121603]|[150|401121604]|[500|401121605]|[1000|401121606]],[],401121401
29,[20|401261201|40|401261202|80|401261203|150|401261204|400|401261205|1000|401261206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|401261201]|[40|401261202]|[80|401261203]|[150|401261204]|[400|401261205]|[1000|401261206]],[],401261001
30,[20|401300501|40|401300502|80|401300503|150|401300504|400|401300505|1000|401300506],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|401300501]|[40|401300502]|[80|401300503]|[150|401300504]|[400|401300505]|[1000|401300506]],[],401300301
31,[20|402040201|40|402040202|80|402040203|150|402040204|400|402040205|1000|402040206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|402040201]|[40|402040202]|[80|402040203]|[150|402040204]|[400|402040205]|[1000|402040206]],[],402040001
32,[20|402200201|40|402200202|80|402200203|150|402200204|400|402200205|1000|402200206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|402200201]|[40|402200202]|[80|402200203]|[150|402200204]|[400|402200205]|[1000|402200206]],[],402200011
33,[25|402261201|50|402261202|80|402261203|150|402261204|400|402261205|1000|402261206],,402260002,1,9,2,750,-1,2000,-1,-1,-1,-1,402260001,,[[25|402261201]|[50|402261202]|[80|402261203]|[150|402261204]|[400|402261205]|[1000|402261206]],[],402261101
34,[25|402288001|50|402288002|80|402288003|150|402288004|400|402288005|1000|402288006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[25|402288001]|[50|402288002]|[80|402288003]|[150|402288004]|[400|402288005]|[1000|402288006]],[],402285555
35,[20|402292101|40|402292102|80|402292103|150|402292104|400|402292105|1000|402292106],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|402292101]|[40|402292102]|[80|402292103]|[150|402292104]|[400|402292105]|[1000|402292106]],[],402200011
36,[20|403151401|40|403151402|80|403151403|150|403151404|400|403151405|1000|403151406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|403151401]|[40|403151402]|[80|403151403]|[150|403151404]|[400|403151405]|[1000|403151406]],[],403151201
37,[25|403295501|50|403295502|100|403295503|150|403295504|400|403295505|1000|403295506],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[25|403295501]|[50|403295502]|[100|403295503]|[150|403295504]|[400|403295505]|[1000|403295506]],[],403293333
38,[20|403290401|40|403290402|80|403290403|150|403290404|400|403290405|1000|403290406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|403290401]|[40|403290402]|[80|403290403]|[150|403290404]|[400|403290405]|[1000|403290406]],[],403290201
39,[20|404120401|40|404120402|80|404120403|150|404120404|400|404120405|1000|404120406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|404120401]|[40|404120402]|[80|404120403]|[150|404120404]|[400|404120405]|[1000|404120406]],[],404120201
40,[20|404195301|40|404195302|80|404195303|150|404195304|400|404195305|1000|404195306],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|404195301]|[40|404195302]|[80|404195303]|[150|404195304]|[400|404195305]|[1000|404195306]],[],404195201
41,[20|404195301|40|404195302|80|404195303|150|404195304|400|404195305|1000|404195306],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|404195301]|[40|404195302]|[80|404195303]|[150|404195304]|[400|404195305]|[1000|404195306]],[],404295201
42,[10|404291201|30|404291202|70|404291203|200|404291204|800|404291205],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|404291201]|[30|404291202]|[70|404291203]|[200|404291204]|[800|404291205]],[],404291101
43,[20|404300201|40|404300202|80|404300203|150|404300204|400|404300205|1000|404300206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|404300201]|[40|404300202]|[80|404300203]|[150|404300204]|[400|404300205]|[1000|404300206]],[],404300101
44,[10|405108011|30|405108012|70|405108013|200|405108014|800|405108015],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|405108011]|[30|405108012]|[70|405108013]|[200|405108014]|[800|405108015]],[],405108001
45,[20|405175201|40|405175202|80|405175203|150|405175204|400|405175205|1000|405175206],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|405175201]|[40|405175202]|[80|405175203]|[150|405175204]|[400|405175205]|[1000|405175206]],[],405175101
46,[10|405237211|30|405237212|70|405237213|200|405237214|800|405237215],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|405237211]|[30|405237212]|[70|405237213]|[200|405237214]|[800|405237215]],[],405237201
47,[10|405245301|30|405245302|70|405245303|200|405245304|800|405245305],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|405245301]|[30|405245302]|[70|405245303]|[200|405245304]|[800|405245305]],[],405245201
48,[20|405240401|40|405240402|80|405240403|150|405240404|400|405240405|1000|405240406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|405240401]|[40|405240402]|[80|405240403]|[150|405240404]|[400|405240405]|[1000|405240406]],[],405240201
49,[20|405240401|40|405240402|80|405240403|150|405240404|400|405240405|1000|405240406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|405240401]|[40|405240402]|[80|405240403]|[150|405240404]|[400|405240405]|[1000|405240406]],[],406066101
50,[20|406070401|40|406070402|100|406070403|150|406070404|400|406070405|1000|406070406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|406070401]|[40|406070402]|[100|406070403]|[150|406070404]|[400|406070405]|[1000|406070406]],[],406070201
51,[10|407046011|30|407046012|70|407046013|200|407046014|800|407046015],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|407046011]|[30|407046012]|[70|407046013]|[200|407046014]|[800|407046015]],[],407046001
52,[20|407040401|40|407040402|80|407040403|150|407040404|400|407040405|1000|407040406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|407040401]|[40|407040402]|[80|407040403]|[150|407040404]|[400|407040405]|[1000|407040406]],[],407040201
53,[10|407095201|30|407095202|70|407095203|200|407095204|800|407095205],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|407095201]|[30|407095202]|[70|407095203]|[200|407095204]|[800|407095205]],[],407095101
54,[10|407175011|30|407175012|70|407175013|200|407175014|800|407175015],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,-1,,[[10|407175011]|[30|407175012]|[70|407175013]|[200|407175014]|[800|407175015]],[],407175001
55,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407195201
56,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407236001
57,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407236002
58,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407257201
59,[20|407270401|40|407270402|80|407270403|150|407270404|400|407270405|1000|407270406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|407270401]|[40|407270402]|[80|407270403]|[150|407270404]|[400|407270405]|[1000|407270406]],[],407270201
60,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407295001
61,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],407317001
62,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408025001
63,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408135001
64,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408155001
65,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408226301
66,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408265001
67,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],408286001
68,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],409045001
69,[20|407270401|40|407270402|80|407270403|150|407270404|400|407270405|1000|407270406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|407270401]|[40|407270402]|[80|407270403]|[150|407270404]|[400|407270405]|[1000|407270406]],[],409050001
70,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],409056001
71,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],409258001
72,[20|407270401|40|407270402|80|407270403|150|407270404|400|407270405|1000|407270406],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|407270401]|[40|407270402]|[80|407270403]|[150|407270404]|[400|407270405]|[1000|407270406]],[],409263101
73,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],409277001
74,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],410177001
75,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405|2000|410256501],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]|[2000|410256501]],[],410256401
76,[5|407195401|10|407195402|15|407195403|20|407195404|30|407195405|40|410256501],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[5|407195401]|[10|407195402]|[15|407195403]|[20|407195404]|[30|407195405]|[40|410256501]],[0|0|0|0|0|8],410256401
77,[10|407195401|50|407195402|200|407195403|400|411015002|1000|407195405|2000|411015003],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|411015002]|[1000|407195405]|[2000|411015003]],[0|0|0|0|0|8],411015001
78,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|410256501],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|410256501]],[0|0|0|0|0|8],410256401
79,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|411015003],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|411015003]],[0|0|0|0|0|8],411015001
80,[10|501236101|50|501236102|200|501236103|400|501236104|1000|501236105|2000|501236106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|501236101]|[50|501236102]|[200|501236103]|[400|501236104]|[1000|501236105]|[2000|501236106]],[0|0|0|0|0|8],501236001
81,[10|502077101|50|502077102|200|502077103|400|502077104|1000|502077105|2000|502077106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|502077101]|[50|502077102]|[200|502077103]|[400|502077104]|[1000|502077105]|[2000|502077106]],[0|0|0|0|0|8],502077001
82,[20|502210001|40|502210002|80|502210003|150|502210004|400|502210005|1000|502210006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|502210001]|[40|502210002]|[80|502210003]|[150|502210004]|[400|502210005]|[1000|502210006]],[],502210101
83,[20|502210001|40|502210002|80|502210003|150|502210004|400|502210005|1000|502210006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|502210001]|[40|502210002]|[80|502210003]|[150|502210004]|[400|502210005]|[1000|502210006]],[],502280001
84,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|411015003],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|411015003]],[0|0|0|0|0|8],503215002
85,[10|503077101|50|503077102|200|503077103|400|503077104|1000|503077105|2000|503077106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|503077101]|[50|503077102]|[200|503077103]|[400|503077104]|[1000|503077105]|[2000|503077106]],[0|0|0|0|0|8],503077001
86,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|410256501],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|410256501]],[0|0|0|0|0|8],503215001
87,[20|502210001|40|502210002|80|502210003|150|502210004|400|502210005|1000|502210006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|502210001]|[40|502210002]|[80|502210003]|[150|502210004]|[400|502210005]|[1000|502210006]],[],503210001
88,[10|503077101|50|503077102|200|503077103|400|503077104|1000|503077105|2000|503077106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|503077101]|[50|503077102]|[200|503077103]|[400|503077104]|[1000|503077105]|[2000|503077106]],[0|0|0|0|0|8],503215003
89,[10|503275101|50|503275102|200|503275103|400|503275104|1000|503275105|2000|503275106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|503275101]|[50|503275102]|[200|503275103]|[400|503275104]|[1000|503275105]|[2000|503275106]],[0|0|0|0|0|8],503275001
90,[10|504026301|50|504026302|200|504026303|400|504026304|1000|504026305|2000|504026306],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|504026301]|[50|504026302]|[200|504026303]|[400|504026304]|[1000|504026305]|[2000|504026306]],[0|0|0|0|0|8],504026201
91,[20|502210001|40|502210002|80|502210003|150|502210004|400|502210005|1000|502210006],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|502210001]|[40|502210002]|[80|502210003]|[150|502210004]|[400|502210005]|[1000|502210006]],[],504034001
92,[10|504026301|50|504026302|200|504026303|400|504026304|1000|504026305|2000|504025006],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|504026301]|[50|504026302]|[200|504026303]|[400|504026304]|[1000|504026305]|[2000|504025006]],[0|0|0|0|0|8],504105201
93,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|410256501],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|410256501]],[0|0|0|0|0|8],504275001
94,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|411015003],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|411015003]],[0|0|0|0|0|8],505087001
95,[10|504026301|50|504026302|200|504026303|400|504026304|1000|504026305|2000|504026306],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|504026301]|[50|504026302]|[200|504026303]|[400|504026304]|[1000|504026305]|[2000|504026306]],[0|0|0|0|0|8],507043001
96,[10|504026301|50|504026302|200|504026303|400|504026304|1000|504026305|2000|504025006],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|504026301]|[50|504026302]|[200|504026303]|[400|504026304]|[1000|504026305]|[2000|504025006]],[0|0|0|0|0|8],507113009
97,[10|407195401|50|407195402|200|407195403|400|407195404|1000|407195405],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|407195402]|[200|407195403]|[400|407195404]|[1000|407195405]],[],507183001
98,[10|407195401|50|502206001|200|407195403|400|411015002|1000|412067002|2000|507186001],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|407195401]|[50|502206001]|[200|407195403]|[400|411015002]|[1000|412067002]|[2000|507186001]],[0|0|0|0|0|8],503215001
99,[15|507223014|90|507223015|300|507223016|600|507223017|1000|507223018],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|507223014]|[90|507223015]|[300|507223016]|[600|507223017]|[1000|507223018]],[],507223013
100,[10|507258101|50|507258102|200|507258103|400|507258104|1000|507258105|2000|507258106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|507258101]|[50|507258102]|[200|507258103]|[400|507258104]|[1000|507258105]|[2000|507258106]],[0|0|0|0|0|8],507258001
101,[15|508013002|90|508013003|300|508013004|600|508013005|1000|508013006],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|508013002]|[90|508013003]|[300|508013004]|[600|508013005]|[1000|508013006]],[],508013001
102,[10|503077101|50|503077102|200|503077103|400|503077104|1000|503077105|2000|504026306],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|503077101]|[50|503077102]|[200|503077103]|[400|503077104]|[1000|503077105]|[2000|504026306]],[0|0|0|0|0|8],508014001
103,[20|508010001|40|508010002|80|508010003|150|508010004|400|508010005|800|508010006|1400|508010007],,204001,1,9,2,750,-1,2000,-1,-1,-1,-1,204002,,[[20|508010001]|[40|508010002]|[80|508010003]|[150|508010004]|[400|508010005]|[800|508010006]|[1400|508010007]],[],504034001
104,[15|508053002|90|508053003|300|508053004|600|508053005|1000|508053006],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|508053002]|[90|508053003]|[300|508053004]|[600|508053005]|[1000|508053006]],[],508053001
105,[10|508087301|50|508087302|200|508087303|400|508087304|1000|508087305|2000|508087306],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|508087301]|[50|508087302]|[200|508087303]|[400|508087304]|[1000|508087305]|[2000|508087306]],[0|0|0|0|0|8],508087201
106,[15|508154020|90|508154021|300|508154022|600|508154023|1000|508154024],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|508154020]|[90|508154021]|[300|508154022]|[600|508154023]|[1000|508154024]],[],508154019
107,[10|508227301|50|508227302|200|508227303|400|508227304|1000|508227305|2000|508227306],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|508227301]|[50|508227302]|[200|508227303]|[400|508227304]|[1000|508227305]|[2000|508227306]],[0|0|0|0|0|8],508227201
108,[15|508254002|90|508254003|300|508254004|600|508254005|1000|508254006],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|508254002]|[90|508254003]|[300|508254004]|[600|508254005]|[1000|508254006]],[],508254001
