id,cn,en,jp,kr,languageAudioMap
10001,[CN/Warrior_1_CN|CN/Warrior_2_CN],[EN/Warrior_1_EN|EN/Warrior_2_EN],[JP/Warrior_1_JP|JP/Warrior_2_JP],[KR/Warrior_1_KR|KR/Warrior_2_KR],{en:[EN/Warrior_1_EN|EN/Warrior_2_EN]|kr:[KR/Warrior_1_KR|KR/Warrior_2_KR]|jp:[JP/Warrior_1_JP|JP/Warrior_2_JP]|cn:[CN/Warrior_1_CN|CN/Warrior_2_CN]}
10027,[CN/Cleric_1_CN|CN/Cleric_2_CN],[EN/Cleric_1_EN|EN/Cleric_2_EN],[JP/Cleric_1_JP|JP/Cleric_2_JP],[KR/Cleric_1_KR|KR/Cleric_2_KR],{en:[EN/Cleric_1_EN|EN/Cleric_2_EN]|kr:[KR/Cleric_1_KR|KR/Cleric_2_KR]|jp:[JP/Cleric_1_JP|JP/Cleric_2_JP]|cn:[CN/Cleric_1_CN|CN/Cleric_2_CN]}
10028,[CN/Warlock_1_CN|CN/Warlock_2_CN],[EN/Warlock_1_EN|EN/Warlock_2_EN],[JP/Warlock_1_JP|JP/Warlock_2_JP],[KR/Warlock_1_KR|KR/Warlock_2_KR],{en:[EN/Warlock_1_EN|EN/Warlock_2_EN]|kr:[KR/Warlock_1_KR|KR/Warlock_2_KR]|jp:[JP/Warlock_1_JP|JP/Warlock_2_JP]|cn:[CN/Warlock_1_CN|CN/Warlock_2_CN]}
10029,[CN/MaidenSpring_1_CN|CN/MaidenSpring_2_CN],[EN/MaidenSpring_1_EN|EN/MaidenSpring_2_EN],[JP/MaidJPSpring_1_JP|JP/MaidJPSpring_2_JP],[KR/MaidenSpring_1_KR|KR/MaidenSpring_2_KR],{en:[EN/MaidenSpring_1_EN|EN/MaidenSpring_2_EN]|kr:[KR/MaidenSpring_1_KR|KR/MaidenSpring_2_KR]|jp:[JP/MaidJPSpring_1_JP|JP/MaidJPSpring_2_JP]|cn:[CN/MaidenSpring_1_CN|CN/MaidenSpring_2_CN]}
10030,[CN/Bard_1_CN|CN/Bard_2_CN],[EN/Bard_1_EN|EN/Bard_2_EN],[JP/Bard_1_JP|JP/Bard_2_JP],[KR/Bard_1_KR|KR/Bard_2_KR],{en:[EN/Bard_1_EN|EN/Bard_2_EN]|kr:[KR/Bard_1_KR|KR/Bard_2_KR]|jp:[JP/Bard_1_JP|JP/Bard_2_JP]|cn:[CN/Bard_1_CN|CN/Bard_2_CN]}
10031,[CN/Adjudicator_1_CN|CN/Adjudicator_2_CN],[EN/Adjudicator_1_EN|EN/Adjudicator_2_EN],[JP/Adjudicator_1_JP|JP/Adjudicator_2_JP],[KR/Adjudicator_1_KR|KR/Adjudicator_2_KR],{en:[EN/Adjudicator_1_EN|EN/Adjudicator_2_EN]|kr:[KR/Adjudicator_1_KR|KR/Adjudicator_2_KR]|jp:[JP/Adjudicator_1_JP|JP/Adjudicator_2_JP]|cn:[CN/Adjudicator_1_CN|CN/Adjudicator_2_CN]}
10032,[CN/Innkeeper_1_CN|CN/Innkeeper_2_CN],[EN/Innkeeper_1_EN|EN/Innkeeper_2_EN],[JP/Innkeeper_1_JP|JP/Innkeeper_2_JP],[KR/Innkeeper_1_KR|KR/Innkeeper_2_KR],{en:[EN/Innkeeper_1_EN|EN/Innkeeper_2_EN]|kr:[KR/Innkeeper_1_KR|KR/Innkeeper_2_KR]|jp:[JP/Innkeeper_1_JP|JP/Innkeeper_2_JP]|cn:[CN/Innkeeper_1_CN|CN/Innkeeper_2_CN]}
10033,[CN/Saint_1_CN|CN/Saint_2_CN],[EN/Saint_1_EN|EN/Saint_2_EN],[JP/Saint_1_JP|JP/Saint_2_JP],[KR/Saint_1_KR|KR/Saint_2_KR],{en:[EN/Saint_1_EN|EN/Saint_2_EN]|kr:[KR/Saint_1_KR|KR/Saint_2_KR]|jp:[JP/Saint_1_JP|JP/Saint_2_JP]|cn:[CN/Saint_1_CN|CN/Saint_2_CN]}
10034,[CN/Shaman_1_CN|CN/Shaman_2_CN],[EN/Shaman_1_EN|EN/Shaman_2_EN],[JP/Shaman_1_JP|JP/Shaman_2_JP],[KR/Shaman_1_KR|KR/Shaman_2_KR],{en:[EN/Shaman_1_EN|EN/Shaman_2_EN]|kr:[KR/Shaman_1_KR|KR/Shaman_2_KR]|jp:[JP/Shaman_1_JP|JP/Shaman_2_JP]|cn:[CN/Shaman_1_CN|CN/Shaman_2_CN]}
10035,[CN/Sage_1_CN|CN/Sage_2_CN],[EN/Sage_1_EN|EN/Sage_2_EN],[JP/Sage_1_JP|JP/Sage_2_JP],[KR/Sage_1_KR|KR/Sage_2_KR],{en:[EN/Sage_1_EN|EN/Sage_2_EN]|kr:[KR/Sage_1_KR|KR/Sage_2_KR]|jp:[JP/Sage_1_JP|JP/Sage_2_JP]|cn:[CN/Sage_1_CN|CN/Sage_2_CN]}
10036,[CN/MaidenSpring_1_CN|CN/MaidenSpring_2_CN],[EN/MaidenSpring_1_EN|EN/MaidenSpring_2_EN],[JP/MaidenSpring_1_JP|JP/MaidenSpring_2_JP],[KR/MaidenSpring_1_KR|KR/MaidenSpring_2_KR],{en:[EN/MaidenSpring_1_EN|EN/MaidenSpring_2_EN]|kr:[KR/MaidenSpring_1_KR|KR/MaidenSpring_2_KR]|jp:[JP/MaidenSpring_1_JP|JP/MaidenSpring_2_JP]|cn:[CN/MaidenSpring_1_CN|CN/MaidenSpring_2_CN]}
10037,[CN/Pixie_1_CN|CN/Pixie_2_CN],[EN/Pixie_1_EN|EN/Pixie_2_EN],[JP/Pixie_1_JP|JP/Pixie_2_JP],[KR/Pixie_1_KR|KR/Pixie_2_KR],{en:[EN/Pixie_1_EN|EN/Pixie_2_EN]|kr:[KR/Pixie_1_KR|KR/Pixie_2_KR]|jp:[JP/Pixie_1_JP|JP/Pixie_2_JP]|cn:[CN/Pixie_1_CN|CN/Pixie_2_CN]}
10038,[CN/Necromancer_1_CN|CN/Necromancer_2_CN],[EN/Necromancer_1_EN|EN/Necromancer_2_EN],[JP/Necromancer_1_JP|JP/Necromancer_2_JP],[KR/Necromancer_1_KR|KR/Necromancer_2_KR],{en:[EN/Necromancer_1_EN|EN/Necromancer_2_EN]|kr:[KR/Necromancer_1_KR|KR/Necromancer_2_KR]|jp:[JP/Necromancer_1_JP|JP/Necromancer_2_JP]|cn:[CN/Necromancer_1_CN|CN/Necromancer_2_CN]}
10039,[CN/DesertPrince_1_CN|CN/DesertPrince_2_CN],[EN/DesertPrince_1_EN|EN/DesertPrince_2_EN],[JP/DesertPrince_1_JP|JP/DesertPrince_2_JP],[KR/DesertPrince_1_KR|KR/DesertPrince_2_KR],{en:[EN/DesertPrince_1_EN|EN/DesertPrince_2_EN]|kr:[KR/DesertPrince_1_KR|KR/DesertPrince_2_KR]|jp:[JP/DesertPrince_1_JP|JP/DesertPrince_2_JP]|cn:[CN/DesertPrince_1_CN|CN/DesertPrince_2_CN]}
10040,[CN/Windwalker_1_CN|CN/Windwalker_2_CN],[EN/Windwalker_1_EN|EN/Windwalker_2_EN],[JP/Windwalker_1_JP|JP/Windwalker_2_JP],[KR/Windwalker_1_KR|KR/Windwalker_2_KR],{en:[EN/Windwalker_1_EN|EN/Windwalker_2_EN]|kr:[KR/Windwalker_1_KR|KR/Windwalker_2_KR]|jp:[JP/Windwalker_1_JP|JP/Windwalker_2_JP]|cn:[CN/Windwalker_1_CN|CN/Windwalker_2_CN]}
10041,[CN/StormMaid_1_CN|CN/StormMaid_2_CN],[EN/StormMaid_1_EN|EN/StormMaid_2_EN],[JP/StormMaid_1_JP|JP/StormMaid_2_JP],[KR/StormMaid_1_KR|KR/StormMaid_2_KR],{en:[EN/StormMaid_1_EN|EN/StormMaid_2_EN]|kr:[KR/StormMaid_1_KR|KR/StormMaid_2_KR]|jp:[JP/StormMaid_1_JP|JP/StormMaid_2_JP]|cn:[CN/StormMaid_1_CN|CN/StormMaid_2_CN]}
10042,[CN/Monk_1_CN|CN/Monk_2_CN],[EN/Monk_1_EN|EN/Monk_2_EN],[JP/Monk_1_JP|JP/Monk_2_JP],[KR/Monk_1_KR|KR/Monk_2_KR],{en:[EN/Monk_1_EN|EN/Monk_2_EN]|kr:[KR/Monk_1_KR|KR/Monk_2_KR]|jp:[JP/Monk_1_JP|JP/Monk_2_JP]|cn:[CN/Monk_1_CN|CN/Monk_2_CN]}
10043,[CN/RosePrincess_1_CN|CN/RosePrincess_2_CN],[EN/RosePrincess_1_EN|EN/RosePrincess_2_EN],[JP/RosePrincess_1_JP|JP/RosePrincess_2_JP],[KR/RosePrincess_1_KR|KR/RosePrincess_2_KR],{en:[EN/RosePrincess_1_EN|EN/RosePrincess_2_EN]|kr:[KR/RosePrincess_1_KR|KR/RosePrincess_2_KR]|jp:[JP/RosePrincess_1_JP|JP/RosePrincess_2_JP]|cn:[CN/RosePrincess_1_CN|CN/RosePrincess_2_CN]}
10044,[CN/Murloc_1_CN|CN/Murloc_2_CN],[EN/Murloc_1_EN|EN/Murloc_2_EN],[JP/Murloc_1_JP|JP/Murloc_2_JP],[KR/Murloc_1_KR|KR/Murloc_2_KR],{en:[EN/Murloc_1_EN|EN/Murloc_2_EN]|kr:[KR/Murloc_1_KR|KR/Murloc_2_KR]|jp:[JP/Murloc_1_JP|JP/Murloc_2_JP]|cn:[CN/Murloc_1_CN|CN/Murloc_2_CN]}
10045,[CN/Witch_1_CN|CN/Witch_2_CN],[EN/Witch_1_EN|EN/Witch_2_EN],[JP/Witch_1_JP|JP/Witch_2_JP],[KR/Witch_1_KR|KR/Witch_2_KR],{en:[EN/Witch_1_EN|EN/Witch_2_EN]|kr:[KR/Witch_1_KR|KR/Witch_2_KR]|jp:[JP/Witch_1_JP|JP/Witch_2_JP]|cn:[CN/Witch_1_CN|CN/Witch_2_CN]}
10046,[CN/Bishop_1_CN|CN/Bishop_2_CN],[EN/Bishop_1_EN|EN/Bishop_2_EN],[JP/Bishop_1_JP|JP/Bishop_2_JP],[KR/Bishop_1_KR|KR/Bishop_2_KR],{en:[EN/Bishop_1_EN|EN/Bishop_2_EN]|kr:[KR/Bishop_1_KR|KR/Bishop_2_KR]|jp:[JP/Bishop_1_JP|JP/Bishop_2_JP]|cn:[CN/Bishop_1_CN|CN/Bishop_2_CN]}
10047,[CN/Wukong_1_CN|CN/Wukong_2_CN],[EN/Wukong_1_EN|EN/Wukong_2_EN],[JP/Wukong_1_JP|JP/Wukong_2_JP],[KR/Wukong_1_KR|KR/Wukong_2_KR],{en:[EN/Wukong_1_EN|EN/Wukong_2_EN]|kr:[KR/Wukong_1_KR|KR/Wukong_2_KR]|jp:[JP/Wukong_1_JP|JP/Wukong_2_JP]|cn:[CN/Wukong_1_CN|CN/Wukong_2_CN]}
10048,[CN/Tamer_1_CN|CN/Tamer_2_CN],[EN/Tamer_1_EN|EN/Tamer_2_EN],[JP/Tamer_1_JP|JP/Tamer_2_JP],[KR/Tamer_1_KR|KR/Tamer_2_KR],{en:[EN/Tamer_1_EN|EN/Tamer_2_EN]|kr:[KR/Tamer_1_KR|KR/Tamer_2_KR]|jp:[JP/Tamer_1_JP|JP/Tamer_2_JP]|cn:[CN/Tamer_1_CN|CN/Tamer_2_CN]}
10049,[CN/Nezha_1_CN|CN/Nezha_2_CN],[EN/Nezha_1_EN|EN/Nezha_2_EN],[JP/Nezha_1_JP|JP/Nezha_2_JP],[KR/Nezha_1_KR|KR/Nezha_2_KR],{en:[EN/Nezha_1_EN|EN/Nezha_2_EN]|kr:[KR/Nezha_1_KR|KR/Nezha_2_KR]|jp:[JP/Nezha_1_JP|JP/Nezha_2_JP]|cn:[CN/Nezha_1_CN|CN/Nezha_2_CN]}
15032,[CN/Innkeeper_1_CN|CN/Innkeeper_2_CN],[EN/Innkeeper_1_EN|EN/Innkeeper_2_EN],[JP/Innkeeper_1_JP|JP/Innkeeper_2_JP],[KR/Innkeeper_1_KR|KR/Innkeeper_2_KR],{en:[EN/Innkeeper_1_EN|EN/Innkeeper_2_EN]|kr:[KR/Innkeeper_1_KR|KR/Innkeeper_2_KR]|jp:[JP/Innkeeper_1_JP|JP/Innkeeper_2_JP]|cn:[CN/Innkeeper_1_CN|CN/Innkeeper_2_CN]}
15033,[CN/Saint_1_CN|CN/Saint_2_CN],[EN/Saint_1_EN|EN/Saint_2_EN],[JP/Saint_1_JP|JP/Saint_2_JP],[KR/Saint_1_KR|KR/Saint_2_KR],{en:[EN/Saint_1_EN|EN/Saint_2_EN]|kr:[KR/Saint_1_KR|KR/Saint_2_KR]|jp:[JP/Saint_1_JP|JP/Saint_2_JP]|cn:[CN/Saint_1_CN|CN/Saint_2_CN]}
15039,[CN/DesertPrince_1_CN|CN/DesertPrince_2_CN],[EN/DesertPrince_1_EN|EN/DesertPrince_2_EN],[JP/DesertPrince_1_JP|JP/DesertPrince_2_JP],[KR/DesertPrince_1_KR|KR/DesertPrince_2_KR],{en:[EN/DesertPrince_1_EN|EN/DesertPrince_2_EN]|kr:[KR/DesertPrince_1_KR|KR/DesertPrince_2_KR]|jp:[JP/DesertPrince_1_JP|JP/DesertPrince_2_JP]|cn:[CN/DesertPrince_1_CN|CN/DesertPrince_2_CN]}
10050,[CN/Artificer_1_CN|CN/Artificer_2_CN],[EN/Artificer_1_EN|EN/Artificer_2_EN],[JP/Artificer_1_JP|JP/Artificer_2_JP],[KR/Artificer_1_KR|KR/Artificer_2_KR],{en:[EN/Artificer_1_EN|EN/Artificer_2_EN]|kr:[KR/Artificer_1_KR|KR/Artificer_2_KR]|jp:[JP/Artificer_1_JP|JP/Artificer_2_JP]|cn:[CN/Artificer_1_CN|CN/Artificer_2_CN]}
10051,[CN/Petalis_1_CN|CN/Petalis_2_CN],[EN/Petalis_1_EN|EN/Petalis_2_EN],[JP/Petalis_1_JP|JP/Petalis_2_JP],[KR/Petalis_1_KR|KR/Petalis_2_KR],{en:[EN/Petalis_1_EN|EN/Petalis_2_EN]|kr:[KR/Petalis_1_KR|KR/Petalis_2_KR]|jp:[JP/Petalis_1_JP|JP/Petalis_2_JP]|cn:[CN/Petalis_1_CN|CN/Petalis_2_CN]}
10052,[CN/Shadow_Priest_1_CN|CN/Shadow_Priest_2_CN],[EN/Shadow_Priest_1_EN|EN/Shadow_Priest_2_EN],[JP/Shadow_Priest_1_JP|JP/Shadow_Priest_2_JP],[KR/Shadow_Priest_1_KR|KR/Shadow_Priest_2_KR],{en:[EN/Shadow_Priest_1_EN|EN/Shadow_Priest_2_EN]|kr:[KR/Shadow_Priest_1_KR|KR/Shadow_Priest_2_KR]|jp:[JP/Shadow_Priest_1_JP|JP/Shadow_Priest_2_JP]|cn:[CN/Shadow_Priest_1_CN|CN/Shadow_Priest_2_CN]}
