id,cost,cost_1,cost_2,cost1Array,cost2Array,costArray,level,level_building,preview,quality_list,qualityList,reward_list,type,weight,weight_list,weight_list_1,weight_list_2,weight1,weight2,weightList,weightList1,weightList2
1023,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,23,120601|130601|130611|130621|130631|140601|140611|140621|140631|150601|150611|150621|150631,[2|3|4|5],[2|3|4|5],20062|20063|20064|20065,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1024,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,24,120601|130601|130611|130621|130631|140601|140611|140621|140631|150601|150611|150621|150631,[2|3|4|5],[2|3|4|5],20062|20063|20064|20065,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1025,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,25,120601|130601|130611|130621|130631|140601|140611|140621|140631|150601|150611|150621|150631,[2|3|4|5],[2|3|4|5],20062|20063|20064|20065,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1026,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,26,120601|130601|130611|130621|130631|140601|140611|140621|140631|150601|150611|150621|150631,[2|3|4|5],[2|3|4|5],20062|20063|20064|20065,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1027,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,27,120701|130701|130711|130721|130731|140701|140711|140721|140731|150701|150711|150721|150731,[2|3|4|5],[2|3|4|5],20072|20073|20074|20075,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1028,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,28,120701|130701|130711|130721|130731|140701|140711|140721|140731|150701|150711|150721|150731,[2|3|4|5],[2|3|4|5],20072|20073|20074|20075,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1029,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,29,120701|130701|130711|130721|130731|140701|140711|140721|140731|150701|150711|150721|150731,[2|3|4|5],[2|3|4|5],20072|20073|20074|20075,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1030,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,30,120701|130701|130711|130721|130731|140701|140711|140721|140731|150701|150711|150721|150731,[2|3|4|5],[2|3|4|5],20072|20073|20074|20075,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1031,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,31,120801|130801|130811|130821|130831|140801|140811|140821|140831|150801|150811|150821|150831,[2|3|4|5],[2|3|4|5],20082|20083|20084|20085,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1032,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,32,120801|130801|130811|130821|130831|140801|140811|140821|140831|150801|150811|150821|150831,[2|3|4|5],[2|3|4|5],20082|20083|20084|20085,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1033,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,33,120801|130801|130811|130821|130831|140801|140811|140821|140831|150801|150811|150821|150831,[2|3|4|5],[2|3|4|5],20082|20083|20084|20085,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1034,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,34,120801|130801|130811|130821|130831|140801|140811|140821|140831|150801|150811|150821|150831,[2|3|4|5],[2|3|4|5],20082|20083|20084|20085,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1035,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,35,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1036,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,36,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1037,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,37,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1038,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,38,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1039,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,39,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1040,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,40,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1041,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,41,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1042,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,42,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1043,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,43,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1044,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,44,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1045,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,45,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1046,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,46,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1047,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,47,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1048,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,48,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1049,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,49,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1050,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,50,120901|130901|130911|130921|130931|140901|140911|140921|140931|150901|150911|150921|150931,[2|3|4|5],[2|3|4|5],20092|20093|20094|20095,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2004,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,4,210101|230101|230111|230121|230131|240101|240111|240121|240131,[2|3|4|5],[2|3|4|5],21012|21013|21014|21015,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2005,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,5,210101|230101|230111|230121|230131|240101|240111|240121|240131,[2|3|4|5],[2|3|4|5],21012|21013|21014|21015,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2006,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,6,210101|230101|230111|230121|230131|240101|240111|240121|240131,[2|3|4|5],[2|3|4|5],21012|21013|21014|21015,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2007,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,7,210201|230201|230211|230221|230231|240201|240211|240221|240231,[2|3|4|5],[2|3|4|5],21022|21023|21024|21025,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2008,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,8,210201|230201|230211|230221|230231|240201|240211|240221|240231,[2|3|4|5],[2|3|4|5],21022|21023|21024|21025,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2009,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,9,210201|230201|230211|230221|230231|240201|240211|240221|240231,[2|3|4|5],[2|3|4|5],21022|21023|21024|21025,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2010,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,10,210201|230201|230211|230221|230231|240201|240211|240221|240231,[2|3|4|5],[2|3|4|5],21022|21023|21024|21025,2,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
2011,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,11,220301|230301|230311|230321|230331|240301|240311|240321|240331|250301|250311|250321|250331,[2|3|4|5],[2|3|4|5],21032|21033|21034|21035,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2012,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,12,220301|230301|230311|230321|230331|240301|240311|240321|240331|250301|250311|250321|250331,[2|3|4|5],[2|3|4|5],21032|21033|21034|21035,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2013,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,13,220301|230301|230311|230321|230331|240301|240311|240321|240331|250301|250311|250321|250331,[2|3|4|5],[2|3|4|5],21032|21033|21034|21035,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2014,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,14,220301|230301|230311|230321|230331|240301|240311|240321|240331|250301|250311|250321|250331,[2|3|4|5],[2|3|4|5],21032|21033|21034|21035,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2015,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,15,220401|230401|230411|230421|230431|240401|240411|240421|240431|250401|250411|250421|250431,[2|3|4|5],[2|3|4|5],21042|21043|21044|21045,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2016,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,16,220401|230401|230411|230421|230431|240401|240411|240421|240431|250401|250411|250421|250431,[2|3|4|5],[2|3|4|5],21042|21043|21044|21045,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2017,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,17,220401|230401|230411|230421|230431|240401|240411|240421|240431|250401|250411|250421|250431,[2|3|4|5],[2|3|4|5],21042|21043|21044|21045,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2018,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,18,220401|230401|230411|230421|230431|240401|240411|240421|240431|250401|250411|250421|250431,[2|3|4|5],[2|3|4|5],21042|21043|21044|21045,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2019,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,19,220501|230501|230511|230521|230531|240501|240511|240521|240531|250501|250511|250521|250531,[2|3|4|5],[2|3|4|5],21052|21053|21054|21055,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2020,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,20,220501|230501|230511|230521|230531|240501|240511|240521|240531|250501|250511|250521|250531,[2|3|4|5],[2|3|4|5],21052|21053|21054|21055,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2021,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,21,220501|230501|230511|230521|230531|240501|240511|240521|240531|250501|250511|250521|250531,[2|3|4|5],[2|3|4|5],21052|21053|21054|21055,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2022,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,22,220501|230501|230511|230521|230531|240501|240511|240521|240531|250501|250511|250521|250531,[2|3|4|5],[2|3|4|5],21052|21053|21054|21055,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2023,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,23,220601|230601|230611|230621|230631|240601|240611|240621|240631|250601|250611|250621|250631,[2|3|4|5],[2|3|4|5],21062|21063|21064|21065,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2024,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,24,220601|230601|230611|230621|230631|240601|240611|240621|240631|250601|250611|250621|250631,[2|3|4|5],[2|3|4|5],21062|21063|21064|21065,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2025,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,25,220601|230601|230611|230621|230631|240601|240611|240621|240631|250601|250611|250621|250631,[2|3|4|5],[2|3|4|5],21062|21063|21064|21065,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2026,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,26,220601|230601|230611|230621|230631|240601|240611|240621|240631|250601|250611|250621|250631,[2|3|4|5],[2|3|4|5],21062|21063|21064|21065,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2027,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,27,220701|230701|230711|230721|230731|240701|240711|240721|240731|250701|250711|250721|250731,[2|3|4|5],[2|3|4|5],21072|21073|21074|21075,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2028,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,28,220701|230701|230711|230721|230731|240701|240711|240721|240731|250701|250711|250721|250731,[2|3|4|5],[2|3|4|5],21072|21073|21074|21075,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2029,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,29,220701|230701|230711|230721|230731|240701|240711|240721|240731|250701|250711|250721|250731,[2|3|4|5],[2|3|4|5],21072|21073|21074|21075,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2030,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,30,220701|230701|230711|230721|230731|240701|240711|240721|240731|250701|250711|250721|250731,[2|3|4|5],[2|3|4|5],21072|21073|21074|21075,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2031,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,31,220801|230801|230811|230821|230831|240801|240811|240821|240831|250801|250811|250821|250831,[2|3|4|5],[2|3|4|5],21082|21083|21084|21085,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2032,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,32,220801|230801|230811|230821|230831|240801|240811|240821|240831|250801|250811|250821|250831,[2|3|4|5],[2|3|4|5],21082|21083|21084|21085,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2033,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,33,220801|230801|230811|230821|230831|240801|240811|240821|240831|250801|250811|250821|250831,[2|3|4|5],[2|3|4|5],21082|21083|21084|21085,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
