id,taskConditionVo,type,achievement_point,icon,inherit_type,jumpParams,offsetPos,pre_task,reward,scene,season,show_progress,task_condition,task_condition_num,task_discription,task_group,task_guide,task_guide_mun,task_type,taskConditionType,week
5105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,53,1,[116],1,42,5
5106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,54,3,[15111|25111|25121],1,46,5
5107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,55,1,[125],1,62,5
5108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,56,1,[136],1,32,5
5109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,57,12,[116],1,50,5
5111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,59,12,[116],1,204,5
5112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,60,12,[63],1,53,5
6101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,61,1,[151],1,84,6
6102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,62,13,[109],1,RallyMonster,6
6103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,63,8,[101],1,60,6
6104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,64,12,[59],1,RelicTreasure,6
6105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,65,1,[116],1,42,6
6106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,66,3,[15111|25111|25121],1,46,6
6107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,67,1,[125],1,62,6
6108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,68,1,[136],1,32,6
6109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,69,12,[116],1,50,6
6111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,71,12,[116],1,204,6
6112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,72,12,[63],1,53,6
7101,TaskConditionBaseVO,Weekly,5,icon_Achievement_1,1,[151],,-1,-1,0,1,1,84,15,task_season_dec_84,85,1,[151],1,84,7
7102,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[109],,-1,-1,0,1,1,401,"109001,109002,109003,109004,109005,109006,109007,109008|10",task_season_dec_401,86,13,[109],1,RallyMonster,7
7103,TaskConditionBaseVO,Weekly,5,icon_Achievement_2,1,[101],,-1,-1,2,1,1,60,300,task_season_dec_60,87,8,[101],1,60,7
7104,TaskConditionBaseVO,Weekly,5,icon_Achievement_3,1,[59],,-1,-1,0,1,1,85,15|2,task_season_dec_85,88,12,[59],1,RelicTreasure,7
7105,TaskConditionBaseVO,Weekly,5,icon_Achievement_4,1,[116],,-1,-1,0,1,1,42,50,task_season_dec_42,89,1,[116],1,42,7
7106,TaskConditionBaseVO,Weekly,5,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,1,1,46,"51,52,53|15",task_season_dec_46,90,3,[15111|25111|25121],1,46,7
7107,TaskConditionBaseVO,Weekly,5,icon_Achievement_5,1,[125],,-1,-1,0,1,1,62,1000,task_desc_62_0,91,1,[125],1,62,7
7108,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,1,1,32,5,task_season_dec_32,92,1,[136],1,32,7
7109,TaskConditionBaseVO,Weekly,5,icon_Achievement_7,1,[116],,-1,-1,0,1,1,50,25,task_dec_xuanshang,93,12,[116],1,50,7
7111,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[116],,-1,-1,0,1,1,204,10,task_season_dec_204,95,12,[116],1,204,7
7112,TaskConditionBaseVO,Weekly,5,icon_Achievement_9,1,[63],,-1,-1,0,1,1,53,284|1000,task_season_dec_53,96,12,[63],1,53,7
20201,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,-1,-1,-1,1,1,211,3,task_season_dec_211,1002,-1,,2,211,-1
20202,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20201,-1,-1,1,1,211,5,task_season_dec_211,1002,-1,,2,211,-1
20203,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20202,-1,-1,1,1,211,10,task_season_dec_211,1002,-1,,2,211,-1
20204,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20203,-1,-1,1,1,211,20,task_season_dec_211,1002,-1,,2,211,-1
20205,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20204,-1,-1,1,1,211,30,task_season_dec_211,1002,-1,,2,211,-1
20206,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20205,-1,-1,1,1,211,45,task_season_dec_211,1002,-1,,2,211,-1
20207,TaskConditionBaseVO,Longterm,10,icon_Achievement_11,1,[],,20206,-1,-1,1,1,211,60,task_season_dec_211,1002,-1,,2,211,-1
20301,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,-1,-1,-1,1,1,205,3,task_season_dec_205,1003,20,[1707],2,205,-1
20302,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20301,-1,-1,1,1,205,5,task_season_dec_205,1003,20,[1707],2,205,-1
20303,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20302,-1,-1,1,1,205,10,task_season_dec_205,1003,20,[1707],2,205,-1
20304,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20303,-1,-1,1,1,205,20,task_season_dec_205,1003,20,[1707],2,205,-1
20305,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20304,-1,-1,1,1,205,30,task_season_dec_205,1003,20,[1707],2,205,-1
20306,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20305,-1,-1,1,1,205,40,task_season_dec_205,1003,20,[1707],2,205,-1
20307,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20306,-1,-1,1,1,205,50,task_season_dec_205,1003,20,[1707],2,205,-1
20308,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20307,-1,-1,1,1,205,60,task_season_dec_205,1003,20,[1707],2,205,-1
20309,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20308,-1,-1,1,1,205,70,task_season_dec_205,1003,20,[1707],2,205,-1
20310,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20309,-1,-1,1,1,205,80,task_season_dec_205,1003,20,[1707],2,205,-1
20401,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,-1,-1,-1,1,1,206,3,task_season_dec_206,1004,20,[1707],2,206,-1
20402,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20401,-1,-1,1,1,206,5,task_season_dec_206,1004,20,[1707],2,206,-1
20403,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20402,-1,-1,1,1,206,10,task_season_dec_206,1004,20,[1707],2,206,-1
20404,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20403,-1,-1,1,1,206,15,task_season_dec_206,1004,20,[1707],2,206,-1
20405,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20404,-1,-1,1,1,206,20,task_season_dec_206,1004,20,[1707],2,206,-1
20406,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20405,-1,-1,1,1,206,30,task_season_dec_206,1004,20,[1707],2,206,-1
20407,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20406,-1,-1,1,1,206,40,task_season_dec_206,1004,20,[1707],2,206,-1
20408,TaskConditionBaseVO,Longterm,10,icon_Achievement_10,1,[1707],,20407,-1,-1,1,1,206,50,task_season_dec_206,1004,20,[1707],2,206,-1
20501,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,-1,-1,-1,1,1,207,5,task_season_dec_207,1005,-1,,2,207,-1
20502,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20501,-1,-1,1,1,207,10,task_season_dec_207,1005,-1,,2,207,-1
20503,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20502,-1,-1,1,1,207,15,task_season_dec_207,1005,-1,,2,207,-1
20504,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20503,-1,-1,1,1,207,20,task_season_dec_207,1005,-1,,2,207,-1
20505,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20504,-1,-1,1,1,207,25,task_season_dec_207,1005,-1,,2,207,-1
20506,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20505,-1,-1,1,1,207,30,task_season_dec_207,1005,-1,,2,207,-1
20507,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20506,-1,-1,1,1,207,35,task_season_dec_207,1005,-1,,2,207,-1
20508,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20507,-1,-1,1,1,207,40,task_season_dec_207,1005,-1,,2,207,-1
20509,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20508,-1,-1,1,1,207,45,task_season_dec_207,1005,-1,,2,207,-1
20510,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20509,-1,-1,1,1,207,50,task_season_dec_207,1005,-1,,2,207,-1
20601,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,-1,-1,-1,1,1,208,5,task_season_dec_208,1006,20,[88],2,208,-1
20602,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20601,-1,-1,1,1,208,10,task_season_dec_208,1006,20,[88],2,208,-1
20603,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20602,-1,-1,1,1,208,15,task_season_dec_208,1006,20,[88],2,208,-1
20604,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20603,-1,-1,1,1,208,20,task_season_dec_208,1006,20,[88],2,208,-1
20605,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20604,-1,-1,1,1,208,25,task_season_dec_208,1006,20,[88],2,208,-1
20606,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20605,-1,-1,1,1,208,30,task_season_dec_208,1006,20,[88],2,208,-1
20607,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20606,-1,-1,1,1,208,35,task_season_dec_208,1006,20,[88],2,208,-1
20608,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20607,-1,-1,1,1,208,40,task_season_dec_208,1006,20,[88],2,208,-1
20609,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20608,-1,-1,1,1,208,45,task_season_dec_208,1006,20,[88],2,208,-1
20610,TaskConditionBaseVO,Longterm,10,icon_Achievement_6,1,[88],,20609,-1,-1,1,1,208,50,task_season_dec_208,1006,20,[88],2,208,-1
20701,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,-1,-1,-1,1,1,209,5,task_season_dec_209,1007,-1,,2,209,-1
20702,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20701,-1,-1,1,1,209,10,task_season_dec_209,1007,-1,,2,209,-1
20703,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20702,-1,-1,1,1,209,15,task_season_dec_209,1007,-1,,2,209,-1
20704,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20703,-1,-1,1,1,209,20,task_season_dec_209,1007,-1,,2,209,-1
20705,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20704,-1,-1,1,1,209,25,task_season_dec_209,1007,-1,,2,209,-1
20706,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20705,-1,-1,1,1,209,30,task_season_dec_209,1007,-1,,2,209,-1
20707,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20706,-1,-1,1,1,209,35,task_season_dec_209,1007,-1,,2,209,-1
20708,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20707,-1,-1,1,1,209,40,task_season_dec_209,1007,-1,,2,209,-1
20709,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20708,-1,-1,1,1,209,45,task_season_dec_209,1007,-1,,2,209,-1
20710,TaskConditionBaseVO,Longterm,10,icon_Achievement_7,1,[],,20709,-1,-1,1,1,209,50,task_season_dec_209,1007,-1,,2,209,-1
200011,TaskConditionBaseVO,Weekly,1,icon_Achievement_1,1,[151],,-1,-1,0,2,1,84,3,task_season_dec_84,101,1,[151],1,84,0
200012,TaskConditionBaseVO,Weekly,2,icon_Achievement_1,1,[151],,200011,-1,0,2,1,84,8,task_season_dec_84,101,1,[151],1,84,0
200013,TaskConditionBaseVO,Weekly,3,icon_Achievement_1,1,[151],,200012,-1,0,2,1,84,15,task_season_dec_84,101,1,[151],1,84,0
200021,TaskConditionBaseVO,Weekly,1,icon_Achievement_11,1,[109],,-1,-1,0,2,1,401,"209001,209002,209003,209004,209005,209006,209007,209008,209009|3",task_season_dec_401,102,13,[109],1,RallyMonster,0
200022,TaskConditionBaseVO,Weekly,2,icon_Achievement_11,1,[109],,200021,-1,0,2,1,401,"209001,209002,209003,209004,209005,209006,209007,209008,209009|5",task_season_dec_401,102,13,[109],1,RallyMonster,0
200023,TaskConditionBaseVO,Weekly,3,icon_Achievement_11,1,[109],,200022,-1,0,2,1,401,"209001,209002,209003,209004,209005,209006,209007,209008,209009|10",task_season_dec_401,102,13,[109],1,RallyMonster,0
200031,TaskConditionBaseVO,Weekly,1,icon_Achievement_2,1,[101],,-1,-1,2,2,1,60,300,task_season_dec_60,103,8,[101],1,60,0
200032,TaskConditionBaseVO,Weekly,2,icon_Achievement_2,1,[101],,200031,-1,2,2,1,60,1200,task_season_dec_60,103,8,[101],1,60,0
200033,TaskConditionBaseVO,Weekly,3,icon_Achievement_2,1,[101],,200032,-1,2,2,1,60,2100,task_season_dec_60,103,8,[101],1,60,0
200041,TaskConditionBaseVO,Weekly,1,icon_Achievement_3,1,[59],,-1,-1,0,2,1,85,3|2,task_season_dec_85,104,12,[59],1,RelicTreasure,0
200042,TaskConditionBaseVO,Weekly,2,icon_Achievement_3,1,[59],,200041,-1,0,2,1,85,8|2,task_season_dec_85,104,12,[59],1,RelicTreasure,0
200043,TaskConditionBaseVO,Weekly,3,icon_Achievement_3,1,[59],,200042,-1,0,2,1,85,15|2,task_season_dec_85,104,12,[59],1,RelicTreasure,0
200051,TaskConditionBaseVO,Weekly,1,icon_Achievement_4,1,[116],,-1,-1,0,2,1,42,10,task_season_dec_42,105,1,[116],1,42,0
200052,TaskConditionBaseVO,Weekly,2,icon_Achievement_4,1,[116],,200051,-1,0,2,1,42,20,task_season_dec_42,105,1,[116],1,42,0
200053,TaskConditionBaseVO,Weekly,3,icon_Achievement_4,1,[116],,200052,-1,0,2,1,42,40,task_season_dec_42,105,1,[116],1,42,0
200061,TaskConditionBaseVO,Weekly,1,icon_Achievement_11,1,[15111|25111|25121],,-1,-1,1,2,1,46,"51,52,53|3",task_season_dec_46,106,3,[15111|25111|25121],1,46,0
200062,TaskConditionBaseVO,Weekly,2,icon_Achievement_11,1,[15111|25111|25121],,200061,-1,1,2,1,46,"51,52,53|8",task_season_dec_46,106,3,[15111|25111|25121],1,46,0
200063,TaskConditionBaseVO,Weekly,3,icon_Achievement_11,1,[15111|25111|25121],,200062,-1,1,2,1,46,"51,52,53|15",task_season_dec_46,106,3,[15111|25111|25121],1,46,0
200071,TaskConditionBaseVO,Weekly,1,icon_Achievement_5,1,[125],,-1,-1,0,2,1,62,200,task_desc_62_0,107,1,[125],1,62,0
200072,TaskConditionBaseVO,Weekly,2,icon_Achievement_5,1,[125],,200071,-1,0,2,1,62,500,task_desc_62_0,107,1,[125],1,62,0
200073,TaskConditionBaseVO,Weekly,3,icon_Achievement_5,1,[125],,200072,-1,0,2,1,62,1000,task_desc_62_0,107,1,[125],1,62,0
200081,TaskConditionBaseVO,Weekly,5,icon_Achievement_6,1,[136],,-1,-1,0,2,1,32,3,task_season_dec_32,108,1,[136],1,32,0
200091,TaskConditionBaseVO,Weekly,1,icon_Achievement_7,1,[116],,-1,-1,0,2,1,50,5,task_dec_xuanshang,109,12,[116],1,50,0
200092,TaskConditionBaseVO,Weekly,2,icon_Achievement_7,1,[116],,200091,-1,0,2,1,50,15,task_dec_xuanshang,109,12,[116],1,50,0
200093,TaskConditionBaseVO,Weekly,3,icon_Achievement_7,1,[116],,200092,-1,0,2,1,50,25,task_dec_xuanshang,109,12,[116],1,50,0
200101,TaskConditionBaseVO,Weekly,1,icon_Achievement_9,1,[116],,-1,-1,0,2,1,204,3,task_season_dec_204,110,12,[116],1,204,0
200102,TaskConditionBaseVO,Weekly,2,icon_Achievement_9,1,[116],,200101,-1,0,2,1,204,5,task_season_dec_204,110,12,[116],1,204,0
