id,condition_refresh,last_time,rare,relevance_task,type,weight_refresh
301,1|1,2160,5,10201,2,0
302,1|1,2160,5,10202,2,5
303,1|1,2160,5,10203,2,5
304,1|1,2160,5,10204,2,5
305,1|1,2160,5,10205,2,5
306,1|1,2160,5,10206,2,5
307,1|1,2160,5,10207,2,5
308,1|1,2160,5,10208,2,5
309,1|1,2160,5,10209,2,5
310,1|1,2160,5,10210,2,5
311,1|1,2160,5,10211,2,5
312,1|1,2160,5,10212,2,5
313,1|1,2160,5,10213,2,5
314,1|1,2160,5,10214,2,5
315,1|1,2160,5,10215,2,5
316,1|1,2160,5,10216,2,5
317,1|1,2160,5,10217,2,5
318,1|1,2160,5,10218,2,5
319,1|1,2160,5,10219,2,5
320,1|1,2160,5,10220,2,0
1001,1|1,2160,3,10401,2,0
1002,1|1,2160,3,10402,2,0
1003,1|1,2160,3,10403,2,0
321,1|1,2160,5,10534,2,0
322,1|1,2160,5,10535,2,8
323,1|1,2160,5,10537,2,8
324,1|1,2160,5,10538,2,0
325,1|1,2160,5,10539,2,0
326,1|1,2160,5,10536,2,0
327,1|1,2160,5,10540,2,0
328,1|1,2160,5,10541,2,0
2001,1|1,-1,4,10501,1,10
2002,1|1,-1,4,10502,1,0
2003,1|1,-1,4,10503,1,10
2004,1|1,-1,4,10504,1,10
2005,1|1,-1,4,10505,1,10
2006,1|1,-1,4,10506,1,10
2007,1|1,-1,4,10507,1,10
2008,1|1,-1,4,10508,1,10
2009,1|1,-1,4,10509,1,10
2010,1|1,-1,4,10510,1,10
2011,1|1,-1,4,10511,1,10
2012,1|1,-1,4,10512,1,10
2013,1|1,-1,4,10513,1,10
2014,1|1,-1,4,10514,1,10
2015,1|1,-1,4,10515,1,10
2016,1|1,-1,4,10516,1,10
2017,1|1,-1,4,10517,1,10
2018,1|1,-1,4,10518,1,10
2019,1|1,-1,4,10519,1,10
2020,1|1,-1,4,10520,1,0
2021,1|1,-1,4,10529,1,0
2022,1|1,-1,4,10530,1,10
2024,1|1,-1,4,10531,1,10
2025,1|1,-1,4,10532,1,0
2026,1|1,-1,4,10533,1,0
2101,1|1,-1,5,10551,1,0
2102,1|1,-1,5,10552,1,0
2103,1|1,-1,5,10553,1,5
2104,1|1,-1,5,10554,1,5
2105,1|1,-1,5,10555,1,5
2106,1|1,-1,5,10556,1,5
2107,1|1,-1,5,10557,1,5
2108,1|1,-1,5,10558,1,5
2109,1|1,-1,5,10559,1,5
2110,1|1,-1,5,10560,1,5
2111,1|1,-1,5,10561,1,5
2112,1|1,-1,5,10562,1,5
2113,1|1,-1,5,10563,1,5
2114,1|1,-1,5,10564,1,5
2115,1|1,-1,5,10565,1,5
2116,1|1,-1,5,10566,1,5
2117,1|1,-1,5,10567,1,5
2118,1|1,-1,5,10568,1,5
2119,1|1,-1,5,10569,1,5
2120,1|1,-1,5,10570,1,0
2130,1|1,-1,5,10523,1,0
2131,1|1,-1,5,10527,1,0
2132,1|1,-1,5,10528,1,0
2133,1|1,-1,5,10521,1,0
2134,1|1,-1,5,10522,1,8
2135,1|1,-1,5,10524,1,8
2136,1|1,-1,5,10525,1,0
2137,1|1,-1,5,10526,1,0
