id,group,group_index,is_abbreviate,reward,scene,show_progress,task_button,task_condition,task_condition_num,task_condition_para,task_discription,task_guide,task_guide_num,task_icon,task_inherit,taskConditionNumArr,taskGuideNumArr
10308,103,8,-1,5402,1,1,1,21,[3|100],,task_achievement_desc_103,1,[114],,1,[3|100],[114]
10401,104,1,-1,5402,1,1,1,21,[4|1],,task_achievement_desc_104,1,[114],,1,[4|1],[114]
10402,104,2,-1,5402,1,1,1,21,[4|3],,task_achievement_desc_104,1,[114],,1,[4|3],[114]
10403,104,3,-1,5402,1,1,1,21,[4|5],,task_achievement_desc_104,1,[114],,1,[4|5],[114]
10404,104,4,-1,5402,1,1,1,21,[4|10],,task_achievement_desc_104,1,[114],,1,[4|10],[114]
10405,104,5,-1,5402,1,1,1,21,[4|20],,task_achievement_desc_104,1,[114],,1,[4|20],[114]
10406,104,6,-1,5402,1,1,1,21,[4|30],,task_achievement_desc_104,1,[114],,1,[4|30],[114]
10407,104,7,-1,5402,1,1,1,21,[4|40],,task_achievement_desc_104,1,[114],,1,[4|40],[114]
10408,104,8,-1,5402,1,1,1,21,[4|50],,task_achievement_desc_104,1,[114],,1,[4|50],[114]
10501,105,1,-1,5402,1,1,1,21,[5|1],,task_achievement_desc_105,1,[114],,1,[5|1],[114]
10502,105,2,-1,5402,1,1,1,21,[5|3],,task_achievement_desc_105,1,[114],,1,[5|3],[114]
10503,105,3,-1,5402,1,1,1,21,[5|5],,task_achievement_desc_105,1,[114],,1,[5|5],[114]
10504,105,4,-1,5402,1,1,1,21,[5|10],,task_achievement_desc_105,1,[114],,1,[5|10],[114]
10505,105,5,-1,5402,1,1,1,21,[5|15],,task_achievement_desc_105,1,[114],,1,[5|15],[114]
10506,105,6,-1,5402,1,1,1,21,[5|20],,task_achievement_desc_105,1,[114],,1,[5|20],[114]
10507,105,7,-1,5402,1,1,1,21,[5|25],,task_achievement_desc_105,1,[114],,1,[5|25],[114]
10508,105,8,-1,5402,1,1,1,21,[5|30],,task_achievement_desc_105,1,[114],,1,[5|30],[114]
10601,106,1,1,506050102,-1,-1,1,2010,[1|30],,task_achievement_desc_spark6,25,[45],,-1,[1|30],[45]
10701,107,1,1,506050101,-1,-1,1,2010,[1|14],,task_achievement_desc_spark5,25,[45],,-1,[1|14],[45]
20101,201,1,-1,5402,1,-1,1,4,[110],,task_achievement_desc_20101,1,[110],,-1,[110],[110]
20102,201,2,-1,5402,1,-1,1,4,[106],,task_achievement_desc_20102,1,[106],,-1,[106],[106]
20103,201,3,-1,5402,1,-1,1,4,[107],,task_achievement_desc_20103,1,[107],,-1,[107],[107]
20105,201,4,-1,5402,1,-1,1,4,[115],,task_achievement_desc_20105,1,[115],,-1,[115],[115]
20106,201,5,-1,5402,1,-1,1,4,[113],,task_achievement_desc_20106,1,[113],,-1,[113],[113]
20107,201,6,-1,5402,1,-1,1,4,[116],,task_achievement_desc_20107,1,[116],,-1,[116],[116]
20108,201,7,-1,5402,1,-1,1,4,[114],,task_achievement_desc_20108,1,[114],,-1,[114],[114]
20301,203,1,-1,5402,1,1,1,10,[10],,task_achievement_desc_203,1,[113],,1,[10],[113]
20302,203,2,-1,5402,1,1,1,10,[30],,task_achievement_desc_203,1,[113],,1,[30],[113]
20303,203,3,-1,5402,1,1,1,10,[50],,task_achievement_desc_203,1,[113],,1,[50],[113]
20304,203,4,-1,5402,1,1,1,10,[100],,task_achievement_desc_203,1,[113],,1,[100],[113]
20305,203,5,-1,5402,1,1,1,10,[150],,task_achievement_desc_203,1,[113],,1,[150],[113]
20306,203,6,-1,5402,1,1,1,10,[200],,task_achievement_desc_203,1,[113],,1,[200],[113]
20307,203,7,-1,5402,1,1,1,10,[300],,task_achievement_desc_203,1,[113],,1,[300],[113]
20308,203,8,-1,5402,1,1,1,10,[500],,task_achievement_desc_203,1,[113],,1,[500],[113]
20401,204,1,-1,5402,1,1,1,11,[10],,task_achievement_desc_204,1,[106],,1,[10],[106]
20402,204,2,-1,5402,1,1,1,11,[30],,task_achievement_desc_204,1,[106],,1,[30],[106]
20403,204,3,-1,5402,1,1,1,11,[50],,task_achievement_desc_204,1,[106],,1,[50],[106]
20404,204,4,-1,5402,1,1,1,11,[100],,task_achievement_desc_204,1,[106],,1,[100],[106]
20405,204,5,-1,5402,1,1,1,11,[150],,task_achievement_desc_204,1,[106],,1,[150],[106]
20406,204,6,-1,5402,1,1,1,11,[200],,task_achievement_desc_204,1,[106],,1,[200],[106]
20407,204,7,-1,5402,1,1,1,11,[300],,task_achievement_desc_204,1,[106],,1,[300],[106]
20408,204,8,-1,5402,1,1,1,11,[500],,task_achievement_desc_204,1,[106],,1,[500],[106]
20501,205,1,-1,5402,1,1,1,5,[4|1000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|1000],[101|102|103|104|105|106|107|108|109|110|111]
20502,205,2,-1,5402,1,1,1,5,[4|2000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|2000],[101|102|103|104|105|106|107|108|109|110|111]
20503,205,3,-1,5402,1,1,1,5,[4|5000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|5000],[101|102|103|104|105|106|107|108|109|110|111]
20504,205,4,-1,5402,1,1,1,5,[4|10000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|10000],[101|102|103|104|105|106|107|108|109|110|111]
20505,205,5,-1,5402,1,1,1,5,[4|50000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|50000],[101|102|103|104|105|106|107|108|109|110|111]
20506,205,6,-1,5402,1,1,1,5,[4|100000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|100000],[101|102|103|104|105|106|107|108|109|110|111]
20507,205,7,-1,5402,1,1,1,5,[4|500000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|500000],[101|102|103|104|105|106|107|108|109|110|111]
20508,205,8,-1,5402,1,1,1,5,[4|1000000],,task_achievement_desc_205,3,[101|102|103|104|105|106|107|108|109|110|111],,1,[4|1000000],[101|102|103|104|105|106|107|108|109|110|111]
20601,206,1,-1,5402,1,1,1,5,[5|1000],,task_achievement_desc_206,3,[310],,1,[5|1000],[310]
20602,206,2,-1,5402,1,1,1,5,[5|2000],,task_achievement_desc_206,3,[310],,1,[5|2000],[310]
20603,206,3,-1,5402,1,1,1,5,[5|5000],,task_achievement_desc_206,3,[310],,1,[5|5000],[310]
20604,206,4,-1,5402,1,1,1,5,[5|10000],,task_achievement_desc_206,3,[310],,1,[5|10000],[310]
20605,206,5,-1,5402,1,1,1,5,[5|50000],,task_achievement_desc_206,3,[310],,1,[5|50000],[310]
20606,206,6,-1,5402,1,1,1,5,[5|100000],,task_achievement_desc_206,3,[310],,1,[5|100000],[310]
20607,206,7,-1,5402,1,1,1,5,[5|500000],,task_achievement_desc_206,3,[310],,1,[5|500000],[310]
20608,206,8,-1,5402,1,1,1,5,[5|1000000],,task_achievement_desc_206,3,[310],,1,[5|1000000],[310]
30101,301,1,-1,5402,1,1,1,1017,[3|2],,task_achievement_desc_30101,1,[115],,-1,[3|2],[115]
30102,301,2,-1,5402,1,1,1,1017,[3|3],,task_achievement_desc_30101,1,[115],,-1,[3|3],[115]
30103,301,3,-1,5402,1,1,1,1017,[3|4],,task_achievement_desc_30101,1,[115],,-1,[3|4],[115]
30104,301,4,-1,5402,1,1,1,1017,[3|5],,task_achievement_desc_30101,1,[115],,-1,[3|5],[115]
30105,301,5,-1,5402,1,1,1,1017,[3|6],,task_achievement_desc_30101,1,[115],,-1,[3|6],[115]
30201,302,1,-1,5402,1,1,1,1017,[4|2],,task_achievement_desc_30201,1,[115],,-1,[4|2],[115]
30202,302,2,-1,5402,1,1,1,1017,[4|4],,task_achievement_desc_30201,1,[115],,-1,[4|4],[115]
30203,302,3,-1,5402,1,1,1,1017,[4|5],,task_achievement_desc_30201,1,[115],,-1,[4|5],[115]
30204,302,4,-1,5402,1,1,1,1017,[4|6],,task_achievement_desc_30201,1,[115],,-1,[4|6],[115]
30205,302,5,-1,5402,1,1,1,1017,[4|7],,task_achievement_desc_30201,1,[115],,-1,[4|7],[115]
30206,302,6,-1,5402,1,1,1,1017,[4|8],,task_achievement_desc_30201,1,[115],,-1,[4|8],[115]
30301,303,1,-1,5402,1,1,1,1017,[5|1],,task_achievement_desc_30301,1,[115],,-1,[5|1],[115]
30302,303,2,-1,5402,1,1,1,1017,[5|3],,task_achievement_desc_30301,1,[115],,-1,[5|3],[115]
30303,303,3,-1,5402,1,1,1,1017,[5|5],,task_achievement_desc_30301,1,[115],,-1,[5|5],[115]
30304,303,4,-1,5402,1,1,1,1017,[5|7],,task_achievement_desc_30301,1,[115],,-1,[5|7],[115]
30305,303,5,-1,5402,1,1,1,1017,[5|10],,task_achievement_desc_30301,1,[115],,-1,[5|10],[115]
30306,303,6,-1,5402,1,1,1,1017,[5|15],,task_achievement_desc_30301,1,[115],,-1,[5|15],[115]
30401,304,1,-1,5402,1,1,1,1014,[10],,task_achievement_desc_304,1,[115],,-1,[10],[115]
30402,304,2,-1,5402,1,1,1,1014,[20],,task_achievement_desc_304,1,[115],,-1,[20],[115]
30403,304,3,-1,5402,1,1,1,1014,[30],,task_achievement_desc_304,1,[115],,-1,[30],[115]
30404,304,4,-1,5402,1,1,1,1014,[50],,task_achievement_desc_304,1,[115],,-1,[50],[115]
30405,304,5,-1,5402,1,1,1,1014,[100],,task_achievement_desc_304,1,[115],,-1,[100],[115]
30406,304,6,-1,5402,1,1,1,1014,[150],,task_achievement_desc_304,1,[115],,-1,[150],[115]
30407,304,7,-1,5402,1,1,1,1014,[200],,task_achievement_desc_304,1,[115],,-1,[200],[115]
30408,304,8,-1,5402,1,1,1,1014,[300],,task_achievement_desc_304,1,[115],,-1,[300],[115]
30501,305,1,-1,5402,-1,1,1,15,[100],,task_achievement_desc_305,2,[103|10201],,1,[100],[103|10201]
30502,305,2,-1,5402,-1,1,1,15,[200],,task_achievement_desc_305,2,[103|10201],,1,[200],[103|10201]
30503,305,3,-1,5402,-1,1,1,15,[300],,task_achievement_desc_305,2,[103|10201],,1,[300],[103|10201]
30504,305,4,-1,5402,-1,1,1,15,[400],,task_achievement_desc_305,2,[103|10201],,1,[400],[103|10201]
30505,305,5,-1,5402,-1,1,1,15,[500],,task_achievement_desc_305,2,[103|10201],,1,[500],[103|10201]
30506,305,6,-1,5402,-1,1,1,15,[600],,task_achievement_desc_305,2,[103|10201],,1,[600],[103|10201]
30507,305,7,-1,5402,-1,1,1,15,[800],,task_achievement_desc_305,2,[103|10201],,1,[800],[103|10201]
30508,305,8,-1,5402,-1,1,1,15,[1200],,task_achievement_desc_305,2,[103|10201],,1,[1200],[103|10201]
30509,305,9,-1,5402,-1,1,1,15,[1600],,task_achievement_desc_305,2,[103|10201],,1,[1600],[103|10201]
30510,305,10,-1,5402,-1,1,1,15,[2000],,task_achievement_desc_305,2,[103|10201],,1,[2000],[103|10201]
31101,311,1,-1,5402,-1,1,1,1018,[1|3],,task_achievement_desc_31101,2,[103|10201],,-1,[1|3],[103|10201]
31102,311,2,-1,5402,-1,1,1,1018,[1|5],,task_achievement_desc_31102,2,[103|10201],,-1,[1|5],[103|10201]
31103,311,3,-1,5402,-1,1,1,1018,[1|10],,task_achievement_desc_31103,2,[103|10201],,-1,[1|10],[103|10201]
31104,311,4,-1,5402,-1,1,1,1018,[1|15],,task_achievement_desc_31104,2,[103|10201],,-1,[1|15],[103|10201]
31105,311,5,-1,5402,-1,1,1,1018,[1|20],,task_achievement_desc_31105,2,[103|10201],,-1,[1|20],[103|10201]
31301,313,1,-1,5402,-1,1,1,1018,[3|2],,task_achievement_desc_31301,2,[103|10201],,-1,[3|2],[103|10201]
31302,313,2,-1,5402,-1,1,1,1018,[3|4],,task_achievement_desc_31302,2,[103|10201],,-1,[3|4],[103|10201]
31303,313,3,-1,5402,-1,1,1,1018,[3|7],,task_achievement_desc_31303,2,[103|10201],,-1,[3|7],[103|10201]
31304,313,4,-1,5402,-1,1,1,1018,[3|10],,task_achievement_desc_31304,2,[103|10201],,-1,[3|10],[103|10201]
31305,313,5,-1,5402,-1,1,1,1018,[3|15],,task_achievement_desc_31305,2,[103|10201],,-1,[3|15],[103|10201]
31501,315,1,-1,5402,-1,1,1,1018,[5|2],,task_achievement_desc_31501,2,[103|10201],,-1,[5|2],[103|10201]
31502,315,2,-1,5402,-1,1,1,1018,[5|4],,task_achievement_desc_31502,2,[103|10201],,-1,[5|4],[103|10201]
31503,315,3,-1,5402,-1,1,1,1018,[5|7],,task_achievement_desc_31503,2,[103|10201],,-1,[5|7],[103|10201]
31504,315,4,-1,5402,-1,1,1,1018,[5|10],,task_achievement_desc_31504,2,[103|10201],,-1,[5|10],[103|10201]
31505,315,5,-1,5402,-1,1,1,1018,[5|15],,task_achievement_desc_31505,2,[103|10201],,-1,[5|15],[103|10201]
40101,401,1,-1,5402,1,1,1,1038,[10],,task_achievement_desc_401,1,[118],,-1,[10],[118]
40102,401,2,-1,5402,1,1,1,1038,[20],,task_achievement_desc_401,1,[118],,-1,[20],[118]
40103,401,3,-1,5402,1,1,1,1038,[30],,task_achievement_desc_401,1,[118],,-1,[30],[118]
40104,401,4,-1,5402,1,1,1,1038,[45],,task_achievement_desc_401,1,[118],,-1,[45],[118]
40105,401,5,-1,5402,1,1,1,1038,[60],,task_achievement_desc_401,1,[118],,-1,[60],[118]
40106,401,6,-1,5402,1,1,1,1038,[75],,task_achievement_desc_401,1,[118],,-1,[75],[118]
40107,401,7,-1,5402,1,1,1,1038,[100],,task_achievement_desc_401,1,[118],,-1,[100],[118]
40108,401,8,-1,5402,1,1,1,1038,[125],,task_achievement_desc_401,1,[118],,-1,[125],[118]
40109,401,9,-1,5402,1,1,1,1038,[150],,task_achievement_desc_401,1,[118],,-1,[150],[118]
40201,402,1,-1,5402,-1,1,1,26,[25],,task_achievement_desc_402,7,[4],,1,[25],[4]
40202,402,2,-1,5402,-1,1,1,26,[50],,task_achievement_desc_402,7,[4],,1,[50],[4]
40203,402,3,-1,5402,-1,1,1,26,[75],,task_achievement_desc_402,7,[4],,1,[75],[4]
40204,402,4,-1,5402,-1,1,1,26,[100],,task_achievement_desc_402,7,[4],,1,[100],[4]
40205,402,5,-1,5402,-1,1,1,26,[150],,task_achievement_desc_402,7,[4],,1,[150],[4]
40206,402,6,-1,5402,-1,1,1,26,[200],,task_achievement_desc_402,7,[4],,1,[200],[4]
40207,402,7,-1,5402,-1,1,1,26,[300],,task_achievement_desc_402,7,[4],,1,[300],[4]
40208,402,8,-1,5402,-1,1,1,26,[400],,task_achievement_desc_402,7,[4],,1,[400],[4]
40209,402,9,-1,5402,-1,1,1,26,[500],,task_achievement_desc_402,7,[4],,1,[500],[4]
50101,501,1,-1,5402,1,1,1,101,[117|10],,task_achievement_desc_501,1,[117],,-1,[117|10],[117]
50102,501,2,-1,5402,1,1,1,101,[117|15],,task_achievement_desc_501,1,[117],,-1,[117|15],[117]
50103,501,3,-1,5402,1,1,1,101,[117|20],,task_achievement_desc_501,1,[117],,-1,[117|20],[117]
50104,501,4,-1,5402,1,1,1,101,[117|25],,task_achievement_desc_501,1,[117],,-1,[117|25],[117]
50105,501,5,-1,5402,1,1,1,101,[117|30],,task_achievement_desc_501,1,[117],,-1,[117|30],[117]
50106,501,6,-1,5402,1,1,1,101,[117|35],,task_achievement_desc_501,1,[117],,-1,[117|35],[117]
50107,501,7,-1,5402,1,1,1,101,[117|40],,task_achievement_desc_501,1,[117],,-1,[117|40],[117]
50201,502,1,-1,5402,1,1,1,101,[110|10],,task_achievement_desc_502,1,[110],,-1,[110|10],[110]
50202,502,2,-1,5402,1,1,1,101,[110|15],,task_achievement_desc_502,1,[110],,-1,[110|15],[110]
50203,502,3,-1,5402,1,1,1,101,[110|20],,task_achievement_desc_502,1,[110],,-1,[110|20],[110]
50204,502,4,-1,5402,1,1,1,101,[110|25],,task_achievement_desc_502,1,[110],,-1,[110|25],[110]
50205,502,5,-1,5402,1,1,1,101,[110|30],,task_achievement_desc_502,1,[110],,-1,[110|30],[110]
50206,502,6,-1,5402,1,1,1,101,[110|35],,task_achievement_desc_502,1,[110],,-1,[110|35],[110]
50207,502,7,-1,5402,1,1,1,101,[110|40],,task_achievement_desc_502,1,[110],,-1,[110|40],[110]
50301,503,1,-1,5402,1,1,1,101,[107|10],,task_achievement_desc_503,1,[107],,-1,[107|10],[107]
50302,503,2,-1,5402,1,1,1,101,[107|15],,task_achievement_desc_503,1,[107],,-1,[107|15],[107]
50303,503,3,-1,5402,1,1,1,101,[107|20],,task_achievement_desc_503,1,[107],,-1,[107|20],[107]
50304,503,4,-1,5402,1,1,1,101,[107|25],,task_achievement_desc_503,1,[107],,-1,[107|25],[107]
50305,503,5,-1,5402,1,1,1,101,[107|30],,task_achievement_desc_503,1,[107],,-1,[107|30],[107]
50306,503,6,-1,5402,1,1,1,101,[107|35],,task_achievement_desc_503,1,[107],,-1,[107|35],[107]
50307,503,7,-1,5402,1,1,1,101,[107|40],,task_achievement_desc_503,1,[107],,-1,[107|40],[107]
50401,504,1,-1,5402,1,1,1,101,[106|10],,task_achievement_desc_504,1,[106],,-1,[106|10],[106]
50402,504,2,-1,5402,1,1,1,101,[106|15],,task_achievement_desc_504,1,[106],,-1,[106|15],[106]
50403,504,3,-1,5402,1,1,1,101,[106|20],,task_achievement_desc_504,1,[106],,-1,[106|20],[106]
50404,504,4,-1,5402,1,1,1,101,[106|25],,task_achievement_desc_504,1,[106],,-1,[106|25],[106]
50405,504,5,-1,5402,1,1,1,101,[106|30],,task_achievement_desc_504,1,[106],,-1,[106|30],[106]
50406,504,6,-1,5402,1,1,1,101,[106|35],,task_achievement_desc_504,1,[106],,-1,[106|35],[106]
50407,504,7,-1,5402,1,1,1,101,[106|40],,task_achievement_desc_504,1,[106],,-1,[106|40],[106]
50501,505,1,-1,5402,1,1,1,101,[116|10],,task_achievement_desc_505,1,[113],,-1,[116|10],[113]
50502,505,2,-1,5402,1,1,1,101,[116|15],,task_achievement_desc_505,1,[113],,-1,[116|15],[113]
50503,505,3,-1,5402,1,1,1,101,[116|20],,task_achievement_desc_505,1,[113],,-1,[116|20],[113]
50504,505,4,-1,5402,1,1,1,101,[116|25],,task_achievement_desc_505,1,[113],,-1,[116|25],[113]
50505,505,5,-1,5402,1,1,1,101,[116|30],,task_achievement_desc_505,1,[113],,-1,[116|30],[113]
50506,505,6,-1,5402,1,1,1,101,[116|35],,task_achievement_desc_505,1,[113],,-1,[116|35],[113]
50507,505,7,-1,5402,1,1,1,101,[116|40],,task_achievement_desc_505,1,[113],,-1,[116|40],[113]
50601,506,1,-1,5402,1,1,1,101,[115|10],,task_achievement_desc_506,1,[114],,-1,[115|10],[114]
50602,506,2,-1,5402,1,1,1,101,[115|20],,task_achievement_desc_506,1,[114],,-1,[115|20],[114]
50603,506,3,-1,5402,1,1,1,101,[115|30],,task_achievement_desc_506,1,[114],,-1,[115|30],[114]
50604,506,4,-1,5402,1,1,1,101,[115|35],,task_achievement_desc_506,1,[114],,-1,[115|35],[114]
50605,506,5,-1,5402,1,1,1,101,[115|40],,task_achievement_desc_506,1,[114],,-1,[115|40],[114]
50701,507,1,-1,5402,1,1,1,101,[119|10],,task_achievement_desc_507,1,[119],,-1,[119|10],[119]
50702,507,2,-1,5402,1,1,1,101,[119|15],,task_achievement_desc_507,1,[119],,-1,[119|15],[119]
50703,507,3,-1,5402,1,1,1,101,[119|20],,task_achievement_desc_507,1,[119],,-1,[119|20],[119]
50704,507,4,-1,5402,1,1,1,101,[119|25],,task_achievement_desc_507,1,[119],,-1,[119|25],[119]
50705,507,5,-1,5402,1,1,1,101,[119|30],,task_achievement_desc_507,1,[119],,-1,[119|30],[119]
50706,507,6,-1,5402,1,1,1,101,[119|35],,task_achievement_desc_507,1,[119],,-1,[119|35],[119]
50707,507,7,-1,5402,1,1,1,101,[119|40],,task_achievement_desc_507,1,[119],,-1,[119|40],[119]
50801,508,1,-1,5402,1,1,1,101,[120|10],,task_achievement_desc_508,1,[120],,-1,[120|10],[120]
50802,508,2,-1,5402,1,1,1,101,[120|20],,task_achievement_desc_508,1,[120],,-1,[120|20],[120]
50803,508,3,-1,5402,1,1,1,101,[120|30],,task_achievement_desc_508,1,[120],,-1,[120|30],[120]
50804,508,4,-1,5402,1,1,1,101,[120|40],,task_achievement_desc_508,1,[120],,-1,[120|40],[120]
50901,509,1,-1,5402,1,1,1,101,[121|10],,task_achievement_desc_509,1,[121],,-1,[121|10],[121]
50902,509,2,-1,5402,1,1,1,101,[121|20],,task_achievement_desc_509,1,[121],,-1,[121|20],[121]
50903,509,3,-1,5402,1,1,1,101,[121|30],,task_achievement_desc_509,1,[121],,-1,[121|30],[121]
50904,509,4,-1,5402,1,1,1,101,[121|40],,task_achievement_desc_509,1,[121],,-1,[121|40],[121]
51001,510,1,-1,5402,1,1,1,101,[122|10],,task_achievement_desc_510,1,[122],,-1,[122|10],[122]
51002,510,2,-1,5402,1,1,1,101,[122|20],,task_achievement_desc_510,1,[122],,-1,[122|20],[122]
51003,510,3,-1,5402,1,1,1,101,[122|30],,task_achievement_desc_510,1,[122],,-1,[122|30],[122]
51004,510,4,-1,5402,1,1,1,101,[122|40],,task_achievement_desc_510,1,[122],,-1,[122|40],[122]
51101,511,1,-1,5402,1,1,1,101,[123|10],,task_achievement_desc_511,1,[123],,-1,[123|10],[123]
51102,511,2,-1,5402,1,1,1,101,[123|20],,task_achievement_desc_511,1,[123],,-1,[123|20],[123]
51103,511,3,-1,5402,1,1,1,101,[123|30],,task_achievement_desc_511,1,[123],,-1,[123|30],[123]
51104,511,4,-1,5402,1,1,1,101,[123|40],,task_achievement_desc_511,1,[123],,-1,[123|40],[123]
51201,512,1,-1,5402,1,1,1,101,[124|10],,task_achievement_desc_512,1,[124],,-1,[124|10],[124]
51202,512,2,-1,5402,1,1,1,101,[124|20],,task_achievement_desc_512,1,[124],,-1,[124|20],[124]
51203,512,3,-1,5402,1,1,1,101,[124|30],,task_achievement_desc_512,1,[124],,-1,[124|30],[124]
51204,512,4,-1,5402,1,1,1,101,[124|40],,task_achievement_desc_512,1,[124],,-1,[124|40],[124]
110101,1101,1,-1,5402,1,1,1,8,[100],,task_achievement_desc_monster,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,1,[100],[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911]
110102,1101,2,-1,5402,1,1,1,8,[300],,task_achievement_desc_monster,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,1,[300],[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911]
110103,1101,3,-1,5402,1,1,1,8,[500],,task_achievement_desc_monster,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,1,[500],[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911]
110201,1102,1,-1,5402,1,1,1,6,[15111|1],,task_achievement_desc_110201,3,[15111],,-1,[15111|1],[15111]
110202,1102,2,-1,5402,1,1,1,6,[25111|1],,task_achievement_desc_110202,3,[25111],,-1,[25111|1],[25111]
110203,1102,3,-1,5402,1,1,1,6,[25121|1],,task_achievement_desc_110203,3,[25121],,-1,[25121|1],[25121]
110301,1103,1,-1,5402,1,-1,1,2,[20021|9920021|8820021],,task_achievement_desc_110301,5,[20021|9920021|8820021],,-1,[20021|9920021|8820021],[20021|9920021|8820021]
110302,1103,2,-1,5402,1,-1,1,2,[20022|9920022|8820022],,task_achievement_desc_110302,5,[20022|9920022|8820022],,-1,[20022|9920022|8820022],[20022|9920022|8820022]
110303,1103,3,-1,5402,1,-1,1,2,[20023|9920023|8820023],,task_achievement_desc_110303,5,[20023|9920023|8820023],,-1,[20023|9920023|8820023],[20023|9920023|8820023]
110304,1103,4,-1,5402,1,-1,1,2,[20024|9920024|8820024],,task_achievement_desc_110304,5,[20024|9920024|8820024],,-1,[20024|9920024|8820024],[20024|9920024|8820024]
110401,1104,1,-1,5402,1,-1,1,2,[10201|9910201|8810201],,task_achievement_desc_110401,5,[10201|9910201|8810201],,-1,[10201|9910201|8810201],[10201|9910201|8810201]
110402,1104,2,-1,5402,1,-1,1,2,[10205|9910205|8810205],,task_achievement_desc_110402,5,[10205|9910205|8810205],,-1,[10205|9910205|8810205],[10205|9910205|8810205]
110403,1104,3,-1,5402,1,-1,1,2,[10208|9910208|8810208],,task_achievement_desc_110403,5,[10208|9910208|8810208],,-1,[10208|9910208|8810208],[10208|9910208|8810208]
110404,1104,4,-1,5402,1,-1,1,2,[10213|9910213|8810213],,task_achievement_desc_110404,5,[10213|9910213|8810213],,-1,[10213|9910213|8810213],[10213|9910213|8810213]
110405,1104,5,-1,5402,1,-1,1,2,[10219|9910219|8810219],,task_achievement_desc_110405,5,[10219|9910219|8810219],,-1,[10219|9910219|8810219],[10219|9910219|8810219]
