id,attr,dec,hero_group,name,open_server,power,serverLists,type
1103,18|1000,hero_link_dec_101,[10035|10036|10037],hero_link_name_101,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],1
1104,18|1500,hero_link_dec_101,[10039|10041|10045],hero_link_name_101,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],1
1105,"18|900,18|1500",hero_link_dec_101,[10041|10047|10048],hero_link_name_101,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],1
1106,"18|900,18|1500",hero_link_dec_101,[10043|10050|10031],hero_link_name_101,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],1
1107,"18|900,18|1500",hero_link_dec_101,[10037|10035|10054],hero_link_name_101,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],1
1201,19|1000,hero_link_dec_101,[10025|10018|10027],hero_link_name_201,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],2
1202,19|1000,hero_link_dec_101,[10020|10034|10028],hero_link_name_201,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],2
1203,19|1000,hero_link_dec_101,[10008|10019|10040],hero_link_name_201,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],2
1204,19|1500,hero_link_dec_101,[10033|10043|10046],hero_link_name_201,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],2
1205,19|1500,hero_link_dec_101,[10037|10042|10044],hero_link_name_201,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],2
1206,"19|900,19|1500",hero_link_dec_101,[10049|10042|10051],hero_link_name_201,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],2
1207,"19|900,19|1500",hero_link_dec_101,[10039|10017|10052],hero_link_name_201,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],2
1208,"19|900,19|1500",hero_link_dec_101,[10043|10018|10053],hero_link_name_201,[1|1005-9999|10108-99999],10000,[[1]|[1005|9999]|[10108|99999]],2
1301,104|500,hero_link_dec_101,[15032|10030],hero_link_name_301,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],3
1302,104|500,hero_link_dec_101,[10017|10023],hero_link_name_301,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],3
1303,104|500,hero_link_dec_101,[10021|10019],hero_link_name_301,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],3
1401,18|1500,hero_link_dec_101,[10033|10037|10039],hero_link_name_101,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],1
