id,dropReward,build_prefab,cab_score,desc,drop_show,first_drop_client,first_reward,gather_speed,gather_time,iconSrc,iconType,is_visible,kvk_honor,level,lifetime,load_factor,map_instance,map_stage,map_zoom_icon,model,model_unlock,name,need_level,new_ui_banner,resource_type,reward,reward_time,scale_para,show_group,show_need_level,storage,tech_detail,x_para,y_para
111,6101,1,-1,map_resource_desc_101,6101,6101,6101,36,4,gather_res_4,2,1,-1,11,7200,5,20011,-1,SLG_res_01,res_wood_001,res_wood_001,map_resource_name_101,0,banner_bubble_Building_101,4,-1,3600,1,-1,-1,2160000,-1,0,0
501,6151,1,-1,map_resource_desc_501,6151,7351,7351,6,4,gather_res_5,2,1,-1,1,1800,5,21001,24501,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,18000,-1,0,0
502,6151,1,-1,map_resource_desc_501,6151,7352,7352,9,4,gather_res_5,2,1,-1,2,1800,5,21002,24502,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,90000,-1,0,0
503,6151,1,-1,map_resource_desc_501,6151,7353,7353,12,4,gather_res_5,2,1,-1,3,1800,5,21003,24503,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,180000,-1,0,0
504,6151,1,-1,map_resource_desc_501,6151,7354,7354,15,4,gather_res_5,2,1,-1,4,1800,5,21004,24504,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,360000,-1,0,0
505,6151,1,-1,map_resource_desc_501,6151,7355,7355,18,4,gather_res_5,2,1,-1,5,1800,5,21005,24505,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,720000,-1,0,0
506,6151,1,-1,map_resource_desc_501,6151,7356,7356,21,4,gather_res_5,2,1,-1,6,1800,5,21006,24506,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,1080000,-1,0,0
507,6151,1,-1,map_resource_desc_501,6151,7357,7357,24,4,gather_res_5,2,1,-1,7,1800,5,21007,24507,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,1260000,-1,0,0
508,6151,1,-1,map_resource_desc_501,6151,7358,7358,27,4,gather_res_5,2,1,-1,8,1800,5,21008,24508,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,1440000,-1,0,0
509,6151,1,-1,map_resource_desc_501,6151,7359,7359,30,4,gather_res_5,2,1,-1,9,1800,5,21009,24509,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,1620000,-1,0,0
510,6151,1,-1,map_resource_desc_501,6151,7360,7360,36,4,gather_res_5,2,1,-1,10,1800,5,21010,24510,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,1,1,1800000,-1,0,0
511,6151,1,-1,map_resource_desc_501,6151,6151,6151,36,4,gather_res_5,2,1,-1,11,7200,5,21011,-1,SLG_res_02,res_stone_001,res_stone_001,map_resource_name_501,0,banner_bubble_Building_201,5,-1,3600,1,-1,-1,2160000,-1,0,0
701,6171,1,-1,map_resource_desc_701,6171,7361,7361,8,8,gather_res_6,2,1,-1,1,1800,10,22001,24701,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,6000,-1,0,0
702,6171,1,-1,map_resource_desc_701,6171,7362,7362,12,8,gather_res_6,2,1,-1,2,1800,10,22002,24702,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,30000,-1,0,0
703,6171,1,-1,map_resource_desc_701,6171,7363,7363,16,8,gather_res_6,2,1,-1,3,1800,10,22003,24703,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,60000,-1,0,0
704,6171,1,-1,map_resource_desc_701,6171,7364,7364,20,8,gather_res_6,2,1,-1,4,1800,10,22004,24704,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,120000,-1,0,0
705,6171,1,-1,map_resource_desc_701,6171,7365,7365,24,8,gather_res_6,2,1,-1,5,1800,10,22005,24705,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,240000,-1,0,0
706,6171,1,-1,map_resource_desc_701,6171,7366,7366,32,8,gather_res_6,2,1,-1,6,1800,10,22006,24706,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,360000,-1,0,0
707,6171,1,-1,map_resource_desc_701,6171,7367,7367,36,8,gather_res_6,2,1,-1,7,1800,10,22007,24707,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,420000,-1,0,0
708,6171,1,-1,map_resource_desc_701,6171,7368,7368,40,8,gather_res_6,2,1,-1,8,1800,10,22008,24708,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,480000,-1,0,0
709,6171,1,-1,map_resource_desc_701,6171,7369,7369,44,8,gather_res_6,2,1,-1,9,1800,10,22009,24709,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,540000,-1,0,0
710,6171,1,-1,map_resource_desc_701,6171,7370,7370,48,8,gather_res_6,2,1,-1,10,1800,10,22010,24710,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,2,1,600000,-1,0,0
711,6171,1,-1,map_resource_desc_701,6171,6171,6171,48,8,gather_res_6,2,1,-1,11,7200,10,22010,-1,SLG_res_03,res_redgem_001,res_redgem_001,map_resource_name_701,0,banner_bubble_Building_301,6,-1,-1,1,-1,-1,720000,-1,0,0
1001,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,1,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,banner_bubble_Building_10,7,29701,-1,1,-1,-1,1,-1,0,0
1002,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,2,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,banner_bubble_Building_10,7,29702,-1,1,-1,-1,1,-1,0,0
1003,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,3,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,banner_bubble_Building_10,7,29703,-1,1,-1,-1,1,-1,0,0
1004,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,4,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,banner_bubble_Building_10,7,29704,-1,1,-1,-1,1,-1,0,0
1005,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,5,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,banner_bubble_Building_10,7,29705,-1,1,-1,-1,1,-1,0,0
1006,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,6,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1007,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,7,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1008,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,8,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1009,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,9,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1010,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,10,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1011,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,11,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1012,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,12,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1013,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,13,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1014,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,14,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1015,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,15,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1016,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,16,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1017,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,17,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1018,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,18,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1019,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,19,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1020,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,20,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1021,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,21,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1022,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,22,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1023,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,23,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1024,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,24,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1025,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,25,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1026,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,26,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1027,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,27,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1028,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,28,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1029,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,29,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1030,6171,1,-1,map_resource_desc_1001,6171,,-1,1,5,gather_res_6,2,1,-1,30,28800,1,22010,-1,world_simple_thor,task_help,task_help,map_resource_name_1001,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1101,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,1,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,banner_bubble_Building_11,7,29701,-1,1,-1,-1,1,-1,0,0
1102,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,2,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,banner_bubble_Building_11,7,29702,-1,1,-1,-1,1,-1,0,0
1103,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,3,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,banner_bubble_Building_11,7,29703,-1,1,-1,-1,1,-1,0,0
1104,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,4,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,banner_bubble_Building_11,7,29704,-1,1,-1,-1,1,-1,0,0
1105,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,5,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,banner_bubble_Building_11,7,29705,-1,1,-1,-1,1,-1,0,0
1106,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,6,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1107,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,7,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1108,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,8,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1109,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,9,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1110,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,10,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1111,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,11,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1112,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,12,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1113,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,13,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1114,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,14,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1115,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,15,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1116,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,16,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1117,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,17,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1118,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,18,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1119,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,19,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1120,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,20,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1121,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,21,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1122,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,22,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1123,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,23,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1124,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,24,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1125,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,25,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1126,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,26,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1127,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,27,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1128,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,28,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1129,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,29,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1130,6171,1,-1,map_resource_desc_1101,6171,,-1,1,150,gather_res_5,2,1,-1,30,28800,1,22010,-1,world_simple_thor,task_treasure,task_treasure,map_resource_name_1101,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1201,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,1,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,banner_bubble_Building_9,7,29701,-1,1,-1,-1,1,-1,0,0
1202,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,2,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,banner_bubble_Building_9,7,29702,-1,1,-1,-1,1,-1,0,0
1203,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,3,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,banner_bubble_Building_9,7,29703,-1,1,-1,-1,1,-1,0,0
1204,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,4,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,banner_bubble_Building_9,7,29704,-1,1,-1,-1,1,-1,0,0
1205,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,5,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,banner_bubble_Building_9,7,29705,-1,1,-1,-1,1,-1,0,0
1206,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,6,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1207,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,7,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1208,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,8,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1209,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,9,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1210,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,10,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1211,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,11,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1212,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,12,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1213,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,13,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1214,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,14,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1215,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,15,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1216,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,16,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1217,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,17,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1218,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,18,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
1219,6171,1,-1,map_resource_desc_1201,6171,,-1,1,1,gather_res_4,2,1,-1,19,28800,1,22010,-1,world_simple_diamond,task_escort,task_escort,map_resource_name_1201,0,,7,-1,-1,1,-1,-1,1,-1,0,0
