id,battle_icon,bounty_point,build_desc,build_prefab,build_type,buildArea,building_image,coordinate_x,coordinate_y,desc,effect,effect_icon,enemy,first_condition,first_occupied_alliance,first_occupied_personal,force_capacity,fortree_small_icon,gvg_type,height,index,last_time,ligeance_height,ligeance_width,name,note,offset,pointType,prefab,scorePerson,scoreTeam,size,socre_alliance,socre_personal,thumbnail_pos,width,x,y,zoom_icon
3001104,icon_building_battlefield_7,0,,,9,MapArea,banner_bubble_Battlefield_7,75,69,gvg4_buid_desc009,,,-1,300,300,300,-1,icon_mini_battlefield7,3,2,17,20,8,8,gvg_building004,魔能矿场(上),,-1,gvg_building004,450,450,150,75,75,,2,75,69,icon_mini_battlefield7
3001103,icon_building_battlefield_5,0,,,9,MapArea,banner_bubble_Battlefield_5,97,69,gvg4_buid_desc008,1|19|2000,,-1,300,120,120,-1,icon_mini_battlefield5,3,2,18,20,8,8,gvg_building003,部落堡垒(上),,-1,gvg_building003,180,180,150,30,30,,2,97,69,icon_mini_battlefield5
3001105,icon_building_battlefield_6,0,,,9,MapArea,banner_bubble_Battlefield_6,97,189,gvg4_buid_desc006,1|18|2000,,-1,300,120,120,-1,icon_mini_battlefield6,3,2,19,20,8,8,gvg_building001,联盟哨站(下),,-1,gvg_building001,180,180,150,30,30,,2,97,189,icon_mini_battlefield6
3001106,icon_building_battlefield_4,0,,,9,MapArea,banner_bubble_Battlefield_4,75,189,gvg4_buid_desc007,2|4,,-1,300,60,60,-1,icon_mini_battlefield4,3,2,20,20,8,8,gvg_building002,妖精之泉(下),,-1,gvg_building002,90,90,150,15,15,,2,75,189,icon_mini_battlefield4
3001108,icon_building_battlefield_7,0,,,9,MapArea,banner_bubble_Battlefield_7,55,189,gvg4_buid_desc009,,,-1,300,300,300,-1,icon_mini_battlefield7,3,2,21,20,8,8,gvg_building004,魔能矿场(下),,-1,gvg_building004,450,450,150,75,75,,2,55,189,icon_mini_battlefield7
3001107,icon_building_battlefield_5,0,,,9,MapArea,banner_bubble_Battlefield_5,31,189,gvg4_buid_desc008,1|19|2000,,-1,300,120,120,-1,icon_mini_battlefield5,3,2,22,20,8,8,gvg_building003,部落堡垒(下),,-1,gvg_building003,180,180,150,30,30,,2,31,189,icon_mini_battlefield5
3001109,icon_building_gvg4_001,0,,,9,MapArea,banner_bubble_gvg4_001,48,104,gvg4_buid_desc001,1|10003|2000,,-1,900,600,600,-1,icon_mini_gvg4_5,3,3,23,30,11,11,gvg4_building001,自然核心,,-1,gvg4_building001,600,600,150,100,100,,3,48,104,icon_mini_gvg4_5
3001110,icon_building_gvg4_002,0,,,9,MapArea,banner_bubble_gvg4_002,84,104,gvg4_buid_desc002,1|10004|2000,,-1,900,600,600,-1,icon_mini_gvg4_5,3,3,24,30,11,11,gvg4_building002,魔能旋涡,,-1,gvg4_building002,600,600,150,100,100,,3,84,104,icon_mini_gvg4_5
3001111,icon_building_gvg4_003,0,,,9,MapArea,banner_bubble_gvg4_003,48,158,gvg4_buid_desc003,1|10003|2000,,-1,900,600,600,-1,icon_mini_gvg4_5,3,3,25,30,11,11,gvg4_building003,冰魄结晶,,-1,gvg4_building003,600,600,150,100,100,,3,48,158,icon_mini_gvg4_5
3001112,icon_building_gvg4_004,0,,,9,MapArea,banner_bubble_gvg4_004,84,158,gvg4_buid_desc004,1|10004|2000,,-1,900,600,600,-1,icon_mini_gvg4_5,3,3,26,30,11,11,gvg4_building004,炽岩晶核,,-1,gvg4_building004,600,600,150,100,100,,3,84,158,icon_mini_gvg4_5
3001113,icon_building_gvg4_005,0,,,9,MapArea,banner_bubble_gvg4_005,64,128,gvg4_buid_desc005,,,-1,1500,1800,1800,-1,icon_mini_battlefield1,3,4,27,30,16,16,gvg4_building005,王座,,-1,gvg4_building005,1800,1800,150,300,300,,4,64,128,icon_mini_battlefield1
3001114,icon_building_mofata,0,,,19,MapArea,banner_bubble_Building_23,64,112,frostfield_battle_name_12,4|200,,-1,1500,600,600,-1,,3,2,28,30,-1,-1,frostfield_battle_name_8,浮空哨塔I（上）,,-1,throne_gvg_tower,600,600,150,100,100,,2,64,112,icon_mini_gvg4_5
3001115,icon_building_mofata,0,,,19,MapArea,banner_bubble_Building_23,64,140,frostfield_battle_name_12,4|200,,-1,1500,600,600,-1,,3,2,29,30,-1,-1,frostfield_battle_name_9,浮空哨塔II（下）,,-1,throne_gvg_tower,600,600,150,100,100,,2,64,140,icon_mini_gvg4_5
3001116,icon_building_mofata,0,,,19,MapArea,banner_bubble_Building_23,50,126,frostfield_battle_name_12,4|200,,-1,1500,600,600,-1,,3,2,30,30,-1,-1,frostfield_battle_name_10,浮空哨塔III（左）,,-1,throne_gvg_tower,600,600,150,100,100,,2,50,126,icon_mini_gvg4_5
3001117,icon_building_mofata,0,,,19,MapArea,banner_bubble_Building_23,78,126,frostfield_battle_name_12,4|200,,-1,1500,600,600,-1,,3,2,31,30,-1,-1,frostfield_battle_name_11,浮空哨塔IV（右）,,-1,throne_gvg_tower,600,600,150,100,100,,2,78,126,icon_mini_gvg4_5
