id,group_limit,group_limit_num,group_order,group_pre,tab_id,task_count
1707,-1,,1707,-1,207,1
1708,-1,,1708,-1,207,1
1709,-1,,1709,-1,207,1
1710,-1,,1710,-1,207,1
1711,-1,,1711,-1,207,1
1712,-1,,1712,-1,207,1
1713,-1,,1713,-1,207,1
1714,-1,,1714,-1,207,1
1715,-1,,1715,-1,207,1
1716,-1,,1716,-1,207,1
1717,-1,,1717,-1,207,1
1718,-1,,1718,-1,207,1
1719,-1,,1719,-1,207,1
1720,-1,,1720,-1,207,1
1721,-1,,1721,-1,207,1
1722,-1,,1722,-1,207,1
1723,-1,,1723,-1,207,1
1724,-1,,1724,-1,207,1
1725,-1,,1725,-1,207,1
1726,-1,,1726,-1,207,1
1727,-1,,1727,-1,207,1
1728,-1,,1728,-1,207,1
1729,-1,,1729,-1,207,1
1730,-1,,1730,-1,207,1
1731,-1,,1731,-1,207,1
1732,-1,,1732,-1,207,1
1733,-1,,1733,-1,207,1
1734,-1,,1734,-1,207,1
1735,-1,,1735,-1,207,1
1736,-1,,1736,-1,207,1
1737,-1,,1737,-1,207,1
1738,-1,,1738,-1,207,1
1739,-1,,1739,-1,207,1
1740,-1,,1740,-1,207,1
1801,-1,,1801,-1,208,1
1802,-1,,1802,-1,208,1
1803,-1,,1803,-1,208,1
1804,-1,,1804,-1,208,1
1805,-1,,1805,-1,208,1
1806,-1,,1806,-1,208,1
1807,-1,,1807,-1,208,1
1808,-1,,1808,-1,208,1
1809,-1,,1809,-1,208,1
1810,-1,,1810,-1,208,1
1811,-1,,1811,-1,208,1
1812,-1,,1812,-1,208,1
1813,-1,,1813,-1,208,1
1814,-1,,1814,-1,208,1
1815,-1,,1815,-1,208,1
1816,-1,,1816,-1,208,1
1817,-1,,1817,-1,208,1
1818,-1,,1818,-1,208,1
1819,-1,,1819,-1,208,1
1820,-1,,1820,-1,208,1
1821,-1,,1821,-1,208,1
1822,-1,,1822,-1,208,1
1823,-1,,1823,-1,208,1
1824,-1,,1824,-1,208,1
1825,-1,,1825,-1,208,1
1826,-1,,1826,-1,208,1
1827,-1,,1827,-1,208,1
1828,-1,,1828,-1,208,1
1829,-1,,1829,-1,208,1
1830,-1,,1830,-1,208,1
1831,-1,,1831,-1,208,1
1832,-1,,1832,-1,208,1
1833,-1,,1833,-1,208,1
1834,-1,,1834,-1,208,1
1835,-1,,1835,-1,208,1
1836,-1,,1836,-1,208,1
1837,-1,,1837,-1,208,1
1838,-1,,1838,-1,208,1
1839,-1,,1839,-1,208,1
1840,-1,,1840,-1,208,1
1901,-1,,1901,-1,209,1
1902,-1,,1902,-1,209,1
1903,-1,,1903,-1,209,1
1904,-1,,1904,-1,209,1
1905,-1,,1905,-1,209,1
1906,-1,,1906,-1,209,1
1907,-1,,1907,-1,209,1
1908,-1,,1908,-1,209,1
1909,-1,,1909,-1,209,1
1910,-1,,1910,-1,209,1
1911,-1,,1911,-1,209,1
1912,-1,,1912,-1,209,1
1913,-1,,1913,-1,209,1
1914,-1,,1914,-1,209,1
1915,-1,,1915,-1,209,1
1916,-1,,1916,-1,209,1
1917,-1,,1917,-1,209,1
1918,-1,,1918,-1,209,1
1919,-1,,1919,-1,209,1
1920,-1,,1920,-1,209,1
1921,-1,,1921,-1,209,1
1922,-1,,1922,-1,209,1
1923,-1,,1923,-1,209,1
1924,-1,,1924,-1,209,1
1925,-1,,1925,-1,209,1
1926,-1,,1926,-1,209,1
1927,-1,,1927,-1,209,1
1928,-1,,1928,-1,209,1
1929,-1,,1929,-1,209,1
1930,-1,,1930,-1,209,1
1931,-1,,1931,-1,209,1
1932,-1,,1932,-1,209,1
1933,-1,,1933,-1,209,1
1934,-1,,1934,-1,209,1
1935,-1,,1935,-1,209,1
1936,-1,,1936,-1,209,1
1937,-1,,1937,-1,209,1
1938,-1,,1938,-1,209,1
1939,-1,,1939,-1,209,1
1940,-1,,1940,-1,209,1
2001,-1,,2001,-1,210,1
2002,-1,,2002,-1,210,1
2003,-1,,2003,-1,210,1
2004,-1,,2004,-1,210,1
2005,-1,,2005,-1,210,1
2006,-1,,2006,-1,210,1
2007,-1,,2007,-1,210,1
2008,-1,,2008,-1,210,1
2009,-1,,2009,-1,210,1
2010,-1,,2010,-1,210,1
2011,-1,,2011,-1,210,1
2012,-1,,2012,-1,210,1
2013,-1,,2013,-1,210,1
2014,-1,,2014,-1,210,1
2015,-1,,2015,-1,210,1
2016,-1,,2016,-1,210,1
2017,-1,,2017,-1,210,1
2018,-1,,2018,-1,210,1
2019,-1,,2019,-1,210,1
2020,-1,,2020,-1,210,1
2021,-1,,2021,-1,210,1
2022,-1,,2022,-1,210,1
2023,-1,,2023,-1,210,1
2024,-1,,2024,-1,210,1
2025,-1,,2025,-1,210,1
2026,-1,,2026,-1,210,1
2027,-1,,2027,-1,210,1
2028,-1,,2028,-1,210,1
2029,-1,,2029,-1,210,1
2030,-1,,2030,-1,210,1
2031,-1,,2031,-1,210,1
2032,-1,,2032,-1,210,1
2033,-1,,2033,-1,210,1
2034,-1,,2034,-1,210,1
2035,-1,,2035,-1,210,1
2036,-1,,2036,-1,210,1
2037,-1,,2037,-1,210,1
2038,-1,,2038,-1,210,1
2039,-1,,2039,-1,210,1
2040,-1,,2040,-1,210,1
2101,-1,,2101,-1,211,1
2102,-1,,2102,-1,211,1
2103,-1,,2103,-1,211,1
2104,-1,,2104,-1,211,1
2105,-1,,2105,-1,211,1
2106,-1,,2106,-1,211,1
2107,-1,,2107,-1,211,1
2108,-1,,2108,-1,211,1
2109,-1,,2109,-1,211,1
2110,-1,,2110,-1,211,1
2111,-1,,2111,-1,211,1
2112,-1,,2112,-1,211,1
2113,-1,,2113,-1,211,1
2114,-1,,2114,-1,211,1
2115,-1,,2115,-1,211,1
2116,-1,,2116,-1,211,1
2117,-1,,2117,-1,211,1
2118,-1,,2118,-1,211,1
2119,-1,,2119,-1,211,1
2120,-1,,2120,-1,211,1
2121,-1,,2121,-1,211,1
2122,-1,,2122,-1,211,1
2123,-1,,2123,-1,211,1
2124,-1,,2124,-1,211,1
2125,-1,,2125,-1,211,1
2126,-1,,2126,-1,211,1
2127,-1,,2127,-1,211,1
2128,-1,,2128,-1,211,1
2129,-1,,2129,-1,211,1
2130,-1,,2130,-1,211,1
2131,-1,,2131,-1,211,1
2132,-1,,2132,-1,211,1
2133,-1,,2133,-1,211,1
2134,-1,,2134,-1,211,1
2135,-1,,2135,-1,211,1
2136,-1,,2136,-1,211,1
2137,-1,,2137,-1,211,1
2138,-1,,2138,-1,211,1
2139,-1,,2139,-1,211,1
2140,-1,,2140,-1,211,1
2201,-1,,107,-1,212,1
2202,-1,,102,-1,212,1
2203,-1,,101,-1,212,1
