id,attribute,attrs,cost,costNoBack,fightforce,lv_up_cost_no_back,model_id,pre_building_level,preBuildLv,star,star_up_cost,star_up_costs,starPowers
32213,[66|4170],[[66|4170]],[[2|206|155]],[],[1854],,322,[117|10],[117|10],13,[2|206|155],[[2|206|155]],[1854]
32214,[66|4525],[[66|4525]],[[2|206|155]],[],[2012],,322,[117|10],[117|10],14,[2|206|155],[[2|206|155]],[2012]
32215,[66|4880],[[66|4880]],[[2|206|180]],[],[2169],,322,[117|10],[117|10],15,[2|206|180],[[2|206|180]],[2169]
32216,[66|5235],[[66|5235]],[[2|206|180]],[],[2327],,322,[117|10],[117|10],16,[2|206|180],[[2|206|180]],[2327]
32217,[66|5590],[[66|5590]],[[2|206|220]],[],[2485],,322,[117|10],[117|10],17,[2|206|220],[[2|206|220]],[2485]
32218,[66|5945],[[66|5945]],[[2|206|220]],[],[2643],,322,[117|10],[117|10],18,[2|206|220],[[2|206|220]],[2643]
32219,[66|6300],[[66|6300]],[[2|206|265]],[],[2800],,322,[117|10],[117|10],19,[2|206|265],[[2|206|265]],[2800]
32220,[66|7715],[[66|7715]],[[2|206|355]],[],[3429],,322,[117|10],[117|10],20,[2|206|355],[[2|206|355]],[3429]
32301,[65|30],[[65|30]],[[2|206|45]],[],[120],,323,[117|0],[117|0],1,[2|206|45],[[2|206|45]],[120]
32302,[65|60],[[65|60]],[[2|206|55]],[],[240],,323,[117|0],[117|0],2,[2|206|55],[[2|206|55]],[240]
32303,[65|90],[[65|90]],[[2|206|60]],[],[360],,323,[117|0],[117|0],3,[2|206|60],[[2|206|60]],[360]
32304,[65|120],[[65|120]],[[2|206|65]],[],[480],,323,[117|0],[117|0],4,[2|206|65],[[2|206|65]],[480]
32305,[65|150],[[65|150]],[[2|206|70]],[],[600],,323,[117|0],[117|0],5,[2|206|70],[[2|206|70]],[600]
32306,[65|180],[[65|180]],[[2|206|75]],[],[720],,323,[117|0],[117|0],6,[2|206|75],[[2|206|75]],[720]
32307,[65|210],[[65|210]],[[2|206|80]],[],[840],,323,[117|0],[117|0],7,[2|206|80],[[2|206|80]],[840]
32308,[65|240],[[65|240]],[[2|206|90]],[],[960],,323,[117|0],[117|0],8,[2|206|90],[[2|206|90]],[960]
32309,[65|270],[[65|270]],[[2|206|135]],[],[1080],,323,[117|0],[117|0],9,[2|206|135],[[2|206|135]],[1080]
32310,[65|380],[[65|380]],[[2|206|180]],[],[1520],,323,[117|0],[117|0],10,[2|206|180],[[2|206|180]],[1520]
32311,[65|420],[[65|420]],[[2|206|135]],[],[1680],,323,[117|10],[117|10],11,[2|206|135],[[2|206|135]],[1680]
32312,[65|460],[[65|460]],[[2|206|135]],[],[1840],,323,[117|10],[117|10],12,[2|206|135],[[2|206|135]],[1840]
32313,[65|500],[[65|500]],[[2|206|155]],[],[2000],,323,[117|10],[117|10],13,[2|206|155],[[2|206|155]],[2000]
32314,[65|540],[[65|540]],[[2|206|155]],[],[2160],,323,[117|10],[117|10],14,[2|206|155],[[2|206|155]],[2160]
32315,[65|580],[[65|580]],[[2|206|180]],[],[2320],,323,[117|10],[117|10],15,[2|206|180],[[2|206|180]],[2320]
32316,[65|620],[[65|620]],[[2|206|180]],[],[2480],,323,[117|10],[117|10],16,[2|206|180],[[2|206|180]],[2480]
32317,[65|660],[[65|660]],[[2|206|220]],[],[2640],,323,[117|10],[117|10],17,[2|206|220],[[2|206|220]],[2640]
32318,[65|700],[[65|700]],[[2|206|220]],[],[2800],,323,[117|10],[117|10],18,[2|206|220],[[2|206|220]],[2800]
32319,[65|740],[[65|740]],[[2|206|265]],[],[2960],,323,[117|10],[117|10],19,[2|206|265],[[2|206|265]],[2960]
32320,[65|900],[[65|900]],[[2|206|355]],[],[3600],,323,[117|10],[117|10],20,[2|206|355],[[2|206|355]],[3600]
32401,[66|240],[[66|240]],[[2|206|45]],[],[107],,324,[117|0],[117|0],1,[2|206|45],[[2|206|45]],[107]
32402,[66|480],[[66|480]],[[2|206|55]],[],[214],,324,[117|0],[117|0],2,[2|206|55],[[2|206|55]],[214]
32403,[66|720],[[66|720]],[[2|206|60]],[],[320],,324,[117|0],[117|0],3,[2|206|60],[[2|206|60]],[320]
32404,[66|960],[[66|960]],[[2|206|65]],[],[427],,324,[117|0],[117|0],4,[2|206|65],[[2|206|65]],[427]
32405,[66|1200],[[66|1200]],[[2|206|70]],[],[534],,324,[117|0],[117|0],5,[2|206|70],[[2|206|70]],[534]
32406,[66|1440],[[66|1440]],[[2|206|75]],[],[640],,324,[117|0],[117|0],6,[2|206|75],[[2|206|75]],[640]
32407,[66|1680],[[66|1680]],[[2|206|80]],[],[747],,324,[117|0],[117|0],7,[2|206|80],[[2|206|80]],[747]
32408,[66|1920],[[66|1920]],[[2|206|90]],[],[854],,324,[117|0],[117|0],8,[2|206|90],[[2|206|90]],[854]
32409,[66|2160],[[66|2160]],[[2|206|135]],[],[960],,324,[117|0],[117|0],9,[2|206|135],[[2|206|135]],[960]
32410,[66|3105],[[66|3105]],[[2|206|180]],[],[1380],,324,[117|0],[117|0],10,[2|206|180],[[2|206|180]],[1380]
32411,[66|3460],[[66|3460]],[[2|206|135]],[],[1538],,324,[117|10],[117|10],11,[2|206|135],[[2|206|135]],[1538]
32412,[66|3815],[[66|3815]],[[2|206|135]],[],[1696],,324,[117|10],[117|10],12,[2|206|135],[[2|206|135]],[1696]
32413,[66|4170],[[66|4170]],[[2|206|155]],[],[1854],,324,[117|10],[117|10],13,[2|206|155],[[2|206|155]],[1854]
32414,[66|4525],[[66|4525]],[[2|206|155]],[],[2012],,324,[117|10],[117|10],14,[2|206|155],[[2|206|155]],[2012]
32415,[66|4880],[[66|4880]],[[2|206|180]],[],[2169],,324,[117|10],[117|10],15,[2|206|180],[[2|206|180]],[2169]
32416,[66|5235],[[66|5235]],[[2|206|180]],[],[2327],,324,[117|10],[117|10],16,[2|206|180],[[2|206|180]],[2327]
32417,[66|5590],[[66|5590]],[[2|206|220]],[],[2485],,324,[117|10],[117|10],17,[2|206|220],[[2|206|220]],[2485]
32418,[66|5945],[[66|5945]],[[2|206|220]],[],[2643],,324,[117|10],[117|10],18,[2|206|220],[[2|206|220]],[2643]
32419,[66|6300],[[66|6300]],[[2|206|265]],[],[2800],,324,[117|10],[117|10],19,[2|206|265],[[2|206|265]],[2800]
32420,[66|7715],[[66|7715]],[[2|206|355]],[],[3429],,324,[117|10],[117|10],20,[2|206|355],[[2|206|355]],[3429]
41101,[65|55],[[65|55]],[[2|206|90]],[],[220],,411,[117|0],[117|0],1,[2|206|90],[[2|206|90]],[220]
41102,[65|110],[[65|110]],[[2|206|110]],[],[440],,411,[117|0],[117|0],2,[2|206|110],[[2|206|110]],[440]
41103,[65|165],[[65|165]],[[2|206|115]],[],[660],,411,[117|0],[117|0],3,[2|206|115],[[2|206|115]],[660]
41104,[65|220],[[65|220]],[[2|206|125]],[],[880],,411,[117|0],[117|0],4,[2|206|125],[[2|206|125]],[880]
41105,[65|275],[[65|275]],[[2|206|135]],[],[1100],,411,[117|0],[117|0],5,[2|206|135],[[2|206|135]],[1100]
41106,[65|330],[[65|330]],[[2|206|145]],[],[1320],,411,[117|0],[117|0],6,[2|206|145],[[2|206|145]],[1320]
41107,[65|385],[[65|385]],[[2|206|160]],[],[1540],,411,[117|0],[117|0],7,[2|206|160],[[2|206|160]],[1540]
41108,[65|440],[[65|440]],[[2|206|180]],[],[1760],,411,[117|0],[117|0],8,[2|206|180],[[2|206|180]],[1760]
41109,[65|495],[[65|495]],[[2|206|265]],[],[1980],,411,[117|0],[117|0],9,[2|206|265],[[2|206|265]],[1980]
41110,[65|710],[[65|710]],[[2|206|355]],[],[2840],,411,[117|0],[117|0],10,[2|206|355],[[2|206|355]],[2840]
41111,[65|790],[[65|790]],[[2|206|265]],[],[3160],,411,[117|10],[117|10],11,[2|206|265],[[2|206|265]],[3160]
41112,[65|870],[[65|870]],[[2|206|265]],[],[3480],,411,[117|10],[117|10],12,[2|206|265],[[2|206|265]],[3480]
41113,[65|950],[[65|950]],[[2|206|310]],[],[3800],,411,[117|10],[117|10],13,[2|206|310],[[2|206|310]],[3800]
41114,[65|1030],[[65|1030]],[[2|206|310]],[],[4120],,411,[117|10],[117|10],14,[2|206|310],[[2|206|310]],[4120]
41115,[65|1110],[[65|1110]],[[2|206|355]],[],[4440],,411,[117|10],[117|10],15,[2|206|355],[[2|206|355]],[4440]
41116,[65|1190],[[65|1190]],[[2|206|355]],[],[4760],,411,[117|10],[117|10],16,[2|206|355],[[2|206|355]],[4760]
41117,[65|1270],[[65|1270]],[[2|206|440]],[],[5080],,411,[117|10],[117|10],17,[2|206|440],[[2|206|440]],[5080]
41118,[65|1350],[[65|1350]],[[2|206|440]],[],[5400],,411,[117|10],[117|10],18,[2|206|440],[[2|206|440]],[5400]
41119,[65|1430],[[65|1430]],[[2|206|530]],[],[5720],,411,[117|10],[117|10],19,[2|206|530],[[2|206|530]],[5720]
41120,[65|1750],[[65|1750]],[[2|206|705]],[],[7000],,411,[117|10],[117|10],20,[2|206|705],[[2|206|705]],[7000]
41121,[65|1910],[[65|1910]],[[2|206|530]],[],[7640],,411,[117|20],[117|20],21,[2|206|530],[[2|206|530]],[7640]
41122,[65|2070],[[65|2070]],[[2|206|575]],[],[8280],,411,[117|20],[117|20],22,[2|206|575],[[2|206|575]],[8280]
41123,[65|2230],[[65|2230]],[[2|206|620]],[],[8920],,411,[117|20],[117|20],23,[2|206|620],[[2|206|620]],[8920]
41124,[65|2390],[[65|2390]],[[2|206|425]],[],[9560],,411,[117|20],[117|20],24,[2|206|425],[[2|206|425]],[9560]
41125,[65|2550],[[65|2550]],[[2|206|705]],[],[10200],,411,[117|20],[117|20],25,[2|206|705],[[2|206|705]],[10200]
41126,[65|2710],[[65|2710]],[[2|206|795]],[],[10840],,411,[117|20],[117|20],26,[2|206|795],[[2|206|795]],[10840]
41127,[65|2870],[[65|2870]],[[2|206|795]],[],[11480],,411,[117|20],[117|20],27,[2|206|795],[[2|206|795]],[11480]
41128,[65|3030],[[65|3030]],[[2|206|880]],[],[12120],,411,[117|20],[117|20],28,[2|206|880],[[2|206|880]],[12120]
41129,[65|3190],[[65|3190]],[[2|206|880]],[],[12760],,411,[117|20],[117|20],29,[2|206|880],[[2|206|880]],[12760]
41130,[65|3825],[[65|3825]],[[2|206|1320]],[],[15300],,411,[117|20],[117|20],30,[2|206|1320],[[2|206|1320]],[15300]
41131,[65|4090],[[65|4090]],[[2|206|880]],[],[16360],,411,[117|30],[117|30],31,[2|206|880],[[2|206|880]],[16360]
41132,[65|4355],[[65|4355]],[[2|206|970]],[],[17420],,411,[117|30],[117|30],32,[2|206|970],[[2|206|970]],[17420]
41133,[65|4620],[[65|4620]],[[2|206|1060]],[],[18480],,411,[117|30],[117|30],33,[2|206|1060],[[2|206|1060]],[18480]
41134,[65|4885],[[65|4885]],[[2|206|1320]],[],[19540],,411,[117|30],[117|30],34,[2|206|1320],[[2|206|1320]],[19540]
41135,[65|5150],[[65|5150]],[[2|206|1320]],[],[20600],,411,[117|30],[117|30],35,[2|206|1320],[[2|206|1320]],[20600]
41136,[65|5415],[[65|5415]],[[2|206|1320]],[],[21660],,411,[117|30],[117|30],36,[2|206|1320],[[2|206|1320]],[21660]
41137,[65|5680],[[65|5680]],[[2|206|1760]],[],[22720],,411,[117|30],[117|30],37,[2|206|1760],[[2|206|1760]],[22720]
41138,[65|5945],[[65|5945]],[[2|206|1760]],[],[23780],,411,[117|30],[117|30],38,[2|206|1760],[[2|206|1760]],[23780]
41139,[65|6210],[[65|6210]],[[2|206|1760]],[],[24840],,411,[117|30],[117|30],39,[2|206|1760],[[2|206|1760]],[24840]
41140,[65|7265],[[65|7265]],[[2|206|1760]],[],[29060],,411,[117|30],[117|30],40,[2|206|1760],[[2|206|1760]],[29060]
41201,[66|380|65|15],[[66|380]|[65|15]],[[2|206|90]],[],[229],,412,[117|0],[117|0],1,[2|206|90],[[2|206|90]],[229]
41202,[66|760|65|30],[[66|760]|[65|30]],[[2|206|110]],[],[458],,412,[117|0],[117|0],2,[2|206|110],[[2|206|110]],[458]
41203,[66|1140|65|45],[[66|1140]|[65|45]],[[2|206|115]],[],[687],,412,[117|0],[117|0],3,[2|206|115],[[2|206|115]],[687]
41204,[66|1520|65|60],[[66|1520]|[65|60]],[[2|206|125]],[],[916],,412,[117|0],[117|0],4,[2|206|125],[[2|206|125]],[916]
41205,[66|1900|65|75],[[66|1900]|[65|75]],[[2|206|135]],[],[1145],,412,[117|0],[117|0],5,[2|206|135],[[2|206|135]],[1145]
41206,[66|2280|65|90],[[66|2280]|[65|90]],[[2|206|145]],[],[1374],,412,[117|0],[117|0],6,[2|206|145],[[2|206|145]],[1374]
41207,[66|2660|65|105],[[66|2660]|[65|105]],[[2|206|160]],[],[1603],,412,[117|0],[117|0],7,[2|206|160],[[2|206|160]],[1603]
41208,[66|3040|65|120],[[66|3040]|[65|120]],[[2|206|180]],[],[1832],,412,[117|0],[117|0],8,[2|206|180],[[2|206|180]],[1832]
41209,[66|3420|65|135],[[66|3420]|[65|135]],[[2|206|265]],[],[2060],,412,[117|0],[117|0],9,[2|206|265],[[2|206|265]],[2060]
41210,[66|4930|65|180],[[66|4930]|[65|180]],[[2|206|355]],[],[2912],,412,[117|0],[117|0],10,[2|206|355],[[2|206|355]],[2912]
41211,[66|5500|65|200],[[66|5500]|[65|200]],[[2|206|265]],[],[3245],,412,[117|10],[117|10],11,[2|206|265],[[2|206|265]],[3245]
41212,[66|6070|65|220],[[66|6070]|[65|220]],[[2|206|265]],[],[3578],,412,[117|10],[117|10],12,[2|206|265],[[2|206|265]],[3578]
41213,[66|6640|65|240],[[66|6640]|[65|240]],[[2|206|310]],[],[3912],,412,[117|10],[117|10],13,[2|206|310],[[2|206|310]],[3912]
41214,[66|7210|65|260],[[66|7210]|[65|260]],[[2|206|310]],[],[4245],,412,[117|10],[117|10],14,[2|206|310],[[2|206|310]],[4245]
41215,[66|7780|65|280],[[66|7780]|[65|280]],[[2|206|355]],[],[4578],,412,[117|10],[117|10],15,[2|206|355],[[2|206|355]],[4578]
41216,[66|8350|65|300],[[66|8350]|[65|300]],[[2|206|355]],[],[4912],,412,[117|10],[117|10],16,[2|206|355],[[2|206|355]],[4912]
41217,[66|8920|65|320],[[66|8920]|[65|320]],[[2|206|440]],[],[5245],,412,[117|10],[117|10],17,[2|206|440],[[2|206|440]],[5245]
41218,[66|9490|65|340],[[66|9490]|[65|340]],[[2|206|440]],[],[5578],,412,[117|10],[117|10],18,[2|206|440],[[2|206|440]],[5578]
41219,[66|10060|65|360],[[66|10060]|[65|360]],[[2|206|530]],[],[5912],,412,[117|10],[117|10],19,[2|206|530],[[2|206|530]],[5912]
41220,[66|12325|65|425],[[66|12325]|[65|425]],[[2|206|705]],[],[7178],,412,[117|10],[117|10],20,[2|206|705],[[2|206|705]],[7178]
41221,[66|13460|65|460],[[66|13460]|[65|460]],[[2|206|530]],[],[7823],,412,[117|20],[117|20],21,[2|206|530],[[2|206|530]],[7823]
41222,[66|14595|65|495],[[66|14595]|[65|495]],[[2|206|575]],[],[8467],,412,[117|20],[117|20],22,[2|206|575],[[2|206|575]],[8467]
41223,[66|15730|65|530],[[66|15730]|[65|530]],[[2|206|620]],[],[9112],,412,[117|20],[117|20],23,[2|206|620],[[2|206|620]],[9112]
41224,[66|16865|65|565],[[66|16865]|[65|565]],[[2|206|425]],[],[9756],,412,[117|20],[117|20],24,[2|206|425],[[2|206|425]],[9756]
41225,[66|18000|65|600],[[66|18000]|[65|600]],[[2|206|705]],[],[10400],,412,[117|20],[117|20],25,[2|206|705],[[2|206|705]],[10400]
41226,[66|19135|65|635],[[66|19135]|[65|635]],[[2|206|795]],[],[11045],,412,[117|20],[117|20],26,[2|206|795],[[2|206|795]],[11045]
41227,[66|20270|65|670],[[66|20270]|[65|670]],[[2|206|795]],[],[11689],,412,[117|20],[117|20],27,[2|206|795],[[2|206|795]],[11689]
41228,[66|21405|65|705],[[66|21405]|[65|705]],[[2|206|880]],[],[12334],,412,[117|20],[117|20],28,[2|206|880],[[2|206|880]],[12334]
41229,[66|22540|65|740],[[66|22540]|[65|740]],[[2|206|880]],[],[12978],,412,[117|20],[117|20],29,[2|206|880],[[2|206|880]],[12978]
41230,[66|27065|65|870],[[66|27065]|[65|870]],[[2|206|1320]],[],[15509],,412,[117|20],[117|20],30,[2|206|1320],[[2|206|1320]],[15509]
41231,[66|28950|65|925],[[66|28950]|[65|925]],[[2|206|880]],[],[16567],,412,[117|30],[117|30],31,[2|206|880],[[2|206|880]],[16567]
41232,[66|30835|65|980],[[66|30835]|[65|980]],[[2|206|970]],[],[17625],,412,[117|30],[117|30],32,[2|206|970],[[2|206|970]],[17625]
41233,[66|32720|65|1035],[[66|32720]|[65|1035]],[[2|206|1060]],[],[18683],,412,[117|30],[117|30],33,[2|206|1060],[[2|206|1060]],[18683]
41234,[66|34605|65|1090],[[66|34605]|[65|1090]],[[2|206|1320]],[],[19740],,412,[117|30],[117|30],34,[2|206|1320],[[2|206|1320]],[19740]
41235,[66|36490|65|1145],[[66|36490]|[65|1145]],[[2|206|1320]],[],[20798],,412,[117|30],[117|30],35,[2|206|1320],[[2|206|1320]],[20798]
41236,[66|38375|65|1200],[[66|38375]|[65|1200]],[[2|206|1320]],[],[21856],,412,[117|30],[117|30],36,[2|206|1320],[[2|206|1320]],[21856]
41237,[66|40260|65|1255],[[66|40260]|[65|1255]],[[2|206|1760]],[],[22914],,412,[117|30],[117|30],37,[2|206|1760],[[2|206|1760]],[22914]
41238,[66|42145|65|1310],[[66|42145]|[65|1310]],[[2|206|1760]],[],[23972],,412,[117|30],[117|30],38,[2|206|1760],[[2|206|1760]],[23972]
41239,[66|44030|65|1365],[[66|44030]|[65|1365]],[[2|206|1760]],[],[25029],,412,[117|30],[117|30],39,[2|206|1760],[[2|206|1760]],[25029]
41240,[66|51570|65|1580],[[66|51570]|[65|1580]],[[2|206|1760]],[],[29240],,412,[117|30],[117|30],40,[2|206|1760],[[2|206|1760]],[29240]
41301,[65|55],[[65|55]],[[2|206|90]],[],[220],,413,[117|0],[117|0],1,[2|206|90],[[2|206|90]],[220]
41302,[65|110],[[65|110]],[[2|206|110]],[],[440],,413,[117|0],[117|0],2,[2|206|110],[[2|206|110]],[440]
