id,exp_1,exp_2,exp_3,isplay_notice_effect,monsterA_num,monsterA_roleld,monsterB_num,monsterB_roleld,monsterC_num,monsterC_roleld,stageRounds,timeInterval
402,1|10000,,,-1,50,400402,-1,-1,-1,-1,10,15000
403,1|10000,,,-1,50,400403,-1,-1,-1,-1,10,20000
404,50|10000,1|10000,1|10000,-1,1,410401,10,400402,10,400403,1,3000
405,1|10000,1|10000,,-1,60,400401,30,400404,-1,-1,15,30000
406,1|10000,1|10000,,-1,75,400402,15,400405,-1,-1,15,30000
407,100|10000,1|10000,1|10000,-1,1,410402,10,400404,10,400405,1,3000
408,1|10000,1|10000,,-1,100,400403,40,400406,-1,-1,20,30000
409,1|10000,1|10000,,-1,140,400404,20,400407,-1,-1,20,30000
410,100|10000,1|10000,1|10000,-1,1,410403,30,400406,10,400407,1,10000
501,1|10000,,,-1,20,400501,-1,-1,-1,-1,10,10000
502,1|10000,,,-1,50,400502,-1,-1,-1,-1,10,15000
503,1|10000,,,-1,50,400503,-1,-1,-1,-1,10,20000
504,50|10000,1|10000,1|10000,-1,1,410501,10,400502,10,400503,1,3000
505,1|10000,1|10000,,-1,120,400501,60,400504,-1,-1,15,60000
506,1|10000,1|10000,,-1,150,400502,30,400505,-1,-1,15,60000
507,100|10000,1|10000,1|10000,-1,1,410502,10,400504,10,400505,1,3000
508,1|10000,1|10000,,-1,200,400503,80,400506,-1,-1,20,60000
509,1|10000,1|10000,,-1,280,400504,40,400507,-1,-1,20,60000
510,100|10000,1|10000,1|10000,-1,1,410503,30,400506,10,400507,1,10000
601,1|10000,,,-1,20,400601,-1,-1,-1,-1,10,10000
602,1|10000,,,-1,50,400602,-1,-1,-1,-1,10,15000
603,1|10000,,,-1,50,400603,-1,-1,-1,-1,10,20000
604,50|10000,1|10000,1|10000,-1,1,410601,10,400602,10,400603,1,3000
605,1|10000,1|10000,,-1,60,400601,30,400604,-1,-1,15,30000
606,1|10000,1|10000,,-1,75,400602,15,400605,-1,-1,15,30000
607,100|10000,1|10000,1|10000,-1,1,410602,10,400604,10,400605,1,3000
608,1|10000,1|10000,,-1,100,400603,40,400606,-1,-1,20,30000
609,1|10000,1|10000,,-1,140,400604,20,400607,-1,-1,20,30000
610,100|10000,1|10000,1|10000,-1,1,410603,30,400606,10,400607,1,10000
701,1|10000,,,-1,20,400701,-1,-1,-1,-1,10,10000
702,1|10000,,,-1,50,400702,-1,-1,-1,-1,10,15000
703,1|10000,,,-1,50,400703,-1,-1,-1,-1,10,20000
704,50|10000,1|10000,1|10000,-1,1,410701,10,400702,10,400703,1,3000
705,1|10000,1|10000,,-1,60,400701,30,400704,-1,-1,15,30000
706,1|10000,1|10000,,-1,75,400702,15,400705,-1,-1,15,30000
707,100|10000,1|10000,1|10000,-1,1,410702,10,400704,10,400705,1,3000
708,1|10000,1|10000,,-1,100,400703,40,400706,-1,-1,20,30000
709,1|10000,1|10000,,-1,140,400704,20,400707,-1,-1,20,30000
710,100|10000,1|10000,1|10000,-1,1,410703,30,400706,10,400707,1,10000
801,1|10000,,,-1,20,400801,-1,-1,-1,-1,10,10000
802,1|10000,,,-1,50,400802,-1,-1,-1,-1,10,15000
803,1|10000,,,-1,50,400803,-1,-1,-1,-1,10,20000
804,50|10000,1|10000,1|10000,-1,1,410801,10,400802,10,400803,1,3000
805,1|10000,1|10000,,-1,60,400801,30,400804,-1,-1,15,30000
806,1|10000,1|10000,,-1,75,400802,15,400805,-1,-1,15,30000
807,100|10000,1|10000,1|10000,-1,1,410802,10,400804,10,400805,1,3000
808,1|10000,1|10000,,-1,100,400803,40,400806,-1,-1,20,30000
809,1|10000,1|10000,,-1,140,400804,20,400807,-1,-1,20,30000
810,100|10000,1|10000,1|10000,-1,1,410803,30,400806,10,400807,1,10000
901,1|10000,,,-1,20,400901,-1,-1,-1,-1,10,10000
902,1|10000,,,-1,50,400902,-1,-1,-1,-1,10,15000
903,1|10000,,,-1,50,400903,-1,-1,-1,-1,10,20000
904,50|10000,1|10000,1|10000,-1,1,410901,10,400902,10,400903,1,3000
905,1|10000,1|10000,,-1,60,400901,30,400904,-1,-1,15,30000
906,1|10000,1|10000,,-1,75,400902,15,400905,-1,-1,15,30000
907,100|10000,1|10000,1|10000,-1,1,410902,10,400904,10,400905,1,3000
908,1|10000,1|10000,,-1,100,400903,40,400906,-1,-1,20,30000
909,1|10000,1|10000,,-1,140,400904,20,400907,-1,-1,20,30000
910,100|10000,1|10000,1|10000,-1,1,410903,30,400906,10,400907,1,10000
1001,1|10000,,,-1,20,401001,-1,-1,-1,-1,10,10000
1002,1|10000,,,-1,50,401002,-1,-1,-1,-1,10,15000
1003,1|10000,,,-1,50,401003,-1,-1,-1,-1,10,20000
1004,50|10000,1|10000,1|10000,-1,1,411001,10,401002,10,401003,1,3000
1005,1|10000,1|10000,,-1,120,401001,60,401004,-1,-1,15,60000
1006,1|10000,1|10000,,-1,150,401002,30,401005,-1,-1,15,60000
1007,100|10000,1|10000,1|10000,-1,1,411002,10,401004,10,401005,1,3000
1008,1|10000,1|10000,,-1,200,401003,80,401006,-1,-1,20,60000
1009,1|10000,1|10000,,-1,280,401004,40,401007,-1,-1,20,60000
1010,100|10000,1|10000,1|10000,-1,1,411003,30,401006,10,401007,1,10000
1101,1|10000,,,-1,20,401101,-1,-1,-1,-1,10,10000
1102,1|10000,,,-1,50,401102,-1,-1,-1,-1,10,15000
1103,1|10000,,,-1,50,401103,-1,-1,-1,-1,10,20000
1104,50|10000,1|10000,1|10000,-1,1,411101,10,401102,10,401103,1,3000
1105,1|10000,1|10000,,-1,60,401101,30,401104,-1,-1,15,30000
1106,1|10000,1|10000,,-1,75,401102,15,401105,-1,-1,15,30000
1107,100|10000,1|10000,1|10000,-1,1,411102,10,401104,10,401105,1,3000
1108,1|10000,1|10000,,-1,100,401103,40,401106,-1,-1,20,30000
1109,1|10000,1|10000,,-1,140,401104,20,401107,-1,-1,20,30000
1110,100|10000,1|10000,1|10000,-1,1,411103,30,401106,10,401107,1,10000
1201,1|10000,,,-1,20,401201,-1,-1,-1,-1,10,10000
1202,1|10000,,,-1,50,401202,-1,-1,-1,-1,10,15000
1203,1|10000,,,-1,50,401203,-1,-1,-1,-1,10,20000
1204,50|10000,1|10000,1|10000,-1,1,411201,10,401202,10,401203,1,3000
1205,1|10000,1|10000,,-1,60,401201,30,401204,-1,-1,15,30000
1206,1|10000,1|10000,,-1,75,401202,15,401205,-1,-1,15,30000
1207,100|10000,1|10000,1|10000,-1,1,411202,10,401204,10,401205,1,3000
1208,1|10000,1|10000,,-1,100,401203,40,401206,-1,-1,20,30000
1209,1|10000,1|10000,,-1,140,401204,20,401207,-1,-1,20,30000
1210,100|10000,1|10000,1|10000,-1,1,411203,30,401206,10,401207,1,10000
1301,1|10000,,,-1,20,401301,-1,-1,-1,-1,10,10000
1302,1|10000,,,-1,50,401302,-1,-1,-1,-1,10,15000
1303,1|10000,,,-1,50,401303,-1,-1,-1,-1,10,20000
1304,50|10000,1|10000,1|10000,-1,1,411301,10,401302,10,401303,1,3000
1305,1|10000,1|10000,,-1,60,401301,30,401304,-1,-1,15,30000
1306,1|10000,1|10000,,-1,75,401302,15,401305,-1,-1,15,30000
1307,100|10000,1|10000,1|10000,-1,1,411302,10,401304,10,401305,1,3000
1308,1|10000,1|10000,,-1,100,401303,40,401306,-1,-1,20,30000
1309,1|10000,1|10000,,-1,140,401304,20,401307,-1,-1,20,30000
1310,100|10000,1|10000,1|10000,-1,1,411303,30,401306,10,401307,1,10000
1401,1|10000,,,-1,20,401401,-1,-1,-1,-1,10,10000
1402,1|10000,,,-1,50,401402,-1,-1,-1,-1,10,15000
1403,1|10000,,,-1,50,401403,-1,-1,-1,-1,10,20000
1404,50|10000,1|10000,1|10000,-1,1,411401,10,401402,10,401403,1,3000
1405,1|10000,1|10000,,-1,60,401401,30,401404,-1,-1,15,30000
1406,1|10000,1|10000,,-1,75,401402,15,401405,-1,-1,15,30000
1407,100|10000,1|10000,1|10000,-1,1,411402,10,401404,10,401405,1,3000
1408,1|10000,1|10000,,-1,100,401403,40,401406,-1,-1,20,30000
1409,1|10000,1|10000,,-1,140,401404,20,401407,-1,-1,20,30000
1410,100|10000,1|10000,1|10000,-1,1,411403,30,401406,10,401407,1,10000
1501,1|10000,,,-1,20,401501,-1,-1,-1,-1,10,10000
1502,1|10000,,,-1,50,401502,-1,-1,-1,-1,10,15000
1503,1|10000,,,-1,50,401503,-1,-1,-1,-1,10,20000
1504,50|10000,1|10000,1|10000,-1,1,411501,10,401502,10,401503,1,3000
1505,1|10000,1|10000,,-1,120,401501,60,401504,-1,-1,15,60000
1506,1|10000,1|10000,,-1,150,401502,30,401505,-1,-1,15,60000
1507,100|10000,1|10000,1|10000,-1,1,411502,10,401504,10,401505,1,3000
1508,1|10000,1|10000,,-1,200,401503,80,401506,-1,-1,20,60000
1509,1|10000,1|10000,,-1,280,401504,40,401507,-1,-1,20,60000
1510,100|10000,1|10000,1|10000,-1,1,411503,30,401506,10,401507,1,10000
1601,1|10000,,,-1,20,401601,-1,-1,-1,-1,10,10000
1602,1|10000,,,-1,50,401602,-1,-1,-1,-1,10,15000
1603,1|10000,,,-1,50,401603,-1,-1,-1,-1,10,20000
1604,50|10000,1|10000,1|10000,-1,1,411601,10,401602,10,401603,1,3000
1605,1|10000,1|10000,,-1,60,401601,30,401604,-1,-1,15,30000
1606,1|10000,1|10000,,-1,75,401602,15,401605,-1,-1,15,30000
1607,100|10000,1|10000,1|10000,-1,1,411602,10,401604,10,401605,1,3000
1608,1|10000,1|10000,,-1,100,401603,40,401606,-1,-1,20,30000
1609,1|10000,1|10000,,-1,140,401604,20,401607,-1,-1,20,30000
1610,100|10000,1|10000,1|10000,-1,1,411603,30,401606,10,401607,1,10000
1701,1|10000,,,-1,20,401701,-1,-1,-1,-1,10,10000
1702,1|10000,,,-1,50,401702,-1,-1,-1,-1,10,15000
1703,1|10000,,,-1,50,401703,-1,-1,-1,-1,10,20000
1704,50|10000,1|10000,1|10000,-1,1,411701,10,401702,10,401703,1,3000
1705,1|10000,1|10000,,-1,60,401701,30,401704,-1,-1,15,30000
1706,1|10000,1|10000,,-1,75,401702,15,401705,-1,-1,15,30000
1707,100|10000,1|10000,1|10000,-1,1,411702,10,401704,10,401705,1,3000
1708,1|10000,1|10000,,-1,100,401703,40,401706,-1,-1,20,30000
1709,1|10000,1|10000,,-1,140,401704,20,401707,-1,-1,20,30000
1710,100|10000,1|10000,1|10000,-1,1,411703,30,401706,10,401707,1,10000
1801,1|10000,,,-1,20,401801,-1,-1,-1,-1,10,10000
1802,1|10000,,,-1,50,401802,-1,-1,-1,-1,10,15000
1803,1|10000,,,-1,50,401803,-1,-1,-1,-1,10,20000
1804,50|10000,1|10000,1|10000,-1,1,411801,10,401802,10,401803,1,3000
1805,1|10000,1|10000,,-1,60,401801,30,401804,-1,-1,15,30000
1806,1|10000,1|10000,,-1,75,401802,15,401805,-1,-1,15,30000
1807,100|10000,1|10000,1|10000,-1,1,411802,10,401804,10,401805,1,3000
1808,1|10000,1|10000,,-1,100,401803,40,401806,-1,-1,20,30000
1809,1|10000,1|10000,,-1,140,401804,20,401807,-1,-1,20,30000
1810,100|10000,1|10000,1|10000,-1,1,411803,30,401806,10,401807,1,10000
1901,1|10000,,,-1,20,401901,-1,-1,-1,-1,10,10000
1902,1|10000,,,-1,50,401902,-1,-1,-1,-1,10,15000
1903,1|10000,,,-1,50,401903,-1,-1,-1,-1,10,20000
1904,50|10000,1|10000,1|10000,-1,1,411901,10,401902,10,401903,1,3000
1905,1|10000,1|10000,,-1,60,401901,30,401904,-1,-1,15,30000
1906,1|10000,1|10000,,-1,75,401902,15,401905,-1,-1,15,30000
1907,100|10000,1|10000,1|10000,-1,1,411902,10,401904,10,401905,1,3000
1908,1|10000,1|10000,,-1,100,401903,40,401906,-1,-1,20,30000
1909,1|10000,1|10000,,-1,140,401904,20,401907,-1,-1,20,30000
1910,100|10000,1|10000,1|10000,-1,1,411903,30,401906,10,401907,1,10000
2001,1|10000,,,-1,20,402001,-1,-1,-1,-1,10,10000
2002,1|10000,,,-1,50,402002,-1,-1,-1,-1,10,15000
2003,1|10000,,,-1,50,402003,-1,-1,-1,-1,10,20000
2004,50|10000,1|10000,1|10000,-1,1,412001,10,402002,10,402003,1,3000
2005,1|10000,1|10000,,-1,120,402001,60,402004,-1,-1,15,60000
2006,1|10000,1|10000,,-1,150,402002,30,402005,-1,-1,15,60000
2007,100|10000,1|10000,1|10000,-1,1,412002,10,402004,10,402005,1,3000
2008,1|10000,1|10000,,-1,200,402003,80,402006,-1,-1,20,60000
2009,1|10000,1|10000,,-1,280,402004,40,402007,-1,-1,20,60000
2010,100|10000,1|10000,1|10000,-1,1,412003,30,402006,10,402007,1,10000
2101,1|10000,,,-1,20,402101,-1,-1,-1,-1,10,10000
2102,1|10000,,,-1,50,402102,-1,-1,-1,-1,10,15000
2103,1|10000,,,-1,50,402103,-1,-1,-1,-1,10,20000
2104,50|10000,1|10000,1|10000,-1,1,412101,10,402102,10,402103,1,3000
2105,1|10000,1|10000,,-1,60,402101,30,402104,-1,-1,15,30000
2106,1|10000,1|10000,,-1,75,402102,15,402105,-1,-1,15,30000
2107,100|10000,1|10000,1|10000,-1,1,412102,10,402104,10,402105,1,3000
2108,1|10000,1|10000,,-1,100,402103,40,402106,-1,-1,20,30000
2109,1|10000,1|10000,,-1,140,402104,20,402107,-1,-1,20,30000
2110,100|10000,1|10000,1|10000,-1,1,412103,30,402106,10,402107,1,10000
2201,1|10000,,,-1,20,402201,-1,-1,-1,-1,10,10000
2202,1|10000,,,-1,50,402202,-1,-1,-1,-1,10,15000
2203,1|10000,,,-1,50,402203,-1,-1,-1,-1,10,20000
2204,50|10000,1|10000,1|10000,-1,1,412201,10,402202,10,402203,1,3000
2205,1|10000,1|10000,,-1,60,402201,30,402204,-1,-1,15,30000
2206,1|10000,1|10000,,-1,75,402202,15,402205,-1,-1,15,30000
2207,100|10000,1|10000,1|10000,-1,1,412202,10,402204,10,402205,1,3000
2208,1|10000,1|10000,,-1,100,402203,40,402206,-1,-1,20,30000
2209,1|10000,1|10000,,-1,140,402204,20,402207,-1,-1,20,30000
2210,100|10000,1|10000,1|10000,-1,1,412203,30,402206,10,402207,1,10000
2301,1|10000,,,-1,20,402301,-1,-1,-1,-1,10,10000
2302,1|10000,,,-1,50,402302,-1,-1,-1,-1,10,15000
2303,1|10000,,,-1,50,402303,-1,-1,-1,-1,10,20000
2304,50|10000,1|10000,1|10000,-1,1,412301,10,402302,10,402303,1,3000
2305,1|10000,1|10000,,-1,60,402301,30,402304,-1,-1,15,30000
2306,1|10000,1|10000,,-1,75,402302,15,402305,-1,-1,15,30000
2307,100|10000,1|10000,1|10000,-1,1,412302,10,402304,10,402305,1,3000
2308,1|10000,1|10000,,-1,100,402303,40,402306,-1,-1,20,30000
2309,1|10000,1|10000,,-1,140,402304,20,402307,-1,-1,20,30000
2310,100|10000,1|10000,1|10000,-1,1,412303,30,402306,10,402307,1,10000
2401,1|10000,,,-1,20,402401,-1,-1,-1,-1,10,10000
2402,1|10000,,,-1,50,402402,-1,-1,-1,-1,10,15000
2403,1|10000,,,-1,50,402403,-1,-1,-1,-1,10,20000
2404,50|10000,1|10000,1|10000,-1,1,412401,10,402402,10,402403,1,3000
2405,1|10000,1|10000,,-1,60,402401,30,402404,-1,-1,15,30000
2406,1|10000,1|10000,,-1,75,402402,15,402405,-1,-1,15,30000
2407,100|10000,1|10000,1|10000,-1,1,412402,10,402404,10,402405,1,3000
2408,1|10000,1|10000,,-1,100,402403,40,402406,-1,-1,20,30000
2409,1|10000,1|10000,,-1,140,402404,20,402407,-1,-1,20,30000
2410,100|10000,1|10000,1|10000,-1,1,412403,30,402406,10,402407,1,10000
2501,1|10000,,,-1,20,402501,-1,-1,-1,-1,10,10000
2502,1|10000,,,-1,50,402502,-1,-1,-1,-1,10,15000
2503,1|10000,,,-1,50,402503,-1,-1,-1,-1,10,20000
2504,50|10000,1|10000,1|10000,-1,1,412501,10,402502,10,402503,1,3000
2505,1|10000,1|10000,,-1,120,402501,60,402504,-1,-1,15,60000
2506,1|10000,1|10000,,-1,150,402502,30,402505,-1,-1,15,60000
2507,100|10000,1|10000,1|10000,-1,1,412502,10,402504,10,402505,1,3000
2508,1|10000,1|10000,,-1,200,402503,80,402506,-1,-1,20,60000
2509,1|10000,1|10000,,-1,280,402504,40,402507,-1,-1,20,60000
2510,100|10000,1|10000,1|10000,-1,1,412503,30,402506,10,402507,1,10000
2601,1|10000,,,-1,20,402601,-1,-1,-1,-1,10,10000
2602,1|10000,,,-1,50,402602,-1,-1,-1,-1,10,15000
2603,1|10000,,,-1,50,402603,-1,-1,-1,-1,10,20000
2604,50|10000,1|10000,1|10000,-1,1,412601,10,402602,10,402603,1,3000
2605,1|10000,1|10000,,-1,60,402601,30,402604,-1,-1,15,30000
2606,1|10000,1|10000,,-1,75,402602,15,402605,-1,-1,15,30000
2607,100|10000,1|10000,1|10000,-1,1,412602,10,402604,10,402605,1,3000
2608,1|10000,1|10000,,-1,100,402603,40,402606,-1,-1,20,30000
2609,1|10000,1|10000,,-1,140,402604,20,402607,-1,-1,20,30000
2610,100|10000,1|10000,1|10000,-1,1,412603,30,402606,10,402607,1,10000
2701,1|10000,,,-1,20,402701,-1,-1,-1,-1,10,10000
2702,1|10000,,,-1,50,402702,-1,-1,-1,-1,10,15000
2703,1|10000,,,-1,50,402703,-1,-1,-1,-1,10,20000
2704,50|10000,1|10000,1|10000,-1,1,412701,10,402702,10,402703,1,3000
2705,1|10000,1|10000,,-1,60,402701,30,402704,-1,-1,15,30000
2706,1|10000,1|10000,,-1,75,402702,15,402705,-1,-1,15,30000
2707,100|10000,1|10000,1|10000,-1,1,412702,10,402704,10,402705,1,3000
2708,1|10000,1|10000,,-1,100,402703,40,402706,-1,-1,20,30000
2709,1|10000,1|10000,,-1,140,402704,20,402707,-1,-1,20,30000
2710,100|10000,1|10000,1|10000,-1,1,412703,30,402706,10,402707,1,10000
2801,1|10000,,,-1,20,402801,-1,-1,-1,-1,10,10000
2802,1|10000,,,-1,50,402802,-1,-1,-1,-1,10,15000
2803,1|10000,,,-1,50,402803,-1,-1,-1,-1,10,20000
2804,50|10000,1|10000,1|10000,-1,1,412801,10,402802,10,402803,1,3000
2805,1|10000,1|10000,,-1,60,402801,30,402804,-1,-1,15,30000
2806,1|10000,1|10000,,-1,75,402802,15,402805,-1,-1,15,30000
2807,100|10000,1|10000,1|10000,-1,1,412802,10,402804,10,402805,1,3000
2808,1|10000,1|10000,,-1,100,402803,40,402806,-1,-1,20,30000
2809,1|10000,1|10000,,-1,140,402804,20,402807,-1,-1,20,30000
2810,100|10000,1|10000,1|10000,-1,1,412803,30,402806,10,402807,1,10000
2901,1|10000,,,-1,20,402901,-1,-1,-1,-1,10,10000
2902,1|10000,,,-1,50,402902,-1,-1,-1,-1,10,15000
2903,1|10000,,,-1,50,402903,-1,-1,-1,-1,10,20000
2904,50|10000,1|10000,1|10000,-1,1,412901,10,402902,10,402903,1,3000
2905,1|10000,1|10000,,-1,60,402901,30,402904,-1,-1,15,30000
2906,1|10000,1|10000,,-1,75,402902,15,402905,-1,-1,15,30000
2907,100|10000,1|10000,1|10000,-1,1,412902,10,402904,10,402905,1,3000
2908,1|10000,1|10000,,-1,100,402903,40,402906,-1,-1,20,30000
2909,1|10000,1|10000,,-1,140,402904,20,402907,-1,-1,20,30000
2910,100|10000,1|10000,1|10000,-1,1,412903,30,402906,10,402907,1,10000
3001,1|10000,,,-1,20,403001,-1,-1,-1,-1,10,10000
3002,1|10000,,,-1,50,403002,-1,-1,-1,-1,10,15000
3003,1|10000,,,-1,50,403003,-1,-1,-1,-1,10,20000
3004,50|10000,1|10000,1|10000,-1,1,413001,10,403002,10,403003,1,3000
3005,1|10000,1|10000,,-1,120,403001,60,403004,-1,-1,15,60000
3006,1|10000,1|10000,,-1,150,403002,30,403005,-1,-1,15,60000
3007,100|10000,1|10000,1|10000,-1,1,413002,10,403004,10,403005,1,3000
3008,1|10000,1|10000,,-1,200,403003,80,403006,-1,-1,20,60000
3009,1|10000,1|10000,,-1,280,403004,40,403007,-1,-1,20,60000
3010,100|10000,1|10000,1|10000,-1,1,413003,30,403006,10,403007,1,10000
510101,,,,-1,8,510101,-1,-1,-1,-1,1,6000
510102,,,,-1,8,510102,-1,-1,-1,-1,1,6000
510103,,,,-1,8,510103,-1,-1,-1,-1,1,6000
510104,,,,1,8,510104,1,510111,-1,-1,1,10000
510105,,,,-1,8,510105,8,510104,-1,-1,1,6000
510106,,,,-1,8,510106,8,510105,-1,-1,1,6000
510107,,,,-1,8,510107,8,510106,-1,-1,1,6000
510108,,,,1,8,510108,1,510112,-1,-1,1,10000
510109,,,,-1,8,510109,8,510108,-1,-1,1,6000
510110,,,,-1,8,510110,8,510109,-1,-1,1,6000
510113,,,,2,1,510113,-1,-1,-1,-1,1,4000
510201,,,,-1,8,510201,-1,-1,-1,-1,1,6000
510202,,,,-1,8,510202,-1,-1,-1,-1,1,6000
510203,,,,-1,8,510203,-1,-1,-1,-1,1,6000
510204,,,,1,8,510204,1,510211,-1,-1,1,10000
510205,,,,-1,8,510205,8,510204,-1,-1,1,6000
510206,,,,-1,8,510206,8,510205,-1,-1,1,6000
510207,,,,-1,8,510207,8,510206,-1,-1,1,6000
510208,,,,1,8,510208,1,510212,-1,-1,1,10000
510209,,,,-1,8,510209,8,510208,-1,-1,1,6000
510210,,,,-1,8,510210,8,510209,-1,-1,1,6000
510213,,,,2,1,510213,-1,-1,-1,-1,1,4000
510301,,,,-1,8,510301,-1,-1,-1,-1,1,6000
510302,,,,-1,8,510302,-1,-1,-1,-1,1,6000
510303,,,,-1,8,510303,-1,-1,-1,-1,1,6000
510304,,,,1,8,510304,1,510311,-1,-1,1,10000
510305,,,,-1,8,510305,8,510304,-1,-1,1,6000
510306,,,,-1,8,510306,8,510305,-1,-1,1,6000
510307,,,,-1,8,510307,8,510306,-1,-1,1,6000
510308,,,,1,8,510308,1,510312,-1,-1,1,10000
510309,,,,-1,8,510309,8,510308,-1,-1,1,6000
510310,,,,-1,8,510310,8,510309,-1,-1,1,6000
510313,,,,2,1,510313,-1,-1,-1,-1,1,4000
510401,,,,-1,8,510401,-1,-1,-1,-1,1,6000
510402,,,,-1,8,510402,-1,-1,-1,-1,1,6000
510403,,,,-1,8,510403,-1,-1,-1,-1,1,6000
510404,,,,1,8,510404,1,510411,-1,-1,1,10000
510405,,,,-1,8,510405,8,510404,-1,-1,1,6000
510406,,,,-1,8,510406,8,510405,-1,-1,1,6000
510407,,,,-1,8,510407,8,510406,-1,-1,1,6000
510408,,,,1,8,510408,1,510412,-1,-1,1,10000
510409,,,,-1,8,510409,8,510408,-1,-1,1,6000
510410,,,,-1,8,510410,8,510409,-1,-1,1,6000
510413,,,,2,1,510413,-1,-1,-1,-1,1,4000
510501,,,,-1,8,510501,-1,-1,-1,-1,1,6000
510502,,,,-1,8,510502,-1,-1,-1,-1,1,6000
510503,,,,-1,8,510503,-1,-1,-1,-1,1,6000
510504,,,,1,8,510504,1,510511,-1,-1,1,10000
510505,,,,-1,8,510505,8,510504,-1,-1,1,6000
510506,,,,-1,8,510506,8,510505,-1,-1,1,6000
510507,,,,-1,8,510507,8,510506,-1,-1,1,6000
510508,,,,1,8,510508,1,510512,-1,-1,1,10000
510509,,,,-1,8,510509,8,510508,-1,-1,1,6000
510510,,,,-1,8,510510,8,510509,-1,-1,1,6000
510513,,,,2,1,510513,-1,-1,-1,-1,1,4000
520101,,,,-1,8,520101,-1,-1,-1,-1,1,6000
520102,,,,-1,8,520102,-1,-1,-1,-1,1,6000
520103,,,,-1,8,520103,-1,-1,-1,-1,1,6000
520104,,,,1,8,520104,1,520111,-1,-1,1,10000
520105,,,,-1,8,520105,8,520104,-1,-1,1,6000
520106,,,,-1,8,520106,8,520105,-1,-1,1,6000
520107,,,,-1,8,520107,8,520106,-1,-1,1,6000
520108,,,,1,8,520108,1,520112,-1,-1,1,10000
520109,,,,-1,8,520109,8,520108,-1,-1,1,6000
520110,,,,-1,8,520110,8,520109,-1,-1,1,6000
520113,,,,2,1,520113,-1,-1,-1,-1,1,4000
520201,,,,-1,8,520201,-1,-1,-1,-1,1,6000
520202,,,,-1,8,520202,-1,-1,-1,-1,1,6000
520203,,,,-1,8,520203,-1,-1,-1,-1,1,6000
520204,,,,1,8,520204,1,520211,-1,-1,1,10000
520205,,,,-1,8,520205,8,520204,-1,-1,1,6000
520206,,,,-1,8,520206,8,520205,-1,-1,1,6000
520207,,,,-1,8,520207,8,520206,-1,-1,1,6000
520208,,,,1,8,520208,1,520212,-1,-1,1,10000
520209,,,,-1,8,520209,8,520208,-1,-1,1,6000
520210,,,,-1,8,520210,8,520209,-1,-1,1,6000
520213,,,,2,1,520213,-1,-1,-1,-1,1,4000
520301,,,,-1,8,520301,-1,-1,-1,-1,1,6000
520302,,,,-1,8,520302,-1,-1,-1,-1,1,6000
520303,,,,-1,8,520303,-1,-1,-1,-1,1,6000
520304,,,,1,8,520304,1,520311,-1,-1,1,10000
520305,,,,-1,8,520305,8,520304,-1,-1,1,6000
520306,,,,-1,8,520306,8,520305,-1,-1,1,6000
