id,equipTierAtlas,iconAtlas,attr_para1,attrs,cost,costs,equip_tier,equip_tier_atlas,fightforce,icon,icon_atlas,level,lord_equip_desc,lord_equip_name,quality,star,type
1310033,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1350|15104|3705|10103|470],[[5104|1350]|[15104|3705]|[10103|470]],[2|154|5500|2|155|50|2|156|20],[[2|154|5500]|[2|155|50]|[2|156|20]],icon_txt_T2,,61024,icon_lord_3,,33,lord_equip_desc007,lord_equip_name01,5,0,1
1310034,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1375|15104|3785|10103|480],[[5104|1375]|[15104|3785]|[10103|480]],[2|154|7300|2|155|75|2|156|20],[[2|154|7300]|[2|155|75]|[2|156|20]],icon_txt_T2,,63621,icon_lord_3,,34,lord_equip_desc007,lord_equip_name01,5,1,1
1310035,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1405|15104|3865|10103|490],[[5104|1405]|[15104|3865]|[10103|490]],[2|154|7300|2|155|75|2|156|20],[[2|154|7300]|[2|155|75]|[2|156|20]],icon_txt_T2,,66218,icon_lord_3,,35,lord_equip_desc007,lord_equip_name01,5,1,1
1310036,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1435|15104|3945|10103|500],[[5104|1435]|[15104|3945]|[10103|500]],[2|154|7300|2|155|75|2|156|20],[[2|154|7300]|[2|155|75]|[2|156|20]],icon_txt_T2,,68815,icon_lord_3,,36,lord_equip_desc007,lord_equip_name01,5,1,1
1310037,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1465|15104|4025|10103|510],[[5104|1465]|[15104|4025]|[10103|510]],[2|154|7300|2|155|75|2|156|20],[[2|154|7300]|[2|155|75]|[2|156|20]],icon_txt_T2,,71412,icon_lord_3,,37,lord_equip_desc007,lord_equip_name01,5,1,1
1310038,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1490|15104|4100|10103|520],[[5104|1490]|[15104|4100]|[10103|520]],[2|154|7800|2|155|75|2|156|20],[[2|154|7800]|[2|155|75]|[2|156|20]],icon_txt_T2,,74009,icon_lord_3,,38,lord_equip_desc007,lord_equip_name01,5,2,1
1310039,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1520|15104|4180|10103|530],[[5104|1520]|[15104|4180]|[10103|530]],[2|154|7800|2|155|75|2|156|20],[[2|154|7800]|[2|155|75]|[2|156|20]],icon_txt_T2,,76606,icon_lord_3,,39,lord_equip_desc007,lord_equip_name01,5,2,1
1310040,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1550|15104|4260|10103|540],[[5104|1550]|[15104|4260]|[10103|540]],[2|154|7800|2|155|75|2|156|20],[[2|154|7800]|[2|155|75]|[2|156|20]],icon_txt_T2,,79203,icon_lord_3,,40,lord_equip_desc007,lord_equip_name01,5,2,1
1310041,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1580|15104|4340|10103|550],[[5104|1580]|[15104|4340]|[10103|550]],[2|154|7800|2|155|75|2|156|20],[[2|154|7800]|[2|155|75]|[2|156|20]],icon_txt_T2,,81800,icon_lord_3,,41,lord_equip_desc007,lord_equip_name01,5,2,1
1310042,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1605|15104|4420|10103|560],[[5104|1605]|[15104|4420]|[10103|560]],[2|154|8100|2|155|85|2|156|20],[[2|154|8100]|[2|155|85]|[2|156|20]],icon_txt_T2,,84397,icon_lord_3,,42,lord_equip_desc007,lord_equip_name01,5,3,1
1310043,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1635|15104|4500|10103|570],[[5104|1635]|[15104|4500]|[10103|570]],[2|154|8100|2|155|85|2|156|20],[[2|154|8100]|[2|155|85]|[2|156|20]],icon_txt_T2,,86994,icon_lord_3,,43,lord_equip_desc007,lord_equip_name01,5,3,1
1310044,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1665|15104|4575|10103|580],[[5104|1665]|[15104|4575]|[10103|580]],[2|154|8100|2|155|85|2|156|20],[[2|154|8100]|[2|155|85]|[2|156|20]],icon_txt_T2,,89591,icon_lord_3,,44,lord_equip_desc007,lord_equip_name01,5,3,1
1310045,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1695|15104|4655|10103|590],[[5104|1695]|[15104|4655]|[10103|590]],[2|154|8100|2|155|85|2|156|20],[[2|154|8100]|[2|155|85]|[2|156|20]],icon_txt_T2,,92188,icon_lord_3,,45,lord_equip_desc007,lord_equip_name01,5,3,1
1310046,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1825|15104|5015|10103|635],[[5104|1825]|[15104|5015]|[10103|635]],[2|154|8500|2|155|85|2|156|20],[[2|154|8500]|[2|155|85]|[2|156|20]],icon_txt_T3,,95565,icon_lord_3,,46,lord_equip_desc0061,lord_equip_name01,5,0,1
1310047,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1855|15104|5105|10103|645],[[5104|1855]|[15104|5105]|[10103|645]],[2|154|9000|2|155|95|2|156|20],[[2|154|9000]|[2|155|95]|[2|156|20]],icon_txt_T3,,98942,icon_lord_3,,47,lord_equip_desc0061,lord_equip_name01,5,1,1
1310048,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1890|15104|5190|10103|655],[[5104|1890]|[15104|5190]|[10103|655]],[2|154|9000|2|155|95|2|156|20],[[2|154|9000]|[2|155|95]|[2|156|20]],icon_txt_T3,,102320,icon_lord_3,,48,lord_equip_desc0061,lord_equip_name01,5,1,1
1310049,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1920|15104|5280|10103|665],[[5104|1920]|[15104|5280]|[10103|665]],[2|154|9000|2|155|95|2|156|20],[[2|154|9000]|[2|155|95]|[2|156|20]],icon_txt_T3,,105697,icon_lord_3,,49,lord_equip_desc0061,lord_equip_name01,5,1,1
1310050,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1955|15104|5370|10103|680],[[5104|1955]|[15104|5370]|[10103|680]],[2|154|9000|2|155|95|2|156|20],[[2|154|9000]|[2|155|95]|[2|156|20]],icon_txt_T3,,109075,icon_lord_3,,50,lord_equip_desc0061,lord_equip_name01,5,1,1
1310051,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1985|15104|5460|10103|690],[[5104|1985]|[15104|5460]|[10103|690]],[2|154|9500|2|155|95|2|156|20],[[2|154|9500]|[2|155|95]|[2|156|20]],icon_txt_T3,,112452,icon_lord_3,,51,lord_equip_desc0061,lord_equip_name01,5,2,1
1310052,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2020|15104|5550|10103|700],[[5104|2020]|[15104|5550]|[10103|700]],[2|154|9500|2|155|95|2|156|20],[[2|154|9500]|[2|155|95]|[2|156|20]],icon_txt_T3,,115830,icon_lord_3,,52,lord_equip_desc0061,lord_equip_name01,5,2,1
1310053,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2050|15104|5640|10103|710],[[5104|2050]|[15104|5640]|[10103|710]],[2|154|9500|2|155|95|2|156|20],[[2|154|9500]|[2|155|95]|[2|156|20]],icon_txt_T3,,119207,icon_lord_3,,53,lord_equip_desc0061,lord_equip_name01,5,2,1
1310054,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2085|15104|5730|10103|725],[[5104|2085]|[15104|5730]|[10103|725]],[2|154|9500|2|155|95|2|156|20],[[2|154|9500]|[2|155|95]|[2|156|20]],icon_txt_T3,,122585,icon_lord_3,,54,lord_equip_desc0061,lord_equip_name01,5,2,1
1310055,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2115|15104|5815|10103|735],[[5104|2115]|[15104|5815]|[10103|735]],[2|154|10000|2|155|95|2|156|20],[[2|154|10000]|[2|155|95]|[2|156|20]],icon_txt_T3,,125962,icon_lord_3,,55,lord_equip_desc0061,lord_equip_name01,5,3,1
1310056,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2150|15104|5905|10103|745],[[5104|2150]|[15104|5905]|[10103|745]],[2|154|10000|2|155|95|2|156|20],[[2|154|10000]|[2|155|95]|[2|156|20]],icon_txt_T3,,129340,icon_lord_3,,56,lord_equip_desc0061,lord_equip_name01,5,3,1
1310057,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2180|15104|5995|10103|755],[[5104|2180]|[15104|5995]|[10103|755]],[2|154|10000|2|155|95|2|156|20],[[2|154|10000]|[2|155|95]|[2|156|20]],icon_txt_T3,,132717,icon_lord_3,,57,lord_equip_desc0061,lord_equip_name01,5,3,1
1310058,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2215|15104|6085|10103|770],[[5104|2215]|[15104|6085]|[10103|770]],[2|154|10000|2|155|95|2|156|20],[[2|154|10000]|[2|155|95]|[2|156|20]],icon_txt_T3,,136095,icon_lord_3,,58,lord_equip_desc0061,lord_equip_name01,5,3,1
1310059,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2360|15104|6495|10103|820],[[5104|2360]|[15104|6495]|[10103|820]],[2|154|10000|2|155|90|2|156|20],[[2|154|10000]|[2|155|90]|[2|156|20]],icon_txt_T4,,140427,icon_lord_3,,59,lord_equip_desc0071,lord_equip_name01,5,0,1
1310060,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2400|15104|6595|10103|835],[[5104|2400]|[15104|6595]|[10103|835]],[2|154|13000|2|155|130|2|156|22],[[2|154|13000]|[2|155|130]|[2|156|22]],icon_txt_T4,,144760,icon_lord_3,,60,lord_equip_desc0071,lord_equip_name01,5,1,1
1310061,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2435|15104|6700|10103|845],[[5104|2435]|[15104|6700]|[10103|845]],[2|154|13000|2|155|130|2|156|22],[[2|154|13000]|[2|155|130]|[2|156|22]],icon_txt_T4,,149093,icon_lord_3,,61,lord_equip_desc0071,lord_equip_name01,5,1,1
1310062,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2475|15104|6800|10103|860],[[5104|2475]|[15104|6800]|[10103|860]],[2|154|13000|2|155|130|2|156|22],[[2|154|13000]|[2|155|130]|[2|156|22]],icon_txt_T4,,153426,icon_lord_3,,62,lord_equip_desc0071,lord_equip_name01,5,1,1
1310063,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2510|15104|6900|10103|870],[[5104|2510]|[15104|6900]|[10103|870]],[2|154|13000|2|155|130|2|156|22],[[2|154|13000]|[2|155|130]|[2|156|22]],icon_txt_T4,,157759,icon_lord_3,,63,lord_equip_desc0071,lord_equip_name01,5,1,1
1310064,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2545|15104|7005|10103|885],[[5104|2545]|[15104|7005]|[10103|885]],[2|154|13000|2|155|140|2|156|23],[[2|154|13000]|[2|155|140]|[2|156|23]],icon_txt_T4,,162092,icon_lord_3,,64,lord_equip_desc0071,lord_equip_name01,5,2,1
1310065,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2585|15104|7105|10103|895],[[5104|2585]|[15104|7105]|[10103|895]],[2|154|13000|2|155|140|2|156|23],[[2|154|13000]|[2|155|140]|[2|156|23]],icon_txt_T4,,166424,icon_lord_3,,65,lord_equip_desc0071,lord_equip_name01,5,2,1
1310066,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2620|15104|7210|10103|910],[[5104|2620]|[15104|7210]|[10103|910]],[2|154|13000|2|155|140|2|156|23],[[2|154|13000]|[2|155|140]|[2|156|23]],icon_txt_T4,,170757,icon_lord_3,,66,lord_equip_desc0071,lord_equip_name01,5,2,1
1310067,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2660|15104|7310|10103|925],[[5104|2660]|[15104|7310]|[10103|925]],[2|154|13000|2|155|140|2|156|23],[[2|154|13000]|[2|155|140]|[2|156|23]],icon_txt_T4,,175090,icon_lord_3,,67,lord_equip_desc0071,lord_equip_name01,5,2,1
1310068,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2695|15104|7415|10103|935],[[5104|2695]|[15104|7415]|[10103|935]],[2|154|14000|2|155|150|2|156|25],[[2|154|14000]|[2|155|150]|[2|156|25]],icon_txt_T4,,179423,icon_lord_3,,68,lord_equip_desc0071,lord_equip_name01,5,3,1
1310069,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2735|15104|7515|10103|950],[[5104|2735]|[15104|7515]|[10103|950]],[2|154|14000|2|155|150|2|156|25],[[2|154|14000]|[2|155|150]|[2|156|25]],icon_txt_T4,,183756,icon_lord_3,,69,lord_equip_desc0071,lord_equip_name01,5,3,1
1310070,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2770|15104|7615|10103|960],[[5104|2770]|[15104|7615]|[10103|960]],[2|154|14000|2|155|150|2|156|25],[[2|154|14000]|[2|155|150]|[2|156|25]],icon_txt_T4,,188089,icon_lord_3,,70,lord_equip_desc0071,lord_equip_name01,5,3,1
1310071,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2805|15104|7720|10103|975],[[5104|2805]|[15104|7720]|[10103|975]],[2|154|14000|2|155|150|2|156|25],[[2|154|14000]|[2|155|150]|[2|156|25]],icon_txt_T4,,192422,icon_lord_3,,71,lord_equip_desc0071,lord_equip_name01,5,3,1
1310072,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|2975|15104|8180|10103|1035],[[5104|2975]|[15104|8180]|[10103|1035]],[2|154|15000|2|155|140|2|156|20|2|157|2],[[2|154|15000]|[2|155|140]|[2|156|20]|[2|157|2]],,,196817,icon_lord_3,,72,lord_equip_desc008,lord_equip_name01,6,0,1
1310073,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3005|15104|8270|10103|1045],[[5104|3005]|[15104|8270]|[10103|1045]],[2|154|13000|2|155|140|2|156|20|2|157|2],[[2|154|13000]|[2|155|140]|[2|156|20]|[2|157|2]],,,201212,icon_lord_3,,73,lord_equip_desc008,lord_equip_name01,6,1,1
1310074,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3040|15104|8360|10103|1055],[[5104|3040]|[15104|8360]|[10103|1055]],[2|154|13000|2|155|140|2|156|20|2|157|2],[[2|154|13000]|[2|155|140]|[2|156|20]|[2|157|2]],,,205607,icon_lord_3,,74,lord_equip_desc008,lord_equip_name01,6,1,1
1310075,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3075|15104|8455|10103|1065],[[5104|3075]|[15104|8455]|[10103|1065]],[2|154|13000|2|155|140|2|156|20|2|157|2],[[2|154|13000]|[2|155|140]|[2|156|20]|[2|157|2]],,,210002,icon_lord_3,,75,lord_equip_desc008,lord_equip_name01,6,1,1
1310076,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3110|15104|8545|10103|1080],[[5104|3110]|[15104|8545]|[10103|1080]],[2|154|13000|2|155|140|2|156|20|2|157|2],[[2|154|13000]|[2|155|140]|[2|156|20]|[2|157|2]],,,214397,icon_lord_3,,76,lord_equip_desc008,lord_equip_name01,6,1,1
1310077,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3140|15104|8640|10103|1090],[[5104|3140]|[15104|8640]|[10103|1090]],[2|154|13000|2|155|140|2|156|20|2|157|2],[[2|154|13000]|[2|155|140]|[2|156|20]|[2|157|2]],,,218792,icon_lord_3,,77,lord_equip_desc008,lord_equip_name01,6,1,1
1310078,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3175|15104|8730|10103|1100],[[5104|3175]|[15104|8730]|[10103|1100]],[2|154|13500|2|155|160|2|156|25|2|157|2],[[2|154|13500]|[2|155|160]|[2|156|25]|[2|157|2]],,,223187,icon_lord_3,,78,lord_equip_desc008,lord_equip_name01,6,2,1
1310079,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3210|15104|8820|10103|1115],[[5104|3210]|[15104|8820]|[10103|1115]],[2|154|13500|2|155|160|2|156|25|2|157|2],[[2|154|13500]|[2|155|160]|[2|156|25]|[2|157|2]],,,227582,icon_lord_3,,79,lord_equip_desc008,lord_equip_name01,6,2,1
1310080,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3240|15104|8915|10103|1125],[[5104|3240]|[15104|8915]|[10103|1125]],[2|154|13500|2|155|160|2|156|25|2|157|2],[[2|154|13500]|[2|155|160]|[2|156|25]|[2|157|2]],,,231977,icon_lord_3,,80,lord_equip_desc008,lord_equip_name01,6,2,1
1310081,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3275|15104|9005|10103|1135],[[5104|3275]|[15104|9005]|[10103|1135]],[2|154|13500|2|155|160|2|156|25|2|157|2],[[2|154|13500]|[2|155|160]|[2|156|25]|[2|157|2]],,,236372,icon_lord_3,,81,lord_equip_desc008,lord_equip_name01,6,2,1
1310082,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3310|15104|9095|10103|1150],[[5104|3310]|[15104|9095]|[10103|1150]],[2|154|13500|2|155|160|2|156|25|2|157|2],[[2|154|13500]|[2|155|160]|[2|156|25]|[2|157|2]],,,240767,icon_lord_3,,82,lord_equip_desc008,lord_equip_name01,6,2,1
1310083,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|3340|15104|9190|10103|1160],[[5104|3340]|[15104|9190]|[10103|1160]],[2|154|14000|2|155|160|2|156|25|2|157|4],[[2|154|14000]|[2|155|160]|[2|156|25]|[2|157|4]],,,245162,icon_lord_3,,83,lord_equip_desc008,lord_equip_name01,6,3,1
