id,IsAutoFinish,IsShowInTeleBubble,taskConditionVo,arrow_offset,Atlas,chapter_id,coordinate,coordinates,icon,inherit_type,is_auto_finish,is_change,is_close,is_land_guide,is_show_hand,is_transform_bubble,jumpParams,link_task,map_id,offsetPos,param1,param2,point,portal_use,portal_use2,reward,scene,show_progress,task_condition,task_condition_num,task_discription,task_group,task_guide,task_guide_mun,task_guide_mun2,task_guide2,task_order,task_show_quality,task_type,taskConditionType,unlock_building,unlock_id
1004,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10007,-1,-1,991005,1,-1,-1,-1,[104],,1,,104,0,-1,,,-1,1,1,2,104,task_dec_shangren,1,5,[104],[104],5,-1,-1,1,EventFinish,,
1005,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20007,-1,1,991005,1,1,-1,-1,[101|102|103|104|105|106|107|108|109|110|111],5,1,,4,5,-1,,,3016,1,1,5,4|5,task_dec_cut_5_tree,1,3,[101|102|103|104|105|106|107|108|109|110|111],[101|102|103|104|105|106|107|108|109|110|111],3,-1,-1,1,ResourceCollect,,1003
991005,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20007,-1,1,-1,-1,1,-1,-1,[101|102|103|104|105|106|107|108|109|110|111],5,991,,4,5,-1,,,3019,1,1,5,4|5,task_dec_cut_5_tree,1,3,[101|102|103|104|105|106|107|108|109|110|111],[101|102|103|104|105|106|107|108|109|110|111],3,-1,-1,1,ResourceCollect,,991003
881005,true,false,TaskCondition_CollectResourceLogic,,Atlas/UI_Item,1,[32|70],[32|70],icon_20007,-1,1,-1,-1,1,-1,-1,[881101],5,881,,4,5,-1,,,3016,1,1,5,4|5,collect_a_pile_of_wood,1,3,[881101],[881101],3,-1,-1,1,ResourceCollect,,881003
1029,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60218,-1,1,991029,1,1,-1,-1,[10411],15,1,,10411,1,-1,,,3057,1,1,6,10411|1,task_dec_1,1,3,[10411],[10411],3,-1,-1,1,MonsterKillStatic,,1005
991029,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60218,-1,1,-1,-1,1,-1,-1,[10411],15,991,,10411,1,-1,,,3057,1,1,6,10411|1,task_dec_1,1,3,[10411],[10411],3,-1,-1,1,MonsterKillStatic,,991005
881029,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60218,-1,1,-1,-1,1,-1,-1,[10411],15,881,,10411,1,-1,,,3057,1,1,6,10411|1,task_dec_1,1,3,[10411],[10411],3,-1,-1,1,MonsterKillStatic,,881005
1006,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,991006,1,1,-1,-1,[10001],6,1,,10001,0,-1,,,3002,1,1,2,10001,task_dec_miwu,1,5,[10001],[10001],5,-1,-1,1,EventFinish,,1029
991006,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[9910001],6,991,,9910001,0,-1,,,3002,1,1,2,9910001,task_dec_miwu,1,5,[9910001],[10001],5,-1,-1,1,EventFinish,,991029
881006,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[8810001],6,881,,8810001,0,-1,,,3002,1,1,2,8810001,task_dec_miwu,1,5,[8810001],[10001],5,-1,-1,1,EventFinish,,881029
1007,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_20002,-1,1,991007,1,1,-1,-1,[41002],7,1,,41002,0,-1,,,3029,1,1,2,41002,task_dec_cunmin,1,5,[41002],[41002],5,-1,-1,1,EventFinish,,1006
991007,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[-6.14|47.9],[-6.14|47.9],Head_20002,-1,1,-1,-1,1,-1,-1,[9941002],7,991,,9941002,0,-1,,,3029,1,1,2,9941002,task_dec_cunmin,1,5,[9941002],[41002],5,-1,-1,1,EventFinish,,991006
881007,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_20002,-1,1,-1,-1,1,-1,-1,[8841002],7,881,,8841002,0,-1,,,3029,1,1,2,8841002,task_dec_cunmin,1,5,[8841002],[41002],5,-1,-1,1,EventFinish,,881006
1008,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_muchang,-1,1,991008,1,-1,1,-1,[110],8,1,,110,0,-1,,,3002,1,1,4,110,task_dec_build,1,1,[110],[110],1,-1,-1,1,BuildUnlock,,1007
991008,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[5.22|56.52],[5.22|56.52],Building_muchang,-1,1,-1,-1,-1,1,-1,[110],8,991,,110,0,-1,,,3002,1,1,4,110,task_dec_build,1,1,[110],[110],1,-1,-1,1,BuildUnlock,,991007
881008,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_muchang,-1,1,-1,-1,-1,1,-1,[110],8,881,,110,0,-1,,,3002,1,1,4,110,task_dec_build,1,1,[110],[110],1,-1,-1,1,BuildUnlock,,881007
1036,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,1,991036,1,1,-1,-1,[117],8,1,,117,0,-1,,,3002,1,1,4,117,task_dec_1039,1,1,[117],[117],1,-1,-1,1,BuildUnlock,,1008
991036,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,1,-1,-1,1,-1,-1,[117],8,991,,117,0,-1,,,3002,1,1,4,117,task_dec_1039,1,1,[117],[117],1,-1,-1,1,BuildUnlock,,991008
881036,true,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,1,-1,-1,1,-1,-1,[117],8,881,,117,0,-1,,,3002,1,1,4,117,task_dec_1039,1,1,[117],[117],1,-1,-1,1,BuildUnlock,,881008
1009,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,,,Building_muchang,-1,-1,991011,1,-1,-1,-1,[110],,-1,,110,2,-1,,,3016,1,1,101,110|2,task_dec_build_lvup,1,1,[110],[110],1,-1,-1,1,BuildLevelUp,,
1010,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,,,Building_chengjiandating,-1,-1,991011,1,-1,-1,-1,[117],,-1,,117,2,-1,,,-1,1,1,101,117|2,task_dec_build_lvup,1,1,[117],[117],1,-1,-1,1,BuildLevelUp,,
1024,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_Tech,-1,-1,991011,1,-1,1,-1,[136],,1,,136,0,-1,,,-1,1,1,4,136,task_dec_yanjiuyuan,1,1,[136],[136],1,-1,-1,1,BuildUnlock,,
1025,false,false,TaskCondition_TechnologyVo,,Atlas/UI_Item,1,[32|70],[32|70],icon_30022,-1,-1,991011,1,-1,1,-1,[136],,1,,10010301,0,-1,,,-1,1,1,1049,10010301,task_dec_keji,1,1,[136],[136],1,-1,-1,1,Technology,,
1011,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60043,-1,1,991011,1,1,1,-1,[10511],9|10,1,,10511,5,-1,,,3066,1,1,6,10511|5,task_dec_1,101,3,[10511],[10511],3,-1,-1,1,MonsterKillStatic,,1036
991011,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60043,-1,1,-1,-1,1,1,-1,[10511],9|10,991,,10511,5,-1,,,3066,1,1,6,10511|5,task_dec_1,101,3,[10511],[10511],3,-1,-1,1,MonsterKillStatic,,991036
881011,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60043,-1,1,-1,-1,1,1,-1,[10511],9|10,881,,10511,5,-1,,,3066,1,1,6,10511|5,task_dec_1,101,3,[10511],[10511],3,-1,-1,1,MonsterKillStatic,,881036
1012,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,991012,1,1,-1,-1,[10002],146,1,,10002,0,-1,,,3030,1,1,2,10002,task_dec_miwu,101,5,[10002],[10002],5,-1,-1,1,EventFinish,,1011
991012,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[9910002],146,991,,9910002,0,-1,,,3030,1,1,2,9910002,task_dec_miwu,101,5,[9910002],[10002],5,-1,-1,1,EventFinish,,991011
881012,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[8810002],146,881,,8810002,0,-1,,,3030,1,1,2,8810002,task_dec_miwu,101,5,[8810002],[10002],5,-1,-1,1,EventFinish,,881011
1013,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60020,-1,1,991013,1,1,-1,-1,[10711],12,1,,10711,5,-1,,,3017,1,1,6,10711|5,task_dec_1,101,3,[10711],[10711],3,-1,-1,1,MonsterKillStatic,,1012
991013,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60020,-1,1,-1,-1,1,-1,-1,[10711],12,991,,10711,5,-1,,,3017,1,1,6,10711|5,task_dec_1,101,3,[10711],[10711],3,-1,-1,1,MonsterKillStatic,,991012
881013,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60020,-1,1,-1,-1,1,-1,-1,[10711],12,881,,10711,5,-1,,,3017,1,1,6,10711|5,task_dec_1,101,3,[10711],[10711],3,-1,-1,1,MonsterKillStatic,,881012
1014,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10007,-1,1,991014,1,1,-1,-1,[104],13,1,,104,0,-1,,,3066,1,1,2,104,task_dec_shangren,101,5,[104],[104],5,-1,-1,1,EventFinish,,1013
991014,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10007,-1,1,-1,-1,1,-1,-1,[99104],13,991,,99104,0,-1,,,3066,1,1,2,99104,task_dec_shangren,101,5,[99104],[104],5,-1,-1,1,EventFinish,,991013
881014,true,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10007,-1,1,-1,-1,1,-1,-1,[88104],13,881,,88104,0,-1,,,3066,1,1,2,88104,task_dec_shangren,101,5,[88104],[104],5,-1,-1,1,EventFinish,,881013
1030,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,991030,1,1,-1,-1,[10004],146,1,,10004,0,-1,,,3032,1,1,2,10004,task_dec_miwu,101,5,[10004],[10004],5,-1,-1,1,EventFinish,,1014
991030,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[9910004],146,991,,9910004,0,-1,,,3032,1,1,2,9910004,task_dec_miwu,101,5,[9910004],[10004],5,-1,-1,1,EventFinish,,991014
881030,true,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,1,-1,-1,1,-1,-1,[8810004],146,881,,8810004,0,-1,,,3032,1,1,2,8810004,task_dec_miwu,101,5,[8810004],[10004],5,-1,-1,1,EventFinish,,881014
1015,false,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60008,-1,-1,991016,1,-1,-1,-1,[10611],14,1,,10611,5,-1,,,3019,1,1,1,10611|5,task_dec_1,101,3,[10611],[10611],3,-1,-1,1,MonsterKill,,
1016,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60009,-1,1,991016,1,1,-1,-1,[15111],15,1,,15111,1,-1,,,3066,1,1,6,15111|1,task_dec_1,101,3,[15111],[15111],3,-1,-1,1,MonsterKillStatic,,1030
991016,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60009,-1,1,-1,-1,1,-1,-1,[9915111],15,991,,9915111,1,-1,,,3066,1,1,6,9915111|1,task_dec_1,101,3,[9915111],[15111],3,-1,-1,1,MonsterKillStatic,,991030
881016,true,false,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[32|70],[32|70],Head_60009,-1,1,-1,-1,1,-1,-1,[8815111],15,881,,8815111,1,-1,,,3066,1,1,6,8815111|1,task_dec_1,101,3,[8815111],[15111],3,-1,-1,1,MonsterKillStatic,,881030
1017,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,-1,991017,1,1,-1,-1,[10005],90,1,,10005,0,-1,,,3019,1,1,2,10005,task_dec_miwu,101,5,[10005],[10005],5,-1,-1,1,EventFinish,,1016
991017,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,-1,-1,-1,1,-1,-1,[9910005],90,991,,9910005,0,-1,,,3019,1,1,2,9910005,task_dec_miwu,101,5,[9910005],[10005],5,-1,-1,1,EventFinish,,991016
881017,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_03,-1,-1,-1,-1,1,-1,-1,[8810005],90,881,,8810005,0,-1,,,3019,1,1,2,8810005,task_dec_miwu,101,5,[8810005],[10005],5,-1,-1,1,EventFinish,,881016
1026,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10006,-1,-1,991018,1,-1,-1,-1,[103],,1,,103,0,-1,,,-1,1,1,2,103,task_dec_mofashi,101,5,[103],[103],5,-1,-1,1,EventFinish,,
1031,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,-1,[20|176],[20|176],Head_10032,-1,-1,991031,1,1,-1,-1,[14],,2,,14,0,-1,,,3019,1,1,2,14,task_dec_laobanniangNPC,101,5,[14],[14],5,-1,-1,1,EventFinish,,1017
991031,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,-1,[20|176],[20|176],Head_10032,-1,-1,-1,-1,1,-1,-1,[9914],,992,,9914,0,-1,,,3019,1,1,2,9914,task_dec_laobanniangNPC,101,5,[9914],[14],5,-1,-1,1,EventFinish,,991017
881031,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,-1,[20|176],[20|176],Head_10032,-1,-1,-1,-1,1,-1,-1,[8814],,882,,8814,0,-1,,,3019,1,1,2,8814,task_dec_laobanniangNPC,101,5,[8814],[14],5,-1,-1,1,EventFinish,,881017
1018,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,991018,1,1,-1,-1,[20021],16,1,,20021,0,-1,,,3019,1,1,2,20021,task_dec_chuansong,101,5,[20021],[20021],5,-1,-1,1,EventFinish,,1031
991018,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,-1,-1,1,-1,-1,[9920021],16,991,,9920021,0,-1,,,3019,1,1,2,9920021,task_dec_chuansong,101,5,[9920021],[20021],5,-1,-1,1,EventFinish,,991031
881018,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,-1,-1,1,-1,-1,[8820021],16,881,,8820021,0,-1,,,3019,1,1,2,8820021,task_dec_chuansong,101,5,[8820021],[20021],5,-1,-1,1,EventFinish,,881031
1019,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,991019,1,-1,-1,-1,[20021],111,1,,20011,0,-1,,,3013,1,-1,31,20011,task_dec_go_chuansong,101,5,[20021],[20021],5,-1,-1,1,Translate,,1018
991019,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,-1,-1,-1,-1,-1,[9920021],111,991,,9920011,0,-1,,,3013,1,-1,31,9920011,task_dec_go_chuansong,101,5,[9920021],[20021],5,-1,-1,1,Translate,,991018
881019,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,-1,-1,-1,-1,-1,[8820021],111,881,,8820011,0,-1,,,3013,1,-1,31,8820011,task_dec_go_chuansong,101,5,[8820021],[20021],5,-1,-1,1,Translate,,881018
1037,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,-1,991037,1,-1,-1,-1,[117],,1,,117,2,-1,20011,20011,3040,1,1,101,117|2,task_dec_build_lvup,101,1,[117],[117],1,-1,-1,1,BuildLevelUp,,1019
991037,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,-1,-1,-1,-1,10,-1,[117],,991,,117,2,-1,9920011,9920011,3040,1,1,101,117|2,task_dec_build_lvup,101,1,[117],[117],1,-1,-1,1,BuildLevelUp,,991019
881037,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,-1,-1,-1,-1,10,-1,[117],,881,,117,2,-1,8820011,8820011,3040,1,1,101,117|2,task_dec_build_lvup,101,1,[117],[117],1,-1,-1,1,BuildLevelUp,,881019
1023,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_quyu,-1,-1,992002,1,-1,-1,-1,[1],148,1,,1,0,-1,20011,20011,-1,1,-1,30,1,task_dec_quyu1,101,10,[1],[1],10,-1,-1,1,VillageExtension,,
1020,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_jiuguan,-1,-1,991020,1,-1,-1,-1,[115],,1,,115,0,-1,20011,20011,3040,1,-1,4,115,task_dec_build,101,1,[115],[115|3],1,-1,-1,1,BuildUnlock,,1037
991020,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_jiuguan,-1,-1,-1,-1,-1,-1,-1,[115],,991,,115,0,-1,9920011,9920011,3040,1,-1,4,115,task_dec_build,101,1,[115],[115],1,-1,-1,1,BuildUnlock,,991037
881020,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_jiuguan,-1,-1,-1,-1,-1,-1,-1,[115],,881,,115,0,-1,8820011,8820011,3040,1,-1,4,115,task_dec_build,101,1,[115],[115],1,-1,-1,1,BuildUnlock,,881037
1032,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,-1,[32|70],[32|70],Building_jiuguan,-1,-1,991033,1,-1,-1,-1,[115|2],,1,,115,2,-1,20011,20011,3066,1,-1,101,115|2,task_dec_build_lvup,101,1,[115|2],[115|2],1,-1,-1,1,BuildLevelUp,,
1033,false,false,TaskConditionBaseVO,,Atlas/UI_Item,-1,[32|70],[32|70],icon_30003,-1,-1,991033,1,-1,-1,-1,[115|1],,1,,1,0,-1,20011,20011,3013,1,-1,1014,1,task_dec_gacha,101,1,[115|1],[115|1],1,-1,-1,1,1014,,1020
991033,false,false,TaskConditionBaseVO,,Atlas/UI_Item,-1,[32|70],[32|70],icon_30003,-1,-1,-1,-1,-1,-1,-1,[115|1],,991,,1,0,-1,9920011,9920011,3013,1,-1,1014,1,task_dec_gacha,101,1,[115|1],[115|1],1,-1,-1,1,1014,,991020
881033,false,false,TaskConditionBaseVO,,Atlas/UI_Item,-1,[32|70],[32|70],icon_30003,-1,-1,-1,-1,-1,-1,-1,[115|1],,881,,1,0,-1,8820011,8820011,3013,1,-1,1014,1,task_dec_gacha,101,1,[115|1],[115|1],1,-1,-1,1,1014,,881020
1038,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10004,-1,-1,991038,1,-1,-1,-1,[10801],,1,,10004,3,-1,,,3074,1,1,1052,10004|3,task_dec_hero_lvup_new,101,16,[10801],[10801],16,-1,-1,1,UpgradeHero,,1033
991038,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10004,-1,-1,-1,-1,-1,10,-1,[10801],,991,,10004,3,-1,,,3074,1,1,1052,10004|3,task_dec_hero_lvup_new,101,16,[10801],[10801],16,-1,-1,1,UpgradeHero,,991033
881038,false,false,TaskConditionBaseVO,,Atlas/UI_Hero_Head,1,[32|70],[32|70],Head_10004,-1,-1,-1,-1,-1,10,-1,[10801],,881,,10004,3,-1,,,3074,1,1,1052,10004|3,task_dec_hero_lvup_new,101,16,[10801],[10801],16,-1,-1,1,UpgradeHero,,881033
1022,false,false,TaskCondition_BuildingLvUpLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_chengjiandating,-1,-1,991034,1,-1,-1,-1,[117],,1,,117,2,-1,20011,20011,3006,1,1,101,117|2,task_dec_build_lvup,101,1,[117],[117],1,-1,-1,1,BuildLevelUp,,1033
1034,false,false,TaskConditionBaseVO,,Atlas/UI_Building,-1,[32|70],[32|70],Building_quyu,-1,-1,991034,1,-1,-1,-1,[1],,1,,1,0,-1,20011,20011,3042,1,-1,30,1,task_dec_quyu2,101,10,[1],[1],10,-1,-1,1,VillageExtension,,1038
991034,false,false,TaskConditionBaseVO,,Atlas/UI_Building,-1,[32|70],[32|70],Building_quyu,-1,-1,-1,-1,-1,-1,-1,[1],,991,,1,0,-1,9920011,9920011,3042,1,-1,30,1,task_dec_quyu2,101,10,[1],[1],10,-1,-1,1,VillageExtension,,991038
881034,false,false,TaskConditionBaseVO,,Atlas/UI_Building,-1,[32|70],[32|70],Building_quyu,-1,-1,-1,-1,-1,-1,-1,[1],,881,,1,0,-1,8820011,8820011,3042,1,-1,30,1,task_dec_quyu2,101,10,[1],[1],10,-1,-1,1,VillageExtension,,881038
1035,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,-1,[32|70],[32|70],Building_team_01,-1,-1,991035,1,-1,-1,-1,[130],,1,,130,0,-1,20011,20011,3043,1,-1,4,130,task_dec_build,101,1,[130],[130|3],1,-1,-1,1,BuildUnlock,,1034
991035,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,-1,[32|70],[32|70],Building_team_01,-1,-1,-1,-1,-1,-1,-1,[130],,991,,130,0,-1,9920011,9920011,3043,1,-1,4,130,task_dec_build,101,1,[130],[130|3],1,-1,-1,1,BuildUnlock,,991034
881035,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,-1,[32|70],[32|70],Building_team_01,-1,-1,-1,-1,-1,-1,-1,[130],,881,,130,0,-1,8820011,8820011,3043,1,-1,4,130,task_dec_build,101,1,[130],[130|3],1,-1,-1,1,BuildUnlock,,881034
1021,false,false,TaskCondition_BuildingBuildLogic,,Atlas/UI_Building,1,[32|70],[32|70],Building_lianmeng,-1,-1,992002,1,-1,-1,-1,[116],167,1,,116,0,-1,20011,20011,3037,1,-1,4,116,task_dec_build,101,1,[116],[116],1,-1,-1,1,BuildUnlock,,
1027,false,false,TaskCondition_TechnologyVo,,Atlas/UI_Item,1,[32|70],[32|70],icon_30022,-1,-1,992002,1,-1,-1,-1,[136],,1,,10010302,0,-1,20011,20011,-1,1,1,1049,10010302,task_dec_keji,101,1,[136],[136],1,-1,-1,1,Technology,,
2001,false,false,TaskConditionBaseVO,,Atlas/UI_Building,1,[32|70],[32|70],Building_02,-1,-1,992002,1,-1,-1,-1,[20011],110,1,,20021,0,-1,20021,20021,-1,1,-1,31,20021,task_dec_go_chuansong_2,201,5,[20011],[20011],5,-1,-1,1,Translate,,
2002,false,true,TaskCondition_KillMonsterLogic,,Atlas/UI_Monster_Head,1,[85|97],[85|97],Head_60057,-1,-1,992002,1,1,-1,1,[20111],17,2,,20111,8,-1,20021,20021,3004,1,1,6,20111|8,task_dec_1,201,3,[20111],[20111],3,-1,-1,1,MonsterKillStatic,,1035
