id,eliteMonsterAttrList,monsterAttrList,alert_range,attr_level,boss_reward,Cannot_push,chase_range,elite_kill_exp,elite_kill_exp_hero,elite_monster_attr,elite_monster_attr_group,elite_probability,elite_reward_id,elite_rewardIds,fight_bubble,fightBubbleMeta,first_reward_id,first_rewardIds,firstkill_dialog,firstkill_event_id,haloFX,haloFX__scale,ini_action,Is_Boss,kill_event_id,kill_exp,kill_exp_hero,level,map_id,model_scale,monster_attr,monster_attr_group,name,OutRangeRecaver,patrol_distance,patrol_idle_time,patrol_range,relive_cdtime,reward_id,rewardIds,unitID
111,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_111,-1,,,-1,30000,[3],[3],50011
112,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[202],[202],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_102,-1,,,-1,30000,[3],[3],50024
113,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_109,-1,,,-1,30000,[3],[3],50023
114,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[203],[203],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_105,-1,,,-1,30000,[3],[3],50027
115,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50027
116,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[201],[201],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_105,-1,,,-1,30000,[3],[3],50025
117,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[201],[201],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_111,-1,,,-1,30000,[3],[3],50025
118,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",2,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50023
119,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[205],[205],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_110,-1,,,-1,30000,[3],[3],50016
120,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_102,-1,,,-1,30000,[3],[3],50002
121,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[206],[206],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50014
122,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_108,-1,,,-1,30000,[3],[3],50015
123,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[207],[207],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50017
124,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_108,-1,,,-1,30000,[3],[3],50018
125,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[208],[208],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50020
126,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_106,-1,,,-1,30000,[3],[3],50014
127,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[209],[209],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_104,-1,,,-1,30000,[3],[3],50015
128,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_101,-1,,,-1,30000,[3],[3],50015
129,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_102,-1,,,-1,30000,[3],[3],50023
130,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_109,-1,,,-1,30000,[3],[3],50024
131,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_101,-1,,,-1,30000,[3],[3],50015
132,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[205],[205],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_101,-1,,,-1,30000,[3],[3],50028
133,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[3],[3],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_101,-1,,,-1,30000,[3],[3],50029
301,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_301,-1,,,-1,30000,[4],[4],51001
302,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_302,-1,,,-1,30000,[4],[4],51002
303,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_303,-1,,,-1,30000,[4],[4],51003
304,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_304,-1,,,-1,30000,[4],[4],51004
305,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_305,-1,,,-1,30000,[4],[4],51005
306,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_306,-1,,,-1,30000,[4],[4],51006
307,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_307,-1,,,-1,30000,[4],[4],51007
308,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_308,-1,,,-1,30000,[4],[4],51008
309,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_309,-1,,,-1,30000,[4],[4],51009
310,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_310,-1,,,-1,30000,[4],[4],51010
311,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[4],[4],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_311,-1,,,-1,30000,[4],[4],51012
350,[[3|1]|[4|75]],[[3|1]|[4|75]],1,-1,,-1,1,0,-1,"3|1,4|75",1,-1,[416|416|416|416|416|416|416|416|416|416|415|415|415|415|415|415|415|415|415|415|414|414|414|414|414|414|414|414|414|414|414|414|414|414|414],[416|416|416|416|416|416|416|416|416|416|415|415|415|415|415|415|415|415|415|415|414|414|414|414|414|414|414|414|414|414|414|414|414|414|414],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,70,"3|1,4|75",1,monster_name_350,-1,,,-1,-1,[416|416|416|416|416|416|416|416|416|416|415|415|415|415|415|415|415|415|415|415|414|414|414|414|414|414|414|414|414|414|414|414|414|414|414],[416|416|416|416|416|416|416|416|416|416|415|415|415|415|415|415|415|415|415|415|414|414|414|414|414|414|414|414|414|414|414|414|414|414|414],51015
400,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[24],[24],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[24],[24],51012
401,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[25],[25],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[25],[25],51012
402,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[26],[26],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[26],[26],51012
403,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[27],[27],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[27],[27],51012
404,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[28],[28],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[28],[28],51012
405,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[29],[29],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[29],[29],51012
406,[[3|1]|[4|6]],[[3|1]|[4|3]],1,-1,,-1,1,0,-1,"3|1,4|6",1,-1,[30],[30],,,,[],-1,-1,,-1,,-1,-1,0,-1,0,-1,60,"3|1,4|3",1,monster_name_400,-1,,,-1,-1,[30],[30],51012
1101,[[3|192]|[4|682]],[[3|90]|[4|455]],500,4,,-1,800,0,-1,"3|192,4|682",3,-1,[610],[610],,,,[],-1,-1,,-1,,-1,-1,0,-1,4,-1,60,"3|90,4|455",2,,-1,,,-1,-1,[610],[610],60044
1201,[[3|531]|[4|1810]],[[3|230]|[4|850]],500,6,,-1,800,0,-1,"3|531,4|1810",3,-1,[612],[612],,,,[],-1,-1,,-1,,-1,-1,0,-1,6,-1,60,"3|230,4|850",2,,-1,,,-1,-1,[612],[612],60061
1301,[[3|1255]|[4|4224]],[[3|768]|[4|2076]],500,8,,-1,800,0,-1,"3|1255,4|4224",3,-1,[614],[614],,,,[],-1,-1,,-1,,-1,-1,0,-1,8,-1,60,"3|768,4|2076",2,,-1,,,-1,-1,[614],[614],60086
1401,[[3|812]|[4|3277]],[[3|795]|[4|3208]],500,10,,-1,800,0,-1,"3|812,4|3277",3,-1,[616],[616],,,,[],-1,-1,,-1,,-1,-1,0,-1,10,-1,60,"3|795,4|3208",2,,-1,,,-1,-1,[616],[616],60055
1501,[[3|1008]|[4|3692]],[[3|1008]|[4|3692]],500,12,,-1,800,0,-1,"3|1008,4|3692",3,-1,[618],[618],,,,[],-1,-1,,-1,,-1,-1,0,-1,12,-1,60,"3|1008,4|3692",2,,-1,,,-1,-1,[618],[618],60023
1601,[[3|1068]|[4|4301]],[[3|1068]|[4|4301]],500,14,,-1,800,0,-1,"3|1068,4|4301",3,-1,[620],[620],,,,[],-1,-1,,-1,,-1,-1,0,-1,14,-1,60,"3|1068,4|4301",2,,-1,,,-1,-1,[620],[620],60064
1701,[[3|1150]|[4|4301]],[[3|1313]|[4|5069]],500,16,,-1,800,0,-1,"3|1150,4|4301",3,-1,[620],[620],,,,[],-1,-1,,-1,,-1,-1,0,-1,16,-1,60,"3|1313,4|5069",2,,-1,,,-1,-1,[620],[620],60085
1801,[[3|1150]|[4|4301]],[[3|1545]|[4|6207]],500,18,,-1,800,0,-1,"3|1150,4|4301",3,-1,[620],[620],,,,[],-1,-1,,-1,,-1,-1,0,-1,18,-1,60,"3|1545,4|6207",2,,-1,,,-1,-1,[620],[620],60106
2101,[[3|384]|[4|11418]],[[3|215]|[4|7612]],500,4,,-1,800,0,-1,"3|384,4|11418",3,-1,[611|6505|6506],[611|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,4,-1,60,"3|215,4|7612",2,,-1,,,-1,-1,[611|6505|6506],[611|6505|6506],60059
2201,[[3|1380]|[4|40837]],[[3|420]|[4|18000]],500,6,,-1,800,0,-1,"3|1380,4|40837",3,-1,[613|6505|6506],[613|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,6,-1,60,"3|420,4|18000",2,,-1,,,-1,-1,[613|6505|6506],[613|6505|6506],60025
2301,[[3|2331]|[4|68803]],[[3|1254]|[4|30869]],500,8,,-1,800,0,-1,"3|2331,4|68803",3,-1,[615|6505|6506],[615|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,8,-1,60,"3|1254,4|30869",2,,-1,,,-1,-1,[615|6505|6506],[615|6505|6506],60050
2401,[[3|2776]|[4|52509]],[[3|2076]|[4|40509]],500,10,,-1,800,0,-1,"3|2776,4|52509",3,-1,[617|6505|6506],[617|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,10,-1,60,"3|2076,4|40509",2,,-1,,,-1,-1,[617|6505|6506],[617|6505|6506],60059
2501,[[3|3222]|[4|60149]],[[3|3222]|[4|60149]],500,12,,-1,800,0,-1,"3|3222,4|60149",3,-1,[619|6505|6506],[619|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,12,-1,60,"3|3222,4|60149",2,,-1,,,-1,-1,[619|6505|6506],[619|6505|6506],60025
2601,[[3|3669]|[4|65766]],[[3|3669]|[4|65766]],500,14,,-1,800,0,-1,"3|3669,4|65766",3,-1,[621|6505|6506],[621|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,14,-1,60,"3|3669,4|65766",2,,-1,,,-1,-1,[621|6505|6506],[621|6505|6506],60050
2701,[[3|3669]|[4|65766]],[[3|3669]|[4|75766]],500,16,,-1,800,0,-1,"3|3669,4|65766",3,-1,[621|6505|6506],[621|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,16,-1,60,"3|3669,4|75766",2,,-1,,,-1,-1,[621|6505|6506],[621|6505|6506],60099
2801,[[3|3669]|[4|65766]],[[3|3669]|[4|85766]],500,18,,-1,800,0,-1,"3|3669,4|65766",3,-1,[621|6505|6506],[621|6505|6506],,,,[],-1,-1,,-1,,-1,-1,0,-1,18,-1,60,"3|3669,4|85766",2,,-1,,,-1,-1,[621|6505|6506],[621|6505|6506],60051
4001,[[3|121]|[4|1305]],[[3|81]|[4|870]],500,5,,-1,800,0,-1,"3|121,4|1305",3,10000,[701|701|701|721],[701|701|701|721],,,,[],-1,-1,,-1,,-1,-1,0,-1,5,-1,75,"3|81,4|870",2,,1,,,-1,-1,[701|701|701|721],[701|701|701|721],60102
4002,[[3|241]|[4|2505]],[[3|161]|[4|1670]],500,10,,-1,800,0,-1,"3|241,4|2505",3,10000,[702|702|702|722],[702|702|702|722],,,,[],-1,-1,,-1,,-1,-1,0,-1,10,-1,75,"3|161,4|1670",2,,1,,,-1,-1,[702|702|702|722],[702|702|702|722],60103
4003,[[3|636]|[4|6447]],[[3|424]|[4|4298]],500,15,,-1,800,0,-1,"3|636,4|6447",3,10000,[703|703|703|723],[703|703|703|723],,,,[],-1,-1,,-1,,-1,-1,0,-1,15,-1,75,"3|424,4|4298",2,,1,,,-1,-1,[703|703|703|723],[703|703|703|723],60102
4004,[[3|768]|[4|7767]],[[3|512]|[4|5178]],500,20,,-1,800,0,-1,"3|768,4|7767",3,10000,[704|704|704|724],[704|704|704|724],,,,[],-1,-1,,-1,,-1,-1,0,-1,20,-1,75,"3|512,4|5178",2,,1,,,-1,-1,[704|704|704|724],[704|704|704|724],60103
4005,[[3|1636]|[4|16449]],[[3|1091]|[4|10966]],500,25,,-1,800,0,-1,"3|1636,4|16449",3,10000,[705|705|705|725],[705|705|705|725],,,,[],-1,-1,,-1,,-1,-1,0,-1,25,-1,75,"3|1091,4|10966",2,,1,,,-1,-1,[705|705|705|725],[705|705|705|725],60102
4006,[[3|2041]|[4|20500]],[[3|1361]|[4|13667]],500,30,,-1,800,0,-1,"3|2041,4|20500",3,10000,[706|706|706|726],[706|706|706|726],,,,[],-1,-1,,-1,,-1,-1,0,-1,30,-1,75,"3|1361,4|13667",2,,1,,,-1,-1,[706|706|706|726],[706|706|706|726],60103
4007,[[3|2590]|[4|25981]],[[3|1727]|[4|17321]],500,35,,-1,800,0,-1,"3|2590,4|25981",3,10000,[707|707|707|727],[707|707|707|727],,,,[],-1,-1,,-1,,-1,-1,0,-1,35,-1,75,"3|1727,4|17321",2,,1,,,-1,-1,[707|707|707|727],[707|707|707|727],60102
4008,[[3|3274]|[4|32821]],[[3|2183]|[4|21881]],500,40,,-1,800,0,-1,"3|3274,4|32821",3,10000,[708|708|708|728],[708|708|708|728],,,,[],-1,-1,,-1,,-1,-1,0,-1,40,-1,75,"3|2183,4|21881",2,,1,,,-1,-1,[708|708|708|728],[708|708|708|728],60103
4009,[[3|3418]|[4|34261]],[[3|2279]|[4|22841]],500,45,,-1,800,0,-1,"3|3418,4|34261",3,10000,[709|709|709|729],[709|709|709|729],,,,[],-1,-1,,-1,,-1,-1,0,-1,45,-1,75,"3|2279,4|22841",2,,1,,,-1,-1,[709|709|709|729],[709|709|709|729],60102
4010,[[3|3562]|[4|35701]],[[3|2375]|[4|23801]],500,50,,-1,800,0,-1,"3|3562,4|35701",3,10000,[710|710|710|730],[710|710|710|730],,,,[],-1,-1,,-1,,-1,-1,0,-1,50,-1,75,"3|2375,4|23801",2,,1,,,-1,-1,[710|710|710|730],[710|710|710|730],60103
5000,[[3|192]|[4|682]],[[3|50]|[4|650]],400,5,,-1,600,-1,-1,"3|192,4|682",3,-1,[301],[301],,,,[],-1,-1,,-1,,-1,-1,-1,-1,5,-1,33,"3|50,4|650",2,,1,,,-1,-1,[301],[301],60071
5001,[[3|192]|[4|682]],[[3|70]|[4|700]],400,5,,-1,600,-1,-1,"3|192,4|682",3,-1,[302],[302],,,,[],-1,-1,,-1,,-1,-1,-1,-1,5,-1,33,"3|70,4|700",2,,1,,,-1,-1,[302],[302],60044
5002,[[3|520]|[4|10000]],[[3|520]|[4|10000]],400,5,,-1,600,-1,-1,"3|520,4|10000",3,10000,[303],[303],,,,[],-1,-1,,-1,,-1,-1,-1,-1,5,-1,100,"3|520,4|10000",2,,1,,,-1,-1,[303],[303],60072
5003,[[3|192]|[4|682]],[[3|170]|[4|1500]],400,6,,-1,600,-1,-1,"3|192,4|682",3,-1,[304],[304],,,,[],-1,-1,,-1,,-1,-1,-1,-1,6,-1,33,"3|170,4|1500",2,,1,,,-1,-1,[304],[304],60118
5004,[[3|900]|[4|15000]],[[3|900]|[4|15000]],400,6,,-1,600,-1,-1,"3|900,4|15000",3,-1,[305],[305],,,,[],-1,-1,,-1,,-1,-1,-1,-1,6,-1,33,"3|900,4|15000",2,,1,,,-1,-1,[305],[305],60119
5005,[[3|192]|[4|682]],[[3|200]|[4|1700]],400,6,,-1,600,-1,-1,"3|192,4|682",3,-1,[306],[306],,,,[],-1,-1,,-1,,-1,-1,-1,-1,6,-1,33,"3|200,4|1700",2,,1,,,-1,-1,[306],[306],60071
5006,[[3|192]|[4|682]],[[3|200]|[4|1700]],400,6,,-1,600,-1,-1,"3|192,4|682",3,-1,[307],[307],,,,[],-1,-1,,-1,,-1,-1,-1,-1,6,-1,33,"3|200,4|1700",2,,1,,,-1,-1,[307],[307],60079
5007,[[3|252]|[4|10000]],[[3|200]|[4|1700]],400,6,,-1,600,-1,-1,"3|252,4|10000",3,10000,[308],[308],,,,[],-1,-1,,-1,,-1,-1,-1,-1,6,-1,90,"3|200,4|1700",2,,1,,,-1,-1,[308],[308],60079
5010,[[3|215]|[4|1870]],[[3|215]|[4|1870]],400,7,,-1,600,-1,-1,"3|215,4|1870",3,-1,[309],[309],,,,[],-1,-1,,-1,,-1,-1,-1,-1,7,-1,33,"3|215,4|1870",2,,1,,,-1,-1,[309],[309],60069
5011,[[3|217]|[4|1888]],[[3|217]|[4|1888]],400,7,,-1,600,-1,-1,"3|217,4|1888",3,-1,[310],[310],,,,[],-1,-1,,-1,,-1,-1,-1,-1,7,-1,33,"3|217,4|1888",2,,1,,,-1,-1,[310],[310],60091
5012,[[3|1020]|[4|18360]],[[3|306]|[4|1981]],400,7,,-1,600,-1,-1,"3|1020,4|18360",3,10000,[311],[311],,,,[],-1,-1,,-1,,-1,-1,-1,-1,7,-1,70,"3|306,4|1981",2,,1,,,-1,-1,[311],[311],60020
5013,[[3|329]|[4|2130]],[[3|329]|[4|2130]],400,8,,-1,600,-1,-1,"3|329,4|2130",3,-1,[312],[312],,,,[],-1,-1,,-1,,-1,-1,-1,-1,8,-1,33,"3|329,4|2130",2,,1,,,-1,-1,[312],[312],60024
5014,[[3|470]|[4|3060]],[[3|470]|[4|3060]],400,8,,-1,600,-1,-1,"3|470,4|3060",3,-1,[313],[313],,,,[],-1,-1,,-1,,-1,-1,-1,-1,8,-1,33,"3|470,4|3060",2,,1,,,-1,-1,[313],[313],60019
5015,[[3|514]|[4|3465]],[[3|514]|[4|3465]],400,8,,-1,600,-1,-1,"3|514,4|3465",3,-1,[314],[314],,,,[],-1,-1,,-1,,-1,-1,-1,-1,8,-1,33,"3|514,4|3465",2,,1,,,-1,-1,[314],[314],60069
5016,[[3|742]|[4|16483]],[[3|742]|[4|4402]],400,8,,-1,600,-1,-1,"3|742,4|16483",3,10000,[315],[315],,,,[],-1,-1,,-1,,-1,-1,-1,-1,8,-1,60,"3|742,4|4402",2,,1,,,-1,-1,[315],[315],60069
