id,base_power,lev,level_up_num,para,power,race,rare,type
372203,210,3,3,"4062|114,64|2307",4140,2,3,2
372204,280,4,3,"4062|152,64|3076",5520,2,4,2
372205,345,5,3,"4062|190,64|3845",6900,2,4,2
372206,415,6,3,"4062|228,64|4614",8280,2,4,2
372207,485,7,3,"4062|266,64|5383",9660,2,5,2
372208,625,8,3,"4062|344,64|6922",12438,2,5,2
372209,765,9,3,"4062|422,64|8461",15216,2,5,2
372210,900,10,-1,"4062|500,64|10000",18000,2,6,2
372301,70,1,3,"5062|38,64|769",1380,3,3,2
372302,140,2,3,"5062|76,64|1538",2760,3,3,2
372303,210,3,3,"5062|114,64|2307",4140,3,3,2
372304,280,4,3,"5062|152,64|3076",5520,3,4,2
372305,345,5,3,"5062|190,64|3845",6900,3,4,2
372306,415,6,3,"5062|228,64|4614",8280,3,4,2
372307,485,7,3,"5062|266,64|5383",9660,3,5,2
372308,625,8,3,"5062|344,64|6922",12438,3,5,2
372309,765,9,3,"5062|422,64|8461",15216,3,5,2
372310,900,10,-1,"5062|500,64|10000",18000,3,6,2
373101,70,1,3,"3063|50,22|600",1380,1,3,3
373102,140,2,3,"3063|100,22|1200",2760,1,3,3
373103,210,3,3,"3063|150,22|1800",4140,1,3,3
373104,280,4,3,"3063|200,22|2400",5520,1,4,3
373105,345,5,3,"3063|250,22|3000",6900,1,4,3
373106,415,6,3,"3063|300,22|3600",8280,1,4,3
373107,485,7,3,"3063|350,22|4200",9660,1,5,3
373108,625,8,3,"3063|400,22|4800",12438,1,5,3
373109,765,9,3,"3063|450,22|5400",15216,1,5,3
373110,900,10,-1,"3063|500,22|6000",18000,1,6,3
373201,70,1,3,"4063|50,22|600",1380,2,3,3
373202,140,2,3,"4063|100,22|1200",2760,2,3,3
373203,210,3,3,"4063|150,22|1800",4140,2,3,3
373204,280,4,3,"4063|200,22|2400",5520,2,4,3
373205,345,5,3,"4063|250,22|3000",6900,2,4,3
373206,415,6,3,"4063|300,22|3600",8280,2,4,3
373207,485,7,3,"4063|350,22|4200",9660,2,5,3
373208,625,8,3,"4063|400,22|4800",12438,2,5,3
373209,765,9,3,"4063|450,22|5400",15216,2,5,3
373210,900,10,-1,"4063|500,22|6000",18000,2,6,3
373301,70,1,3,"5063|50,22|600",1380,3,3,3
373302,140,2,3,"5063|100,22|1200",2760,3,3,3
373303,210,3,3,"5063|150,22|1800",4140,3,3,3
373304,280,4,3,"5063|200,22|2400",5520,3,4,3
373305,345,5,3,"5063|250,22|3000",6900,3,4,3
373306,415,6,3,"5063|300,22|3600",8280,3,4,3
373307,485,7,3,"5063|350,22|4200",9660,3,5,3
373308,625,8,3,"5063|400,22|4800",12438,3,5,3
373309,765,9,3,"5063|450,22|5400",15216,3,5,3
373310,900,10,-1,"5063|500,22|6000",18000,3,6,3
374101,70,1,3,3063|230,1380,1,3,4
374102,140,2,3,3063|460,2760,1,3,4
374103,210,3,3,3063|690,4140,1,3,4
374104,280,4,3,3063|920,5520,1,4,4
374105,345,5,3,3063|1150,6900,1,4,4
374106,415,6,3,3063|1380,8280,1,4,4
374107,485,7,3,3063|1610,9660,1,5,4
374108,625,8,3,3063|2073,12438,1,5,4
374109,765,9,3,3063|2536,15216,1,5,4
374110,900,10,-1,3063|3000,18000,1,6,4
374201,70,1,3,4063|230,1380,2,3,4
374202,140,2,3,4063|460,2760,2,3,4
374203,210,3,3,4063|690,4140,2,3,4
374204,280,4,3,4063|920,5520,2,4,4
374205,345,5,3,4063|1150,6900,2,4,4
374206,415,6,3,4063|1380,8280,2,4,4
374207,485,7,3,4063|1610,9660,2,5,4
374208,625,8,3,4063|2073,12438,2,5,4
374209,765,9,3,4063|2536,15216,2,5,4
374210,900,10,-1,4063|3000,18000,2,6,4
374301,70,1,3,5063|230,1380,3,3,4
374302,140,2,3,5063|460,2760,3,3,4
374303,210,3,3,5063|690,4140,3,3,4
374304,280,4,3,5063|920,5520,3,4,4
374305,345,5,3,5063|1150,6900,3,4,4
374306,415,6,3,5063|1380,8280,3,4,4
374307,485,7,3,5063|1610,9660,3,5,4
374308,625,8,3,5063|2073,12438,3,5,4
374309,765,9,3,5063|2536,15216,3,5,4
374310,900,10,-1,5063|3000,18000,3,6,4
375101,70,1,3,"3062|115,3063|115",1380,1,3,5
375102,140,2,3,"3062|230,3063|230",2760,1,3,5
375103,210,3,3,"3062|345,3063|345",4140,1,3,5
375104,280,4,3,"3062|460,3063|460",5520,1,4,5
375105,345,5,3,"3062|575,3063|575",6900,1,4,5
375106,415,6,3,"3062|690,3063|690",8280,1,4,5
375107,485,7,3,"3062|805,3063|805",9660,1,5,5
375108,625,8,3,"3062|1036,3063|1036",12438,1,5,5
375109,765,9,3,"3062|1268,3063|1268",15216,1,5,5
375110,900,10,-1,"3062|1500,3063|1500",18000,1,6,5
375201,70,1,3,"4062|115,4063|115",1380,2,3,5
375202,140,2,3,"4062|230,4063|230",2760,2,3,5
375203,210,3,3,"4062|345,4063|345",4140,2,3,5
375204,280,4,3,"4062|460,4063|460",5520,2,4,5
375205,345,5,3,"4062|575,4063|575",6900,2,4,5
375206,415,6,3,"4062|690,4063|690",8280,2,4,5
375207,485,7,3,"4062|805,4063|805",9660,2,5,5
375208,625,8,3,"4062|1036,4063|1036",12438,2,5,5
375209,765,9,3,"4062|1268,4063|1268",15216,2,5,5
375210,900,10,-1,"4062|1500,4063|1500",18000,2,6,5
375301,70,1,3,"5062|115,5063|115",1380,3,3,5
375302,140,2,3,"5062|230,5063|230",2760,3,3,5
375303,210,3,3,"5062|345,5063|345",4140,3,3,5
375304,280,4,3,"5062|460,5063|460",5520,3,4,5
375305,345,5,3,"5062|575,5063|575",6900,3,4,5
375306,415,6,3,"5062|690,5063|690",8280,3,4,5
375307,485,7,3,"5062|805,5063|805",9660,3,5,5
375308,625,8,3,"5062|1036,5063|1036",12438,3,5,5
375309,765,9,3,"5062|1268,5063|1268",15216,3,5,5
375310,900,10,-1,"5062|1500,5063|1500",18000,3,6,5
