id,Atlas,coordinate,coordinates,dec,findMetaIds,go_target,icon,is_show_hand,jumpParams,map_id,param1,param2,parm,pre_id,reward,scene,slg_underpalace,task_guide,type,UnEffective
111,Atlas/UI_Building,[32|70],[32|70],task_dec_go_chuansong,[20021],[20021],Building_02,-1,[20021],1,20011,0,[20011],16,3003,1,-1,5,31,-1
63,Atlas/UI_Building,[32|70],[32|70],task_dec_famuchang,[106],[106],Building_famuchang,-1,[106],1,106,0,[106],111,3015,1,-1,1,4,-1
167,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[106],[106],Building_famuchang,-1,[106],1,106,2,[106|2],63,3032,1,-1,1,101,-1
168,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[110],[110],Building_muchang,-1,[110],1,110,3,[110|3],167,3054,1,-1,1,101,-1
110,Atlas/UI_Building,[32|70],[32|70],task_dec_go_chuansong_2,[20011],[20011],Building_02,-1,[20011],1,20021,0,[20021],168,3053,1,-1,5,31,-1
17,Atlas/UI_Monster_Head,[85|97],[85|97],task_dec_1,[20111],[20111],Head_60057,-1,[20111],2,20111,10,[20111|10],110,3003,1,-1,3,1,-1
18,Atlas/UI_Monster_Head,[92|98],[92|98],task_dec_1,[20211],[20211],Head_60058,-1,[20211],2,20211,10,[20211|10],17,3066,1,-1,3,1,-1
64,Atlas/UI_Monster_Head,[129|100],[129|100],task_dec_1,[20221],[20221],Head_60037,-1,[20221],2,20221,10,[20221|10],18,3053,1,-1,3,1,-1
26,Atlas/UI_Hero_Head,[-77|137],[-77|137],task_dec_qishi,[105],[105],Head_10004,-1,[105],2,105,0,[105],64,3053,1,-1,5,2,-1
169,Atlas/UI_Building,[-77|137],[-77|137],task_dec_chuansong,[20022],[20022],Building_02,-1,[20022],2,20022,0,[20022],26,3065,1,-1,5,2,-1
170,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[106],[106],Building_famuchang,-1,[106],1,106,3,[106|3],169,3037,1,-1,1,101,-1
171,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[110],[110],Building_muchang,-1,[110],1,110,4,[110|4],170,3024,1,-1,1,101,-1
19,Atlas/UI_Monster_Head,[125|120],[125|120],task_dec_1,[20311],[20311],Head_60069,-1,[20311],2,20311,10,[20311|10],171,3033,1,-1,3,1,-1
65,Atlas/UI_Monster_Head,[42|162],[42|162],task_dec_1,[20421],[20421],Head_60068,-1,[20421],2,20421,15,[20421|15],19,3066,1,-1,3,1,-1
20,Atlas/UI_Monster_Head,[20|176],[20|176],task_dec_1,[25111],[25111],Head_60017,-1,[25111],2,25111,1,[25111|1],65,3053,1,-1,3,6,-1
147,Atlas/UI_Hero_Head,[20|176],[20|176],task_dec_allianceNPC,[13],[13],Head_22001,-1,[13],2,13,0,[13],20,3039,1,-1,5,2,-1
113,Atlas/UI_Building,[20|176],[20|176],task_dec_chuansong,[20023],[20023],Building_02,-1,[20023],2,20023,0,[20023],147,3065,1,-1,5,2,-1
148,Atlas/UI_Building,[32|70],[32|70],task_dec_quyu1,[1],[1],Building_quyu,-1,[1],1,1,0,[1],113,3026,1,-1,10,30,-1
87,Atlas/UI_Building,[32|70],[32|70],task_dec_jiuguan,[115],[115],Building_jiuguan,-1,[115],1,115,0,[115],148,3040,1,-1,1,4,1
140,Atlas/UI_Building,[32|70],[32|70],task_dec_jiuguan,[115],[115],Building_jiuguan,-1,[115],1,115,0,[115],87,3040,1,-1,1,4,-1
112,Atlas/UI_Item,[32|70],[32|70],task_dec_gacha,[115],[115],icon_30003,-1,[115],1,1,0,[1],140,3066,1,-1,1,1014,-1
149,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[106],[106],Building_famuchang,-1,[106],1,106,4,[106|4],112,3073,1,-1,1,101,-1
172,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[110],[110],Building_muchang,-1,[110],1,110,5,[110|5],149,3081,1,-1,1,101,-1
21,Atlas/UI_Monster_Head,[10|172],[10|172],task_dec_1,[20511],[20511],Head_60011,-1,[20511],2,20511,15,[20511|15],172,3011,1,-1,3,1,-1
22,Atlas/UI_Monster_Head,[2|156],[2|156],task_dec_1,[20711],[20711],Head_60013,-1,[20711],2,20711,10,[20711|10],21,3066,1,-1,3,1,-1
114,Atlas/UI_Building,[-17|139],[-17|139],task_dec_chuansong,[20024],[20024],Building_02,-1,[20024],2,20024,0,[20024],22,3053,1,-1,5,2,-1
118,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[110],[110],Building_muchang,-1,[110],1,110,2,[110|2],114,3082,1,-1,1,101,1
150,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,3,[117|3],118,3074,1,-1,1,101,-1
151,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[106],[106],Building_famuchang,-1,[106],1,106,5,[106|5],150,3082,1,-1,1,101,-1
23,Atlas/UI_Monster_Head,[-17|139],[-17|139],task_dec_1,[20811],[20811],Head_60019,-1,[20811],2,20811,15,[20811|15],151,3058,1,-1,3,1,-1
24,Atlas/UI_Monster_Head,[-73|108],[-73|108],task_dec_1,[20911],[20911],Head_60015,-1,[20911],2,20911,10,[20911|10],23,3030,1,-1,3,1,-1
25,Atlas/UI_Monster_Head,[-104|127],[-104|127],task_dec_1,[25121],[25121],Head_60059,-1,[25121],2,25121,1,[25121|1],24,3060,1,-1,3,6,-1
105,Atlas/UI_Hero_Head,[-255|235],[-255|235],task_dec_allianceNPC,[13],[13],Head_22001,-1,[13],2,13,0,[13],25,3066,1,-1,5,2,1
39,Atlas/UI_Hero_Head,[-255|235],[-255|235],task_dec_mushi,[104],[104],Head_10003,-1,[104],3,104,0,[104],105,3006,1,-1,5,2,1
27,Atlas/UI_Building,[-108|141],[-108|141],task_dec_chuansong,[20031],[20031],Building_02,-1,[20031],3,20031,0,[20031],39,3022,1,-1,5,2,-1
106,Atlas/UI_Building,[32|70],[32|70],task_dec_quyu1,[1],[1],Building_quyu,-1,[1],1,1,0,[1],27,3053,1,-1,10,30,1
107,Atlas/UI_Building,[32|70],[32|70],task_dec_lianmengdating1,[22001],[22001],Building_lianmeng,-1,[22001],1,10,0,[10],106,3066,1,-1,11,2,1
66,Atlas/UI_Building,[32|70],[32|70],task_dec_kuangchang,[107],[107],Building_kuangchang,-1,[107],1,107,0,[107],107,3082,1,-1,1,4,-1
152,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[107],[107],Building_kuangchang,-1,[107],1,107,2,[107|2],66,3074,1,-1,1,101,-1
121,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,4,[117|4],152,3082,1,-1,1,101,-1
29,Atlas/UI_Monster_Head,[-123|132],[-123|132],task_dec_1,[30111],[30111],Head_60060,-1,[30111],3,30111,25,[30111|25],121,3006,1,-1,3,1,-1
30,Atlas/UI_Monster_Head,[-140|125],[-140|125],task_dec_1,[30211],[30211],Head_60027,-1,[30211],3,30211,25,[30211|25],29,3046,1,-1,3,1,-1
115,Atlas/UI_Building,[-184|175],[-184|175],task_dec_chuansong,[20032],[20032],Building_02,-1,[20032],3,20032,0,[20032],30,3054,1,-1,5,2,-1
173,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,5,[117|5],115,3083,1,-1,1,101,-1
174,Atlas/UI_Building,[32|70],[32|70],task_dec_junshidating,[119],[119],Building_junshidating,-1,[119],1,119,0,[119],173,3075,1,-1,1,4,-1
175,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[107],[107],Building_muchang,-1,[107],1,107,3,[107|3],174,3083,1,-1,1,101,-1
31,Atlas/UI_Monster_Head,[-184|175],[-184|175],task_dec_1,[35111],[35111],Head_60047,-1,[35111],3,35111,1,[35111|1],175,3060,1,-1,3,6,-1
32,Atlas/UI_Monster_Head,[-169|201],[-169|201],task_dec_1,[30311],[30311],Head_60023,-1,[30311],3,30311,30,[30311|30],31,3006,1,-1,3,1,-1
33,Atlas/UI_Monster_Head,[-169|201],[-169|201],task_dec_1,[30411],[30411],Head_60016,-1,[30411],3,30411,30,[30411|30],32,3020,1,-1,3,1,-1
116,Atlas/UI_Building,[-169|201],[-169|201],task_dec_chuansong,[20033],[20033],Building_02,-1,[20033],3,20033,0,[20033],33,3054,1,-1,5,2,-1
153,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,6,[117|6],116,3076,1,-1,1,101,-1
154,Atlas/UI_Building,[32|70],[32|70],task_dec_junshidating,[119],[119],Building_junshidating,-1,[119],1,119,0,[119],153,3084,1,-1,1,4,1
155,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[107],[107],Building_kuangchang,-1,[107],1,107,4,[107|4],154,3076,1,-1,1,101,-1
108,Atlas/UI_Building,[32|70],[32|70],task_dec_lianmengdating2,[22001],[22001],Building_lianmeng,-1,[22001],1,11,0,[11],155,3067,1,-1,11,2,1
34,Atlas/UI_Monster_Head,[-169|201],[-169|201],task_dec_1,[30511],[30511],Head_60024,-1,[30511],3,30511,40,[30511|40],108,3046,1,-1,3,1,-1
35,Atlas/UI_Monster_Head,[-169|201],[-169|201],task_dec_1,[30611],[30611],Head_60028,-1,[30611],3,30611,40,[30611|40],34,3033,1,-1,3,1,-1
117,Atlas/UI_Building,[-284|250],[-284|250],task_dec_chuansong,[20034],[20034],Building_02,-1,[20034],3,20034,0,[20034],35,3054,1,-1,5,2,-1
156,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,7,[117|7],117,3077,1,-1,1,101,-1
157,Atlas/UI_Building,[32|70],[32|70],task_dec_jingjichang,[118],[118],Building_jingjichang,-1,[118],1,118,0,[118],156,3085,1,-1,1,4,-1
158,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[107],[107],Building_kuangchang,-1,[107],1,107,5,[107|5],157,3077,1,-1,1,101,-1
36,Atlas/UI_Monster_Head,[-284|250],[-284|250],task_dec_1,[35121],[35121],Head_60025,-1,[35121],3,35121,1,[35121|1],158,3062,1,-1,3,6,-1
37,Atlas/UI_Monster_Head,[-255|235],[-255|235],task_dec_1,[30811],[30811],Head_60076,-1,[30811],3,30811,40,[30811|40],36,3006,1,-1,3,1,-1
38,Atlas/UI_Monster_Head,[-206|300],[-206|300],task_dec_1,[35131],[35131],Head_60039,-1,[35131],3,35131,1,[35131|1],37,3040,1,-1,3,6,-1
40,Atlas/UI_Building,[-199|316],[-199|316],task_dec_chuansong,[20041],[20041],Building_02,-1,[20041],4,20041,0,[20041],38,3022,1,-1,5,2,-1
159,Atlas/UI_Building,[32|70],[32|70],task_dec_build_lvup,[117],[117],Building_chengjiandating,-1,[117],1,117,8,[117|8],40,3078,1,-1,1,101,-1
162,Atlas/UI_Building,[32|70],[32|70],task_dec_maoxiandating,[113],[113],Building_maoxiandating,-1,[113],1,113,0,[113],159,3086,1,-1,1,4,-1
163,Atlas/UI_Building,[32|70],[32|70],task_dec_quyu2,[3],[3],Building_quyu,-1,[3],1,3,0,[3],162,3078,1,-1,10,30,-1
160,Atlas/UI_Building,[32|70],[32|70],task_dec_yiyuan,[128],[128],building_yiyuan,-1,[128],1,128,0,[128],163,3040,1,-1,1,4,1
165,Atlas/UI_Building,[32|70],[32|70],task_dec_jiaochang,[129],[129],Building_xiaochang,-1,[129],1,129,0,[129],160,3071,1,-1,1,4,-1
161,Atlas/UI_Building,[32|70],[32|70],task_dec_lianmengbingying,[125],[125],Building_bingying_lianmeng,-1,[125],1,125,0,[125],165,3078,1,-1,1,4,-1
164,Atlas/UI_Common,[32|70],[32|70],task_dec_xunlianshibing,[125],[125],army_race_1,-1,[125],1,1,10,[1|10],161,3086,1,-1,1,1044,-1
88,Atlas/UI_Building,[32|70],[32|70],task_dec_maoxiandating,[113],[113],Building_maoxiandating,-1,[113],1,113,0,[113],164,3040,1,-1,1,4,1
95,Atlas/UI_Building,[32|70],[32|70],task_dec_lianmengdating3,[116],[116],Building_lianmeng,-1,[116],1,116,0,[116],88,3069,1,-1,1,4,-1
119,Atlas/WorldUnit,[32|70],[32|70],task_dec_slg_monster,[4],[4],res_meats_001,-1,[4],1,1,0,[1],95,3067,2,-1,7,1026,1
91,Atlas/UI_Building,,,task_dec_digong,[10001],[10001],Building_digong_3,-1,[10001],-1,10001,0,[10001],119,3063,2,-1,9,1028,1
41,Atlas/UI_Monster_Head,[-182|304],[-182|304],task_dec_1,[40111],[40111],Head_60053,-1,[40111],4,40111,40,[40111|40],91,3035,1,-1,3,1,-1
42,Atlas/UI_Monster_Head,[-157|313],[-157|313],task_dec_1,[40121],[40121],Head_60010,-1,[40121],4,40121,40,[40121|40],41,3046,1,-1,3,1,-1
43,Atlas/UI_Monster_Head,[-129|345],[-129|345],task_dec_1,[45111],[45111],Head_60050,-1,[45111],4,45111,1,[45111|1],42,3061,1,-1,3,6,-1
44,Atlas/UI_Monster_Head,[-121|323],[-121|323],task_dec_1,[40141],[40141],Head_60056,-1,[40141],4,40141,40,[40141|40],43,3047,1,-1,3,1,-1
45,Atlas/UI_Monster_Head,[-121|323],[-121|323],task_dec_1,[40151],[40151],Head_60055,-1,[40151],4,40151,40,[40151|40],44,3047,1,-1,3,1,-1
46,Atlas/UI_Monster_Head,[-108|269],[-108|269],task_dec_1,[45121],[45121],Head_60051,-1,[45121],4,45121,1,[45121|1],45,3062,1,-1,3,6,-1
11,Atlas/UI_Building,[32|70],[32|70],task_dec_jingjichang,[118],[118],Building_jingjichang,-1,[118],1,118,0,[118],46,3054,1,-1,1,4,-1
92,Atlas/UI_Building,,,task_dec_digong,[10002],[10002],Building_digong_1,-1,[10002],-1,10002,0,[10002],11,3062,2,-1,9,28,1
47,Atlas/UI_Monster_Head,[-90|247],[-90|247],task_dec_1,[40161],[40161],Head_60030,-1,[40161],4,40161,40,[40161|40],92,3048,1,-1,3,1,-1
48,Atlas/UI_Monster_Head,[-90|247],[-90|247],task_dec_1,[10171],[10171],Head_60044,-1,[10171],4,40171,40,[40171|40],47,3048,1,-1,3,1,-1
49,Atlas/UI_Monster_Head,[-90|247],[-90|247],task_dec_1,[40181],[40181],Head_60063,-1,[40181],4,40181,40,[40181|40],48,3054,1,-1,3,1,-1
50,Atlas/UI_Monster_Head,[-25|253],[-25|253],task_dec_1,[45131],[45131],Head_60046,-1,[45131],4,45131,1,[45131|1],49,3062,1,-1,3,6,-1
51,Atlas/UI_Building,[-67|314],[-67|314],task_dec_miwu,[10415],[10415],Building_03,-1,[10415],4,10415,0,[10415],50,3048,1,-1,5,2,-1
52,Atlas/UI_Building,[2.27|251],[2.27|251],task_dec_chuansong,[20051],[20051],Building_02,-1,[20051],5,20051,0,[20051],51,3048,1,-1,5,2,-1
53,Atlas/UI_Monster_Head,[19|265],[19|265],task_dec_1,[50111],[50111],Head_60037,-1,[50111],5,50111,40,[50111|40],52,3048,1,-1,3,1,-1
54,Atlas/UI_Monster_Head,[19|265],[19|265],task_dec_1,[50121],[50121],Head_60029,-1,[50121],5,50121,40,[50121|40],53,3054,1,-1,3,1,-1
55,Atlas/UI_Monster_Head,[77|318],[77|318],task_dec_1,[55111],[55111],Head_60026,-1,[55111],5,55111,1,[55111|1],54,3062,1,-1,3,6,-1
56,Atlas/UI_Monster_Head,[92|303],[92|303],task_dec_1,[50141],[50141],Head_60036,-1,[50141],5,50141,40,[50141|40],55,3048,1,-1,3,1,-1
57,Atlas/UI_Monster_Head,[92|303],[92|303],task_dec_1,[50151],[50151],Head_60018,-1,[50151],5,50151,40,[50151|40],57,3054,1,-1,3,1,-1
58,Atlas/UI_Monster_Head,[147|265],[147|265],task_dec_1,[55121],[55121],Head_60038,-1,[55121],5,55121,1,[55121|1],56,3048,1,-1,3,6,-1
59,Atlas/UI_Monster_Head,[116|-28],[116|-28],task_dec_1,[50161],[50161],Head_60052,-1,[50161],5,50161,40,[50161|40],58,3048,1,-1,3,1,-1
60,Atlas/UI_Monster_Head,[116|-28],[116|-28],task_dec_1,[50171],[50171],Head_60061,-1,[50171],5,50171,40,[50171|40],59,3054,1,-1,3,1,-1
61,Atlas/UI_Monster_Head,[116|-28],[116|-28],task_dec_1,[50181],[50181],Head_60062,-1,[50181],5,50181,40,[50181|40],60,3048,1,-1,3,1,-1
62,Atlas/UI_Monster_Head,[272|265],[272|265],task_dec_1,[55131],[55131],Head_60040,-1,[55131],5,55131,1,[55131|1],61,3062,1,-1,3,6,-1
89,Atlas/UI_Building,[32|70],[32|70],task_dec_tiejiangpu,[114],[114],Building_Tiejiangpu,-1,[114],5,114,0,[114],62,3056,1,-1,1,4,-1
109,Atlas/UI_Item,[32|70],[32|70],task_dec_dazaozhuangbei,[114],[114],slot_001,-1,[114],1,1,0,[1],89,3040,1,-1,1,1034,-1
93,Atlas/UI_Building,,,task_dec_digong,[10003],[10003],Building_digong_2,-1,[10003],-1,10003,0,[10003],109,3062,2,-1,9,28,1
67,Atlas/UI_Monster_Head,[302|291],[302|291],task_dec_1,[60001],[60001],Head_60080,-1,[60001],6,60001,40,[60001|40],93,3048,1,-1,3,1,-1
68,Atlas/UI_Monster_Head,[266|340],[266|340],task_dec_1,[60003],[60003],Head_60088,-1,[60003],6,60003,40,[60003|40],67,3054,1,-1,3,1,-1
70,Atlas/UI_Monster_Head,[324|350],[324|350],task_dec_1,[61001],[61001],Head_60099,-1,[61001],6,61001,1,[61001|1],68,3062,1,-1,3,6,-1
69,Atlas/UI_Monster_Head,[340|368],[340|368],task_dec_1,[60005],[60005],Head_60085,-1,[60005],6,60005,40,[60005|40],70,3048,1,-1,3,1,-1
71,Atlas/UI_Monster_Head,[246|367],[246|367],task_dec_1,[60006],[60006],Head_60090,-1,[60006],6,60006,40,[60006|40],69,3048,1,-1,3,1,-1
72,Atlas/UI_Monster_Head,[178|360],[178|360],task_dec_1,[60007],[60007],Head_60089,-1,[60007],6,60007,40,[60007|40],71,3054,1,-1,3,1,-1
73,Atlas/UI_Monster_Head,[214|392],[214|392],task_dec_1,[61002],[61002],Head_60096,-1,[61002],6,61002,1,[61002|1],72,3062,1,-1,3,6,-1
74,Atlas/UI_Monster_Head,[182|409],[182|409],task_dec_1,[60008],[60008],Head_60104,-1,[60008],6,60008,40,[60008|40],73,3054,1,-1,3,1,-1
76,Atlas/UI_Monster_Head,[222|433],[222|433],task_dec_1,[61003],[61003],Head_60098,-1,[61003],6,61003,1,[61003|1],74,3062,1,-1,3,6,-1
94,Atlas/UI_Building,,,task_dec_digong,[10004],[10004],Building_digong_4,-1,[10004],-1,10004,0,[10004],76,3040,2,-1,9,28,1
77,Atlas/UI_Monster_Head,[188|437],[188|437],task_dec_1,[70001],[70001],Head_60073,-1,[70001],7,70001,40,[70001|40],94,3049,1,-1,3,1,-1
78,Atlas/UI_Monster_Head,[170|499],[170|499],task_dec_1,[71001],[71001],Head_60095,-1,[71001],7,71001,1,[71001|1],77,3062,1,-1,3,1,-1
79,Atlas/UI_Monster_Head,[154|476],[154|476],task_dec_1,[70003],[70003],Head_60083,-1,[70003],7,70003,40,[70003|40],78,3049,1,-1,3,1,-1
141,Atlas/UI_Monster_Head,[112|458],[112|458],task_dec_1,[70004],[70004],Head_60077,-1,[70004],7,70004,30,[70004|30],79,3054,1,-1,3,1,-1
80,Atlas/UI_Monster_Head,[75|448],[75|448],task_dec_1,[70005],[70005],Head_60101,-1,[70005],7,70005,40,[70005|40],141,3049,1,-1,3,1,-1
81,Atlas/UI_Monster_Head,[93|426],[93|426],task_dec_1,[71002],[71002],Head_60097,-1,[71002],7,71002,1,[71002|1],80,3062,1,-1,3,6,-1
82,Atlas/UI_Monster_Head,[104|418],[104|418],task_dec_1,[70006],[70006],Head_60086,-1,[70006],7,70006,40,[70006|40],81,3049,1,-1,3,1,-1
83,Atlas/UI_Monster_Head,[68|406],[68|406],task_dec_1,[70007],[70007],Head_60087,-1,[70007],7,70007,20,[70007|20],82,3054,1,-1,3,1,-1
84,Atlas/UI_Monster_Head,[27|397],[27|397],task_dec_1,[70008],[70008],Head_60103,-1,[70008],7,70008,20,[70008|20],83,3049,1,-1,3,1,-1
85,Atlas/UI_Monster_Head,[51|379],[51|379],task_dec_1,[71003],[71003],Head_60094,-1,[71003],7,71003,1,[71003|1],84,3062,1,-1,3,6,-1
86,Atlas/UI_Monster_Head,[18|347],[18|347],task_dec_1,[80001],[80001],Head_60079,-1,[80001],8,80001,40,[80001|40],85,3049,1,-1,3,1,-1
96,Atlas/UI_Monster_Head,[-7|334],[-7|334],task_dec_1,[80002],[80002],Head_60109,-1,[80002],8,80002,40,[80002|40],86,3054,1,-1,3,1,-1
142,Atlas/UI_Monster_Head,[-2|362],[-2|362],task_dec_1,[80003],[80003],Head_60110,-1,[80003],8,80003,20,[80003|20],96,3049,1,-1,3,1,-1
97,Atlas/UI_Monster_Head,[-73|400],[-73|400],task_dec_1,[81001],[81001],Head_60114,-1,[81001],8,81001,1,[81001|1],142,3062,1,-1,3,6,-1
143,Atlas/UI_Monster_Head,[-104|416],[-104|416],task_dec_1,[80004],[80004],Head_60106,-1,[80004],8,80004,30,[80004|30],97,3049,1,-1,3,1,-1
98,Atlas/UI_Monster_Head,[-131|401],[-131|401],task_dec_1,[80005],[80005],Head_60108,-1,[80005],8,80005,40,[80005|40],143,3054,1,-1,3,1,-1
99,Atlas/UI_Monster_Head,[-180|387],[-180|387],task_dec_1,[80006],[80006],Head_60111,-1,[80006],8,80006,20,[80006|20],98,3049,1,-1,3,1,-1
100,Atlas/UI_Monster_Head,[-203|370],[-203|370],task_dec_1,[81002],[81002],Head_60115,-1,[81002],8,81002,1,[81002|1],99,3062,1,-1,3,6,-1
101,Atlas/UI_Monster_Head,[-229|348],[-229|348],task_dec_1,[80007],[80007],Head_60113,-1,[80007],8,80007,30,[80007|30],100,3049,1,-1,3,1,-1
102,Atlas/UI_Monster_Head,[-308|327],[-308|327],task_dec_1,[80008],[80008],Head_60107,-1,[80008],8,80008,30,[80008|30],101,3054,1,-1,3,1,-1
103,Atlas/UI_Monster_Head,[-315|325],[-315|325],task_dec_1,[80010],[80010],Head_60112,-1,[80010],8,80010,10,[80010|10],102,3049,1,-1,3,1,-1
104,Atlas/UI_Monster_Head,[-329|310],[-329|310],task_dec_1,[81003],[81003],Head_60116,-1,[81003],8,81003,1,[81003|1],103,3062,1,-1,3,6,-1
122,Atlas/UI_Monster_Head,[-408|356],[-408|356],task_dec_1,[90001],[90001],Head_60078,-1,[90001],9,90001,30,[90001|30],104,3049,1,-1,3,1,-1
123,Atlas/UI_Monster_Head,[-389|371],[-389|371],task_dec_1,[90002],[90002],Head_60075,-1,[90002],9,90002,30,[90002|30],122,3054,1,-1,3,1,-1
124,Atlas/UI_Monster_Head,[-416|399],[-416|399],task_dec_1,[90003],[90003],Head_60151,-1,[90003],9,90003,10,[90003|10],123,3049,1,-1,3,1,-1
125,Atlas/UI_Monster_Head,[-459|381],[-459|381],task_dec_1,[91001],[91001],Head_70022,-1,[91001],9,91001,1,[91001|1],124,3062,1,-1,3,6,-1
126,Atlas/UI_Monster_Head,[-493|394],[-493|394],task_dec_1,[90004],[90004],Head_60070,-1,[90004],9,90004,40,[90004|40],124,3049,1,-1,3,1,-1
144,Atlas/UI_Monster_Head,[-522|441],[-522|441],task_dec_1,[90005],[90005],Head_60152,-1,[90005],9,90005,30,[90005|30],126,3054,1,-1,3,1,-1
127,Atlas/UI_Monster_Head,[-559|470],[-559|470],task_dec_1,[90006],[90006],Head_60153,-1,[90006],9,90006,40,[90006|40],144,3049,1,-1,3,1,-1
128,Atlas/UI_Monster_Head,[-612|478],[-612|478],task_dec_1,[91002],[91002],Head_70023,-1,[91002],9,91002,1,[91002|1],127,3058,1,-1,3,6,-1
129,Atlas/UI_Monster_Head,[-606|503],[-606|503],task_dec_1,[90007],[90007],Head_60154,-1,[90007],9,90007,40,[90007|40],128,3049,1,-1,3,1,-1
130,Atlas/UI_Monster_Head,[-546|519],[-546|519],task_dec_1,[90008],[90008],Head_60155,-1,[90008],9,90008,40,[90008|40],129,3054,1,-1,3,1,-1
