id,taskConditionVo,alert_tips,canJumpTo,need_round,point,progress_desc,progress_isopen,reward,scene,show_limit,show_limit_num,show_progress,showNums,showProgress,tack_refresh,task_button,task_condition,task_condition_num,task_condition_para,task_count,task_discription,task_group,task_guide,task_guide_mun,task_icon,task_limit,task_limit_num,task_order,task_pre,task_server,task_type,taskConditionType
10190,TaskConditionBaseVO,,true,,150,,-1,5021,1,1,[1],1,[1],true,0,0,32,1,,0,task_daily_dec_10190,9999,1,[136],,2,1,110,0,,2,32
10080,TaskConditionBaseVO,,true,,150,,-1,5008,-1,1,[1],1,[1],true,0,0,15,1,,0,task_daily_dec_10080,9999,2,[103|10201],,2,1,120,0,,2,15
10100,TaskConditionBaseVO,,true,,150,,-1,5010,-1,3,[114],1,[114],true,0,0,69,1,,0,task_daily_dec_10100,9999,1,[118],,3,114,130,0,,2,69
10090,TaskConditionBaseVO,,true,,150,,-1,5009,1,1,[1],1,[1],true,0,0,11,3,,0,task_daily_dec_10090,9999,1,[106],,2,1,140,0,,2,11
10120,TaskConditionBaseVO,,true,,150,,-1,5022,1,1,[1],1,[1],true,0,0,34,1,,0,task_daily_dec_11120,9999,1,[114],,2,1,150,0,,2,34
10140,TaskConditionBaseVO,,true,,150,,-1,5024,1,1,[1],1,[1],true,0,0,37,1,,0,task_daily_dec_10140,9999,1,[113],,2,1,160,0,,2,37
12010,TaskConditionBaseVO,,true,,1,,-1,5031,1,1,[1],1,[1],true,0,0,8,100,,0,task_daily_dec_12010,9999,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,1,10,0,,2,8
12020,TaskConditionBaseVO,,true,,1,,-1,5032,1,1,[1],1,[1],true,0,0,9,3,,0,task_daily_dec_12020,9999,3,[15111|25111|25121],,2,1,20,0,,2,9
12030,TaskConditionBaseVO,,true,,1,,-1,5033,1,1,[15],1,[15],true,0,0,10,2,,0,task_daily_dec_12030,9999,1,[113],,2,1,30,0,,2,10
12040,TaskConditionBaseVO,,false,,1,,-1,5034,-1,1,[1],1,[1],true,0,1,12,1,,0,task_daily_dec_12040,9999,-1,,,2,1,40,0,,2,12
12050,TaskConditionBaseVO,,true,,1,,-1,5035,1,1,[1],1,[1],true,0,0,14,1,,0,task_daily_dec_12050,9999,1,[115],,2,1,50,0,,2,14
12060,TaskConditionBaseVO,,true,,2,,-1,5036,-1,1,[10],1,[10],true,0,0,13,1,,0,task_daily_dec_12060,9999,12,[207],,2,1,60,0,,2,13
12070,TaskConditionBaseVO,,true,,3,,-1,5037,2,3,[106],1,[106],true,0,0,26,5,,0,task_daily_dec_12070,9999,7,[4],,2,1,70,0,,2,26
12080,TaskConditionBaseVO,,true,,1,,-1,5038,-1,1,[1],1,[1],true,0,0,15,1,,0,task_daily_dec_12080,9999,2,[103|10201],,2,1,80,0,,2,15
12090,TaskConditionBaseVO,,true,,1,,-1,5039,1,1,[1],1,[1],true,0,0,11,3,,0,task_daily_dec_12090,9999,1,[106],,2,1,90,0,,2,11
12100,TaskConditionBaseVO,,true,,1,,-1,5040,1,3,[114],1,[114],true,0,0,69,1,,0,task_daily_dec_12100,9999,1,[118],,3,114,100,0,,2,69
12120,TaskConditionBaseVO,,true,,1,,-1,5022,1,1,[1],1,[1],true,0,0,34,1,,0,task_daily_dec_11120,9999,1,[114],,2,1,120,0,,2,34
12140,TaskConditionBaseVO,,true,,1,,-1,5024,1,1,[1],1,[1],true,0,0,37,1,,0,task_daily_dec_10140,9999,1,[113],,2,1,110,0,,2,37
12200,TaskConditionBaseVO,,true,,1,,-1,5025,-1,1,[1],1,[1],true,0,0,82,1,,0,task_daily_dec_10200,9999,1,,,2,1,5,0,"5-9999,10066-10091",2,82
11180,TaskConditionBaseVO,,true,,150,,-1,4958,2,3,[116],1,[116],true,0,0,50,10,,0,task_daily_dec_11180,9999,12,[116],,2,1,10,0,,2,50
11010,TaskConditionBaseVO,,true,,1,,-1,5011,1,1,[9999],1,[9999],true,0,0,8,100,,0,task_daily_dec_11010,9999,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,9999,20,0,,2,8
11020,TaskConditionBaseVO,,true,,2,,-1,5012,1,1,[9999],1,[9999],true,0,0,9,3,,0,task_daily_dec_11020,9999,3,[15111|25111|25121],,2,9999,30,0,,2,9
11070,TaskConditionBaseVO,,true,,150,,-1,5017,2,3,[106],1,[106],true,0,0,26,5,,0,task_daily_dec_11070,9999,7,[4],,2,1,40,0,,2,26
11110,TaskConditionBaseVO,,true,,150,,-1,5021,2,3,[106],1,[106],true,0,0,33,1000,,0,task_daily_dec_11110,9999,8,[101],,2,1,50,0,,2,33
11170,TaskConditionBaseVO,,true,,150,,-1,4959,1,1,[1],1,[1],true,0,0,65,1,,0,task_daily_dec_10170,9999,1,[117],,2,1,60,0,,2,65
11100,TaskConditionBaseVO,,true,,150,,-1,5020,1,3,[114],1,[114],true,0,0,69,3,,0,task_daily_dec_11100,9999,1,[118],,3,114,70,0,,2,69
11030,TaskConditionBaseVO,,true,,1,,-1,5013,1,1,[9999],1,[9999],true,0,0,10,2,,0,task_daily_dec_11030,9999,1,[113],,2,9999,80,0,,2,10
11160,TaskConditionBaseVO,,true,,150,,-1,4960,-1,3,[42],1,[42],true,-1,0,70,2,,0,task_daily_dec_10160,9999,14,[0|318],,2,1,90,0,"1-999,10001-10106",2,70
11190,TaskConditionBaseVO,,true,,150,,-1,4961,1,1,[1],1,[1],true,0,0,32,1,,0,task_daily_dec_10190,9999,1,[136],,2,1,100,0,,2,32
11060,TaskConditionBaseVO,,true,,150,,-1,5016,-1,1,[10],1,[10],true,0,0,13,1,,0,task_daily_dec_11060,9999,12,[207],,2,1,110,0,,2,13
11120,TaskConditionBaseVO,,true,,150,,-1,5022,1,1,[1],1,[1],true,0,0,34,1,,0,task_daily_dec_11120,9999,1,[114],,2,1,120,0,,2,34
11050,TaskConditionBaseVO,,true,,150,,-1,5015,1,1,[1],1,[1],true,0,0,14,1,,0,task_daily_dec_11050,9999,1,[115],,2,1,130,0,,2,14
11040,TaskConditionBaseVO,,false,,150,,-1,5014,-1,1,[1],1,[1],true,0,1,12,1,,0,task_daily_dec_11040,9999,-1,,,2,1,140,0,,2,12
11080,TaskConditionBaseVO,,true,,1,,-1,5018,-1,1,[9999],1,[9999],true,0,0,15,1,,0,task_daily_dec_11080,9999,2,[103|10201],,2,9999,150,0,,2,15
11090,TaskConditionBaseVO,,true,,1,,-1,5019,1,1,[9999],1,[9999],true,0,0,11,3,,0,task_daily_dec_11090,9999,1,[106],,2,9999,160,0,,2,11
11130,TaskConditionBaseVO,,true,,1,,-1,5023,2,1,[9999],1,[9999],true,0,0,27,6|1000,,0,task_daily_dec_11130,9999,8,[701],,2,9999,170,0,,2,27
11140,TaskConditionBaseVO,,true,,1,,-1,5024,1,1,[9999],1,[9999],true,0,0,37,1,,0,task_daily_dec_10140,9999,1,[113],,2,9999,180,0,,2,37
11200,TaskConditionBaseVO,,true,,1,,-1,5025,-1,1,[1],1,[1],true,0,0,82,1,,0,task_daily_dec_10200,9999,1,,,2,1,5,0,"5-9999,10066-10091",2,82
11210,TaskConditionBaseVO,,true,,150,,-1,5026,1,1,[1],1,[1],true,0,0,84,2,,0,task_daily_dec_10210,9999,1,[151],,2,1,170,0,,2,84
13000,TaskConditionBaseVO,,false,,5,,-1,4971,-1,1,[1],1,[1],true,0,1,12,1,,0,task_daily_dec_10040,1,-1,,,2,1,10,0,,2,12
13010,TaskConditionBaseVO,,true,,5,,-1,4972,10,1,[1],1,[1],true,0,0,29,5,,0,task_bp_29,1,1,[116|4|3],,2,1,20,0,,2,29
13020,TaskConditionBaseVO,,true,,5,,-1,4973,10,1,[1],1,[1],true,0,0,29,10,,0,task_bp_29,1,1,[116|4|3],,2,1,30,0,,2,29
13030,TaskConditionBaseVO,,true,,10,,-1,4974,10,1,[1],1,[1],true,0,0,29,15,,0,task_bp_29,1,1,[116|4|3],,2,1,40,0,,2,29
13040,TaskConditionBaseVO,,true,,5,,-1,4975,1,3,[114],1,[114],true,0,0,69,1,,0,task_daily_dec_10100,1,1,[118],,3,114,50,0,,2,69
13050,TaskConditionBaseVO,,true,,10,,-1,4976,1,3,[114],1,[114],true,0,0,69,3,,0,task_daily_dec_11100,1,1,[118],,3,114,60,0,,2,69
13060,TaskConditionBaseVO,,true,,5,,-1,4977,1,1,[1],1,[1],true,0,0,84,1,,0,task_daily_dec_13060,1,1,[151],,2,1,70,0,,2,84
13070,TaskConditionBaseVO,,true,,5,,-1,4978,1,1,[1],1,[1],true,0,0,84,2,,0,task_daily_dec_10210,1,1,[151],,2,1,80,0,,2,84
13080,TaskConditionBaseVO,,true,,20,,-1,4979,10,1,[1],1,[1],true,0,0,65,1,,0,task_daily_dec_10170,1,1,[117|4|2],,2,1,90,0,,2,65
13090,TaskConditionBaseVO,,true,,20,,-1,4980,10,1,[1],1,[1],true,0,0,32,1,,0,task_daily_dec_10190,1,1,[136|4|3],,2,1,100,0,,2,32
13100,TaskConditionBaseVO,,true,,5,,-1,4981,2,3,[116],1,[116],true,0,0,50,1,,0,task_daily_dec_13100,1,12,[116],,2,1,110,0,,2,50
13110,TaskConditionBaseVO,,true,,5,,-1,4982,2,3,[116],1,[116],true,0,0,50,5,,0,task_daily_dec_10180,1,12,[116],,2,1,120,0,,2,50
13120,TaskConditionBaseVO,,true,,15,,-1,4983,2,3,[116],1,[116],true,0,0,50,10,,0,task_daily_dec_11180,1,12,[116],,2,1,130,0,,2,50
13130,TaskConditionBaseVO,,true,,5,,-1,4984,10,3,[114],1,[114],true,0,0,55,"1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012|10",,0,task_daily_dec_13130,1,1,[125|4|3],,2,1,140,0,,2,55
13140,TaskConditionBaseVO,,true,,10,,-1,4985,10,3,[114],1,[114],true,0,0,55,"1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012|30",,0,task_daily_dec_13140,1,1,[125|4|3],,2,1,150,0,,2,55
13150,TaskConditionBaseVO,,true,,5,,-1,4986,10,3,[114],1,[114],true,0,0,55,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012|10",,0,task_daily_dec_13150,1,1,[126|4|3],,2,1,160,0,,2,55
13160,TaskConditionBaseVO,,true,,10,,-1,4987,10,3,[114],1,[114],true,0,0,55,"2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012|30",,0,task_daily_dec_13160,1,1,[126|4|3],,2,1,170,0,,2,55
13170,TaskConditionBaseVO,,true,,5,,-1,4988,10,3,[114],1,[114],true,0,0,55,"3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012|10",,0,task_daily_dec_13170,1,1,[127|4|3],,2,1,180,0,,2,55
13180,TaskConditionBaseVO,,true,,10,,-1,4989,10,3,[114],1,[114],true,0,0,55,"3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012|30",,0,task_daily_dec_13180,1,1,[127|4|3],,2,1,190,0,,2,55
13190,TaskConditionBaseVO,,true,,10,,-1,4990,10,1,[1],1,[1],true,0,0,14,1,,0,task_daily_dec_13190,1,1,[115|4|3],,2,1,200,0,,2,14
13200,TaskConditionBaseVO,,true,,10,,-1,4991,10,1,[1],1,[1],true,0,0,14,3,,0,task_daily_dec_13200,1,1,[115|4|3],,2,1,210,0,,2,14
13210,TaskConditionBaseVO,,true,,10,,-1,4992,2,4,[6],1,[6],true,0,0,38,1,,0,task_daily_dec_13210,1,13,[11],,2,1,220,0,,2,38
13220,TaskConditionBaseVO,,true,,10,,-1,4993,2,4,[6],1,[6],true,0,0,38,3,,0,task_daily_dec_13220,1,13,[11],,2,1,230,0,,2,38
13230,TaskConditionBaseVO,,true,,5,,-1,4994,1,3,[63],1,[63],true,0,0,130,2,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13240,TaskConditionBaseVO,,true,,5,,-1,4995,1,3,[63],1,[63],true,0,0,130,5,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13250,TaskConditionBaseVO,,true,,5,,-1,4996,1,3,[63],1,[63],true,0,0,130,10,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13260,TaskConditionBaseVO,,true,,5,,-1,4997,1,3,[81],1,[81],true,0,0,229,1,,1,task_daily_dec_13260,1,1,[182|4|3],,3,81,240,0,,2,229
13270,TaskConditionBaseVO,,true,,5,,-1,4994,1,3,[63],1,[63],true,0,0,130,1,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13280,TaskConditionBaseVO,,true,,5,,-1,4995,1,3,[63],1,[63],true,0,0,130,2,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13290,TaskConditionBaseVO,,true,,5,,-1,4996,1,3,[63],1,[63],true,0,0,130,3,,1,task_daily_dec_13230,1,12,[1116],,2,1,240,0,,2,130
13300,TaskConditionBaseVO,,true,,5,,-1,4998,1,3,[85],1,[85],true,0,0,321,1,,1,task_daily_dec_13300,1,1,[183|4|3],,3,85,240,0,,2,321
20010,TaskConditionBaseVO,,true,,1,,-1,5201,1,1,[1],1,[1],true,0,0,8,500,,0,task_daily_dec_20010,1,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,1,10,0,,3,8
20020,TaskConditionBaseVO,,false,,1,,-1,5202,-1,1,[1],1,[1],true,0,1,12,7,,0,task_daily_dec_20020,1,-1,,,2,1,20,0,,3,12
20030,TaskConditionBaseVO,,true,,1,,-1,5203,-1,1,[1],1,[1],true,0,0,23,2|1000,,0,task_daily_dec_20030,1,2,[207|10101],,2,1,30,0,,3,23
20040,TaskConditionBaseVO,,true,,1,,-1,5204,1,1,[1],1,[1],true,0,0,14,10,,0,task_daily_dec_20040,1,1,[115],,2,1,40,0,,3,14
20050,TaskCondition_CollectResourceLogic,,true,,1,,-1,5205,1,1,[1],1,[1],true,0,0,5,3|100000,,0,task_daily_dec_20050,1,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,1,50,0,,3,ResourceCollect
20060,TaskCondition_CollectResourceLogic,,true,,1,,-1,5206,1,1,[1],1,[1],true,0,0,5,4|50000,,0,task_daily_dec_20060,1,3,[5],,2,1,60,0,,3,ResourceCollect
20070,TaskCondition_CollectResourceLogic,,true,,1,,-1,5207,1,1,[1],1,[1],true,0,0,5,5|50000,,0,task_daily_dec_20070,1,3,[310],,2,1,70,0,,3,ResourceCollect
20080,TaskConditionBaseVO,,true,,1,,-1,5208,2,1,[1],1,[1],true,0,0,23,7|1200,,0,task_daily_dec_20080,1,7,[4],,2,1,80,0,,3,23
20090,TaskConditionBaseVO,,true,,1,,-1,5209,1,1,[1],1,[1],true,0,0,21,"4,5|1",,0,task_daily_dec_20090,1,1,[114],,2,1,90,0,,3,21
20100,TaskConditionBaseVO,,true,1|1,1,,-1,5221,-1,1,[1],1,[1],true,0,0,59,1500,,0,task_daily_dec_20101,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
20101,TaskConditionBaseVO,,true,1|2,1,,-1,5222,-1,1,[1],1,[1],true,0,0,59,2520,,0,task_daily_dec_20102,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
20102,TaskConditionBaseVO,,true,1|3,1,,-1,5223,-1,1,[1],1,[1],true,0,0,59,3600,,0,task_daily_dec_20103,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
20103,TaskConditionBaseVO,,true,1|4,1,,-1,5224,-1,1,[1],1,[1],true,0,0,59,5400,,0,task_daily_dec_20104,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
20104,TaskConditionBaseVO,,true,1|5,1,,-1,5225,-1,1,[1],1,[1],true,0,0,59,5400,,0,task_daily_dec_20104,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
23010,TaskConditionBaseVO,,true,,1,,-1,5201,1,1,[1],1,[1],true,0,0,8,500,,0,task_daily_dec_20010,9999,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,9999,10,0,,3,8
23020,TaskConditionBaseVO,,false,,1,,-1,5202,-1,1,[1],1,[1],true,0,1,12,7,,0,task_daily_dec_20020,20,-1,,,2,1,20,0,,3,12
23030,TaskConditionBaseVO,,true,,1,,-1,5203,-1,1,[1],1,[1],true,0,0,23,2|1000,,0,task_daily_dec_20030,20,2,[207|10101],,2,1,30,0,,3,23
23040,TaskConditionBaseVO,,true,,1,,-1,5204,1,1,[1],1,[1],true,0,0,14,10,,0,task_daily_dec_20040,20,1,[115],,2,1,40,0,,3,14
23050,TaskCondition_CollectResourceLogic,,true,,1,,-1,5205,1,1,[1],1,[1],true,0,0,5,3|100000,,0,task_daily_dec_20050,20,3,[10511|10711|10611|20111|20211|20221|20311|20421|20511|20711|20811|20911],,2,1,50,0,,3,ResourceCollect
23060,TaskCondition_CollectResourceLogic,,true,,1,,-1,5206,1,1,[1],1,[1],true,0,0,5,4|50000,,0,task_daily_dec_20060,20,3,[5],,2,1,60,0,,3,ResourceCollect
23070,TaskCondition_CollectResourceLogic,,true,,1,,-1,5207,1,1,[1],1,[1],true,0,0,5,5|50000,,0,task_daily_dec_20070,20,3,[310],,2,1,70,0,,3,ResourceCollect
23080,TaskConditionBaseVO,,true,,1,,-1,5208,2,1,[1],1,[1],true,0,0,23,7|1200,,0,task_daily_dec_20080,20,7,[4],,2,1,80,0,,3,23
23090,TaskConditionBaseVO,,true,,1,,-1,5209,1,3,[110],1,[110],true,0,0,21,"4,5,6|1",,0,task_daily_dec_20090,20,1,[114],,2,1,90,0,,3,21
23100,TaskConditionBaseVO,,true,,1,,-1,5210,2,3,[106],1,[106],true,0,0,38,35,,0,task_daily_dec_20100,20,13,[11],,2,1,100,0,,3,38
24100,TaskConditionBaseVO,,true,2|1,1,,-1,5221,-1,1,[1],1,[1],true,0,0,59,1500,,0,task_daily_dec_20101,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
24101,TaskConditionBaseVO,,true,2|2,1,,-1,5222,-1,1,[1],1,[1],true,0,0,59,2520,,0,task_daily_dec_20102,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
24102,TaskConditionBaseVO,,true,2|3,1,,-1,5223,-1,1,[1],1,[1],true,0,0,59,3600,,0,task_daily_dec_20103,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
24103,TaskConditionBaseVO,,true,2|4,1,,-1,5224,-1,1,[1],1,[1],true,0,0,59,5400,,0,task_daily_dec_20104,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
24104,TaskConditionBaseVO,,true,2|5,1,,-1,5225,-1,1,[1],1,[1],true,0,0,59,5400,,0,task_daily_dec_20104,9999,-1,,,2,1,5,0,"1,5-9999,10066-10091",3,59
30010,TaskConditionBaseVO,,false,,1,,-1,5201,-1,1,[1],1,[1],true,0,1,12,7,,0,task_daily_dec_30010,1,-1,,,2,1,10,0,,4,12
30011,TaskConditionBaseVO,,false,,1,,-1,5201,-1,1,[1],1,[1],true,0,1,12,14,,0,task_daily_dec_30011,1,-1,,,2,1,10,0,,4,12
30012,TaskConditionBaseVO,,false,,1,,-1,5201,-1,1,[1],1,[1],true,0,1,12,21,,0,task_daily_dec_30012,1,-1,,,2,1,10,0,,4,12
30013,TaskConditionBaseVO,,false,,1,,-1,5201,-1,1,[1],1,[1],true,0,1,12,28,,0,task_daily_dec_30013,1,-1,,,2,1,10,0,,4,12
