id,can_refresh_condition,can_refresh_level,cost_energy,icon,is_boss,is_hide_name,itemId,level,main_bounty_accept,mainBountyConditionDic,name_desc,name_desc_parameter,parameter,pre_level,prestige_reward,quality,reward,special_type,task_desc,task_quality,time,type
22,,,5,icon_superboss,-1,-1,200022,-1,"1|4,2|16",{1:4|2:16},UI_Bounty_009,[22],200022|31011,21,1,-1,29122,-1,bounty_task_desc_06,6,-1,1
23,,,5,icon_superboss,-1,-1,200023,-1,"1|4,2|16",{1:4|2:16},UI_Bounty_009,[23],200023|31011,22,1,-1,29123,-1,bounty_task_desc_06,6,-1,1
24,,,5,icon_superboss,-1,-1,200024,-1,"1|4,2|16",{1:4|2:16},UI_Bounty_009,[24],200024|31011,23,1,-1,29124,-1,bounty_task_desc_06,6,-1,1
25,,,5,icon_superboss,-1,-1,200025,-1,"1|4,2|16",{1:4|2:16},UI_Bounty_009,[25],200025|31011,24,1,-1,29125,-1,bounty_task_desc_06,6,-1,1
26,,,5,icon_superboss,-1,-1,200026,-1,"1|5,2|17",{1:5|2:17},UI_Bounty_009,[26],200026|31011,25,1,-1,29126,-1,bounty_task_desc_06,6,-1,1
27,,,5,icon_superboss,-1,-1,200027,-1,"1|5,2|17",{1:5|2:17},UI_Bounty_009,[27],200027|31011,26,1,-1,29127,-1,bounty_task_desc_06,6,-1,1
28,,,5,icon_superboss,-1,-1,200028,-1,"1|5,2|17",{1:5|2:17},UI_Bounty_009,[28],200028|31011,27,1,-1,29128,-1,bounty_task_desc_06,6,-1,1
29,,,5,icon_superboss,-1,-1,200029,-1,"1|5,2|17",{1:5|2:17},UI_Bounty_009,[29],200029|31011,28,1,-1,29129,-1,bounty_task_desc_06,6,-1,1
30,,,5,icon_superboss,-1,-1,200030,-1,"1|5,2|17",{1:5|2:17},UI_Bounty_009,[30],200030|31011,29,1,-1,29130,-1,bounty_task_desc_06,6,-1,1
31,,,5,icon_superboss,-1,-1,200031,-1,"1|6,2|18",{1:6|2:18},UI_Bounty_009,[31],200031|31011,30,1,-1,29131,-1,bounty_task_desc_06,6,-1,1
32,,,5,icon_superboss,-1,-1,200032,-1,"1|6,2|18",{1:6|2:18},UI_Bounty_009,[32],200032|31011,31,1,-1,29132,-1,bounty_task_desc_06,6,-1,1
33,,,5,icon_superboss,-1,-1,200033,-1,"1|6,2|18",{1:6|2:18},UI_Bounty_009,[33],200033|31011,32,1,-1,29133,-1,bounty_task_desc_06,6,-1,1
34,,,5,icon_superboss,-1,-1,200034,-1,"1|6,2|18",{1:6|2:18},UI_Bounty_009,[34],200034|31011,33,1,-1,29134,-1,bounty_task_desc_06,6,-1,1
35,,,5,icon_superboss,-1,-1,200035,-1,"1|6,2|18",{1:6|2:18},UI_Bounty_009,[35],200035|31011,34,1,-1,29135,-1,bounty_task_desc_06,6,-1,1
36,,,5,icon_superboss,-1,-1,200036,-1,"1|7,2|19",{1:7|2:19},UI_Bounty_009,[36],200036|31011,35,1,-1,29136,-1,bounty_task_desc_06,6,-1,1
37,,,5,icon_superboss,-1,-1,200037,-1,"1|7,2|19",{1:7|2:19},UI_Bounty_009,[37],200037|31011,36,1,-1,29137,-1,bounty_task_desc_06,6,-1,1
38,,,5,icon_superboss,-1,-1,200038,-1,"1|7,2|19",{1:7|2:19},UI_Bounty_009,[38],200038|31011,37,1,-1,29138,-1,bounty_task_desc_06,6,-1,1
39,,,5,icon_superboss,-1,-1,200039,-1,"1|7,2|19",{1:7|2:19},UI_Bounty_009,[39],200039|31011,38,1,-1,29139,-1,bounty_task_desc_06,6,-1,1
40,,,5,icon_superboss,-1,-1,200040,-1,"1|7,2|19",{1:7|2:19},UI_Bounty_009,[40],200040|31011,39,1,-1,29140,-1,bounty_task_desc_06,6,-1,1
41,,,5,icon_superboss,-1,-1,200041,-1,"1|8,2|20",{1:8|2:20},UI_Bounty_009,[41],200041|31011,40,1,-1,29141,-1,bounty_task_desc_06,6,-1,1
42,,,5,icon_superboss,-1,-1,200042,-1,"1|8,2|20",{1:8|2:20},UI_Bounty_009,[42],200042|31011,41,1,-1,29142,-1,bounty_task_desc_06,6,-1,1
43,,,5,icon_superboss,-1,-1,200043,-1,"1|8,2|20",{1:8|2:20},UI_Bounty_009,[43],200043|31011,42,1,-1,29143,-1,bounty_task_desc_06,6,-1,1
44,,,5,icon_superboss,-1,-1,200044,-1,"1|8,2|20",{1:8|2:20},UI_Bounty_009,[44],200044|31011,43,1,-1,29144,-1,bounty_task_desc_06,6,-1,1
45,,,5,icon_superboss,-1,-1,200045,-1,"1|8,2|20",{1:8|2:20},UI_Bounty_009,[45],200045|31011,44,1,-1,29145,-1,bounty_task_desc_06,6,-1,1
46,,,5,icon_superboss,-1,-1,200046,-1,"1|9,2|20",{1:9|2:20},UI_Bounty_009,[46],200046|31011,45,1,-1,29146,-1,bounty_task_desc_06,6,-1,1
47,,,5,icon_superboss,-1,-1,200047,-1,"1|9,2|20",{1:9|2:20},UI_Bounty_009,[47],200047|31011,46,1,-1,29147,-1,bounty_task_desc_06,6,-1,1
48,,,5,icon_superboss,-1,-1,200048,-1,"1|9,2|20",{1:9|2:20},UI_Bounty_009,[48],200048|31011,47,1,-1,29148,-1,bounty_task_desc_06,6,-1,1
49,,,5,icon_superboss,-1,-1,200049,-1,"1|9,2|20",{1:9|2:20},UI_Bounty_009,[49],200049|31011,48,1,-1,29149,-1,bounty_task_desc_06,6,-1,1
50,,,5,icon_superboss,-1,-1,200050,-1,"1|9,2|20",{1:9|2:20},UI_Bounty_009,[50],200050|31011,49,1,-1,29150,-1,bounty_task_desc_06,6,-1,1
51,,,5,icon_superboss,-1,-1,200051,-1,"1|11,2|21",{1:11|2:21},UI_Bounty_009,[51],200051|31011,50,1,-1,29151,-1,bounty_task_desc_06,6,-1,1
52,,,5,icon_superboss,-1,-1,200052,-1,"1|11,2|21",{1:11|2:21},UI_Bounty_009,[52],200052|31011,51,1,-1,29152,-1,bounty_task_desc_06,6,-1,1
53,,,5,icon_superboss,-1,-1,200053,-1,"1|11,2|21",{1:11|2:21},UI_Bounty_009,[53],200053|31011,52,1,-1,29153,-1,bounty_task_desc_06,6,-1,1
54,,,5,icon_superboss,-1,-1,200054,-1,"1|11,2|21",{1:11|2:21},UI_Bounty_009,[54],200054|31011,53,1,-1,29154,-1,bounty_task_desc_06,6,-1,1
55,,,5,icon_superboss,-1,-1,200055,-1,"1|11,2|21",{1:11|2:21},UI_Bounty_009,[55],200055|31011,54,1,-1,29155,-1,bounty_task_desc_06,6,-1,1
56,,,5,icon_superboss,-1,-1,200056,-1,"1|13,2|21",{1:13|2:21},UI_Bounty_009,[56],200056|31011,55,1,-1,29156,-1,bounty_task_desc_06,6,-1,1
57,,,5,icon_superboss,-1,-1,200057,-1,"1|13,2|21",{1:13|2:21},UI_Bounty_009,[57],200057|31011,56,1,-1,29157,-1,bounty_task_desc_06,6,-1,1
58,,,5,icon_superboss,-1,-1,200058,-1,"1|13,2|21",{1:13|2:21},UI_Bounty_009,[58],200058|31011,57,1,-1,29158,-1,bounty_task_desc_06,6,-1,1
59,,,5,icon_superboss,-1,-1,200059,-1,"1|13,2|21",{1:13|2:21},UI_Bounty_009,[59],200059|31011,58,1,-1,29159,-1,bounty_task_desc_06,6,-1,1
60,,,5,icon_superboss,-1,-1,200060,-1,"1|13,2|21",{1:13|2:21},UI_Bounty_009,[60],200060|31011,59,1,-1,29160,-1,bounty_task_desc_06,6,-1,1
61,,,5,icon_superboss,-1,-1,200061,-1,"1|15,2|22",{1:15|2:22},UI_Bounty_009,[61],200061|31011,60,1,-1,29161,-1,bounty_task_desc_06,6,-1,1
62,,,5,icon_superboss,-1,-1,200062,-1,"1|15,2|22",{1:15|2:22},UI_Bounty_009,[62],200062|31011,61,1,-1,29162,-1,bounty_task_desc_06,6,-1,1
63,,,5,icon_superboss,-1,-1,200063,-1,"1|15,2|22",{1:15|2:22},UI_Bounty_009,[63],200063|31011,62,1,-1,29163,-1,bounty_task_desc_06,6,-1,1
64,,,5,icon_superboss,-1,-1,200064,-1,"1|15,2|22",{1:15|2:22},UI_Bounty_009,[64],200064|31011,63,1,-1,29164,-1,bounty_task_desc_06,6,-1,1
65,,,5,icon_superboss,-1,-1,200065,-1,"1|15,2|22",{1:15|2:22},UI_Bounty_009,[65],200065|31011,64,1,-1,29165,-1,bounty_task_desc_06,6,-1,1
66,,,5,icon_superboss,-1,-1,200066,-1,"1|17,2|22",{1:17|2:22},UI_Bounty_009,[66],200066|31011,65,1,-1,29166,-1,bounty_task_desc_06,6,-1,1
67,,,5,icon_superboss,-1,-1,200067,-1,"1|17,2|22",{1:17|2:22},UI_Bounty_009,[67],200067|31011,66,1,-1,29167,-1,bounty_task_desc_06,6,-1,1
68,,,5,icon_superboss,-1,-1,200068,-1,"1|17,2|22",{1:17|2:22},UI_Bounty_009,[68],200068|31011,67,1,-1,29168,-1,bounty_task_desc_06,6,-1,1
69,,,5,icon_superboss,-1,-1,200069,-1,"1|17,2|22",{1:17|2:22},UI_Bounty_009,[69],200069|31011,68,1,-1,29169,-1,bounty_task_desc_06,6,-1,1
70,,,5,icon_superboss,-1,-1,200070,-1,"1|17,2|22",{1:17|2:22},UI_Bounty_009,[70],200070|31011,69,1,-1,29170,-1,bounty_task_desc_06,6,-1,1
71,,,5,icon_superboss,-1,-1,200071,-1,"1|19,2|23",{1:19|2:23},UI_Bounty_009,[71],200071|31011,70,1,-1,29171,-1,bounty_task_desc_06,6,-1,1
72,,,5,icon_superboss,-1,-1,200072,-1,"1|19,2|23",{1:19|2:23},UI_Bounty_009,[72],200072|31011,71,1,-1,29172,-1,bounty_task_desc_06,6,-1,1
73,,,5,icon_superboss,-1,-1,200073,-1,"1|19,2|23",{1:19|2:23},UI_Bounty_009,[73],200073|31011,72,1,-1,29173,-1,bounty_task_desc_06,6,-1,1
74,,,5,icon_superboss,-1,-1,200074,-1,"1|19,2|23",{1:19|2:23},UI_Bounty_009,[74],200074|31011,73,1,-1,29174,-1,bounty_task_desc_06,6,-1,1
75,,,5,icon_superboss,-1,-1,200075,-1,"1|19,2|23",{1:19|2:23},UI_Bounty_009,[75],200075|31011,74,1,-1,29175,-1,bounty_task_desc_06,6,-1,1
76,,,5,icon_superboss,-1,-1,200076,-1,"1|21,2|23",{1:21|2:23},UI_Bounty_009,[76],200076|31011,75,1,-1,29176,-1,bounty_task_desc_06,6,-1,1
77,,,5,icon_superboss,-1,-1,200077,-1,"1|21,2|23",{1:21|2:23},UI_Bounty_009,[77],200077|31011,76,1,-1,29177,-1,bounty_task_desc_06,6,-1,1
78,,,5,icon_superboss,-1,-1,200078,-1,"1|21,2|23",{1:21|2:23},UI_Bounty_009,[78],200078|31011,77,1,-1,29178,-1,bounty_task_desc_06,6,-1,1
79,,,5,icon_superboss,-1,-1,200079,-1,"1|21,2|23",{1:21|2:23},UI_Bounty_009,[79],200079|31011,78,1,-1,29179,-1,bounty_task_desc_06,6,-1,1
80,,,5,icon_superboss,-1,-1,200080,-1,"1|21,2|23",{1:21|2:23},UI_Bounty_009,[80],200080|31011,79,1,-1,29180,-1,bounty_task_desc_06,6,-1,1
81,,,5,icon_superboss,-1,-1,200081,-1,"1|23,2|24",{1:23|2:24},UI_Bounty_009,[81],200081|31011,80,1,-1,29181,-1,bounty_task_desc_06,6,-1,1
82,,,5,icon_superboss,-1,-1,200082,-1,"1|23,2|24",{1:23|2:24},UI_Bounty_009,[82],200082|31011,81,1,-1,29182,-1,bounty_task_desc_06,6,-1,1
83,,,5,icon_superboss,-1,-1,200083,-1,"1|23,2|24",{1:23|2:24},UI_Bounty_009,[83],200083|31011,82,1,-1,29183,-1,bounty_task_desc_06,6,-1,1
84,,,5,icon_superboss,-1,-1,200084,-1,"1|23,2|24",{1:23|2:24},UI_Bounty_009,[84],200084|31011,83,1,-1,29184,-1,bounty_task_desc_06,6,-1,1
85,,,5,icon_superboss,-1,-1,200085,-1,"1|23,2|24",{1:23|2:24},UI_Bounty_009,[85],200085|31011,84,1,-1,29185,-1,bounty_task_desc_06,6,-1,1
86,,,5,icon_superboss,-1,-1,200086,-1,"1|25,2|24",{1:25|2:24},UI_Bounty_009,[86],200086|31011,85,1,-1,29186,-1,bounty_task_desc_06,6,-1,1
87,,,5,icon_superboss,-1,-1,200087,-1,"1|25,2|24",{1:25|2:24},UI_Bounty_009,[87],200087|31011,86,1,-1,29187,-1,bounty_task_desc_06,6,-1,1
88,,,5,icon_superboss,-1,-1,200088,-1,"1|25,2|24",{1:25|2:24},UI_Bounty_009,[88],200088|31011,87,1,-1,29188,-1,bounty_task_desc_06,6,-1,1
89,,,5,icon_superboss,-1,-1,200089,-1,"1|25,2|24",{1:25|2:24},UI_Bounty_009,[89],200089|31011,88,1,-1,29189,-1,bounty_task_desc_06,6,-1,1
90,,,5,icon_superboss,-1,-1,200090,-1,"1|25,2|24",{1:25|2:24},UI_Bounty_009,[90],200090|31011,89,1,-1,29190,-1,bounty_task_desc_06,6,-1,1
91,,,5,icon_superboss,-1,-1,200091,-1,"1|27,2|25",{1:27|2:25},UI_Bounty_009,[91],200091|31011,90,1,-1,29191,-1,bounty_task_desc_06,6,-1,1
92,,,5,icon_superboss,-1,-1,200092,-1,"1|27,2|25",{1:27|2:25},UI_Bounty_009,[92],200092|31011,91,1,-1,29192,-1,bounty_task_desc_06,6,-1,1
93,,,5,icon_superboss,-1,-1,200093,-1,"1|27,2|25",{1:27|2:25},UI_Bounty_009,[93],200093|31011,92,1,-1,29193,-1,bounty_task_desc_06,6,-1,1
94,,,5,icon_superboss,-1,-1,200094,-1,"1|27,2|25",{1:27|2:25},UI_Bounty_009,[94],200094|31011,93,1,-1,29194,-1,bounty_task_desc_06,6,-1,1
95,,,5,icon_superboss,-1,-1,200095,-1,"1|27,2|25",{1:27|2:25},UI_Bounty_009,[95],200095|31011,94,1,-1,29195,-1,bounty_task_desc_06,6,-1,1
96,,,5,icon_superboss,-1,-1,200096,-1,"1|29,2|25",{1:29|2:25},UI_Bounty_009,[96],200096|31011,95,1,-1,29196,-1,bounty_task_desc_06,6,-1,1
97,,,5,icon_superboss,-1,-1,200097,-1,"1|29,2|25",{1:29|2:25},UI_Bounty_009,[97],200097|31011,96,1,-1,29197,-1,bounty_task_desc_06,6,-1,1
98,,,5,icon_superboss,-1,-1,200098,-1,"1|29,2|25",{1:29|2:25},UI_Bounty_009,[98],200098|31011,97,1,-1,29198,-1,bounty_task_desc_06,6,-1,1
99,,,5,icon_superboss,-1,-1,200099,-1,"1|29,2|25",{1:29|2:25},UI_Bounty_009,[99],200099|31011,98,1,-1,29199,-1,bounty_task_desc_06,6,-1,1
100,,,5,icon_superboss,-1,-1,200100,-1,"1|29,2|25",{1:29|2:25},UI_Bounty_009,[100],200100|31011,99,1,-1,29200,-1,bounty_task_desc_06,6,-1,1
101,,,5,icon_superboss,-1,-1,200101,-1,"1|31,2|26",{1:31|2:26},UI_Bounty_009,[101],200101|31011,100,1,-1,29201,-1,bounty_task_desc_06,6,-1,1
102,,,5,icon_superboss,-1,-1,200102,-1,"1|31,2|26",{1:31|2:26},UI_Bounty_009,[102],200102|31011,101,1,-1,29202,-1,bounty_task_desc_06,6,-1,1
103,,,5,icon_superboss,-1,-1,200103,-1,"1|31,2|26",{1:31|2:26},UI_Bounty_009,[103],200103|31011,102,1,-1,29203,-1,bounty_task_desc_06,6,-1,1
104,,,5,icon_superboss,-1,-1,200104,-1,"1|31,2|26",{1:31|2:26},UI_Bounty_009,[104],200104|31011,103,1,-1,29204,-1,bounty_task_desc_06,6,-1,1
105,,,5,icon_superboss,-1,-1,200105,-1,"1|31,2|26",{1:31|2:26},UI_Bounty_009,[105],200105|31011,104,1,-1,29205,-1,bounty_task_desc_06,6,-1,1
106,,,5,icon_superboss,-1,-1,200106,-1,"1|33,2|26",{1:33|2:26},UI_Bounty_009,[106],200106|31011,105,1,-1,29206,-1,bounty_task_desc_06,6,-1,1
107,,,5,icon_superboss,-1,-1,200107,-1,"1|33,2|26",{1:33|2:26},UI_Bounty_009,[107],200107|31011,106,1,-1,29207,-1,bounty_task_desc_06,6,-1,1
108,,,5,icon_superboss,-1,-1,200108,-1,"1|33,2|26",{1:33|2:26},UI_Bounty_009,[108],200108|31011,107,1,-1,29208,-1,bounty_task_desc_06,6,-1,1
109,,,5,icon_superboss,-1,-1,200109,-1,"1|33,2|26",{1:33|2:26},UI_Bounty_009,[109],200109|31011,108,1,-1,29209,-1,bounty_task_desc_06,6,-1,1
110,,,5,icon_superboss,-1,-1,200110,-1,"1|33,2|26",{1:33|2:26},UI_Bounty_009,[110],200110|31011,109,1,-1,29210,-1,bounty_task_desc_06,6,-1,1
111,,,5,icon_superboss,-1,-1,200111,-1,"1|35,2|27",{1:35|2:27},UI_Bounty_009,[111],200111|31011,110,1,-1,29211,-1,bounty_task_desc_06,6,-1,1
112,,,5,icon_superboss,-1,-1,200112,-1,"1|35,2|27",{1:35|2:27},UI_Bounty_009,[112],200112|31011,111,1,-1,29212,-1,bounty_task_desc_06,6,-1,1
113,,,5,icon_superboss,-1,-1,200113,-1,"1|35,2|27",{1:35|2:27},UI_Bounty_009,[113],200113|31011,112,1,-1,29213,-1,bounty_task_desc_06,6,-1,1
114,,,5,icon_superboss,-1,-1,200114,-1,"1|35,2|27",{1:35|2:27},UI_Bounty_009,[114],200114|31011,113,1,-1,29214,-1,bounty_task_desc_06,6,-1,1
115,,,5,icon_superboss,-1,-1,200115,-1,"1|35,2|27",{1:35|2:27},UI_Bounty_009,[115],200115|31011,114,1,-1,29215,-1,bounty_task_desc_06,6,-1,1
116,,,5,icon_superboss,-1,-1,200116,-1,"1|37,2|27",{1:37|2:27},UI_Bounty_009,[116],200116|31011,115,1,-1,29216,-1,bounty_task_desc_06,6,-1,1
117,,,5,icon_superboss,-1,-1,200117,-1,"1|37,2|27",{1:37|2:27},UI_Bounty_009,[117],200117|31011,116,1,-1,29217,-1,bounty_task_desc_06,6,-1,1
118,,,5,icon_superboss,-1,-1,200118,-1,"1|37,2|27",{1:37|2:27},UI_Bounty_009,[118],200118|31011,117,1,-1,29218,-1,bounty_task_desc_06,6,-1,1
119,,,5,icon_superboss,-1,-1,200119,-1,"1|37,2|27",{1:37|2:27},UI_Bounty_009,[119],200119|31011,118,1,-1,29219,-1,bounty_task_desc_06,6,-1,1
120,,,5,icon_superboss,-1,-1,200120,-1,"1|37,2|27",{1:37|2:27},UI_Bounty_009,[120],200120|31011,119,1,-1,29220,-1,bounty_task_desc_06,6,-1,1
121,,,5,icon_superboss,-1,-1,200121,-1,"1|39,2|28",{1:39|2:28},UI_Bounty_009,[121],200121|31011,120,1,-1,29221,-1,bounty_task_desc_06,6,-1,1
122,,,5,icon_superboss,-1,-1,200122,-1,"1|39,2|28",{1:39|2:28},UI_Bounty_009,[122],200122|31011,121,1,-1,29222,-1,bounty_task_desc_06,6,-1,1
123,,,5,icon_superboss,-1,-1,200123,-1,"1|39,2|28",{1:39|2:28},UI_Bounty_009,[123],200123|31011,122,1,-1,29223,-1,bounty_task_desc_06,6,-1,1
124,,,5,icon_superboss,-1,-1,200124,-1,"1|39,2|28",{1:39|2:28},UI_Bounty_009,[124],200124|31011,123,1,-1,29224,-1,bounty_task_desc_06,6,-1,1
125,,,5,icon_superboss,-1,-1,200125,-1,"1|39,2|28",{1:39|2:28},UI_Bounty_009,[125],200125|31011,124,1,-1,29225,-1,bounty_task_desc_06,6,-1,1
126,,,5,icon_superboss,-1,-1,200126,-1,"1|41,2|28",{1:41|2:28},UI_Bounty_009,[126],200126|31011,125,1,-1,29226,-1,bounty_task_desc_06,6,-1,1
127,,,5,icon_superboss,-1,-1,200127,-1,"1|41,2|28",{1:41|2:28},UI_Bounty_009,[127],200127|31011,126,1,-1,29227,-1,bounty_task_desc_06,6,-1,1
128,,,5,icon_superboss,-1,-1,200128,-1,"1|41,2|28",{1:41|2:28},UI_Bounty_009,[128],200128|31011,127,1,-1,29228,-1,bounty_task_desc_06,6,-1,1
129,,,5,icon_superboss,-1,-1,200129,-1,"1|41,2|28",{1:41|2:28},UI_Bounty_009,[129],200129|31011,128,1,-1,29229,-1,bounty_task_desc_06,6,-1,1
130,,,5,icon_superboss,-1,-1,200130,-1,"1|41,2|28",{1:41|2:28},UI_Bounty_009,[130],200130|31011,129,1,-1,29230,-1,bounty_task_desc_06,6,-1,1
131,,,5,icon_superboss,-1,-1,200131,-1,"1|43,2|29",{1:43|2:29},UI_Bounty_009,[131],200131|31011,130,1,-1,29231,-1,bounty_task_desc_06,6,-1,1
132,,,5,icon_superboss,-1,-1,200132,-1,"1|43,2|29",{1:43|2:29},UI_Bounty_009,[132],200132|31011,131,1,-1,29232,-1,bounty_task_desc_06,6,-1,1
133,,,5,icon_superboss,-1,-1,200133,-1,"1|43,2|29",{1:43|2:29},UI_Bounty_009,[133],200133|31011,132,1,-1,29233,-1,bounty_task_desc_06,6,-1,1
134,,,5,icon_superboss,-1,-1,200134,-1,"1|43,2|29",{1:43|2:29},UI_Bounty_009,[134],200134|31011,133,1,-1,29234,-1,bounty_task_desc_06,6,-1,1
135,,,5,icon_superboss,-1,-1,200135,-1,"1|43,2|29",{1:43|2:29},UI_Bounty_009,[135],200135|31011,134,1,-1,29235,-1,bounty_task_desc_06,6,-1,1
136,,,5,icon_superboss,-1,-1,200136,-1,"1|45,2|29",{1:45|2:29},UI_Bounty_009,[136],200136|31011,135,1,-1,29236,-1,bounty_task_desc_06,6,-1,1
137,,,5,icon_superboss,-1,-1,200137,-1,"1|45,2|29",{1:45|2:29},UI_Bounty_009,[137],200137|31011,136,1,-1,29237,-1,bounty_task_desc_06,6,-1,1
138,,,5,icon_superboss,-1,-1,200138,-1,"1|45,2|29",{1:45|2:29},UI_Bounty_009,[138],200138|31011,137,1,-1,29238,-1,bounty_task_desc_06,6,-1,1
139,,,5,icon_superboss,-1,-1,200139,-1,"1|45,2|29",{1:45|2:29},UI_Bounty_009,[139],200139|31011,138,1,-1,29239,-1,bounty_task_desc_06,6,-1,1
140,,,5,icon_superboss,-1,-1,200140,-1,"1|45,2|29",{1:45|2:29},UI_Bounty_009,[140],200140|31011,139,1,-1,29240,-1,bounty_task_desc_06,6,-1,1
141,,,5,icon_superboss,-1,-1,200141,-1,"1|47,2|30",{1:47|2:30},UI_Bounty_009,[141],200141|31011,140,1,-1,29241,-1,bounty_task_desc_06,6,-1,1
142,,,5,icon_superboss,-1,-1,200142,-1,"1|47,2|30",{1:47|2:30},UI_Bounty_009,[142],200142|31011,141,1,-1,29242,-1,bounty_task_desc_06,6,-1,1
143,,,5,icon_superboss,-1,-1,200143,-1,"1|47,2|30",{1:47|2:30},UI_Bounty_009,[143],200143|31011,142,1,-1,29243,-1,bounty_task_desc_06,6,-1,1
144,,,5,icon_superboss,-1,-1,200144,-1,"1|47,2|30",{1:47|2:30},UI_Bounty_009,[144],200144|31011,143,1,-1,29244,-1,bounty_task_desc_06,6,-1,1
145,,,5,icon_superboss,-1,-1,200145,-1,"1|47,2|30",{1:47|2:30},UI_Bounty_009,[145],200145|31011,144,1,-1,29245,-1,bounty_task_desc_06,6,-1,1
146,,,5,icon_superboss,-1,-1,200146,-1,"1|49,2|30",{1:49|2:30},UI_Bounty_009,[146],200146|31011,145,1,-1,29246,-1,bounty_task_desc_06,6,-1,1
147,,,5,icon_superboss,-1,-1,200147,-1,"1|49,2|30",{1:49|2:30},UI_Bounty_009,[147],200147|31011,146,1,-1,29247,-1,bounty_task_desc_06,6,-1,1
