id,act_1,act_2,act_3,act_time_1,act_time_2,act_time_3,actNameList,actTimeList,FX_1,FX_2,FX_3,FX_appear_1,FX_appear_2,FX_appear_3,FX_position_1,FX_position_2,FX_position_3,FX_scale_1,FX_scale_2,FX_scale_3,FX_time_1,FX_time_2,FX_time_3,fxAppearTimeList,fxPathList,fxPositionList,fxScaleList,fxTimeList
10026,skill2,,,1667,-1,-1,[skill2],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10027,skill2,,,2033,-1,-1,[skill2],[2033],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Nun_Skill2_n,,0,0,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Nun_Skill2_n],[[0|0]|[0|0]],[100|100],[500|3000]
10028,skill2,,,1833,-1,-1,[skill2],[1833],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10029,skill2,,,1667,-1,-1,[skill2],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10030,skill2,,,1367,-1,-1,[skill2],[1367],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Bard_Skill2_n,,0,567,-1,0|0,0|150,,100,100,-1,500,3000,-1,[0|567],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Bard_Skill2_n],[[0|0]|[0|150]],[100|100],[500|3000]
10031,skill2,,,1500,-1,-1,[skill2],[1500],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Judge_Skill2,,0,300,-1,0|0,0|0,,100,45,-1,500,3000,-1,[0|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Judge_Skill2],[[0|0]|[0|0]],[100|45],[500|3000]
10032,skill2,,,1567,-1,-1,[skill2],[1567],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/LaoBanNiang_Skill2,,0,700,-1,0|0,300|0,,100,100,-1,500,800,-1,[0|700],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/LaoBanNiang_Skill2],[[0|0]|[300|0]],[100|100],[500|800]
10033,skill2,,,2333,-1,-1,[skill2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/ShengTu_Skill02_SF,Effect/Battle/ShengTu_Skill02,0,400,367,0|0,0|0,0|0,100,50,100,500,2000,4000,[0|400|367],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/ShengTu_Skill02_SF|Effect/Battle/ShengTu_Skill02],[[0|0]|[0|0]|[0|0]],[100|50|100],[500|2000|4000]
10034,skill2,,,2100,-1,-1,[skill2],[2100],Effect/Battle/SaMan_Skill2_SF,Effect/Battle/SaMan_Skill2_Buff,,0,1200,-1,0|0,0|0,,100,100,-1,2000,1000,-1,[0|1200],[Effect/Battle/SaMan_Skill2_SF|Effect/Battle/SaMan_Skill2_Buff],[[0|0]|[0|0]],[100|100],[2000|1000]
10035,skill2,,,2000,-1,-1,[skill2],[2000],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10036,skill2,,,1667,-1,-1,[skill2],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10037,skill1,,,1833,-1,-1,[skill1],[1833],Effect/Battle/E_YJ_skill1_attack,,,0,-1,-1,0|0,,,100,-1,-1,1500,-1,-1,[0],[Effect/Battle/E_YJ_skill1_attack],[[0|0]],[100],[1500]
10038,skill1,,,1533,-1,-1,[skill1],[1533],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10039,skill2,,,1400,-1,-1,[skill2],[1400],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10040,skill2,,,3967,-1,-1,[skill2],[3967],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10041,skill2,,,1167,-1,-1,[skill2],[1167],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,,,0,-1,-1,0|0,,,100,-1,-1,500,-1,-1,[0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01],[[0|0]],[100],[500]
10042,skill2,idle_skill2,skill2_end,1000,1333,467,[skill2|idle_skill2|skill2_end],[1000|1333|467],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10043,skill2,,,2067,-1,-1,[skill2],[2067],Effect/Battle/QiangWeiGZ_Skill2_SF,Effect/Battle/QiangWeiGZ_Skill2,,0,1267,-1,0|0,0|0,,100,50,-1,1000,2000,-1,[0|1267],[Effect/Battle/QiangWeiGZ_Skill2_SF|Effect/Battle/QiangWeiGZ_Skill2],[[0|0]|[0|0]],[100|50],[1000|2000]
10044,skill2,,,1400,-1,-1,[skill2],[1400],Effect/Battle/HuanChaoShi_Skill2_SF,Effect/Battle/HuanChaoShi_Skill2,,0,233,-1,0|0,0|0,,100,50,-1,1000,2000,-1,[0|233],[Effect/Battle/HuanChaoShi_Skill2_SF|Effect/Battle/HuanChaoShi_Skill2],[[0|0]|[0|0]],[100|50],[1000|2000]
10045,idle2,,,4033,-1,-1,[idle2],[4033],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10046,idle2,,,2033,-1,-1,[idle2],[2033],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10047,idle2,,,5500,-1,-1,[idle2],[5500],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10048,idle2,,,4767,-1,-1,[idle2],[4767],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10049,idle2,,,5967,-1,-1,[idle2],[5967],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10050,idle2,,,5900,-1,-1,[idle2],[5900],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10051,idle2,,,5400,-1,-1,[idle2],[5400],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10052,idle2,,,6600,-1,-1,[idle2],[6600],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10053,idle2,,,5567,-1,-1,[idle2],[5567],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
10054,idle2,,,6333,-1,-1,[idle2],[6333],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
15032,skill2,,,1567,-1,-1,[skill2],[1567],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/LaoBanNiang_Skill2,,0,700,-1,0|0,300|0,,100,100,-1,500,800,-1,[0|700],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/LaoBanNiang_Skill2],[[0|0]|[300|0]],[100|100],[500|800]
15033,idle2,,,2333,-1,-1,[idle2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/ShengTu_Skill02_SF,Effect/Battle/ShengTu_Skill02,0,400,367,0|0,0|0,0|0,100,50,100,500,2000,4000,[0|400|367],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/ShengTu_Skill02_SF|Effect/Battle/ShengTu_Skill02],[[0|0]|[0|0]|[0|0]],[100|50|100],[500|2000|4000]
15039,idle2,,,3167,-1,-1,[idle2],[3167],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
11025,skill2,,,1600,-1,-1,[skill2],[1600],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_FireMageV2_Skill2_SF,Effect/Battle/Fx_FireMageV3_Skill2,0,0,300,0|0,0|0,0|0,100,100,100,500,2000,4000,[0|0|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_FireMageV2_Skill2_SF|Effect/Battle/Fx_FireMageV3_Skill2],[[0|0]|[0|0]|[0|0]],[100|100|100],[500|2000|4000]
11028,idle2,,,4333,-1,-1,[idle2],[4333],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1000802,idle2,,,3900,-1,-1,[idle2],[3900],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1000803,skill2,,,1767,-1,-1,[skill2],[1767],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Druid_SF_Skill2,,0,700,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|700],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Druid_SF_Skill2],[[0|0]|[0|0]],[100|100],[500|3000]
1002202,skill2,,,1500,-1,-1,[skill2],[1500],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Headhunter_Skill2,,0,233,-1,0|0,0|0,,100,100,-1,500,1500,-1,[0|233],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Headhunter_Skill2],[[0|0]|[0|0]],[100|100],[500|1500]
1001702,idle2,,,4233,-1,-1,[idle2],[4233],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1001703,idle2,,,4233,-1,-1,[idle2],[4233],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1001802,skill2,,,1967,-1,-1,[skill2],[1967],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/SecretKeeper_Skill2_n2,,0,1033,-1,0|0,0|0,,100,60,-1,500,2000,-1,[0|1033],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/SecretKeeper_Skill2_n2],[[0|0]|[0|0]],[100|60],[500|2000]
1001803,idle2,,,4233,-1,-1,[idle2],[4233],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1001902,skill3,,,1667,-1,-1,[skill3],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/TreeGuard_Skill2,,0,0,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/TreeGuard_Skill2],[[0|0]|[0|0]],[100|100],[500|3000]
1001903,skill3,,,1667,-1,-1,[skill3],[1667],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/TreeGuard_Skill2,,0,0,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/TreeGuard_Skill2],[[0|0]|[0|0]],[100|100],[500|3000]
1002002,skill2,skill2_loop,skill2_end,500,2330,633,[skill2|skill2_loop|skill2_end],[500|2330|633],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Swordinstructor_Skill2,,0,467,-1,0|0,0|0,,100,100,-1,500,2330,-1,[0|467],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Swordinstructor_Skill2],[[0|0]|[0|0]],[100|100],[500|2330]
1002102,skill3,,,1267,-1,-1,[skill3],[1267],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Watchman_Skill3,,0,400,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|400],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Watchman_Skill3],[[0|0]|[0|0]],[100|100],[500|2000]
1002302,idle2,,,4833,-1,-1,[idle2],[4833],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002303,skill2,,,1767,-1,-1,[skill2],[1767],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/WilderHunter_Skill2,,0,367,-1,0|0,0|0,,100,100,-1,500,2000,-1,[0|367],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/WilderHunter_Skill2],[[0|0]|[0|0]],[100|100],[500|2000]
1002402,skill2,,,2333,-1,-1,[skill2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/AstrologyScholar_Skill2_SF,,0,600,-1,0|0,0|0,,100,100,-1,500,1000,-1,[0|600],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/AstrologyScholar_Skill2_SF],[[0|0]|[0|0]],[100|100],[500|1000]
1002403,skill2,,,2333,-1,-1,[skill2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/AstrologyScholar_Skill2_SF,,0,600,-1,0|0,0|0,,100,100,-1,500,1000,-1,[0|600],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/AstrologyScholar_Skill2_SF],[[0|0]|[0|0]],[100|100],[500|1000]
1002405,skill2,,,2333,-1,-1,[skill2],[2333],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/AstrologyScholar_Skill2_SF,,0,600,-1,0|0,0|0,,100,100,-1,500,1000,-1,[0|600],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/AstrologyScholar_Skill2_SF],[[0|0]|[0|0]],[100|100],[500|1000]
1002406,idle2,,,4867,-1,-1,[idle2],[4867],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002502,skill2,,,1600,-1,-1,[skill2],[1600],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_FireMage_Skill2_SF,Effect/Battle/Fx_FireMage_Skill2_02,0,700,300,0|0,0|0,0|0,100,100,100,500,2000,4000,[0|700|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_FireMage_Skill2_SF|Effect/Battle/Fx_FireMage_Skill2_02],[[0|0]|[0|0]|[0|0]],[100|100|100],[500|2000|4000]
1002503,idle2,,,5233,-1,-1,[idle2],[5233],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002504,idle2,,,4967,-1,-1,[idle2],[4967],,,,-1,-1,-1,,,0|0,-1,-1,100,-1,-1,4000,[],[],[],[],[]
1002702,idle2,,,4100,-1,-1,[idle2],[4100],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002703,idle2,,,5167,-1,-1,[idle2],[5167],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002704,idle2,,,5533,-1,-1,[idle2],[5533],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002705,skill2,,,2033,-1,-1,[skill2],[2033],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Nun_Skill2_n,,0,0,-1,0|0,0|0,,100,100,-1,500,3000,-1,[0|0],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Nun_Skill2_n],[[0|0]|[0|0]],[100|100],[500|3000]
1002706,idle2,,,5600,-1,-1,[idle2],[5600],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002802,idle2,,,4333,-1,-1,[idle2],[4333],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1002803,idle2,,,5867,-1,-1,[idle2],[5867],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003002,idle2,,,4133,-1,-1,[idle2],[4133],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003003,idle2,,,4167,-1,-1,[idle2],[4167],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003102,skill2,,,1500,-1,-1,[skill2],[1500],Effect/Battle/CommonEffect/Fx_Common_BaoQi_01,Effect/Battle/Fx_Judge_Skill2,,0,300,-1,0|0,0|0,,100,45,-1,500,3000,-1,[0|300],[Effect/Battle/CommonEffect/Fx_Common_BaoQi_01|Effect/Battle/Fx_Judge_Skill2],[[0|0]|[0|0]],[100|45],[500|3000]
1003103,idle2,,,4500,-1,-1,[idle2],[4500],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003104,idle2,,,5900,-1,-1,[idle2],[5900],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003105,idle2,,,4733,-1,-1,[idle2],[4733],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
1003202,idle2,,,1433,-1,-1,[idle2],[1433],,,,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,[],[],[],[],[]
