id,building_ratio,compensation_id,compensation_num,compensation_type,hero_limit,is_removal,level_limit,num,num_1,num_2,num_3,num_4,num_5,reward_1,reward_2,reward_3,reward_4,reward_5,type,type_1,type_2,type_3,type_4,type_5,weight_1,weight_2,weight_3,weight_4,weight_5
166,-1,,,,-1,-1,-1,1,[50],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
167,-1,,,,-1,-1,-1,1,[100],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
168,-1,,,,-1,-1,-1,1,[200],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
169,-1,,,,-1,-1,-1,1,[500],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
170,-1,,,,-1,-1,-1,1,[1000],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
171,-1,,,,-1,-1,-1,1,[200],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
172,-1,,,,-1,-1,-1,1,[500],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
173,-1,,,,-1,-1,-1,1,[1000],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
174,-1,,,,-1,-1,-1,1,[8000],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
175,-1,,,,-1,-1,-1,1,[16000],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
176,-1,,,,-1,-1,-1,1,[40000],,,,,[4],,,,,2,999,-1,-1,-1,-1,,,,,
177,-1,,,,-1,-1,-1,1,[8000],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
178,-1,,,,-1,-1,-1,1,[16000],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
179,-1,,,,-1,-1,-1,1,[40000],,,,,[5],,,,,2,999,-1,-1,-1,-1,,,,,
301,-1,,,,-1,-1,-1,1,[55],[118],[1],[11],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
302,-1,,,,-1,-1,-1,1,[55],[118],[1],[11],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
303,-1,,,,-1,-1,-1,1,[805],[2085],[11],[161],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
304,-1,,,,-1,-1,-1,1,[65],[157],[1],[13],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
305,-1,,,,-1,-1,-1,1,[620],[2215],[7],[124],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
306,-1,,,,-1,-1,-1,1,[105],[363],[1],[21],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
307,-1,,,,-1,-1,-1,1,[200],[564],[2],[40],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
308,-1,,,,-1,-1,-1,1,[1000],[2820],[8],[200],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
309,-1,,,,-1,-1,-1,1,[150],[423],[2],[30],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
310,-1,,,,-1,-1,-1,1,[150],[423],[2],[30],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
311,-1,,,,-1,-1,-1,1,[2000],[5640],[16],[400],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
312,-1,,,,-1,-1,-1,1,[150],[423],[2],[30],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
313,-1,,,,-1,-1,-1,1,[120],[339],[1],[24],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
314,-1,,,,-1,-1,-1,1,[200],[689],[2],[40],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
315,-1,,,,-1,-1,-1,1,[1195],[4134],[9],[239],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
316,-1,,,,-1,-1,-1,1,[240],[827],[2],[48],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
317,-1,,,,-1,-1,-1,1,[170],[588],[2],[34],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
318,-1,,,,-1,-1,-1,1,[170],[588],[2],[34],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
319,-1,,,,-1,-1,-1,1,[2820],[9800],[17],[564],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
320,-1,,,,-1,-1,-1,1,[185],[725],[2],[37],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
321,-1,,,,-1,-1,-1,1,[185],[725],[2],[37],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
322,-1,,,,-1,-1,-1,1,[3065],[12082],[18],[613],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
323,-1,,,,-1,-1,-1,1,[225],[981],[2],[45],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
324,-1,,,,-1,-1,-1,1,[225],[981],[2],[45],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
325,-1,,,,-1,-1,-1,1,[225],[981],[2],[45],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
326,-1,,,,-1,-1,-1,1,[225],[981],[2],[45],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
327,-1,,,,-1,-1,-1,1,[3670],[16335],[18],[734],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
328,-1,,,,-1,-1,-1,1,[285],[1054],[2],[57],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
329,-1,,,,-1,-1,-1,1,[285],[1054],[2],[57],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
330,-1,,,,-1,-1,-1,1,[4720],[17565],[19],[944],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
331,-1,,,,-1,-1,-1,1,[365],[1327],[2],[73],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
332,-1,,,,-1,-1,-1,1,[365],[1327],[2],[73],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
333,-1,,,,-1,-1,-1,1,[390],[1436],[2],[78],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
334,-1,,,,-1,-1,-1,1,[390],[1436],[2],[78],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
335,-1,,,,-1,-1,-1,1,[6440],[23922],[21],[1288],[3],[3],[6],[250],[206],[201],2,999,999,2,2,2,,,,,
336,-1,,,,-1,-1,-1,1,[425],[1531],[2],[85],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
337,-1,,,,-1,-1,-1,1,[425],[1531],[2],[85],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
338,-1,,,,-1,-1,-1,1,[7015],[25515],[21],[1403],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
339,-1,,,,-1,-1,-1,1,[445],[1620],[2],[89],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
340,-1,,,,-1,-1,-1,1,[445],[1620],[2],[89],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
341,-1,,,,-1,-1,-1,1,[375],[1350],[2],[75],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
342,-1,,,,-1,-1,-1,1,[375],[1350],[2],[75],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
343,-1,,,,-1,-1,-1,1,[7415],[26991],[22],[1483],[3],[3],[6],[250],[206],[201],2,999,999,2,2,2,,,,,
344,-1,,,,-1,-1,-1,1,[435],[1581],[2],[87],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
345,-1,,,,-1,-1,-1,1,[435],[1581],[2],[87],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
346,-1,,,,-1,-1,-1,1,[8685],[31620],[23],[1737],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
347,-1,,,,-1,-1,-1,1,[495],[1738],[2],[99],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
348,-1,,,,-1,-1,-1,1,[495],[1738],[2],[99],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
349,-1,,,,-1,-1,-1,1,[540],[1915],[2],[108],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
350,-1,,,,-1,-1,-1,1,[540],[1915],[2],[108],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
351,-1,,,,-1,-1,-1,1,[10780],[38291],[25],[2156],[3],[3],[6],[250],[206],[201],2,999,999,2,2,2,,,,,
352,-1,,,,-1,-1,-1,1,[605],[2205],[2],[121],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
353,-1,,,,-1,-1,-1,1,[605],[2205],[2],[121],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
354,-1,,,,-1,-1,-1,1,[12035],[44091],[26],[2407],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
355,-1,,,,-1,-1,-1,1,[660],[2278],[2],[132],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
356,-1,,,,-1,-1,-1,1,[660],[2278],[2],[132],,[3],[6],[250],[206],,2,999,999,2,2,-1,,,,,
410,-1,,,,-1,-1,-1,1,[5],,,,,[220004],,,,,2,2,-1,-1,-1,-1,,,,,
411,-1,,,,-1,-1,-1,1,[3],,,,,[220005],,,,,2,2,-1,-1,-1,-1,,,,,
420,-1,,,,-1,-1,-1,1,[100],,,,,[2],,,,,2,999,-1,-1,-1,-1,,,,,
421,-1,,,,-1,-1,-1,1,[100],[1],,,,[2],[203031],,,,2,999,2,-1,-1,-1,,,,,
422,-1,,,,-1,-1,-1,1,[20],,,,,[200402],,,,,2,2,-1,-1,-1,-1,,,,,
423,-1,,,,-1,-1,-1,1,[2],,,,,[203034],,,,,2,2,-1,-1,-1,-1,,,,,
424,-1,,,,-1,-1,-1,1,[3],,,,,[220005],,,,,2,2,-1,-1,-1,-1,,,,,
425,-1,,,,-1,-1,-1,1,[1],[1],,,,[203025],[203028],,,,2,2,2,-1,-1,-1,,,,,
426,-1,,,,-1,-1,-1,1,[25],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
427,-1,,,,-1,-1,-1,1,[100],[1],,,,[2],[203031],,,,2,999,2,-1,-1,-1,,,,,
428,-1,,,,-1,-1,-1,1,[25],,,,,[404100004],,,,,2,2,-1,-1,-1,-1,,,,,
429,-1,,,,-1,-1,-1,1,[3],,,,,[220005],,,,,2,2,-1,-1,-1,-1,,,,,
430,-1,,,,-1,-1,-1,1,[5],,,,,[201],,,,,2,2,-1,-1,-1,-1,,,,,
11081001,-1,,,,-1,-1,-1,1,[6],,,,,[10025],,,,,2,2,-1,-1,-1,-1,,,,,
11081002,-1,,,,-1,-1,-1,1,[7],,,,,[10025],,,,,2,2,-1,-1,-1,-1,,,,,
11081003,-1,,,,-1,-1,-1,1,[8],,,,,[10025],,,,,2,2,-1,-1,-1,-1,,,,,
901,-1,,,,-1,0,-1,1,[1],,,,,[100001202],,,,,2,4,-1,-1,-1,-1,,,,,
902,-1,,,,-1,0,-1,1,[1],,,,,[100001201],,,,,2,4,-1,-1,-1,-1,,,,,
903,-1,,,,-1,0,-1,1,[1],,,,,[100001204],,,,,2,4,-1,-1,-1,-1,,,,,
904,-1,,,,-1,0,-1,1,[1],,,,,[100001203],,,,,2,4,-1,-1,-1,-1,,,,,
905,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
906,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
907,-1,,,,-1,0,-1,1,[1],,,,,[100001304],,,,,2,4,-1,-1,-1,-1,,,,,
908,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
909,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
910,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
911,-1,,,,-1,0,-1,1,[1],,,,,[100001304],,,,,2,4,-1,-1,-1,-1,,,,,
912,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
913,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
914,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
915,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
916,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
917,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
918,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
919,-1,,,,-1,0,-1,1,[1],,,,,[100001304],,,,,2,4,-1,-1,-1,-1,,,,,
920,-1,,,,-1,0,-1,1,[1],,,,,[100001304],,,,,2,4,-1,-1,-1,-1,,,,,
921,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
922,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
923,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
924,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
925,-1,,,,-1,0,-1,1,[1],,,,,[100001303],,,,,2,4,-1,-1,-1,-1,,,,,
926,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
927,-1,,,,-1,0,-1,1,[1],,,,,[100001302],,,,,2,4,-1,-1,-1,-1,,,,,
928,-1,,,,-1,0,-1,1,[1],,,,,[100001301],,,,,2,4,-1,-1,-1,-1,,,,,
929,-1,,,,-1,0,-1,1,[1],,,,,[100001402],,,,,2,4,-1,-1,-1,-1,,,,,
930,-1,,,,-1,0,-1,1,[1],,,,,[1534000],,,,,2,4,-1,-1,-1,-1,,,,,
931,-1,,,,-1,0,-1,1,[1],,,,,[100001404],,,,,2,4,-1,-1,-1,-1,,,,,
932,-1,,,,-1,0,-1,1,[1],,,,,[100001403],,,,,2,4,-1,-1,-1,-1,,,,,
933,-1,,,,-1,0,-1,1,[1],,,,,[1531000],,,,,2,4,-1,-1,-1,-1,,,,,
934,-1,,,,-1,0,-1,1,[1],,,,,[100001404],,,,,2,4,-1,-1,-1,-1,,,,,
935,-1,,,,-1,0,-1,1,[1],,,,,[100001401],,,,,2,4,-1,-1,-1,-1,,,,,
936,-1,,,,-1,0,-1,1,[1],,,,,[1533000],,,,,2,4,-1,-1,-1,-1,,,,,
937,-1,,,,-1,0,-1,1,[1],,,,,[100001401],,,,,2,4,-1,-1,-1,-1,,,,,
938,-1,,,,-1,0,-1,1,[1],,,,,[100001402],,,,,2,4,-1,-1,-1,-1,,,,,
939,-1,,,,-1,0,-1,1,[1],,,,,[1532000],,,,,2,4,-1,-1,-1,-1,,,,,
1321001,-1,,,,-1,0,-1,1,[17200],[32700],[32700],[400],[200],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321002,-1,,,,-1,0,-1,1,[27900],[53100],[53100],[700],[300],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321003,-1,,,,-1,0,-1,1,[38700],[73500],[73500],[900],[400],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321004,-1,,,,-1,0,-1,1,[17200],[32700],[32700],[12],[200],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321005,-1,,,,-1,0,-1,1,[27900],[53100],[53100],[20],[300],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321006,-1,,,,-1,0,-1,1,[38700],[73500],[73500],[27],[400],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321007,-1,,,,-1,0,-1,1,[17200],[32700],[32700],[2],[200],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321008,-1,,,,-1,0,-1,1,[27900],[53100],[53100],[3],[300],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321009,-1,,,,-1,0,-1,1,[38700],[73500],[73500],[4],[400],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321010,-1,,,,-1,0,-1,1,[53700],[102100],[102100],[1300|38|5],[500],[3],[4],[5],[237|250|404100004],[206],2,999,999,999,2,2,,,,,
1321011,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321012,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321013,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321014,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321015,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321016,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321017,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321018,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321019,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321020,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230003],,,,,2,2,-1,-1,-1,-1,,,,,
1321021,-1,,,,-1,0,-1,1,[1720],[3270],[3270],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321022,-1,,,,-1,0,-1,1,[2790],[5310],[5310],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321023,-1,,,,-1,0,-1,1,[3870],[7350],[7350],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321024,-1,,,,-1,0,-1,1,[1720],[3270],[3270],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321025,-1,,,,-1,0,-1,1,[2790],[5310],[5310],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321026,-1,,,,-1,0,-1,1,[3870],[7350],[7350],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321027,-1,,,,-1,0,-1,1,[1720],[3270],[3270],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321028,-1,,,,-1,0,-1,1,[2790],[5310],[5310],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321029,-1,,,,-1,0,-1,1,[3870],[7350],[7350],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321030,-1,,,,-1,0,-1,1,[5370],[10210],[10210],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321031,-1,,,,-1,0,-1,1,[22900],[45900],[45900],[400],[200],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321032,-1,,,,-1,0,-1,1,[37300],[74500],[74500],[700],[300],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321033,-1,,,,-1,0,-1,1,[51600],[103200],[103200],[1000],[400],[3],[4],[5],[237],[206],2,999,999,999,2,2,,,,,
1321034,-1,,,,-1,0,-1,1,[22900],[45900],[45900],[16],[200],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321035,-1,,,,-1,0,-1,1,[37300],[74500],[74500],[26],[300],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321036,-1,,,,-1,0,-1,1,[51600],[103200],[103200],[36],[400],[3],[4],[5],[250],[206],2,999,999,999,2,2,,,,,
1321037,-1,,,,-1,0,-1,1,[22900],[45900],[45900],[3],[200],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321038,-1,,,,-1,0,-1,1,[37300],[74500],[74500],[5],[300],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321039,-1,,,,-1,0,-1,1,[51600],[103200],[103200],[7],[400],[3],[4],[5],[404100004],[206],2,999,999,999,2,2,,,,,
1321040,-1,,,,-1,0,-1,1,[71700],[143300],[143300],[1400|50|10],[600],[3],[4],[5],[237|250|404100004],[206],2,999,999,999,2,2,,,,,
1321041,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321042,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321043,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321044,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321045,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321046,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321047,-1,,,,-1,0,-1,1,[1|1],,,,,[161004|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321048,-1,,,,-1,0,-1,1,[1|1|1],,,,,[161004|161005|405230001],,,,,2,2,-1,-1,-1,-1,,,,,
1321049,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230002],,,,,2,2,-1,-1,-1,-1,,,,,
1321050,-1,,,,-1,0,-1,1,[2|1|1],,,,,[161004|161005|405230003],,,,,2,2,-1,-1,-1,-1,,,,,
1321051,-1,,,,-1,0,-1,1,[2290],[4590],[4590],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321052,-1,,,,-1,0,-1,1,[3730],[7450],[7450],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321053,-1,,,,-1,0,-1,1,[5160],[10320],[10320],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321054,-1,,,,-1,0,-1,1,[2290],[4590],[4590],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
1321055,-1,,,,-1,0,-1,1,[3730],[7450],[7450],,,[3],[4],[5],,,2,999,999,999,-1,-1,,,,,
