id,adjuest_day1,adjuest_day10,adjuest_day11,adjuest_day12,adjuest_day13,adjuest_day14,adjuest_day15,adjuest_day16,adjuest_day17,adjuest_day18,adjuest_day19,adjuest_day2,adjuest_day20,adjuest_day21,adjuest_day22,adjuest_day23,adjuest_day24,adjuest_day25,adjuest_day26,adjuest_day27,adjuest_day28,adjuest_day29,adjuest_day3,adjuest_day30,adjuest_day4,adjuest_day5,adjuest_day6,adjuest_day7,adjuest_day8,adjuest_day9
30611,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30711,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30811,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30812,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
30813,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
35111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
35121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
35131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
36111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
36121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
36131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
38101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
38201,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
38301,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40141,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40151,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40161,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40171,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40181,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
40182,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
45111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
45121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
45131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
46111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
46121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
46131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
47101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
48101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
48201,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
48301,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50141,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50151,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50161,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50171,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50181,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50182,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
50183,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
55111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
55121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
55131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
56111,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
56121,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
56131,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
58101,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
60001,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
60002,[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0],[103|0]
