id,difficulty_icon,difficulty_name,energy_cost,monster_list,reward_show,reward_stage
11,ui_ha_nandu5,dark_legion_difficult_12,0,1205001|1205002|1205003|1205004|1205005|1205006|1205007|1205008|1205009|1205010|1205011|1205012|1205013|1205014|1205015|1205016|1205017|1205018|1205019|1205020|1205021|1205022|1205023|1205024|1205025|1205026|1205027|1205028|1205029|1205030,32850,"1205005|32841,1205010|32842,1205015|32843,1205020|32844,1205025|32845,1205030|32846"
12,ui_ha_nandu6,dark_legion_difficult_12,0,1206001|1206002|1206003|1206004|1206005|1206006|1206007|1206008|1206009|1206010|1206011|1206012|1206013|1206014|1206015|1206016|1206017|1206018|1206019|1206020|1206021|1206022|1206023|1206024|1206025|1206026|1206027|1206028|1206029|1206030,32860,"1206005|32851,1206010|32852,1206015|32853,1206020|32854,1206025|32855,1206030|32856"
13,ui_ha_nandu1,dark_legion_difficult_13,0,1301001|1301002|1301003|1301004|1301005|1301006|1301007|1301008|1301009|1301010|1301011|1301012|1301013|1301014|1301015|1301016|1301017|1301018|1301019|1301020|1301021|1301022|1301023|1301024|1301025|1301026|1301027|1301028|1301029|1301030,32910,"1301005|32901,1301010|32902,1301015|32903,1301020|32904,1301025|32905,1301030|32906"
14,ui_ha_nandu2,dark_legion_difficult_13,0,1302001|1302002|1302003|1302004|1302005|1302006|1302007|1302008|1302009|1302010|1302011|1302012|1302013|1302014|1302015|1302016|1302017|1302018|1302019|1302020|1302021|1302022|1302023|1302024|1302025|1302026|1302027|1302028|1302029|1302030,32920,"1302005|32911,1302010|32912,1302015|32913,1302020|32914,1302025|32915,1302030|32916"
15,ui_ha_nandu3,dark_legion_difficult_13,0,1303001|1303002|1303003|1303004|1303005|1303006|1303007|1303008|1303009|1303010|1303011|1303012|1303013|1303014|1303015|1303016|1303017|1303018|1303019|1303020|1303021|1303022|1303023|1303024|1303025|1303026|1303027|1303028|1303029|1303030,32930,"1303005|32921,1303010|32922,1303015|32923,1303020|32924,1303025|32925,1303030|32926"
16,ui_ha_nandu4,dark_legion_difficult_13,0,1304001|1304002|1304003|1304004|1304005|1304006|1304007|1304008|1304009|1304010|1304011|1304012|1304013|1304014|1304015|1304016|1304017|1304018|1304019|1304020|1304021|1304022|1304023|1304024|1304025|1304026|1304027|1304028|1304029|1304030,32940,"1304005|32931,1304010|32932,1304015|32933,1304020|32934,1304025|32935,1304030|32936"
17,ui_ha_nandu5,dark_legion_difficult_13,0,1305001|1305002|1305003|1305004|1305005|1305006|1305007|1305008|1305009|1305010|1305011|1305012|1305013|1305014|1305015|1305016|1305017|1305018|1305019|1305020|1305021|1305022|1305023|1305024|1305025|1305026|1305027|1305028|1305029|1305030,32950,"1305005|32941,1305010|32942,1305015|32943,1305020|32944,1305025|32945,1305030|32946"
18,ui_ha_nandu6,dark_legion_difficult_13,0,1306001|1306002|1306003|1306004|1306005|1306006|1306007|1306008|1306009|1306010|1306011|1306012|1306013|1306014|1306015|1306016|1306017|1306018|1306019|1306020|1306021|1306022|1306023|1306024|1306025|1306026|1306027|1306028|1306029|1306030,32960,"1306005|32951,1306010|32952,1306015|32953,1306020|32954,1306025|32955,1306030|32956"
19,ui_ha_nandu1,dark_legion_difficult_14,0,1401001|1401002|1401003|1401004|1401005|1401006|1401007|1401008|1401009|1401010|1401011|1401012|1401013|1401014|1401015|1401016|1401017|1401018|1401019|1401020|1401021|1401022|1401023|1401024|1401025|1401026|1401027|1401028|1401029|1401030,512019910,"1401005|512019901,1401010|512019902,1401015|512019903,1401020|512019904,1401025|512019905,1401030|512019906"
20,ui_ha_nandu2,dark_legion_difficult_14,0,1402001|1402002|1402003|1402004|1402005|1402006|1402007|1402008|1402009|1402010|1402011|1402012|1402013|1402014|1402015|1402016|1402017|1402018|1402019|1402020|1402021|1402022|1402023|1402024|1402025|1402026|1402027|1402028|1402029|1402030,512019920,"1402005|512019911,1402010|512019912,1402015|512019913,1402020|512019914,1402025|512019915,1402030|512019916"
21,ui_ha_nandu3,dark_legion_difficult_14,0,1403001|1403002|1403003|1403004|1403005|1403006|1403007|1403008|1403009|1403010|1403011|1403012|1403013|1403014|1403015|1403016|1403017|1403018|1403019|1403020|1403021|1403022|1403023|1403024|1403025|1403026|1403027|1403028|1403029|1403030,512019930,"1403005|512019921,1403010|512019922,1403015|512019923,1403020|512019924,1403025|512019925,1403030|512019926"
22,ui_ha_nandu4,dark_legion_difficult_14,0,1404001|1404002|1404003|1404004|1404005|1404006|1404007|1404008|1404009|1404010|1404011|1404012|1404013|1404014|1404015|1404016|1404017|1404018|1404019|1404020|1404021|1404022|1404023|1404024|1404025|1404026|1404027|1404028|1404029|1404030,512019940,"1404005|512019931,1404010|512019932,1404015|512019933,1404020|512019934,1404025|512019935,1404030|512019936"
23,ui_ha_nandu5,dark_legion_difficult_14,0,1405001|1405002|1405003|1405004|1405005|1405006|1405007|1405008|1405009|1405010|1405011|1405012|1405013|1405014|1405015|1405016|1405017|1405018|1405019|1405020|1405021|1405022|1405023|1405024|1405025|1405026|1405027|1405028|1405029|1405030,512019950,"1405005|512019941,1405010|512019942,1405015|512019943,1405020|512019944,1405025|512019945,1405030|512019946"
24,ui_ha_nandu6,dark_legion_difficult_14,0,1406001|1406002|1406003|1406004|1406005|1406006|1406007|1406008|1406009|1406010|1406011|1406012|1406013|1406014|1406015|1406016|1406017|1406018|1406019|1406020|1406021|1406022|1406023|1406024|1406025|1406026|1406027|1406028|1406029|1406030,512019960,"1406005|512019951,1406010|512019952,1406015|512019953,1406020|512019954,1406025|512019955,1406030|512019956"
