id,condition,des,freeReward,group,icon,payReward,payReward2,reward1,reward2,reward3,type
209,117|9,ui_cityfund_des,[2|206206|5],2,,[2|130008|70],[999|6|300],[2|206206|5],[2|130008|70],[999|6|300],2
210,136|10,ui_cityfund_des,[2|200402|5],2,,[999|6|300],[999|6|200],[2|200402|5],[999|6|300],[999|6|200],2
211,117|11,ui_cityfund_des,[2|206106|5],2,,[2|130008|112],[999|6|300],[2|206106|5],[2|130008|112],[999|6|300],2
212,117|12,ui_cityfund_des,[2|200402|5],2,,[2|130008|112],[999|6|300],[2|200402|5],[2|130008|112],[999|6|300],2
213,136|13,ui_cityfund_des,[2|206206|10],2,,[999|6|300],[999|6|200],[2|206206|10],[999|6|300],[999|6|200],2
214,117|14,ui_cityfund_des,[2|200402|5],2,,[2|130008|112],[999|6|300],[2|200402|5],[2|130008|112],[999|6|300],2
215,117|15,ui_cityfund_des,[2|206106|10],2,,[2|130008|112],[999|6|300],[2|206106|10],[2|130008|112],[999|6|300],2
216,139|16,ui_cityfund_des,[2|200402|5],2,,[999|6|300],[999|6|200],[2|200402|5],[999|6|300],[999|6|200],2
217,136|17,ui_cityfund_des,[2|130008|140],2,,[2|130008|140],[999|6|300],[2|130008|140],[2|130008|140],[999|6|300],2
218,117|18,ui_cityfund_des,[2|200402|5],2,,[2|130008|140],[999|6|300],[2|200402|5],[2|130008|140],[999|6|300],2
219,128|18,ui_cityfund_des,[2|206106|15],2,,[999|6|300],[999|6|200],[2|206106|15],[999|6|300],[999|6|200],2
220,136|19,ui_cityfund_des,[2|200402|5],2,,[2|130008|140],[999|6|300],[2|200402|5],[2|130008|140],[999|6|300],2
221,117|19,ui_cityfund_des,[2|206206|15],2,,[2|130008|140],[999|6|300],[2|206206|15],[2|130008|140],[999|6|300],2
222,139|20,ui_cityfund_des,[2|200402|5],2,,[999|6|300],[999|6|200],[2|200402|5],[999|6|300],[999|6|200],2
223,117|20,ui_cityfund_des,[2|206106|20],2,,[2|130008|140],[999|6|300],[2|206106|20],[2|130008|140],[999|6|300],2
224,117|21,ui_cityfund_des,[2|200402|5],2,,[2|130008|140],[999|6|300],[2|200402|5],[2|130008|140],[999|6|300],2
225,128|21,ui_cityfund_des,[2|130008|140],2,,[999|6|300],[999|6|200],[2|130008|140],[999|6|300],[999|6|200],2
226,136|22,ui_cityfund_des,[2|200402|5],2,,[2|130008|140],[999|6|300],[2|200402|5],[2|130008|140],[999|6|300],2
227,117|22,ui_cityfund_des,[2|206106|25],2,,[2|130008|140],[999|6|300],[2|206106|25],[2|130008|140],[999|6|300],2
228,128|23,ui_cityfund_des,[2|200402|5],2,,[999|6|300],[999|6|200],[2|200402|5],[999|6|300],[999|6|200],2
229,117|23,ui_cityfund_des,[2|130008|140],2,,[2|130008|140],[999|6|300],[2|130008|140],[2|130008|140],[999|6|300],2
230,117|24,ui_cityfund_des,[2|200405|1],2,,[2|130008|140],[999|6|300],[2|200405|1],[2|130008|140],[999|6|300],2
231,139|24,ui_cityfund_des,[2|206206|25],2,,[999|6|300],[999|6|200],[2|206206|25],[999|6|300],[999|6|200],2
232,128|24,ui_cityfund_des,[2|200405|1],2,,[2|130008|140],[999|6|300],[2|200405|1],[2|130008|140],[999|6|300],2
233,117|25,ui_cityfund_des,[2|130008|140],2,,[2|130008|140],[999|6|300],[2|130008|140],[2|130008|140],[999|6|300],2
301,117|26,ui_cityfund_des,[2|130005|14],3,,[2|130005|56],[999|6|500],[2|130005|14],[2|130005|56],[999|6|500],2
302,128|26,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
303,136|26,ui_cityfund_des,[2|206206|30],3,,[2|130005|56],[999|6|500],[2|206206|30],[2|130005|56],[999|6|500],2
304,128|27,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
305,139|27,ui_cityfund_des,[2|206106|30],3,,[2|130005|56],[999|6|500],[2|206106|30],[2|130005|56],[999|6|500],2
306,117|27,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
307,117|28,ui_cityfund_des,[2|130005|28],3,,[2|130005|56],[999|6|500],[2|130005|28],[2|130005|56],[999|6|500],2
308,136|28,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
309,128|28,ui_cityfund_des,[2|206206|40],3,,[2|130005|56],[999|6|500],[2|206206|40],[2|130005|56],[999|6|500],2
310,139|29,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
311,117|29,ui_cityfund_des,[2|206106|40],3,,[2|130005|56],[999|6|500],[2|206106|40],[2|130005|56],[999|6|500],2
312,128|29,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
313,136|30,ui_cityfund_des,[2|130005|42],3,,[2|130005|56],[999|6|500],[2|130005|42],[2|130005|56],[999|6|500],2
314,128|30,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
315,139|30,ui_cityfund_des,[2|206206|50],3,,[2|130005|56],[999|6|500],[2|206206|50],[2|130005|56],[999|6|500],2
316,117|31,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
317,128|31,ui_cityfund_des,[2|206106|50],3,,[2|130005|56],[999|6|500],[2|206106|50],[2|130005|56],[999|6|500],2
318,136|31,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
319,128|32,ui_cityfund_des,[2|130005|56],3,,[2|130005|56],[999|6|500],[2|130005|56],[2|130005|56],[999|6|500],2
320,139|32,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
321,117|32,ui_cityfund_des,[2|206206|60],3,,[2|130005|56],[999|6|500],[2|206206|60],[2|130005|56],[999|6|500],2
322,117|33,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
323,136|33,ui_cityfund_des,[2|206106|60],3,,[2|130005|56],[999|6|500],[2|206106|60],[2|130005|56],[999|6|500],2
324,128|33,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
325,139|34,ui_cityfund_des,[2|130005|70],3,,[2|130005|56],[999|6|500],[2|130005|70],[2|130005|56],[999|6|500],2
326,117|34,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
327,117|35,ui_cityfund_des,[2|206206|70],3,,[2|130005|56],[999|6|500],[2|206206|70],[2|130005|56],[999|6|500],2
328,136|35,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|2],[2|200405|1],[999|6|500],[2|200405|2],2
329,128|35,ui_cityfund_des,[2|206106|70],3,,[2|130005|56],[999|6|500],[2|206106|70],[2|130005|56],[999|6|500],2
330,139|35,ui_cityfund_des,[2|200405|1],3,,[999|6|500],[2|200405|10],[2|200405|1],[999|6|500],[2|200405|10],2
401,10000,ui_powerfund_des,[],4,zs1,[999|2|1000],[],,[999|2|1000],,3
402,30000,ui_powerfund_des,[],4,zs1,[999|2|1000],[],,[999|2|1000],,3
403,50000,ui_powerfund_des,[],4,zs1,[999|2|1000],[],,[999|2|1000],,3
404,70000,ui_powerfund_des,[],4,zs1,[999|2|1000],[],,[999|2|1000],,3
405,100000,ui_powerfund_des,[],4,zs2,[999|2|1500],[],,[999|2|1500],,3
406,150000,ui_powerfund_des,[],4,zs2,[999|2|1500],[],,[999|2|1500],,3
407,200000,ui_powerfund_des,[],4,zs3,[999|2|2000],[],,[999|2|2000],,3
408,250000,ui_powerfund_des,[],4,zs3,[999|2|2000],[],,[999|2|2000],,3
409,300000,ui_powerfund_des,[],4,zs4,[999|2|2500],[],,[999|2|2500],,3
410,350000,ui_powerfund_des,[],4,zs4,[999|2|2500],[],,[999|2|2500],,3
411,400000,ui_powerfund_des,[],4,zs5,[999|2|3000],[],,[999|2|3000],,3
412,450000,ui_powerfund_des,[],4,zs5,[999|2|3000],[],,[999|2|3000],,3
413,500000,ui_powerfund_des,[],4,zs5,[999|2|3000],[],,[999|2|3000],,3
414,600000,ui_powerfund_des,[],4,zs6,[999|2|5000],[],,[999|2|5000],,3
415,800000,ui_powerfund_des,[],4,zs6,[999|2|5000],[],,[999|2|5000],,3
416,1000000,ui_powerfund_des,[],4,zs6,[999|2|5000],[],,[999|2|5000],,3
511,117|6,ui_cityfund_des,[],5,zs1,[999|2|800],[],,[999|2|800],,4
512,117|8,ui_cityfund_des,[],5,zs1,[999|2|800],[],,[999|2|800],,4
513,117|10,ui_cityfund_des,[],5,zs2,[999|2|800],[],,[999|2|800],,4
514,117|12,ui_cityfund_des,[],5,zs2,[999|2|1000],[],,[999|2|1000],,4
515,117|14,ui_cityfund_des,[],5,zs3,[999|2|1000],[],,[999|2|1000],,4
516,117|16,ui_cityfund_des,[],5,zs3,[999|2|1200],[],,[999|2|1200],,4
517,117|18,ui_cityfund_des,[],5,zs4,[999|2|1400],[],,[999|2|1400],,4
518,117|21,ui_cityfund_des,[],5,zs4,[999|2|2000],[],,[999|2|2000],,4
519,117|23,ui_cityfund_des,[],5,zs5,[999|2|3000],[],,[999|2|3000],,4
520,117|25,ui_cityfund_des,[],5,zs5,[999|2|5000],[],,[999|2|5000],,4
521,117|28,ui_cityfund_des,[],5,zs6,[999|2|8000],[],,[999|2|8000],,4
522,117|30,ui_cityfund_des,[],5,zs6,[999|2|15000],[],,[999|2|15000],,4
601,10000,ui_powerfund_des,[],6,zs1,[999|2|400],[],,[999|2|400],,3
602,30000,ui_powerfund_des,[],6,zs1,[999|2|500],[],,[999|2|500],,3
603,50000,ui_powerfund_des,[],6,zs1,[999|2|600],[],,[999|2|600],,3
604,70000,ui_powerfund_des,[],6,zs1,[999|2|800],[],,[999|2|800],,3
605,100000,ui_powerfund_des,[],6,zs2,[999|2|800],[],,[999|2|800],,3
606,150000,ui_powerfund_des,[],6,zs2,[999|2|1000],[],,[999|2|1000],,3
607,200000,ui_powerfund_des,[],6,zs3,[999|2|1000],[],,[999|2|1000],,3
608,250000,ui_powerfund_des,[],6,zs3,[999|2|1000],[],,[999|2|1000],,3
609,300000,ui_powerfund_des,[],6,zs4,[999|2|1200],[],,[999|2|1200],,3
610,350000,ui_powerfund_des,[],6,zs4,[999|2|1200],[],,[999|2|1200],,3
611,400000,ui_powerfund_des,[],6,zs5,[999|2|1500],[],,[999|2|1500],,3
612,450000,ui_powerfund_des,[],6,zs5,[999|2|1500],[],,[999|2|1500],,3
613,500000,ui_powerfund_des,[],6,zs5,[999|2|1500],[],,[999|2|1500],,3
614,600000,ui_powerfund_des,[],6,zs6,[999|2|2000],[],,[999|2|2000],,3
615,800000,ui_powerfund_des,[],6,zs6,[999|2|2000],[],,[999|2|2000],,3
616,1000000,ui_powerfund_des,[],6,zs6,[999|2|3000],[],,[999|2|3000],,3
701,1,ui_adventurefund_des,[999|2|10],7,,[999|2|2400],[],[999|2|10],[999|2|2400],,1
702,5,ui_adventurefund_des,[999|2|20],7,,[2|220004|10],[],[999|2|20],[2|220004|10],,1
703,10,ui_adventurefund_des,[999|2|20],7,,[2|250|300],[],[999|2|20],[2|250|300],,1
704,15,ui_adventurefund_des,[999|2|50],7,,[2|206|1000],[],[999|2|50],[2|206|1000],,1
705,20,ui_adventurefund_des,[999|2|50],7,,[2|220005|10],[],[999|2|50],[2|220005|10],,1
706,25,ui_adventurefund_des,[999|2|50],7,,[2|201|10],[],[999|2|50],[2|201|10],,1
707,30,ui_adventurefund_des,[999|2|50],7,,[2|220004|30],[],[999|2|50],[2|220004|30],,1
708,35,ui_adventurefund_des,[999|2|50],7,,[2|250|600],[],[999|2|50],[2|250|600],,1
709,40,ui_adventurefund_des,[999|2|50],7,,[2|206|2000],[],[999|2|50],[2|206|2000],,1
710,45,ui_adventurefund_des,[999|2|50],7,,[2|220005|10],[],[999|2|50],[2|220005|10],,1
711,50,ui_adventurefund_des,[999|2|50],7,,[2|201|20],[],[999|2|50],[2|201|20],,1
712,55,ui_adventurefund_des,[999|2|100],7,,[2|220004|60],[],[999|2|100],[2|220004|60],,1
713,60,ui_adventurefund_des,[999|2|100],7,,[2|250|1000],[],[999|2|100],[2|250|1000],,1
714,65,ui_adventurefund_des,[999|2|100],7,,[2|206|3000],[],[999|2|100],[2|206|3000],,1
715,70,ui_adventurefund_des,[999|2|100],7,,[2|220005|10],[],[999|2|100],[2|220005|10],,1
716,80,ui_adventurefund_des,[999|2|100],7,,[2|250|1500],[],[999|2|100],[2|250|1500],,1
717,90,ui_adventurefund_des,[999|2|100],7,,[2|206|5000],[],[999|2|100],[2|206|5000],,1
718,100,ui_adventurefund_des,[999|2|100],7,,[2|220005|10],[],[999|2|100],[2|220005|10],,1
801,117|1,ui_cityfund_des,[999|2|100],8,,[999|2|500],[2|201|20],[999|2|100],[999|2|500],[2|201|20],2
802,117|2,ui_cityfund_des,[2|206204|2],8,,[2|206104|5],[2|206204|5],[2|206204|2],[2|206104|5],[2|206204|5],2
803,117|3,ui_cityfund_des,[2|206104|2],8,,[2|208003|3],[2|200402|8],[2|206104|2],[2|208003|3],[2|200402|8],2
804,128|4,ui_cityfund_des,[2|200402|4],8,,[999|2|100],[2|203033|2],[2|200402|4],[999|2|100],[2|203033|2],2
805,117|5,ui_cityfund_des,[2|206204|3],8,,[2|206104|5],[2|206204|5],[2|206204|3],[2|206104|5],[2|206204|5],2
806,117|6,ui_cityfund_des,[2|206104|3],8,,[2|208003|3],[2|200402|8],[2|206104|3],[2|208003|3],[2|200402|8],2
807,117|7,ui_cityfund_des,[2|200402|5],8,,[999|2|100],[2|203033|4],[2|200402|5],[999|2|100],[2|203033|4],2
808,139|8,ui_cityfund_des,[2|206204|4],8,,[2|206104|10],[2|206204|10],[2|206204|4],[2|206104|10],[2|206204|10],2
809,117|9,ui_cityfund_des,[2|206104|4],8,,[2|208003|5],[2|200402|12],[2|206104|4],[2|208003|5],[2|200402|12],2
810,136|10,ui_cityfund_des,[2|200402|6],8,,[999|2|100],[2|203033|6],[2|200402|6],[999|2|100],[2|203033|6],2
811,117|11,ui_cityfund_des,[2|206204|5],8,,[2|206104|10],[2|206204|10],[2|206204|5],[2|206104|10],[2|206204|10],2
812,117|12,ui_cityfund_des,[2|206104|5],8,,[2|208003|5],[2|200402|12],[2|206104|5],[2|208003|5],[2|200402|12],2
813,117|13,ui_cityfund_des,[2|200402|8],8,,[999|2|100],[2|203033|8],[2|200402|8],[999|2|100],[2|203033|8],2
814,117|14,ui_cityfund_des,[2|206204|6],8,,[2|206104|20],[2|206204|20],[2|206204|6],[2|206104|20],[2|206204|20],2
815,117|15,ui_cityfund_des,[2|206104|6],8,,[2|208003|10],[2|200402|25],[2|206104|6],[2|208003|10],[2|200402|25],2
816,139|16,ui_cityfund_des,[2|200402|10],8,,[999|2|100],[2|203033|10],[2|200402|10],[999|2|100],[2|203033|10],2
817,136|17,ui_cityfund_des,[2|206204|8],8,,[2|206104|20],[2|206204|20],[2|206204|8],[2|206104|20],[2|206204|20],2
818,117|18,ui_cityfund_des,[2|206104|8],8,,[2|208003|10],[2|200402|25],[2|206104|8],[2|208003|10],[2|200402|25],2
819,128|18,ui_cityfund_des,[2|200402|12],8,,[999|2|200],[2|203033|10],[2|200402|12],[999|2|200],[2|203033|10],2
820,136|19,ui_cityfund_des,[2|206204|10],8,,[2|206104|30],[2|206204|30],[2|206204|10],[2|206104|30],[2|206204|30],2
821,117|19,ui_cityfund_des,[2|206104|10],8,,[2|208003|15],[2|200402|40],[2|206104|10],[2|208003|15],[2|200402|40],2
822,139|20,ui_cityfund_des,[2|200402|14],8,,[999|2|200],[2|203033|10],[2|200402|14],[999|2|200],[2|203033|10],2
823,117|20,ui_cityfund_des,[2|206204|12],8,,[2|206104|30],[2|206204|30],[2|206204|12],[2|206104|30],[2|206204|30],2
824,117|21,ui_cityfund_des,[2|206104|12],8,,[2|208003|15],[2|200402|40],[2|206104|12],[2|208003|15],[2|200402|40],2
825,139|21,ui_cityfund_des,[2|200402|16],8,,[999|2|200],[2|203033|15],[2|200402|16],[999|2|200],[2|203033|15],2
826,117|22,ui_cityfund_des,[2|206204|15],8,,[2|206104|50],[2|206204|50],[2|206204|15],[2|206104|50],[2|206204|50],2
827,136|22,ui_cityfund_des,[2|206104|15],8,,[2|208003|25],[2|200402|60],[2|206104|15],[2|208003|25],[2|200402|60],2
828,117|23,ui_cityfund_des,[2|200402|18],8,,[999|2|300],[2|203033|20],[2|200402|18],[999|2|300],[2|203033|20],2
829,128|23,ui_cityfund_des,[2|206204|20],8,,[2|206104|80],[2|206204|80],[2|206204|20],[2|206104|80],[2|206204|80],2
830,117|24,ui_cityfund_des,[2|206104|20],8,,[2|208003|40],[2|200402|100],[2|206104|20],[2|208003|40],[2|200402|100],2
831,139|24,ui_cityfund_des,[2|200402|20],8,,[999|2|500],[2|203033|35],[2|200402|20],[999|2|500],[2|203033|35],2
832,128|24,ui_cityfund_des,[2|206204|25],8,,[2|206104|100],[2|206204|100],[2|206204|25],[2|206104|100],[2|206204|100],2
833,117|25,ui_cityfund_des,[2|206104|25],8,,[2|208003|50],[2|200402|150],[2|206104|25],[2|208003|50],[2|200402|150],2
901,117|1,ui_cityfund_des,[999|2|100],9,,[999|2|400],[2|201|10],[999|2|100],[999|2|400],[2|201|10],2
902,117|2,ui_cityfund_des,[2|206204|2],9,,[2|206204|6],[2|201|10],[2|206204|2],[2|206204|6],[2|201|10],2
903,117|3,ui_cityfund_des,[2|206104|2],9,,[2|206104|6],[2|201|10],[2|206104|2],[2|206104|6],[2|201|10],2
904,117|5,ui_cityfund_des,[2|200402|4],9,,[2|200402|12],[2|201|10],[2|200402|4],[2|200402|12],[2|201|10],2
905,128|4,ui_cityfund_des,[2|206204|4],9,,[2|206204|12],[2|201|10],[2|206204|4],[2|206204|12],[2|201|10],2
906,117|7,ui_cityfund_des,[2|206104|4],9,,[2|206104|12],[2|201|10],[2|206104|4],[2|206104|12],[2|201|10],2
907,136|10,ui_cityfund_des,[2|200402|6],9,,[2|200402|18],[2|201|10],[2|200402|6],[2|200402|18],[2|201|10],2
908,117|11,ui_cityfund_des,[2|206204|6],9,,[2|206204|18],[2|201|10],[2|206204|6],[2|206204|18],[2|201|10],2
909,117|13,ui_cityfund_des,[2|206104|6],9,,[2|206104|18],[2|201|10],[2|206104|6],[2|206104|18],[2|201|10],2
910,117|15,ui_cityfund_des,[2|200402|10],9,,[2|200402|30],[2|201|10],[2|200402|10],[2|200402|30],[2|201|10],2
1001,1,ui_adventurefund_des,[999|2|10],10,,[999|2|400],[2|203033|3],[999|2|10],[999|2|400],[2|203033|3],1
1002,5,ui_adventurefund_des,[999|2|20],10,,[2|220004|5],[],[999|2|20],[2|220004|5],,1
1003,10,ui_adventurefund_des,[999|2|20],10,,[2|250|100],[2|203033|3],[999|2|20],[2|250|100],[2|203033|3],1
1004,15,ui_adventurefund_des,[999|2|50],10,,[2|206|500],[],[999|2|50],[2|206|500],,1
1005,20,ui_adventurefund_des,[999|2|50],10,,[2|220005|5],[2|203033|3],[999|2|50],[2|220005|5],[2|203033|3],1
1006,25,ui_adventurefund_des,[999|2|50],10,,[2|201|5],[],[999|2|50],[2|201|5],,1
1007,30,ui_adventurefund_des,[999|2|50],10,,[2|220004|5],[2|203033|5],[999|2|50],[2|220004|5],[2|203033|5],1
1008,35,ui_adventurefund_des,[999|2|50],10,,[2|250|100],[],[999|2|50],[2|250|100],,1
1009,40,ui_adventurefund_des,[999|2|50],10,,[2|206|500],[2|203033|5],[999|2|50],[2|206|500],[2|203033|5],1
1010,45,ui_adventurefund_des,[999|2|50],10,,[2|220005|5],[],[999|2|50],[2|220005|5],,1
1011,50,ui_adventurefund_des,[999|2|50],10,,[2|201|5],[2|203033|5],[999|2|50],[2|201|5],[2|203033|5],1
1012,55,ui_adventurefund_des,[999|2|100],10,,[2|220004|10],[],[999|2|100],[2|220004|10],,1
1013,60,ui_adventurefund_des,[999|2|100],10,,[2|250|300],[2|203033|10],[999|2|100],[2|250|300],[2|203033|10],1
1014,65,ui_adventurefund_des,[999|2|100],10,,[2|206|500],[],[999|2|100],[2|206|500],,1
1015,70,ui_adventurefund_des,[999|2|100],10,,[2|220005|5],[2|203033|10],[999|2|100],[2|220005|5],[2|203033|10],1
1016,80,ui_adventurefund_des,[999|2|100],10,,[2|250|300],[],[999|2|100],[2|250|300],,1
1017,90,ui_adventurefund_des,[999|2|100],10,,[2|206|500],[2|203033|10],[999|2|100],[2|206|500],[2|203033|10],1
1018,100,ui_adventurefund_des,[999|2|100],10,,[2|220005|5],[],[999|2|100],[2|220005|5],,1
