id,effectPositionUI,effectPositionWorld,effectScaleUI,effectScaleWorld,equipAttribute,picAtlas,unlockAttribute,attr_equip,attr_own,conversion_goods,desc,effect,effect_layer,effect_pos_ui,effect_pos_world,effect_scale_ui,effect_scale_world,fightforce,name,pic,pic_atlas,quality,server_list,source_goods
2011,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(100.0, 100.0, 100.0)","(0.8, 0.8, 0.8)",{},Atlas/UI_Worldskin,{1019:10},,1019|10,999|2|5000,world_effect_desc_011,Fx_shenchengbao_zsw,1,0|0,0|0,100,80,40000,world_effect_name_011,icon_effect_2011,Atlas/UI_Worldskin,6,"1-501,1001-9999,10001-99999",22011
2012,"(0.0, 60.0, 0.0)","(0.0, 0.2, 0.0)","(70.0, 70.0, 70.0)","(0.6, 0.6, 0.6)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_012,Fx_zsw_champion,1,0|60,0|0.2,70,57,15000,world_effect_name_012,icon_effect_2012,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22012
2013,"(0.0, 60.0, 0.0)","(-0.1, 0.7, 0.0)","(70.0, 70.0, 70.0)","(0.5, 0.5, 0.5)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_013,Fx_dazhanhongtu,1,0|60,-0.07|0.7,70,48,15000,world_effect_name_013,icon_effect_2013,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22013
2014,"(0.0, -50.0, 0.0)","(0.0, -0.3, 0.0)","(70.0, 70.0, 70.0)","(0.6, 0.6, 0.6)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_014,FX_huangjingfengye,1,0|-50,0|-0.25,70,58,15000,world_effect_name_014,icon_effect_2014,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22014
2015,"(0.0, 310.0, 0.0)","(0.0, 2.2, 0.0)","(70.0, 70.0, 70.0)","(0.6, 0.6, 0.6)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_015,Fx_wsj_ngyl,1,0|310,0|2.2,70,58,15000,world_effect_name_015,icon_effect_2015,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22015
2016,"(0.0, 150.0, 0.0)","(0.0, 0.7, 0.0)","(50.0, 50.0, 50.0)","(0.4, 0.4, 0.4)",{10103:500},Atlas/UI_Worldskin,{10103:200|1019:1},10103|500,"10103|200,1019|1",999|2|3000,world_effect_desc_016,Fx_qingrenji_2026_daiji,1,0|150,0|0.7,50,40,15000,world_effect_name_016,icon_effect_2016,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22016
2017,"(0.0, 304.1, 0.0)","(0.2, 2.5, 0.0)","(100.0, 100.0, 100.0)","(1.0, 1.0, 1.0)",{10104:1500},Atlas/UI_Worldskin,{10103:100|1019:1},10104|1500,"10103|100,1019|1",999|2|3000,world_effect_desc_017,Fx_hanghaijie_chenbao,1,0|304.1,0.15|2.5,100,95,15000,world_effect_name_017,icon_effect_2017,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",22017
3001,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(210.0, 210.0, 210.0)","(0.3, 0.3, 0.3)",{10103:800},Atlas/UI_Worldskin,{10104:1500|1019:10},10103|800,"10104|1500,1019|10",999|2|3000,world_shields_desc_3001,Slg_FangHuZhao_02_skin2,1,0|0,-0.12|0,210,30,50000,world_shields_name_3001,icon_effect_3001,Atlas/UI_Worldskin,4,"1-501,1001-9999,10001-99999",33001
3002,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{10103:800},Atlas/UI_Worldskin,{10104:2500|1019:20},10103|800,"10104|2500,1019|20",999|2|3000,world_shields_desc_3002,Slg_FangHuZhao_02_skin1,1,0|0,-0.12|0,220,30,60000,world_shields_name_3002,icon_effect_3002,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33002
3003,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{10104:1000|19:300},Atlas/UI_Worldskin,{10104:2500|1019:20},"10104|1000,19|300","10104|2500,1019|20",999|2|3000,world_shields_desc_3003,Slg_FangHuZhao_02_skin3,1,0|0,-0.12|0,220,30,60000,world_shields_name_3003,icon_effect_3003,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33003
3004,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{18:300},Atlas/UI_Worldskin,{10104:2500|1019:20},18|300,"10104|2500,1019|20",999|2|3000,world_shields_desc_3004,Slg_FangHuZhao_02_skin4,1,0|0,-0.12|0,220,30,80000,world_shields_name_3004,icon_effect_3004,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33004
3005,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{18:300},Atlas/UI_Worldskin,{10104:2500|1019:20},18|300,"10104|2500,1019|20",999|2|3000,world_shields_desc_3005,Slg_FangHuZhao_02_skin5,1,0|0,-0.12|0,220,30,60000,crossover_rss_name7,icon_effect_3006,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33005
3006,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{10103:500|21023:1000},Atlas/UI_Worldskin,{10104:1000|13104:2500|1019:20},"10103|500,21023|1000","10104|1000,13104|2500,1019|20",999|2|3000,world_shields_desc_3006,Slg_FangHuZhao_02_skin6,1,0|0,-0.12|0,220,30,60000,world_shields_name_3006,icon_effect_3007,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33006
3007,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{10103:500|21025:1000},Atlas/UI_Worldskin,{10104:1000|14104:2500|1019:20},"10103|500,21025|1000","10104|1000,14104|2500,1019|20",999|2|3000,world_shields_desc_3008,Slg_FangHuZhao_skin7,1,0|0,-0.12|0,220,30,60000,world_shields_name_3008,icon_effect_3008,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33008
3008,"(0.0, 0.0, 0.0)","(-0.1, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.3, 0.3, 0.3)",{18:300},Atlas/UI_Worldskin,{10104:2500|1019:20},18|300,"10104|2500,1019|20",999|2|3000,world_shields_desc_3009,Slg_FangHuZhao_skin8,1,0|0,-0.12|0,220,30,60000,world_shields_name_3009,icon_effect_3009,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",33009
4001,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.0, 0.0, 0.0)",{1016:500},Atlas/UI_Worldskin,{1018:1000|1019:3},1016|500,"1018|1000,1019|3",999|2|3000,world_move_desc_4001,Vfx_ChristmasCastleRelocation,1,0|0,,220,-1,20000,world_move_name_4001,icon_effect_4001,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35001
4002,"(0.0, 90.0, 0.0)","(0.0, 0.0, 0.0)","(120.0, 120.0, 120.0)","(0.0, 0.0, 0.0)",{1076:500|1000105:500},Atlas/UI_Worldskin,{},"1076|500,1000105|500",,999|2|3000,world_move_desc_4002,Fx_Throne,1,0|90,,120,-1,20000,world_move_name_4002,icon_effect_4002,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-10544",35002
4003,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.0, 0.0, 0.0)",{1022:500},Atlas/UI_Worldskin,{1018:1000|1019:3},1022|500,"1018|1000,1019|3",999|2|3000,world_move_desc_4003,Vfx_horse,1,0|0,,220,-1,20000,world_move_name_4003,icon_effect_4003,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35003
4004,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.0, 0.0, 0.0)",{1022:500},Atlas/UI_Worldskin,{1032:2000|1019:3|13103:300},1022|500,"1032|2000,1019|3,13103|300",999|2|3000,world_move_desc_4004,Vfx_chuntian,1,0|0,,220,-1,20000,world_move_name_4004,icon_effect_4004,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35004
4005,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(220.0, 220.0, 220.0)","(0.0, 0.0, 0.0)",{1022:500},Atlas/UI_Worldskin,{1032:2000|1019:3|14103:300},1022|500,"1032|2000,1019|3,14103|300",999|2|3000,world_move_desc_4005,Vfx_yinghua,1,0|0,,220,-1,20000,world_move_name_4005,icon_effect_4005,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35005
4006,"(0.0, -150.0, 0.0)","(0.0, 0.0, 0.0)","(150.0, 150.0, 150.0)","(0.0, 0.0, 0.0)",{1016:500},Atlas/UI_Worldskin,{1018:1000|1019:3|14103:500},1016|500,"1018|1000,1019|3,14103|500",999|2|3000,world_move_desc_4006,fx_qiancheng_haiyangjie,1,0|-150,,150,-1,20000,world_move_name_4006,icon_effect_4006,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35006
4007,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(100.0, 100.0, 100.0)","(0.0, 0.0, 0.0)",{1022:500},Atlas/UI_Worldskin,{1032:2000|1019:3|15103:300},1022|500,"1032|2000,1019|3,15103|300",999|2|3000,world_move_desc_4007,Vfx_huolongjuan,1,0|0,,100,-1,20000,world_move_name_4007,icon_effect_4007,Atlas/UI_Worldskin,5,"1-501,1001-9999,10001-99999",35007
5001,"(-11.0, 71.0, 0.0)","(0.0, 0.7, 0.0)","(69.0, 69.0, 69.0)","(0.6, 0.6, 0.6)",{10103:600|19:500},Atlas/UI_Worldskin,{10104:2500|1098:3},"10103|600,19|500","10104|2500,1098|3",2|36001|1,world_effect_desc_36001,Fx_chunrifanhua,0,-11|70.98,0.01|0.65,69,60,50000,world_effect_36001,icon_Aura_001,Atlas/UI_Worldskin,6,"1-501,1001-9999,10001-99999",36001
5002,"(0.4, 149.1, 0.0)","(0.0, 1.3, 0.0)","(75.0, 75.0, 75.0)","(0.6, 0.6, 0.6)",{10103:600|19:500},Atlas/UI_Item,{},"10103|600,19|500",,2|36002|1,world_effect_desc_36002,Fx_shuijing_chengbao_dimian,0,0.4|149.08,0.01|1.3,75,60,50000,world_effect_36002,icon_31160,Atlas/UI_Item,7,"1-501,1001-9999,10001-99999",36002
