id,base_power,lev,level_up_num,para,paras,rare,sp_para1,sp_para1s,sp_para2,sp_para2s,sp_para3,type
7030002,16560,2,3,,[],3,[4|1275|20006|1275],[[4|1275]|[20006|1275]],,[],,3
7030003,24840,3,3,,[],3,[4|2040|20006|2040],[[4|2040]|[20006|2040]],,[],,3
7030004,33120,4,3,,[],4,[4|3060|20006|3060],[[4|3060]|[20006|3060]],,[],,3
7030005,41400,5,3,,[],4,[4|4950|20006|4950],[[4|4950]|[20006|4950]],,[],,3
7030006,49680,6,3,,[],4,[4|8180|20006|8180],[[4|8180]|[20006|8180]],,[],,3
7030007,57960,7,3,,[],5,[4|17580|20006|17580],[[4|17580]|[20006|17580]],,[],,3
7030008,74628,8,3,,[],5,[4|28660|20006|28660],[[4|28660]|[20006|28660]],[4|500|20006|500],[[4|500]|[20006|500]],,3
7030009,91296,9,3,,[],5,[4|46880|20006|46880],[[4|46880]|[20006|46880]],[4|1000|20006|1000],[[4|1000]|[20006|1000]],,3
7030010,108000,10,3,,[],6,[4|63440|20006|63440],[[4|63440]|[20006|63440]],[4|1500|20006|1500],[[4|1500]|[20006|1500]],,3
7030011,192000,11,3,,[],6,[4|84330|20006|84330],[[4|84330]|[20006|84330]],[4|2000|20006|2000],[[4|2000]|[20006|2000]],,3
7030012,288000,12,-1,,[],6,[4|108500|20006|108500],[[4|108500]|[20006|108500]],[4|3000|20006|3000],[[4|3000]|[20006|3000]],,3
7040001,8280,1,3,[22|600|64|769],[[22|600]|[64|769]],3,,[],,[],,6
7040002,16560,2,3,[22|1200|64|1538],[[22|1200]|[64|1538]],3,,[],,[],,6
7040003,24840,3,3,[22|1800|64|2307],[[22|1800]|[64|2307]],3,,[],,[],,6
7040004,33120,4,3,[22|2400|64|3076],[[22|2400]|[64|3076]],4,,[],,[],,6
7040005,41400,5,3,[22|3000|64|3845|1019|50],[[22|3000]|[64|3845]|[1019|50]],4,,[],,[],,6
7040006,49680,6,3,[22|3600|64|4614|1019|80],[[22|3600]|[64|4614]|[1019|80]],4,,[],,[],,6
7040007,57960,7,3,[22|4200|64|5383|1019|116],[[22|4200]|[64|5383]|[1019|116]],5,,[],,[],,6
7040008,74628,8,3,[22|4800|64|6922|1019|150],[[22|4800]|[64|6922]|[1019|150]],5,,[],,[],,6
7040009,91296,9,3,[22|5400|64|8461|1019|180],[[22|5400]|[64|8461]|[1019|180]],5,,[],,[],,6
7040010,108000,10,3,[22|6000|64|10000|1019|210],[[22|6000]|[64|10000]|[1019|210]],6,,[],,[],,6
7040011,192000,11,3,[22|6600|64|12000|1019|230],[[22|6600]|[64|12000]|[1019|230]],6,,[],,[],,6
7040012,288000,12,-1,[22|7200|64|14000|1019|250],[[22|7200]|[64|14000]|[1019|250]],6,,[],,[],,6
7050001,8280,1,3,[10003|2],[[10003|2]],3,,[],,[],,5
7050002,16560,2,3,[10003|3],[[10003|3]],3,,[],,[],,5
7050003,24840,3,3,[10003|5],[[10003|5]],3,,[],,[],,5
7050004,33120,4,3,[10003|7],[[10003|7]],4,,[],,[],,5
7050005,41400,5,3,[10003|9|1019|30],[[10003|9]|[1019|30]],4,,[],,[],,5
7050006,49680,6,3,[10003|11|1019|35],[[10003|11]|[1019|35]],4,,[],,[],,5
7050007,57960,7,3,[10003|13|1019|42],[[10003|13]|[1019|42]],5,,[],,[],,5
7050008,74628,8,3,[10003|15|1019|50|10103|500],[[10003|15]|[1019|50]|[10103|500]],5,,[],,[],,5
7050009,91296,9,3,[10003|18|1019|60|10103|1000],[[10003|18]|[1019|60]|[10103|1000]],5,,[],,[],,5
7050010,108000,10,3,[10003|21|1019|75|10103|1500],[[10003|21]|[1019|75]|[10103|1500]],6,,[],,[],,5
7050011,192000,11,3,[10003|23|1019|85|10103|2000],[[10003|23]|[1019|85]|[10103|2000]],6,,[],,[],,5
7050012,288000,12,-1,[10003|26|1019|100|10103|3000],[[10003|26]|[1019|100]|[10103|3000]],6,,[],,[],,5
7060001,8280,1,3,[3|16],[[3|16]],3,,[],,[],,4
7060002,16560,2,3,[3|24],[[3|24]],3,,[],,[],,4
7060003,24840,3,3,[3|54],[[3|54]],3,,[],,[],,4
7060004,33120,4,3,[3|138],[[3|138]],4,,[],,[],,4
7060005,41400,5,3,[3|371|103|500],[[3|371]|[103|500]],4,,[],,[],,4
7060006,49680,6,3,[3|999|103|1000],[[3|999]|[103|1000]],4,,[],,[],,4
7060007,57960,7,3,[3|2183|103|1500],[[3|2183]|[103|1500]],5,,[],,[],,4
7060008,74628,8,3,[3|4696|103|2000],[[3|4696]|[103|2000]],5,,[],,[],,4
7060009,91296,9,3,[3|7681|103|2500],[[3|7681]|[103|2500]],5,,[],,[],,4
7060010,108000,10,3,[3|10393|103|3000],[[3|10393]|[103|3000]],6,,[],,[],,4
7060011,192000,11,3,[3|13814|103|3500],[[3|13814]|[103|3500]],6,,[],,[],,4
7060012,288000,12,-1,[3|17753|103|4000],[[3|17753]|[103|4000]],6,,[],,[],,4
