id,iconAtlas,building_unlock,condition_type,des,detailIds,icon,icon_atlas,itemPos,lvIdDict,max_lv,name,open_id,openIdCondition,openIds,position,professional_id,quality,talent_id
70020500,Atlas/UI_Talent,,1,technology_adv_desc_1006,[70020501|70020502|70020503|70020504|70020505],player_talent_023,,"(2, 5)",{1:70020501|2:70020502|3:70020503|4:70020504|5:70020505},5,talent_name_107,[70010300|1],[70010300],[[70010300|1]],[2|5],20,1,[70020501|70020502|70020503|70020504|70020505]
70030300,Atlas/UI_Talent,,1,technology_adv_desc_1052,[70030301|70030302|70030303|70030304|70030305],player_talent_024,,"(3, 3)",{1:70030301|2:70030302|3:70030303|4:70030304|5:70030305},5,technology_adv_name_1052,[70020100|5|70020300|5|70020500|5],[70020100|70020300|70020500],[[70020100|5]|[70020300|5]|[70020500|5]],[3|3],20,1,[70030301|70030302|70030303|70030304|70030305]
70040100,Atlas/UI_Talent,,1,technology_adv_desc_1203,[70040101|70040102|70040103|70040104|70040105|70040106|70040107|70040108|70040109|70040110],player_talent_027,,"(4, 1)",{1:70040101|2:70040102|3:70040103|4:70040104|5:70040105|6:70040106|7:70040107|8:70040108|9:70040109|10:70040110},10,attribute_name_1203,[70030300|5],[70030300],[[70030300|5]],[4|1],20,1,[70040101|70040102|70040103|70040104|70040105|70040106|70040107|70040108|70040109|70040110]
70040300,Atlas/UI_Talent,,1,technology_adv_desc_1034,[70040301|70040302|70040303|70040304|70040305|70040306|70040307|70040308|70040309|70040310],player_talent_030,,"(4, 3)",{1:70040301|2:70040302|3:70040303|4:70040304|5:70040305|6:70040306|7:70040307|8:70040308|9:70040309|10:70040310},10,attribute_name_1034,[70030300|5],[70030300],[[70030300|5]],[4|3],20,1,[70040301|70040302|70040303|70040304|70040305|70040306|70040307|70040308|70040309|70040310]
70040500,Atlas/UI_Talent,,1,citybuilding_des_137,[70040501|70040502|70040503|70040504|70040505|70040506|70040507|70040508|70040509|70040510],player_talent_028,,"(4, 5)",{1:70040501|2:70040502|3:70040503|4:70040504|5:70040505|6:70040506|7:70040507|8:70040508|9:70040509|10:70040510},10,talent_name_225,[70030300|5],[70030300],[[70030300|5]],[4|5],20,1,[70040501|70040502|70040503|70040504|70040505|70040506|70040507|70040508|70040509|70040510]
70050100,Atlas/UI_Talent,,1,talent_tower_des_001,[70050101|70050102|70050103],player_talent_036,,"(5, 1)",{1:70050101|2:70050102|3:70050103},3,talent_tower_001,[70040100|10],[70040100],[[70040100|10]],[5|1],20,1,[70050101|70050102|70050103]
70050300,Atlas/UI_Talent,,1,talent_facilities_des_001,[70050301|70050302|70050303],player_talent_035,,"(5, 3)",{1:70050301|2:70050302|3:70050303},3,talent_facilities_001,[70040300|10],[70040300],[[70040300|10]],[5|3],20,1,[70050301|70050302|70050303]
70050500,Atlas/UI_Talent,,1,talent_tower_des_002,[70050501|70050502|70050503],player_talent_037,,"(5, 5)",{1:70050501|2:70050502|3:70050503},3,talent_tower_002,[70040500|10],[70040500],[[70040500|10]],[5|5],20,1,[70050501|70050502|70050503]
70060300,Atlas/UI_Talent,,1,technology_adv_desc_1201,[70060301],player_talent_006,,"(6, 3)",{1:70060301},1,attribute_name_1201,[70050100|3|70050300|3|70050500|3],[70050100|70050300|70050500],[[70050100|3]|[70050300|3]|[70050500|3]],[6|3],20,1,[70060301]
70070100,Atlas/UI_Talent,,1,technology_adv_desc_1205,[70070101|70070102|70070103|70070104|70070105|70070106|70070107|70070108|70070109|70070110],player_talent_031,,"(7, 1)",{1:70070101|2:70070102|3:70070103|4:70070104|5:70070105|6:70070106|7:70070107|8:70070108|9:70070109|10:70070110},10,attribute_name_1205,[70060300|1],[70060300],[[70060300|1]],[7|1],20,1,[70070101|70070102|70070103|70070104|70070105|70070106|70070107|70070108|70070109|70070110]
70070500,Atlas/UI_Talent,,1,technology_adv_desc_1206,[70070501|70070502|70070503|70070504|70070505|70070506|70070507|70070508|70070509|70070510],player_talent_032,,"(7, 5)",{1:70070501|2:70070502|3:70070503|4:70070504|5:70070505|6:70070506|7:70070507|8:70070508|9:70070509|10:70070510},10,attribute_name_1206,[70060300|1],[70060300],[[70060300|1]],[7|5],20,1,[70070501|70070502|70070503|70070504|70070505|70070506|70070507|70070508|70070509|70070510]
70010900,Atlas/UI_Talent,,1,technology_adv_desc_1013,[70010901|70010902|70010903|70010904|70010905],player_talent_025,,"(1, 9)",{1:70010901|2:70010902|3:70010903|4:70010904|5:70010905},5,technology_adv_name_1013_v2,[70010300|1],[70010300],[[70010300|1]],[1|9],20,2,[70010901|70010902|70010903|70010904|70010905]
70020900,Atlas/UI_Talent,,1,technology_adv_desc_1079,[70020901|70020902|70020903|70020904|70020905],player_talent_033,,"(2, 9)",{1:70020901|2:70020902|3:70020903|4:70020904|5:70020905},5,technology_adv_name_1079,[70010900|5],[70010900],[[70010900|5]],[2|9],20,2,[70020901|70020902|70020903|70020904|70020905]
70030900,Atlas/UI_Talent,,1,technology_adv_desc_1204_1,[70030901|70030902|70030903|70030904|70030905|70030906|70030907|70030908|70030909|70030910],player_talent_029,,"(3, 9)",{1:70030901|2:70030902|3:70030903|4:70030904|5:70030905|6:70030906|7:70030907|8:70030908|9:70030909|10:70030910},10,attribute_name_1204,[70020900|5],[70020900],[[70020900|5]],[3|9],20,2,[70030901|70030902|70030903|70030904|70030905|70030906|70030907|70030908|70030909|70030910]
70040700,Atlas/UI_Talent,,1,talent_tower_des_003,[70040701|70040702],player_talent_038,,"(4, 7)",{1:70040701|2:70040702},2,talent_tower_001_ex,[70030900|10],[70030900],[[70030900|10]],[4|7],20,2,[70040701|70040702]
70040900,Atlas/UI_Talent,,1,technology_adv_desc_1115,[70040901|70040902|70040903|70040904|70040905|70040906|70040907|70040908|70040909|70040910],player_talent_034,,"(4, 9)",{1:70040901|2:70040902|3:70040903|4:70040904|5:70040905|6:70040906|7:70040907|8:70040908|9:70040909|10:70040910},10,technology_adv_name_1115,[70030900|10],[70030900],[[70030900|10]],[4|9],20,2,[70040901|70040902|70040903|70040904|70040905|70040906|70040907|70040908|70040909|70040910]
70041100,Atlas/UI_Talent,,1,talent_tower_des_004,[70041101|70041102],player_talent_039,,"(4, 11)",{1:70041101|2:70041102},2,talent_tower_002_ex,[70030900|10],[70030900],[[70030900|10]],[4|11],20,2,[70041101|70041102]
