id,banner_bg,battle_area,battle_area_pet,battleArea,birthCenterPos,boundInfo,camera_size_range,center,centerPos,dataname,decNum,entrance_info,entranceDic,fight_force,finish_reward,is_instance,map_event_id,map_id,map_item,map_name,map_schedule,mapItems,music,pre_id,prefab_path,prefabPath,stage_birth_center,tran_id,unllock_builidng_lv,unlock_fog_ID,unlockBuildingLevel,world_link
41,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S3_MapData41,0,,{},-1,38278|38279,-1,,-1,,map_name_41,60|100,[],BGM_wenyi_1,-1,[S3_field_map_41],S3_field_map_41,,,,-1,[],6
42,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S3_MapData42,0,,{},-1,38278|38279,-1,,-1,,map_name_42,60|100,[],BGM_wenyi_1,-1,[S3_field_map_42],S3_field_map_42,,,,-1,[],6
43,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S3_MapData43,0,,{},-1,38278|38279,-1,,-1,,map_name_43,60|100,[],BGM_wenyi_1,-1,[S3_field_map_43],S3_field_map_43,,,,-1,[],6
51,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S4_MapData51,0,,{},-1,109741|109742,-1,,-1,,map_name_51,60|100,[],BGM_hegu_1,-1,[S4_field_map_51],S4_field_map_51,,,,-1,[],7
52,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S4_MapData52,0,,{},-1,109741|109742,-1,,-1,,map_name_52,60|100,[],BGM_hegu_1,-1,[S4_field_map_52],S4_field_map_52,,,,-1,[],7
53,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S4_MapData53,0,,{},-1,109741|109742,-1,,-1,,map_name_53,60|100,[],BGM_hegu_1,-1,[S4_field_map_53],S4_field_map_53,,,,-1,[],7
2002,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2002,0,,{},-1,31|32,-1,,-1,,map_name_2_hard,60|100,[],BGM_senlin_1,-1,[field_map_2002],field_map_2002,,,,-1,[],2
2003,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2003,0,,{},-1,31|32,-1,,-1,,map_name_3_hard,60|100,[],BGM_huangye_1,-1,[field_map_2003],field_map_2003,,,,-1,[],2
2004,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2004,0,,{},-1,31|32,-1,,-1,,map_name_4_hard,60|100,[],BGM_wenyi_1,-1,[field_map_2004],field_map_2004,,,,-1,[],2
2005,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2005,0,,{},-1,31|32,-1,,-1,,map_name_5_hard,60|100,[],BGM_rongyan_1,-1,[field_map_2005],field_map_2005,,,,-1,[],2
2006,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2006,0,,{},-1,31|32,-1,,-1,,map_name_6_hard,60|100,[],BGM_hegu_1,-1,[field_map_2006],field_map_2006,,,,-1,[],2
2007,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2007,0,,{},-1,31|32,-1,,-1,,map_name_7_hard,60|100,[],BGM_huangye_1,-1,[field_map_2007],field_map_2007,,,,-1,[],2
101,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData101,0,,{},-1,,1,,-1,,map_name_101,,[],Bgm_new_battle_1,-1,[map_raid_101],map_raid_101,,,,-1,[],-1
201,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData201,0,,{},-1,,1,,-1,,map_name_201,,[],Bgm_new_battle_1,-1,[map_raid_201],map_raid_201,,,,-1,[],-1
202,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData202,0,,{},-1,,1,,-1,,map_name_202,,[],BGM_huangye_1,-1,[map_raid_202],map_raid_202,,,,-1,[],-1
210,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1012,0,,{},-1,,1,,-1,,map_name_1012,,[],Bgm_new_battle_1,-1,[map_raid_1012],map_raid_1012,,,,-1,[],-1
211,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1014,0,,{},-1,,1,,-1,,map_name_1014,,[],Bgm_new_battle_1,-1,[map_raid_1014],map_raid_1014,,,,-1,[],-1
212,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1013,0,,{},-1,,1,,-1,,map_name_1013,,[],Bgm_new_battle_1,-1,[map_raid_1013],map_raid_1013,,,,-1,[],-1
213,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1016,0,,{},-1,,1,,-1,,map_name_1016,,[],Bgm_new_battle_1,-1,[map_raid_1016],map_raid_1016,,,,-1,[],-1
214,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1017,0,,{},-1,,1,,-1,,map_name_1017,,[],Bgm_new_battle_1,-1,[map_raid_1017],map_raid_1017,,,,-1,[],-1
215,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1018,0,,{},-1,,1,,-1,,map_name_1018,,[],Bgm_new_battle_1,-1,[map_raid_1018],map_raid_1018,,,,-1,[],-1
216,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1019,0,,{},-1,,1,,-1,,map_name_1019,,[],Bgm_new_battle_1,-1,[map_raid_1019],map_raid_1019,,,,-1,[],-1
217,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1020,0,,{},-1,,1,,-1,,map_name_1020,,[],Bgm_new_battle_1,-1,[map_raid_1020],map_raid_1020,,,,-1,[],-1
218,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1021,0,,{},-1,,1,,-1,,map_name_1021,,[],Bgm_new_battle_1,-1,[map_raid_1021],map_raid_1021,,,,-1,[],-1
219,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1022,0,,{},-1,,1,,-1,,map_name_1022,,[],Bgm_new_battle_1,-1,[map_raid_1022],map_raid_1022,,,,-1,[],-1
220,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1023,0,,{},-1,,1,,-1,,map_name_1023,,[],Bgm_new_battle_1,-1,[map_raid_1023],map_raid_1023,,,,-1,[],-1
301,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData301,0,,{},-1,,1,,-1,,map_name_301,,[],BGM_rongyan_1,-1,[map_raid_301],map_raid_301,,,,-1,[],-1
390,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData390,0,,{},-1,,1,,-1,,map_name_390,,[],BGM_senlin_1,-1,[map_raid_390],map_raid_390,,,,-1,[],-1
400,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData400,0,,{},-1,,1,,-1,,map_name_400,,[],BGM_senlin_1,-1,[map_raid_400],map_raid_400,,,,-1,[],-1
410,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData410,0,,{},-1,,1,,-1,,map_name_410,,[],BGM_xueyuan_1,-1,[map_raid_410],map_raid_410,,,,-1,[],-1
420,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData420,0,,{},-1,,1,,-1,,map_name_420,,[],BGM_rongyan_1,-1,[map_raid_420],map_raid_420,,,,-1,[],-1
501,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1100,0,,{},-1,,1,,-1,,map_name_501,,[],Bgm_new_battle_1,-1,[map_raid_1100],map_raid_1100,,,,-1,[],-1
502,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1102,0,,{},-1,,1,,-1,,map_name_501,,[],Bgm_new_battle_1,-1,[map_raid_1102],map_raid_1102,,,,-1,[],-1
511,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1101,0,,{},-1,,1,,-1,,map_name_511,,[],BGM_xueyuan_1,-1,[map_raid_1101],map_raid_1101,,,,-1,[],-1
512,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData1112,0,,{},-1,,1,,-1,,map_name_512,,[],BGM_xueyuan_1,-1,[map_raid_1112],map_raid_1112,,,,-1,[],-1
1001,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData201,0,,{},-1,,1,,-1,,map_name_201,,[],BGM_huangye_1,-1,[map_raid_201],map_raid_201,,,,-1,[],-1
1002,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData101,0,,{},-1,,1,,-1,,map_name_101,,[],BGM_wenyi_1,-1,[map_raid_101],map_raid_101,,,,-1,[],-1
1003,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData420,0,,{},-1,,1,,-1,,map_name_420,,[],BGM_rongyan_1,-1,[map_raid_420],map_raid_420,,,,-1,[],-1
1004,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData390,0,,{},-1,,1,,-1,,map_name_390,,[],BGM_senlin_1,-1,[map_raid_390],map_raid_390,,,,-1,[],-1
1005,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData301,0,,{},-1,,1,,-1,,map_name_301,,[],BGM_huangye_1,-1,[map_raid_301],map_raid_301,,,,-1,[],-1
1006,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData400,0,,{},-1,,1,,-1,,map_name_400,,[],BGM_wenyi_1,-1,[map_raid_400],map_raid_400,,,,-1,[],-1
1101,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData701,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_701],map_raid_701,,,,-1,[],-1
1102,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData702,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_702],map_raid_702,,,,-1,[],-1
1103,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData703,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_703],map_raid_703,,,,-1,[],-1
1104,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData704,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_704],map_raid_704,,,,-1,[],-1
1105,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData705,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_705],map_raid_705,,,,-1,[],-1
1106,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData706,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_706],map_raid_706,,,,-1,[],-1
1107,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData707,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_707],map_raid_707,,,,-1,[],-1
1108,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData708,0,,{},-1,,1,,-1,,map_name_1101,,[],Bgm_new_battle_1,-1,[map_raid_708],map_raid_708,,,,-1,[],-1
1401,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData401,0,,{},-1,,1,,-1,,map_name_1401,,[],Bgm_new_battle_1,-1,[map_raid_401],map_raid_401,,,,-1,[],-1
1501,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData501,0,,{},-1,,1,,-1,,map_name_501,,[],Bgm_new_battle_1,-1,[map_raid_501],map_raid_501,,,,-1,[],-1
1502,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData502,0,,{},-1,,1,,-1,,map_name_502,,[],Bgm_new_battle_1,-1,[map_raid_502],map_raid_502,,,,-1,[],-1
1601,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData601,0,,{},-1,,1,,-1,,map_name_1601,,[],Bgm_new_battle_1,-1,[map_raid_601],map_raid_601,,,,-1,[],-1
10001,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData10001,0,,{},-1,,1,,-1,,map_name_10001,,[],Bgm_new_battle_1,-1,[map_slg_10001],map_slg_10001,,,,-1,[],-1
10002,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData10002,0,,{},-1,,1,,-1,,map_name_10002,,[],Bgm_new_battle_1,-1,[map_slg_10002],map_slg_10002,,,,-1,[],-1
10003,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData10003,0,,{},-1,,1,,-1,,map_name_10003,,[],Bgm_new_battle_1,-1,[map_slg_10003],map_slg_10003,,,,-1,[],-1
10004,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData10004,0,,{},-1,,1,,-1,,map_name_10004,,[],Bgm_new_battle_1,-1,[map_slg_10004],map_slg_10004,,,,-1,[],-1
10005,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_997],map_raid_997,[186|-41.8],,,-1,[],-1
10006,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_998],map_raid_998,[186|-41.8],,,-1,[],-1
10007,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_993],map_raid_993,[186|-41.8],,,-1,[],-1
10008,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_994],map_raid_994,[186|-41.8],,,-1,[],-1
10009,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_997],map_raid_997,[186|-41.8],,,-1,[],-1
10010,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_997],map_raid_997,[186|-41.8],,,-1,[],-1
10011,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_993],map_raid_993,[186|-41.8],,,-1,[],-1
10012,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_996],map_raid_996,[186|-41.8],,,-1,[],-1
10013,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_995],map_raid_995,[186|-41.8],,,-1,[],-1
10014,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_993],map_raid_993,[186|-41.8],,,-1,[],-1
10015,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_992],map_raid_992,[186|-41.8],,,-1,[],-1
10016,,[180|192|-45|-38],[182|190|-38|-36],[180|192|-45|-38],"(186.0, -41.8, -100.0)",177.1|194.9|-56.8|-18,10|18,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_991],map_raid_991,[186|-41.8],,,-1,[],-1
20001,,,,,"(86.0, -38.5, -100.0)",70|100|-53|-19,11|13,[86|-38.5],"(86.0, -38.5)",MapData999,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_999],map_raid_999,[86|-38.5],,,-1,[],-1
20002,,,,,"(86.0, -38.5, -100.0)",70|100|-53|-19,11|13,[86|-38.5],"(86.0, -38.5)",MapData999,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_999],map_raid_999,[86|-38.5],,,-1,[],-1
20003,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1000,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1000],map_raid_1000,[89|-37.5],,,-1,[],-1
20004,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1001],map_raid_1001,[89|-37.5],,,-1,[],-1
20005,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,,[89|-37.5],"(89.0, -37.5)",MapData1000,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_slg_10007],map_slg_10007,[89|-37.5],,,-1,[],-1
20006,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,,[89|-37.5],"(89.0, -37.5)",MapData1000,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_slg_10005],map_slg_10005,[89|-37.5],,,-1,[],-1
20007,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,,[89|-37.5],"(89.0, -37.5)",MapData10006,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_slg_10006],map_slg_10006,[89|-37.5],,,-1,[],-1
20008,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1002],map_raid_1002,[89|-37.5],,,-1,[],-1
20009,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1003],map_raid_1003,[89|-37.5],,,-1,[],-1
20010,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1004],map_raid_1004,[89|-37.5],,,-1,[],-1
20011,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1005],map_raid_1005,[89|-37.5],,,-1,[],-1
20012,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1007],map_raid_1007,[89|-37.5],,,-1,[],-1
20013,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1008],map_raid_1008,[89|-37.5],,,-1,[],-1
20014,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1009],map_raid_1009,[89|-37.5],,,-1,[],-1
20015,,,,,"(89.0, -37.5, -100.0)",69.4|103.4|-57.9|-17.34,11|13,[89|-37.5],"(89.0, -37.5)",MapData1001,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1010],map_raid_1010,[89|-37.5],,,-1,[],-1
20016,,[175|197|-35|-25|175|197|-45|-35|175|197|-55|-45],,,"(186.0, -41.8, -100.0)",175|197|-61.5|-13,14|23,[186|-38.5],"(186.0, -38.5)",MapData997,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_990],map_raid_990,[186|-41.8],,,-1,[],-1
20017,,,,,"(89.0, -37.5, -100.0)",35.1|127.4|-70.7|-3,11|13,[89|-37.5],"(89.0, -37.5)",MapData1024,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1024],map_raid_1024,[89|-37.5],,,-1,[],-1
20018,,,,,"(89.0, -37.5, -100.0)",35.1|127.4|-70.7|-3,11|13,[89|-37.5],"(89.0, -37.5)",MapData1024,0,,{},-1,,1,,-1,,map_name_1,,[],Bgm_new_battle_1,-1,[map_raid_1025],map_raid_1025,[89|-37.5],,,-1,[],-1
