id,attibute,cost,cost_times,costTimes,des,icon,needlv,num,num_times,numTimes,pre_id,race,reesearch_tiems,time,time_times,timeTimes,type
1601,4,999|6|40,[999|6|120|999|6|120|999|6|120|999|6|120|999|6|120],[[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]],tech_des_life_1,tech_1002,16,5,[0|0|0|0|0],[0|0|0|0|0],1501,1,5,15,[240|240|240|240|240],[240|240|240|240|240],1
1701,3,999|6|40,[999|6|120|999|6|120|999|6|120|999|6|120|999|6|120],[[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]],tech_des_attack_2,tech_1001,17,20,[0|0|0|0|0],[0|0|0|0|0],1601,2,5,15,[240|240|240|240|240],[240|240|240|240|240],1
1801,4,999|6|40,[999|6|120|999|6|120|999|6|120|999|6|120|999|6|120],[[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]|[999|6|120]],tech_des_life_3,tech_1002,18,5,[0|0|0|0|0],[0|0|0|0|0],1701,3,5,15,[240|240|240|240|240],[240|240|240|240|240],1
1901,3,999|6|50,[999|6|140|999|6|140|999|6|140|999|6|140|999|6|140],[[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]],tech_des_attack_1,tech_1001,19,20,[0|0|0|0|0],[0|0|0|0|0],1801,1,5,20,[300|300|300|300|300],[300|300|300|300|300],1
2001,4,999|6|50,[999|6|140|999|6|140|999|6|140|999|6|140|999|6|140],[[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]],tech_des_life_2,tech_1002,20,5,[0|0|0|0|0],[0|0|0|0|0],1901,2,5,20,[300|300|300|300|300],[300|300|300|300|300],1
2101,3,999|6|50,[999|6|140|999|6|140|999|6|140|999|6|140|999|6|140],[[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]|[999|6|140]],tech_des_attack_3,tech_1001,21,20,[0|0|0|0|0],[0|0|0|0|0],2001,3,5,20,[300|300|300|300|300],[300|300|300|300|300],1
2201,4,999|6|60,[999|6|160|999|6|160|999|6|160|999|6|160|999|6|160],[[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]],tech_des_life_1,tech_1002,22,5,[0|0|0|0|0],[0|0|0|0|0],2101,1,5,20,[420|420|420|420|420],[420|420|420|420|420],1
2301,3,999|6|60,[999|6|160|999|6|160|999|6|160|999|6|160|999|6|160],[[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]],tech_des_attack_2,tech_1001,23,20,[0|0|0|0|0],[0|0|0|0|0],2201,2,5,20,[420|420|420|420|420],[420|420|420|420|420],1
2401,4,999|6|60,[999|6|160|999|6|160|999|6|160|999|6|160|999|6|160],[[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]|[999|6|160]],tech_des_life_3,tech_1002,24,5,[0|0|0|0|0],[0|0|0|0|0],2301,3,5,20,[420|420|420|420|420],[420|420|420|420|420],1
2501,3,999|6|70,[999|6|180|999|6|180|999|6|180|999|6|180|999|6|180],[[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]],tech_des_attack_1,tech_1001,25,20,[0|0|0|0|0],[0|0|0|0|0],2401,1,5,25,[540|540|540|540|540],[540|540|540|540|540],1
2601,4,999|6|70,[999|6|180|999|6|180|999|6|180|999|6|180|999|6|180],[[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]],tech_des_life_2,tech_1002,26,5,[0|0|0|0|0],[0|0|0|0|0],2501,2,5,25,[540|540|540|540|540],[540|540|540|540|540],1
2701,3,999|6|70,[999|6|180|999|6|180|999|6|180|999|6|180|999|6|180],[[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]|[999|6|180]],tech_des_attack_3,tech_1001,27,20,[0|0|0|0|0],[0|0|0|0|0],2601,3,5,25,[540|540|540|540|540],[540|540|540|540|540],1
2801,4,999|6|80,[999|6|200|999|6|200|999|6|200|999|6|200|999|6|200],[[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]],tech_des_life_1,tech_1002,28,10,[0|0|0|0|0],[0|0|0|0|0],2701,1,5,25,[660|660|660|660|660],[660|660|660|660|660],1
2901,3,999|6|80,[999|6|200|999|6|200|999|6|200|999|6|200|999|6|200],[[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]],tech_des_attack_2,tech_1001,29,40,[0|0|0|0|0],[0|0|0|0|0],2801,2,5,25,[660|660|660|660|660],[660|660|660|660|660],1
3001,4,999|6|80,[999|6|200|999|6|200|999|6|200|999|6|200|999|6|200],[[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]|[999|6|200]],tech_des_life_3,tech_1002,30,10,[0|0|0|0|0],[0|0|0|0|0],2901,3,5,25,[660|660|660|660|660],[660|660|660|660|660],1
302,103,999|6|100,[999|12|1],[[999|12|1]],tech_des_attackratio,tech_2001,3,10,[0],[0],-1,0,1,30,[1800],[1800],2
602,104,999|6|100,[999|12|1],[[999|12|1]],tech_des_liferatio,tech_2002,6,40,[0],[0],302,0,1,30,[1800],[1800],2
902,22,999|6|120,[999|12|2],[[999|12|2]],tech_des_defend,tech_2003,9,10,[0],[0],602,0,1,30,[1800],[1800],2
1202,104,999|6|120,[999|12|2],[[999|12|2]],tech_des_liferatio,tech_2002,12,40,[0],[0],902,0,1,30,[1800],[1800],2
1502,103,999|6|120,[999|12|3],[[999|12|3]],tech_des_attackratio,tech_2001,15,10,[0],[0],1202,0,1,30,[1800],[1800],2
1802,8,999|6|140,[999|12|3],[[999|12|3]],tech_des_crit,tech_1003,18,40,[0],[0],1502,0,1,35,[3600],[3600],2
2102,104,999|6|140,[999|12|4],[[999|12|4]],tech_des_liferatio,tech_2002,21,10,[0],[0],1802,0,1,35,[3600],[3600],2
2402,103,999|6|140,[999|12|4],[[999|12|4]],tech_des_attackratio,tech_2001,24,40,[0],[0],2102,0,1,35,[3600],[3600],2
2702,22,999|6|160,[999|12|5],[[999|12|5]],tech_des_defend,tech_2003,27,10,[0],[0],2402,0,1,35,[3600],[3600],2
3002,13,999|6|160,[999|12|5],[[999|12|5]],tech_des_dodge,tech_1003,30,40,[0],[0],2702,0,1,35,[3600],[3600],2
