id,banner,desc,order,season,title,type
69,,season_introduce_desc3,3,4,season_introduce_title3,2
70,,season_introduce_desc4,4,4,season_introduce_title4,2
71,,season_introduce_desc21,1,4,season_introduce_title21,2
72,,season_introduce_desc5,5,4,season_introduce_title5,1
73,,season_introduce_desc6,6,4,season_introduce_title6,1
74,,season_introduce_desc7,7,4,season_introduce_title7,1
75,,season_introduce_desc8,8,4,season_introduce_title8,1
76,,season_introduce_desc9,9,4,season_introduce_title9,1
77,,season_aura_desc1,10,4,season_introduce_title22,1
78,,season_introduce_desc22,11,4,season_introduce_title10,3
79,,season_introduce_desc11,12,4,season_introduce_title11,3
80,,season_introduce_desc13,14,4,season_introduce_title13,3
81,,season_introduce_desc14,15,4,season_introduce_title14,4
82,,season_introduce_desc15,16,4,season_introduce_title15,4
83,,season_introduce_desc17,17,4,season_introduce_title17,4
84,,season_introduce_desc18,10,4,season_introduce_title18,3
85,,season_introduce_desc19,14,4,season_introduce_title19,4
86,,season_introduce_desc100,1,4,season_introduce_title18,3
87,,season_introduce_desc108,2,4,season_introduce_title10,3
88,,season_introduce_desc102,3,4,season_introduce_title11,3
89,,season_introduce_desc103,4,4,season_introduce_title103,3
90,,season_introduce_desc104,5,4,temperature_info_1,4
91,,season_introduce_desc105,6,4,activity_name_2429,4
92,,season_introduce_desc106,7,4,season_introduce_title15,4
93,,season_introduce_desc107,8,4,season_introduce_title104,4
94,,frozen_introduce_desc1,1,4,frozen_introduce_title1,1
95,,frozen_introduce_desc2,2,4,frozen_introduce_title2,2
96,,frozen_introduce_desc3,3,4,frozen_introduce_title3,1
97,,frozen_introduce_desc4,4,4,frozen_introduce_title4,2
98,,frozen_introduce_desc5,5,4,frozen_introduce_title5,2
99,,frozen_introduce_desc6,6,4,frozen_introduce_title6,2
100,,frozen_introduce_desc7,7,4,frozen_introduce_title7,1
101,,frozen_introduce_desc8,8,4,frozen_introduce_title8,1
102,,frozen_introduce_desc9,10,4,frozen_introduce_title9,2
103,,frozen_introduce_desc10,11,4,frozen_introduce_title10,2
104,,frozen_introduce_desc11,12,4,frozen_introduce_title11,2
105,,frozen_introduce_desc12,13,4,frozen_introduce_title12,2
106,,frozen_introduce_desc13,14,4,frozen_introduce_title13,1
107,,frozen_introduce_desc14,9,4,frozen_introduce_title14,2
108,,season_introduce_desc200,1,4,season_introduce_title18,3
109,,season_introduce_desc202,2,4,season_introduce_title11,3
110,,season_introduce_desc203,3,4,season_introduce_title203,3
111,,season_introduce_desc204,4,4,light_info_1,4
112,,season_introduce_desc206,5,4,season_introduce_title15,4
113,,season_introduce_desc207,6,4,season_introduce_title204,4
114,,dark_introduce_desc1,1,4,dark_introduce_title1,1
115,,dark_introduce_desc2,2,4,dark_introduce_title2,2
116,,dark_introduce_desc3,3,4,dark_introduce_title3,1
117,,dark_introduce_desc16,4,4,activity_name_2985,1
118,,dark_introduce_desc4,5,4,dark_introduce_title4,1
119,,dark_introduce_desc5,6,4,dark_introduce_title5,2
120,,dark_introduce_desc14,7,0,dark_introduce_title14,2
121,,dark_introduce_desc6,8,4,dark_introduce_title6,2
122,,dark_introduce_desc7,9,4,dark_introduce_title7,1
123,,dark_introduce_desc8,10,4,dark_introduce_title8,1
124,,dark_introduce_desc14,11,4,dark_introduce_title14,2
125,,dark_introduce_desc9,12,4,dark_introduce_title9,2
126,,dark_introduce_desc10,13,4,dark_introduce_title10,2
127,,dark_introduce_desc11,14,4,dark_introduce_title11,2
128,,dark_introduce_desc12,15,4,dark_introduce_title12,2
129,,dark_introduce_desc13,16,4,dark_introduce_title13,1
130,,season_introduce_desc208,1,5,season_introduce_title18,3
131,,season_introduce_desc209,2,5,season_introduce_title11,3
132,,season_introduce_desc210,3,5,season_introduce_title205,3
133,,season_introduce_desc211,4,5,oxygen_info_1,4
134,,season_introduce_desc212,5,5,season_introduce_title15,4
135,,season_introduce_desc213,6,5,season_introduce_title206,4
136,,oxygen_introduce_desc1,1,5,oxygen_introduce_title1,1
137,,oxygen_introduce_desc2,2,5,oxygen_introduce_title2,2
138,,oxygen_introduce_desc3,3,5,oxygen_introduce_title3,1
139,,dark_introduce_desc16,4,5,activity_name_2985,1
140,,oxygen_introduce_desc7,9,5,activity_name_5001006,1
141,,oxygen_introduce_desc8,10,5,dark_introduce_title8,1
142,,oxygen_introduce_desc14,11,5,oxygen_introduce_title14,2
143,,oxygen_introduce_desc9,12,5,oxygen_introduce_title9,2
144,,oxygen_introduce_desc10,13,5,oxygen_introduce_title10,2
145,,oxygen_introduce_desc12,14,5,oxygen_introduce_title11,2
146,,oxygen_introduce_desc11,15,5,oxygen_introduce_title12,2
147,,dark_introduce_desc13,16,5,dark_introduce_title13,1
148,,season_introduce_desc109,4,3,season_introduce_title10,3
149,,season_introduce_desc110,4,5,season_introduce_title10,3
