id,attribute,attributes,cost,des,fightforce,lv,lvup_pre_id,lvUpCosts,lvUpPreNodes,map_building_id,quality,talent_building_lv,time,tree_id
60050108,13103|2400,[[13103|2400]],2|12210000|1,,24000,8,60050100|7,[[2|12210000|1]],[[60050100|7]],,-1,13,-1,60050100
60050109,13103|2700,[[13103|2700]],2|12210000|1,,27000,9,60050100|8,[[2|12210000|1]],[[60050100|8]],,-1,14,-1,60050100
60050110,13103|3000,[[13103|3000]],2|12210000|1,,30000,10,60050100|9,[[2|12210000|1]],[[60050100|9]],,-1,14,-1,60050100
60050301,14103|300,[[14103|300]],2|12210000|1,,3000,1,60040300|10,[[2|12210000|1]],[[60040300|10]],,-1,10,-1,60050300
60050302,14103|600,[[14103|600]],2|12210000|1,,6000,2,60050300|1,[[2|12210000|1]],[[60050300|1]],,-1,10,-1,60050300
60050303,14103|900,[[14103|900]],2|12210000|1,,9000,3,60050300|2,[[2|12210000|1]],[[60050300|2]],,-1,11,-1,60050300
60050304,14103|1200,[[14103|1200]],2|12210000|1,,12000,4,60050300|3,[[2|12210000|1]],[[60050300|3]],,-1,11,-1,60050300
60050305,14103|1500,[[14103|1500]],2|12210000|1,,15000,5,60050300|4,[[2|12210000|1]],[[60050300|4]],,-1,12,-1,60050300
60050306,14103|1800,[[14103|1800]],2|12210000|1,,18000,6,60050300|5,[[2|12210000|1]],[[60050300|5]],,-1,12,-1,60050300
60050307,14103|2100,[[14103|2100]],2|12210000|1,,21000,7,60050300|6,[[2|12210000|1]],[[60050300|6]],,-1,13,-1,60050300
60050308,14103|2400,[[14103|2400]],2|12210000|1,,24000,8,60050300|7,[[2|12210000|1]],[[60050300|7]],,-1,13,-1,60050300
60050309,14103|2700,[[14103|2700]],2|12210000|1,,27000,9,60050300|8,[[2|12210000|1]],[[60050300|8]],,-1,14,-1,60050300
60050310,14103|3000,[[14103|3000]],2|12210000|1,,30000,10,60050300|9,[[2|12210000|1]],[[60050300|9]],,-1,14,-1,60050300
60050501,15103|300,[[15103|300]],2|12210000|1,,3000,1,60040500|10,[[2|12210000|1]],[[60040500|10]],,-1,10,-1,60050500
60050502,15103|600,[[15103|600]],2|12210000|1,,6000,2,60050500|1,[[2|12210000|1]],[[60050500|1]],,-1,10,-1,60050500
60050503,15103|900,[[15103|900]],2|12210000|1,,9000,3,60050500|2,[[2|12210000|1]],[[60050500|2]],,-1,11,-1,60050500
60050504,15103|1200,[[15103|1200]],2|12210000|1,,12000,4,60050500|3,[[2|12210000|1]],[[60050500|3]],,-1,11,-1,60050500
60050505,15103|1500,[[15103|1500]],2|12210000|1,,15000,5,60050500|4,[[2|12210000|1]],[[60050500|4]],,-1,12,-1,60050500
60050506,15103|1800,[[15103|1800]],2|12210000|1,,18000,6,60050500|5,[[2|12210000|1]],[[60050500|5]],,-1,12,-1,60050500
60050507,15103|2100,[[15103|2100]],2|12210000|1,,21000,7,60050500|6,[[2|12210000|1]],[[60050500|6]],,-1,13,-1,60050500
60050508,15103|2400,[[15103|2400]],2|12210000|1,,24000,8,60050500|7,[[2|12210000|1]],[[60050500|7]],,-1,13,-1,60050500
60050509,15103|2700,[[15103|2700]],2|12210000|1,,27000,9,60050500|8,[[2|12210000|1]],[[60050500|8]],,-1,14,-1,60050500
60050510,15103|3000,[[15103|3000]],2|12210000|1,,30000,10,60050500|9,[[2|12210000|1]],[[60050500|9]],,-1,14,-1,60050500
60060301,1051|1,[[1051|1]],2|12210000|1,,10000,1,"60050100|10,60050300|10,60050500|10",[[2|12210000|1]],[[60050100|10]|[60050300|10]|[60050500|10]],,-1,21,-1,60060300
60070101,1212|300,[[1212|300]],2|12210000|1,,4000,1,60060300|1,[[2|12210000|1]],[[60060300|1]],,-1,21,-1,60070100
60070102,1212|600,[[1212|600]],2|12210000|1,,8000,2,60070100|1,[[2|12210000|1]],[[60070100|1]],,-1,21,-1,60070100
60070103,1212|900,[[1212|900]],2|12210000|1,,12000,3,60070100|2,[[2|12210000|1]],[[60070100|2]],,-1,21,-1,60070100
60070104,1212|1200,[[1212|1200]],2|12210000|1,,16000,4,60070100|3,[[2|12210000|1]],[[60070100|3]],,-1,21,-1,60070100
60070105,1212|1500,[[1212|1500]],2|12210000|1,,20000,5,60070100|4,[[2|12210000|1]],[[60070100|4]],,-1,21,-1,60070100
60070106,1212|1800,[[1212|1800]],2|12210000|1,,24000,6,60070100|5,[[2|12210000|1]],[[60070100|5]],,-1,21,-1,60070100
60070107,1212|2100,[[1212|2100]],2|12210000|1,,28000,7,60070100|6,[[2|12210000|1]],[[60070100|6]],,-1,21,-1,60070100
60070108,1212|2400,[[1212|2400]],2|12210000|1,,32000,8,60070100|7,[[2|12210000|1]],[[60070100|7]],,-1,21,-1,60070100
60070109,1212|2700,[[1212|2700]],2|12210000|1,,36000,9,60070100|8,[[2|12210000|1]],[[60070100|8]],,-1,21,-1,60070100
60070110,1212|3000,[[1212|3000]],2|12210000|1,,40000,10,60070100|9,[[2|12210000|1]],[[60070100|9]],,-1,21,-1,60070100
60070501,1032|10,[[1032|10]],2|12210000|1,,4000,1,60060300|1,[[2|12210000|1]],[[60060300|1]],,-1,21,-1,60070500
60070502,1032|20,[[1032|20]],2|12210000|1,,8000,2,60070500|1,[[2|12210000|1]],[[60070500|1]],,-1,21,-1,60070500
60070503,1032|30,[[1032|30]],2|12210000|1,,12000,3,60070500|2,[[2|12210000|1]],[[60070500|2]],,-1,21,-1,60070500
60070504,1032|40,[[1032|40]],2|12210000|1,,16000,4,60070500|3,[[2|12210000|1]],[[60070500|3]],,-1,21,-1,60070500
60070505,1032|50,[[1032|50]],2|12210000|1,,20000,5,60070500|4,[[2|12210000|1]],[[60070500|4]],,-1,21,-1,60070500
60070506,1032|60,[[1032|60]],2|12210000|1,,24000,6,60070500|5,[[2|12210000|1]],[[60070500|5]],,-1,21,-1,60070500
60070507,1032|70,[[1032|70]],2|12210000|1,,28000,7,60070500|6,[[2|12210000|1]],[[60070500|6]],,-1,21,-1,60070500
60070508,1032|80,[[1032|80]],2|12210000|1,,32000,8,60070500|7,[[2|12210000|1]],[[60070500|7]],,-1,21,-1,60070500
60070509,1032|90,[[1032|90]],2|12210000|1,,36000,9,60070500|8,[[2|12210000|1]],[[60070500|8]],,-1,21,-1,60070500
60070510,1032|100,[[1032|100]],2|12210000|1,,40000,10,60070500|9,[[2|12210000|1]],[[60070500|9]],,-1,21,-1,60070500
60010901,1200|1,[[1200|1]],"2|12210000|1,2|12210200|100",,1000,1,60010300|5,[[2|12210000|1]|[2|12210200|100]],[[60010300|5]],,-1,5,-1,60010900
60010902,1200|2,[[1200|2]],"2|12210000|1,2|12210200|100",,2000,2,60010900|1,[[2|12210000|1]|[2|12210200|100]],[[60010900|1]],,-1,5,-1,60010900
60010903,1200|3,[[1200|3]],"2|12210000|1,2|12210200|100",,3000,3,60010900|2,[[2|12210000|1]|[2|12210200|100]],[[60010900|2]],,-1,6,-1,60010900
60010904,1200|4,[[1200|4]],"2|12210000|1,2|12210200|100",,4000,4,60010900|3,[[2|12210000|1]|[2|12210200|100]],[[60010900|3]],,-1,6,-1,60010900
60010905,1200|5,[[1200|5]],"2|12210000|1,2|12210200|100",,5000,5,60010900|4,[[2|12210000|1]|[2|12210200|100]],[[60010900|4]],,-1,7,-1,60010900
60020901,1085|400,[[1085|400]],"2|12210000|1,2|12210200|200",,1000,1,60010900|5,[[2|12210000|1]|[2|12210200|200]],[[60010900|5]],,-1,8,-1,60020900
60020902,1085|800,[[1085|800]],"2|12210000|1,2|12210200|200",,2000,2,60020900|1,[[2|12210000|1]|[2|12210200|200]],[[60020900|1]],,-1,8,-1,60020900
60020903,1085|1200,[[1085|1200]],"2|12210000|1,2|12210200|200",,3000,3,60020900|2,[[2|12210000|1]|[2|12210200|200]],[[60020900|2]],,-1,8,-1,60020900
60020904,1085|1600,[[1085|1600]],"2|12210000|1,2|12210200|200",,4000,4,60020900|3,[[2|12210000|1]|[2|12210200|200]],[[60020900|3]],,-1,9,-1,60020900
60020905,1085|2000,[[1085|2000]],"2|12210000|1,2|12210200|200",,5000,5,60020900|4,[[2|12210000|1]|[2|12210200|200]],[[60020900|4]],,-1,9,-1,60020900
60030701,1200103|600,[[1200103|600]],"2|12210000|1,2|12210200|300",,2000,1,60020900|5,[[2|12210000|1]|[2|12210200|300]],[[60020900|5]],,-1,10,-1,60030700
60030702,1200103|1200,[[1200103|1200]],"2|12210000|1,2|12210200|300",,4000,2,60030700|1,[[2|12210000|1]|[2|12210200|300]],[[60030700|1]],,-1,10,-1,60030700
60030703,1200103|1800,[[1200103|1800]],"2|12210000|1,2|12210200|300",,6000,3,60030700|2,[[2|12210000|1]|[2|12210200|300]],[[60030700|2]],,-1,11,-1,60030700
60030704,1200103|2400,[[1200103|2400]],"2|12210000|1,2|12210200|300",,8000,4,60030700|3,[[2|12210000|1]|[2|12210200|300]],[[60030700|3]],,-1,11,-1,60030700
60030705,1200103|3000,[[1200103|3000]],"2|12210000|1,2|12210200|300",,10000,5,60030700|4,[[2|12210000|1]|[2|12210200|300]],[[60030700|4]],,-1,11,-1,60030700
60030901,1037|1,[[1037|1]],"2|12210000|1,2|12210200|300",,2000,1,60020900|5,[[2|12210000|1]|[2|12210200|300]],[[60020900|5]],,-1,10,-1,60030900
60030902,1037|2,[[1037|2]],"2|12210000|1,2|12210200|300",,4000,2,60030900|1,[[2|12210000|1]|[2|12210200|300]],[[60030900|1]],,-1,10,-1,60030900
60030903,1037|3,[[1037|3]],"2|12210000|1,2|12210200|300",,6000,3,60030900|2,[[2|12210000|1]|[2|12210200|300]],[[60030900|2]],,-1,11,-1,60030900
60030904,1037|4,[[1037|4]],"2|12210000|1,2|12210200|300",,8000,4,60030900|3,[[2|12210000|1]|[2|12210200|300]],[[60030900|3]],,-1,11,-1,60030900
60030905,1037|5,[[1037|5]],"2|12210000|1,2|12210200|300",,10000,5,60030900|4,[[2|12210000|1]|[2|12210200|300]],[[60030900|4]],,-1,11,-1,60030900
60031101,1200104|600,[[1200104|600]],"2|12210000|1,2|12210200|300",,2000,1,60020900|5,[[2|12210000|1]|[2|12210200|300]],[[60020900|5]],,-1,10,-1,60031100
60031102,1200104|1200,[[1200104|1200]],"2|12210000|1,2|12210200|300",,4000,2,60031100|1,[[2|12210000|1]|[2|12210200|300]],[[60031100|1]],,-1,10,-1,60031100
60031103,1200104|1800,[[1200104|1800]],"2|12210000|1,2|12210200|300",,6000,3,60031100|2,[[2|12210000|1]|[2|12210200|300]],[[60031100|2]],,-1,11,-1,60031100
60031104,1200104|2400,[[1200104|2400]],"2|12210000|1,2|12210200|300",,8000,4,60031100|3,[[2|12210000|1]|[2|12210200|300]],[[60031100|3]],,-1,11,-1,60031100
60031105,1200104|3000,[[1200104|3000]],"2|12210000|1,2|12210200|300",,10000,5,60031100|4,[[2|12210000|1]|[2|12210200|300]],[[60031100|4]],,-1,11,-1,60031100
60040701,1053|10,[[1053|10]],"2|12210000|1,2|12210200|300",,4000,1,60030700|5,[[2|12210000|1]|[2|12210200|300]],[[60030700|5]],,-1,14,-1,60040700
60040702,1053|20,[[1053|20]],"2|12210000|1,2|12210200|300",,8000,2,60040700|1,[[2|12210000|1]|[2|12210200|300]],[[60040700|1]],,-1,14,-1,60040700
60040703,1053|30,[[1053|30]],"2|12210000|1,2|12210200|300",,12000,3,60040700|2,[[2|12210000|1]|[2|12210200|300]],[[60040700|2]],,-1,14,-1,60040700
60040704,1053|40,[[1053|40]],"2|12210000|1,2|12210200|300",,16000,4,60040700|3,[[2|12210000|1]|[2|12210200|300]],[[60040700|3]],,-1,14,-1,60040700
60040705,1053|50,[[1053|50]],"2|12210000|1,2|12210200|300",,20000,5,60040700|4,[[2|12210000|1]|[2|12210200|300]],[[60040700|4]],,-1,14,-1,60040700
60040706,1053|60,[[1053|60]],"2|12210000|1,2|12210200|300",,24000,6,60040700|5,[[2|12210000|1]|[2|12210200|300]],[[60040700|5]],,-1,14,-1,60040700
60040707,1053|70,[[1053|70]],"2|12210000|1,2|12210200|300",,28000,7,60040700|6,[[2|12210000|1]|[2|12210200|300]],[[60040700|6]],,-1,14,-1,60040700
60040708,1053|80,[[1053|80]],"2|12210000|1,2|12210200|300",,32000,8,60040700|7,[[2|12210000|1]|[2|12210200|300]],[[60040700|7]],,-1,14,-1,60040700
60040709,1053|90,[[1053|90]],"2|12210000|1,2|12210200|300",,36000,9,60040700|8,[[2|12210000|1]|[2|12210200|300]],[[60040700|8]],,-1,14,-1,60040700
60040710,1053|100,[[1053|100]],"2|12210000|1,2|12210200|300",,40000,10,60040700|9,[[2|12210000|1]|[2|12210200|300]],[[60040700|9]],,-1,14,-1,60040700
60040901,1054|10,[[1054|10]],"2|12210000|1,2|12210200|300",,4000,1,60030900|5,[[2|12210000|1]|[2|12210200|300]],[[60030900|5]],,-1,14,-1,60040900
60040902,1054|20,[[1054|20]],"2|12210000|1,2|12210200|300",,8000,2,60040900|1,[[2|12210000|1]|[2|12210200|300]],[[60040900|1]],,-1,14,-1,60040900
60040903,1054|30,[[1054|30]],"2|12210000|1,2|12210200|300",,12000,3,60040900|2,[[2|12210000|1]|[2|12210200|300]],[[60040900|2]],,-1,14,-1,60040900
60040904,1054|40,[[1054|40]],"2|12210000|1,2|12210200|300",,16000,4,60040900|3,[[2|12210000|1]|[2|12210200|300]],[[60040900|3]],,-1,14,-1,60040900
60040905,1054|50,[[1054|50]],"2|12210000|1,2|12210200|300",,20000,5,60040900|4,[[2|12210000|1]|[2|12210200|300]],[[60040900|4]],,-1,14,-1,60040900
60040906,1054|60,[[1054|60]],"2|12210000|1,2|12210200|300",,24000,6,60040900|5,[[2|12210000|1]|[2|12210200|300]],[[60040900|5]],,-1,14,-1,60040900
60040907,1054|70,[[1054|70]],"2|12210000|1,2|12210200|300",,28000,7,60040900|6,[[2|12210000|1]|[2|12210200|300]],[[60040900|6]],,-1,14,-1,60040900
60040908,1054|80,[[1054|80]],"2|12210000|1,2|12210200|300",,32000,8,60040900|7,[[2|12210000|1]|[2|12210200|300]],[[60040900|7]],,-1,14,-1,60040900
60040909,1054|90,[[1054|90]],"2|12210000|1,2|12210200|300",,36000,9,60040900|8,[[2|12210000|1]|[2|12210200|300]],[[60040900|8]],,-1,14,-1,60040900
60040910,1054|100,[[1054|100]],"2|12210000|1,2|12210200|300",,40000,10,60040900|9,[[2|12210000|1]|[2|12210200|300]],[[60040900|9]],,-1,14,-1,60040900
60041101,1055|10,[[1055|10]],"2|12210000|1,2|12210200|300",,4000,1,60031100|5,[[2|12210000|1]|[2|12210200|300]],[[60031100|5]],,-1,14,-1,60041100
60041102,1055|20,[[1055|20]],"2|12210000|1,2|12210200|300",,8000,2,60041100|1,[[2|12210000|1]|[2|12210200|300]],[[60041100|1]],,-1,14,-1,60041100
60041103,1055|30,[[1055|30]],"2|12210000|1,2|12210200|300",,12000,3,60041100|2,[[2|12210000|1]|[2|12210200|300]],[[60041100|2]],,-1,14,-1,60041100
60041104,1055|40,[[1055|40]],"2|12210000|1,2|12210200|300",,16000,4,60041100|3,[[2|12210000|1]|[2|12210200|300]],[[60041100|3]],,-1,14,-1,60041100
60041105,1055|50,[[1055|50]],"2|12210000|1,2|12210200|300",,20000,5,60041100|4,[[2|12210000|1]|[2|12210200|300]],[[60041100|4]],,-1,14,-1,60041100
60041106,1055|60,[[1055|60]],"2|12210000|1,2|12210200|300",,24000,6,60041100|5,[[2|12210000|1]|[2|12210200|300]],[[60041100|5]],,-1,14,-1,60041100
60041107,1055|70,[[1055|70]],"2|12210000|1,2|12210200|300",,28000,7,60041100|6,[[2|12210000|1]|[2|12210200|300]],[[60041100|6]],,-1,14,-1,60041100
60041108,1055|80,[[1055|80]],"2|12210000|1,2|12210200|300",,32000,8,60041100|7,[[2|12210000|1]|[2|12210200|300]],[[60041100|7]],,-1,14,-1,60041100
60041109,1055|90,[[1055|90]],"2|12210000|1,2|12210200|300",,36000,9,60041100|8,[[2|12210000|1]|[2|12210200|300]],[[60041100|8]],,-1,14,-1,60041100
60041110,1055|100,[[1055|100]],"2|12210000|1,2|12210200|300",,40000,10,60041100|9,[[2|12210000|1]|[2|12210200|300]],[[60041100|9]],,-1,14,-1,60041100
60050901,1061|8000,[[1061|8000]],"2|12210000|1,2|12210200|600",,4000,1,"60040700|10,60040900|10,60041100|10",[[2|12210000|1]|[2|12210200|600]],[[60040700|10]|[60040900|10]|[60041100|10]],,-1,14,-1,60050900
60050902,1061|16000,[[1061|16000]],"2|12210000|1,2|12210200|600",,8000,2,60050900|1,[[2|12210000|1]|[2|12210200|600]],[[60050900|1]],,-1,15,-1,60050900
60050903,1061|24000,[[1061|24000]],"2|12210000|1,2|12210200|600",,12000,3,60050900|2,[[2|12210000|1]|[2|12210200|600]],[[60050900|2]],,-1,16,-1,60050900
60050904,1061|32000,[[1061|32000]],"2|12210000|1,2|12210200|600",,16000,4,60050900|3,[[2|12210000|1]|[2|12210200|600]],[[60050900|3]],,-1,17,-1,60050900
60050905,1061|40000,[[1061|40000]],"2|12210000|1,2|12210200|600",,20000,5,60050900|4,[[2|12210000|1]|[2|12210200|600]],[[60050900|4]],,-1,18,-1,60050900
70010301,1202|100,[[1202|100]],2|12210000|1,,500,1,,[[2|12210000|1]],[],,-1,1,-1,70010300
70010302,1202|200,[[1202|200]],2|12210000|1,,1000,2,70010300|1,[[2|12210000|1]],[[70010300|1]],,-1,1,-1,70010300
70010303,1202|300,[[1202|300]],2|12210000|1,,1500,3,70010300|2,[[2|12210000|1]],[[70010300|2]],,-1,2,-1,70010300
70010304,1202|400,[[1202|400]],2|12210000|1,,2000,4,70010300|3,[[2|12210000|1]],[[70010300|3]],,-1,2,-1,70010300
70010305,1202|500,[[1202|500]],2|12210000|1,,2500,5,70010300|4,[[2|12210000|1]],[[70010300|4]],,-1,3,-1,70010300
70020101,1004|800,[[1004|800]],2|12210000|1,,1000,1,70010300|5,[[2|12210000|1]],[[70010300|5]],,-1,4,-1,70020100
70020102,1004|1600,[[1004|1600]],2|12210000|1,,2000,2,70020100|1,[[2|12210000|1]],[[70020100|1]],,-1,4,-1,70020100
70020103,1004|2400,[[1004|2400]],2|12210000|1,,3000,3,70020100|2,[[2|12210000|1]],[[70020100|2]],,-1,4,-1,70020100
70020104,1004|3200,[[1004|3200]],2|12210000|1,,4000,4,70020100|3,[[2|12210000|1]],[[70020100|3]],,-1,5,-1,70020100
70020105,1004|4000,[[1004|4000]],2|12210000|1,,5000,5,70020100|4,[[2|12210000|1]],[[70020100|4]],,-1,5,-1,70020100
70020301,1005|800,[[1005|800]],2|12210000|1,,1000,1,70010300|5,[[2|12210000|1]],[[70010300|5]],,-1,4,-1,70020300
70020302,1005|1600,[[1005|1600]],2|12210000|1,,2000,2,70020300|1,[[2|12210000|1]],[[70020300|1]],,-1,4,-1,70020300
70020303,1005|2400,[[1005|2400]],2|12210000|1,,3000,3,70020300|2,[[2|12210000|1]],[[70020300|2]],,-1,4,-1,70020300
70020304,1005|3200,[[1005|3200]],2|12210000|1,,4000,4,70020300|3,[[2|12210000|1]],[[70020300|3]],,-1,5,-1,70020300
70020305,1005|4000,[[1005|4000]],2|12210000|1,,5000,5,70020300|4,[[2|12210000|1]],[[70020300|4]],,-1,5,-1,70020300
70020501,1006|800,[[1006|800]],2|12210000|1,,1000,1,70010300|5,[[2|12210000|1]],[[70010300|5]],,-1,4,-1,70020500
