id,attr_1,attr_2,break_cost,break_extra_cost,break_extra_cost_num,hero_id,link_goods,link_skill,link_star,power,quality,rate_1,rate_2,show_star,skin,special,star,star_dec,star_name,star_sub,universal_cost,unlock_time,unlock_weekday,unlock_weekday_2
10020304,,,2|10020|30,-1,-1,10020,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,31,0|1,0|1
10020305,,,2|10020|40,3017,4,10020,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,142,31,0|1,0|1
10020400,,,,-1,-1,10020,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11020,4,4,hero_awaken_10020_dec_4,hero_awaken_10020_stage_4,0,-1,31,0|1,0|1
10023000,,,2|10023|5,3019,1,10023,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,142,31,0|1,0|1
10023100,,,2|10023|5,-1,-1,10023,-1,1002313,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10023_dec_01,hero_awaken_10023_stage_1,0,-1,31,0|1,0|1
10023101,,,2|10023|10,-1,-1,10023,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,31,0|1,0|1
10023102,,,2|10023|10,-1,-1,10023,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,31,0|1,0|1
10023103,,,2|10023|10,-1,-1,10023,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,31,0|1,0|1
10023104,,,2|10023|15,-1,-1,10023,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,31,0|1,0|1
10023105,,,2|10023|15,3019,2,10023,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,142,31,0|1,0|1
10023200,,,2|10023|15,-1,-1,10023,-1,1002304,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10023_dec_2,hero_awaken_10023_stage_2,0,-1,31,0|1,0|1
10023201,,,2|10023|15,-1,-1,10023,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,31,0|1,0|1
10023202,,,2|10023|20,-1,-1,10023,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,31,0|1,0|1
10023203,,,2|10023|20,-1,-1,10023,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,31,0|1,0|1
10023204,,,2|10023|20,-1,-1,10023,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,31,0|1,0|1
10023205,,,2|10023|20,3019,2,10023,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,142,31,0|1,0|1
10023300,,,2|10023|20,-1,-1,10023,-1,1002313,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10023_dec_03,hero_awaken_10023_stage_3,0,-1,31,0|1,0|1
10023301,,,2|10023|20,-1,-1,10023,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,31,0|1,0|1
10023302,,,2|10023|30,-1,-1,10023,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,31,0|1,0|1
10023303,,,2|10023|30,-1,-1,10023,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,31,0|1,0|1
10023304,,,2|10023|30,-1,-1,10023,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,31,0|1,0|1
10023305,,,2|10023|40,3019,4,10023,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,142,31,0|1,0|1
10023400,,,,-1,-1,10023,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11023,4,4,hero_awaken_10023_dec_4,hero_awaken_10023_stage_4,0,-1,31,0|1,0|1
10024000,,,2|10024|5,3014,1,10024,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,141,14,0|1,0|1
10024100,,,2|10024|5,-1,-1,10024,-1,1002413,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10024_dec_1,hero_awaken_10024_stage_1,0,-1,14,0|1,0|1
10024101,,,2|10024|10,-1,-1,10024,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,14,0|1,0|1
10024102,,,2|10024|10,-1,-1,10024,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,14,0|1,0|1
10024103,,,2|10024|10,-1,-1,10024,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,14,0|1,0|1
10024104,,,2|10024|15,-1,-1,10024,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,14,0|1,0|1
10024105,,,2|10024|15,3014,2,10024,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,141,14,0|1,0|1
10024200,,,2|10024|15,-1,-1,10024,-1,1002404,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10024_dec_2,hero_awaken_10024_stage_2,0,-1,14,0|1,0|1
10024201,,,2|10024|15,-1,-1,10024,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,14,0|1,0|1
10024202,,,2|10024|20,-1,-1,10024,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,14,0|1,0|1
10024203,,,2|10024|20,-1,-1,10024,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,14,0|1,0|1
10024204,,,2|10024|20,-1,-1,10024,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,14,0|1,0|1
10024205,,,2|10024|20,3014,2,10024,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,141,14,0|1,0|1
10024300,,,2|10024|20,-1,-1,10024,-1,1002413,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10024_dec_3,hero_awaken_10024_stage_3,0,-1,14,0|1,0|1
10024301,,,2|10024|20,-1,-1,10024,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,14,0|1,0|1
10024302,,,2|10024|30,-1,-1,10024,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,14,0|1,0|1
10024303,,,2|10024|30,-1,-1,10024,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,14,0|1,0|1
10024304,,,2|10024|30,-1,-1,10024,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,14,0|1,0|1
10024305,,,2|10024|40,3014,4,10024,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,141,14,0|1,0|1
10024400,,,,-1,-1,10024,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11024,4,4,hero_awaken_10024_dec_4,hero_awaken_10024_stage_4,0,-1,14,0|1,0|1
10027000,,,2|10027|5,3013,1,10027,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,141,26,0|1,0|1
10027100,,,2|10027|5,-1,-1,10027,-1,1002713,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10028_dec_1,hero_awaken_10027_stage_1,0,-1,26,0|1,0|1
10027101,,,2|10027|10,-1,-1,10027,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,26,0|1,0|1
10027102,,,2|10027|10,-1,-1,10027,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,26,0|1,0|1
10027103,,,2|10027|10,-1,-1,10027,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,26,0|1,0|1
10027104,,,2|10027|15,-1,-1,10027,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,26,0|1,0|1
10027105,,,2|10027|15,3013,2,10027,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,141,26,0|1,0|1
10027200,,,2|10027|15,-1,-1,10027,-1,1002704,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10027_dec_2,hero_awaken_10027_stage_2,0,-1,26,0|1,0|1
10027201,,,2|10027|15,-1,-1,10027,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,26,0|1,0|1
10027202,,,2|10027|20,-1,-1,10027,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,26,0|1,0|1
10027203,,,2|10027|20,-1,-1,10027,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,26,0|1,0|1
10027204,,,2|10027|20,-1,-1,10027,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,26,0|1,0|1
10027205,,,2|10027|20,3013,2,10027,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,141,26,0|1,0|1
10027300,,,2|10027|20,-1,-1,10027,-1,1002713,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10028_dec_3,hero_awaken_10027_stage_3,0,-1,26,0|1,0|1
10027301,,,2|10027|20,-1,-1,10027,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,26,0|1,0|1
10027302,,,2|10027|30,-1,-1,10027,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,26,0|1,0|1
10027303,,,2|10027|30,-1,-1,10027,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,26,0|1,0|1
10027304,,,2|10027|30,-1,-1,10027,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,26,0|1,0|1
10027305,,,2|10027|40,3013,4,10027,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,141,26,0|1,0|1
10027400,,,,-1,-1,10027,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11027,4,4,hero_awaken_10027_dec_4,hero_awaken_10027_stage_4,0,-1,26,0|1,0|1
10031000,,,2|10031|5,3012,1,10031,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,141,14,0|1,0|1
10031100,,,2|10031|5,-1,-1,10031,-1,1003113,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10031_dec_1,hero_awaken_10031_stage_1,0,-1,14,0|1,0|1
10031101,,,2|10031|10,-1,-1,10031,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,14,0|1,0|1
10031102,,,2|10031|10,-1,-1,10031,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,14,0|1,0|1
10031103,,,2|10031|10,-1,-1,10031,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,14,0|1,0|1
10031104,,,2|10031|15,-1,-1,10031,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,14,0|1,0|1
10031105,,,2|10031|15,3012,2,10031,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,141,14,0|1,0|1
10031200,,,2|10031|15,-1,-1,10031,-1,1003104,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10031_dec_2,hero_awaken_10031_stage_2,0,-1,14,0|1,0|1
10031201,,,2|10031|15,-1,-1,10031,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,14,0|1,0|1
10031202,,,2|10031|20,-1,-1,10031,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,14,0|1,0|1
10031203,,,2|10031|20,-1,-1,10031,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,14,0|1,0|1
10031204,,,2|10031|20,-1,-1,10031,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,14,0|1,0|1
10031205,,,2|10031|20,3012,2,10031,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,141,14,0|1,0|1
10031300,,,2|10031|20,-1,-1,10031,-1,1003113,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10031_dec_3,hero_awaken_10031_stage_3,0,-1,14,0|1,0|1
10031301,,,2|10031|20,-1,-1,10031,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,14,0|1,0|1
10031302,,,2|10031|30,-1,-1,10031,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,14,0|1,0|1
10031303,,,2|10031|30,-1,-1,10031,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,14,0|1,0|1
10031304,,,2|10031|30,-1,-1,10031,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,14,0|1,0|1
10031305,,,2|10031|40,3012,4,10031,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,141,14,0|1,0|1
10031400,,,,-1,-1,10031,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11031,4,4,hero_awaken_10031_dec_4,hero_awaken_10031_stage_4,0,-1,14,0|1,0|1
10035000,,,2|10035|5,3005,1,10035,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,143,30,0|1,7|1
10035100,,,2|10035|5,-1,-1,10035,-1,1003513,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10035_dec_1,hero_awaken_10035_stage_1,0,-1,30,0|1,7|1
10035101,,,2|10035|10,-1,-1,10035,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,30,0|1,7|1
10035102,,,2|10035|10,-1,-1,10035,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,30,0|1,7|1
10035103,,,2|10035|10,-1,-1,10035,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,30,0|1,7|1
10035104,,,2|10035|15,-1,-1,10035,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,30,0|1,7|1
10035105,,,2|10035|15,3005,2,10035,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,143,30,0|1,7|1
10035200,,,2|10035|15,-1,-1,10035,-1,1003504,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10035_dec_2,hero_awaken_10035_stage_2,0,-1,30,0|1,7|1
10035201,,,2|10035|15,-1,-1,10035,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,30,0|1,7|1
10035202,,,2|10035|20,-1,-1,10035,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,30,0|1,7|1
10035203,,,2|10035|20,-1,-1,10035,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,30,0|1,7|1
10035204,,,2|10035|20,-1,-1,10035,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,30,0|1,7|1
10035205,,,2|10035|20,3005,2,10035,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,143,30,0|1,7|1
10035300,,,2|10035|20,-1,-1,10035,-1,1003513,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10035_dec_3,hero_awaken_10035_stage_3,0,-1,30,0|1,7|1
10035301,,,2|10035|20,-1,-1,10035,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,30,0|1,7|1
10035302,,,2|10035|30,-1,-1,10035,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,30,0|1,7|1
10035303,,,2|10035|30,-1,-1,10035,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,30,0|1,7|1
10035304,,,2|10035|30,-1,-1,10035,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,30,0|1,7|1
10035305,,,2|10035|40,3005,4,10035,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,143,30,0|1,7|1
10035400,,,,-1,-1,10035,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11035,4,4,hero_awaken_10035_dec_4,hero_awaken_10035_stage_4,0,-1,30,0|1,7|1
10036000,,,2|10036|5,3006,1,10036,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,143,29,0|1,0|1
10036100,,,2|10036|5,-1,-1,10036,-1,1002913,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10028_dec_1,hero_awaken_10036_stage_1,0,-1,29,0|1,0|1
10036101,,,2|10036|10,-1,-1,10036,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,29,0|1,0|1
10036102,,,2|10036|10,-1,-1,10036,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,29,0|1,0|1
10036103,,,2|10036|10,-1,-1,10036,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,29,0|1,0|1
10036104,,,2|10036|15,-1,-1,10036,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,29,0|1,0|1
10036105,,,2|10036|15,3006,2,10036,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,143,29,0|1,0|1
10036200,,,2|10036|15,-1,-1,10036,-1,1002904,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10036_dec_2,hero_awaken_10036_stage_2,0,-1,29,0|1,0|1
10036201,,,2|10036|15,-1,-1,10036,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,29,0|1,0|1
10036202,,,2|10036|20,-1,-1,10036,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,29,0|1,0|1
10036203,,,2|10036|20,-1,-1,10036,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,29,0|1,0|1
10036204,,,2|10036|20,-1,-1,10036,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,29,0|1,0|1
10036205,,,2|10036|20,3006,2,10036,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,143,29,0|1,0|1
10036300,,,2|10036|20,-1,-1,10036,-1,1002913,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10028_dec_3,hero_awaken_10036_stage_3,0,-1,29,0|1,0|1
10036301,,,2|10036|20,-1,-1,10036,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,29,0|1,0|1
10036302,,,2|10036|30,-1,-1,10036,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,29,0|1,0|1
10036303,,,2|10036|30,-1,-1,10036,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,29,0|1,0|1
10036304,,,2|10036|30,-1,-1,10036,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,29,0|1,0|1
10036305,,,2|10036|40,3006,4,10036,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,143,29,0|1,0|1
10036400,,,,-1,-1,10036,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11036,4,4,hero_awaken_10036_dec_4,hero_awaken_10036_stage_4,0,-1,29,0|1,0|1
10038000,,,2|10038|5,3016,1,10038,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,142,31,0|1,0|1
10038100,,,2|10038|5,-1,-1,10038,-1,1003813,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10038_dec_1,hero_awaken_10038_stage_1,0,-1,31,0|1,0|1
10038101,,,2|10038|10,-1,-1,10038,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,31,0|1,0|1
10038102,,,2|10038|10,-1,-1,10038,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,31,0|1,0|1
10038103,,,2|10038|10,-1,-1,10038,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,31,0|1,0|1
10038104,,,2|10038|15,-1,-1,10038,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,31,0|1,0|1
10038105,,,2|10038|15,3016,2,10038,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,142,31,0|1,0|1
10038200,,,2|10038|15,-1,-1,10038,-1,1003804,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10038_dec_2,hero_awaken_10038_stage_2,0,-1,31,0|1,0|1
10038201,,,2|10038|15,-1,-1,10038,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,31,0|1,0|1
10038202,,,2|10038|20,-1,-1,10038,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,31,0|1,0|1
10038203,,,2|10038|20,-1,-1,10038,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,31,0|1,0|1
10038204,,,2|10038|20,-1,-1,10038,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,31,0|1,0|1
10038205,,,2|10038|20,3016,2,10038,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,142,31,0|1,0|1
10038300,,,2|10038|20,-1,-1,10038,-1,1003813,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10038_dec_3,hero_awaken_10038_stage_3,0,-1,31,0|1,0|1
10038301,,,2|10038|20,-1,-1,10038,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,31,0|1,0|1
10038302,,,2|10038|30,-1,-1,10038,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,31,0|1,0|1
10038303,,,2|10038|30,-1,-1,10038,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,31,0|1,0|1
10038304,,,2|10038|30,-1,-1,10038,-1,-1,11,1.51,-1,3|1.37,4|1.51,9,-1,-1,3,,,4,-1,31,0|1,0|1
10038305,,,2|10038|40,3016,4,10038,-1,-1,11,1.56,-1,3|1.37,4|1.6,9,-1,-1,3,,,5,142,31,0|1,0|1
10038400,,,,-1,-1,10038,-1,-1,11,1.6,6,3|1.6,4|1.6,9,11038,4,4,hero_awaken_10038_dec_4,hero_awaken_10038_stage_4,0,-1,31,0|1,0|1
10040000,,,2|10040|5,3010,1,10040,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,143,30,0|1,6|6
10040100,,,2|10040|5,-1,-1,10040,-1,1004013,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10023_dec_01,hero_awaken_10040_stage_1,0,-1,30,0|1,6|6
10040101,,,2|10040|10,-1,-1,10040,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,30,0|1,6|6
10040102,,,2|10040|10,-1,-1,10040,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,30,0|1,6|6
10040103,,,2|10040|10,-1,-1,10040,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,30,0|1,6|6
10040104,,,2|10040|15,-1,-1,10040,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,30,0|1,6|6
10040105,,,2|10040|15,3010,2,10040,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,143,30,0|1,6|6
10040200,,,2|10040|15,-1,-1,10040,-1,1004004,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10040_dec_2,hero_awaken_10040_stage_2,0,-1,30,0|1,6|6
10040201,,,2|10040|15,-1,-1,10040,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,30,0|1,6|6
10040202,,,2|10040|20,-1,-1,10040,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,30,0|1,6|6
