id,iconAtlas,button,city_lv,desc,function,go_target,goTargetArr,icon,icon_atlas,name,numerical_show,recommend,scene,task_guide,type
40501,Atlas/UI_Function,,-1,,-1,40507,[40507],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40502,Atlas/UI_Function,,-1,,-1,40502,[40502],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40503,Atlas/UI_Function,,-1,,-1,40503,[40503],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40504,Atlas/UI_Function,,-1,,-1,40504,[40504],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40505,Atlas/UI_Function,,-1,,-1,40505,[40505],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40506,Atlas/UI_Function,,-1,,-1,40506,[40506],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40601,Atlas/UI_Function,,-1,,-1,40601,[40601],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40602,Atlas/UI_Function,,-1,,-1,40602,[40602],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40603,Atlas/UI_Function,,-1,,-1,40603,[40603],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40604,Atlas/UI_Function,,-1,,-1,40604,[40604],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40605,Atlas/UI_Function,,-1,,-1,40605,[40605],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40606,Atlas/UI_Function,,-1,,-1,40606,[40606],Activity_11,,pay_tehui_5,-1,1,0,-1,4
45001,Atlas/UI_Function,,-1,,-1,45001,[45001],Activity_11,,pay_tehui_5,-1,1,0,-1,4
45101,Atlas/UI_Function,,-1,,-1,45101,[45101],Activity_11,,pay_tehui_5,-1,1,0,-1,4
48100,Atlas/UI_Item,,-1,,-1,48100,[48100],icon_10007,Atlas/UI_Item,energy_gain_003,-1,1,0,-1,8
48101,Atlas/UI_Function,,-1,,-1,48101,[48101],Activity_11,,pay_tehui_5,-1,1,0,-1,4
48102,Atlas/UI_Function,,-1,,-1,48102,[48102],Activity_11,,pay_tehui_5,-1,1,0,-1,4
50301,Atlas/UI_Function,,-1,,-1,301000001,[301000001],Activity_10,,function_name_207,-1,1,0,-1,5
50302,Atlas/UI_Function,,-1,,-1,302000001,[302000001],Activity_10,,function_name_207,-1,1,0,-1,5
50303,Atlas/UI_Function,,-1,,-1,303000001,[303000001],Activity_10,,function_name_207,-1,1,0,-1,5
50304,Atlas/UI_Function,,-1,,-1,304000001,[304000001],Activity_10,,function_name_207,-1,1,0,-1,5
50305,Atlas/UI_Function,,-1,,-1,305000001,[305000001],Activity_10,,function_name_207,-1,1,0,-1,5
50306,Atlas/UI_Function,,-1,,-1,306000001,[306000001],Activity_10,,function_name_207,-1,1,0,-1,5
50307,Atlas/UI_Function,,-1,,-1,307000001,[307000001],Activity_10,,function_name_207,-1,1,0,-1,5
50308,Atlas/UI_Function,,-1,,-1,308000001,[308000001],Activity_10,,function_name_207,-1,1,0,-1,5
50309,Atlas/UI_Function,,-1,,-1,309000001,[309000001],Activity_10,,function_name_207,-1,1,0,-1,5
50310,Atlas/UI_Function,,-1,,-1,310000001,[310000001],Activity_10,,function_name_207,0,-1,0,-1,5
50311,Atlas/UI_Function,,-1,,-1,311000001,[311000001],Activity_10,,function_name_207,0,-1,0,-1,5
50312,Atlas/UI_Function,,-1,,-1,312000001,[312000001],Activity_10,,function_name_207,0,-1,0,-1,5
50313,Atlas/UI_Function,,-1,,-1,313000001,[313000001],Activity_10,,function_name_207,-1,1,0,-1,5
50314,Atlas/UI_Function,,-1,,-1,314000001,[314000001],Activity_10,,function_name_207,-1,1,0,-1,5
50315,Atlas/UI_Function,,-1,,-1,315000001,[315000001],Activity_10,,function_name_207,-1,1,0,-1,5
50316,Atlas/UI_Function,,-1,,-1,316000001,[316000001],Activity_10,,function_name_207,-1,1,0,-1,5
50319,Atlas/UI_Function,,-1,,-1,319000001,[319000001],Activity_10,,function_name_207,-1,-1,0,-1,5
50320,Atlas/UI_Function,,-1,,-1,320000001,[320000001],Activity_10,,function_name_207,-1,-1,0,-1,5
50321,Atlas/UI_Function,,-1,,-1,321000001,[321000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5051301,Atlas/UI_Function,,-1,,-1,513000001,[513000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5051302,Atlas/UI_Function,,-1,,-1,513000002,[513000002],Activity_10,,function_name_207,-1,-1,0,-1,5
5051303,Atlas/UI_Function,,-1,,-1,513000003,[513000003],Activity_10,,function_name_207,-1,-1,0,-1,5
5051304,Atlas/UI_Function,,-1,,-1,513000004,[513000004],Activity_10,,function_name_207,-1,-1,0,-1,5
50324,Atlas/UI_Function,,-1,,-1,324000001,[324000001],Activity_10,,function_name_207,-1,1,0,-1,5
50325,Atlas/UI_Function,,-1,,-1,327000001,[327000001],Activity_10,,function_name_207,1,-1,0,-1,5
50326,Atlas/UI_Function,,-1,,-1,328000001,[328000001],Activity_10,,function_name_207,1,-1,0,-1,5
50327,Atlas/UI_Function,,-1,,-1,329000001,[329000001],Activity_10,,function_name_207,1,-1,0,-1,5
5060100,Atlas/UI_Function,,-1,,-1,601000001,[601000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060200,Atlas/UI_Function,,-1,,-1,602000001,[602000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060300,Atlas/UI_Function,,-1,,-1,603000001,[603000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060400,Atlas/UI_Function,,-1,,-1,604000001,[604000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060500,Atlas/UI_Function,,-1,,-1,605000001,[605000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060600,Atlas/UI_Function,,-1,,-1,606000001,[606000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060610,Atlas/UI_Function,,-1,,-1,606000002,[606000002],Activity_10,,function_name_207,-1,-1,0,-1,5
5060700,Atlas/UI_Function,,-1,,-1,607000001,[607000001],Activity_10,,function_name_207,-1,-1,0,-1,5
5060800,Atlas/UI_Function,,-1,,-1,608000001,[608000001],Activity_10,,function_name_207,-1,-1,0,-1,5
