id,display_value,gift,giftIds,group,mail_id,name,race_type,rank_reward,reward,score,sub,target_score,targetScores,targetStageExtraRewardValues,targetStagePointRewards,targetTasks
17,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1106,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
18,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1106,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
19,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1107,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
20,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1107,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
21,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],1107,3001,racechallenge_name1,1,1001,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
22,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2101,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
23,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2101,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
24,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2101,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
25,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2102,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
26,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2102,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
27,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2102,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
28,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2103,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
29,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2103,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
30,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2103,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
31,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2104,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
32,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2104,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
33,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2104,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
34,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2105,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
35,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2105,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
36,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2105,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
37,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2106,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
38,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2106,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
39,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2106,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
40,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2107,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
41,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2107,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
42,,[830001|830002|830003|830004|830005],[830001|830002|830003|830004|830005],2107,3001,racechallenge_name2,1,1002,[4488|4489|4490|4488|4489|4490|4488|4489|4490|4488|4489|4490],[50320001|50320002|50320003|50320004|50320005|50320006|50320007],"1|8,9|10,11|13,14|9999",[200|400|600|300|500|700|400|600|800|500|700|900],[[200|400|600]|[300|500|700]|[400|600|800]|[500|700|900]],[],[[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]|[4488|4489|4490]],[50320001|50320002|50320003|50320004|50320005|50320006|50320007]
101,,[9051001|9051002|9051003|9051004|9051005],[9051001|9051002|9051003|9051004|9051005],10001,3001,race_name_111,1,0,[9226101|9226201|9226301|9226102|9226202|9226302|9226103|9226203|9226303|9226104|9226204|9226304|9226105|9226205|9226305|9226106|9226206|9226306],[9041001|9041002|9041064],"1|10,11|15,16|20,21|25,26|28,29|999",[700|4600|29400|1400|9600|61200|2200|15300|97900|2800|19100|122300|2800|19100|122300|2800|19100|122300],[[700|4600|29400]|[1400|9600|61200]|[2200|15300|97900]|[2800|19100|122300]|[2800|19100|122300]|[2800|19100|122300]],[],[[9226101|9226201|9226301]|[9226102|9226202|9226302]|[9226103|9226203|9226303]|[9226104|9226204|9226304]|[9226105|9226205|9226305]|[9226106|9226206|9226306]],[9041001|9041002|9041064]
102,,[9051006|9051007|9051008|9051009|9051010],[9051006|9051007|9051008|9051009|9051010],10001,3001,race_name_222,1,0,[9227101|9227201|9227301|9227102|9227202|9227302|9227103|9227203|9227303|9227104|9227204|9227304|9227105|9227205|9227305|9227106|9227206|9227306],[9041059|9041060|9041061|9041064],"1|10,11|15,16|20,21|25,26|28,29|999",[2300|15900|102200|3100|21300|136400|3100|21300|136400|3100|21300|136400|3800|26600|170700|3800|26600|170700],[[2300|15900|102200]|[3100|21300|136400]|[3100|21300|136400]|[3100|21300|136400]|[3800|26600|170700]|[3800|26600|170700]],[],[[9227101|9227201|9227301]|[9227102|9227202|9227302]|[9227103|9227203|9227303]|[9227104|9227204|9227304]|[9227105|9227205|9227305]|[9227106|9227206|9227306]],[9041059|9041060|9041061|9041064]
103,,[9051011|9051012|9051013|9051014|9051015],[9051011|9051012|9051013|9051014|9051015],10001,3001,race_name_333,1,0,[9225101|9225201|9225301|9225102|9225202|9225302|9225103|9225203|9225303|9225104|9225204|9225304|9225105|9225205|9225305|9225106|9225206|9225306],[9041029|9041030|9041031|9041032|9041033|9041034|9041035|9041036|9041037|9041038|9041039|9041040|9041041|9041042|9041043|9041044|9041045|9041046|9041047|9041048|9041049|9041050|9041051|9041052|9041053|9041054|9041055|9041056|9041057|9041058],"1|10,11|15,16|20,21|25,26|28,29|999",[300|2000|12800|800|5300|34000|1600|10600|68000|2400|16600|106200|3000|20500|131700|3400|23200|148600],[[300|2000|12800]|[800|5300|34000]|[1600|10600|68000]|[2400|16600|106200]|[3000|20500|131700]|[3400|23200|148600]],[],[[9225101|9225201|9225301]|[9225102|9225202|9225302]|[9225103|9225203|9225303]|[9225104|9225204|9225304]|[9225105|9225205|9225305]|[9225106|9225206|9225306]],[9041029|9041030|9041031|9041032|9041033|9041034|9041035|9041036|9041037|9041038|9041039|9041040|9041041|9041042|9041043|9041044|9041045|9041046|9041047|9041048|9041049|9041050|9041051|9041052|9041053|9041054|9041055|9041056|9041057|9041058]
104,,[9051001|9051002|9051003|9051004|9051005],[9051001|9051002|9051003|9051004|9051005],10002,3001,race_name_111,1,0,[9225101|9225201|9225301|9225102|9225202|9225302|9225103|9225203|9225303|9225104|9225204|9225304|9225105|9225205|9225305|9225106|9225206|9225306],[9041001|9041064],"1|10,11|15,16|20,21|25,26|28,29|999",[700|4600|29400|1400|9600|61200|2200|15300|97900|2800|19100|122300|2800|19100|122300|2800|19100|122300],[[700|4600|29400]|[1400|9600|61200]|[2200|15300|97900]|[2800|19100|122300]|[2800|19100|122300]|[2800|19100|122300]],[],[[9225101|9225201|9225301]|[9225102|9225202|9225302]|[9225103|9225203|9225303]|[9225104|9225204|9225304]|[9225105|9225205|9225305]|[9225106|9225206|9225306]],[9041001|9041064]
105,,[9051016|9051017|9051018|9051019|9051020],[9051016|9051017|9051018|9051019|9051020],10002,3001,race_name_111,1,0,[9225101|9225201|9225301|9225102|9225202|9225302|9225103|9225203|9225303|9225104|9225204|9225304|9225105|9225205|9225305|9225106|9225206|9225306],[9041008|9041064],"1|10,11|15,16|20,21|25,26|28,29|999",[600|3900|24500|1200|8000|51000|1900|12700|81600|2300|15900|101900|2300|15900|101900|2200|15300|97900],[[600|3900|24500]|[1200|8000|51000]|[1900|12700|81600]|[2300|15900|101900]|[2300|15900|101900]|[2200|15300|97900]],[],[[9225101|9225201|9225301]|[9225102|9225202|9225302]|[9225103|9225203|9225303]|[9225104|9225204|9225304]|[9225105|9225205|9225305]|[9225106|9225206|9225306]],[9041008|9041064]
