id,assist_reward,hero_condition,hero_num,heroCondition,icon,model,name,quality,reward_resource_can_steal,reward_resource_no_steal,star,steal_num,steal_percentage,time,type,ui_banner,weight
3103,1321083,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321063,1321073,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
3201,1321084,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321064,1321074,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
3202,1321085,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321065,1321075,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
3203,1321086,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321066,1321076,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
3301,1321087,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321067,1321077,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
3302,1321088,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321068,1321078,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
3303,1321089,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321069,1321079,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
3401,1321090,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321070,1321080,3,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
4101,1321111,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321091,1321101,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
4102,1321112,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321092,1321102,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
4103,1321113,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321093,1321103,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
4201,1321114,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321094,1321104,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
4202,1321115,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321095,1321105,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
4203,1321116,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321096,1321106,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
4301,1321117,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321097,1321107,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
4302,1321118,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321098,1321108,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
4303,1321119,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321099,1321109,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
4401,1321120,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321100,1321110,4,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
5101,1321141,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321121,1321131,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
5102,1321142,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321122,1321132,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
5103,1321143,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321123,1321133,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
5201,1321144,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321124,1321134,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
5202,1321145,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321125,1321135,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
5203,1321146,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321126,1321136,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
5301,1321147,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321127,1321137,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
5302,1321148,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321128,1321138,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
5303,1321149,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321129,1321139,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
5401,1321150,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321130,1321140,5,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
11101,1321171,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321151,1321161,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
11102,1321172,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321152,1321162,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
11103,1321173,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321153,1321163,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
11201,1321174,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321154,1321164,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
11202,1321175,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321155,1321165,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
11203,1321176,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321156,1321166,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
11301,1321177,[3|3|1|2|50|2],2,[[3|3|1]|[2|50|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321157,1321167,1,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
11302,1321178,[3|3|2|2|55|2],2,[[3|3|2]|[2|55|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321158,1321168,1,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
11303,1321179,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321159,1321169,1,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
11401,1321180,[3|4|1|1|4|1|2|60|3],3,[[3|4|1]|[1|4|1]|[2|60|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321160,1321170,1,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
12101,1321201,[3|4|1|2|60|2],2,[[3|4|1]|[2|60|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321181,1321191,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
12102,1321202,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321182,1321192,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
12103,1321203,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321183,1321193,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
12201,1321204,[3|4|1|2|60|2],3,[[3|4|1]|[2|60|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321184,1321194,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
12202,1321205,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321185,1321195,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
12203,1321206,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321186,1321196,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
12301,1321207,[3|4|1|2|60|2],3,[[3|4|1]|[2|60|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321187,1321197,2,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
12302,1321208,[3|4|2|2|70|2],3,[[3|4|2]|[2|70|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321188,1321198,2,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
12303,1321209,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321189,1321199,2,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
12401,1321210,[3|5|2|1|4|1|2|80|3],3,[[3|5|2]|[1|4|1]|[2|80|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321190,1321200,2,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
13101,1321231,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321211,1321221,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
13102,1321232,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321212,1321222,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
13103,1321233,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321213,1321223,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
13201,1321234,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321214,1321224,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
13202,1321235,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321215,1321225,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
13203,1321236,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321216,1321226,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
13301,1321237,[3|4|1|2|70|2],3,[[3|4|1]|[2|70|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321217,1321227,3,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
13302,1321238,[3|5|2|1|4|1|2|80|2],3,[[3|5|2]|[1|4|1]|[2|80|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321218,1321228,3,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
13303,1321239,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321219,1321229,3,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
13401,1321240,[3|6|2|1|5|1|2|100|3],3,[[3|6|2]|[1|5|1]|[2|100|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321220,1321230,3,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
14101,1321261,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321241,1321251,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
14102,1321262,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321242,1321252,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
14103,1321263,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321243,1321253,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
14201,1321264,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321244,1321254,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
14202,1321265,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321245,1321255,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
14203,1321266,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321246,1321256,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
14301,1321267,[3|5|1|2|80|2],3,[[3|5|1]|[2|80|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321247,1321257,4,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
14302,1321268,[3|6|2|1|4|1|2|100|2],3,[[3|6|2]|[1|4|1]|[2|100|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321248,1321258,4,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
14303,1321269,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321249,1321259,4,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
14401,1321270,[3|7|2|1|5|1|2|120|3],3,[[3|7|2]|[1|5|1]|[2|120|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321250,1321260,4,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
15101,1321291,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_boss,dig_treasure1,dig_treasure_27,3,1321271,1321281,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
15102,1321292,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_boss,dig_treasure4,dig_treasure_27,4,1321272,1321282,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
15103,1321293,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_boss,dig_treasure3,dig_treasure_27,5,1321273,1321283,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
15201,1321294,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_mining,dig_treasure1,dig_treasure_28,3,1321274,1321284,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
15202,1321295,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_mining,dig_treasure4,dig_treasure_28,4,1321275,1321285,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
15203,1321296,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_mining,dig_treasure3,dig_treasure_28,5,1321276,1321286,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
15301,1321297,[3|6|1|2|90|2],3,[[3|6|1]|[2|90|2]],icon_remainsTsk_search,dig_treasure1,dig_treasure_29,3,1321277,1321287,5,3,System.Int32[],1800,1,banner_bubble_dig_treasure_1,68
15302,1321298,[3|6|2|1|4|1|2|110|2],3,[[3|6|2]|[1|4|1]|[2|110|2]],icon_remainsTsk_search,dig_treasure4,dig_treasure_29,4,1321278,1321288,5,3,System.Int32[],3600,1,banner_bubble_dig_treasure_3,24
15303,1321299,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_search,dig_treasure3,dig_treasure_29,5,1321279,1321289,5,3,System.Int32[],7200,1,banner_bubble_dig_treasure_2,8
15401,1321300,[3|8|2|1|5|1|2|140|3],3,[[3|8|2]|[1|5|1]|[2|140|3]],icon_remainsTsk_box,dig_treasure2,dig_treasure_30,5,1321280,1321290,5,3,System.Int32[],14400,2,banner_bubble_dig_treasure_4,5
