id,attr,attrs,component,desc,fihtforce,name,num,strAttrs,suit_id
100202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],1002
100204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],1002
100302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],1003
100304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],1003
1101104,,{},-1,equipment_suit_desc_1101_1,3000,equipment_suit_1101,4,[],11011
1101204,,{},-1,equipment_suit_desc_1101_2,9000,equipment_suit_1101,4,[],11012
1101304,,{},-1,equipment_suit_desc_1101_3,18000,equipment_suit_1101,4,[],11013
1102104,,{},-1,equipment_suit_desc_1102_1,3000,equipment_suit_1102,4,[],11021
1102204,,{},-1,equipment_suit_desc_1102_2,9000,equipment_suit_1102,4,[],11022
1102304,,{},-1,equipment_suit_desc_1102_3,18000,equipment_suit_1102,4,[],11023
1103104,,{},-1,equipment_suit_desc_1103_1,3000,equipment_suit_1103,4,[],11031
1103204,,{},-1,equipment_suit_desc_1103_2,9000,equipment_suit_1103,4,[],11032
1103304,,{},-1,equipment_suit_desc_1103_3,18000,equipment_suit_1103,4,[],11033
