id,break_level,conversion_rate,cost,costs,decomposed_get,desc,desc_2,desc_parameter,extra,extras,fightforce,pet_break_scale,pet_id,pet_info_scale,pet_lv_max,pet_lv_min,pet_skin_id,quality,scene_scale,show_star,skill,skill_level,special
8410005,5,3600,,[],-1,,,,,[],6675,1.2,840001,1.2,35,0,56031,3,1.2,0,[8400101|8400102|8400103|8400104],[1|1|0|0],-1
8410006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1.2,840001,1.2,40,10,56031,3,1.2,1,[8400101|8400102|8400103|8400104],[1|1|0|0],-1
8410007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1.2,840001,1.2,45,20,56031,3,1.2,2,[8400101|8400102|8400103|8400104],[2|1|0|0],-1
8410008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1.2,840001,1.2,50,30,56031,3,1.2,3,[8400101|8400102|8400103|8400104],[2|2|0|0],-1
8410009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1.2,840001,1.2,55,35,56032,3,1.2,4,[8400101|8400102|8400103|8400104],[3|2|0|0],-1
8410010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1.2,840001,1.2,60,40,56032,3,1.2,5,[8400101|8400102|8400103|8400104],[3|3|0|0],-1
8410011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1.2,840001,1.2,70,45,56032,4,1.2,0,[8400101|8400102|8400103|8400104],[3|3|1|0],-1
8410012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1.2,840001,1.2,80,50,56032,4,1.2,1,[8400101|8400102|8400103|8400104],[4|3|1|0],-1
8410013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1.2,840001,1.2,90,55,56033,4,1.2,2,[8400101|8400102|8400103|8400104],[4|3|2|0],-1
8410014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1.2,840001,1.2,90,60,56033,4,1.2,3,[8400101|8400102|8400103|8400104],[4|4|2|0],-1
8410015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1.2,840001,1.2,90,65,56033,4,1.2,4,[8400101|8400102|8400103|8400104],[4|4|2|0],-1
8410016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1.2,840001,1.2,90,70,56033,4,1.2,5,[8400101|8400102|8400103|8400104],[4|4|3|0],-1
8410017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1.2,840001,1.2,90,75,56033,5,1.2,0,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1.2,840001,1.2,95,80,56033,5,1.2,1,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1.2,840001,1.2,100,80,56033,5,1.2,2,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1.2,840001,1.2,105,85,56033,5,1.2,3,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1.2,840001,1.2,110,85,56033,5,1.2,4,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1.2,840001,1.2,115,90,56033,5,1.2,5,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8410023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1.2,840001,1.2,120,95,56034,6,1.2,0,[8400101|8400102|8400103|8400104],[4|4|3|1],-1
8420005,5,3600,,[],-1,,,,,[],6675,0.9,840002,0.9,35,0,56041,3,0.9,0,[8400301|8400302|8400303|8400304],[1|1|0|0],-1
8420006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,0.9,840002,0.9,40,10,56041,3,0.9,1,[8400301|8400302|8400303|8400304],[1|1|0|0],-1
8420007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,0.9,840002,0.9,45,20,56041,3,0.9,2,[8400301|8400302|8400303|8400304],[2|1|0|0],-1
8420008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,0.9,840002,0.9,50,30,56041,3,0.9,3,[8400301|8400302|8400303|8400304],[2|2|0|0],-1
8420009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,0.9,840002,0.9,55,35,56042,3,0.9,4,[8400301|8400302|8400303|8400304],[3|2|0|0],-1
8420010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,0.9,840002,0.9,60,40,56042,3,0.9,5,[8400301|8400302|8400303|8400304],[3|3|0|0],-1
8420011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,0.9,840002,0.9,70,45,56042,4,0.9,0,[8400301|8400302|8400303|8400304],[3|3|1|0],-1
8420012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,0.9,840002,0.9,80,50,56042,4,0.9,1,[8400301|8400302|8400303|8400304],[4|3|1|0],-1
8420013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,0.9,840002,0.9,90,55,56043,4,0.9,2,[8400301|8400302|8400303|8400304],[4|3|2|0],-1
8420014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,0.9,840002,0.9,90,60,56043,4,0.9,3,[8400301|8400302|8400303|8400304],[4|4|2|0],-1
8420015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,0.9,840002,0.9,90,65,56043,4,0.9,4,[8400301|8400302|8400303|8400304],[4|4|2|0],-1
8420016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,0.9,840002,0.9,90,70,56043,4,0.9,5,[8400301|8400302|8400303|8400304],[4|4|3|0],-1
8420017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,0.9,840002,0.9,90,75,56043,5,0.9,0,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,0.9,840002,0.9,95,80,56043,5,0.9,1,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,0.9,840002,0.9,100,80,56043,5,0.9,2,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,0.9,840002,0.9,105,85,56043,5,0.9,3,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,0.9,840002,0.9,110,85,56043,5,0.9,4,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,0.9,840002,0.9,115,90,56043,5,0.9,5,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8420023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,0.9,840002,0.9,120,95,56044,6,0.9,0,[8400301|8400302|8400303|8400304],[4|4|3|1],-1
8430005,5,3600,,[],-1,,,,,[],6675,1,840003,1,35,0,56051,3,1,0,[8400201|8400202|8400203|8400204],[1|1|0|0],-1
8430006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840003,1,40,10,56051,3,1,1,[8400201|8400202|8400203|8400204],[1|1|0|0],-1
8430007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840003,1,45,20,56051,3,1,2,[8400201|8400202|8400203|8400204],[2|1|0|0],-1
8430008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840003,1,50,30,56051,3,1,3,[8400201|8400202|8400203|8400204],[2|2|0|0],-1
8430009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840003,1,55,35,56052,3,1,4,[8400201|8400202|8400203|8400204],[3|2|0|0],-1
8430010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840003,1,60,40,56052,3,1,5,[8400201|8400202|8400203|8400204],[3|3|0|0],-1
8430011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840003,1,70,45,56052,4,1,0,[8400201|8400202|8400203|8400204],[3|3|1|0],-1
8430012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840003,1,80,50,56052,4,1,1,[8400201|8400202|8400203|8400204],[4|3|1|0],-1
8430013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840003,1,90,55,56053,4,1,2,[8400201|8400202|8400203|8400204],[4|3|2|0],-1
8430014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840003,1,90,60,56053,4,1,3,[8400201|8400202|8400203|8400204],[4|4|2|0],-1
8430015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840003,1,90,65,56053,4,1,4,[8400201|8400202|8400203|8400204],[4|4|2|0],-1
8430016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840003,1,90,70,56053,4,1,5,[8400201|8400202|8400203|8400204],[4|4|3|0],-1
8430017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840003,1,90,75,56053,5,1,0,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840003,1,95,80,56053,5,1,1,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840003,1,100,80,56053,5,1,2,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840003,1,105,85,56053,5,1,3,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840003,1,110,85,56053,5,1,4,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840003,1,115,90,56053,5,1,5,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8430023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840003,1,120,95,56054,6,1,0,[8400201|8400202|8400203|8400204],[4|4|3|1],-1
8440005,5,3600,,[],-1,,,,,[],6675,2,840004,2,35,0,56061,3,2,0,[8400401|8400402|8400403|8400404],[1|1|0|0],-1
8440006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,2,840004,2,40,10,56061,3,2,1,[8400401|8400402|8400403|8400404],[1|1|0|0],-1
8440007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,2,840004,2,45,20,56061,3,2,2,[8400401|8400402|8400403|8400404],[2|1|0|0],-1
8440008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,2,840004,2,50,30,56061,3,2,3,[8400401|8400402|8400403|8400404],[2|2|0|0],-1
8440009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,2,840004,2,55,35,56062,3,2,4,[8400401|8400402|8400403|8400404],[3|2|0|0],-1
8440010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,2,840004,2,60,40,56062,3,2,5,[8400401|8400402|8400403|8400404],[3|3|0|0],-1
8440011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,2,840004,2,70,45,56062,4,2,0,[8400401|8400402|8400403|8400404],[3|3|1|0],-1
8440012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,2,840004,2,80,50,56062,4,2,1,[8400401|8400402|8400403|8400404],[4|3|1|0],-1
8440013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,2,840004,2,90,55,56063,4,2,2,[8400401|8400402|8400403|8400404],[4|3|2|0],-1
8440014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,2,840004,2,90,60,56063,4,2,3,[8400401|8400402|8400403|8400404],[4|4|2|0],-1
8440015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,2,840004,2,90,65,56063,4,2,4,[8400401|8400402|8400403|8400404],[4|4|2|0],-1
8440016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,2,840004,2,90,70,56063,4,2,5,[8400401|8400402|8400403|8400404],[4|4|3|0],-1
8440017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,2,840004,2,90,75,56063,5,2,0,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,2,840004,2,95,80,56063,5,2,1,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,2,840004,2,100,80,56063,5,2,2,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,2,840004,2,105,85,56063,5,2,3,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,2,840004,2,110,85,56063,5,2,4,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,2,840004,2,115,90,56063,5,2,5,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8440023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,2,840004,2,120,95,56064,6,2,0,[8400401|8400402|8400403|8400404],[4|4|3|1],-1
8450005,5,3600,,[],-1,,,,,[],6675,1,840005,1,35,0,56071,3,0.7,0,[8400501|8400502|8400503|8400504],[1|1|0|0],-1
8450006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840005,1,40,10,56071,3,0.7,1,[8400501|8400502|8400503|8400504],[1|1|0|0],-1
8450007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840005,1,45,20,56071,3,0.7,2,[8400501|8400502|8400503|8400504],[2|1|0|0],-1
8450008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840005,1,50,30,56071,3,0.7,3,[8400501|8400502|8400503|8400504],[2|2|0|0],-1
8450009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840005,1,55,35,56072,3,0.7,4,[8400501|8400502|8400503|8400504],[3|2|0|0],-1
8450010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840005,1,60,40,56072,3,0.7,5,[8400501|8400502|8400503|8400504],[3|3|0|0],-1
8450011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840005,1,70,45,56072,4,0.7,0,[8400501|8400502|8400503|8400504],[3|3|1|0],-1
8450012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840005,1,80,50,56072,4,0.7,1,[8400501|8400502|8400503|8400504],[4|3|1|0],-1
8450013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840005,1,90,55,56073,4,0.7,2,[8400501|8400502|8400503|8400504],[4|3|2|0],-1
8450014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840005,1,90,60,56073,4,0.7,3,[8400501|8400502|8400503|8400504],[4|4|2|0],-1
8450015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840005,1,90,65,56073,4,0.7,4,[8400501|8400502|8400503|8400504],[4|4|2|0],-1
8450016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840005,1,90,70,56073,4,0.7,5,[8400501|8400502|8400503|8400504],[4|4|3|0],-1
8450017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840005,1,90,75,56073,5,0.7,0,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8450018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840005,1,95,80,56073,5,0.7,1,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8450019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840005,1,100,80,56073,5,0.7,2,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8450020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840005,1,105,85,56073,5,0.7,3,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8450021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840005,1,110,85,56073,5,0.7,4,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
