id,exchange,exhibition,group,order,reward,reward2,type,value
48,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144111,408144112,4,[2050|0|0]
49,408144201,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144202,408144203,4,[2104|0|0]
50,408144204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144205,408144206,4,[2102|0|0]
51,408144207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144208,408144209,4,[2000|0|0]
52,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144211,408144212,4,[1860|0|0]
53,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,5,[0|0|0]
54,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144005,408144006,5,[2422|0|0]
55,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144008,408144009,5,[2421|0|0]
56,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144011,408144012,5,[2196|0|0]
57,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144014,408144015,5,[2196|0|0]
58,408144104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144105,408144106,5,[2802|0|0]
59,408144107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144108,408144109,5,[2238|0|0]
60,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144111,408144112,5,[2050|0|0]
61,408144113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144114,408144115,5,[2050|0|0]
62,408144204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144205,408144206,5,[2102|0|0]
63,408144207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144208,408144209,5,[2000|0|0]
64,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144211,408144212,5,[1860|0|0]
65,408144213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144214,408144215,5,[1860|0|0]
66,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,6,[0|0|0]
67,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144011,408144012,6,[2196|0|0]
68,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144014,408144015,6,[2196|0|0]
69,408144014,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144014,408144015,6,[2196|0|0]
70,408144015,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144014,408144015,6,[2196|0|0]
71,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144111,408144112,6,[2050|0|0]
72,408144113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144114,408144115,6,[2050|0|0]
73,408144114,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144114,408144115,6,[2050|0|0]
74,408144115,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144114,408144115,6,[2050|0|0]
75,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144211,408144212,6,[1860|0|0]
76,408144213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144214,408144215,6,[1860|0|0]
77,408144214,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144214,408144215,6,[1860|0|0]
78,408144215,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144214,408144215,6,[1860|0|0]
79,-1,[bg_LuckyBox_blue|bg_LuckyBox_blue|bg_LuckyBox_blue],1,1,408144000,-1,7,[0|0|0]
80,408165001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165002,408165003,7,[3266|0|0]
81,408165004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165005,408165006,7,[3262|0|0]
82,408165007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165008,408165009,7,[3261|0|0]
83,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165011,408165012,7,[3260|0|0]
84,408165101,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165102,408165103,7,[2053|0|0]
85,408165104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165105,408165106,7,[2051|0|0]
86,408165107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165108,408165109,7,[2050|0|0]
87,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165111,408165112,7,[2050|0|0]
88,408165201,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165202,408165203,7,[2104|0|0]
89,408165204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165205,408165206,7,[2102|0|0]
90,408165207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165208,408165209,7,[2000|0|0]
91,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165211,408165212,7,[1860|0|0]
92,408165301,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165302,408165303,7,[2704|0|0]
93,408165304,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165305,408165306,7,[2702|0|0]
94,408165307,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165308,408165309,7,[2701|0|0]
95,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165311,408165312,7,[2700|0|0]
96,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,8,[0|0|0]
97,408165004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165005,408165006,8,[3262|0|0]
98,408165007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165008,408165009,8,[3261|0|0]
99,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165011,408165012,8,[3260|0|0]
100,408165013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165014,408165015,8,[3260|0|0]
101,408165104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165105,408165106,8,[2051|0|0]
102,408165107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165108,408165109,8,[2050|0|0]
103,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165111,408165112,8,[2050|0|0]
104,408165113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165114,408165115,8,[2050|0|0]
105,408165204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165205,408165206,8,[2102|0|0]
106,408165207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165208,408165209,8,[2000|0|0]
107,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165211,408165212,8,[1860|0|0]
108,408165213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165214,408165215,8,[1860|0|0]
109,408165304,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165305,408165306,8,[2702|0|0]
110,408165307,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165308,408165309,8,[2701|0|0]
111,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165311,408165312,8,[2700|0|0]
112,408165313,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165314,408165315,8,[2700|0|0]
113,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,9,[0|0|0]
114,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165011,408165012,9,[3260|0|0]
115,408165013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165014,408165015,9,[3260|0|0]
116,408165014,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165014,408165015,9,[3260|0|0]
117,408165015,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165014,408165015,9,[3260|0|0]
118,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165111,408165112,9,[2050|0|0]
119,408165113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165114,408165115,9,[2050|0|0]
120,408165114,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165114,408165115,9,[2050|0|0]
121,408165115,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165114,408165115,9,[2050|0|0]
122,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165211,408165212,9,[1860|0|0]
123,408165213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165214,408165215,9,[1860|0|0]
124,408165214,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165214,408165215,9,[1860|0|0]
125,408165215,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165214,408165215,9,[1860|0|0]
126,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165311,408165312,9,[2700|0|0]
127,408165313,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165314,408165315,9,[2700|0|0]
128,408165314,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165314,408165315,9,[2700|0|0]
129,408165315,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165314,408165315,9,[2700|0|0]
130,-1,[bg_LuckyBox_blue|bg_LuckyBox_blue|bg_LuckyBox_blue],1,1,408144000,-1,10,[0|0|0]
131,408165001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165002,408165003,10,[3266|0|0]
132,408165004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165005,408165006,10,[3262|0|0]
133,408165007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165008,408165009,10,[3261|0|0]
134,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165011,408165012,10,[3260|0|0]
135,408165101,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165102,408165103,10,[2053|0|0]
136,408165104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165105,408165106,10,[2051|0|0]
137,408165107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165108,408165109,10,[2050|0|0]
138,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165111,408165112,10,[2050|0|0]
139,408165201,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165202,408165203,10,[2104|0|0]
140,408165204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165205,408165206,10,[2102|0|0]
141,408165207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165208,408165209,10,[2000|0|0]
142,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165211,408165212,10,[1860|0|0]
143,408165301,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165302,408165303,10,[2704|0|0]
144,408165304,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165305,408165306,10,[2702|0|0]
145,408165307,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165308,408165309,10,[2701|0|0]
146,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165311,408165312,10,[2700|0|0]
147,408144001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,2,408144002,408144003,10,[2625|0|0]
148,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,3,408144005,408144006,10,[2422|0|0]
149,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,4,408144008,408144009,10,[2421|0|0]
150,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,5,408144011,408144012,10,[2196|0|0]
151,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,11,[0|0|0]
152,408165004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165005,408165006,11,[3262|0|0]
153,408165007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165008,408165009,11,[3261|0|0]
154,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165011,408165012,11,[3260|0|0]
155,408165013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165014,408165015,11,[3260|0|0]
156,408165104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165105,408165106,11,[2051|0|0]
157,408165107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165108,408165109,11,[2050|0|0]
158,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165111,408165112,11,[2050|0|0]
159,408165113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165114,408165115,11,[2050|0|0]
160,408165204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165205,408165206,11,[2102|0|0]
161,408165207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165208,408165209,11,[2000|0|0]
162,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165211,408165212,11,[1860|0|0]
163,408165213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165214,408165215,11,[1860|0|0]
164,408165304,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165305,408165306,11,[2702|0|0]
165,408165307,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165308,408165309,11,[2701|0|0]
166,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165311,408165312,11,[2700|0|0]
167,408165313,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165314,408165315,11,[2700|0|0]
168,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,2,408144005,408144006,11,[2422|0|0]
169,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,3,408144008,408144009,11,[2421|0|0]
170,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,4,408144011,408144012,11,[2196|0|0]
171,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,5,408144014,408144015,11,[2196|0|0]
172,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,12,[0|0|0]
173,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165011,408165012,12,[3260|0|0]
174,408165013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165014,408165015,12,[3260|0|0]
175,408165014,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165014,408165015,12,[3260|0|0]
176,408165015,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165014,408165015,12,[3260|0|0]
177,408165110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165111,408165112,12,[2050|0|0]
178,408165113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165114,408165115,12,[2050|0|0]
179,408165114,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408165114,408165115,12,[2050|0|0]
180,408165115,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408165114,408165115,12,[2050|0|0]
181,408165210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408165211,408165212,12,[1860|0|0]
182,408165213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408165214,408165215,12,[1860|0|0]
183,408165214,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408165214,408165215,12,[1860|0|0]
184,408165215,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408165214,408165215,12,[1860|0|0]
185,408165310,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,2,408165311,408165312,12,[2700|0|0]
186,408165313,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,3,408165314,408165315,12,[2700|0|0]
187,408165314,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,4,408165314,408165315,12,[2700|0|0]
188,408165315,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],5,5,408165314,408165315,12,[2700|0|0]
189,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,2,408144011,408144012,12,[2196|0|0]
190,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,3,408144014,408144015,12,[2196|0|0]
191,408144014,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,4,408144014,408144015,12,[2196|0|0]
192,408144015,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],6,5,408144014,408144015,12,[2196|0|0]
193,-1,[bg_LuckyBox_blue|bg_LuckyBox_blue|bg_LuckyBox_blue],1,1,408144000,-1,13,[0|0|0]
194,408165001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408165002,408165003,13,[3266|0|0]
195,408165004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408165005,408165006,13,[3262|0|0]
196,408165007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408165008,408165009,13,[3261|0|0]
197,408165010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408165011,408165012,13,[3260|0|0]
198,408165101,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408165102,408165103,13,[2053|0|0]
199,408165104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408165105,408165106,13,[2051|0|0]
