id,taskConditionVo,Atlas,descParams,group,icon,is_daily,level,point,progress_desc,progress_isopen,read_split,read_type,reward,reward_extra,scene,server_list,serverLists,show_progress,showProgress,stage_group,take_effect_day,target,target_type,task_condition,task_condition_num,task_count,task_discription,task_guide,task_guide_mun,task_order,taskConditionType,taskGuideNum,unit,unit_order,week,weight
321501,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,113,10,0,arena_dailytask_1,1,[1|3],2,113,[1|3],-1,-1,-1,
321502,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,124,30,0,task_newlogic_tips4,1,[20|2],3,124,[20|2],-1,-1,-1,
321503,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,151,3,0,task_newlogic_tips10,1,[21],4,151,[21],-1,-1,-1,
321504,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,150,20,0,task_new_tips12,1,[22],5,150,[22],-1,-1,-1,
321505,TaskConditionBaseVO,,[],32015,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,181,10,0,active_activity_taskinfo38,1,[7|7],6,181,[7|7],-1,-1,-1,
321506,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|4,0,task_newlogic_tips9,1,[7|8],7,182,[7|8],-1,-1,-1,
321507,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|8,0,task_newlogic_tips9,1,[7|8],8,182,[7|8],-1,-1,-1,
321508,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|16,0,task_newlogic_tips9,1,[7|8],9,182,[7|8],-1,-1,-1,
321509,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|1,0,task_newlogic_tips9,1,[7|8],10,182,[7|8],-1,-1,-1,
321510,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|2,0,task_newlogic_tips9,1,[7|8],11,182,[7|8],-1,-1,-1,
321511,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|4,0,task_newlogic_tips9,1,[7|8],12,182,[7|8],-1,-1,-1,
321512,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,128,10|131,0,active_activity_taskinfo16,1,[15|131],13,128,[15|131],-1,-1,-1,
321513,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,128,20|131,0,active_activity_taskinfo16,1,[15|131],14,128,[15|131],-1,-1,-1,
321514,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,128,40|131,0,active_activity_taskinfo16,1,[15|131],15,128,[15|131],-1,-1,-1,
321515,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|200000,0,active_activity_taskinfo27,1,[23|0|0],16,51,[23|0|0],-1,-1,-1,
321516,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|400000,0,active_activity_taskinfo27,1,[23|0|0],17,51,[23|0|0],-1,-1,-1,
321517,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|800000,0,active_activity_taskinfo27,1,[23|0|0],18,51,[23|0|0],-1,-1,-1,
321518,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|300,0,active_activity_taskinfo27,1,[26],19,51,[26],-1,-1,-1,
321519,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|600,0,active_activity_taskinfo27,1,[26],20,51,[26],-1,-1,-1,
321520,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|1200,0,active_activity_taskinfo27,1,[26],21,51,[26],-1,-1,-1,
321521,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,800,0,task_new_tips16,1,[24],22,154,[24],-1,-1,-1,
321522,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,1200,0,task_new_tips16,1,[24],23,154,[24],-1,-1,-1,
321523,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,1600,0,task_new_tips16,1,[24],24,154,[24],-1,-1,-1,
321524,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271016|800,0,active_activity_taskinfo26,1,[15|131],25,54,[15|131],-1,-1,-1,
321525,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271016|1600,0,active_activity_taskinfo26,1,[15|131],26,54,[15|131],-1,-1,-1,
321526,TaskConditionBaseVO,,[],32015,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271016|2400,0,active_activity_taskinfo26,1,[15|131],27,54,[15|131],-1,-1,-1,
321600,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,500,0,task_new_tips16,1,[24],1,154,[24],-1,-1,-1,
321601,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,113,3,0,arena_dailytask_1,1,[1|3],2,113,[1|3],-1,-1,-1,
321602,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,124,10,0,task_newlogic_tips4,1,[20|2],3,124,[20|2],-1,-1,-1,
321603,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,151,3,0,task_newlogic_tips10,1,[21],4,151,[21],-1,-1,-1,
321604,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,150,10,0,task_new_tips12,1,[22],5,150,[22],-1,-1,-1,
321605,TaskConditionBaseVO,,[],32016,,1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,181,10,0,active_activity_taskinfo38,1,[7|7],6,181,[7|7],-1,-1,-1,
321606,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|4,0,task_newlogic_tips9,1,[7|8],7,182,[7|8],-1,-1,-1,
321607,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|8,0,task_newlogic_tips9,1,[7|8],8,182,[7|8],-1,-1,-1,
321608,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,4|16,0,task_newlogic_tips9,1,[7|8],9,182,[7|8],-1,-1,-1,
321609,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|1,0,task_newlogic_tips9,1,[7|8],10,182,[7|8],-1,-1,-1,
321610,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|2,0,task_newlogic_tips9,1,[7|8],11,182,[7|8],-1,-1,-1,
321611,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,182,5|4,0,task_newlogic_tips9,1,[7|8],12,182,[7|8],-1,-1,-1,
321612,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|200000,0,active_activity_taskinfo27,1,[23|0|0],16,51,[23|0|0],-1,-1,-1,
321613,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|400000,0,active_activity_taskinfo27,1,[23|0|0],17,51,[23|0|0],-1,-1,-1,
321614,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,4|800000,0,active_activity_taskinfo27,1,[23|0|0],18,51,[23|0|0],-1,-1,-1,
321615,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|300,0,active_activity_taskinfo27,1,[26],19,51,[26],-1,-1,-1,
321616,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|600,0,active_activity_taskinfo27,1,[26],20,51,[26],-1,-1,-1,
321617,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,51,1|1200,0,active_activity_taskinfo27,1,[26],21,51,[26],-1,-1,-1,
321618,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,800,0,task_new_tips16,1,[24],22,154,[24],-1,-1,-1,
321619,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,1200,0,task_new_tips16,1,[24],23,154,[24],-1,-1,-1,
321620,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,154,1600,0,task_new_tips16,1,[24],24,154,[24],-1,-1,-1,
321621,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271017|800,0,active_activity_taskinfo26,1,[15|134],25,54,[15|134],-1,-1,-1,
321622,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271017|1600,0,active_activity_taskinfo26,1,[15|134],26,54,[15|134],-1,-1,-1,
321623,TaskConditionBaseVO,,[],32016,,-1,,-1,,-1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,54,271017|2400,0,active_activity_taskinfo26,1,[15|134],27,54,[15|134],-1,-1,-1,
321700,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,500,0,task_new_tips16,1,[24],1,154,[24],-1,-1,-1,
321701,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,113,3,0,arena_dailytask_1,1,[1|3],2,113,[1|3],-1,-1,-1,
321702,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,124,10,0,task_newlogic_tips4,1,[20|2],3,124,[20|2],-1,-1,-1,
321703,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,151,3,0,task_newlogic_tips10,1,[21],4,151,[21],-1,-1,-1,
321704,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,150,10,0,task_new_tips12,1,[22],5,150,[22],-1,-1,-1,
321705,TaskConditionBaseVO,,[],32017,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,181,10,0,active_activity_taskinfo38,1,[7|7],6,181,[7|7],-1,-1,-1,
321706,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|4,0,task_newlogic_tips9,1,[7|8],7,182,[7|8],-1,-1,-1,
321707,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|8,0,task_newlogic_tips9,1,[7|8],8,182,[7|8],-1,-1,-1,
321708,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|16,0,task_newlogic_tips9,1,[7|8],9,182,[7|8],-1,-1,-1,
321709,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|1,0,task_newlogic_tips9,1,[7|8],10,182,[7|8],-1,-1,-1,
321710,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|2,0,task_newlogic_tips9,1,[7|8],11,182,[7|8],-1,-1,-1,
321711,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|4,0,task_newlogic_tips9,1,[7|8],12,182,[7|8],-1,-1,-1,
321712,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|200000,0,active_activity_taskinfo27,1,[23|0|0],16,51,[23|0|0],-1,-1,-1,
321713,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|400000,0,active_activity_taskinfo27,1,[23|0|0],17,51,[23|0|0],-1,-1,-1,
321714,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|800000,0,active_activity_taskinfo27,1,[23|0|0],18,51,[23|0|0],-1,-1,-1,
321715,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|300,0,active_activity_taskinfo27,1,[26],19,51,[26],-1,-1,-1,
321716,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|600,0,active_activity_taskinfo27,1,[26],20,51,[26],-1,-1,-1,
321717,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|1200,0,active_activity_taskinfo27,1,[26],21,51,[26],-1,-1,-1,
321718,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,800,0,task_new_tips16,1,[24],22,154,[24],-1,-1,-1,
321719,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,1200,0,task_new_tips16,1,[24],23,154,[24],-1,-1,-1,
321720,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,1600,0,task_new_tips16,1,[24],24,154,[24],-1,-1,-1,
321721,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271018|800,0,active_activity_taskinfo26,1,[15|136],25,54,[15|136],-1,-1,-1,
321722,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271018|1600,0,active_activity_taskinfo26,1,[15|136],26,54,[15|136],-1,-1,-1,
321723,TaskConditionBaseVO,,[],32017,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271018|2400,0,active_activity_taskinfo26,1,[15|136],27,54,[15|136],-1,-1,-1,
321800,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,500,0,task_new_tips16,1,[24],1,154,[24],-1,-1,-1,
321801,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,113,3,0,arena_dailytask_1,1,[1|3],2,113,[1|3],-1,-1,-1,
321802,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,124,10,0,task_newlogic_tips4,1,[20|2],3,124,[20|2],-1,-1,-1,
321803,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,151,3,0,task_newlogic_tips10,1,[21],4,151,[21],-1,-1,-1,
321804,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,150,10,0,task_new_tips12,1,[22],5,150,[22],-1,-1,-1,
321805,TaskConditionBaseVO,,[],32018,,1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,181,10,0,active_activity_taskinfo38,1,[7|7],6,181,[7|7],-1,-1,-1,
321806,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|4,0,task_newlogic_tips9,1,[7|8],7,182,[7|8],-1,-1,-1,
321807,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|8,0,task_newlogic_tips9,1,[7|8],8,182,[7|8],-1,-1,-1,
321808,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,4|16,0,task_newlogic_tips9,1,[7|8],9,182,[7|8],-1,-1,-1,
321809,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|1,0,task_newlogic_tips9,1,[7|8],10,182,[7|8],-1,-1,-1,
321810,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|2,0,task_newlogic_tips9,1,[7|8],11,182,[7|8],-1,-1,-1,
321811,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,182,5|4,0,task_newlogic_tips9,1,[7|8],12,182,[7|8],-1,-1,-1,
321812,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|200000,0,active_activity_taskinfo27,1,[23|0|0],16,51,[23|0|0],-1,-1,-1,
321813,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|400000,0,active_activity_taskinfo27,1,[23|0|0],17,51,[23|0|0],-1,-1,-1,
321814,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,4|800000,0,active_activity_taskinfo27,1,[23|0|0],18,51,[23|0|0],-1,-1,-1,
321815,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|300,0,active_activity_taskinfo27,1,[26],19,51,[26],-1,-1,-1,
321816,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|600,0,active_activity_taskinfo27,1,[26],20,51,[26],-1,-1,-1,
321817,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,51,1|1200,0,active_activity_taskinfo27,1,[26],21,51,[26],-1,-1,-1,
321818,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,800,0,task_new_tips16,1,[24],22,154,[24],-1,-1,-1,
321819,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,1200,0,task_new_tips16,1,[24],23,154,[24],-1,-1,-1,
321820,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,154,1600,0,task_new_tips16,1,[24],24,154,[24],-1,-1,-1,
321821,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271019|800,0,active_activity_taskinfo26,1,[15|141],25,54,[15|141],-1,-1,-1,
321822,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271019|1600,0,active_activity_taskinfo26,1,[15|141],26,54,[15|141],-1,-1,-1,
321823,TaskConditionBaseVO,,[],32018,,-1,,-1,,-1,,-1,-1,-1,-1,,[],1,true,,-1,-1,-1,54,271019|2400,0,active_activity_taskinfo26,1,[15|141],27,54,[15|141],-1,-1,-1,
350000,TaskConditionBaseVO,,[],35000,,-1,,-1,task_logic_dec10,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,39,12006|15,1,activity_7days_taskdesc5,1,[3|12006|1],5,39,[3|12006|1],-1,-1,-1,
350001,TaskConditionBaseVO,,[],35000,,-1,,-1,task_logic_dec10,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,39,12006|25,1,activity_7days_taskdesc5,1,[3|12006|1],5,39,[3|12006|1],-1,-1,-1,
350002,TaskConditionBaseVO,,[],35000,,-1,,-1,task_logic_dec10,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,39,12006|35,1,activity_7days_taskdesc5,1,[3|12006|1],5,39,[3|12006|1],-1,-1,-1,
350003,TaskConditionBaseVO,,[],35000,,-1,,-1,task_logic_dec10,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,39,12006|45,1,activity_7days_taskdesc5,1,[3|12006|1],5,39,[3|12006|1],-1,-1,-1,
350100,TaskConditionBaseVO,,[],35100,,-1,,-1,task_logic_dec13,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,42,12006|2,1,activity_7days_taskdesc21,1,[3|12006|1],5,42,[3|12006|1],-1,-1,-1,
350101,TaskConditionBaseVO,,[],35100,,-1,,-1,task_logic_dec13,1,,-1,-1,-1,-1,,[],-1,false,,-1,-1,-1,42,12006|3,1,activity_7days_taskdesc21,1,[3|12006|1],5,42,[3|12006|1],-1,-1,-1,
