id,desc1,gameurl,gameurl_global,jsonurl,name
18,满满的,gamecenter/mmd/play.html,gamecenter/mmd/play.html,gamecenter/mmd-mini/res/game.json,满满的
19,萌虎出击,gamecenter/mhcj/play.html,gamecenter/mhcj/play.html,gamecenter/mhcj-mini/res/game.json,萌虎出击
20,乒乒乓乓,gamecenter/pppp/play.html,gamecenter/pppp/play.html,gamecenter/pppp-mini/res/game.json,乒乒乓乓
21,圈海运动,gamecenter/qhyd/play.html,gamecenter/qhyd/play.html,gamecenter/qhyd-mini/res/game.json,圈海运动
22,拳脚功夫,gamecenter/qjgf/play.html,gamecenter/qjgf/play.html,gamecenter/qjgf-mini/res/game.json,拳脚功夫
23,扔的准,gamecenter/rdz/play.html,gamecenter/rdz/play.html,gamecenter/rdz-mini/res/game.json,扔的准
24,融合技能轻度版,gamecenter/rhjm/play.html,gamecenter/rhjm/play.html,gamecenter/rhjm-mini/res/game.json,融合技能轻度版
25,融念冰,gamecenter/rnb/play.html,gamecenter/rnb/play.html,gamecenter/rnb-mini/res/game.json,融念冰
26,舢板战,gamecenter/jbz/play.html,gamecenter/jbz/play.html,gamecenter/jbz-mini/res/game.json,舢板战
27,生存指南和谐版,gamecenter/shzn/play.html,gamecenter/shzn/play.html,gamecenter/shzn-mini/res/game.json,生存指南和谐版
28,树下果,gamecenter/sxg/play.html,gamecenter/sxg/play.html,gamecenter/sxg-mini/res/game.json,树下果
29,塔防农场,gamecenter/tfnc/play.html,gamecenter/tfnc/play.html,gamecenter/tfnc-mini/res/game.json,塔防农场
30,推栅栏,gamecenter/tzl/play.html,gamecenter/tzl/play.html,gamecenter/tzl-mini/res/game.json,推栅栏
31,五位一体完整版,gamecenter/wwyt/play.html,gamecenter/wwyt/play.html,gamecenter/wwyt-mini/res/game.json,五位一体完整版
32,一人一个,gamecenter/yryg/play.html,gamecenter/yryg/play.html,gamecenter/yryg-mini/res/game.json,一人一个
33,人往高处走,gamecenter/rwgcz/play.html,gamecenter/rwgcz/play.html,gamecenter/rwgcz-mini/res/game.json,人往高处走
34,爆数TH,gamecenter/baos/play.html,gamecenter/baos/play.html,gamecenter/baos-mini/res/game.json,爆数TH
35,城内塔防,gamecenter/cntf/play.html,gamecenter/cntf/play.html,gamecenter/cntf-mini/res/game.json,城内塔防
36,雕像秘境和谐版,gamecenter/dxmj/play.html,gamecenter/dxmj/play.html,gamecenter/dxmj-mini/res/game.json,雕像秘境和谐版
37,叮铃铃,gamecenter/dll/play.html,gamecenter/dll/play.html,gamecenter/dll-mini/res/game.json,叮铃铃
38,分边走,gamecenter/fbz/play.html,gamecenter/fbz/play.html,gamecenter/fbz-mini/res/game.json,分边走
39,高溅离,gamecenter/gjl/play.html,gamecenter/gjl/play.html,gamecenter/gjl-mini/res/game.json,高溅离
40,割个草,gamecenter/ggc/play.html,gamecenter/ggc/play.html,gamecenter/ggc-mini/res/game.json,割个草
41,攻城战B版,gamecenter/gcz/play.html,gamecenter/gcz/play.html,gamecenter/gcz-mini/res/game.json,攻城战B版
42,黑帝斯数字版,gamecenter/hds/play.html,gamecenter/hds/play.html,gamecenter/hds-mini/res/game.json,黑帝斯数字版
43,嘿打劫,gamecenter/hdj/play.html,gamecenter/hdj/play.html,gamecenter/hdj-mini/res/game.json,嘿打劫
44,会选吗,gamecenter/hxm/play.html,gamecenter/hxm/play.html,gamecenter/hxm-mini/res/game.json,会选吗
45,开弓射箭,gamecenter/kgsj/play.html,gamecenter/kgsj/play.html,gamecenter/kgsj-mini/res/game.json,开弓射箭
46,扩张吧领土,gamecenter/kzb/play.html,gamecenter/kzb/play.html,gamecenter/kzb-mini/res/game.json,扩张吧领土
47,绿了吧唧,gamecenter/llbj/play.html,gamecenter/llbj/play.html,gamecenter/llbj-mini/res/game.json,绿了吧唧
48,满满当当th,gamecenter/mmdd/play.html,gamecenter/mmdd/play.html,gamecenter/mmdd-mini/res/game.json,满满当当th
49,迷宫救援,gamecenter/mgjy/play.html,gamecenter/mgjy/play.html,gamecenter/mgjy-mini/res/game.json,迷宫救援
50,啪偷袭,gamecenter/ptx/play.html,gamecenter/ptx/play.html,gamecenter/ptx-mini/res/game.json,啪偷袭
51,去哪鹅th,gamecenter/qne/play.html,gamecenter/qne/play.html,gamecenter/qne-mini/res/game.json,去哪鹅th
52,沙漠绿洲,gamecenter/smlz/play.html,gamecenter/smlz/play.html,gamecenter/smlz-mini/res/game.json,沙漠绿洲
53,生存指南,gamecenter/sczn/play.html,gamecenter/sczn/play.html,gamecenter/sczn-mini/res/game.json,生存指南
54,数字人生,gamecenter/szrs/play.html,gamecenter/szrs/play.html,gamecenter/szrs-mini/res/game.json,数字人生
55,探洞,gamecenter/tand/play.html,gamecenter/tand/play.html,gamecenter/tand-mini/res/game.json,探洞
56,武器鉴宝,gamecenter/wqjb/play.html,gamecenter/wqjb/play.html,gamecenter/wqjb-mini/res/game.json,武器鉴宝
57,西沙群岛th,gamecenter/xsqd/play.html,gamecenter/xsqd/play.html,gamecenter/xsqd-mini/res/game.json,西沙群岛th
58,洗个澡,gamecenter/xgd/play.html,gamecenter/xgd/play.html,gamecenter/xgd-mini/res/game.json,洗个澡
59,熊蛮人,gamecenter/xmr/play.html,gamecenter/xmr/play.html,gamecenter/xmr-mini/res/game.json,熊蛮人
60,选英雄,gamecenter/xyx/play.html,gamecenter/xyx/play.html,gamecenter/xyx-mini/res/game.json,选英雄
61,选择职业,gamecenter/xzzy/play.html,gamecenter/xzzy/play.html,gamecenter/xzzy-mini/res/game.json,选择职业
62,要乘拾,gamecenter/ycs/play.html,gamecenter/ycs/play.html,gamecenter/ycs-mini/res/game.json,要乘拾
63,终极套,gamecenter/zjt/play.html,gamecenter/zjt/play.html,gamecenter/zjt-mini/res/game.json,终极套
64,重生,gamecenter/cs/play.html,gamecenter/cs/play.html,gamecenter/cs-mini/res/game.json,重生
65,转转门,gamecenter/zzm/play.html,gamecenter/zzm/play.html,gamecenter/zzm-mini/res/game.json,转转门
