id,group,hero_need_star,heros,order,position,reward
46,7,[10008|8|10036|5],[[10008|8]|[10036|5]],4,[0|0],405160204
47,7,[10008|8|10036|8],[[10008|8]|[10036|8]],5,[0|0],405160205
48,7,[10008|11|10036|8],[[10008|11]|[10036|8]],6,[0|0],405160206
49,7,[10008|11|10036|11],[[10008|11]|[10036|11]],7,[0|0],405160207
50,8,[10023|3|10020|3],[[10023|3]|[10020|3]],1,[0|0],405160201
51,8,[10023|5|10020|3],[[10023|5]|[10020|3]],2,[0|0],405160202
52,8,[10023|5|10020|5],[[10023|5]|[10020|5]],3,[0|0],405160203
53,8,[10023|8|10020|5],[[10023|8]|[10020|5]],4,[0|0],405160204
54,8,[10023|8|10020|8],[[10023|8]|[10020|8]],5,[0|0],405160205
55,8,[10023|11|10020|8],[[10023|11]|[10020|8]],6,[0|0],405160206
56,8,[10023|11|10020|11],[[10023|11]|[10020|11]],7,[0|0],405160207
57,9,[10039|3|10041|3|10045|3],[[10039|3]|[10041|3]|[10045|3]],1,[0|0|0],405250001
58,9,[10039|5|10041|3|10045|3],[[10039|5]|[10041|3]|[10045|3]],2,[0|0|0],405250002
59,9,[10039|5|10041|5|10045|3],[[10039|5]|[10041|5]|[10045|3]],3,[0|0|0],405250003
60,9,[10039|8|10041|5|10045|5],[[10039|8]|[10041|5]|[10045|5]],4,[0|0|0],405250004
61,9,[10039|8|10041|8|10045|8],[[10039|8]|[10041|8]|[10045|8]],5,[0|0|0],405250005
62,9,[10039|11|10041|8|10045|8],[[10039|11]|[10041|8]|[10045|8]],6,[0|0|0],405250006
63,9,[10039|11|10041|11|10045|11],[[10039|11]|[10041|11]|[10045|11]],7,[0|0|0],405250007
64,10,[10037|3|10042|3],[[10037|3]|[10042|3]],1,[0|0],405250001
65,10,[10037|5|10042|3],[[10037|5]|[10042|3]],2,[0|0],405250002
66,10,[10037|5|10042|5],[[10037|5]|[10042|5]],3,[0|0],405250003
67,10,[10037|8|10042|5],[[10037|8]|[10042|5]],4,[0|0],405250004
68,10,[10037|8|10042|8],[[10037|8]|[10042|8]],5,[0|0],405250005
69,10,[10037|11|10042|8],[[10037|11]|[10042|8]],6,[0|0],405250006
70,10,[10037|11|10042|11],[[10037|11]|[10042|11]],7,[0|0],405250007
71,11,[10035|3|10027|3],[[10035|3]|[10027|3]],1,[0|0],405160201
72,11,[10035|5|10027|3],[[10035|5]|[10027|3]],2,[0|0],405160202
73,11,[10035|5|10027|5],[[10035|5]|[10027|5]],3,[0|0],405160203
74,11,[10035|8|10027|5],[[10035|8]|[10027|5]],4,[0|0],405160204
75,11,[10035|8|10027|8],[[10035|8]|[10027|8]],5,[0|0],405160205
76,11,[10035|11|10027|8],[[10035|11]|[10027|8]],6,[0|0],405160206
77,11,[10035|11|10027|11],[[10035|11]|[10027|11]],7,[0|0],405160207
78,12,[10033|3|10043|3],[[10033|3]|[10043|3]],1,[0|0],405306601
79,12,[10033|5|10043|3],[[10033|5]|[10043|3]],2,[0|0],405306602
80,12,[10033|5|10043|5],[[10033|5]|[10043|5]],3,[0|0],405306603
81,12,[10033|8|10043|5],[[10033|8]|[10043|5]],4,[0|0],405306604
82,12,[10033|8|10043|8],[[10033|8]|[10043|8]],5,[0|0],405306605
83,12,[10033|11|10043|8],[[10033|11]|[10043|8]],6,[0|0],405306606
84,12,[10033|11|10043|11],[[10033|11]|[10043|11]],7,[0|0],405306607
85,13,[10031|3|10018|3],[[10031|3]|[10018|3]],1,[0|0],405160201
86,13,[10031|5|10018|3],[[10031|5]|[10018|3]],2,[0|0],405160202
87,13,[10031|5|10018|5],[[10031|5]|[10018|5]],3,[0|0],405160203
88,13,[10031|8|10018|5],[[10031|8]|[10018|5]],4,[0|0],405160204
89,13,[10031|8|10018|8],[[10031|8]|[10018|8]],5,[0|0],405160205
90,13,[10031|11|10018|8],[[10031|11]|[10018|8]],6,[0|0],405160206
91,13,[10031|11|10018|11],[[10031|11]|[10018|11]],7,[0|0],405160207
92,14,[10037|3|10042|3|10044|3],[[10037|3]|[10042|3]|[10044|3]],1,[0|0|0],405306601
93,14,[10037|5|10042|3|10044|3],[[10037|5]|[10042|3]|[10044|3]],2,[0|0|0],405306602
94,14,[10037|5|10042|5|10044|3],[[10037|5]|[10042|5]|[10044|3]],3,[0|0|0],405306603
95,14,[10037|8|10042|5|10044|5],[[10037|8]|[10042|5]|[10044|5]],4,[0|0|0],405306604
96,14,[10037|8|10042|8|10044|8],[[10037|8]|[10042|8]|[10044|8]],5,[0|0|0],405306605
97,14,[10037|11|10042|8|10044|8],[[10037|11]|[10042|8]|[10044|8]],6,[0|0|0],405306606
98,14,[10037|11|10042|11|10044|11],[[10037|11]|[10042|11]|[10044|11]],7,[0|0|0],405306607
99,15,[10037|3|10019|3],[[10037|3]|[10019|3]],1,[0|0],405160201
100,15,[10037|5|10019|3],[[10037|5]|[10019|3]],2,[0|0],405160202
101,15,[10037|5|10019|5],[[10037|5]|[10019|5]],3,[0|0],405160203
102,15,[10037|8|10019|5],[[10037|8]|[10019|5]],4,[0|0],405160204
103,15,[10037|8|10019|8],[[10037|8]|[10019|8]],5,[0|0],405160205
104,15,[10037|11|10019|8],[[10037|11]|[10019|8]],6,[0|0],405160206
105,15,[10037|11|10019|11],[[10037|11]|[10019|11]],7,[0|0],405160207
106,16,[10038|3|10028|3],[[10038|3]|[10028|3]],1,[0|0],405160201
107,16,[10038|5|10028|3],[[10038|5]|[10028|3]],2,[0|0],405160202
108,16,[10038|5|10028|5],[[10038|5]|[10028|5]],3,[0|0],405160203
109,16,[10038|8|10028|5],[[10038|8]|[10028|5]],4,[0|0],405160204
110,16,[10038|8|10028|8],[[10038|8]|[10028|8]],5,[0|0],405160205
111,16,[10038|11|10028|8],[[10038|11]|[10028|8]],6,[0|0],405160206
112,16,[10038|11|10028|11],[[10038|11]|[10028|11]],7,[0|0],405160207
113,17,[15039|3|10020|3],[[15039|3]|[10020|3]],1,[0|0],405160201
114,17,[15039|5|10020|3],[[15039|5]|[10020|3]],2,[0|0],405160202
115,17,[15039|5|10020|5],[[15039|5]|[10020|5]],3,[0|0],405160203
116,17,[15039|8|10020|5],[[15039|8]|[10020|5]],4,[0|0],405160204
117,17,[15039|8|10020|8],[[15039|8]|[10020|8]],5,[0|0],405160205
118,17,[15039|11|10020|8],[[15039|11]|[10020|8]],6,[0|0],405160206
119,17,[15039|11|10020|11],[[15039|11]|[10020|11]],7,[0|0],405160207
120,18,[10039|3|10041|3|10045|3],[[10039|3]|[10041|3]|[10045|3]],1,[0|0|0],405306601
121,18,[10039|5|10041|3|10045|3],[[10039|5]|[10041|3]|[10045|3]],2,[0|0|0],405306602
122,18,[10039|5|10041|5|10045|3],[[10039|5]|[10041|5]|[10045|3]],3,[0|0|0],405306603
123,18,[10039|8|10041|5|10045|5],[[10039|8]|[10041|5]|[10045|5]],4,[0|0|0],405306604
124,18,[10039|8|10041|8|10045|8],[[10039|8]|[10041|8]|[10045|8]],5,[0|0|0],405306605
125,18,[10039|11|10041|8|10045|8],[[10039|11]|[10041|8]|[10045|8]],6,[0|0|0],405306606
126,18,[10039|11|10041|11|10045|11],[[10039|11]|[10041|11]|[10045|11]],7,[0|0|0],405306607
127,19,[10033|3|10043|3|10046|3],[[10033|3]|[10043|3]|[10046|3]],1,[0|0|0],405306601
128,19,[10033|5|10043|3|10046|3],[[10033|5]|[10043|3]|[10046|3]],2,[0|0|0],405306602
129,19,[10033|5|10043|5|10046|3],[[10033|5]|[10043|5]|[10046|3]],3,[0|0|0],405306603
130,19,[10033|8|10043|5|10046|5],[[10033|8]|[10043|5]|[10046|5]],4,[0|0|0],405306604
131,19,[10033|8|10043|8|10046|8],[[10033|8]|[10043|8]|[10046|8]],5,[0|0|0],405306605
132,19,[10033|11|10043|8|10046|8],[[10033|11]|[10043|8]|[10046|8]],6,[0|0|0],405306606
133,19,[10033|11|10043|11|10046|11],[[10033|11]|[10043|11]|[10046|11]],7,[0|0|0],405306607
134,20,[15033|3|10027|3],[[15033|3]|[10027|3]],1,[0|0],405160201
135,20,[15033|5|10027|3],[[15033|5]|[10027|3]],2,[0|0],405160202
136,20,[15033|5|10027|5],[[15033|5]|[10027|5]],3,[0|0],405160203
137,20,[15033|8|10027|5],[[15033|8]|[10027|5]],4,[0|0],405160204
138,20,[15033|8|10027|8],[[15033|8]|[10027|8]],5,[0|0],405160205
139,20,[15033|11|10027|8],[[15033|11]|[10027|8]],6,[0|0],405160206
140,20,[15033|11|10027|11],[[15033|11]|[10027|11]],7,[0|0],405160207
141,21,[10039|3|10020|3],[[10039|3]|[10020|3]],1,[0|0],405160201
142,21,[10039|5|10020|3],[[10039|5]|[10020|3]],2,[0|0],405160202
143,21,[10039|5|10020|5],[[10039|5]|[10020|5]],3,[0|0],405160203
144,21,[10039|8|10020|5],[[10039|8]|[10020|5]],4,[0|0],405160204
145,21,[10039|8|10020|8],[[10039|8]|[10020|8]],5,[0|0],405160205
146,21,[10039|11|10020|8],[[10039|11]|[10020|8]],6,[0|0],405160206
147,21,[10039|11|10020|11],[[10039|11]|[10020|11]],7,[0|0],405160207
148,22,[10033|3|10027|3],[[10033|3]|[10027|3]],1,[0|0],405160201
149,22,[10033|5|10027|3],[[10033|5]|[10027|3]],2,[0|0],405160202
150,22,[10033|5|10027|5],[[10033|5]|[10027|5]],3,[0|0],405160203
151,22,[10033|8|10027|5],[[10033|8]|[10027|5]],4,[0|0],405160204
152,22,[10033|8|10027|8],[[10033|8]|[10027|8]],5,[0|0],405160205
153,22,[10033|11|10027|8],[[10033|11]|[10027|8]],6,[0|0],405160206
154,22,[10033|11|10027|11],[[10033|11]|[10027|11]],7,[0|0],405160207
155,23,[10042|3|10040|3],[[10042|3]|[10040|3]],1,[0|0],405160201
156,23,[10042|5|10040|3],[[10042|5]|[10040|3]],2,[0|0],405160202
157,23,[10042|5|10040|5],[[10042|5]|[10040|5]],3,[0|0],405160203
158,23,[10042|8|10040|5],[[10042|8]|[10040|5]],4,[0|0],405160204
159,23,[10042|8|10040|8],[[10042|8]|[10040|8]],5,[0|0],405160205
160,23,[10042|11|10040|8],[[10042|11]|[10040|8]],6,[0|0],405160206
161,23,[10042|11|10040|11],[[10042|11]|[10040|11]],7,[0|0],405160207
