id,idle_reward,idle_reward_2,idle_time,idle_time_2,idle_time_max
106,1020106,1023106,60,600,480
107,1020107,1023107,60,600,480
108,1020108,1023108,60,600,480
109,1020109,1023109,60,600,480
110,1020110,1023110,60,600,480
111,1020111,1023111,60,600,480
112,1020112,1023112,60,600,480
113,1020113,1023113,60,600,480
114,1020114,1023114,60,600,480
115,1020115,1023115,60,600,480
116,1020116,1023116,60,600,480
117,1020117,1023117,60,600,480
118,1020118,1023118,60,600,480
119,1020119,1023119,60,600,480
120,1020120,1023120,60,600,480
121,1020121,1023121,60,600,480
122,1020122,1023122,60,600,480
123,1020123,1023123,60,600,480
124,1020124,1023124,60,600,480
125,1020125,1023125,60,600,480
126,1020126,1023126,60,600,480
127,1020127,1023127,60,600,480
128,1020128,1023128,60,600,480
129,1020129,1023129,60,600,480
130,1020130,1023130,60,600,480
131,1020131,1023131,60,600,480
132,1020132,1023132,60,600,480
133,1020133,1023133,60,600,480
134,1020134,1023134,60,600,480
135,1020135,1023135,60,600,480
136,1020136,1023136,60,600,480
137,1020137,1023137,60,600,480
138,1020138,1023138,60,600,480
139,1020139,1023139,60,600,480
140,1020140,1023140,60,600,480
141,1020141,1023141,60,600,480
142,1020142,1023142,60,600,480
143,1020143,1023143,60,600,480
144,1020144,1023144,60,600,480
145,1020145,1023145,60,600,480
146,1020146,1023146,60,600,480
147,1020147,1023147,60,600,480
148,1020148,1023148,60,600,480
149,1020149,1023149,60,600,480
150,1020150,1023150,60,600,480
151,1020151,1023151,60,600,480
152,1020152,1023152,60,600,480
153,1020153,1023153,60,600,480
154,1020154,1023154,60,600,480
155,1020155,1023155,60,600,480
156,1020156,1023156,60,600,480
157,1020157,1023157,60,600,480
158,1020158,1023158,60,600,480
159,1020159,1023159,60,600,480
160,1020160,1023160,60,600,480
161,1020161,1023161,60,600,480
162,1020162,1023162,60,600,480
163,1020163,1023163,60,600,480
164,1020164,1023164,60,600,480
165,1020165,1023165,60,600,480
166,1020166,1023166,60,600,480
167,1020167,1023167,60,600,480
168,1020168,1023168,60,600,480
169,1020169,1023169,60,600,480
170,1020170,1023170,60,600,480
171,1020171,1023171,60,600,480
172,1020172,1023172,60,600,480
173,1020173,1023173,60,600,480
174,1020174,1023174,60,600,480
175,1020175,1023175,60,600,480
176,1020176,1023176,60,600,480
177,1020177,1023177,60,600,480
178,1020178,1023178,60,600,480
179,1020179,1023179,60,600,480
180,1020180,1023180,60,600,480
181,1020181,1023181,60,600,480
182,1020182,1023182,60,600,480
183,1020183,1023183,60,600,480
184,1020184,1023184,60,600,480
185,1020185,1023185,60,600,480
186,1020186,1023186,60,600,480
187,1020187,1023187,60,600,480
188,1020188,1023188,60,600,480
189,1020189,1023189,60,600,480
190,1020190,1023190,60,600,480
191,1020191,1023191,60,600,480
192,1020192,1023192,60,600,480
193,1020193,1023193,60,600,480
194,1020194,1023194,60,600,480
195,1020195,1023195,60,600,480
196,1020196,1023196,60,600,480
197,1020197,1023197,60,600,480
198,1020198,1023198,60,600,480
199,1020199,1023199,60,600,480
200,1020200,1023200,60,600,480
201,1020201,1023201,60,600,480
202,1020202,1023202,60,600,480
203,1020203,1023203,60,600,480
204,1020204,1023204,60,600,480
205,1020205,1023205,60,600,480
206,1020206,1023206,60,600,480
207,1020207,1023207,60,600,480
208,1020208,1023208,60,600,480
209,1020209,1023209,60,600,480
210,1020210,1023210,60,600,480
211,1020211,1023211,60,600,480
212,1020212,1023212,60,600,480
213,1020213,1023213,60,600,480
214,1020214,1023214,60,600,480
215,1020215,1023215,60,600,480
216,1020216,1023216,60,600,480
217,1020217,1023217,60,600,480
218,1020218,1023218,60,600,480
219,1020219,1023219,60,600,480
220,1020220,1023220,60,600,480
221,1020221,1023221,60,600,480
222,1020222,1023222,60,600,480
223,1020223,1023223,60,600,480
224,1020224,1023224,60,600,480
225,1020225,1023225,60,600,480
226,1020226,1023226,60,600,480
227,1020227,1023227,60,600,480
228,1020228,1023228,60,600,480
229,1020229,1023229,60,600,480
230,1020230,1023230,60,600,480
231,1020231,1023231,60,600,480
232,1020232,1023232,60,600,480
233,1020233,1023233,60,600,480
234,1020234,1023234,60,600,480
235,1020235,1023235,60,600,480
236,1020236,1023236,60,600,480
237,1020237,1023237,60,600,480
238,1020238,1023238,60,600,480
239,1020239,1023239,60,600,480
240,1020240,1023240,60,600,480
241,1020241,1023241,60,600,480
242,1020242,1023242,60,600,480
243,1020243,1023243,60,600,480
244,1020244,1023244,60,600,480
245,1020245,1023245,60,600,480
246,1020246,1023246,60,600,480
247,1020247,1023247,60,600,480
248,1020248,1023248,60,600,480
249,1020249,1023249,60,600,480
250,1020250,1023250,60,600,480
251,1020251,1023251,60,600,480
252,1020252,1023252,60,600,480
253,1020253,1023253,60,600,480
254,1020254,1023254,60,600,480
255,1020255,1023255,60,600,480
256,1020256,1023256,60,600,480
257,1020257,1023257,60,600,480
258,1020258,1023258,60,600,480
259,1020259,1023259,60,600,480
260,1020260,1023260,60,600,480
261,1020261,1023261,60,600,480
262,1020262,1023262,60,600,480
263,1020263,1023263,60,600,480
264,1020264,1023264,60,600,480
265,1020265,1023265,60,600,480
266,1020266,1023266,60,600,480
267,1020267,1023267,60,600,480
268,1020268,1023268,60,600,480
269,1020269,1023269,60,600,480
270,1020270,1023270,60,600,480
271,1020271,1023271,60,600,480
272,1020272,1023272,60,600,480
273,1020273,1023273,60,600,480
274,1020274,1023274,60,600,480
275,1020275,1023275,60,600,480
276,1020276,1023276,60,600,480
277,1020277,1023277,60,600,480
278,1020278,1023278,60,600,480
279,1020279,1023279,60,600,480
280,1020280,1023280,60,600,480
281,1020281,1023281,60,600,480
282,1020282,1023282,60,600,480
283,1020283,1023283,60,600,480
284,1020284,1023284,60,600,480
285,1020285,1023285,60,600,480
286,1020286,1023286,60,600,480
287,1020287,1023287,60,600,480
288,1020288,1023288,60,600,480
289,1020289,1023289,60,600,480
290,1020290,1023290,60,600,480
291,1020291,1023291,60,600,480
292,1020292,1023292,60,600,480
293,1020293,1023293,60,600,480
294,1020294,1023294,60,600,480
295,1020295,1023295,60,600,480
296,1020296,1023296,60,600,480
297,1020297,1023297,60,600,480
298,1020298,1023298,60,600,480
299,1020299,1023299,60,600,480
300,1020300,1023300,60,600,480
301,1020301,1023301,60,600,480
302,1020302,1023302,60,600,480
303,1020303,1023303,60,600,480
304,1020304,1023304,60,600,480
305,1020305,1023305,60,600,480
306,1020306,1023306,60,600,480
307,1020307,1023307,60,600,480
308,1020308,1023308,60,600,480
309,1020309,1023309,60,600,480
310,1020310,1023310,60,600,480
311,1020311,1023311,60,600,480
312,1020312,1023312,60,600,480
313,1020313,1023313,60,600,480
314,1020314,1023314,60,600,480
315,1020315,1023315,60,600,480
316,1020316,1023316,60,600,480
317,1020317,1023317,60,600,480
318,1020318,1023318,60,600,480
319,1020319,1023319,60,600,480
320,1020320,1023320,60,600,480
321,1020321,1023321,60,600,480
322,1020322,1023322,60,600,480
323,1020323,1023323,60,600,480
324,1020324,1023324,60,600,480
325,1020325,1023325,60,600,480
326,1020326,1023326,60,600,480
327,1020327,1023327,60,600,480
328,1020328,1023328,60,600,480
329,1020329,1023329,60,600,480
330,1020330,1023330,60,600,480
331,1020331,1023331,60,600,480
332,1020332,1023332,60,600,480
333,1020333,1023333,60,600,480
334,1020334,1023334,60,600,480
335,1020335,1023335,60,600,480
336,1020336,1023336,60,600,480
337,1020337,1023337,60,600,480
338,1020338,1023338,60,600,480
339,1020339,1023339,60,600,480
340,1020340,1023340,60,600,480
341,1020341,1023341,60,600,480
342,1020342,1023342,60,600,480
343,1020343,1023343,60,600,480
344,1020344,1023344,60,600,480
345,1020345,1023345,60,600,480
346,1020346,1023346,60,600,480
347,1020347,1023347,60,600,480
348,1020348,1023348,60,600,480
349,1020349,1023349,60,600,480
350,1020350,1023350,60,600,480
351,1020351,1023351,60,600,480
352,1020352,1023352,60,600,480
353,1020353,1023353,60,600,480
354,1020354,1023354,60,600,480
355,1020355,1023355,60,600,480
356,1020356,1023356,60,600,480
357,1020357,1023357,60,600,480
358,1020358,1023358,60,600,480
359,1020359,1023359,60,600,480
360,1020360,1023360,60,600,480
361,1020361,1023361,60,600,480
362,1020362,1023362,60,600,480
363,1020363,1023363,60,600,480
364,1020364,1023364,60,600,480
365,1020365,1023365,60,600,480
366,1020366,1023366,60,600,480
367,1020367,1023367,60,600,480
368,1020368,1023368,60,600,480
369,1020369,1023369,60,600,480
370,1020370,1023370,60,600,480
371,1020371,1023371,60,600,480
372,1020372,1023372,60,600,480
373,1020373,1023373,60,600,480
374,1020374,1023374,60,600,480
375,1020375,1023375,60,600,480
376,1020376,1023376,60,600,480
377,1020377,1023377,60,600,480
378,1020378,1023378,60,600,480
379,1020379,1023379,60,600,480
380,1020380,1023380,60,600,480
381,1020381,1023381,60,600,480
382,1020382,1023382,60,600,480
383,1020383,1023383,60,600,480
384,1020384,1023384,60,600,480
385,1020385,1023385,60,600,480
386,1020386,1023386,60,600,480
387,1020387,1023387,60,600,480
388,1020388,1023388,60,600,480
389,1020389,1023389,60,600,480
390,1020390,1023390,60,600,480
391,1020391,1023391,60,600,480
392,1020392,1023392,60,600,480
393,1020393,1023393,60,600,480
394,1020394,1023394,60,600,480
395,1020395,1023395,60,600,480
396,1020396,1023396,60,600,480
397,1020397,1023397,60,600,480
398,1020398,1023398,60,600,480
399,1020399,1023399,60,600,480
400,1020400,1023400,60,600,480
401,1020401,1023401,60,600,480
402,1020402,1023402,60,600,480
403,1020403,1023403,60,600,480
404,1020404,1023404,60,600,480
405,1020405,1023405,60,600,480
406,1020406,1023406,60,600,480
407,1020407,1023407,60,600,480
408,1020408,1023408,60,600,480
409,1020409,1023409,60,600,480
410,1020410,1023410,60,600,480
411,1020411,1023411,60,600,480
412,1020412,1023412,60,600,480
413,1020413,1023413,60,600,480
414,1020414,1023414,60,600,480
415,1020415,1023415,60,600,480
416,1020416,1023416,60,600,480
417,1020417,1023417,60,600,480
418,1020418,1023418,60,600,480
419,1020419,1023419,60,600,480
420,1020420,1023420,60,600,480
421,1020421,1023421,60,600,480
422,1020422,1023422,60,600,480
423,1020423,1023423,60,600,480
424,1020424,1023424,60,600,480
425,1020425,1023425,60,600,480
426,1020426,1023426,60,600,480
427,1020427,1023427,60,600,480
428,1020428,1023428,60,600,480
429,1020429,1023429,60,600,480
430,1020430,1023430,60,600,480
431,1020431,1023431,60,600,480
432,1020432,1023432,60,600,480
433,1020433,1023433,60,600,480
434,1020434,1023434,60,600,480
435,1020435,1023435,60,600,480
436,1020436,1023436,60,600,480
437,1020437,1023437,60,600,480
438,1020438,1023438,60,600,480
439,1020439,1023439,60,600,480
440,1020440,1023440,60,600,480
441,1020441,1023441,60,600,480
442,1020442,1023442,60,600,480
443,1020443,1023443,60,600,480
444,1020444,1023444,60,600,480
445,1020445,1023445,60,600,480
446,1020446,1023446,60,600,480
447,1020447,1023447,60,600,480
448,1020448,1023448,60,600,480
449,1020449,1023449,60,600,480
450,1020450,1023450,60,600,480
