id,alliance_sign,another_pic,battle_sign,info_id,pic,property_quality,property_source,showType,simple_title,text,title
10201,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title01
10202,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title02
10203,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title03
10204,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title04
10205,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title01
10206,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title02
10207,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title03
10208,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title04
10209,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title01
10210,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title02
10211,-1,,-1,-1,,-1,,Number,,property_text_1,chip_property_title03
10212,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title04
10213,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title03
10219,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title01
10220,-1,,-1,-1,,-1,,Percent,,property_text_1,chip_property_title57
10214,-1,,-1,-1,,-1,,Number,,,
10215,-1,,-1,-1,,-1,,Percent,,,
10216,-1,,-1,-1,,-1,,Number,,,
10217,-1,,-1,-1,,-1,,Number,,,
10218,-1,,-1,-1,,-1,,Percent,,,
10301,-1,,-1,-1,,-1,,Number,,,
10302,-1,,-1,-1,,-1,,Number,,,
10303,-1,,-1,-1,,-1,,Percent,,,
10304,-1,,-1,-1,,-1,,Percent,,,
10305,-1,,-1,-1,,-1,,Percent,,,
10306,-1,,-1,-1,,-1,,Number,,,
10307,-1,,-1,-1,,-1,,Percent,,,
10308,-1,,-1,-1,,-1,,Number,,,
10309,-1,,-1,-1,,-1,,Number,,,
10310,-1,,-1,-1,,-1,,Percent,,,
10311,-1,,-1,-1,,-1,,Percent,,,
10312,-1,,-1,-1,,-1,,Percent,,,
10313,-1,,-1,-1,,-1,,Percent,,,
10314,-1,,-1,-1,,-1,,Percent,,,
10315,-1,,-1,-1,,-1,,Percent,,,
10401,-1,,-1,-1,,-1,,Percent,,,
10402,-1,,-1,-1,,-1,,Percent,,,
10403,-1,UI/ItemIcon/icon_item_buff_leidatili,-1,-1,,5,,Number,,property_text_13,property_title_41
10404,-1,,-1,-1,,-1,,Percent,,,
10406,-1,,-1,-1,,-1,,Percent,,,
10407,-1,,-1,-1,,-1,,Percent,,,
10408,-1,,-1,-1,,-1,,Percent,,,
10409,-1,,-1,-1,,-1,,Percent,,,
10410,-1,,-1,-1,,-1,,Percent,,,
10412,-1,,-1,-1,,-1,,Percent,,,
10413,-1,,-1,-1,,-1,,Percent,,,
10414,-1,,-1,-1,,-1,,Percent,,,
10415,-1,,-1,-1,,-1,,Percent,,,
10416,-1,,-1,-1,,-1,,Percent,,,
10501,-1,,-1,-1,,-1,[2],Number,,,pvp_text102
10502,-1,,-1,-1,,-1,[2],Number,,,pvp_text103
10504,-1,,-1,-1,,-1,,Percent,,,
10506,-1,,-1,-1,,-1,,Number,,,
11000,-1,,-1,-1,,-1,,Number,,,
12000,-1,UI/ItemIcon/icon_item_buff_fuzhika,-1,-1,,-1,,Number,,property_text_10,property_title_42
12001,-1,UI/ItemIcon/icon_item_buff_dengjizengjia,-1,-1,,-1,,Number,,property_text_11,property_title_43
12002,-1,,-1,108,UI/ItemIcon/ArmyAtt/icon_amry_shuxing_chuanLever,-1,,Number,,property_text_1,ship_level_text1
13000,-1,,-1,-1,,-1,,Percent,,,
13001,-1,,-1,-1,,-1,,Percent,,,
13002,-1,,-1,-1,,-1,,Percent,,,
13003,-1,,-1,-1,,-1,,Percent,,,
13004,-1,,-1,-1,,-1,,Number,,,
13005,-1,,-1,-1,,-1,,Percent,,,
13006,-1,,-1,-1,,-1,,Percent,,,
13007,-1,,-1,-1,,-1,,Percent,,,
13008,-1,,-1,-1,,-1,,Percent,,,
13009,-1,,-1,-1,,-1,,Percent,,,
13010,-1,,-1,-1,,-1,,Number,,,
13011,-1,,-1,-1,,-1,,Number,,,
13012,-1,,-1,-1,,-1,,Number,,,
13013,-1,,-1,-1,,-1,,Number,,,
13014,-1,,-1,-1,,-1,,Percent,,,
13015,-1,,-1,-1,,-1,,Percent,,,
13016,-1,,-1,-1,,-1,,Percent,,,
13017,-1,,-1,-1,,-1,,Percent,,,
13018,-1,,-1,-1,,-1,,Percent,,,
14000,-1,,-1,-1,,-1,,Number,,,property_title_44
14001,-1,,-1,-1,,-1,,Percent,,,property_title_44
14002,-1,,-1,-1,,-1,,Number,,,property_title_45
14003,-1,,-1,-1,,-1,,Percent,,,property_title_45
14004,-1,,-1,-1,,-1,,Number,,,property_title_46
14005,-1,,-1,-1,,-1,,Percent,,,property_title_46
14006,-1,,-1,-1,,-1,,Percent,,,property_title_47
14007,-1,,-1,-1,,-1,,Number,,,property_title_48
14008,-1,,-1,-1,,-1,,Number,,,property_title_49
14100,-1,,-1,-1,,-1,,Number,,,property_title_44
14101,-1,,-1,-1,,-1,,Percent,,,property_title_44
14102,-1,,-1,-1,,-1,,Number,,,property_title_45
14103,-1,,-1,-1,,-1,,Percent,,,property_title_45
14104,-1,,-1,-1,,-1,,Number,,,property_title_46
14105,-1,,-1,-1,,-1,,Percent,,,property_title_46
14106,-1,,-1,-1,,-1,,Percent,,,property_title_47
14107,-1,,-1,-1,,-1,,Number,,,property_title_48
14108,-1,,-1,-1,,-1,,Number,,,property_title_49
14200,-1,,-1,-1,,-1,,Number,,,property_title_44
14201,-1,,-1,-1,,-1,,Percent,,,property_title_44
14202,-1,,-1,-1,,-1,,Number,,,property_title_45
14203,-1,,-1,-1,,-1,,Percent,,,property_title_45
14204,-1,,-1,-1,,-1,,Number,,,property_title_46
14205,-1,,-1,-1,,-1,,Percent,,,property_title_46
14206,-1,,-1,-1,,-1,,Percent,,,property_title_47
14207,-1,,-1,-1,,-1,,Number,,,property_title_48
14208,-1,,-1,-1,,-1,,Number,,,property_title_49
14300,-1,,-1,-1,,-1,,Number,,,property_title_44
14301,-1,,-1,-1,,-1,,Percent,,,property_title_44
14302,-1,,-1,-1,,-1,,Number,,,property_title_45
14303,-1,,-1,-1,,-1,,Percent,,,property_title_45
14304,-1,,-1,-1,,-1,,Number,,,property_title_46
14305,-1,,-1,-1,,-1,,Percent,,,property_title_46
14306,-1,,-1,-1,,-1,,Percent,,,property_title_47
14307,-1,,-1,-1,,-1,,Number,,,property_title_48
14308,-1,,-1,-1,,-1,,Number,,,property_title_49
