id,attrExtraList,attrRatioList,cosr,desc,desc_2,desc_parameter,desc1s,desc2s,extra_1,extra_2,extra_3,extra_4,extra_5,extra_6,fightforce,fightforce_ratio,hero_id,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,skill,skill_level,skill_level_new,skill_levels,skill_new,skills,special,star,star_sub
10001021,[[3|115]|[4|1688]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|115],[4|1688],[10|0],[5|0],[57|0],[24|0],0,1.18,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,2,1
10001022,[[3|122]|[4|1863]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|122],[4|1863],[10|0],[5|0],[57|0],[24|0],0,1.19,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,2,2
10001023,[[3|129]|[4|2037]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|129],[4|2037],[10|0],[5|0],[57|0],[24|0],0,1.2,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,2,3
10001024,[[3|136]|[4|2212]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|136],[4|2212],[10|0],[5|0],[57|0],[24|0],0,1.22,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,2,4
10001030,[[3|162]|[4|2568]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,[hero_star_desc_1],[hero_skill_name_1000111],1,[hero_star_desc_1],[hero_skill_name_1000111],[3|162],[4|2568],[10|0],[5|0],[57|0],[24|0],0,1.26,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000111,2,[1],[1],[1000111],[1000111],1,3,0
10001031,[[3|169]|[4|2772]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|169],[4|2772],[10|0],[5|0],[57|0],[24|0],0,1.27,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,3,1
10001032,[[3|176]|[4|2976]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|176],[4|2976],[10|0],[5|0],[57|0],[24|0],0,1.28,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,3,2
10001033,[[3|183]|[4|3181]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|183],[4|3181],[10|0],[5|0],[57|0],[24|0],0,1.29,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,3,3
10001034,[[3|191]|[4|3385]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,,,,[],[],[3|191],[4|3385],[10|0],[5|0],[57|0],[24|0],0,1.3,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,3,4
10001040,[[3|216]|[4|3843]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,[hero_star_desc_1],[hero_skill_name_1000112],1,[hero_star_desc_1],[hero_skill_name_1000112],[3|216],[4|3843],[10|0],[5|0],[57|0],[24|0],0,1.34,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000112,2,[1],[1],[1000112],[1000112],-1,4,0
10001041,[[3|223]|[4|4080]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|223],[4|4080],[10|0],[5|0],[57|0],[24|0],0,1.35,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,4,1
10001042,[[3|230]|[4|4316]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|230],[4|4316],[10|0],[5|0],[57|0],[24|0],0,1.36,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,4,2
10001043,[[3|237]|[4|4552]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|237],[4|4552],[10|0],[5|0],[57|0],[24|0],0,1.37,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,4,3
10001044,[[3|245]|[4|4789]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|245],[4|4789],[10|0],[5|0],[57|0],[24|0],0,1.39,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,4,4
10001050,[[3|270]|[4|5357]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],6,[hero_star_desc_1],[hero_skill_name_1000101],2,[hero_star_desc_1],[hero_skill_name_1000101],[3|270],[4|5357],[10|0],[5|0],[57|0],[24|0],0,1.43,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000101,3,[2],[2],[1000101],[1000101],-1,5,0
10001051,[[3|277]|[4|5652]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],6,,,,[],[],[3|277],[4|5652],[10|0],[5|0],[57|0],[24|0],0,1.44,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,5,1
10001052,[[3|284]|[4|5946]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],6,,,,[],[],[3|284],[4|5946],[10|0],[5|0],[57|0],[24|0],0,1.45,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,5,2
10001053,[[3|292]|[4|6241]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],6,,,,[],[],[3|292],[4|6241],[10|0],[5|0],[57|0],[24|0],0,1.46,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,5,3
10001054,[[3|299]|[4|6535]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],6,,,,[],[],[3|299],[4|6535],[10|0],[5|0],[57|0],[24|0],0,1.47,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,5,4
10001060,[[3|447]|[4|8663]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,[hero_star_desc_1],[hero_skill_name_1000102],2,[hero_star_desc_1],[hero_skill_name_1000102],[3|447],[4|8663],[10|0],[5|0],[57|0],[24|0],0,1.57,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000102,3,[2],[2],[1000102],[1000102],1,6,0
10001061,[[3|456]|[4|9050]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|456],[4|9050],[10|0],[5|0],[57|0],[24|0],0,1.58,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,6,1
10001062,[[3|465]|[4|9437]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|465],[4|9437],[10|0],[5|0],[57|0],[24|0],0,1.59,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,6,2
10001063,[[3|474]|[4|9824]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|474],[4|9824],[10|0],[5|0],[57|0],[24|0],0,1.6,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,6,3
10001064,[[3|483]|[4|10210]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|483],[4|10210],[10|0],[5|0],[57|0],[24|0],0,1.61,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,6,4
10001070,[[3|691]|[4|13346]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,[hero_star_desc_1],[hero_skill_name_1000111],2,[hero_star_desc_1],[hero_skill_name_1000111],[3|691],[4|13346],[10|0],[5|0],[57|0],[24|0],0,1.71,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000111,3,[2],[2],[1000111],[1000111],-1,7,0
10001071,[[3|702]|[4|13850]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|702],[4|13850],[10|0],[5|0],[57|0],[24|0],0,1.72,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,7,1
10001072,[[3|713]|[4|14354]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|713],[4|14354],[10|0],[5|0],[57|0],[24|0],0,1.73,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,7,2
10001073,[[3|724]|[4|14857]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|724],[4|14857],[10|0],[5|0],[57|0],[24|0],0,1.74,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,7,3
10001074,[[3|735]|[4|15361]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|735],[4|15361],[10|0],[5|0],[57|0],[24|0],0,1.75,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,7,4
10001080,[[3|1020]|[4|19911]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,[hero_star_desc_1],[hero_skill_name_1000112],2,[hero_star_desc_1],[hero_skill_name_1000112],[3|1020],[4|19911],[10|0],[5|0],[57|0],[24|0],0,1.85,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000112,3,[2],[2],[1000112],[1000112],-1,8,0
10001081,[[3|1034]|[4|20564]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1034],[4|20564],[10|0],[5|0],[57|0],[24|0],0,1.86,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,8,1
10001082,[[3|1047]|[4|21217]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1047],[4|21217],[10|0],[5|0],[57|0],[24|0],0,1.87,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,8,2
10001083,[[3|1061]|[4|21871]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1061],[4|21871],[10|0],[5|0],[57|0],[24|0],0,1.88,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,8,3
10001084,[[3|1075]|[4|22524]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1075],[4|22524],[10|0],[5|0],[57|0],[24|0],0,1.9,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,8,4
10001090,[[3|1453]|[4|28837]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,[hero_star_desc_1],[hero_skill_name_1000101],3,[hero_star_desc_1],[hero_skill_name_1000101],[3|1453],[4|28837],[10|0],[5|0],[57|0],[24|0],0,1.99,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000101,4,[3],[3],[1000101],[1000101],-1,9,0
10001091,[[3|1469]|[4|29676]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1469],[4|29676],[10|0],[5|0],[57|0],[24|0],0,2,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,9,1
10001092,[[3|1486]|[4|30515]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1486],[4|30515],[10|0],[5|0],[57|0],[24|0],0,2.01,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,9,2
10001093,[[3|1503]|[4|31354]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1503],[4|31354],[10|0],[5|0],[57|0],[24|0],0,2.03,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,9,3
10001094,[[3|1519]|[4|32192]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|1519],[4|32192],[10|0],[5|0],[57|0],[24|0],0,2.04,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,9,4
10001100,[[3|2020]|[4|40958]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,[hero_star_desc_1],[hero_skill_name_1000102],3,[hero_star_desc_1],[hero_skill_name_1000102],[3|2020],[4|40958],[10|0],[5|0],[57|0],[24|0],0,2.13,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000102,4,[3],[3],[1000102],[1000102],-1,10,0
10001101,[[3|2041]|[4|42420]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|2041],[4|42420],[10|0],[5|0],[57|0],[24|0],0,2.14,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,10,1
10001102,[[3|2061]|[4|43882]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|2061],[4|43882],[10|0],[5|0],[57|0],[24|0],0,2.16,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,10,2
10001103,[[3|2081]|[4|45343]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|2081],[4|45343],[10|0],[5|0],[57|0],[24|0],0,2.17,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,10,3
10001104,[[3|2101]|[4|46805]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|2101],[4|46805],[10|0],[5|0],[57|0],[24|0],0,2.18,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,10,4
10001110,[[3|2807]|[4|60483]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|2807],[4|60483],[10|0],[5|0],[57|0],[24|0],0,2.3,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,11,0
10001111,[[3|2831]|[4|62412]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|2831],[4|62412],[10|0],[5|0],[57|0],[24|0],0,2.31,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,11,1
10001112,[[3|2855]|[4|64341]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|2855],[4|64341],[10|0],[5|0],[57|0],[24|0],0,2.33,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,11,2
10001113,[[3|2880]|[4|66270]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|2880],[4|66270],[10|0],[5|0],[57|0],[24|0],0,2.34,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,11,3
10001114,[[3|2904]|[4|68198]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],4,,,,[],[],[3|2904],[4|68198],[10|0],[5|0],[57|0],[24|0],0,2.35,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,11,4
10001120,[[3|3719]|[4|85164]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|3719],[4|85164],[10|0],[5|0],[57|0],[24|0],0,2.47,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,12,0
10001121,[[3|3747]|[4|87625]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|3747],[4|87625],[10|0],[5|0],[57|0],[24|0],0,2.48,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,12,1
10001122,[[3|3776]|[4|90085]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|3776],[4|90085],[10|0],[5|0],[57|0],[24|0],0,2.5,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,12,2
10001123,[[3|3805]|[4|92546]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|3805],[4|92546],[10|0],[5|0],[57|0],[24|0],0,2.51,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,12,3
10001124,[[3|3833]|[4|95006]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],8,,,,[],[],[3|3833],[4|95006],[10|0],[5|0],[57|0],[24|0],0,2.52,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,12,4
10001130,[[3|4844]|[4|117789]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|4844],[4|117789],[10|0],[5|0],[57|0],[24|0],0,2.64,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,13,0
10001131,[[3|4877]|[4|122729]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|4877],[4|122729],[10|0],[5|0],[57|0],[24|0],0,2.65,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,13,1
10001132,[[3|4911]|[4|127669]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|4911],[4|127669],[10|0],[5|0],[57|0],[24|0],0,2.67,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,13,2
10001133,[[3|4944]|[4|132609]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|4944],[4|132609],[10|0],[5|0],[57|0],[24|0],0,2.68,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,13,3
10001134,[[3|4978]|[4|137549]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|4978],[4|137549],[10|0],[5|0],[57|0],[24|0],0,2.69,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,13,4
10001140,[[3|5763]|[4|147292]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|5763],[4|147292],[10|0],[5|0],[57|0],[24|0],0,2.96,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,14,0
10001141,[[3|5796]|[4|152669]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|5796],[4|152669],[10|0],[5|0],[57|0],[24|0],0,2.97,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,14,1
10001142,[[3|5830]|[4|158046]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],16,,,,[],[],[3|5830],[4|158046],[10|0],[5|0],[57|0],[24|0],0,2.98,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,14,2
