id,atk_death_rate,atk_injury_rate,atk_serious_injury_rate,enemy_birth,fight_type,forbid_skip,hero_birth,map,map_stage_wave,pos_relative,report_icon,stage_time,switch_downgrade,switch_rebirth,switch_resetting,switch_troop_morale,switch_water_morale,team_castle_level,team_level,team_power,troop_morale_skill,type,water,wave_max,waveList
29,-1,-1,-1,1002,-1,-1,203,10006,[2901],,,60,0,0,0,-1,-1,8,40,80400,,1,-1,1,[2901]
30,-1,-1,-1,1023,-1,-1,203,10006,[3001],,,60,0,0,0,-1,-1,8,40,82200,,1,-1,1,[3001]
31,-1,-1,-1,1002,-1,-1,203,10006,[3101],,,60,0,0,0,-1,-1,9,42,84000,,1,-1,1,[3101]
32,-1,-1,-1,1002,-1,-1,203,10006,[3201],,,60,0,0,0,-1,-1,9,42,85800,,1,-1,1,[3201]
33,-1,-1,-1,1002,-1,-1,203,10006,[3301],,,60,0,0,0,-1,-1,9,44,87600,,1,-1,1,[3301]
34,-1,-1,-1,1002,-1,-1,203,10006,[3401],,,60,0,0,0,-1,-1,9,44,89400,,1,-1,1,[3401]
35,-1,-1,-1,1024,-1,-1,203,10006,[3501],,,60,0,0,0,-1,-1,10,46,91200,,1,-1,1,[3501]
36,-1,-1,-1,1002,-1,-1,203,10006,[3601],,,60,0,0,0,-1,-1,10,46,93000,,1,-1,1,[3601]
37,-1,-1,-1,1002,-1,-1,203,10006,[3701],,,60,0,0,0,-1,-1,10,48,94800,,1,-1,1,[3701]
38,-1,-1,-1,1002,-1,-1,203,10006,[3801],,,60,0,0,0,-1,-1,10,48,96600,,1,-1,1,[3801]
39,-1,-1,-1,1002,-1,-1,203,10006,[3901],,,60,0,0,0,-1,-1,10,50,98400,,1,-1,1,[3901]
40,-1,-1,-1,1024,-1,-1,203,10006,[4001],,,60,0,0,0,-1,-1,10,50,100200,,1,-1,1,[4001]
41,-1,-1,-1,1002,-1,-1,203,10006,[4101],,,60,0,0,0,-1,-1,11,52,102000,,1,-1,1,[4101]
42,-1,-1,-1,1002,-1,-1,203,10006,[4201],,,60,0,0,0,-1,-1,11,52,103800,,1,-1,1,[4201]
43,-1,-1,-1,1002,-1,-1,203,10006,[4301],,,60,0,0,0,-1,-1,11,54,105600,,1,-1,1,[4301]
44,-1,-1,-1,1002,-1,-1,203,10006,[4401],,,60,0,0,0,-1,-1,11,54,107400,,1,-1,1,[4401]
45,-1,-1,-1,1023,-1,-1,203,10006,[4501],,,60,0,0,0,-1,-1,12,56,109200,,1,-1,1,[4501]
46,-1,-1,-1,1002,-1,-1,203,10006,[4601],,,60,0,0,0,-1,-1,12,56,111000,,1,-1,1,[4601]
47,-1,-1,-1,1002,-1,-1,203,10006,[4701],,,60,0,0,0,-1,-1,12,58,112800,,1,-1,1,[4701]
48,-1,-1,-1,1002,-1,-1,203,10006,[4801],,,60,0,0,0,-1,-1,12,58,114600,,1,-1,1,[4801]
49,-1,-1,-1,1002,-1,-1,203,10006,[4901],,,60,0,0,0,-1,-1,12,60,116400,,1,-1,1,[4901]
50,-1,-1,-1,1024,-1,-1,203,10006,[5001],,,60,0,0,0,-1,-1,12,60,120000,,1,-1,1,[5001]
51,-1,-1,-1,1002,-1,-1,203,10006,[5101],,,60,0,0,0,-1,-1,13,62,132000,,1,-1,1,[5101]
52,-1,-1,-1,1002,-1,-1,203,10006,[5201],,,60,0,0,0,-1,-1,13,62,144000,,1,-1,1,[5201]
53,-1,-1,-1,1002,-1,-1,203,10006,[5301],,,60,0,0,0,-1,-1,13,64,156000,,1,-1,1,[5301]
54,-1,-1,-1,1002,-1,-1,203,10006,[5401],,,60,0,0,0,-1,-1,13,64,168000,,1,-1,1,[5401]
55,-1,-1,-1,1024,-1,-1,203,10006,[5501],,,60,0,0,0,-1,-1,14,66,180000,,1,-1,1,[5501]
56,-1,-1,-1,1002,-1,-1,203,10006,[5601],,,60,0,0,0,-1,-1,14,66,192000,,1,-1,1,[5601]
57,-1,-1,-1,1002,-1,-1,203,10006,[5701],,,60,0,0,0,-1,-1,14,68,204000,,1,-1,1,[5701]
58,-1,-1,-1,1002,-1,-1,203,10006,[5801],,,60,0,0,0,-1,-1,14,68,216000,,1,-1,1,[5801]
59,-1,-1,-1,1002,-1,-1,203,10006,[5901],,,60,0,0,0,-1,-1,14,70,228000,,1,-1,1,[5901]
60,-1,-1,-1,1023,-1,-1,203,10006,[6001],,,60,0,0,0,-1,-1,14,70,240000,,1,-1,1,[6001]
61,-1,-1,-1,1002,-1,-1,203,10006,[6101],,,60,0,0,0,-1,-1,15,72,252000,,1,-1,1,[6101]
62,-1,-1,-1,1002,-1,-1,203,10006,[6201],,,60,0,0,0,-1,-1,15,72,264000,,1,-1,1,[6201]
63,-1,-1,-1,1002,-1,-1,203,10006,[6301],,,60,0,0,0,-1,-1,15,74,276000,,1,-1,1,[6301]
64,-1,-1,-1,1002,-1,-1,203,10006,[6401],,,60,0,0,0,-1,-1,15,74,288000,,1,-1,1,[6401]
65,-1,-1,-1,1023,-1,-1,203,10006,[6501],,,60,0,0,0,-1,-1,16,76,300000,,1,-1,1,[6501]
66,-1,-1,-1,1002,-1,-1,203,10006,[6601],,,60,0,0,0,-1,-1,16,76,312000,,1,-1,1,[6601]
67,-1,-1,-1,1002,-1,-1,203,10006,[6701],,,60,0,0,0,-1,-1,16,78,324000,,1,-1,1,[6701]
68,-1,-1,-1,1002,-1,-1,203,10006,[6801],,,60,0,0,0,-1,-1,16,78,336000,,1,-1,1,[6801]
69,-1,-1,-1,1002,-1,-1,203,10006,[6901],,,60,0,0,0,-1,-1,16,80,348000,,1,-1,1,[6901]
70,-1,-1,-1,1023,-1,-1,203,10006,[7001],,,60,0,0,0,-1,-1,16,80,360000,,1,-1,1,[7001]
71,-1,-1,-1,1002,-1,-1,203,10006,[7101],,,60,0,0,0,-1,-1,17,82,372000,,1,-1,1,[7101]
72,-1,-1,-1,1002,-1,-1,203,10006,[7201],,,60,0,0,0,-1,-1,17,82,384000,,1,-1,1,[7201]
73,-1,-1,-1,1002,-1,-1,203,10006,[7301],,,60,0,0,0,-1,-1,17,84,396000,,1,-1,1,[7301]
74,-1,-1,-1,1002,-1,-1,203,10006,[7401],,,60,0,0,0,-1,-1,17,84,408000,,1,-1,1,[7401]
75,-1,-1,-1,1023,-1,-1,203,10006,[7501],,,60,0,0,0,-1,-1,18,86,420000,,1,-1,1,[7501]
76,-1,-1,-1,1002,-1,-1,203,10006,[7601],,,60,0,0,0,-1,-1,18,86,432000,,1,-1,1,[7601]
77,-1,-1,-1,1002,-1,-1,203,10006,[7701],,,60,0,0,0,-1,-1,18,88,444000,,1,-1,1,[7701]
78,-1,-1,-1,1002,-1,-1,203,10006,[7801],,,60,0,0,0,-1,-1,18,88,456000,,1,-1,1,[7801]
79,-1,-1,-1,1002,-1,-1,203,10006,[7901],,,60,0,0,0,-1,-1,18,90,468000,,1,-1,1,[7901]
80,-1,-1,-1,1023,-1,-1,203,10006,[8001],,,60,0,0,0,-1,-1,18,90,480000,,1,-1,1,[8001]
81,-1,-1,-1,1002,-1,-1,203,10006,[8101],,,60,0,0,0,-1,-1,19,91,492000,,1,-1,1,[8101]
82,-1,-1,-1,1002,-1,-1,203,10006,[8201],,,60,0,0,0,-1,-1,19,91,504000,,1,-1,1,[8201]
83,-1,-1,-1,1002,-1,-1,203,10006,[8301],,,60,0,0,0,-1,-1,19,92,516000,,1,-1,1,[8301]
84,-1,-1,-1,1002,-1,-1,203,10006,[8401],,,60,0,0,0,-1,-1,19,92,528000,,1,-1,1,[8401]
85,-1,-1,-1,1023,-1,-1,203,10006,[8501],,,60,0,0,0,-1,-1,19,93,540000,,1,-1,1,[8501]
86,-1,-1,-1,1002,-1,-1,203,10006,[8601],,,60,0,0,0,-1,-1,19,93,552000,,1,-1,1,[8601]
87,-1,-1,-1,1002,-1,-1,203,10006,[8701],,,60,0,0,0,-1,-1,19,94,564000,,1,-1,1,[8701]
88,-1,-1,-1,1002,-1,-1,203,10006,[8801],,,60,0,0,0,-1,-1,19,94,576000,,1,-1,1,[8801]
89,-1,-1,-1,1002,-1,-1,203,10006,[8901],,,60,0,0,0,-1,-1,19,95,588000,,1,-1,1,[8901]
90,-1,-1,-1,1023,-1,-1,203,10006,[9001],,,60,0,0,0,-1,-1,19,95,600000,,1,-1,1,[9001]
91,-1,-1,-1,1002,-1,-1,203,10006,[9101],,,60,0,0,0,-1,-1,20,96,612000,,1,-1,1,[9101]
92,-1,-1,-1,1002,-1,-1,203,10006,[9201],,,60,0,0,0,-1,-1,20,96,624000,,1,-1,1,[9201]
93,-1,-1,-1,1002,-1,-1,203,10006,[9301],,,60,0,0,0,-1,-1,20,97,636000,,1,-1,1,[9301]
94,-1,-1,-1,1002,-1,-1,203,10006,[9401],,,60,0,0,0,-1,-1,20,97,648000,,1,-1,1,[9401]
95,-1,-1,-1,1023,-1,-1,203,10006,[9501],,,60,0,0,0,-1,-1,20,98,660000,,1,-1,1,[9501]
96,-1,-1,-1,1002,-1,-1,203,10006,[9601],,,60,0,0,0,-1,-1,20,98,672000,,1,-1,1,[9601]
97,-1,-1,-1,1002,-1,-1,203,10006,[9701],,,60,0,0,0,-1,-1,20,99,684000,,1,-1,1,[9701]
98,-1,-1,-1,1002,-1,-1,203,10006,[9801],,,60,0,0,0,-1,-1,20,99,696000,,1,-1,1,[9801]
99,-1,-1,-1,1002,-1,-1,203,10006,[9901],,,60,0,0,0,-1,-1,20,100,708000,,1,-1,1,[9901]
100,-1,-1,-1,1023,-1,-1,203,10006,[10001],,,60,0,0,0,-1,-1,20,100,720000,,1,-1,1,[10001]
101,-1,-1,-1,1002,-1,-1,203,10006,[10101],,,60,0,0,0,-1,-1,21,101,733200,,1,-1,1,[10101]
102,-1,-1,-1,1002,-1,-1,203,10006,[10201],,,60,0,0,0,-1,-1,21,101,746400,,1,-1,1,[10201]
103,-1,-1,-1,1002,-1,-1,203,10006,[10301],,,60,0,0,0,-1,-1,21,102,759600,,1,-1,1,[10301]
104,-1,-1,-1,1002,-1,-1,203,10006,[10401],,,60,0,0,0,-1,-1,21,102,772800,,1,-1,1,[10401]
105,-1,-1,-1,1023,-1,-1,203,10006,[10501],,,60,0,0,0,-1,-1,21,103,786000,,1,-1,1,[10501]
106,-1,-1,-1,1002,-1,-1,203,10006,[10601],,,60,0,0,0,-1,-1,21,103,799200,,1,-1,1,[10601]
107,-1,-1,-1,1002,-1,-1,203,10006,[10701],,,60,0,0,0,-1,-1,21,104,812400,,1,-1,1,[10701]
108,-1,-1,-1,1002,-1,-1,203,10006,[10801],,,60,0,0,0,-1,-1,21,104,825600,,1,-1,1,[10801]
109,-1,-1,-1,1002,-1,-1,203,10006,[10901],,,60,0,0,0,-1,-1,21,105,838800,,1,-1,1,[10901]
110,-1,-1,-1,1023,-1,-1,203,10006,[11001],,,60,0,0,0,-1,-1,21,105,852000,,1,-1,1,[11001]
111,-1,-1,-1,1002,-1,-1,203,10006,[11101],,,60,0,0,0,-1,-1,22,106,865200,,1,-1,1,[11101]
112,-1,-1,-1,1002,-1,-1,203,10006,[11201],,,60,0,0,0,-1,-1,22,106,878400,,1,-1,1,[11201]
113,-1,-1,-1,1002,-1,-1,203,10006,[11301],,,60,0,0,0,-1,-1,22,107,891600,,1,-1,1,[11301]
114,-1,-1,-1,1002,-1,-1,203,10006,[11401],,,60,0,0,0,-1,-1,22,107,904800,,1,-1,1,[11401]
115,-1,-1,-1,1023,-1,-1,203,10006,[11501],,,60,0,0,0,-1,-1,22,108,918000,,1,-1,1,[11501]
116,-1,-1,-1,1002,-1,-1,203,10006,[11601],,,60,0,0,0,-1,-1,22,108,931200,,1,-1,1,[11601]
117,-1,-1,-1,1002,-1,-1,203,10006,[11701],,,60,0,0,0,-1,-1,22,109,944400,,1,-1,1,[11701]
118,-1,-1,-1,1002,-1,-1,203,10006,[11801],,,60,0,0,0,-1,-1,22,109,957600,,1,-1,1,[11801]
119,-1,-1,-1,1002,-1,-1,203,10006,[11901],,,60,0,0,0,-1,-1,22,110,970800,,1,-1,1,[11901]
120,-1,-1,-1,1023,-1,-1,203,10006,[12001],,,60,0,0,0,-1,-1,22,110,984000,,1,-1,1,[12001]
121,-1,-1,-1,1002,-1,-1,203,10006,[12101],,,60,0,0,0,-1,-1,23,111,997200,,1,-1,1,[12101]
122,-1,-1,-1,1002,-1,-1,203,10006,[12201],,,60,0,0,0,-1,-1,23,111,1010400,,1,-1,1,[12201]
123,-1,-1,-1,1002,-1,-1,203,10006,[12301],,,60,0,0,0,-1,-1,23,112,1023600,,1,-1,1,[12301]
124,-1,-1,-1,1002,-1,-1,203,10006,[12401],,,60,0,0,0,-1,-1,23,112,1036800,,1,-1,1,[12401]
125,-1,-1,-1,1023,-1,-1,203,10006,[12501],,,60,0,0,0,-1,-1,23,113,1050000,,1,-1,1,[12501]
126,-1,-1,-1,1002,-1,-1,203,10006,[12601],,,60,0,0,0,-1,-1,23,113,1063200,,1,-1,1,[12601]
127,-1,-1,-1,1002,-1,-1,203,10006,[12701],,,60,0,0,0,-1,-1,23,114,1076400,,1,-1,1,[12701]
128,-1,-1,-1,1002,-1,-1,203,10006,[12801],,,60,0,0,0,-1,-1,23,114,1089600,,1,-1,1,[12801]
129,-1,-1,-1,1002,-1,-1,203,10006,[12901],,,60,0,0,0,-1,-1,23,115,1102800,,1,-1,1,[12901]
130,-1,-1,-1,1023,-1,-1,203,10006,[13001],,,60,0,0,0,-1,-1,23,115,1116000,,1,-1,1,[13001]
131,-1,-1,-1,1002,-1,-1,203,10006,[13101],,,60,0,0,0,-1,-1,24,116,1129200,,1,-1,1,[13101]
132,-1,-1,-1,1002,-1,-1,203,10006,[13201],,,60,0,0,0,-1,-1,24,116,1142400,,1,-1,1,[13201]
133,-1,-1,-1,1002,-1,-1,203,10006,[13301],,,60,0,0,0,-1,-1,24,117,1155600,,1,-1,1,[13301]
134,-1,-1,-1,1002,-1,-1,203,10006,[13401],,,60,0,0,0,-1,-1,24,117,1168800,,1,-1,1,[13401]
135,-1,-1,-1,1023,-1,-1,203,10006,[13501],,,60,0,0,0,-1,-1,24,118,1182000,,1,-1,1,[13501]
136,-1,-1,-1,1002,-1,-1,203,10006,[13601],,,60,0,0,0,-1,-1,24,118,1195200,,1,-1,1,[13601]
137,-1,-1,-1,1002,-1,-1,203,10006,[13701],,,60,0,0,0,-1,-1,24,119,1208400,,1,-1,1,[13701]
138,-1,-1,-1,1002,-1,-1,203,10006,[13801],,,60,0,0,0,-1,-1,24,119,1221600,,1,-1,1,[13801]
139,-1,-1,-1,1002,-1,-1,203,10006,[13901],,,60,0,0,0,-1,-1,24,120,1234800,,1,-1,1,[13901]
140,-1,-1,-1,1023,-1,-1,203,10006,[14001],,,60,0,0,0,-1,-1,24,120,1248000,,1,-1,1,[14001]
141,-1,-1,-1,1002,-1,-1,203,10006,[14101],,,60,0,0,0,-1,-1,25,121,1261200,,1,-1,1,[14101]
142,-1,-1,-1,1002,-1,-1,203,10006,[14201],,,60,0,0,0,-1,-1,25,121,1274400,,1,-1,1,[14201]
143,-1,-1,-1,1002,-1,-1,203,10006,[14301],,,60,0,0,0,-1,-1,25,122,1287600,,1,-1,1,[14301]
144,-1,-1,-1,1002,-1,-1,203,10006,[14401],,,60,0,0,0,-1,-1,25,122,1300800,,1,-1,1,[14401]
145,-1,-1,-1,1023,-1,-1,203,10006,[14501],,,60,0,0,0,-1,-1,25,123,1314000,,1,-1,1,[14501]
146,-1,-1,-1,1002,-1,-1,203,10006,[14601],,,60,0,0,0,-1,-1,25,123,1327200,,1,-1,1,[14601]
147,-1,-1,-1,1002,-1,-1,203,10006,[14701],,,60,0,0,0,-1,-1,25,124,1340400,,1,-1,1,[14701]
148,-1,-1,-1,1002,-1,-1,203,10006,[14801],,,60,0,0,0,-1,-1,25,124,1353600,,1,-1,1,[14801]
149,-1,-1,-1,1002,-1,-1,203,10006,[14901],,,60,0,0,0,-1,-1,25,125,1366800,,1,-1,1,[14901]
150,-1,-1,-1,1023,-1,-1,203,10006,[15001],,,60,0,0,0,-1,-1,25,125,1380000,,1,-1,1,[15001]
151,-1,-1,-1,1002,-1,-1,203,10006,[15101],,,60,0,0,0,-1,-1,26,126,1393200,,1,-1,1,[15101]
152,-1,-1,-1,1002,-1,-1,203,10006,[15201],,,60,0,0,0,-1,-1,26,126,1406400,,1,-1,1,[15201]
153,-1,-1,-1,1002,-1,-1,203,10006,[15301],,,60,0,0,0,-1,-1,26,127,1419600,,1,-1,1,[15301]
154,-1,-1,-1,1002,-1,-1,203,10006,[15401],,,60,0,0,0,-1,-1,26,127,1432800,,1,-1,1,[15401]
155,-1,-1,-1,1023,-1,-1,203,10006,[15501],,,60,0,0,0,-1,-1,26,128,1446000,,1,-1,1,[15501]
156,-1,-1,-1,1002,-1,-1,203,10006,[15601],,,60,0,0,0,-1,-1,26,128,1459200,,1,-1,1,[15601]
157,-1,-1,-1,1002,-1,-1,203,10006,[15701],,,60,0,0,0,-1,-1,26,129,1472400,,1,-1,1,[15701]
158,-1,-1,-1,1002,-1,-1,203,10006,[15801],,,60,0,0,0,-1,-1,26,129,1485600,,1,-1,1,[15801]
159,-1,-1,-1,1002,-1,-1,203,10006,[15901],,,60,0,0,0,-1,-1,26,130,1498800,,1,-1,1,[15901]
160,-1,-1,-1,1023,-1,-1,203,10006,[16001],,,60,0,0,0,-1,-1,26,130,1512000,,1,-1,1,[16001]
161,-1,-1,-1,1002,-1,-1,203,10006,[16101],,,60,0,0,0,-1,-1,27,131,1525200,,1,-1,1,[16101]
162,-1,-1,-1,1002,-1,-1,203,10006,[16201],,,60,0,0,0,-1,-1,27,131,1538400,,1,-1,1,[16201]
163,-1,-1,-1,1002,-1,-1,203,10006,[16301],,,60,0,0,0,-1,-1,27,132,1551600,,1,-1,1,[16301]
164,-1,-1,-1,1002,-1,-1,203,10006,[16401],,,60,0,0,0,-1,-1,27,132,1564800,,1,-1,1,[16401]
165,-1,-1,-1,1023,-1,-1,203,10006,[16501],,,60,0,0,0,-1,-1,27,133,1578000,,1,-1,1,[16501]
166,-1,-1,-1,1002,-1,-1,203,10006,[16601],,,60,0,0,0,-1,-1,27,133,1591200,,1,-1,1,[16601]
167,-1,-1,-1,1002,-1,-1,203,10006,[16701],,,60,0,0,0,-1,-1,27,134,1604400,,1,-1,1,[16701]
168,-1,-1,-1,1002,-1,-1,203,10006,[16801],,,60,0,0,0,-1,-1,27,134,1617600,,1,-1,1,[16801]
169,-1,-1,-1,1002,-1,-1,203,10006,[16901],,,60,0,0,0,-1,-1,27,135,1630800,,1,-1,1,[16901]
170,-1,-1,-1,1023,-1,-1,203,10006,[17001],,,60,0,0,0,-1,-1,27,135,1644000,,1,-1,1,[17001]
171,-1,-1,-1,1002,-1,-1,203,10006,[17101],,,60,0,0,0,-1,-1,28,136,1657200,,1,-1,1,[17101]
172,-1,-1,-1,1002,-1,-1,203,10006,[17201],,,60,0,0,0,-1,-1,28,136,1670400,,1,-1,1,[17201]
173,-1,-1,-1,1002,-1,-1,203,10006,[17301],,,60,0,0,0,-1,-1,28,137,1683600,,1,-1,1,[17301]
174,-1,-1,-1,1002,-1,-1,203,10006,[17401],,,60,0,0,0,-1,-1,28,137,1696800,,1,-1,1,[17401]
175,-1,-1,-1,1023,-1,-1,203,10006,[17501],,,60,0,0,0,-1,-1,28,138,1710000,,1,-1,1,[17501]
176,-1,-1,-1,1002,-1,-1,203,10006,[17601],,,60,0,0,0,-1,-1,28,138,1723200,,1,-1,1,[17601]
177,-1,-1,-1,1002,-1,-1,203,10006,[17701],,,60,0,0,0,-1,-1,28,139,1736400,,1,-1,1,[17701]
178,-1,-1,-1,1002,-1,-1,203,10006,[17801],,,60,0,0,0,-1,-1,28,139,1749600,,1,-1,1,[17801]
179,-1,-1,-1,1002,-1,-1,203,10006,[17901],,,60,0,0,0,-1,-1,28,140,1762800,,1,-1,1,[17901]
180,-1,-1,-1,1023,-1,-1,203,10006,[18001],,,60,0,0,0,-1,-1,28,140,1776000,,1,-1,1,[18001]
181,-1,-1,-1,1002,-1,-1,203,10006,[18101],,,60,0,0,0,-1,-1,29,141,1789200,,1,-1,1,[18101]
182,-1,-1,-1,1002,-1,-1,203,10006,[18201],,,60,0,0,0,-1,-1,29,141,1802400,,1,-1,1,[18201]
183,-1,-1,-1,1002,-1,-1,203,10006,[18301],,,60,0,0,0,-1,-1,29,142,1815600,,1,-1,1,[18301]
184,-1,-1,-1,1002,-1,-1,203,10006,[18401],,,60,0,0,0,-1,-1,29,142,1828800,,1,-1,1,[18401]
185,-1,-1,-1,1023,-1,-1,203,10006,[18501],,,60,0,0,0,-1,-1,29,143,1842000,,1,-1,1,[18501]
186,-1,-1,-1,1002,-1,-1,203,10006,[18601],,,60,0,0,0,-1,-1,29,143,1855200,,1,-1,1,[18601]
187,-1,-1,-1,1002,-1,-1,203,10006,[18701],,,60,0,0,0,-1,-1,29,144,1868400,,1,-1,1,[18701]
188,-1,-1,-1,1002,-1,-1,203,10006,[18801],,,60,0,0,0,-1,-1,29,144,1881600,,1,-1,1,[18801]
189,-1,-1,-1,1002,-1,-1,203,10006,[18901],,,60,0,0,0,-1,-1,29,145,1894800,,1,-1,1,[18901]
190,-1,-1,-1,1023,-1,-1,203,10006,[19001],,,60,0,0,0,-1,-1,29,145,1908000,,1,-1,1,[19001]
191,-1,-1,-1,1002,-1,-1,203,10006,[19101],,,60,0,0,0,-1,-1,30,146,1921200,,1,-1,1,[19101]
192,-1,-1,-1,1002,-1,-1,203,10006,[19201],,,60,0,0,0,-1,-1,30,146,1934400,,1,-1,1,[19201]
193,-1,-1,-1,1002,-1,-1,203,10006,[19301],,,60,0,0,0,-1,-1,30,147,1947600,,1,-1,1,[19301]
194,-1,-1,-1,1002,-1,-1,203,10006,[19401],,,60,0,0,0,-1,-1,30,147,1960800,,1,-1,1,[19401]
195,-1,-1,-1,1023,-1,-1,203,10006,[19501],,,60,0,0,0,-1,-1,30,148,1974000,,1,-1,1,[19501]
196,-1,-1,-1,1002,-1,-1,203,10006,[19601],,,60,0,0,0,-1,-1,30,148,1987200,,1,-1,1,[19601]
197,-1,-1,-1,1002,-1,-1,203,10006,[19701],,,60,0,0,0,-1,-1,30,149,2000400,,1,-1,1,[19701]
198,-1,-1,-1,1002,-1,-1,203,10006,[19801],,,60,0,0,0,-1,-1,30,149,2013600,,1,-1,1,[19801]
199,-1,-1,-1,1002,-1,-1,203,10006,[19901],,,60,0,0,0,-1,-1,30,150,2026800,,1,-1,1,[19901]
200,-1,-1,-1,1023,-1,-1,203,10006,[20001],,,60,0,0,0,-1,-1,30,150,1980000,,1,-1,1,[20001]
201,-1,-1,-1,1002,-1,-1,203,10006,[20101],,,60,0,0,0,-1,-1,31,151,2012400,,1,-1,1,[20101]
