id,attr,attr_group,level,monster_attr
20060,{3:1|4:3},2,60,"3|1,4|3"
20061,{3:1|4:3},2,61,"3|1,4|3"
20062,{3:1|4:3},2,62,"3|1,4|3"
20063,{3:1|4:3},2,63,"3|1,4|3"
20064,{3:1|4:3},2,64,"3|1,4|3"
20065,{3:1|4:3},2,65,"3|1,4|3"
20066,{3:1|4:3},2,66,"3|1,4|3"
20067,{3:1|4:3},2,67,"3|1,4|3"
20068,{3:1|4:3},2,68,"3|1,4|3"
20069,{3:1|4:3},2,69,"3|1,4|3"
20070,{3:1|4:3},2,70,"3|1,4|3"
20071,{3:1|4:3},2,71,"3|1,4|3"
20072,{3:1|4:3},2,72,"3|1,4|3"
20073,{3:1|4:3},2,73,"3|1,4|3"
20074,{3:1|4:3},2,74,"3|1,4|3"
20075,{3:1|4:3},2,75,"3|1,4|3"
20076,{3:1|4:3},2,76,"3|1,4|3"
20077,{3:1|4:3},2,77,"3|1,4|3"
20078,{3:1|4:3},2,78,"3|1,4|3"
20079,{3:1|4:3},2,79,"3|1,4|3"
20080,{3:1|4:3},2,80,"3|1,4|3"
20081,{3:1|4:3},2,81,"3|1,4|3"
20082,{3:1|4:3},2,82,"3|1,4|3"
20083,{3:1|4:3},2,83,"3|1,4|3"
20084,{3:1|4:3},2,84,"3|1,4|3"
20085,{3:1|4:3},2,85,"3|1,4|3"
20086,{3:1|4:3},2,86,"3|1,4|3"
20087,{3:1|4:3},2,87,"3|1,4|3"
20088,{3:1|4:3},2,88,"3|1,4|3"
20089,{3:1|4:3},2,89,"3|1,4|3"
20090,{3:1|4:3},2,90,"3|1,4|3"
20091,{3:1|4:3},2,91,"3|1,4|3"
20092,{3:1|4:3},2,92,"3|1,4|3"
20093,{3:1|4:3},2,93,"3|1,4|3"
20094,{3:1|4:3},2,94,"3|1,4|3"
20095,{3:1|4:3},2,95,"3|1,4|3"
20096,{3:1|4:3},2,96,"3|1,4|3"
20097,{3:1|4:3},2,97,"3|1,4|3"
20098,{3:1|4:3},2,98,"3|1,4|3"
20099,{3:1|4:3},2,99,"3|1,4|3"
20100,{3:1|4:3},2,100,"3|1,4|3"
30001,{3:1|4:3},3,1,"3|1,4|3"
30002,{3:1|4:3},3,2,"3|1,4|3"
30003,{3:1|4:3},3,3,"3|1,4|3"
30004,{3:1|4:3},3,4,"3|1,4|3"
30005,{3:1|4:3},3,5,"3|1,4|3"
30006,{3:1|4:3},3,6,"3|1,4|3"
30007,{3:1|4:3},3,7,"3|1,4|3"
30008,{3:1|4:3},3,8,"3|1,4|3"
30009,{3:1|4:3},3,9,"3|1,4|3"
30010,{3:1|4:3},3,10,"3|1,4|3"
30011,{3:1|4:3},3,11,"3|1,4|3"
30012,{3:1|4:3},3,12,"3|1,4|3"
30013,{3:1|4:3},3,13,"3|1,4|3"
30014,{3:1|4:3},3,14,"3|1,4|3"
30015,{3:1|4:3},3,15,"3|1,4|3"
30016,{3:1|4:3},3,16,"3|1,4|3"
30017,{3:1|4:3},3,17,"3|1,4|3"
30018,{3:1|4:3},3,18,"3|1,4|3"
30019,{3:1|4:3},3,19,"3|1,4|3"
30020,{3:1|4:3},3,20,"3|1,4|3"
30021,{3:1|4:3},3,21,"3|1,4|3"
30022,{3:1|4:3},3,22,"3|1,4|3"
30023,{3:1|4:3},3,23,"3|1,4|3"
30024,{3:1|4:3},3,24,"3|1,4|3"
30025,{3:1|4:3},3,25,"3|1,4|3"
30026,{3:1|4:3},3,26,"3|1,4|3"
30027,{3:1|4:3},3,27,"3|1,4|3"
30028,{3:1|4:3},3,28,"3|1,4|3"
30029,{3:1|4:3},3,29,"3|1,4|3"
30030,{3:1|4:3},3,30,"3|1,4|3"
30031,{3:1|4:3},3,31,"3|1,4|3"
30032,{3:1|4:3},3,32,"3|1,4|3"
30033,{3:1|4:3},3,33,"3|1,4|3"
30034,{3:1|4:3},3,34,"3|1,4|3"
30035,{3:1|4:3},3,35,"3|1,4|3"
30036,{3:1|4:3},3,36,"3|1,4|3"
30037,{3:1|4:3},3,37,"3|1,4|3"
30038,{3:1|4:3},3,38,"3|1,4|3"
30039,{3:1|4:3},3,39,"3|1,4|3"
30040,{3:1|4:3},3,40,"3|1,4|3"
30041,{3:1|4:3},3,41,"3|1,4|3"
30042,{3:1|4:3},3,42,"3|1,4|3"
30043,{3:1|4:3},3,43,"3|1,4|3"
30044,{3:1|4:3},3,44,"3|1,4|3"
30045,{3:1|4:3},3,45,"3|1,4|3"
30046,{3:1|4:3},3,46,"3|1,4|3"
30047,{3:1|4:3},3,47,"3|1,4|3"
30048,{3:1|4:3},3,48,"3|1,4|3"
30049,{3:1|4:3},3,49,"3|1,4|3"
30050,{3:1|4:3},3,50,"3|1,4|3"
30051,{3:1|4:3},3,51,"3|1,4|3"
30052,{3:1|4:3},3,52,"3|1,4|3"
30053,{3:1|4:3},3,53,"3|1,4|3"
30054,{3:1|4:3},3,54,"3|1,4|3"
30055,{3:1|4:3},3,55,"3|1,4|3"
30056,{3:1|4:3},3,56,"3|1,4|3"
30057,{3:1|4:3},3,57,"3|1,4|3"
30058,{3:1|4:3},3,58,"3|1,4|3"
30059,{3:1|4:3},3,59,"3|1,4|3"
30060,{3:1|4:3},3,60,"3|1,4|3"
30061,{3:1|4:3},3,61,"3|1,4|3"
30062,{3:1|4:3},3,62,"3|1,4|3"
30063,{3:1|4:3},3,63,"3|1,4|3"
30064,{3:1|4:3},3,64,"3|1,4|3"
30065,{3:1|4:3},3,65,"3|1,4|3"
30066,{3:1|4:3},3,66,"3|1,4|3"
30067,{3:1|4:3},3,67,"3|1,4|3"
30068,{3:1|4:3},3,68,"3|1,4|3"
30069,{3:1|4:3},3,69,"3|1,4|3"
30070,{3:1|4:3},3,70,"3|1,4|3"
30071,{3:1|4:3},3,71,"3|1,4|3"
30072,{3:1|4:3},3,72,"3|1,4|3"
30073,{3:1|4:3},3,73,"3|1,4|3"
30074,{3:1|4:3},3,74,"3|1,4|3"
30075,{3:1|4:3},3,75,"3|1,4|3"
30076,{3:1|4:3},3,76,"3|1,4|3"
30077,{3:1|4:3},3,77,"3|1,4|3"
30078,{3:1|4:3},3,78,"3|1,4|3"
30079,{3:1|4:3},3,79,"3|1,4|3"
30080,{3:1|4:3},3,80,"3|1,4|3"
30081,{3:1|4:3},3,81,"3|1,4|3"
30082,{3:1|4:3},3,82,"3|1,4|3"
30083,{3:1|4:3},3,83,"3|1,4|3"
30084,{3:1|4:3},3,84,"3|1,4|3"
30085,{3:1|4:3},3,85,"3|1,4|3"
30086,{3:1|4:3},3,86,"3|1,4|3"
30087,{3:1|4:3},3,87,"3|1,4|3"
30088,{3:1|4:3},3,88,"3|1,4|3"
30089,{3:1|4:3},3,89,"3|1,4|3"
30090,{3:1|4:3},3,90,"3|1,4|3"
30091,{3:1|4:3},3,91,"3|1,4|3"
30092,{3:1|4:3},3,92,"3|1,4|3"
30093,{3:1|4:3},3,93,"3|1,4|3"
30094,{3:1|4:3},3,94,"3|1,4|3"
30095,{3:1|4:3},3,95,"3|1,4|3"
30096,{3:1|4:3},3,96,"3|1,4|3"
30097,{3:1|4:3},3,97,"3|1,4|3"
30098,{3:1|4:3},3,98,"3|1,4|3"
30099,{3:1|4:3},3,99,"3|1,4|3"
30100,{3:1|4:3},3,100,"3|1,4|3"
40001,{3:1|4:3},4,1,"3|1,4|3"
40002,{3:1|4:3},4,2,"3|1,4|3"
40003,{3:1|4:3},4,3,"3|1,4|3"
40004,{3:1|4:3},4,4,"3|1,4|3"
40005,{3:1|4:3},4,5,"3|1,4|3"
40006,{3:1|4:3},4,6,"3|1,4|3"
40007,{3:1|4:3},4,7,"3|1,4|3"
40008,{3:1|4:3},4,8,"3|1,4|3"
40009,{3:1|4:3},4,9,"3|1,4|3"
40010,{3:1|4:3},4,10,"3|1,4|3"
40011,{3:1|4:3},4,11,"3|1,4|3"
40012,{3:1|4:3},4,12,"3|1,4|3"
40013,{3:1|4:3},4,13,"3|1,4|3"
40014,{3:1|4:3},4,14,"3|1,4|3"
40015,{3:1|4:3},4,15,"3|1,4|3"
40016,{3:1|4:3},4,16,"3|1,4|3"
40017,{3:1|4:3},4,17,"3|1,4|3"
40018,{3:1|4:3},4,18,"3|1,4|3"
40019,{3:1|4:3},4,19,"3|1,4|3"
40020,{3:1|4:3},4,20,"3|1,4|3"
40021,{3:1|4:3},4,21,"3|1,4|3"
40022,{3:1|4:3},4,22,"3|1,4|3"
40023,{3:1|4:3},4,23,"3|1,4|3"
40024,{3:1|4:3},4,24,"3|1,4|3"
40025,{3:1|4:3},4,25,"3|1,4|3"
40026,{3:1|4:3},4,26,"3|1,4|3"
40027,{3:1|4:3},4,27,"3|1,4|3"
40028,{3:1|4:3},4,28,"3|1,4|3"
40029,{3:1|4:3},4,29,"3|1,4|3"
40030,{3:1|4:3},4,30,"3|1,4|3"
40031,{3:1|4:3},4,31,"3|1,4|3"
40032,{3:1|4:3},4,32,"3|1,4|3"
40033,{3:1|4:3},4,33,"3|1,4|3"
40034,{3:1|4:3},4,34,"3|1,4|3"
40035,{3:1|4:3},4,35,"3|1,4|3"
40036,{3:1|4:3},4,36,"3|1,4|3"
40037,{3:1|4:3},4,37,"3|1,4|3"
40038,{3:1|4:3},4,38,"3|1,4|3"
40039,{3:1|4:3},4,39,"3|1,4|3"
40040,{3:1|4:3},4,40,"3|1,4|3"
40041,{3:1|4:3},4,41,"3|1,4|3"
40042,{3:1|4:3},4,42,"3|1,4|3"
40043,{3:1|4:3},4,43,"3|1,4|3"
40044,{3:1|4:3},4,44,"3|1,4|3"
40045,{3:1|4:3},4,45,"3|1,4|3"
40046,{3:1|4:3},4,46,"3|1,4|3"
40047,{3:1|4:3},4,47,"3|1,4|3"
40048,{3:1|4:3},4,48,"3|1,4|3"
40049,{3:1|4:3},4,49,"3|1,4|3"
40050,{3:1|4:3},4,50,"3|1,4|3"
40051,{3:1|4:3},4,51,"3|1,4|3"
40052,{3:1|4:3},4,52,"3|1,4|3"
40053,{3:1|4:3},4,53,"3|1,4|3"
40054,{3:1|4:3},4,54,"3|1,4|3"
40055,{3:1|4:3},4,55,"3|1,4|3"
40056,{3:1|4:3},4,56,"3|1,4|3"
40057,{3:1|4:3},4,57,"3|1,4|3"
40058,{3:1|4:3},4,58,"3|1,4|3"
40059,{3:1|4:3},4,59,"3|1,4|3"
40060,{3:1|4:3},4,60,"3|1,4|3"
40061,{3:1|4:3},4,61,"3|1,4|3"
40062,{3:1|4:3},4,62,"3|1,4|3"
40063,{3:1|4:3},4,63,"3|1,4|3"
40064,{3:1|4:3},4,64,"3|1,4|3"
40065,{3:1|4:3},4,65,"3|1,4|3"
40066,{3:1|4:3},4,66,"3|1,4|3"
40067,{3:1|4:3},4,67,"3|1,4|3"
40068,{3:1|4:3},4,68,"3|1,4|3"
40069,{3:1|4:3},4,69,"3|1,4|3"
40070,{3:1|4:3},4,70,"3|1,4|3"
40071,{3:1|4:3},4,71,"3|1,4|3"
40072,{3:1|4:3},4,72,"3|1,4|3"
40073,{3:1|4:3},4,73,"3|1,4|3"
40074,{3:1|4:3},4,74,"3|1,4|3"
40075,{3:1|4:3},4,75,"3|1,4|3"
40076,{3:1|4:3},4,76,"3|1,4|3"
40077,{3:1|4:3},4,77,"3|1,4|3"
40078,{3:1|4:3},4,78,"3|1,4|3"
40079,{3:1|4:3},4,79,"3|1,4|3"
40080,{3:1|4:3},4,80,"3|1,4|3"
40081,{3:1|4:3},4,81,"3|1,4|3"
40082,{3:1|4:3},4,82,"3|1,4|3"
40083,{3:1|4:3},4,83,"3|1,4|3"
40084,{3:1|4:3},4,84,"3|1,4|3"
40085,{3:1|4:3},4,85,"3|1,4|3"
40086,{3:1|4:3},4,86,"3|1,4|3"
40087,{3:1|4:3},4,87,"3|1,4|3"
40088,{3:1|4:3},4,88,"3|1,4|3"
40089,{3:1|4:3},4,89,"3|1,4|3"
40090,{3:1|4:3},4,90,"3|1,4|3"
40091,{3:1|4:3},4,91,"3|1,4|3"
40092,{3:1|4:3},4,92,"3|1,4|3"
40093,{3:1|4:3},4,93,"3|1,4|3"
40094,{3:1|4:3},4,94,"3|1,4|3"
40095,{3:1|4:3},4,95,"3|1,4|3"
40096,{3:1|4:3},4,96,"3|1,4|3"
40097,{3:1|4:3},4,97,"3|1,4|3"
40098,{3:1|4:3},4,98,"3|1,4|3"
40099,{3:1|4:3},4,99,"3|1,4|3"
40100,{3:1|4:3},4,100,"3|1,4|3"
