id,attr,attrs,basic_score,break_probably_1,break_probably_2,break_reward,breakRewards,desc,drop_exist_time,entry_1,entry_2,entry_3,entry_4,entry_group_1,entry_group_2,entry_group_3,entry_group_4,entry_num,entry_quality,entrys,fightforce,fly_bag,level,name,picture,probably_reward_1,probably_reward_2,probablyRewards1,probablyRewards2,quality,race_list,race_probability,show_picture,strAttrs,suit_id,type
3303001,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,-1,,[4|405],-1,3
3104001,[4|544],{4:544},544,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,60,equipment_name_3104001,icon_42001,,,[],[],2,,-1,,[4|544],-1,3
3304001,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,-1,,[4|571],-1,3
6102001,[4|237],{4:237},237,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,20,equipment_name_6102001,icon_45002,,,[],[],2,,-1,,[4|237],-1,4
6103001,[4|386],{4:386},386,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,40,equipment_name_6103001,icon_45004,,,[],[],2,,-1,,[4|386],-1,4
6303001,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,-1,,[4|405],-1,4
6104001,[4|544],{4:544},544,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,60,equipment_name_6104001,icon_45001,,,[],[],2,,-1,,[4|544],-1,4
6304001,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,-1,,[4|571],-1,4
1302001,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[],[],[],[101|10000],,,,,,[101],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
1403001,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[701|10000],[],[],[401|10000],[701|10000],,,,,[401|701],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403011,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[101|10000],[701|10000],[],[],[101|10000],[701|10000],,,,,[101|701],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],4,,5000,,[3|142],-1,1
1404001,[3|199],{3:199},796,-1,-1,[999|11|5],[999|11|5],,5000,[101|10000],[701|10000],[],[],[101|10000],[701|10000],,,,,[101|701],-1,1,60,equipment_name_1404001,icon_40003,,,[],[],4,,5000,,[3|199],-1,1
2302001,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[601|10000],[],[],[],[601|10000],,,,,,[601],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
2404001,[4|798],{4:798},798,-1,-1,[999|11|5],[999|11|5],,5000,[601|10000],[701|10000],[],[],[601|10000],[701|10000],,,,,[601|701],-1,1,60,equipment_name_2404001,icon_41003,,,[],[],4,,5000,,[4|798],-1,2
6403001,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[701|10000],[],[],[301|10000],[701|10000],,,,,[301|701],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1302002,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[101|5000],[],[],[101|10000],[101|5000],,,,,[101|101],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302002,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[601|10000],[601|5000],[],[],[601|10000],[601|5000],,,,,[601|601],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302003,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[101|5000],[],[],[101|10000],[101|5000],,,,,[101|101],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302003,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[601|10000],[601|5000],[],[],[601|10000],[601|5000],,,,,[601|601],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302004,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302004,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302005,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302005,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302006,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302006,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302007,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302007,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302008,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302008,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1302009,[3|83],{3:83},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_1302001,icon_40004,,,[],[],3,,5000,,[3|83],-1,1
2302009,[4|332],{4:332},332,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,20,equipment_name_2302001,icon_41005,,,[],[],3,,5000,,[4|332],-1,2
1303002,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,5000,,[3|135],-1,1
2303002,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,5000,,[4|540],-1,2
3303002,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,5000,,[4|405],-1,3
6303002,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,5000,,[4|405],-1,4
1303003,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,5000,,[3|135],-1,1
2303003,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,5000,,[4|540],-1,2
3303003,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,5000,,[4|405],-1,3
6303003,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,5000,,[4|405],-1,4
1303004,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,5000,,[3|135],-1,1
2303004,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,5000,,[4|540],-1,2
3303004,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,5000,,[4|405],-1,3
6303004,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,5000,,[4|405],-1,4
1303005,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,5000,,[3|135],-1,1
2303005,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,5000,,[4|540],-1,2
3303005,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,5000,,[4|405],-1,3
6303005,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,5000,,[4|405],-1,4
1303006,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,5000,,[3|135],-1,1
2303006,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,5000,,[4|540],-1,2
3303006,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_3303001,icon_42004,,,[],[],3,,5000,,[4|405],-1,3
6303006,[4|405],{4:405},405,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,40,equipment_name_6303001,icon_45004,,,[],[],3,,5000,,[4|405],-1,4
1304002,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,5000,,[3|190],-1,1
2304002,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,5000,,[4|762],-1,2
3304002,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,5000,,[4|571],-1,3
6304002,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,5000,,[4|571],-1,4
1304003,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,5000,,[3|190],-1,1
2304003,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,5000,,[4|762],-1,2
3304003,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,5000,,[4|571],-1,3
6304003,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[701|5000],[],[],[701|10000],[701|5000],,,,,[701|701],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,5000,,[4|571],-1,4
1304004,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,5000,,[3|190],-1,1
2304004,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,5000,,[4|762],-1,2
3304004,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,5000,,[4|571],-1,3
6304004,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,5000,,[4|571],-1,4
1304005,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,5000,,[3|190],-1,1
2304005,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,5000,,[4|762],-1,2
3304005,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,5000,,[4|571],-1,3
6304005,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,5000,,[4|571],-1,4
1304006,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,5000,,[3|190],-1,1
2304006,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,5000,,[4|762],-1,2
3304006,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_3304001,icon_42001,,,[],[],3,,5000,,[4|571],-1,3
6304006,[4|571],{4:571},571,-1,-1,[999|11|5],[999|11|5],,4000,[801|10000],[801|5000],[],[],[801|10000],[801|5000],,,,,[801|801],-1,1,60,equipment_name_6304001,icon_45001,,,[],[],3,,5000,,[4|571],-1,4
1403002,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[701|10000],[701|5000],[],[401|10000],[701|10000],[701|5000],,,,[401|701|701],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403012,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[101|10000],[701|10000],[701|5000],[],[101|10000],[701|10000],[701|5000],,,,[101|701|701],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],4,,5000,,[3|142],-1,1
6403002,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[701|10000],[701|5000],[],[301|10000],[701|10000],[701|5000],,,,[301|701|701],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1403003,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[701|10000],[701|5000],[],[401|10000],[701|10000],[701|5000],,,,[401|701|701],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403013,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[101|10000],[701|10000],[701|5000],[],[101|10000],[701|10000],[701|5000],,,,[101|701|701],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],4,,5000,,[3|142],-1,1
6403003,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[701|10000],[701|5000],[],[301|10000],[701|10000],[701|5000],,,,[301|701|701],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1403004,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[801|10000],[801|5000],[],[401|10000],[801|10000],[801|5000],,,,[401|801|801],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403014,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[101|10000],[801|10000],[801|5000],[],[101|10000],[801|10000],[801|5000],,,,[101|801|801],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],4,,5000,,[3|142],-1,1
6403004,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[801|10000],[801|5000],[],[301|10000],[801|10000],[801|5000],,,,[301|801|801],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1403005,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[801|10000],[801|5000],[],[401|10000],[801|10000],[801|5000],,,,[401|801|801],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403015,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[801|10000],[801|5000],[],[101|10000],[801|10000],[801|5000],,,,[101|801|801],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],3,,5000,,[3|142],-1,1
6403005,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,3000,[301|10000],[801|10000],[801|5000],[],[301|10000],[801|10000],[801|5000],,,,[301|801|801],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],2,,5000,,[4|425],-1,4
1403006,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,4000,[401|10000],[801|10000],[801|5000],[],[401|10000],[801|10000],[801|5000],,,,[401|801|801],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],3,,5000,,[3|142],-1,1
1403016,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[801|10000],[801|5000],[],[101|10000],[801|10000],[801|5000],,,,[101|801|801],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],3,,5000,,[3|142],-1,1
6403006,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[801|10000],[801|5000],[],[301|10000],[801|10000],[801|5000],,,,[301|801|801],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1403007,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,3000,[401|10000],[401|10000],[401|5000],[],[401|10000],[401|10000],[401|5000],,,,[401|401|401],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],2,,5000,,[3|142],-1,1
1403017,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[101|10000],[101|5000],[],[101|10000],[101|10000],[101|5000],,,,[101|101|101],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],3,,5000,,[3|142],-1,1
6403007,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,5000,[301|10000],[301|10000],[301|5000],[],[301|10000],[301|10000],[301|5000],,,,[301|301|301],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],4,,5000,,[4|425],-1,4
1403008,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,3000,[401|10000],[401|10000],[401|5000],[],[401|10000],[401|10000],[401|5000],,,,[401|401|401],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],2,,5000,,[3|142],-1,1
1403018,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,4000,[101|10000],[101|10000],[101|5000],[],[101|10000],[101|10000],[101|5000],,,,[101|101|101],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],3,,5000,,[3|142],-1,1
6403008,[4|425],{4:425},425,-1,-1,[999|11|5],[999|11|5],,3000,[301|10000],[301|10000],[301|5000],[],[301|10000],[301|10000],[301|5000],,,,[301|301|301],-1,1,40,equipment_name_6403001,icon_45003,,,[],[],2,,5000,,[4|425],-1,4
1403009,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,5000,[401|10000],[401|10000],[401|5000],[],[401|10000],[401|10000],[401|5000],,,,[401|401|401],-1,1,40,equipment_name_1403001,icon_40007,,,[],[],4,,5000,,[3|142],-1,1
1403019,[3|142],{3:142},568,-1,-1,[999|11|5],[999|11|5],,3000,[101|10000],[101|10000],[101|5000],[],[101|10000],[101|10000],[101|5000],,,,[101|101|101],-1,1,40,equipment_name_1403002,icon_40002,,,[],[],2,,5000,,[3|142],-1,1
