id,isShowSign,icon,interface_id,MainUI_btn,MainUI_order,name,show_sign,Temporary_order
366,false,remote:Icon_Function\Activity_586.png,,16,3,most_popular_14,,-1
367,false,Activity_645,,22,1,activity_name_367,,-1
368,false,Activity_645,,23,1,activity_name_367,,-1
369,false,Activity_622,,2,3,guild_calendar2,,-1
370,false,remote:Icon_Function\Activity_619.png,,21,2,gem_collection_224,,-1
371,false,remote:Icon_Function\Activity_620.png,,21,3,gem_collection_225,,-1
372,false,Activity_16,,1,993,activity_name171,,-1
373,false,,,4,1,,,-1
374,false,Activity_802,,50,1,kvk_activity_name_01,,-1
375,false,Activity_802,,51,1,kvk_activity_name_01,,-1
377,false,btn,,51,200,big_event_001,,-1
378,false,Activity_818,,15,1,season_play_name_01,,-1
379,false,Activity_375,,22,1,activity_name_348,,-1
380,false,Activity_375,,15,1,activity_name_348,,-1
381,false,Activity_545,,22,1,activity_name_359,,-1
382,false,Activity_545,,15,1,activity_name_359,,-1
383,false,Activity_645,,22,1,activity_name_367,,-1
384,false,Activity_645,,15,1,activity_name_367,,-1
385,false,remote:Icon_Function/Activity_790.png,,14,-1,activity_name_sjzx,,-1
388,false,Activity_840,,2,10000,email_binding_activity,,-1
386,false,remote:Icon_Function/Activity_854.png,,2,1,activity_name_vipbook,,-1
389,false,remote:Icon_Function/Activity_740.png,,8,-1,activity_name_pkhd,,-1
390,false,remote:Icon_Function/Activity_740.png,,8,-1,activity_name_pkhd,,-1
391,false,remote:Icon_Function/Activity_740.png,,8,-1,activity_name_pkhd,,-1
394,false,remote:Icon_Function/Activity_879.png,,4,1,UI_Activity_006,,-1
395,false,remote:Icon_Function/Activity_872.png,,53,-1,crossover_gronckle_des1,,-1
396,false,remote:Icon_Function/Activity_882.png,,53,-1,crossover_main_des4,,-1
397,false,Activity_959,,22,1,activity_name_397,,-1
398,false,Activity_959,,15,1,activity_name_397,,-1
399,false,Activity_921,,24,-1,business_delegation_desc_154,,-1
400,false,Activity_924,,24,-1,business_delegation_desc_37,,-1
404,false,Activity_604,,2,990,merger_server_02_01,,-1
405,false,,,4,1,,,-1
406,false,remote:Icon_Function/Activity_1010.png,,406,-1,StrangerThings_preview_des4,,-1
408,false,remote:Icon_Function/Activity_1035.png,,4,-1,activity_ydsj,,-1
409,false,Activity_919,,409,1,pal_catch_title,,-1
604,false,Activity_957,,2,9998,k_id_function_31,,-1
607,false,remote:Icon_Function/Activity_1045.png,,4,1,activity_name_jxzk,,-1
608,false,remote:Icon_Function/Activity_1064.png,,1,1,exchange_name_hot,,-1
