id,cost,hero_id,slot,talent_dec,talent_group,talent_icon,talent_name,talent_quality,upgrade_cost
1001503,[999|2|1000],10015,3,hero_talent_des_104,10054,talent_1005,talent_name_105,2,[2|10015|10]
1001504,[999|2|2000],10015,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10015|10]
1001601,[999|2|200],10016,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10016|10]
1001602,[999|2|500],10016,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10016|10]
1001603,[999|2|1000],10016,3,hero_talent_des_102,10094,talent_1009,talent_name_109,2,[2|10016|10]
1001604,[999|2|2000],10016,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10016|10]
1001701,[999|2|200],10017,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10017|10]
1001702,[999|2|500],10017,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10017|10]
1001703,[999|2|1000],10017,3,hero_talent_des_101,20085,talent_2008,talent_name_208,3,[2|10017|10]
1001704,[999|2|2000],10017,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10017|10]
1001801,[999|2|200],10018,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10018|10]
1001802,[999|2|500],10018,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10018|10]
1001803,[999|2|1000],10018,3,hero_talent_des_104,20185,talent_2018,talent_name_218,3,[2|10018|10]
1001804,[999|2|2000],10018,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10018|10]
1001901,[999|2|200],10019,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10019|10]
1001902,[999|2|500],10019,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10019|10]
1001903,[999|2|1000],10019,3,hero_talent_des_104,10055,talent_1005,talent_name_105,3,[2|10019|10]
1001904,[999|2|2000],10019,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10019|10]
1002001,[999|2|200],10020,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10020|10]
1002002,[999|2|500],10020,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10020|10]
1002003,[999|2|1000],10020,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10020|10]
1002004,[999|2|2000],10020,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10020|10]
1002101,[999|2|200],10021,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10021|10]
1002102,[999|2|500],10021,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10021|10]
1002103,[999|2|1000],10021,3,hero_talent_des_102,20195,talent_2019,talent_name_219,3,[2|10021|10]
1002104,[999|2|2000],10021,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10021|10]
1002201,[999|2|200],10022,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10022|10]
1002202,[999|2|500],10022,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10022|10]
1002203,[999|2|1000],10022,3,hero_talent_des_104,10075,talent_1007,talent_name_107,3,[2|10022|10]
1002204,[999|2|2000],10022,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10022|10]
1002301,[999|2|200],10023,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10023|10]
1002302,[999|2|500],10023,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10023|10]
1002303,[999|2|1000],10023,3,hero_talent_des_101,20045,talent_2004,talent_name_204,3,[2|10023|10]
1002304,[999|2|2000],10023,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10023|10]
1002401,[999|2|200],10024,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10024|10]
1002402,[999|2|500],10024,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10024|10]
1002403,[999|2|1000],10024,3,hero_talent_des_101,20105,talent_2010,talent_name_210,3,[2|10024|10]
1002404,[999|2|2000],10024,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10024|10]
1002501,[999|2|200],10025,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10025|10]
1002502,[999|2|500],10025,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10025|10]
1002503,[999|2|1000],10025,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10025|10]
1002504,[999|2|2000],10025,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10025|10]
1002601,[999|2|200],10026,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10026|10]
1002602,[999|2|500],10026,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10026|10]
1002603,[999|2|1000],10026,3,hero_talent_des_104,10065,talent_1006,talent_name_106,3,[2|10026|10]
1002604,[999|2|2000],10026,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10026|10]
1002701,[999|2|200],10027,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10027|10]
1002702,[999|2|500],10027,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10027|10]
1002703,[999|2|1000],10027,3,hero_talent_des_101,20155,talent_2015,talent_name_215,3,[2|10027|10]
1002704,[999|2|2000],10027,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10027|10]
1002801,[999|2|200],10028,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10028|10]
1002802,[999|2|500],10028,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10028|10]
1002803,[999|2|1000],10028,3,hero_talent_des_102,20205,talent_2020,talent_name_220,3,[2|10028|10]
1002804,[999|2|2000],10028,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10028|10]
1002901,[999|2|200],10029,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10029|10]
1002902,[999|2|500],10029,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10029|10]
1002903,[999|2|1000],10029,3,hero_talent_des_101,20075,talent_2007,talent_name_207,3,[2|10029|10]
1002904,[999|2|2000],10029,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10029|10]
1003001,[999|2|200],10030,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10030|10]
1003002,[999|2|500],10030,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10030|10]
1003003,[999|2|1000],10030,3,hero_talent_des_102,10105,talent_1010,talent_name_110,3,[2|10030|10]
1003004,[999|2|2000],10030,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10030|10]
1003101,[999|2|200],10031,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10031|10]
1003102,[999|2|500],10031,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10031|10]
1003103,[999|2|1000],10031,3,hero_talent_des_101,20085,talent_2008,talent_name_208,3,[2|10031|10]
1003104,[999|2|2000],10031,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10031|10]
1003201,[999|2|200],10032,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10032|10]
1003202,[999|2|500],10032,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10032|10]
1003203,[999|2|1000],10032,3,hero_talent_des_102,10125,talent_1012,talent_name_112,3,[2|10032|10]
1003204,[999|2|2000],10032,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10032|10]
1003301,[999|2|200],10033,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10033|10]
1003302,[999|2|500],10033,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10033|10]
1003303,[999|2|1000],10033,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10033|10]
1003304,[999|2|2000],10033,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10033|10]
1003401,[999|2|200],10034,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10034|10]
1003402,[999|2|500],10034,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10034|10]
1003403,[999|2|1000],10034,3,hero_talent_des_102,10095,talent_1009,talent_name_109,3,[2|10034|10]
1003404,[999|2|2000],10034,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10034|10]
1003501,[999|2|200],10035,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10035|10]
1003502,[999|2|500],10035,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10035|10]
1003503,[999|2|1000],10035,3,hero_talent_des_101,20115,talent_2011,talent_name_211,3,[2|10035|10]
1003504,[999|2|2000],10035,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10035|10]
1003601,[999|2|200],10036,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10036|10]
1003602,[999|2|500],10036,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10036|10]
1003603,[999|2|1000],10036,3,hero_talent_des_101,20105,talent_2010,talent_name_210,3,[2|10036|10]
1003604,[999|2|2000],10036,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10036|10]
1003701,[999|2|200],10037,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10037|10]
1003702,[999|2|500],10037,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10037|10]
1003703,[999|2|1000],10037,3,hero_talent_des_101,20105,talent_2010,talent_name_210,3,[2|10037|10]
1003704,[999|2|2000],10037,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10037|10]
1003801,[999|2|200],10038,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10038|10]
1003802,[999|2|500],10038,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10038|10]
1003803,[999|2|1000],10038,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10038|10]
1003804,[999|2|2000],10038,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10038|10]
1003901,[999|2|200],10039,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10039|10]
1003902,[999|2|500],10039,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10039|10]
1003903,[999|2|1000],10039,3,hero_talent_des_101,20115,talent_2011,talent_name_211,3,[2|10039|10]
1003904,[999|2|2000],10039,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10039|10]
1004001,[999|2|200],10040,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10040|10]
1004002,[999|2|500],10040,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10040|10]
1004003,[999|2|1000],10040,3,hero_talent_des_101,20105,talent_2010,talent_name_210,3,[2|10040|10]
1004004,[999|2|2000],10040,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10040|10]
1004101,[999|2|200],10041,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10041|10]
1004102,[999|2|500],10041,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10041|10]
1004103,[999|2|1000],10041,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10041|10]
1004104,[999|2|2000],10041,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10041|10]
1004201,[999|2|200],10042,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10042|10]
1004202,[999|2|500],10042,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10042|10]
1004203,[999|2|1000],10042,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10042|10]
1004204,[999|2|2000],10042,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10042|10]
1004301,[999|2|200],10043,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10043|10]
1004302,[999|2|500],10043,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10043|10]
1004303,[999|2|1000],10043,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10043|10]
1004304,[999|2|2000],10043,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10043|10]
1004401,[999|2|200],10044,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10044|10]
1004402,[999|2|500],10044,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10044|10]
1004403,[999|2|1000],10044,3,hero_talent_des_101,20115,talent_2011,talent_name_211,3,[2|10044|10]
1004404,[999|2|2000],10044,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10044|10]
1004501,[999|2|200],10045,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10045|10]
1004502,[999|2|500],10045,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10045|10]
1004503,[999|2|1000],10045,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10045|10]
1004504,[999|2|2000],10045,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10045|10]
1004601,[999|2|200],10046,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10046|10]
1004602,[999|2|500],10046,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10046|10]
1004603,[999|2|1000],10046,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10046|10]
1004604,[999|2|2000],10046,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10046|10]
1503901,[999|2|200],15039,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|15039|10]
1503902,[999|2|500],15039,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|15039|10]
1503903,[999|2|1000],15039,3,hero_talent_des_101,20115,talent_2011,talent_name_211,3,[2|15039|10]
1503904,[999|2|2000],15039,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|15039|10]
1503201,[999|2|200],15032,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|15032|10]
1503202,[999|2|500],15032,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|15032|10]
1503203,[999|2|1000],15032,3,hero_talent_des_102,10125,talent_1012,talent_name_112,3,[2|15032|10]
1503204,[999|2|2000],15032,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|15032|10]
1503301,[999|2|200],15033,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|15033|10]
1503302,[999|2|500],15033,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|15033|10]
1503303,[999|2|1000],15033,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|15033|10]
1503304,[999|2|2000],15033,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|15033|10]
1004701,[999|2|200],10047,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10047|10]
1004702,[999|2|500],10047,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10047|10]
1004703,[999|2|1000],10047,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10047|10]
1004704,[999|2|2000],10047,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10047|10]
1004801,[999|2|200],10048,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10048|10]
1004802,[999|2|500],10048,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10048|10]
1004803,[999|2|1000],10048,3,hero_talent_des_101,20115,talent_2011,talent_name_211,3,[2|10048|10]
1004804,[999|2|2000],10048,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10048|10]
1004901,[999|2|200],10049,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10049|10]
1004902,[999|2|500],10049,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10049|10]
1004903,[999|2|1000],10049,3,hero_talent_des_101,20145,talent_2014,talent_name_214,3,[2|10049|10]
1004904,[999|2|2000],10049,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10049|10]
1005001,[999|2|200],10050,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10050|10]
1005002,[999|2|500],10050,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10050|10]
1005003,[999|2|1000],10050,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10050|10]
1005004,[999|2|2000],10050,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10050|10]
1005101,[999|2|200],10051,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10051|10]
1005102,[999|2|500],10051,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10051|10]
1005103,[999|2|1000],10051,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10051|10]
1005104,[999|2|2000],10051,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10051|10]
1005201,[999|2|200],10052,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10052|10]
1005202,[999|2|500],10052,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10052|10]
1005203,[999|2|1000],10052,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10052|10]
1005204,[999|2|2000],10052,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10052|10]
1005301,[999|2|200],10053,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10053|10]
1005302,[999|2|500],10053,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10053|10]
1005303,[999|2|1000],10053,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10053|10]
1005304,[999|2|2000],10053,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10053|10]
1005401,[999|2|200],10054,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10054|10]
1005402,[999|2|500],10054,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10054|10]
1005403,[999|2|1000],10054,3,hero_talent_des_101,20055,talent_2005,talent_name_205,3,[2|10054|10]
1005404,[999|2|2000],10054,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10054|10]
