id,birth,pet_birth,petBirthPos,pos,troop_birth,troopBirthPos,villager_birth,villagerBirthPos
202,[89.2|-37.3|87.4|-36.3|91|-36.9|86.9|-34.5|91|-35.2|89.2|-34.3],[189|-37],"[(189.0, -37.0)]","[(89.2, -37.3)|(87.4, -36.3)|(91.0, -36.9)|(86.9, -34.5)|(91.0, -35.2)|(89.2, -34.3)]",,,,
203,[184.5|-41|184.5|-42.6|183|-40|183|-43.6|181|-41|181|-42.6],[183|-37],"[(183.0, -37.0)]","[(184.5, -41.0)|(184.5, -42.6)|(183.0, -40.0)|(183.0, -43.6)|(181.0, -41.0)|(181.0, -42.6)]",,,,
204,[187.5|-41|187.5|-42.6|189|-40|189|-43.6|191|-41|191|-42.6],[189|-37],"[(189.0, -37.0)]","[(187.5, -41.0)|(187.5, -42.6)|(189.0, -40.0)|(189.0, -43.6)|(191.0, -41.0)|(191.0, -42.6)]",,,,
205,[189.6|-41.8],,,"[(189.6, -41.8)]",,,,
206,[184.5|-41|184|-42.6|183|-40|183.5|-43.6|181.5|-41|181|-42.6],[183|-37],"[(183.0, -37.0)]","[(184.5, -41.0)|(184.0, -42.6)|(183.0, -40.0)|(183.5, -43.6)|(181.5, -41.0)|(181.0, -42.6)]",,,,
301,[82.8|-39.7|84.6|-40.7|81|-40.1|85.1|-42.5|81|-41.8|82.8|-42.7],[183|-37],"[(183.0, -37.0)]","[(82.8, -39.7)|(84.6, -40.7)|(81.0, -40.1)|(85.1, -42.5)|(81.0, -41.8)|(82.8, -42.7)]",,,,
302,[89.2|-37.3|87.4|-36.3|91|-36.9|86.9|-34.5|91|-35.2|89.2|-34.3],[189|-37],"[(189.0, -37.0)]","[(89.2, -37.3)|(87.4, -36.3)|(91.0, -36.9)|(86.9, -34.5)|(91.0, -35.2)|(89.2, -34.3)]",,,,
401,[183|-29|183|-31|181|-27.5|181|-32.5|179|-29|179|-31],,,"[(183.0, -29.0)|(183.0, -31.0)|(181.0, -27.5)|(181.0, -32.5)|(179.0, -29.0)|(179.0, -31.0)]",,,,
402,[189|-29|189|-31|191|-27.5|191|-32.5|193|-29|193|-31],,,"[(189.0, -29.0)|(189.0, -31.0)|(191.0, -27.5)|(191.0, -32.5)|(193.0, -29.0)|(193.0, -31.0)]",,,,
1001,[86.59|-36.26|88.09|-37.58|89.52|-39|88.68|-35.6|90.18|-37.14|89.11|-34.06|90.87|-35.38|92.39|-36.82],,,"[(86.6, -36.3)|(88.1, -37.6)|(89.5, -39.0)|(88.7, -35.6)|(90.2, -37.1)|(89.1, -34.1)|(90.9, -35.4)|(92.4, -36.8)]",,,,
1011,[86.59|-36.26|89.52|-39|88.68|-35.6|90.18|-37.14|89.11|-34.06|92.39|-36.82],,,"[(86.6, -36.3)|(89.5, -39.0)|(88.7, -35.6)|(90.2, -37.1)|(89.1, -34.1)|(92.4, -36.8)]",,,,
1012,[86.59|-36.26|88.09|-37.58|89.52|-39|88.68|-35.6|89.11|-34.06|90.87|-35.38|92.39|-36.82],,,"[(86.6, -36.3)|(88.1, -37.6)|(89.5, -39.0)|(88.7, -35.6)|(89.1, -34.1)|(90.9, -35.4)|(92.4, -36.8)]",,,,
1013,[86.59|-36.26|88.09|-37.58|89.52|-39|88.68|-35.6|90.18|-37.14|89.11|-34.06|92.39|-36.82],,,"[(86.6, -36.3)|(88.1, -37.6)|(89.5, -39.0)|(88.7, -35.6)|(90.2, -37.1)|(89.1, -34.1)|(92.4, -36.8)]",,,,
1021,[86.59|-36.26|88.09|-37.58|89.52|-39|88.68|-35.6|90.18|-37.14|89.11|-34.06|90.87|-35.38|92.39|-36.82],,,"[(86.6, -36.3)|(88.1, -37.6)|(89.5, -39.0)|(88.7, -35.6)|(90.2, -37.1)|(89.1, -34.1)|(90.9, -35.4)|(92.4, -36.8)]",,,,
1022,[86.59|-36.26|88.09|-37.58|89.52|-39|88.68|-35.6|90.18|-37.14|89.11|-34.06|90.87|-35.38|92.39|-36.82],,,"[(86.6, -36.3)|(88.1, -37.6)|(89.5, -39.0)|(88.7, -35.6)|(90.2, -37.1)|(89.1, -34.1)|(90.9, -35.4)|(92.4, -36.8)]",,,,
1002,[187.9|-40.5|187.9|-41.8|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-41.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -41.8)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -41.8)|(191.3, -42.8)]",,,,
1014,[187.9|-40.5|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -42.8)]",,,,
1015,[187.9|-40.5|187.9|-41.8|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -41.8)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -42.8)]",,,,
1016,[187.9|-40.5|187.9|-41.8|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -41.8)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -42.8)]",,,,
1023,[187.9|-40.5|187.9|-41.8|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-41.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -41.8)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -41.8)|(191.3, -42.8)]",,,,
1024,[187.9|-40.5|187.9|-41.8|187.9|-43.1|189.6|-40.8|189.6|-42.8|191.3|-39.8|191.3|-41.8|191.3|-42.8],,,"[(187.9, -40.5)|(187.9, -41.8)|(187.9, -43.1)|(189.6, -40.8)|(189.6, -42.8)|(191.3, -39.8)|(191.3, -41.8)|(191.3, -42.8)]",,,,
2011,[86.81|-39.96|89.16|-41.12|91.57|-42.34|84.73|-41.59|86.88|-42.63|89.46|-43.85],,,"[(86.8, -40.0)|(89.2, -41.1)|(91.6, -42.3)|(84.7, -41.6)|(86.9, -42.6)|(89.5, -43.9)]",,,,
2012,[86.81|-39.96|89.16|-41.12|91.57|-42.34|84.73|-41.59|86.88|-42.63|89.46|-43.85],,,"[(86.8, -40.0)|(89.2, -41.1)|(91.6, -42.3)|(84.7, -41.6)|(86.9, -42.6)|(89.5, -43.9)]",,,,
2013,[86.81|-39.96|89.16|-41.12|91.57|-42.34|84.73|-41.59|86.88|-42.63|89.46|-43.85],,,"[(86.8, -40.0)|(89.2, -41.1)|(91.6, -42.3)|(84.7, -41.6)|(86.9, -42.6)|(89.5, -43.9)]",,,,
