id,be_sure,condition_param,condition_type,draw_weight,level_max,level_min,need_building_level,need_gacha_level,open_server_day_need,pool_id,pool_times_max,pool_times_min,pool_weight,quality,reward,times_min
30204,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4111,1
30205,1,,-1,600,999,999,,-1,-1,302,99999,99999,1000,4,4112,1
30206,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4113,1
30207,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4114,1
30208,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4115,1
30209,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4116,1
30412,2,10012,1,100,999,1,,-1,4,304,99999,0,1000,5,4112,1
30408,2,10008,1,100,999,1,,10,-1,304,99999,0,1000,5,4108,1
30417,2,,-1,100,999,1,,-1,-1,304,99999,0,1000,5,4117,1
30418,2,10018,1,100,999,1,,5,-1,304,99999,0,1000,5,4118,1
30419,2,10019,1,100,999,1,,-1,-1,304,99999,0,1000,5,4119,1
30420,2,10020,1,100,999,1,,6,-1,304,99999,0,1000,5,4120,1
30421,2,,-1,100,999,1,,-1,-1,304,99999,0,1000,5,4121,1
30422,2,,-1,100,999,1,,-1,-1,304,99999,0,1000,5,4122,1
30423,2,10023,1,100,999,1,,9,-1,304,99999,0,1000,5,4123,1
30424,2,10024,1,100,999,1,,8,-1,304,99999,0,1000,5,4124,1
30425,2,10025,1,100,999,1,,2,-1,304,99999,0,1000,5,4125,1
30426,2,10026,1,100,999,1,,1,-1,304,99999,0,1000,5,4126,1
30427,2,10027,1,100,999,1,,11,-1,304,99999,0,1000,5,4127,1
30428,2,10028,1,100,999,1,,3,-1,304,99999,0,1000,5,4128,1
30429,2,,-1,100,999,999,,-1,-1,304,99999,99999,1000,5,4129,1
30430,2,,-1,100,999,1,,-1,-1,304,99999,0,1000,5,4130,1
30431,2,10031,1,100,999,1,,14,-1,304,99999,0,1000,5,4131,1
30432,2,15032|8,3,100,999,1,,-1,-1,304,99999,0,1000,5,4132,1
30433,2,,-1,100,999,999,,-1,-1,304,99999,99999,1000,5,4133,1
30434,2,10034,1,100,999,1,,12,-1,304,99999,0,1000,5,4134,1
30435,2,10035,1,100,999,1,,4,-1,304,99999,0,1000,5,4135,1
30436,2,10036,1,100,999,1,,13,-1,304,99999,0,1000,5,4136,1
30437,2,10037,1,100,999,1,,16,-1,304,99999,0,1000,5,4137,1
30438,2,10038,1,100,999,1,,15,-1,304,99999,0,1000,5,4138,1
30440,2,10040,1,100,999,1,,-1,-1,304,99999,0,1000,5,4140,1
30512,2,10012,1,100,999,1,,-1,4,305,99999,0,1000,5,4112,1
30508,2,10008,1,100,999,1,,10,-1,305,99999,0,1000,5,4108,1
30517,2,10017,1,100,999,1,,4,-1,305,99999,0,1000,5,4117,1
30518,2,10018,1,100,999,1,,5,-1,305,99999,0,1000,5,4118,1
30519,2,10019,1,100,999,1,,-1,-1,305,99999,0,1000,5,4119,1
30520,2,10020,1,100,999,1,,14,-1,305,99999,0,1000,5,4120,1
30521,2,,-1,100,999,1,,-1,-1,305,99999,0,1000,5,4121,1
30522,2,,-1,100,999,1,,-1,-1,305,99999,0,1000,5,4122,1
30523,2,10023,1,100,999,1,,17,-1,305,99999,0,1000,5,4123,1
30524,2,10024,1,100,999,1,,7,-1,305,99999,0,1000,5,4124,1
30525,2,10025,1,100,999,1,,3,-1,305,99999,0,1000,5,4125,1
30526,2,10026,1,100,999,1,,2,-1,305,99999,0,1000,5,4126,1
30527,2,10027,1,100,999,1,,11,-1,305,99999,0,1000,5,4127,1
30528,2,10028,1,100,999,1,,13,-1,305,99999,0,1000,5,4128,1
30529,2,,-1,100,999,999,,-1,-1,305,99999,99999,1000,5,4129,1
30530,2,10030,1,100,999,1,,1,-1,305,99999,0,1000,5,4130,1
30531,2,10031,1,100,999,1,,15,-1,305,99999,0,1000,5,4131,1
30532,2,15032|8,3,100,999,1,,-1,-1,305,99999,0,1000,5,4132,1
30533,2,,-1,100,999,999,,-1,-1,305,99999,99999,1000,5,4133,1
30534,2,10034,1,100,999,1,,9,-1,305,99999,0,1000,5,4134,1
30535,2,10035,1,100,999,1,,12,-1,305,99999,0,1000,5,4135,1
30536,2,10036,1,100,999,1,,8,-1,305,99999,0,1000,5,4136,1
30537,2,10037,1,100,999,1,,16,-1,305,99999,0,1000,5,4137,1
30538,2,10038,1,100,999,1,,18,-1,305,99999,0,1000,5,4138,1
30540,2,10040,1,100,999,1,,6,-1,305,99999,0,1000,5,4140,1
50101,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49001,1
50102,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49002,1
50103,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49006,1
50104,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49007,1
50105,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49009,1
50106,-1,,-1,1000,999,1,,-1,-1,501,99999,0,1000,3,49010,1
50201,1,10003,1,600,999,1,,-1,-1,502,99999,0,1000,4,49003,1
50202,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49004,1
50203,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49005,1
50204,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49011,1
50205,1,,-1,600,999,999,,-1,-1,502,99999,99999,1000,4,49012,1
50206,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49013,1
50207,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49014,1
50208,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49015,1
50209,1,,-1,600,999,1,,-1,-1,502,99999,0,1000,4,49016,1
50412,2,10012,1,100,999,1,,-1,4,504,99999,0,1000,5,49012,1
50408,2,10008,1,100,999,1,,10,-1,504,99999,0,1000,5,49008,1
50417,2,,-1,100,999,1,,-1,-1,504,99999,0,1000,5,49017,1
50418,2,10018,1,100,999,1,,5,-1,504,99999,0,1000,5,49018,1
50419,2,10019,1,100,999,1,,-1,-1,504,99999,0,1000,5,49019,1
50420,2,10020,1,100,999,1,,6,-1,504,99999,0,1000,5,49020,1
50421,2,,-1,100,999,1,,-1,-1,504,99999,0,1000,5,49021,1
50422,2,,-1,100,999,1,,-1,-1,504,99999,0,1000,5,49022,1
50423,2,10023,1,100,999,1,,9,-1,504,99999,0,1000,5,49023,1
50424,2,10024,1,100,999,1,,8,-1,504,99999,0,1000,5,49024,1
50425,2,10025,1,100,999,1,,2,-1,504,99999,0,1000,5,49025,1
50426,2,10026,1,100,999,1,,1,-1,504,99999,0,1000,5,49026,1
50427,2,10027,1,100,999,1,,11,-1,504,99999,0,1000,5,49027,1
50428,2,10028,1,100,999,1,,3,-1,504,99999,0,1000,5,49028,1
50429,2,,-1,100,999,999,,-1,-1,504,99999,99999,1000,5,49029,1
50430,2,,-1,100,999,1,,-1,-1,504,99999,0,1000,5,49030,1
50431,2,10031,1,100,999,1,,14,-1,504,99999,0,1000,5,49031,1
50432,2,15032|8,3,100,999,1,,-1,-1,504,99999,0,1000,5,49032,1
50433,2,,-1,100,999,999,,-1,-1,504,99999,99999,1000,5,49033,1
50434,2,10034,1,100,999,1,,12,-1,504,99999,0,1000,5,49034,1
50435,2,10035,1,100,999,1,,4,-1,504,99999,0,1000,5,49035,1
50436,2,10036,1,100,999,1,,13,-1,504,99999,0,1000,5,49036,1
50437,2,10037,1,100,999,1,,16,-1,504,99999,0,1000,5,49037,1
50438,2,10038,1,100,999,1,,15,-1,504,99999,0,1000,5,49038,1
50440,2,10040,1,100,999,1,,-1,-1,504,99999,0,1000,5,49040,1
51101,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49101,1
51102,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49102,1
51103,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49106,1
51104,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49107,1
51105,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49109,1
51106,-1,,-1,1000,999,1,,-1,-1,511,99999,0,1000,3,49110,1
51201,1,10003,1,600,999,1,,-1,-1,512,99999,0,1000,4,49103,1
51202,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49104,1
51203,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49105,1
51204,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49111,1
51205,1,,-1,600,999,999,,-1,-1,512,99999,99999,1000,4,49112,1
51206,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49113,1
51207,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49114,1
51208,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49115,1
51209,1,,-1,600,999,1,,-1,-1,512,99999,0,1000,4,49116,1
51412,2,10012,1,100,999,1,,-1,4,514,99999,0,1000,5,49112,1
51408,2,10008,1,100,999,1,,10,-1,514,99999,0,1000,5,49108,1
51417,2,,-1,100,999,1,,-1,-1,514,99999,0,1000,5,49117,1
51418,2,10018,1,100,999,1,,5,-1,514,99999,0,1000,5,49118,1
51419,2,10019,1,100,999,1,,-1,-1,514,99999,0,1000,5,49119,1
51420,2,10020,1,100,999,1,,6,-1,514,99999,0,1000,5,49120,1
51421,2,,-1,100,999,1,,-1,-1,514,99999,0,1000,5,49121,1
51422,2,,-1,100,999,1,,-1,-1,514,99999,0,1000,5,49122,1
51423,2,10023,1,100,999,1,,9,-1,514,99999,0,1000,5,49123,1
51424,2,10024,1,100,999,1,,8,-1,514,99999,0,1000,5,49124,1
51425,2,10025,1,100,999,1,,2,-1,514,99999,0,1000,5,49125,1
51426,2,10026,1,100,999,1,,1,-1,514,99999,0,1000,5,49126,1
51427,2,10027,1,100,999,1,,11,-1,514,99999,0,1000,5,49127,1
51428,2,10028,1,100,999,1,,3,-1,514,99999,0,1000,5,49128,1
51429,2,,-1,100,999,999,,-1,-1,514,99999,99999,1000,5,49129,1
51430,2,,-1,100,999,1,,-1,-1,514,99999,0,1000,5,49130,1
51431,2,10031,1,100,999,1,,14,-1,514,99999,0,1000,5,49131,1
51432,2,15032|8,3,100,999,1,,-1,-1,514,99999,0,1000,5,49132,1
51433,2,,-1,100,999,999,,-1,-1,514,99999,99999,1000,5,49133,1
51434,2,10034,1,100,999,1,,12,-1,514,99999,0,1000,5,49134,1
51435,2,10035,1,100,999,1,,4,-1,514,99999,0,1000,5,49135,1
51436,2,10036,1,100,999,1,,13,-1,514,99999,0,1000,5,49136,1
51437,2,10037,1,100,999,1,,16,-1,514,99999,0,1000,5,49137,1
51438,2,10038,1,100,999,1,,15,-1,514,99999,0,1000,5,49138,1
51440,2,10040,1,100,999,1,,-1,-1,514,99999,0,1000,5,49140,1
52101,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49201,1
52102,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49202,1
52103,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49206,1
52104,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49207,1
52105,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49209,1
52106,-1,,-1,1000,999,1,,-1,-1,521,99999,0,1000,3,49210,1
52201,1,10003,1,600,999,1,,-1,-1,522,99999,0,1000,4,49203,1
52202,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49204,1
52203,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49205,1
52204,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49211,1
52205,1,,-1,600,999,999,,-1,-1,522,99999,99999,1000,4,49212,1
52206,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49213,1
52207,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49214,1
52208,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49215,1
52209,1,,-1,600,999,1,,-1,-1,522,99999,0,1000,4,49216,1
52412,2,10012,1,100,999,1,,-1,4,524,99999,0,1000,5,49212,1
52408,2,10008,1,100,999,1,,10,-1,524,99999,0,1000,5,49208,1
52417,2,,-1,100,999,1,,-1,-1,524,99999,0,1000,5,49217,1
52418,2,10018,1,100,999,1,,5,-1,524,99999,0,1000,5,49218,1
52419,2,10019,1,100,999,1,,-1,-1,524,99999,0,1000,5,49219,1
52420,2,10020,1,100,999,1,,6,-1,524,99999,0,1000,5,49220,1
52421,2,,-1,100,999,1,,-1,-1,524,99999,0,1000,5,49221,1
52422,2,,-1,100,999,1,,-1,-1,524,99999,0,1000,5,49222,1
52423,2,10023,1,100,999,1,,9,-1,524,99999,0,1000,5,49223,1
52424,2,10024,1,100,999,1,,8,-1,524,99999,0,1000,5,49224,1
52425,2,10025,1,100,999,1,,2,-1,524,99999,0,1000,5,49225,1
52426,2,10026,1,100,999,1,,1,-1,524,99999,0,1000,5,49226,1
52427,2,10027,1,100,999,1,,11,-1,524,99999,0,1000,5,49227,1
52428,2,10028,1,100,999,1,,3,-1,524,99999,0,1000,5,49228,1
52429,2,,-1,100,999,999,,-1,-1,524,99999,99999,1000,5,49229,1
52430,2,,-1,100,999,1,,-1,-1,524,99999,0,1000,5,49230,1
52431,2,10031,1,100,999,1,,14,-1,524,99999,0,1000,5,49231,1
52432,2,15032|8,3,100,999,1,,-1,-1,524,99999,0,1000,5,49232,1
52433,2,,-1,100,999,999,,-1,-1,524,99999,99999,1000,5,49233,1
52434,2,10034,1,100,999,1,,12,-1,524,99999,0,1000,5,49234,1
52435,2,10035,1,100,999,1,,4,-1,524,99999,0,1000,5,49235,1
52436,2,10036,1,100,999,1,,13,-1,524,99999,0,1000,5,49236,1
52437,2,10037,1,100,999,1,,16,-1,524,99999,0,1000,5,49237,1
52438,2,10038,1,100,999,1,,15,-1,524,99999,0,1000,5,49238,1
52440,2,10040,1,100,999,1,,-1,-1,524,99999,0,1000,5,49240,1
40100,2,,-1,100,999,1,,-1,-1,401,0,0,1000,5,4122,1
40101,2,,-1,100,999,1,,-1,-1,401,1,1,1000,5,4121,1
40102,2,,-1,100,999,1,,-1,-1,401,2,2,1000,5,4122,1
40103,2,,-1,100,999,1,,-1,-1,401,3,3,1000,5,4121,1
40104,2,,-1,100,999,1,,-1,-1,401,99999,4,1000,5,4122,1
40105,2,,-1,100,999,1,,-1,-1,401,99999,4,1000,5,4121,1
40200,2,,-1,100,999,1,,-1,-1,402,0,0,1000,5,4130,1
40201,2,,-1,100,999,1,,-1,-1,402,1,1,1000,5,4121,1
40202,2,,-1,100,999,1,,-1,-1,402,2,2,1000,5,4122,1
40203,2,,-1,100,999,1,,-1,-1,402,3,3,1000,5,4130,1
40204,2,,-1,100,999,1,,-1,-1,402,99999,3,1000,5,4121,1
40205,2,,-1,100,999,1,,-1,-1,402,99999,3,1000,5,4122,1
40300,2,,-1,100,999,1,,-1,-1,403,0,0,1000,5,4126,1
40301,2,,-1,100,999,1,,-1,-1,403,1,1,1000,5,4126,1
40302,2,,-1,100,999,1,,-1,-1,403,2,2,1000,5,4130,1
40303,2,,-1,100,999,1,,-1,-1,403,3,3,1000,5,4122,1
40304,2,,-1,100,999,1,,-1,-1,403,99999,4,1000,5,4126,1
40305,2,,-1,100,999,1,,-1,-1,403,99999,4,1000,5,4126,1
40306,2,,-1,100,999,1,,-1,-1,403,99999,4,1000,5,4130,1
40307,2,,-1,100,999,1,,-1,-1,403,99999,4,1000,5,4122,1
40400,2,,-1,100,999,1,,-1,-1,404,0,0,1000,5,4121,1
40401,2,,-1,100,999,1,,-1,-1,404,1,1,1000,5,4121,1
40402,2,,-1,100,999,1,,-1,-1,404,2,2,1000,5,4117,1
40403,2,,-1,100,999,1,,-1,-1,404,3,3,1000,5,4117,1
40404,2,,-1,100,999,1,,-1,-1,404,99999,4,1000,5,4121,1
40405,2,,-1,100,999,1,,-1,-1,404,99999,4,1000,5,4121,1
40406,2,,-1,100,999,1,,-1,-1,404,99999,4,1000,5,4117,1
40407,2,,-1,100,999,1,,-1,-1,404,99999,4,1000,5,4117,1
60101,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49001,1
60102,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49002,1
60103,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49006,1
60104,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49007,1
60105,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49009,1
60106,-1,,-1,1000,999,1,,-1,-1,601,99999,0,1000,3,49010,1
60201,1,10003,1,600,999,1,,-1,-1,602,99999,0,1000,4,49003,1
60202,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49004,1
60203,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49005,1
60204,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49011,1
60205,1,,-1,600,999,999,,-1,-1,602,99999,99999,1000,4,49012,1
60206,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49013,1
60207,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49014,1
60208,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49015,1
60209,1,,-1,600,999,1,,-1,-1,602,99999,0,1000,4,49016,1
60412,2,10012,1,100,999,1,,-1,4,604,99999,0,1000,5,49012,1
60408,2,10008,1,100,999,1,,10,-1,604,99999,0,1000,5,49008,1
60417,2,10017,1,100,999,1,,4,-1,604,99999,0,1000,5,49017,1
60418,2,10018,1,100,999,1,,5,-1,604,99999,0,1000,5,49018,1
60419,2,10019,1,100,999,1,,-1,-1,604,99999,0,1000,5,49019,1
60420,2,10020,1,100,999,1,,14,-1,604,99999,0,1000,5,49020,1
60421,2,,-1,100,999,1,,-1,-1,604,99999,0,1000,5,49021,1
60422,2,,-1,100,999,1,,-1,-1,604,99999,0,1000,5,49022,1
