id,attr_type,buildTime,cost1,cost2,cost3,des,des_icon,emotion,fightforce,group2_attr_type,group2_string_para1,group2_string_para2,guidebook_active_attr,guidebook_lv_points,index,is_guidebook_active,isActivity,lv,lv_up_reward,model,offline,para1,para2,para3,para4,para5,pre_building_level,provides_happiness,restaurant_eat,shine_lv,shine_para1,show_para1,show_para2,show_para3,show_para4,show_para5,string_para1,string_para2,teamlevel,unlock_fog_name,workflowReward
101010,0,30,[999|4|7300],[999|5|7300],,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,101,-1,1,10,-1,,,-1,-1,-1,-1,-1,,10,-1,-1,,1,1,1,1,1,,,-1,,-1
102000,0,5,[999|4|50],,,[building_lvup_des_101001|building_lvup_des_101002|building_lvup_des_101003],[icon_gold|icon_oil|icon_food],-1,0,0,,,,-1,102,-1,0,0,-1,Building/Building_Storage_0,,0,0,0,-1,-1,,-1,-1,-1,,1,1,1,1,1,,,-1,,-1
102001,0,30,[999|4|100],[999|5|5],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,100,0,,,,5,102,1,1,1,-1,Building/NewBuild/cangku,,500,500,4000,-1,-1,,1,-1,-1,,1,1,1,1,1,,,-1,,-1
102002,0,30,[999|4|300],[999|5|10],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,150,0,,,,5,102,1,1,2,-1,Building/NewBuild/cangku,,1100,1100,12000,-1,-1,,2,-1,-1,,1,1,1,1,1,,,-1,,-1
102003,0,30,[999|4|500],[999|5|20],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,200,0,,,,5,102,1,1,3,-1,Building/NewBuild/cangku,,1600,1600,16000,-1,-1,,3,-1,-1,,1,1,1,1,1,,,-1,,-1
102004,0,30,[999|4|800],[999|5|30],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,250,0,,,,5,102,1,1,4,-1,Building/NewBuild/cangku,,2200,2200,18000,-1,-1,,4,-1,-1,,1,1,1,1,1,,,-1,,-1
102005,0,30,[999|4|1200],[999|5|50],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,300,0,,,,5,102,1,1,5,-1,Building/NewBuild/cangku,,5400,5400,20000,-1,-1,,5,-1,-1,,1,1,1,1,1,,,-1,,-1
102006,0,30,[999|4|1700],[999|5|100],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,350,0,,,,5,102,1,1,6,-1,Building/NewBuild/cangku,,6400,6400,25000,-1,-1,,6,-1,-1,,1,1,1,1,1,,,-1,,-1
102007,0,30,[999|4|2600],[999|5|200],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,400,0,,,,5,102,1,1,7,-1,Building/NewBuild/cangku,,7500,7500,43000,-1,-1,,7,-1,-1,,1,1,1,1,1,,,-1,,-1
102008,0,30,[999|4|3800],[999|5|400],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,450,0,,,,5,102,1,1,8,-1,Building/NewBuild/cangku,,11500,11500,46000,-1,-1,,8,-1,-1,,1,1,1,1,1,,,-1,,-1
102009,0,30,[999|4|5700],[999|5|700],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,500,0,,,,5,102,1,1,9,-1,Building/NewBuild/cangku,,12900,12900,50000,-1,-1,,9,-1,-1,,1,1,1,1,1,,,-1,,-1
102010,0,30,[999|4|8500],[999|5|1200],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,550,0,,,,5,102,1,1,10,-1,Building/NewBuild/cangku,,14400,14400,53000,-1,-1,,10,-1,-1,,1,1,1,1,1,,,-1,,-1
102011,0,30,[999|4|13000],[999|5|2000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,800,0,,,,10,102,1,1,11,-1,Building/NewBuild/cangku,,19300,19300,56000,-1,-1,,11,-1,-1,,1,1,1,1,1,,,-1,,-1
102012,0,30,[999|4|17000],[999|5|3000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,1100,0,,,,10,102,1,1,12,-1,Building/NewBuild/cangku,,26400,26400,79000,-1,-1,,12,-1,-1,,1,1,1,1,1,,,-1,,-1
102013,0,30,[999|4|22000],[999|5|4500],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,1500,0,,,,10,102,1,1,13,-1,Building/NewBuild/cangku,,28600,28600,83000,-1,-1,,13,-1,-1,,1,1,1,1,1,,,-1,,-1
102014,0,30,[999|4|26000],[999|5|6500],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,2050,0,,,,10,102,1,1,14,-1,Building/NewBuild/cangku,,30800,30800,87000,-1,-1,,14,-1,-1,,1,1,1,1,1,,,-1,,-1
102015,0,30,[999|4|31000],[999|5|9500],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,2750,0,,,,10,102,1,1,15,-1,Building/NewBuild/cangku,,33000,33000,101000,-1,-1,,15,-1,-1,,1,1,1,1,1,,,-1,,-1
102016,0,30,[999|4|38000],[999|5|13000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,3500,0,,,,10,102,1,1,16,-1,Building/NewBuild/cangku,,44000,44000,127000,-1,-1,,16,-1,-1,,1,1,1,1,1,,,-1,,-1
102017,0,30,[999|4|45000],[999|5|17000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,4550,0,,,,10,102,1,1,17,-1,Building/NewBuild/cangku,,56100,56100,150000,-1,-1,,17,-1,-1,,1,1,1,1,1,,,-1,,-1
102018,0,30,[999|4|54000],[999|5|21000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,5700,0,,,,10,102,1,1,18,-1,Building/NewBuild/cangku,,69300,69300,181000,-1,-1,,18,-1,-1,,1,1,1,1,1,,,-1,,-1
102019,0,30,[999|4|65000],[999|5|25000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,7100,0,,,,10,102,1,1,19,-1,Building/NewBuild/cangku,,83600,83600,208000,-1,-1,,19,-1,-1,,1,1,1,1,1,,,-1,,-1
102020,0,30,[999|4|77000],[999|5|30000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,8800,0,,,,10,102,1,1,20,-1,Building/NewBuild/cangku,,99000,99000,235000,-1,-1,,20,-1,-1,,1,1,1,1,1,,,-1,,-1
102021,0,30,[999|4|93000],[999|5|35000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,10650,0,,,,15,102,1,1,21,-1,Building/NewBuild/cangku,,115500,115500,273000,-1,-1,,21,-1,-1,,1,1,1,1,1,,,-1,,-1
102022,0,30,[999|4|120000],[999|5|40000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,12650,0,,,,15,102,1,1,22,-1,Building/NewBuild/cangku,,133100,133100,304000,-1,-1,,22,-1,-1,,1,1,1,1,1,,,-1,,-1
102023,0,30,[999|4|140000],[999|5|45000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,14900,0,,,,15,102,1,1,23,-1,Building/NewBuild/cangku,,151800,151800,336000,-1,-1,,23,-1,-1,,1,1,1,1,1,,,-1,,-1
102024,0,30,[999|4|150000],[999|5|50000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,17300,0,,,,15,102,1,1,24,-1,Building/NewBuild/cangku,,171600,171600,370000,-1,-1,,24,-1,-1,,1,1,1,1,1,,,-1,,-1
102025,0,30,[999|4|170000],[999|5|60000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,20000,0,,,,15,102,1,1,25,-1,Building/NewBuild/cangku,,192500,192500,416000,-1,-1,,25,-1,-1,,1,1,1,1,1,,,-1,,-1
102026,0,30,[999|4|180000],[999|5|70000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,22950,0,,,,15,102,1,1,26,-1,Building/NewBuild/cangku,,214500,214500,453000,-1,-1,,26,-1,-1,,1,1,1,1,1,,,-1,,-1
102027,0,30,[999|4|200000],[999|5|80000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,26200,0,,,,15,102,1,1,27,-1,Building/NewBuild/cangku,,237600,237600,491000,-1,-1,,27,-1,-1,,1,1,1,1,1,,,-1,,-1
102028,0,30,[999|4|220000],[999|5|90000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,29750,0,,,,15,102,1,1,28,-1,Building/NewBuild/cangku,,261800,261800,559000,-1,-1,,28,-1,-1,,1,1,1,1,1,,,-1,,-1
102029,0,30,[999|4|240000],[999|5|100000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,33650,0,,,,15,102,1,1,29,-1,Building/NewBuild/cangku,,287100,287100,643000,-1,-1,,29,-1,-1,,1,1,1,1,1,,,-1,,-1
102030,0,30,[999|4|260000],[999|5|120000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,37950,0,,,,15,102,1,1,30,-1,Building/NewBuild/cangku,,330000,330000,717000,-1,-1,,30,-1,-1,,1,1,1,1,1,,,-1,,-1
102031,0,30,[999|4|290000],[999|5|140000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,42700,0,,,,20,102,1,1,31,-1,Building/NewBuild/cangku,,375100,375100,794000,-1,-1,,31,-1,-1,,1,1,1,1,1,,,-1,,-1
102032,0,30,[999|4|320000],[999|5|160000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,47850,0,,,,20,102,1,1,32,-1,Building/NewBuild/cangku,,422400,422400,891000,-1,-1,,32,-1,-1,,1,1,1,1,1,,,-1,,-1
102033,0,30,[999|4|350000],[999|5|180000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,53600,0,,,,20,102,1,1,33,-1,Building/NewBuild/cangku,,471900,471900,975000,-1,-1,,33,-1,-1,,1,1,1,1,1,,,-1,,-1
102034,0,30,[999|4|380000],[999|5|200000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,59800,0,,,,20,102,1,1,34,-1,Building/NewBuild/cangku,,523600,523600,1060000,-1,-1,,34,-1,-1,,1,1,1,1,1,,,-1,,-1
102035,0,30,[999|4|420000],[999|5|250000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,66700,0,,,,20,102,1,1,35,-1,Building/NewBuild/cangku,,577500,577500,1149000,-1,-1,,35,-1,-1,,1,1,1,1,1,,,-1,,-1
102036,0,30,[999|4|460000],[999|5|300000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,74250,0,,,,20,102,1,1,36,-1,Building/NewBuild/cangku,,633600,633600,1263000,-1,-1,,36,-1,-1,,1,1,1,1,1,,,-1,,-1
102037,0,30,[999|4|510000],[999|5|350000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,82550,0,,,,20,102,1,1,37,-1,Building/NewBuild/cangku,,691900,691900,1358000,-1,-1,,37,-1,-1,,1,1,1,1,1,,,-1,,-1
102038,0,30,[999|4|560000],[999|5|400000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,91700,0,,,,20,102,1,1,38,-1,Building/NewBuild/cangku,,752400,752400,1456000,-1,-1,,38,-1,-1,,1,1,1,1,1,,,-1,,-1
102039,0,30,[999|4|620000],[999|5|450000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,101900,0,,,,20,102,1,1,39,-1,Building/NewBuild/cangku,,815100,815100,1556000,-1,-1,,39,-1,-1,,1,1,1,1,1,,,-1,,-1
102040,0,30,[999|4|500000],[999|5|500000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,20,102,1,1,40,-1,Building/NewBuild/cangku,,880000,880000,1687000,-1,-1,,40,-1,-1,,1,1,1,1,1,,,-1,,-1
102041,0,30,[999|4|600000],[999|5|600000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,41,-1,Building/NewBuild/cangku,,947100,947100,1794000,-1,-1,,41,-1,-1,,1,1,1,1,1,,,-1,,-1
102042,0,30,[999|4|700000],[999|5|700000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,42,-1,Building/NewBuild/cangku,,1016400,1016400,1903000,-1,-1,,42,-1,-1,,1,1,1,1,1,,,-1,,-1
102043,0,30,[999|4|800000],[999|5|800000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,43,-1,Building/NewBuild/cangku,,1087900,1087900,2047000,-1,-1,,43,-1,-1,,1,1,1,1,1,,,-1,,-1
102044,0,30,[999|4|900000],[999|5|900000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,44,-1,Building/NewBuild/cangku,,1161600,1161600,2163000,-1,-1,,44,-1,-1,,1,1,1,1,1,,,-1,,-1
102045,0,30,[999|4|1000000],[999|5|1000000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,45,-1,Building/NewBuild/cangku,,1237500,1237500,2281000,-1,-1,,45,-1,-1,,1,1,1,1,1,,,-1,,-1
102046,0,30,[999|4|1200000],[999|5|1200000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,46,-1,Building/NewBuild/cangku,,1315600,1315600,2438000,-1,-1,,46,-1,-1,,1,1,1,1,1,,,-1,,-1
102047,0,30,[999|4|1400000],[999|5|1400000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,47,-1,Building/NewBuild/cangku,,1395900,1395900,2563000,-1,-1,,47,-1,-1,,1,1,1,1,1,,,-1,,-1
102048,0,30,[999|4|1600000],[999|5|1600000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,48,-1,Building/NewBuild/cangku,,1478400,1478400,2691000,-1,-1,,48,-1,-1,,1,1,1,1,1,,,-1,,-1
102049,0,30,[999|4|1800000],[999|5|1800000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,49,-1,Building/NewBuild/cangku,,1563100,1563100,112000,-1,-1,,49,-1,-1,,1,1,1,1,1,,,-1,,-1
102050,0,30,[999|4|2000000],[999|5|2000000],,[building_lvup_des_102001|building_lvup_des_102002|building_lvup_des_102003],[icon_20007|icon_20004|icon_20001],-1,113100,0,,,,-1,102,-1,1,50,-1,Building/NewBuild/cangku,,1650000,1650000,112000,-1,-1,,50,-1,-1,,1,1,1,1,1,,,-1,,-1
104000,0,5,[999|4|100],[999|5|100],,[building_lvup_des_104001],,-1,100,0,,,,-1,104,-1,0,0,-1,Building/Building_Statue_1_0,,-1,-1,-1,-1,-1,,1,-1,-1,,1,1,1,1,1,,,-1,,-1
104001,0,30,[999|4|100],[999|5|100],,[building_lvup_des_104001],,-1,100,0,,,,-1,104,-1,1,1,-1,Building/Building_Statue_1,,-1,-1,-1,-1,-1,,2,-1,-1,,1,1,1,1,1,,,-1,,-1
105000,0,5,[999|4|100],[999|5|100],,[building_lvup_des_104001],,-1,100,0,,,,-1,105,-1,0,0,-1,Building/Building_Statue_1_0,,-1,-1,-1,-1,-1,,1,-1,-1,,1,1,1,1,1,,,-1,,-1
105001,0,30,[999|4|100],[999|5|100],,[building_lvup_des_104001],,-1,100,0,,,,-1,105,-1,1,1,-1,Building/Building_Statue_1,,-1,-1,-1,-1,-1,,2,-1,-1,,1,1,1,1,1,,,-1,,-1
106000,0,3,[999|4|3],[999|5|3],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-2,0,0,,,,-1,106,-1,0,0,-1,Building/NewBuild/Base_feixu_1,[999|5|0],-1,3,4000,25,12,[117|3],0,-1,-1,,1,1,2,1,1,,,-1,,1112
106001,0,100,[999|4|10],[999|5|10],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-3,100,0,,,,5,106,1,1,1,-1,Building/NewBuild/famuchang_big,[999|5|1],-1,3,4000,25,12,[117|3],1,-1,-1,,1,1,2,1,1,,,-1,,1112
106002,0,200,[999|4|100],[999|5|100],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-4,150,0,,,,5,106,1,1,2,51102,Building/NewBuild/famuchang_big,[999|5|2],-1,6,4000,25,12,[117|3],2,-1,-1,,1,1,2,1,1,,,-1,,1112
106003,0,300,[999|4|500],[999|5|500],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-5,200,0,,,,5,106,1,1,3,51103,Building/NewBuild/famuchang_big,[999|5|3],-1,9,4000,25,12,[117|4],3,-1,-1,,1,1,2,1,1,,,-1,,1112
106004,0,300,[999|4|2000],[999|5|2000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-6,250,0,,,,5,106,1,1,4,51104,Building/NewBuild/famuchang_big,[999|5|4],-1,12,4000,25,12,[117|5],4,-1,-1,,1,1,2,1,1,,,-1,,1112
106005,0,500,[999|4|2300],[999|5|2300],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-7,300,0,,,,5,106,1,1,5,51105,Building/NewBuild/famuchang_big,[999|5|5],-1,15,4000,25,12,[117|6],5,-1,-1,,1,1,2,1,1,,,-1,,1112
106006,0,900,[999|4|3400],[999|5|3400],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-8,350,0,,,,5,106,1,1,6,51106,Building/NewBuild/famuchang_big,[999|5|6],-1,18,4000,25,12,[117|7],6,-1,-1,,1,1,2,1,1,,,-1,,1112
106007,0,1332,[999|4|5500],[999|5|5500],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-9,400,0,,,,5,106,1,1,7,51107,Building/NewBuild/famuchang_big,[999|5|7],-1,21,4000,25,12,[117|8],7,-1,-1,,1,1,2,1,1,,,-1,,1112
106008,0,1998,[999|4|8000],[999|5|8000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-10,450,0,,,,5,106,1,1,8,51108,Building/NewBuild/famuchang_big,[999|5|8],-1,24,4000,25,12,[117|9],8,-1,-1,,1,1,2,1,1,,,-1,,1112
106009,0,3254,[999|4|11500],[999|5|11500],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-11,500,0,,,,5,106,1,1,9,51109,Building/NewBuild/famuchang_big,[999|5|9],-1,27,4000,25,12,[117|10],9,-1,-1,,1,1,2,1,1,,,-1,,1112
106010,0,4915,[999|4|16000],[999|5|16000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-12,550,0,,,,5,106,1,1,10,51110,Building/NewBuild/famuchang_big,[999|5|10],-1,30,4000,25,12,[117|11],10,-1,-1,,1,1,2,1,1,,,-1,,1112
106011,0,7385,[999|4|31500],[999|5|31500],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-13,600,0,,,,10,106,1,1,11,51111,Building/NewBuild/famuchang_big,[999|5|11],-1,33,4000,25,12,[117|12],11,-1,-1,,1,1,2,1,1,,,-1,,1112
106012,0,10255,[999|4|41000],[999|5|41000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-14,650,0,,,,10,106,1,1,12,51112,Building/NewBuild/famuchang_big,[999|5|12],-1,36,4000,25,12,[117|13],12,-1,-1,,1,1,2,1,1,,,-1,,1112
106013,0,14182,[999|4|65000],[999|5|65000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-15,800,0,,,,10,106,1,1,13,51113,Building/NewBuild/famuchang_big,[999|5|13],-1,39,4000,25,12,[117|14],13,-1,-1,,1,1,2,1,1,,,-1,,1112
106014,0,18040,[999|4|85000],[999|5|85000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-16,1050,0,,,,10,106,1,1,14,51114,Building/NewBuild/famuchang_big,[999|5|14],-1,42,4000,25,12,[117|15],14,-1,-1,,1,1,2,1,1,,,-1,,1112
106015,0,22873,[999|4|100000],[999|5|100000],,[building_lvup_des_106001|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002|building_lvup_des_106002],[icon_50001|icon_20007|icon_20007|icon_20007|icon_20007],-17,1400,0,,,,10,106,1,1,15,51115,Building/NewBuild/famuchang_big,[999|5|15],-1,45,4000,25,12,[117|16],15,-1,-1,,1,1,2,1,1,,,-1,,1112
